PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,MaxHeight,MeasuredDuration,ContactPositionX,ContactPositionY,ContactPositionZ,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,GameUID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,PlayID,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2025-10-26,14:36:15.49,1,1,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Coulter, Emersyn",100000004088,Right,DEP_BLU_SB,Undefined,1,Top,0,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.07313,3.40956,1.290292,1442.633332,144.472616,10:45,1.76727,0.0808,5.96898,-21.48415,9.15154,-5.84953,2.09931,0.39551,58.24305,-2.604151,-0.275566,0.398369,,,,,,,,,,,,6.88863,9.36398,0.24992,50,0.7871,-2.86714,-96.39693,8.80249,6.20713,20.88998,-23.73645,PUR_BOI_SB,DEP_BLU_SB,BittingerStadium,TeamExclusive,,20251026-BittingerStadium-Private-5,a80409b0-b29a-11f0-8ec5-a97c37129981,94.617,5.83009,,,,,,,,,2025-10-26,18:36:15.49,2025-10-26T14:36:15.4934272-04:00,2025-10-26T18:36:15.4934272Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e49679fd-0f47-4494-8595-e3e69cac5d47,37.02297,-93.54243,10.44499,1.7683,5.55905,-11.86823,-0.08391,-2.01898,3.10357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,a4d13d63-3059-4519-bbc6-0d62955b3ae7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-10-26,14:36:33.80,1,2,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Coulter, Emersyn",100000004088,Right,DEP_BLU_SB,Undefined,1,Top,0,0,1,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,63.97969,3.963585,2.27644,1600.813164,158.087268,11:15,1.7515,-0.02832,6.01463,-20.13422,10.42453,-3.83083,2.54009,1.06638,58.37493,-1.678224,1.250834,0.397868,,,,,,,,,,,,5.07236,10.63296,0.57224,50,0.64728,-4.2837,-96.03086,9.58441,4.56911,19.7666,-22.59604,PUR_BOI_SB,DEP_BLU_SB,BittingerStadium,TeamExclusive,,20251026-BittingerStadium-Private-5,b2ee8850-b29a-11f0-8ec5-a97c37129981,94.73598,5.60476,,,,,,,,,2025-10-26,18:36:33.80,2025-10-26T14:36:33.8078208-04:00,2025-10-26T18:36:33.8078208Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e49679fd-0f47-4494-8595-e3e69cac5d47,36.97787,-93.31194,9.8833,1.75186,6.47631,-11.29802,0.02623,-3.65521,2.28456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,170ccfd2-06e3-4246-8264-0d7dbd1fb94b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-10-26,14:36:52.22,1,3,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Coulter, Emersyn",100000004088,Right,DEP_BLU_SB,Undefined,1,Top,0,0,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,64.24448,4.307628,1.866353,1608.277433,167.300175,11:30,1.77059,0.03013,6.13561,-19.57253,10.36812,-2.15091,2.81103,1.00597,58.92656,-1.182194,1.288418,0.393824,,,,,,,,,,,,3.05603,10.60229,0.41378,50,0.5775,-3.4104,-96.30702,10.18228,2.79029,18.83631,-22.49367,PUR_BOI_SB,DEP_BLU_SB,BittingerStadium,TeamExclusive,,20251026-BittingerStadium-Private-5,bdef4e10-b29a-11f0-8ec5-a97c37129981,95.70888,5.31792,,,,,,,,,2025-10-26,18:36:52.22,2025-10-26T14:36:52.2210000-04:00,2025-10-26T18:36:52.2210000Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e49679fd-0f47-4494-8595-e3e69cac5d47,36.85756,-93.70129,9.41815,1.77084,7.0706,-11.24684,-0.0313,-3.0244,1.39514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.36854,2.750085,1.616589,1.133496,-2.46323,2.70781,-1.0911,-5.30494,5.36837,-0.30087,45.6781,1.6778,36.67619,-5.27834,49.51092,-4.15405,5.38214,11.9773,-13.54002,-0.28854,34.74478,-1.94551,High,High,High,,,High,High,Medium,e38f808f-fe49-43e2-868d-a6a48d1a4aa7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-10-26,14:37:15.34,2,1,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Adams, Jollie",100000004093,Right,DEP_BLU_SB,Undefined,1,Top,2,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.06383,1.405255,3.454097,1493.47263,170.010855,11:45,1.69332,0.06174,5.88077,-20.25903,9.5063,-1.51327,0.88249,2.09058,59.51682,-4.235931,3.050912,0.392669,,,,,,,,,,,,2.99103,10.53371,0.72573,50,1.18314,-6.08373,-97.76722,5.31442,2.78644,20.79167,-22.36092,PUR_BOI_SB,DEP_BLU_SB,BittingerStadium,TeamExclusive,,20251026-BittingerStadium-Private-5,cbbe9d20-b29a-11f0-8ec5-a97c37129981,95.99033,5.54701,,,,,,,,,2025-10-26,18:37:15.34,2025-10-26T14:37:15.3402368-04:00,2025-10-26T18:37:15.3402368Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e49679fd-0f47-4494-8595-e3e69cac5d47,37.11134,-94.98672,10.39584,1.69389,2.32405,-11.18046,-0.06295,-5.7111,1.39322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,ba0ba6f0-f6e3-4f13-81e7-d8b84bf9bed7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-10-26,14:37:36.14,2,2,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Adams, Jollie",100000004093,Right,DEP_BLU_SB,Undefined,1,Top,2,1,0,Other,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,65.88272,3.723779,1.769119,1579.14249,125.323574,10:15,1.78971,0.39351,6.06538,-23.13174,5.45941,-6.54638,2.17482,0.94501,60.37874,-2.707014,0.012708,0.384846,,,,,,,,,,,,7.86996,5.29709,0.05692,50,0.71695,-3.8911,-98.91412,9.83736,7.55507,20.33698,-27.08893,PUR_BOI_SB,DEP_BLU_SB,BittingerStadium,TeamExclusive,,20251026-BittingerStadium-Private-5,d81ef2e0-b29a-11f0-8ec5-a97c37129981,97.94155,5.50398,,,,,,,,,2025-10-26,18:37:36.14,2025-10-26T14:37:36.1481728-04:00,2025-10-26T18:37:36.1481728Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e49679fd-0f47-4494-8595-e3e69cac5d47,36.92859,-96.18907,10.16849,1.79192,6.20758,-13.54447,-0.39664,-2.87875,3.77754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,f5bf3ba2-d799-4188-96a3-cf3bde1dbcfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-10-26,14:37:55.39,2,3,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Adams, Jollie",100000004093,Right,DEP_BLU_SB,Undefined,1,Top,1,1,1,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.00801,3.445457,0.897875,1481.402401,147.624583,11:00,1.78365,0.09363,5.99651,-21.54592,7.68174,-4.38567,2.131,0.28588,60.05183,-2.535774,-0.277259,0.389106,,,,,,,,,,,,5.14296,7.93922,0.14221,50,0.78977,-2.08682,-97.44024,9.03171,4.84496,18.18746,-24.69486,PUR_BOI_SB,DEP_BLU_SB,BittingerStadium,TeamExclusive,,20251026-BittingerStadium-Private-5,e39d4d10-b29a-11f0-8ec5-a97c37129981,96.86923,4.95618,,,,,,,,,2025-10-26,18:37:55.39,2025-10-26T14:37:55.3989632-04:00,2025-10-26T18:37:55.3989632Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e49679fd-0f47-4494-8595-e3e69cac5d47,36.99765,-94.98231,9.09373,1.78484,5.69435,-12.34743,-0.09556,-1.43205,2.42248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,55efa474-10d9-4925-87be-23964f1037a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-10-26,14:38:12.07,2,4,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Adams, Jollie",100000004093,Right,DEP_BLU_SB,Undefined,1,Top,1,1,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,64.47407,4.036983,1.192916,1631.218346,150.985923,11:00,1.7242,0.20787,6.07066,-20.43749,9.63717,-4.83512,2.52795,0.54444,58.63127,-1.703345,-0.104801,0.394704,,,,,,,,,,,,5.78339,9.69831,0.09773,50,0.59728,-2.61106,-96.93025,9.83096,5.2789,20.8711,-23.32174,PUR_BOI_SB,DEP_BLU_SB,BittingerStadium,TeamExclusive,,20251026-BittingerStadium-Private-5,ed89e3b0-b29a-11f0-8ec5-a97c37129981,95.49538,5.8428,,,,,,,,,2025-10-26,18:38:12.07,2025-10-26T14:38:12.0770000-04:00,2025-10-26T18:38:12.0770000Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e49679fd-0f47-4494-8595-e3e69cac5d47,36.92167,-94.07208,10.43555,1.72489,6.63719,-11.66087,-0.21034,-1.88815,2.63945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.52405,2.871906,1.857843,1.014062,-2.37139,2.39211,-0.53296,-5.33552,5.43121,-0.01405,47.44343,4.26768,34.91175,-5.31868,55.57243,-3.57541,5.44129,12.71971,-13.74423,-0.0026,36.83874,-2.43123,High,High,High,,,High,High,Medium,61e2d5c5-952d-4aaa-adb5-a5889db2ef61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-10-26,14:38:42.03,3,1,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Poe, Addy",100000004090,Right,DEP_BLU_SB,Undefined,1,Top,2,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.82461,2.499668,1.052466,1575.183975,137.655528,10:30,1.74469,0.13089,5.81249,-21.99903,6.63276,-5.39225,1.47328,0.33868,61.16635,-3.55514,-0.385741,0.38512,,,,,,,,,,,,6.25158,7.05717,0.14343,50,0.9788,-2.50154,-98.60592,7.49863,6.07023,17.69738,-25.32161,PUR_BOI_SB,DEP_BLU_SB,BittingerStadium,TeamExclusive,,20251026-BittingerStadium-Private-5,ff5eb570-b29a-11f0-8ec5-a97c37129981,97.87205,4.65827,,,,,,,,,2025-10-26,18:38:42.03,2025-10-26T14:38:42.0375552-04:00,2025-10-26T18:38:42.0375552Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e49679fd-0f47-4494-8595-e3e69cac5d47,37.18245,-96.278,8.84869,1.7461,4.16782,-12.66081,-0.13311,-1.70306,3.03511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,0787106c-0b4d-4a9a-b241-8c7f5d608b7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-10-26,14:39:01.17,3,2,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Poe, Addy",100000004090,Right,DEP_BLU_SB,Undefined,1,Top,2,1,0,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.39174,3.969556,1.200277,1732.021149,170.308453,11:45,1.72333,0.13659,5.72584,-20.77678,10.6076,-1.66579,2.48074,0.74906,58.26144,-1.787638,0.757536,0.403207,,,,,,,,,,,,2.19193,10.81115,0.14001,50,0.64218,-2.17613,-94.8768,9.48913,1.95164,17.6536,-22.54814,PUR_BOI_SB,DEP_BLU_SB,BittingerStadium,TeamExclusive,,20251026-BittingerStadium-Private-5,0ace90b0-b29b-11f0-8ec5-a97c37129981,93.4816,5.1303,,,,,,,,,2025-10-26,18:39:01.17,2025-10-26T14:39:01.1709952-04:00,2025-10-26T18:39:01.1709952Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e49679fd-0f47-4494-8595-e3e69cac5d47,37.26454,-92.47677,8.8268,1.72386,6.42368,-11.27407,-0.1378,-1.9108,0.97582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,7fe4adce-bcb2-4cd3-91d6-a68c1c8a8ed5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-10-26,14:39:39.44,3,3,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Poe, Addy",100000004090,Right,DEP_BLU_SB,Undefined,1,Top,2,1,1,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.24165,4.078171,-1.012208,1471.370715,100.13105,9:15,1.77206,0.02777,6.16429,-27.17198,1.80189,-5.51575,2.03343,-1.05767,59.91961,-3.455802,-2.49597,0.387413,,,,,,,,,,,,5.75051,1.14197,-0.2194,50,0.57533,1.01978,-97.98045,10.92714,5.41849,19.90872,-31.09801,PUR_BOI_SB,DEP_BLU_SB,BittingerStadium,TeamExclusive,,20251026-BittingerStadium-Private-5,21a01660-b29b-11f0-8ec5-a97c37129981,97.29255,5.32204,,,,,,,,,2025-10-26,18:39:39.44,2025-10-26T14:39:39.4447872-04:00,2025-10-26T18:39:39.4447872Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e49679fd-0f47-4494-8595-e3e69cac5d47,36.83049,-95.26696,9.95436,1.77581,6.68858,-15.54901,-0.03008,1.7583,2.70925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,d148b89a-96c9-43f8-8f0c-f5e849825fb8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
