PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-15,14:54:56.99,1,1,"One, Jerry",100000000012,Right,TRA_TRA1_SB,"Eight, Tom",100000000009,Right,TRA_TRA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,64.20819,-0.090658,-0.99005,3241.60968,352.134803,5:45,2.00814,0.4827,6.81518,-36.99982,-8.33646,1.26067,-1.1302,-0.01309,59.88187,-10.383713,-0.64246,0.385332,,,,,,,,,,,,-1.79957,-8.45382,-0.73125,50,1.66896,1.84377,-96.9649,5.31605,-1.65482,19.98002,-39.9479,TRA_TRA1_SB,TRA_TRA_SB,BittingerStadium,TeamExclusive,,20251015-BittingerStadium-Private-1,7215a4d0-a9f8-11f0-86fb-b1c312b89ba3,97.81815,,,4.32632,,,,,,,3e591e71-fe75-43e0-beb4-6f7560760f92,2025-10-15,18:54:56.99,2025-10-15T14:54:56.9970000-04:00,2025-10-15T18:54:56.9970000Z,,V3 - Softball,,,,,,Undefined,TRA_TRA1_SB,d43e2498-e404-4cb2-8691-26f014fc0e9c,36.18174,-94.07451,9.99001,2.01999,-0.46297,-19.97395,-0.48184,1.60437,-0.82741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-10-15,14:55:25.86,1,2,"One, Jerry",100000000012,Right,TRA_TRA1_SB,"Eight, Tom",100000000009,Right,TRA_TRA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,64.99322,-0.64811,-0.387021,2712.068055,358.770302,6:00,2.00264,0.48234,6.70142,-39.55207,-11.37056,0.26063,-1.68796,0.26843,60.76727,-11.575471,-0.315262,0.382079,,,,,,,,,,,,-0.44248,-11.61843,-0.57686,50,1.78793,0.69819,-98.23251,4.66486,-0.41653,20.8602,-43.11123,TRA_TRA1_SB,TRA_TRA_SB,BittingerStadium,TeamExclusive,,20251015-BittingerStadium-Private-1,833a6070-a9f8-11f0-86fb-b1c312b89ba3,98.65085,,,4.22594,,,,,,,3e591e71-fe75-43e0-beb4-6f7560760f92,2025-10-15,18:55:25.86,2025-10-15T14:55:25.8640000-04:00,2025-10-15T18:55:25.8640000Z,,V3 - Softball,,,,,,Undefined,TRA_TRA1_SB,7a1458b3-1df3-425a-aeba-4b9a1674c619,36.29726,-95.27824,10.4301,2.01623,-1.44066,-21.55561,-0.48216,0.63919,-0.20826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-10-15,14:55:32.38,1,3,"One, Jerry",100000000012,Right,TRA_TRA1_SB,"Eight, Tom",100000000009,Right,TRA_TRA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,65.77989,-0.434041,-1.391708,746.982588,1.31791,6:00,2.01913,0.47757,6.75413,-38.05809,-10.40504,-0.25846,-1.41631,-0.39014,60.93308,-10.997014,-1.462902,0.37848,,,,,,,,,,,,-0.28886,-10.92729,-0.8096,50,1.75328,2.38388,-99.59545,4.95584,-0.27648,22.9855,-42.63359,TRA_TRA1_SB,TRA_TRA_SB,BittingerStadium,TeamExclusive,,20251015-BittingerStadium-Private-1,871836e0-a9f8-11f0-86fb-b1c312b89ba3,99.58902,,,4.84681,,,,,,,3e591e71-fe75-43e0-beb4-6f7560760f92,2025-10-15,18:55:32.38,2025-10-15T14:55:32.3840000-04:00,2025-10-15T18:55:32.3840000Z,,V3 - Softball,,,,,,Undefined,TRA_TRA1_SB,542dffc3-e384-42c4-95aa-085cfb2fec90,36.24337,-96.36829,11.49275,2.02888,-1.0299,-21.3168,-0.47763,2.34506,-0.13824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-10-15,14:55:47.48,1,4,"One, Jerry",100000000012,Right,TRA_TRA1_SB,"Eight, Tom",100000000009,Right,TRA_TRA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,66.48362,2.862381,-0.681788,2628.426633,10.235383,6:15,2.06256,0.48873,6.58163,-36.28037,-9.12272,-1.78547,0.78939,-0.07658,61.419,-7.215094,-1.169135,0.375075,,,,,,,,,,,,1.7363,-10.45221,-0.63713,50,1.0463,0.95386,-100.21595,10.38889,1.70686,21.22797,-42.44895,TRA_TRA1_SB,TRA_TRA_SB,BittingerStadium,TeamExclusive,,20251015-BittingerStadium-Private-1,9019d140-a9f8-11f0-86fb-b1c312b89ba3,100.49316,,,5.06461,,,,,,,3e591e71-fe75-43e0-beb4-6f7560760f92,2025-10-15,18:55:47.48,2025-10-15T14:55:47.4870000-04:00,2025-10-15T18:55:47.4870000Z,,V3 - Softball,,,,,,Undefined,TRA_TRA1_SB,d4cf875d-4c01-4e53-aa1d-615cfb74c9f7,36.41544,-97.2959,10.61398,2.07376,4.54975,-21.22447,-0.48977,1.18865,0.85343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-10-15,14:55:56.87,1,5,"One, Jerry",100000000012,Right,TRA_TRA1_SB,"Eight, Tom",100000000009,Right,TRA_TRA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,66.01803,1.6642,-1.204196,754.71559,3.370706,6:00,2.0533,0.49022,6.67793,-37.06455,-9.80615,-0.62059,-0.02105,-0.29522,61.44545,-8.628308,-1.374292,0.375769,,,,,,,,,,,,0.26098,-10.88186,-0.77286,50,1.30013,2.00746,-99.54627,8.46312,0.25422,20.34453,-42.7731,TRA_TRA1_SB,TRA_TRA_SB,BittingerStadium,TeamExclusive,,20251015-BittingerStadium-Private-1,95b3fdb0-a9f8-11f0-86fb-b1c312b89ba3,100.30735,,,4.57257,,,,,,,3e591e71-fe75-43e0-beb4-6f7560760f92,2025-10-15,18:55:56.87,2025-10-15T14:55:56.8770000-04:00,2025-10-15T18:55:56.8770000Z,,V3 - Softball,,,,,,Undefined,TRA_TRA1_SB,274f6097-eac8-4bd0-9fa0-4eb5a67c6a75,36.3202,-96.71009,10.17226,2.06432,2.50023,-21.38655,-0.49053,2.0429,0.12711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-10-15,14:56:02.86,1,6,"One, Jerry",100000000012,Right,TRA_TRA1_SB,"Eight, Tom",100000000009,Right,TRA_TRA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,66.9128,1.144454,-0.786044,903.49114,352.261848,5:45,2.00063,0.47514,6.60426,-37.93561,-10.86402,1.59327,-0.46182,0.12801,61.38983,-9.392267,-0.349744,0.37448,,,,,,,,,,,,-2.11047,-11.66658,-0.67301,50,1.39052,1.59912,-101.34752,7.54571,-2.08117,24.54378,-43.67862,TRA_TRA1_SB,TRA_TRA_SB,BittingerStadium,TeamExclusive,,20251015-BittingerStadium-Private-1,994ae010-a9f8-11f0-86fb-b1c312b89ba3,100.65284,,,5.52297,,,,,,,3e591e71-fe75-43e0-beb4-6f7560760f92,2025-10-15,18:56:02.86,2025-10-15T14:56:02.8600000-04:00,2025-10-15T18:56:02.8600000Z,,V3 - Softball,,,,,,Undefined,TRA_TRA1_SB,4b373aca-208a-458c-9314-95c61e9d63b8,36.39187,-97.99658,12.27189,2.01364,1.58231,-21.83931,-0.47408,1.31498,-1.04058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-10-15,14:56:09.28,1,7,"One, Jerry",100000000012,Right,TRA_TRA1_SB,"Eight, Tom",100000000009,Right,TRA_TRA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,66.51422,2.135079,-1.590838,847.40114,13.488286,6:30,2.03007,0.48996,6.61074,-37.21762,-10.16335,-2.61681,0.23293,-0.69938,61.67144,-8.188542,-2.305881,0.37436,,,,,,,,,,,,2.35102,-11.52812,-0.84742,50,1.16904,2.42679,-100.31605,9.3245,2.31628,21.23722,-43.53184,TRA_TRA1_SB,TRA_TRA_SB,BittingerStadium,TeamExclusive,,20251015-BittingerStadium-Private-1,9d22ea20-a9f8-11f0-86fb-b1c312b89ba3,100.68506,,,4.84278,,,,,,,3e591e71-fe75-43e0-beb4-6f7560760f92,2025-10-15,18:56:09.28,2025-10-15T14:56:09.2840000-04:00,2025-10-15T18:56:09.2840000Z,,V3 - Softball,,,,,,Undefined,TRA_TRA1_SB,d5fb668c-8bd8-460e-8523-2712cef278f8,36.38737,-97.39158,10.61861,2.04033,3.32996,-21.76592,-0.49128,2.74575,1.15814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-10-15,14:56:15.43,1,8,"One, Jerry",100000000012,Right,TRA_TRA1_SB,"Eight, Tom",100000000009,Right,TRA_TRA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,66.75039,0.466462,-1.635822,899.452135,11.779296,6:30,1.99016,0.48118,6.61594,-38.56187,-11.66709,-2.58969,-0.93852,-0.73323,62.091,-10.192097,-2.345337,0.373255,,,,,,,,,,,,2.25784,-12.388,-0.85079,50,1.52633,2.53132,-100.84641,6.52573,2.23773,22.13722,-44.45178,TRA_TRA1_SB,TRA_TRA_SB,BittingerStadium,TeamExclusive,,20251015-BittingerStadium-Private-1,a0c9ab00-a9f8-11f0-86fb-b1c312b89ba3,100.98318,,,4.6594,,,,,,,3e591e71-fe75-43e0-beb4-6f7560760f92,2025-10-15,18:56:15.43,2025-10-15T14:56:15.4380000-04:00,2025-10-15T18:56:15.4380000Z,,V3 - Softball,,,,,,Undefined,TRA_TRA1_SB,fe6986e9-cb50-4a28-8967-0955ae559c95,36.38246,-97.8115,11.06861,2.00324,0.4316,-22.22589,-0.48273,2.8381,1.11886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-15,14:56:23.71,1,9,"One, Jerry",100000000012,Right,TRA_TRA1_SB,"Eight, Tom",100000000009,Right,TRA_TRA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,67.30163,0.707552,-0.81794,2715.950562,25.109409,6:45,2.05233,0.47683,6.77406,-36.16163,-9.67796,-4.92634,-0.53121,-0.43066,61.82818,-9.38161,-2.173356,0.370391,,,,,,,,,,,,5.14433,-10.17725,-0.63823,50,1.54923,0.79739,-101.96531,6.66525,5.13743,24.77253,-42.33767,TRA_TRA1_SB,TRA_TRA_SB,BittingerStadium,TeamExclusive,,20251015-BittingerStadium-Private-1,a5b1c580-a9f8-11f0-86fb-b1c312b89ba3,101.76388,,,5.47345,,,,,,,3e591e71-fe75-43e0-beb4-6f7560760f92,2025-10-15,18:56:23.71,2025-10-15T14:56:23.7160000-04:00,2025-10-15T18:56:23.7160000Z,,V3 - Softball,,,,,,Undefined,TRA_TRA1_SB,8cfc0adf-c55b-47c0-ada0-e53b560776c9,36.22138,-98.56095,12.38627,2.06542,0.84701,-21.16884,-0.48014,1.5034,2.56872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-15,14:56:30.57,1,10,"One, Jerry",100000000012,Right,TRA_TRA1_SB,"Eight, Tom",100000000009,Right,TRA_TRA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,65.89777,1.37663,0.08884,762.20113,351.361903,5:45,2.01607,0.46633,6.70636,-37.90337,-10.13351,1.67508,-0.3044,0.65999,60.38748,-9.193432,0.548801,0.379279,,,,,,,,,,,,-1.81713,-10.82434,-0.45655,50,1.34653,0.05984,-99.83375,7.86569,-1.73721,23.94131,-42.52239,TRA_TRA1_SB,TRA_TRA_SB,BittingerStadium,TeamExclusive,,20251015-BittingerStadium-Private-1,a9d3d0e0-a9f8-11f0-86fb-b1c312b89ba3,99.37929,,,5.51029,,,,,,,3e591e71-fe75-43e0-beb4-6f7560760f92,2025-10-15,18:56:30.57,2025-10-15T14:56:30.5770000-04:00,2025-10-15T18:56:30.5770000Z,,V3 - Softball,,,,,,Undefined,TRA_TRA1_SB,8388df67-8a3c-4b81-bc91-0de388b1bad1,36.28889,-96.48966,11.97065,2.03039,1.92621,-21.26119,-0.46514,-0.18282,-0.86861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
