PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-11-14,10:37:13.85,,,,,Undefined,PUR_BOI_SB,"Meeks, Alivia",100000001216,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,65.99043,5.9641,-0.012769,2769.788121,330.474848,5:00,2.31091,-0.08145,3.37332,-45.59329,-11.98323,7.42339,2.5033,0.52865,59.64437,-5.671233,1.837297,0.417259,20.53432,-31.763782,136.819308,,,,,7.28877,7.28875,170.956314,0.105566,-6.93863,-12.71965,0.06098,50,1.04756,0.58499,-98.50737,14.34587,-6.51952,22.01417,-44.12542,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,cb7e0650-c16f-11f0-9d55-1979b9bb04b5,90.33334,1.72263,,6.34605,,,,,,,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,15:37:13.85,2025-11-14T10:37:13.8544640-05:00,2025-11-14T15:37:13.8544640Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,970580ac-a3f9-47b5-8cbe-2f4f893a2f41,39.62297,-96.16038,11.00708,2.32624,9.64154,-22.06271,0.0863,-0.11007,-3.25976,,-5.16001,-19.21897,,,,,,,,1.73052,-16.31852,,,,,,,,-0.76696,18.03563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2025-11-14,10:38:39.90,,,,,Undefined,PUR_BOI_SB,"Meeks, Alivia",100000001216,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,66.7617,6.318156,0.36733,977.649531,358.759186,6:00,2.26658,-0.15247,4.02746,-48.86495,-16.42725,0.38409,2.35284,0.12031,59.07884,-6.390059,0.464734,0.409917,,,,,,,,,,,,-0.17713,-17.41371,0.22237,50,0.85336,-0.61301,-100.16988,15.56745,-0.16695,27.02413,-48.58669,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,fec79a30-c16f-11f0-9d55-1979b9bb04b5,91.95129,,,7.68285,,,,,,,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,15:38:39.90,2025-11-14T10:38:39.9032832-05:00,2025-11-14T15:38:39.9032832Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,2e220edb-d950-43f2-8222-56c9a8e4fa2e,38.9661,-97.14752,13.51206,2.29055,10.13356,-24.29334,0.15276,-0.63168,-0.08347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-11-14,10:38:46.99,,,,,Undefined,PUR_BOI_SB,"Meeks, Alivia",100000001216,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,"Delete first 3 pitches ",65.86941,5.801844,-0.443964,744.581923,349.249226,5:45,2.32785,-0.13223,4.06519,-42.16337,-10.14627,2.10201,2.62654,-0.24779,60.39331,-5.126605,0.089695,0.407251,,,,,,,,,,,,-2.20331,-11.08879,0.03915,50,0.99056,0.94816,-98.22614,14.28594,-2.09821,19.22331,-42.73397,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,02df9370-c170-11f0-9d55-1979b9bb04b5,92.55331,,,5.4761,,,,,,,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,15:38:46.99,2025-11-14T10:38:46.9989888-05:00,2025-11-14T15:38:46.9989888Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,781acccf-5f1d-4bb1-b77b-30880d83c0d5,38.93205,-96.03567,9.61166,2.34099,9.41645,-21.36699,0.13357,0.70907,-1.0491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-11-14,11:01:58.27,,,,,Undefined,PUR_BOI_SB,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,GroundBall,Undefined,0,0,,66.32485,5.520959,0.713272,857.509131,344.184422,5:30,2.25013,-0.16097,3.9143,-46.01916,-13.39867,4.13327,2.05651,0.65243,59.45881,-6.408325,1.758845,0.411071,,,,,,,,,,,,-3.5861,-14.10946,0.28668,50,1.00186,-0.91231,-99.40014,13.91161,-3.37938,24.52286,-45.47019,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,4039b950-c173-11f0-9d55-1979b9bb04b5,91.69335,,,6.86604,,,,,,,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,16:01:58.27,2025-11-14T11:01:58.2733312-05:00,2025-11-14T16:01:58.2733312Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,cc575cc2-c8eb-4c7d-b90b-06dd671bd014,39.08014,-96.66859,12.26143,2.26936,8.84677,-22.7351,0.16409,-1.28873,-1.68969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-11-14,11:03:02.90,,,,,Undefined,PUR_BOI_SB,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,GroundBall,Undefined,0,0,,67.68756,6.731066,-0.147887,1801.995636,353.963583,5:45,2.31069,-0.16242,4.02692,-44.13904,-13.0478,1.49579,3.06496,-0.13471,60.70514,-4.72089,0.231057,0.40132,53.44457,-5.669397,20.09598,1633.129952,,,,20.30012,19.99082,19.307314,0.249334,-1.55354,-15.37072,0.12786,50,0.7821,0.40258,-101.21253,16.5355,-1.52685,24.57467,-47.28089,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,66a00bd0-c173-11f0-9d55-1979b9bb04b5,93.92125,3.03176,,6.98241,,,,1.64734,3.03176,0.08679,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,16:03:02.90,2025-11-14T11:03:02.9005312-05:00,2025-11-14T16:03:02.9005312Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,924a2cc5-35d8-4fcb-a00b-c16f09a0e4d2,38.97041,-98.49812,12.28733,2.32012,11.31306,-23.64044,0.16302,0.23393,-0.76343,313.210035,1.64848,73.19194,-11.91016,,,,,,,3.03326,-7.82364,-17.43719,,,,,,,0.08658,26.8122,-0.95956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-11-14,11:03:14.41,,,,,Undefined,PUR_BOI_SB,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,66.885,7.565928,0.430438,2912.553719,356.564381,6:00,2.30389,-0.17848,4.04632,-43.13683,-11.53528,0.7537,3.6951,0.16633,60.4178,-3.601818,0.621246,0.4046,,,,,,,,,,,,-0.55752,-13.14639,0.25918,50,0.63248,-0.68352,-99.55444,17.53505,-0.53854,21.56192,-44.87274,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,6d9d71c0-c173-11f0-9d55-1979b9bb04b5,93.15981,,,6.4672,,,,,,,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,16:03:14.41,2025-11-14T11:03:14.4100000-05:00,2025-11-14T16:03:14.4100000Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,54976fcc-eefb-4e5c-9ee6-095a531d5c2e,38.94968,-97.13163,10.78096,2.31952,12.49292,-22.43637,0.17898,-0.74403,-0.26927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-11-14,11:03:19.10,,,,,Undefined,PUR_BOI_SB,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Popup,Undefined,0,0,,66.65356,6.75758,0.559849,897.346795,341.245537,5:15,2.26594,-0.18284,3.87028,-44.2255,-12.46646,4.55201,3.04939,0.565,60.86534,-4.62612,1.708043,0.405607,37.16255,78.150484,-154.268602,4124.335845,,,,35.02861,13.34616,-149.611044,3.048376,-4.34217,-14.4354,0.2691,50,0.74407,-0.53238,-99.2652,16.36441,-4.21035,20.06409,-46.17118,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,704d2870-c173-11f0-9d55-1979b9bb04b5,92.92855,39.93885,,5.78822,,,,2.29007,3.18902,-0.55313,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,16:03:19.10,2025-11-14T11:03:19.1010000-05:00,2025-11-14T16:03:19.1010000Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,03ef34b1-e908-4aa0-a95f-6c7a3715ae87,39.12882,-97.04298,10.03204,2.27334,11.25066,-23.08559,0.18431,-0.9987,-2.10517,0.67611,2.28888,-10.01151,-3.19074,3.89737,-4.07401,3.16563,-1.39046,0.30607,-0.02644,3.18683,53.44731,-22.64319,4.75206,-4.16285,3.00624,-1.24784,0.26247,-0.02185,-0.55359,-4.83749,-1.17377,1.02812,-0.9349,0.66698,-0.27579,0.058,-0.00483,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-11-14,11:03:26.15,,,,,Undefined,PUR_BOI_SB,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,66.29405,7.226584,0.355615,1667.525621,354.583967,5:45,2.28881,-0.16322,4.15568,-46.78806,-14.56646,1.48839,3.13575,0.19312,59.46197,-4.93719,0.733761,0.40855,,,,,,,,,,,,-1.27098,-15.99969,0.22843,50,0.66419,-0.49231,-99.00538,17.09561,-1.19772,23.23193,-47.25154,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,7481f880-c173-11f0-9d55-1979b9bb04b5,92.25916,,,6.83208,,,,,,,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,16:03:26.15,2025-11-14T11:03:26.1570000-05:00,2025-11-14T16:03:26.1570000Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,a6ea502d-d3e4-4779-9b08-6f49db67bc1c,38.84035,-96.35115,11.61596,2.30897,11.69717,-23.62577,0.16436,-0.62915,-0.59886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-11-14,11:03:31.78,,,,,Undefined,PUR_BOI_SB,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,FlyBall,Undefined,0,0,,64.57223,5.57048,-0.166697,3163.651173,5.279789,6:15,2.25487,-0.16524,3.87517,-49.63562,-15.03989,-1.51079,1.79629,-0.40085,57.76563,-7.283529,-0.548791,0.423333,58.02697,42.128677,-4.812298,,109.49097,46.50803,-10.57009,159.62487,156.36276,-6.150839,3.783894,1.41181,-16.83296,0.13931,50,0.95423,0.15089,-96.92528,14.20472,1.25682,24.16378,-47.15928,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,77de69f0-c173-11f0-9d55-1979b9bb04b5,89.03724,51.11926,,6.8066,,,,2.32766,2.13641,0.35648,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,16:03:31.78,2025-11-14T11:03:31.7850000-05:00,2025-11-14T16:03:31.7850000Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,f5ad8141-b938-45ae-84d0-df2b2727c7e9,39.1223,-94.1744,12.08189,2.26574,8.83595,-23.57964,0.16464,0.29397,0.62841,177.93339,2.32883,62.85778,-13.35664,3.43664,-0.26653,-0.21171,0.09625,-0.01663,0.00106,2.13523,57.12147,-18.41721,1.32237,-0.28358,0.06375,0.00283,-0.00399,0.00044,0.35651,-5.29558,0.77811,-0.34856,0.09507,-0.0166,0.00071,0.00027,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-11-14,11:03:38.60,,,,,Undefined,PUR_BOI_SB,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,66.09045,7.393327,-0.213229,2640.720269,346.5189,5:30,2.3035,-0.17089,4.04121,-45.54239,-12.71485,3.3391,3.37977,-0.03235,58.90625,-4.436237,0.632416,0.412373,,,,,,,,,,,,-3.26429,-14.29379,0.1215,50,0.67261,0.63109,-98.68036,17.11946,-3.0371,23.92882,-45.47294,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,7bf92250-c173-11f0-9d55-1979b9bb04b5,91.40368,,,7.1842,,,,,,,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,16:03:38.60,2025-11-14T11:03:38.6030000-05:00,2025-11-14T16:03:38.6030000Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,d6b267e3-564d-4e9a-8153-fb0378c42836,38.95273,-95.96414,11.96441,2.32292,11.95772,-22.73647,0.17357,0.28634,-1.51855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-11-14,11:03:44.56,,,,,Undefined,PUR_BOI_SB,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,FlyBall,Undefined,0,0,,65.83794,5.969023,-0.378384,982.439105,351.928626,5:45,2.25412,-0.14936,3.87408,-44.82428,-12.71288,1.92193,2.46165,-0.23824,60.88592,-5.550999,0.107036,0.407851,77.67299,25.244167,-16.749592,1204.873784,103.87683,42.81773,-36.18833,278.00635,278.00635,-23.568289,3.968555,-2.05284,-14.29418,0.0685,50,0.87118,0.83648,-98.00215,14.96653,-1.96811,17.54243,-45.8782,PUR_BOI_SB,,BittingerStadium,,,20251114-BittingerStadium-BP-1,7f89ea30-c173-11f0-9d55-1979b9bb04b5,92.41729,48.13955,,4.95202,,,,2.45184,2.73243,0.22288,d88e5de0-fd44-45a1-ac54-fccfe7858870,2025-11-14,16:03:44.56,2025-11-14T11:03:44.5650000-05:00,2025-11-14T16:03:44.5650000Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,175172cc-c0b9-48e6-b882-32b92c3a63b7,39.12594,-96.03597,8.77122,2.26049,9.82442,-22.9391,0.1499,0.6159,-0.98406,155.217945,2.45202,98.66747,-17.53164,4.02597,-0.83926,0.17845,-0.03942,0.00649,-0.00047,2.73288,48.56615,-12.98221,-0.45176,0.51958,-0.26642,0.08642,-0.01462,0.00097,0.2229,-29.6953,-0.0883,0.41615,-0.14551,0.02625,-0.00161,-0.00023,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
