Trackman Column Name,Meaning of Column for Trackman,Notes,Rapsodo Equivalent,
PitchNo,Pitch Number,,No,
Date,,,Date,
Time,,,,
PitchofPA,Pitch Number of Plate Appearance,,,
Pitcher,Pitcher Name,,Player Name,This is at top of each csv file
PitcherId,Pitcher ID Number,Not sure if we need ID number if we can match based upon name,Player ID,This is at top of each csv file
PitcherThrows,Handedness of Pitcher,,,
PitcherTeam,Team of Pitcher,"Not sure if we need, but could be used to sort within functions",,
Batter,Batter Name,,,
BatterId,Batter ID Number,Same thing for pitchers ID/Name applies,,
BatterSide,Handedness of Batter,,,
BatterTeam,Team of the Batter,"Again, could be used but not sure if necessary",,
Balls,,,,
PitchCall,If pitch was called ball or strike,,Is Strike,
Strikes,,,,
TaggedPitchType,,,Pitch Type,
RelSpeed,Release Speed of Incoming Pitch,,Velocity,
SpinRate,Spin Rate of Incoming Pitch,,Total Spin,
Spin Axis,,,Gyro,
Tilt,,,Spin Direction,
InducedVertBreak,Induced Vertical Break of Pitch,,VB (trajectory),
HorzBreak,Horizontal Break of Pitch,,HB (trajectory),
PlateLocHeight,Location of height of incoming pitch as it crosses plate,,Strike Zone Height,
PlateLocSide,Location horzontally of incoming pitch as it crosses plate,,Strike Zone Side,
"PitchTrajectoryXc0,1,2",X Plane - These could be useful in tracking and making plots,,,
"PitchTrajectoryYc0,1,2",Y Plane - These could be useful in tracking and making plots,,,
"PitchTrajectoryZc0,1,2",Z Plane - These could be useful in tracking and making plots,,,
