PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,MaxHeight,MeasuredDuration,ContactPositionX,ContactPositionY,ContactPositionZ,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,GameUID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,PlayID,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2025-10-24,17:16:24.87,1,1,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Meeks, Alivia",100000001216,Right,PUR_BOI_SB,Undefined,1,Top,0,0,0,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.0457,9.116607,-1.335101,1459.186876,85.407681,8:45,1.84177,0.4207,4.89527,-36.48797,0.76291,-2.79291,4.6901,-0.6671,54.78284,-0.55702,-2.056859,0.439278,,,,,,,,,,,,2.43374,-1.48213,-0.68364,50,-0.32827,1.80127,-88.80723,18.31283,1.90757,14.91874,-33.33573,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251024-BittingerStadium-Private-1,b2ddf030-b11e-11f0-baed-39b30ccfe148,85.80537,5.26286,,,,,,,,,2025-10-24,21:16:24.87,2025-10-24T17:16:24.8700000-04:00,2025-10-24T21:16:24.8700000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,72f7c468-4e1b-4fcd-92b7-7ec13d4b5e9c,38.09932,-86.78501,7.45937,1.84777,13.7942,-16.66786,-0.42196,2.05984,0.95379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,273dab25-10d1-427f-93db-4688f655ee89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-10-24,17:16:50.26,1,2,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Meeks, Alivia",100000001216,Right,PUR_BOI_SB,Undefined,1,Top,0,1,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.67201,3.732351,-0.448053,1461.988236,74.043341,8:30,1.73872,0.58562,4.7602,-33.48455,0.76917,-1.10453,1.35054,0.20561,57.0857,-5.213555,-0.734109,0.421236,,,,,,,,,,,,0.95185,0.09783,-0.67226,50,0.74758,0.62744,-94.01532,9.89344,0.81756,19.60273,-32.09002,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251024-BittingerStadium-Private-1,c1ff88d0-b11e-11f0-baed-39b30ccfe148,89.4806,5.58631,,,,,,,,,2025-10-24,21:16:50.26,2025-10-24T17:16:50.2620000-04:00,2025-10-24T21:16:50.2620000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,72f7c468-4e1b-4fcd-92b7-7ec13d4b5e9c,38.23318,-91.52899,9.80136,1.7443,5.82327,-16.04501,-0.5861,0.73113,0.40878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,8699d8f5-f115-4f26-82f7-7c6e81f3560b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-10-24,17:17:08.65,1,3,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Meeks, Alivia",100000001216,Right,PUR_BOI_SB,Undefined,1,Top,0,2,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.84914,4.373314,-0.786765,1395.813049,323.736949,4:45,1.84418,0.56656,4.82671,-37.71892,-4.43213,3.86894,1.51225,0.38421,58.39427,-5.617222,0.216855,0.415248,,,,,,,,,,,,-4.27075,-5.36217,-0.75039,50,0.67886,1.69486,-93.86,11.54649,-3.75929,15.96487,-36.89405,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251024-BittingerStadium-Private-1,ccf57920-b11e-11f0-baed-39b30ccfe148,90.77096,4.45487,,,,,,,,,2025-10-24,21:17:08.65,2025-10-24T17:17:08.6560000-04:00,2025-10-24T21:17:08.6560000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,72f7c468-4e1b-4fcd-92b7-7ec13d4b5e9c,38.1707,-91.82589,7.98243,1.85055,6.84575,-18.44702,-0.56496,1.21588,-1.87965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,94326367-d74b-4f31-a8d2-e4531c0ab877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-10-24,17:17:44.60,1,4,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Douglas, Bella",1000000001384,Left,PUR_BOI_SB,Undefined,1,Top,0,3,0,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,63.43959,7.462735,-1.517735,1458.113121,30.318056,7:00,1.90689,0.69289,4.90408,-33.371,-0.50161,-0.76811,3.93231,-0.34296,58.48252,-1.386867,-1.716649,0.412636,,,,,,,,,,,,0.33193,-2.19213,-1.00408,50,0.10622,2.41234,-94.1021,16.30094,0.29464,15.6215,-34.11991,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251024-BittingerStadium-Private-1,e266ab80-b11e-11f0-baed-39b30ccfe148,91.34549,4.95707,,,,,,,,,2025-10-24,21:17:44.60,2025-10-24T17:17:44.6050000-04:00,2025-10-24T21:17:44.6050000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,72f7c468-4e1b-4fcd-92b7-7ec13d4b5e9c,38.09174,-92.10404,7.81075,1.91209,11.93686,-17.05995,-0.69312,2.45003,0.14732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.02646,2.171138,1.01545,1.155688,-3.56854,3.75481,0.49353,-4.40286,5.96587,0.20001,84.85633,3.06251,-1.2558,-4.31904,86.12764,-7.88058,5.98044,11.27045,-11.96457,0.17394,-3.52907,2.0206,High,High,High,,,High,High,High,81f7ac2b-7d64-477c-9dbc-01a09df476f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-10-24,17:18:02.30,2,1,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Douglas, Bella",1000000001384,Left,PUR_BOI_SB,Undefined,1,Top,0,0,0,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,62.64452,5.255057,-0.97915,1443.703268,333.653787,5:00,1.88552,0.50735,4.84814,-35.27726,-1.76193,1.28484,2.32501,-0.01343,58.09473,-4.105547,-0.646107,0.416671,56.5262,7.152009,-168.654019,1774.766542,,,,46.44887,24.71835,-172.271156,0.638313,-1.66366,-3.06114,-0.71773,50,0.53879,1.73661,-93.39955,12.76404,-1.45249,15.59378,-34.84664,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251024-BittingerStadium-Private-1,ecefd040-b11e-11f0-baed-39b30ccfe148,90.46094,4.54979,,,,3.34781,,1.36665,2.18247,0.00729,2025-10-24,21:18:02.30,2025-10-24T17:18:02.3080000-04:00,2025-10-24T21:18:02.3080000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,72f7c468-4e1b-4fcd-92b7-7ec13d4b5e9c,38.14946,-91.3996,7.79689,1.88922,8.29484,-17.42332,-0.50695,1.55032,-0.72624,57.385868,1.36318,-80.58042,9.93692,,,,,,,2.21687,9.59014,-20.5431,,,,,,,-0.02203,-15.55591,9.15842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,0678693c-3ef5-44db-a9c5-7b33ba091b76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-10-24,17:18:21.63,2,2,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Douglas, Bella",1000000001384,Left,PUR_BOI_SB,Undefined,1,Top,0,0,0,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.35052,7.824292,-0.327515,1438.115994,82.368207,8:45,1.87607,0.50025,4.89474,-35.82801,0.84169,-1.13563,3.93204,0.1959,55.16199,-1.708893,-0.621536,0.435838,,,,,,,,,,,,1.06126,-1.02913,-0.56236,50,-0.01404,0.40173,-89.61855,16.3277,0.84508,15.47311,-32.99354,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251024-BittingerStadium-Private-1,f87f6880-b11e-11f0-baed-39b30ccfe148,86.4827,5.18853,,,,,,,,,2025-10-24,21:18:21.63,2025-10-24T17:18:21.6320000-04:00,2025-10-24T21:18:21.6320000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,72f7c468-4e1b-4fcd-92b7-7ec13d4b5e9c,38.09984,-87.53981,7.73656,1.88177,11.89519,-16.49677,-0.50076,0.51526,0.42254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,a590ab5a-6a94-4506-852a-09e575d8f499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-10-24,17:18:38.34,2,3,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Douglas, Bella",1000000001384,Left,PUR_BOI_SB,Undefined,1,Top,0,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.84668,3.105145,-0.013127,1485.73693,291.82422,3:45,1.81477,0.58175,4.63015,-33.54057,-0.10925,2.27768,1.02437,0.76309,58.72534,-5.745814,0.575123,0.416148,,,,,,,,,,,,-2.36382,-0.47528,-0.59705,50,0.95314,0.25963,-93.83679,8.95402,-2.09266,15.14368,-32.5948,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251024-BittingerStadium-Private-1,02654860-b11f-11f0-baed-39b30ccfe148,90.57453,4.12134,,,,,,,,,2025-10-24,21:18:38.34,2025-10-24T17:18:38.3440000-04:00,2025-10-24T21:18:38.3440000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,72f7c468-4e1b-4fcd-92b7-7ec13d4b5e9c,38.36649,-91.94017,7.57184,1.81893,4.87178,-16.2974,-0.58095,-0.00246,-1.04633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,5649abc3-f440-4472-b504-56e342ef0d84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-10-24,17:18:56.82,2,4,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Douglas, Bella",1000000001384,Left,PUR_BOI_SB,Undefined,1,Top,0,2,0,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.25973,5.948297,-0.943314,1467.293208,314.972643,4:30,1.75023,0.62045,4.8582,-35.71888,-2.87764,3.67563,2.60065,0.32205,58.69257,-3.513677,0.009243,0.412459,55.87411,60.06254,-58.853991,4291.062549,,,,115.51836,84.98596,-71.441211,3.825647,-4.1741,-4.41945,-0.83844,50,0.25397,1.95751,-94.16144,14.08412,-3.71691,15.38929,-36.10945,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251024-BittingerStadium-Private-1,0d68a630-b11f-11f0-baed-39b30ccfe148,91.38465,4.56716,,,,63.69928,,2.01023,2.63625,-0.32204,2025-10-24,21:18:56.82,2025-10-24T17:18:56.8270000-04:00,2025-10-24T21:18:56.8270000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,72f7c468-4e1b-4fcd-92b7-7ec13d4b5e9c,38.13981,-92.2027,7.69465,1.7541,9.48812,-18.05472,-0.61939,1.48442,-1.85846,,2.0065,21.29285,-8.34596,4.39937,-3.24976,1.94499,-0.69181,0.12734,-0.00931,2.63465,71.05742,-24.04792,2.93415,-0.98307,0.36436,-0.10284,0.01644,-0.00108,-0.32113,-35.02227,2.65284,-0.48631,0.15561,-0.04734,0.00237,0.00229,-0.00035,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,571d3f38-7190-4659-93f3-ccc2df73b71f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-10-24,17:19:17.63,2,5,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Douglas, Bella",1000000001384,Left,PUR_BOI_SB,Undefined,1,Top,0,2,1,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,62.69358,4.147968,-0.662539,1245.950236,324.357173,4:45,1.7884,0.64191,4.63391,-36.11541,-2.27284,2.255,1.45862,0.40254,58.16245,-5.38662,-0.080568,0.4187,,,,,,,,,,,,-2.56622,-3.23051,-0.78932,50,0.69743,1.32006,-93.65129,10.91598,-2.24412,16.16786,-34.99907,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251024-BittingerStadium-Private-1,19d4e2d0-b11f-11f0-baed-39b30ccfe148,90.02251,4.53113,,,,,,,,,2025-10-24,21:19:17.63,2025-10-24T17:19:17.6300000-04:00,2025-10-24T21:19:17.6300000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,72f7c468-4e1b-4fcd-92b7-7ec13d4b5e9c,38.36352,-91.62036,8.08393,1.79251,6.51956,-17.49954,-0.64121,1.03817,-1.12206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,c05e8df5-da46-4f01-b945-03d2af37346d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-10-24,17:19:36.56,2,6,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Douglas, Bella",1000000001384,Left,PUR_BOI_SB,Undefined,1,Top,0,2,2,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.95414,8.470082,-2.310949,1397.142971,351.827149,5:45,1.84633,0.44376,4.69175,-36.36104,-2.26559,0.45394,4.31451,-1.00719,57.64372,-1.094378,-2.194308,0.420262,,,,,,,,,,,,-1.20748,-4.33882,-0.9178,50,-0.13837,3.80396,-93.15535,17.97013,-1.04502,15.96558,-35.92911,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20251024-BittingerStadium-Private-1,251f5bc0-b11f-11f0-baed-39b30ccfe148,89.68805,5.31043,,,,,,,,,2025-10-24,21:19:36.56,2025-10-24T17:19:36.5600000-04:00,2025-10-24T21:19:36.5600000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,72f7c468-4e1b-4fcd-92b7-7ec13d4b5e9c,38.30386,-91.12875,7.98279,1.85323,13.40943,-17.96455,-0.44336,3.67131,-0.52251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,09232a43-460c-44bb-a8a0-d5c7ca890e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
