PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-11-24,15:18:55.60,,,,,Undefined,PUR_BOI_SB,"Sarago, Kate",1000000001388,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,FlyBall,Undefined,0,0,,67.11788,5.464972,0.689666,1132.325147,22.333647,6:45,1.824,-0.11846,4.97472,-40.0188,-10.21965,-4.61126,1.99178,-0.06205,60.61781,-5.204172,-0.510405,0.392892,58.25347,24.686736,19.412173,2310.916838,98.65523,21.3816,48.65332,149.44116,146.98376,29.348988,2.657583,5.18091,-12.74249,0.2894,50,0.40469,-1.73507,-100.80723,14.51604,5.05995,24.13255,-44.61902,PUR_BOI_SB,,BittingerStadium,,,20251124-BittingerStadium-BP-2,cdafa360-c972-11f0-b254-2196bd51a00c,95.93585,24.80886,,6.50007,,,,3.33368,2.81808,0.56516,374b16b4-aa74-4757-bcd1-572c6f997084,2025-11-24,20:18:55.60,2025-11-24T15:18:55.6037120-05:00,2025-11-24T20:18:55.6037120Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,43b81679-b6bd-4e11-b32e-69c29090925b,38.02298,-97.89803,12.06627,1.8304,9.13719,-22.30951,0.117,-1.12509,2.52997,219.086673,3.3337,73.21641,-15.2171,3.26981,-0.66986,0.1469,-0.03311,0.00527,-0.00035,2.81809,35.68263,-15.10315,0.48617,0.10037,-0.11572,0.04986,-0.00983,0.00075,0.56518,25.79934,1.46771,-0.68066,0.30464,-0.15012,0.05581,-0.01171,0.00102,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-11-24,15:19:02.08,,,,,Undefined,PUR_BOI_SB,"Sarago, Kate",1000000001388,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,GroundBall,Undefined,0,0,,66.37145,6.50996,0.699483,953.842432,7.788749,6:15,1.79374,-0.12677,4.93802,-42.42242,-11.68654,-1.74539,2.44052,0.17518,59.61474,-4.777859,0.246242,0.39902,62.15575,-7.791826,-40.093801,,,,,17.10018,17.10018,-34.533849,0.165833,2.13898,-14.60383,0.28203,50,0.15205,-1.40428,-99.54556,16.35372,2.02959,24.04532,-46.03106,PUR_BOI_SB,,BittingerStadium,,,20251124-BittingerStadium-BP-2,d187d480-c972-11f0-b254-2196bd51a00c,94.46261,2.53535,,6.75671,,,,3.01254,2.53535,-0.14105,374b16b4-aa74-4757-bcd1-572c6f997084,2025-11-24,20:19:02.08,2025-11-24T15:19:02.0812288-05:00,2025-11-24T20:19:02.0812288Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,3ee0c5b6-c042-4181-bc5d-b00c672effe6,38.05941,-96.61826,12.02266,1.80186,10.74985,-23.01553,0.12611,-1.1572,1.0148,62.583715,3.01295,69.06152,-13.78203,,,,,,,2.53578,-12.39338,-17.49096,,,,,,,-0.14099,-58.17473,3.42606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-11-24,15:19:10.88,,,,,Undefined,PUR_BOI_SB,"Sarago, Kate",1000000001388,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,FlyBall,Undefined,0,0,,66.31062,5.760352,1.37521,846.955676,4.285977,6:15,1.83514,-0.09578,4.94845,-40.10124,-9.33961,-0.78098,2.19007,0.71862,59.56647,-4.938478,1.172296,0.399187,65.63775,42.491729,-23.597523,,101.23406,64.68596,-43.03063,173.35356,172.67713,-23.725002,4.312699,1.43689,-11.84859,0.38687,50,0.36275,-2.47532,-99.58878,14.7898,1.3615,24.38335,-43.40088,PUR_BOI_SB,,BittingerStadium,,,20251124-BittingerStadium-BP-2,d6c56200-c972-11f0-b254-2196bd51a00c,94.42309,65.54474,,6.74415,,,,2.8437,2.49646,-0.68204,374b16b4-aa74-4757-bcd1-572c6f997084,2025-11-24,20:19:10.88,2025-11-24T15:19:10.8870144-05:00,2025-11-24T20:19:10.8870144Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,96a564c8-72e1-4eb2-9b6a-8d071d1dec94,38.04823,-96.6182,12.19168,1.84248,9.50235,-21.70044,0.09541,-2.30945,0.68075,182.993994,2.84569,64.99715,-16.34931,4.13595,-0.50894,-0.08203,0.04747,-0.00756,0.00042,2.49474,65.06633,-18.55867,1.01663,-0.04529,-0.03928,0.02458,-0.00545,0.0004,-0.68277,-28.39604,7.90067,-2.33943,0.40256,-0.0045,-0.01584,0.00312,-0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-11-24,15:19:20.11,,,,,Undefined,PUR_BOI_SB,"Sarago, Kate",1000000001388,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Popup,Undefined,0,0,,66.86388,6.355666,1.003835,856.106969,1.876324,6:00,1.8149,-0.11842,4.98274,-41.59309,-11.87276,-0.41815,2.42618,0.48805,61.01997,-4.681832,0.895116,0.392372,53.4102,35.560186,-3.20553,1469.336043,109.98566,30.71967,1.77175,148.29655,146.35377,2.172314,3.262133,0.81839,-14.44654,0.33083,50,0.19341,-1.79907,-99.96253,16.22459,0.80078,21.06107,-46.30963,PUR_BOI_SB,,BittingerStadium,,,20251124-BittingerStadium-BP-2,dc472470-c972-11f0-b254-2196bd51a00c,96.06292,37.0184,,5.84391,,,,1.91966,2.6132,-0.49189,374b16b4-aa74-4757-bcd1-572c6f997084,2025-11-24,20:19:20.11,2025-11-24T15:19:20.1196544-05:00,2025-11-24T20:19:20.1196544Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,5c419d52-bc04-4d15-9e2c-17a0419615ec,38.01602,-97.4049,10.53054,1.82222,10.60083,-23.15481,0.11826,-1.70182,0.40039,198.891852,1.92001,63.61419,-11.28123,2.76415,-0.4061,-0.00581,0.01305,-0.00078,-0.00013,2.61311,45.55704,-15.89737,0.48062,0.16638,-0.17602,0.08506,-0.0194,0.00165,-0.49199,-3.55992,3.45879,-0.93052,0.15578,-0.00391,-0.00439,0.00059,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-11-24,15:19:28.51,,,,,Undefined,PUR_BOI_SB,"Sarago, Kate",1000000001388,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,LineDrive,Undefined,0,0,,66.3959,5.685646,0.405996,2225.537635,12.970244,6:30,1.80418,-0.12603,4.90702,-42.23368,-12.40158,-3.03563,1.93631,-0.11911,61.44014,-5.473903,-0.382604,0.393109,61.87229,10.340382,-37.541859,1782.560807,,,,86.09087,85.3808,-41.918593,1.05767,3.35839,-14.66871,0.22937,50,0.31987,-1.05683,-99.12208,15.09159,3.28546,18.3128,-46.52421,PUR_BOI_SB,,BittingerStadium,,,20251124-BittingerStadium-BP-2,e1569d10-c972-11f0-b254-2196bd51a00c,95.88283,5.79095,,4.95576,,,,3.1587,2.10534,0.10215,374b16b4-aa74-4757-bcd1-572c6f997084,2025-11-24,20:19:28.51,2025-11-24T15:19:28.5175296-05:00,2025-11-24T20:19:28.5175296Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,ffe0198e-cbb2-40b4-aa69-b90d95a14b94,38.09296,-96.89729,9.1564,1.80999,9.43943,-23.2621,0.12522,-0.65769,1.64273,94.2148,3.1587,70.78456,-14.8843,2.803,-0.58695,0.09125,-0.01486,0.00224,-0.00019,2.10534,16.28849,-18.59772,1.44691,-0.23009,0.0398,-0.00436,0.00069,-0.00011,0.10215,-54.39711,-0.99485,1.2216,-0.42879,0.11388,-0.02566,0.00478,-0.00051,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-11-24,15:19:37.46,,,,,Undefined,PUR_BOI_SB,"Sarago, Kate",1000000001388,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,GroundBall,Undefined,0,0,,67.31265,4.415175,-0.35284,958.367666,18.557954,6:30,1.83911,-0.10971,4.95376,-40.29908,-10.87319,-3.96575,1.30916,-0.66576,61.30039,-6.307703,-1.385701,0.390423,34.43745,14.113752,-31.58406,6589.911302,,,,41.82609,41.45689,-30.772761,0.859195,4.05209,-12.88717,0.05938,50,0.64027,0.16953,-101.15841,12.74945,4.01164,23.33737,-44.93261,PUR_BOI_SB,,BittingerStadium,,,20251124-BittingerStadium-BP-2,e69d2b40-c972-11f0-b254-2196bd51a00c,96.54244,3.78595,,6.01226,,,,2.83476,1.51839,0.62514,374b16b4-aa74-4757-bcd1-572c6f997084,2025-11-24,20:19:37.46,2025-11-24T15:19:37.4672896-05:00,2025-11-24T20:19:37.4672896Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e0bba79a-83b3-451a-a710-fc6c333b9072,38.04439,-98.36157,11.66868,1.84554,7.36456,-22.46631,0.10851,0.6503,2.00582,99.103138,2.83476,41.72777,-4.51477,1.10383,-0.29871,0.23757,-0.31251,0.23284,-0.06875,1.51839,12.31624,-16.96976,0.75751,-0.04281,-0.23686,0.38284,-0.28395,0.08351,0.62514,-25.655,-0.03137,0.10786,-0.12194,0.22888,-0.32397,0.24086,-0.07083,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-11-24,15:19:48.35,,,,,Undefined,PUR_BOI_SB,"Condon, Maura",100000001235,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,LineDrive,Undefined,0,0,,65.96811,5.573093,-0.150907,1304.92812,20.924916,6:45,1.82933,-0.12169,5.03056,-43.47258,-12.41949,-5.18335,1.77334,-0.64991,59.09113,-6.044953,-1.502113,0.401074,30.40196,26.681367,40.490378,3169.093653,,,,48.44793,47.98986,44.534543,1.338754,5.33973,-14.95631,0.11708,50,0.37323,-0.28752,-99.3009,14.74812,4.99268,25.27418,-46.15834,PUR_BOI_SB,,BittingerStadium,,,20251124-BittingerStadium-BP-2,ed24ec00-c972-11f0-b254-2196bd51a00c,93.97888,7.91194,,6.87697,,,,1.03198,1.82764,0.65962,374b16b4-aa74-4757-bcd1-572c6f997084,2025-11-24,20:19:48.35,2025-11-24T15:19:48.3514880-05:00,2025-11-24T20:19:48.3514880Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,ce1171a4-15f9-4238-9c08-13ea7da7a1e8,37.96633,-96.18933,12.63709,1.83911,9.06544,-23.07917,0.11952,0.32714,2.49634,237.129323,1.03197,30.30234,-4.33404,0.63482,-0.57523,0.27238,0.0941,-0.13947,0.03783,1.82764,20.02201,-16.9365,0.85889,-0.22084,0.23635,-0.19594,0.08085,-0.01361,0.65962,25.87027,-0.58837,-0.17262,0.0452,-0.03266,0.07244,-0.04984,0.01125,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-11-24,15:19:56.69,,,,,Undefined,PUR_BOI_SB,"Condon, Maura",100000001235,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,GroundBall,Undefined,0,0,,64.08427,5.20436,-0.0339,930.695989,8.745478,6:15,1.84088,-0.12457,5.14996,-44.31624,-12.02575,-2.01437,1.46636,-0.314,58.12481,-6.653403,-0.561071,0.408986,72.4301,0.752558,-10.823288,2496.080066,,,,50.57339,50.57339,-10.86541,0.494486,2.12122,-14.40162,0.12915,50,0.42466,-0.16269,-96.33421,14.01143,1.89472,21.84373,-45.03797,PUR_BOI_SB,,BittingerStadium,,,20251124-BittingerStadium-BP-2,f217dbf0-c972-11f0-b254-2196bd51a00c,92.16065,1.52735,,5.95946,,,,1.50704,1.47115,0.28279,374b16b4-aa74-4757-bcd1-572c6f997084,2025-11-24,20:19:56.69,2025-11-24T15:19:56.6948352-05:00,2025-11-24T20:19:56.6948352Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,edf80fd2-f01e-4221-8e3d-e23fd92134f3,37.84816,-93.53821,10.92187,1.84917,8.24657,-22.51898,0.12385,0.07983,0.94736,159.726405,1.52231,103.9172,-13.31448,,,,,,,1.46878,1.46145,-8.95386,,,,,,,0.2834,-19.96348,0.22291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-11-24,15:20:05.23,,,,,Undefined,PUR_BOI_SB,"Condon, Maura",100000001235,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,GroundBall,Undefined,0,0,,66.46628,5.303837,0.136344,869.208657,18.332712,6:30,1.8236,-0.11757,4.90325,-41.43947,-10.71902,-3.91792,1.77551,-0.35678,59.64622,-5.741443,-0.881598,0.398919,62.69489,4.002895,-17.28522,5798.549758,,,,49.29945,49.29945,-18.024362,0.564925,4.13233,-12.96576,0.16596,50,0.45382,-0.65117,-99.98571,14.09189,3.93076,25.14446,-44.50741,PUR_BOI_SB,,BittingerStadium,,,20251124-BittingerStadium-BP-2,f729eca0-c972-11f0-b254-2196bd51a00c,94.48635,2.41645,,6.82007,,,,1.38788,1.83778,0.31279,374b16b4-aa74-4757-bcd1-572c6f997084,2025-11-24,20:20:05.23,2025-11-24T15:20:05.2314112-05:00,2025-11-24T20:20:05.2314112Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,e3c3fb4a-4281-4690-b949-b7d199a9158c,38.09323,-96.94515,12.57223,1.83245,8.70991,-22.25371,0.11595,-0.17585,1.96538,78.595783,1.40382,87.20355,-11.91315,,,,,,,1.85092,6.106,-16.64714,,,,,,,0.31729,-27.36323,-0.36831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-11-24,15:20:14.17,,,,,Undefined,PUR_BOI_SB,"Condon, Maura",100000001235,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,GroundBall,Undefined,0,0,,66.62424,6.580765,0.831169,813.807889,0.314429,6:00,1.8354,-0.10953,4.95486,-40.86801,-10.47906,-0.06319,2.65578,0.4166,59.99951,-4.295932,0.81477,0.396761,41.19023,-16.269022,-7.739238,,,,,8.72419,8.72419,-9.720064,0.139438,0.42059,-13.11457,0.2833,50,0.18835,-1.45473,-99.80677,16.34271,0.40324,23.45197,-44.74775,PUR_BOI_SB,,BittingerStadium,,,20251124-BittingerStadium-BP-2,fc7fe420-c972-11f0-b254-2196bd51a00c,95.00034,2.52214,,6.62473,,,,0.67988,2.52214,-0.40187,374b16b4-aa74-4757-bcd1-572c6f997084,2025-11-24,20:20:14.17,2025-11-24T15:20:14.1779968-05:00,2025-11-24T20:20:14.1779968Z,,V3 - Softball,,,,,,Undefined,PUR_BOI_SB,95a62e4f-46b4-461c-9754-019ae42c9655,38.04203,-96.95626,11.72598,1.84421,10.90376,-22.37388,0.10946,-1.40572,0.20162,182.466955,0.68,57.45309,-4.7481,,,,,,,2.52216,-16.92588,-8.33522,,,,,,,-0.40189,-7.80765,0.90761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
