PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-06,13:40:01.09,1,1,"McLean, Hailey",100000005084,Right,UNI_NEV_SB,"Click, Keirys",100000004697,Right,ILL_FIG_SB,Undefined,1,Top,0,0,0,Curveball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,62.39492,4.950811,-0.546773,2867.944845,147.646665,11:00,1.87401,0.38328,5.18748,-27.25525,6.25485,-3.3724,2.75563,-0.24509,57.20472,-2.434781,-1.429478,0.416638,,,,,,,,,,,,3.37858,5.49359,-0.47934,50,0.60002,0.52462,-93.31406,11.46249,2.89922,17.54412,-27.45989,UNI_NEV_SB,ILL_FIG_SB,LSUSoftball,D1,MW,20260206-LSUSoftball-2,a1e2b0a0-0393-11f1-b4ef-dfa3fa295905,90.46803,,,5.1902,,,,,,,c2df643f-f5a9-452b-80ac-8c8de90951a1,2026-02-06,19:40:01.09,2026-02-06T13:40:01.0990000-06:00,2026-02-06T19:40:01.0990000Z,,V3 - Softball,,,,"Glover, Karolyn",100000001746,Right,UNI_NEV_SB,51ac964a-8518-470c-aae1-3f2ab8429022,37.80685,-90.99274,8.77206,1.8763,7.82918,-13.72994,-0.38454,0.90822,1.44961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-06,13:40:18.60,1,2,"McLean, Hailey",100000005084,Right,UNI_NEV_SB,"Click, Keirys",100000004697,Right,ILL_FIG_SB,Undefined,1,Top,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.56256,6.407837,-2.175764,1587.404525,140.15066,10:45,1.84771,0.16767,4.95284,-29.61738,4.55252,-2.95925,3.49642,-1.47062,56.88128,-1.549661,-2.943275,0.42072,,,,,,,,,,,,2.25602,2.99591,-0.6059,50,0.28536,3.24316,-93.3255,13.98456,1.92255,18.45663,-29.62097,UNI_NEV_SB,ILL_FIG_SB,LSUSoftball,D1,MW,20260206-LSUSoftball-2,ac4cb4a0-0393-11f1-b4ef-dfa3fa295905,89.59027,,,5.68128,,,,,,,c2df643f-f5a9-452b-80ac-8c8de90951a1,2026-02-06,19:40:18.60,2026-02-06T13:40:18.6020000-06:00,2026-02-06T19:40:18.6020000Z,,V3 - Softball,,,,"Glover, Karolyn",100000001746,Right,UNI_NEV_SB,997d82ef-df82-4323-99d3-0c83147aa15d,38.04089,-90.92964,9.22831,1.85114,10.13945,-14.81049,-0.16871,3.49272,0.96127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-06,13:40:36.56,1,3,"McLean, Hailey",100000005084,Right,UNI_NEV_SB,"Click, Keirys",100000004697,Right,ILL_FIG_SB,Undefined,1,Top,0,1,1,Riseball,,HitByPitch,Undefined,Undefined,Undefined,0,0,,63.32752,4.643173,3.105343,2213.646969,157.585078,11:15,1.82871,0.40374,5.58401,-26.59348,5.5652,-1.88744,2.54064,2.19948,57.57012,-2.653988,2.60706,0.408151,,,,,,,,,,,,3.34957,4.63386,0.29279,50,0.57314,-5.38487,-95.03176,11.24293,2.93318,20.30796,-28.11621,UNI_NEV_SB,ILL_FIG_SB,LSUSoftball,D1,MW,20260206-LSUSoftball-2,b6fb14a0-0393-11f1-b4ef-dfa3fa295905,92.34932,,,5.7574,,,,,,,c2df643f-f5a9-452b-80ac-8c8de90951a1,2026-02-06,19:40:36.56,2026-02-06T13:40:36.5630000-06:00,2026-02-06T19:40:36.5630000Z,,V3 - Softball,,,,"Glover, Karolyn",100000001746,Right,UNI_NEV_SB,fa4809ff-5e06-4793-b9df-95eeae9b554f,37.41249,-92.30266,10.15398,1.83014,7.46452,-14.05811,-0.40437,-4.9907,1.46659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-06,13:41:10.77,2,1,"McLean, Hailey",100000005084,Right,UNI_NEV_SB,"Moore, Ava",100000004692,Right,ILL_FIG_SB,Undefined,1,Top,0,0,0,Curveball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,63.93797,3.355344,-0.421401,882.08561,131.715358,10:30,1.83544,0.26597,5.05832,-24.83163,7.44323,-7.2467,1.90762,-0.60656,58.33168,-3.387669,-2.313226,0.408887,,,,,,,,,,,,7.42363,7.16622,-0.31447,50,0.9359,-0.06753,-95.96633,8.7141,6.66177,20.0648,-25.74328,UNI_NEV_SB,ILL_FIG_SB,LSUSoftball,D1,MW,20260206-LSUSoftball-2,cb64e920-0393-11f1-b4ef-dfa3fa295905,92.18296,,,5.6063,,,,,,,c2df643f-f5a9-452b-80ac-8c8de90951a1,2026-02-06,19:41:10.77,2026-02-06T13:41:10.7760000-06:00,2026-02-06T19:41:10.7760000Z,,V3 - Softball,,,,"Glover, Karolyn",100000001746,Right,UNI_NEV_SB,681b8ec0-844a-488e-abd8-8d5636dc4501,37.93514,-93.40973,10.0324,1.83725,5.43397,-12.87164,-0.269,0.78129,3.33089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-06,13:41:29.45,2,2,"McLean, Hailey",100000005084,Right,UNI_NEV_SB,"Moore, Ava",100000004692,Right,ILL_FIG_SB,Undefined,1,Top,0,0,1,Curveball,,InPlay,Undefined,Bunt,Sacrifice,1,0,,63.28178,4.512767,-0.339919,1040.039681,134.830922,10:30,1.78,0.2047,5.28084,-27.03671,5.29382,-4.4289,2.3922,-0.37975,58.13422,-2.824199,-1.502551,0.40924,,,,,,,,,,,,4.67118,4.55193,-0.24778,50,0.58837,0.04772,-94.77065,10.93815,4.13354,18.12825,-28.14603,UNI_NEV_SB,ILL_FIG_SB,LSUSoftball,D1,MW,20260206-LSUSoftball-2,d682d3d0-0393-11f1-b4ef-dfa3fa295905,92.10353,,,5.14755,,,,,,,c2df643f-f5a9-452b-80ac-8c8de90951a1,2026-02-06,19:41:29.45,2026-02-06T13:41:29.4520000-06:00,2026-02-06T19:41:29.4520000Z,,V3 - Softball,,,,"Glover, Karolyn",100000001746,Right,UNI_NEV_SB,a5231a15-64b3-49e7-99d1-d4f56c0ac5af,37.7154,-92.39091,9.06413,1.78174,7.24334,-14.07302,-0.2059,0.59034,2.06677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-06,13:41:58.61,3,1,"McLean, Hailey",100000005084,Right,UNI_NEV_SB,"Caryl, Adisyn",100000004694,Right,ILL_FIG_SB,Undefined,1,Top,1,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.70342,6.745699,-0.49625,2655.557029,56.204135,7:45,1.81687,0.15965,5.1979,-35.14494,-2.45288,-5.22823,3.19202,-0.59119,57.56259,-2.716019,-1.862968,0.411522,,,,,,,,,,,,5.26362,-4.55122,-0.23723,50,0.12005,0.2772,-95.2724,15.46577,4.63058,20.46994,-36.17791,UNI_NEV_SB,ILL_FIG_SB,LSUSoftball,D1,MW,20260206-LSUSoftball-2,e7ea64d0-0393-11f1-b4ef-dfa3fa295905,91.59283,,,6.14083,,,,,,,c2df643f-f5a9-452b-80ac-8c8de90951a1,2026-02-06,19:41:58.61,2026-02-06T13:41:58.6190000-06:00,2026-02-06T19:41:58.6190000Z,,V3 - Softball,,,,"Glover, Karolyn",100000001746,Right,UNI_NEV_SB,e2c79628-7a4c-48da-add3-0bb08d9eb8a4,37.79659,-92.61331,10.23497,1.82385,10.76617,-18.08895,-0.16215,0.87872,2.31529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-06,13:42:15.24,3,2,"McLean, Hailey",100000005084,Right,UNI_NEV_SB,"Caryl, Adisyn",100000004694,Right,ILL_FIG_SB,Undefined,1,Top,1,1,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.69295,5.408005,-1.649787,2154.472561,152.506405,11:00,1.87987,0.25662,4.84483,-25.21541,7.67402,-3.51595,3.25803,-1.09453,58.25083,-1.374599,-2.560589,0.412762,,,,,,,,,,,,3.04154,6.67737,-0.57946,50,0.56898,2.37621,-95.06024,12.05781,2.70766,18.25198,-26.22965,UNI_NEV_SB,ILL_FIG_SB,LSUSoftball,D1,MW,20260206-LSUSoftball-2,f1d72280-0393-11f1-b4ef-dfa3fa295905,91.31761,,,5.44213,,,,,,,c2df643f-f5a9-452b-80ac-8c8de90951a1,2026-02-06,19:42:15.24,2026-02-06T13:42:15.2450000-06:00,2026-02-06T19:42:15.2450000Z,,V3 - Softball,,,,"Glover, Karolyn",100000001746,Right,UNI_NEV_SB,844ca7e1-1f20-47d2-895d-748d7502396b,38.14821,-92.75674,9.12599,1.88185,8.74747,-13.11483,-0.25801,2.71794,1.35383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-06,13:42:31.82,3,3,"McLean, Hailey",100000005084,Right,UNI_NEV_SB,"Caryl, Adisyn",100000004694,Right,ILL_FIG_SB,Undefined,1,Top,1,2,0,Curveball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,64.03594,4.78885,-0.898349,2401.242356,130.571156,10:15,1.87432,0.19583,4.95694,-27.22564,5.11807,-4.87744,2.67433,-0.78494,58.4955,-2.545326,-2.166925,0.409323,,,,,,,,,,,,4.73567,4.22721,-0.3572,50,0.66997,0.99007,-95.8084,11.34049,4.26257,19.16169,-28.36917,UNI_NEV_SB,ILL_FIG_SB,LSUSoftball,D1,MW,20260206-LSUSoftball-2,fbb89590-0393-11f1-b4ef-dfa3fa295905,92.08481,,,5.54044,,,,,,,c2df643f-f5a9-452b-80ac-8c8de90951a1,2026-02-06,19:42:31.82,2026-02-06T13:42:31.8260000-06:00,2026-02-06T19:42:31.8260000Z,,V3 - Softball,,,,"Glover, Karolyn",100000001746,Right,UNI_NEV_SB,97646ddc-6e57-4dbc-a2c7-7c0876604244,38.03661,-93.38508,9.58084,1.8773,7.75272,-14.18459,-0.1979,1.52915,2.13129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-06,13:42:48.76,3,4,"McLean, Hailey",100000005084,Right,UNI_NEV_SB,"Caryl, Adisyn",100000004694,Right,ILL_FIG_SB,Undefined,1,Top,1,2,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.45445,4.093088,-0.756531,1107.875124,79.367065,8:45,1.82271,0.25139,4.83565,-32.03155,0.12146,-4.54799,1.78331,-0.61286,58.87435,-4.467525,-1.936421,0.408115,,,,,,,,,,,,4.40925,-0.75992,-0.38415,50,0.75537,0.80427,-96.60349,10.67671,4.01828,20.03699,-32.8666,UNI_NEV_SB,ILL_FIG_SB,LSUSoftball,D1,MW,20260206-LSUSoftball-2,05d14540-0394-11f1-b4ef-dfa3fa295905,92.35745,,,5.5801,,,,,,,c2df643f-f5a9-452b-80ac-8c8de90951a1,2026-02-06,19:42:48.76,2026-02-06T13:42:48.7640000-06:00,2026-02-06T19:42:48.7640000Z,,V3 - Softball,,,,"Glover, Karolyn",100000001746,Right,UNI_NEV_SB,1b345c61-1735-4c31-b051-97b140aae094,38.15891,-94.11543,10.01849,1.82775,6.59556,-16.4333,-0.2533,1.30323,2.00914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-06,13:43:05.85,3,5,"McLean, Hailey",100000005084,Right,UNI_NEV_SB,"Caryl, Adisyn",100000004694,Right,ILL_FIG_SB,Undefined,1,Top,1,3,1,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.10026,4.786002,-1.54343,2590.971581,116.351929,10:00,1.85043,0.17814,4.9951,-29.67037,2.39059,-3.02984,2.44241,-1.0602,58.86602,-3.173424,-2.331909,0.40753,,,,,,,,,,,,2.62878,1.44028,-0.4842,50,0.62579,2.25451,-95.812,11.64549,2.38181,18.29254,-30.86909,UNI_NEV_SB,ILL_FIG_SB,LSUSoftball,D1,MW,20260206-LSUSoftball-2,0ffbf650-0394-11f1-b4ef-dfa3fa295905,92.48998,,,5.23424,,,,,,,c2df643f-f5a9-452b-80ac-8c8de90951a1,2026-02-06,19:43:05.85,2026-02-06T13:43:05.8520000-06:00,2026-02-06T19:43:05.8520000Z,,V3 - Softball,,,,"Glover, Karolyn",100000001746,Right,UNI_NEV_SB,595656f5-e72c-4fe3-a4ec-d684d1a7ee6f,37.99976,-93.49284,9.14627,1.85414,7.73184,-15.43454,-0.17923,2.55648,1.19091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
