PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-07,13:01:07.84,1,1,"Roelling, Randi",100000002363,Left,GEO_BUL_SB,"Nogay, Neleh",100000005968,Left,FOR_UNI_SB,Undefined,1,Top,0,0,0,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.06318,6.256525,-0.009866,1072.813822,130.389678,10:15,1.61316,-0.28095,6.42693,-23.06391,6.49536,-6.76331,3.54548,-0.85062,59.00889,-0.194072,-1.841236,0.391307,,,,,,,,,,,,7.82063,5.73725,0.34012,50,-0.10719,-0.93349,-95.80463,14.03255,7.11463,17.72547,-26.95474,GEO_BUL_SB,FOR_UNI_SB,GeorgiaSoftball,D1,SEC,20260207-GeorgiaSoftball-2,fa9bf100-044e-11f1-bf0c-2facf20c5d06,96.32435,,,5.0543,,,,,,,025363ef-abec-47ae-85db-729b7f7fd8c1,2026-02-07,18:01:07.84,2026-02-07T13:01:07.8410240-05:00,2026-02-07T18:01:07.8410240Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,461688e2-2d89-4e16-a1e7-d25e97fe98d5,36.57006,-93.28678,8.86273,1.61415,10.2037,-13.47737,0.2793,0.07712,3.55731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-07,13:01:33.18,1,2,"Roelling, Randi",100000002363,Left,GEO_BUL_SB,"Nogay, Neleh",100000005968,Left,FOR_UNI_SB,Undefined,1,Top,0,0,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.19009,7.23161,0.989794,1197.387931,125.352379,10:15,1.75818,-0.63869,6.64306,-26.27179,3.63642,-4.15288,4.0031,-0.38111,58.48739,-0.100725,-0.140446,0.39361,,,,,,,,,,,,5.08894,2.50496,0.91184,50,-0.26399,-2.20271,-94.08137,15.98767,4.51937,15.49399,-29.94944,GEO_BUL_SB,FOR_UNI_SB,GeorgiaSoftball,D1,SEC,20260207-GeorgiaSoftball-2,09bee930-044f-11f1-bf0c-2facf20c5d06,95.76076,,,4.7027,,,,,,,025363ef-abec-47ae-85db-729b7f7fd8c1,2026-02-07,18:01:33.18,2026-02-07T13:01:33.1884032-05:00,2026-02-07T18:01:33.1884032Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,cb10751b-0cbe-4ae3-bdcf-05d532b312dc,36.35312,-91.8064,7.74699,1.76063,11.59022,-14.97472,0.63713,-1.53914,2.25969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-07,13:01:51.14,1,3,"Roelling, Randi",100000002363,Left,GEO_BUL_SB,"Nogay, Neleh",100000005968,Left,FOR_UNI_SB,Undefined,1,Top,0,1,1,Dropball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,65.04251,5.591566,1.645953,1041.309566,0.030045,6:00,1.69198,-0.41206,5.8648,-39.76455,-9.75075,-0.00559,1.87664,0.61386,59.17874,-5.252363,1.644459,0.394305,,,,,,,,,,,,0.67457,-12.29556,0.78177,50,0.10527,-2.80798,-97.69557,14.84325,0.62402,21.51899,-43.54849,GEO_BUL_SB,FOR_UNI_SB,GeorgiaSoftball,D1,SEC,20260207-GeorgiaSoftball-2,146ea8c0-044f-11f1-bf0c-2facf20c5d06,95.59217,,,5.86378,,,,,,,025363ef-abec-47ae-85db-729b7f7fd8c1,2026-02-07,18:01:51.14,2026-02-07T13:01:51.1412224-05:00,2026-02-07T18:01:51.1412224Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,1a5478ae-d9d7-4212-a55b-8df8b397ca8b,37.13269,-94.81899,10.75949,1.70037,9.02185,-21.77425,0.41198,-2.72457,0.31201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-07,13:02:09.87,1,4,"Roelling, Randi",100000002363,Left,GEO_BUL_SB,"Nogay, Neleh",100000005968,Left,FOR_UNI_SB,Undefined,1,Top,0,1,2,Dropball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,64.05182,3.968581,1.6411,1051.459928,353.705467,5:45,1.78184,-0.53599,5.95549,-37.67801,-7.20241,0.89248,1.11474,0.55914,58.8805,-6.336638,1.879943,0.397327,,,,,,,,,,,,-0.36075,-8.89937,0.90063,50,0.55544,-2.64771,-96.30201,11.78023,-0.32692,19.82181,-40.23924,GEO_BUL_SB,FOR_UNI_SB,GeorgiaSoftball,D1,SEC,20260207-GeorgiaSoftball-2,1f9964b0-044f-11f1-bf0c-2facf20c5d06,94.86515,,,5.17133,,,,,,,025363ef-abec-47ae-85db-729b7f7fd8c1,2026-02-07,18:02:09.87,2026-02-07T13:02:09.8770000-05:00,2026-02-07T18:02:09.8770000Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,b6be80e3-9f16-41e7-80bc-f896ec237aa1,37.04206,-93.59689,9.91091,1.78839,6.2887,-20.11962,0.53625,-2.69233,-0.16346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.58787,,,0.828516,,,,1.85025,5.00264,-0.78304,43.54155,4.79353,38.81623,1.87701,55.1363,-5.90216,5.01016,10.16217,-12.59765,-0.77137,50.08995,-2.80877,High,High,High,,,High,High,High
5,2026-02-07,13:02:37.37,2,1,"Roelling, Randi",100000002363,Left,GEO_BUL_SB,"McGuire, Kate",100000005971,Right,FOR_UNI_SB,Undefined,1,Top,1,0,0,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.20111,5.539908,-0.586578,1102.137416,127.820688,10:15,1.5119,-0.34726,6.22024,-25.39663,4.0491,-4.35654,2.82564,-1.07236,59.73631,-1.482696,-1.759449,0.390555,,,,,,,,,,,,4.75244,3.41303,0.24837,50,-0.02926,0.39182,-95.79297,13.07763,4.38704,15.70219,-29.02344,GEO_BUL_SB,FOR_UNI_SB,GeorgiaSoftball,D1,SEC,20260207-GeorgiaSoftball-2,3003f810-044f-11f1-bf0c-2facf20c5d06,96.50986,,,4.4648,,,,,,,025363ef-abec-47ae-85db-729b7f7fd8c1,2026-02-07,18:02:37.37,2026-02-07T13:02:37.3789696-05:00,2026-02-07T18:02:37.3789696Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,f02c39d5-c7af-49b6-86bb-97ce21416c5c,36.77616,-93.60025,7.8511,1.51397,9.02468,-14.51172,0.34586,1.00444,2.19352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-07,13:02:55.74,2,2,"Roelling, Randi",100000002363,Left,GEO_BUL_SB,"McGuire, Kate",100000005971,Right,FOR_UNI_SB,Undefined,1,Top,1,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.12035,3.787707,-0.804063,1056.253183,323.56825,4:45,1.67427,-0.60494,6.01441,-38.81223,-7.07307,6.01937,0.79498,-0.60252,57.19246,-6.892547,0.811305,0.40548,,,,,,,,,,,,-6.93705,-8.63804,0.38237,50,0.48887,2.04236,-95.32959,11.35538,-6.02402,22.31679,-39.67518,GEO_BUL_SB,FOR_UNI_SB,GeorgiaSoftball,D1,SEC,20260207-GeorgiaSoftball-2,3af09990-044f-11f1-bf0c-2facf20c5d06,92.95765,,,5.92789,,,,,,,025363ef-abec-47ae-85db-729b7f7fd8c1,2026-02-07,18:02:55.74,2026-02-07T13:02:55.7427200-05:00,2026-02-07T18:02:55.7427200Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,edc499b7-40e1-437e-be80-73ff99f34d82,36.98134,-92.23157,11.1584,1.68293,5.84766,-19.83759,0.60785,1.2061,-3.01201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-07,13:03:14.30,2,3,"Roelling, Randi",100000002363,Left,GEO_BUL_SB,"McGuire, Kate",100000005971,Right,FOR_UNI_SB,Undefined,1,Top,1,2,0,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.08333,4.213252,-0.304989,1183.883338,142.955357,10:45,1.53212,-0.51584,6.2235,-25.10356,4.13528,-2.66291,2.04509,-0.92597,60.16332,-2.71942,-1.022792,0.389181,34.46548,2.348511,123.037696,5730.249299,,,,19.39901,13.32504,116.016355,0.394982,2.97358,3.94339,0.46959,50,0.29694,0.13378,-95.66295,10.84168,2.76235,14.41679,-28.5108,GEO_BUL_SB,FOR_UNI_SB,GeorgiaSoftball,D1,SEC,20260207-GeorgiaSoftball-2,45fca9f0-044f-11f1-bf0c-2facf20c5d06,96.85072,1.78488,,3.92001,,,,2.30374,1.71949,0.80662,025363ef-abec-47ae-85db-729b7f7fd8c1,2026-02-07,18:03:14.30,2026-02-07T13:03:14.3025152-05:00,2026-02-07T18:03:14.3025152Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,554c0a79-eaa5-4f3b-a7fb-af17ef91ac67,36.77413,-93.64855,7.20839,1.53349,6.85798,-14.2554,0.51525,0.51975,1.38117,0.925821,2.3038,-27.53787,0.4112,,,,,,,1.71993,2.05667,-16.23425,,,,,,,0.80652,42.34358,-0.62872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2026-02-07,13:03:57.90,2,4,"Roelling, Randi",100000002363,Left,GEO_BUL_SB,"McGuire, Kate",100000005971,Right,FOR_UNI_SB,Undefined,1,Top,1,2,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,53.99715,5.820771,-0.298516,827.901416,354.746323,5:45,1.71867,-0.58485,5.63425,-50.55806,-7.08906,0.75776,1.17031,-0.709,50.08492,-7.849318,-0.097709,0.474527,,,,,,,,,,,,-0.92752,-8.95709,0.51377,50,0.01003,0.49787,-80.76278,13.84052,-0.59925,12.65717,-37.96103,GEO_BUL_SB,FOR_UNI_SB,GeorgiaSoftball,D1,SEC,20260207-GeorgiaSoftball-2,600cdfe0-044f-11f1-bf0c-2facf20c5d06,79.43154,,,3.91223,,,,,,,025363ef-abec-47ae-85db-729b7f7fd8c1,2026-02-07,18:03:57.90,2026-02-07T13:03:57.9019776-05:00,2026-02-07T18:03:57.9019776Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,ee5b57db-37ec-458c-81c0-d1977a7e72c5,37.36479,-78.7577,6.32858,1.72626,7.82693,-18.98052,0.58512,0.40294,-0.29963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-07,13:04:17.54,2,5,"Roelling, Randi",100000002363,Left,GEO_BUL_SB,"McGuire, Kate",100000005971,Right,FOR_UNI_SB,Undefined,1,Top,1,3,1,Screwball,,InPlay,Undefined,Popup,Out,1,0,,63.25068,5.277018,0.491149,1196.822261,151.566453,11:00,1.62157,-0.33146,6.64311,-24.41025,5.26284,-2.47059,2.81467,-0.23782,58.6985,-1.572696,-0.182341,0.39206,40.15364,54.073471,-8.684474,2938.6934,,,,75.41047,71.15035,-6.451067,3.128352,3.04043,4.88355,0.47204,50,0.0872,-1.16588,-94.61513,12.54554,2.72167,16.12004,-27.80251,GEO_BUL_SB,FOR_UNI_SB,GeorgiaSoftball,D1,SEC,20260207-GeorgiaSoftball-2,6ba88610-044f-11f1-bf0c-2facf20c5d06,96.1394,37.71769,,4.55218,,,,2.34913,2.83866,0.235,025363ef-abec-47ae-85db-729b7f7fd8c1,2026-02-07,18:04:17.54,2026-02-07T13:04:17.5478272-05:00,2026-02-07T18:04:17.5478272Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,3377b368-1e37-49f4-97d3-3a34c7384b23,36.35379,-92.26087,8.06002,1.62292,8.4851,-13.90126,0.33079,-0.76839,1.36084,184.170424,2.34931,34.15235,-6.95149,1.70195,-0.13689,-0.07733,0.02693,-0.0022,-9E-05,2.83878,47.68261,-17.26077,0.75746,0.01749,-0.14374,0.08144,-0.01931,0.00168,0.23497,-5.21638,1.68202,-0.44816,0.02995,0.03043,-0.01279,0.00199,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
10,2026-02-07,13:04:49.18,3,1,"Roelling, Randi",100000002363,Left,GEO_BUL_SB,"Koratsis, Eva",100000005959,Left,FOR_UNI_SB,Undefined,1,Top,2,0,0,Dropball,,InPlay,Undefined,LineDrive,Single,0,0,,64.84378,4.781045,1.015226,975.518672,314.541241,4:30,1.72437,-0.52136,6.42589,-34.65069,-5.32748,6.38028,1.77782,0.63335,58.81904,-4.865848,2.743837,0.389742,52.51626,22.880912,1.919312,6810.833355,,,,127.01133,126.59477,2.267382,2.202947,-6.81205,-7.59154,0.70762,50,0.26956,-0.88245,-97.82953,13.19622,-6.25993,22.85354,-39.15028,GEO_BUL_SB,FOR_UNI_SB,GeorgiaSoftball,D1,SEC,20260207-GeorgiaSoftball-2,7e81a870-044f-11f1-bf0c-2facf20c5d06,96.71129,17.14111,,6.02474,,,,2.08347,1.6393,-0.6096,025363ef-abec-47ae-85db-729b7f7fd8c1,2026-02-07,18:04:49.18,2026-02-07T13:04:49.1860992-05:00,2026-02-07T18:04:49.1860992Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,b1ccdc2b-2d8b-480b-9685-f8616659d48e,36.57083,-94.64042,11.42677,1.72985,7.73297,-19.57514,0.52353,-1.756,-3.12996,187.713195,2.08347,70.92314,-10.04789,2.33916,-0.42399,0.03409,0.01676,-0.00823,0.00129,1.63929,29.94885,-14.92046,0.46489,-0.06693,0.08541,-0.0593,0.02178,-0.00313,-0.6096,2.37666,0.39968,-0.24463,0.07485,-0.02167,0.00654,-0.00171,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
