PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-07,17:12:51.19,1,1,"Lessentine, Sydney",100000001173,Right,TEX_A&M_SB,"Davis, Mihyia",1000000000152,Left,TEX_TEC_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.67867,5.785686,-2.708232,1522.944518,159.909295,11:15,1.85635,1.32274,5.80349,-19.92816,9.62008,-3.20512,3.82508,-0.63684,59.76582,0.249746,-3.559348,0.391235,,,,,,,,,,,,2.43473,8.86067,-1.90718,50,0.36725,4.25967,-98.25632,12.8414,2.29405,20.8105,-23.82528,TEX_A&M_SB,TEX_TEC_SB,TexasAM,D1,SEC,20260207-TexasAM-4,86b29dd0-047a-11f1-820c-792432fc54ab,96.34227,,,5.91285,,,,,,,bbfb930a-9b49-458c-b24f-c00278e96ba0,2026-02-07,23:12:51.19,2026-02-07T17:12:51.1941632-06:00,2026-02-07T23:12:51.1941632Z,,V3 - Softball,,,,"Sauni, Maddie",100000003175,Right,TEX_A&M_SB,5cfd8c71-fc0f-4830-9fb7-23f9f758984b,37.18924,-95.50448,10.40525,1.85701,9.69092,-11.91264,-1.32385,4.56302,1.14703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-07,17:13:08.18,1,2,"Lessentine, Sydney",100000001173,Right,TEX_A&M_SB,"Davis, Mihyia",1000000000152,Left,TEX_TEC_SB,Undefined,1,Top,0,1,0,Changeup,,InPlay,Undefined,FlyBall,HomeRun,0,1,,55.93219,7.917521,-1.230344,881.648457,42.5833,7:30,1.74415,1.27629,5.41803,-46.89396,-5.16311,-5.86122,2.8671,0.01113,50.99098,-4.713717,-2.767974,0.464943,74.29393,21.971801,26.456657,953.853816,96.76222,31.72675,52.31638,224.16049,215.6244,31.631086,3.057961,5.87831,-7.93713,-1.50439,50,-0.35637,1.19647,-83.37355,16.79066,4.0029,14.60677,-37.57892,TEX_A&M_SB,TEX_TEC_SB,TexasAM,D1,SEC,20260207-TexasAM-4,90d02f80-047a-11f1-820c-792432fc54ab,81.06889,32.24432,,4.94121,,,,2.94892,3.08895,-0.04674,bbfb930a-9b49-458c-b24f-c00278e96ba0,2026-02-07,23:13:08.18,2026-02-07T17:13:08.1827328-06:00,2026-02-07T23:13:08.1827328Z,,V3 - Softball,,,,"Sauni, Maddie",100000003175,Right,TEX_A&M_SB,461bdedb-8a18-414e-9456-cf5b94e42525,37.57985,-81.16842,7.30339,1.75023,11.1175,-18.78946,-1.27815,1.80077,2.00145,208.964439,2.94907,90.46019,-16.40089,3.53262,-0.54803,0.02695,0.01537,-0.00472,0.00047,3.08868,40.78155,-14.96564,0.72749,-0.34199,0.20734,-0.08012,0.01703,-0.00147,-0.04677,45.02151,-3.4291,0.63463,-0.12082,0.03557,-0.01119,0.00212,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-02-07,17:13:52.51,2,1,"Lessentine, Sydney",100000001173,Right,TEX_A&M_SB,"Williams, Mia",100000001381,Right,TEX_TEC_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.43142,5.61269,-2.856626,1440.631003,142.27386,10:45,1.805,1.17582,5.23254,-23.51304,6.98229,-4.7665,3.42238,-1.03525,60.01316,-0.763749,-4.101659,0.397455,,,,,,,,,,,,4.04295,6.02071,-1.75776,50,0.40825,4.32908,-97.60218,12.69855,3.80319,18.91392,-26.51041,TEX_A&M_SB,TEX_TEC_SB,TexasAM,D1,SEC,20260207-TexasAM-4,ab3dc7b0-047a-11f1-820c-792432fc54ab,94.83443,,,5.41826,,,,,,,bbfb930a-9b49-458c-b24f-c00278e96ba0,2026-02-07,23:13:52.51,2026-02-07T17:13:52.5157888-06:00,2026-02-07T23:13:52.5157888Z,,V3 - Softball,,,,"Sauni, Maddie",100000003175,Right,TEX_A&M_SB,15ad2d27-570f-4856-99db-6f237085f116,37.76138,-95.20097,9.45696,1.80675,9.33293,-13.2552,-1.17752,4.81191,1.90159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-07,17:14:10.52,2,2,"Lessentine, Sydney",100000001173,Right,TEX_A&M_SB,"Williams, Mia",100000001381,Right,TEX_TEC_SB,Undefined,1,Top,0,1,0,Dropball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,61.13832,6.183354,-1.732634,914.042233,44.50786,7:30,1.75049,1.15581,5.54135,-40.03896,-5.65103,-6.51189,2.32051,-0.47709,56.05723,-4.64062,-3.449656,0.42206,,,,,,,,,,,,6.35366,-7.62107,-1.49405,50,0.07398,2.05036,-91.41904,14.78349,5.2162,17.22952,-38.43078,TEX_A&M_SB,TEX_TEC_SB,TexasAM,D1,SEC,20260207-TexasAM-4,b5fca270-047a-11f1-820c-792432fc54ab,89.30579,,,5.0811,,,,,,,bbfb930a-9b49-458c-b24f-c00278e96ba0,2026-02-07,23:14:10.52,2026-02-07T17:14:10.5255424-06:00,2026-02-07T23:14:10.5255424Z,,V3 - Softball,,,,"Sauni, Maddie",100000003175,Right,TEX_A&M_SB,0739dadc-fe78-413d-91df-7c558805b4ea,37.45581,-89.02348,8.61476,1.75798,9.44014,-19.21539,-1.15855,2.77561,2.6081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-07,17:14:28.16,2,3,"Lessentine, Sydney",100000001173,Right,TEX_A&M_SB,"Williams, Mia",100000001381,Right,TEX_TEC_SB,Undefined,1,Top,0,1,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.4226,7.621681,-3.226815,933.865008,23.634994,6:45,1.78382,1.22395,5.41174,-42.83979,-8.27587,-4.05158,3.06178,-1.15297,56.12879,-3.866734,-4.287079,0.423139,,,,,,,,,,,,3.14288,-10.87367,-1.89919,50,-0.20484,4.71968,-91.43306,17.34999,2.58479,17.05782,-41.11686,TEX_A&M_SB,TEX_TEC_SB,TexasAM,D1,SEC,20260207-TexasAM-4,c07ffad0-047a-11f1-820c-792432fc54ab,89.07817,,,5.29381,,,,,,,bbfb930a-9b49-458c-b24f-c00278e96ba0,2026-02-07,23:14:28.16,2026-02-07T17:14:28.1698816-06:00,2026-02-07T23:14:28.1698816Z,,V3 - Softball,,,,"Sauni, Maddie",100000003175,Right,TEX_A&M_SB,ffc9d905-cd82-434c-bf27-67f52fec2334,37.58617,-89.08703,8.52891,1.7925,11.69502,-20.55843,-1.22563,5.07517,1.2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-07,17:14:45.74,2,4,"Lessentine, Sydney",100000001173,Right,TEX_A&M_SB,"Williams, Mia",100000001381,Right,TEX_TEC_SB,Undefined,1,Top,0,2,1,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.70639,2.670908,0.004409,1313.539973,168.560665,11:30,1.78038,1.41395,5.46523,-21.34596,8.12182,-1.48394,1.68646,1.29306,60.6898,-3.174665,-0.387539,0.390702,,,,,,,,,,,,1.60599,8.40398,-1.40303,50,1.0113,-0.18824,-98.50392,7.55151,1.54397,18.78782,-24.09466,TEX_A&M_SB,TEX_TEC_SB,TexasAM,D1,SEC,20260207-TexasAM-4,cb129570-047a-11f1-820c-792432fc54ab,96.47373,,,5.0166,,,,,,,bbfb930a-9b49-458c-b24f-c00278e96ba0,2026-02-07,23:14:45.74,2026-02-07T17:14:45.7438208-06:00,2026-02-07T23:14:45.7438208Z,,V3 - Softball,,,,"Sauni, Maddie",100000003175,Right,TEX_A&M_SB,4aba8a7d-0c9b-4411-8583-8c4f57cacba0,37.52957,-96.09598,9.39391,1.78124,4.46342,-12.04733,-1.41447,0.00964,0.77199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-07,17:15:04.82,2,5,"Lessentine, Sydney",100000001173,Right,TEX_A&M_SB,"Williams, Mia",100000001381,Right,TEX_TEC_SB,Undefined,1,Top,0,2,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.8393,3.718794,-2.835292,1344.529444,179.869797,12:00,1.77164,1.32802,4.97893,-22.69671,7.75075,-0.01567,2.26232,-0.48614,60.38203,-2.415144,-2.839359,0.397143,55.16719,36.960628,159.8616,1218.126619,,,,,26.91649,,,-0.99945,7.38477,-1.9212,50,0.81563,4.87429,-98.45432,9.31655,-0.95438,19.58537,-25.12239,TEX_A&M_SB,TEX_TEC_SB,TexasAM,D1,SEC,20260207-TexasAM-4,d654a9f0-047a-11f1-820c-792432fc54ab,94.90896,19.47897,,5.45728,,,,1.30452,2.19985,0.4883,bbfb930a-9b49-458c-b24f-c00278e96ba0,2026-02-07,23:15:04.82,2026-02-07T17:15:04.8227328-06:00,2026-02-07T23:15:04.8227328Z,,V3 - Softball,,,,"Sauni, Maddie",100000003175,Right,TEX_A&M_SB,8b655cf1-2539-45c4-a413-5c48a84c0e07,38.01447,-96.04047,9.79268,1.77307,6.22027,-12.56119,-1.3277,4.75667,-0.47719,321.001863,1.30465,-60.70463,3.26803,,,,,,,2.2089,48.3775,-21.82068,,,,,,,0.49277,22.12462,-4.24834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-02-07,17:15:24.70,2,6,"Lessentine, Sydney",100000001173,Right,TEX_A&M_SB,"Williams, Mia",100000001381,Right,TEX_TEC_SB,Undefined,1,Top,0,2,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.53244,6.401934,-4.232598,1031.743377,18.354647,6:30,1.77509,1.25718,5.55459,-43.21735,-9.27426,-3.38185,2.2272,-1.69104,56.67889,-5.217312,-5.120564,0.419322,,,,,,,,,,,,2.16697,-11.59564,-2.16417,50,0.01983,6.40745,-91.7083,15.61704,1.80078,16.62406,-41.81021,TEX_A&M_SB,TEX_TEC_SB,TexasAM,D1,SEC,20260207-TexasAM-4,e22f7c00-047a-11f1-820c-792432fc54ab,89.8891,,,4.85355,,,,,,,bbfb930a-9b49-458c-b24f-c00278e96ba0,2026-02-07,23:15:24.70,2026-02-07T17:15:24.7089152-06:00,2026-02-07T23:15:24.7089152Z,,V3 - Softball,,,,"Sauni, Maddie",100000003175,Right,TEX_A&M_SB,80ddb034-822b-4a46-84b9-3e189fc35575,37.4442,-89.40333,8.31203,1.78328,9.81994,-20.90511,-1.25845,6.65714,0.90039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-07,17:15:46.92,2,7,"Lessentine, Sydney",100000001173,Right,TEX_A&M_SB,"Williams, Mia",100000001381,Right,TEX_TEC_SB,Undefined,1,Top,0,3,2,Changeup,,InPlay,Undefined,FlyBall,HomeRun,0,1,,57.15477,7.611781,-2.020795,964.51535,40.698692,7:15,1.65842,1.17404,5.31194,-46.31022,-6.30929,-6.37851,2.64948,-0.6373,52.3874,-4.800485,-3.688318,0.455204,70.16553,42.224917,-27.574615,,96.32854,74.01009,-53.11115,215.14451,206.31275,-31.258368,4.560315,6.14835,-8.93056,-1.5669,50,-0.34887,2.3466,-85.12256,16.56766,4.39177,14.5659,-38.55315,TEX_A&M_SB,TEX_TEC_SB,TexasAM,D1,SEC,20260207-TexasAM-4,ef6aef80-047a-11f1-820c-792432fc54ab,82.80332,74.9774,,4.76737,,,,2.2331,2.91261,0.56046,bbfb930a-9b49-458c-b24f-c00278e96ba0,2026-02-07,23:15:46.92,2026-02-07T17:15:46.9217792-06:00,2026-02-07T23:15:46.9217792Z,,V3 - Softball,,,,"Sauni, Maddie",100000003175,Right,TEX_A&M_SB,c0bb0830-7b2c-4ac2-8995-6f5de8785321,37.68651,-82.98877,7.28295,1.66449,10.91993,-19.27658,-1.17602,2.98996,2.19588,171.960951,2.23511,67.50227,-14.77316,3.62702,-0.51491,0.00128,0.01307,-0.00178,7E-05,2.91213,69.16474,-18.05419,0.6459,0.17059,-0.14234,0.04704,-0.00737,0.00044,0.5597,-35.25793,5.85822,-1.45073,0.19711,0.00444,-0.00683,0.00097,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-02-07,17:17:03.40,3,1,"Lessentine, Sydney",100000001173,Right,TEX_A&M_SB,"Pannell, Taylor",1000000000109,Right,TEX_TEC_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.39807,4.193966,-3.614866,1543.637402,152.061479,11:00,1.84008,1.34402,5.19817,-20.09588,9.63249,-4.66173,2.83885,-1.3431,60.77612,-1.29076,-4.830586,0.392425,,,,,,,,,,,,3.58028,9.22839,-2.08753,50,0.77526,5.7414,-99.26829,10.00168,3.46184,20.47762,-23.25105,TEX_A&M_SB,TEX_TEC_SB,TexasAM,D1,SEC,20260207-TexasAM-4,1cff54e0-047b-11f1-820c-792432fc54ab,96.05004,,,5.62194,,,,,,,bbfb930a-9b49-458c-b24f-c00278e96ba0,2026-02-07,23:17:03.40,2026-02-07T17:17:03.4022400-06:00,2026-02-07T23:17:03.4022400Z,,V3 - Softball,,,,"Sauni, Maddie",100000003175,Right,TEX_A&M_SB,4f408175-b551-4c89-bf85-c572e4401add,37.79501,-96.71781,10.23881,1.84062,7.10577,-11.62552,-1.34559,6.17257,1.73092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
