PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-13,20:01:26.20,1,1,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Brockenbrough, Jamison",100000002686,Left,CLE_TIG_SB,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BYU_COU_SB,CLE_TIG_SB,BobcatSBStad,D1,B12,20260213-BobcatSBStad-7,223cae20-09c7-11f1-b811-63f348715eb8,,,,,,,,,,,24b2f4c8-5a2d-47d1-b82a-fdd5be5893e3,2026-02-14,02:01:26.20,2026-02-13T20:01:26.2060000-06:00,2026-02-14T02:01:26.2060000Z,,V3 - Softball,,,,"Brittingham, Ilove'a",100000001892,Right,BYU_COU_SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-13,20:01:46.20,1,2,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Brockenbrough, Jamison",100000002686,Left,CLE_TIG_SB,Undefined,1,Top,0,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.2275,3.092195,-1.482957,1191.642325,217.560095,1:15,1.54467,-0.04874,6.87567,-22.80576,4.71173,3.08614,1.51978,-0.69009,60.49369,-3.364285,-0.635255,0.377551,,,,,,,,,,,,-4.13268,4.94933,-0.34075,50,0.52984,3.00298,-98.0024,9.05042,-3.9401,18.33239,-27.45535,BYU_COU_SB,CLE_TIG_SB,BobcatSBStad,D1,B12,20260213-BobcatSBStad-7,1df62810-0949-11f1-8642-53a8b073a75c,99.83395,,,4.73381,,,,,,,24b2f4c8-5a2d-47d1-b82a-fdd5be5893e3,2026-02-14,02:01:46.20,2026-02-13T20:01:46.2060000-06:00,2026-02-14T02:01:46.2060000Z,,V3 - Softball,,,,"Brittingham, Ilove'a",100000001892,Right,BYU_COU_SB,b0b82205-2b92-4378-bb1c-f792feb732ab,36.12085,-95.37083,9.16619,1.54613,5.10927,-13.72768,0.04973,2.43738,-1.97005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-13,20:02:06.14,1,3,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Brockenbrough, Jamison",100000002686,Left,CLE_TIG_SB,Undefined,1,Top,0,2,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,55.13042,5.921752,-1.061754,911.080687,6.69015,6:15,1.56728,-0.16175,6.81959,-49.722,-10.27788,-1.34413,1.03023,-0.91804,50.57685,-7.993997,-1.430018,0.452025,,,,,,,,,,,,1.13457,-13.6252,-0.08226,50,-0.38637,1.3756,-82.99974,15.08716,0.75839,15.42638,-41.28146,BYU_COU_SB,CLE_TIG_SB,BobcatSBStad,D1,B12,20260213-BobcatSBStad-7,29e08a80-0949-11f1-8642-53a8b073a75c,83.38573,,,4.55357,,,,,,,24b2f4c8-5a2d-47d1-b82a-fdd5be5893e3,2026-02-14,02:02:06.14,2026-02-13T20:02:06.1450000-06:00,2026-02-14T02:02:06.1450000Z,,V3 - Softball,,,,"Brittingham, Ilove'a",100000001892,Right,BYU_COU_SB,22427ba0-9568-4540-b36f-2aa0b5a3f471,36.17975,-80.39008,7.71319,1.57521,8.10362,-20.64073,0.1613,1.50389,0.37919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-13,20:02:23.11,1,4,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Brockenbrough, Jamison",100000002686,Left,CLE_TIG_SB,Undefined,1,Top,0,3,0,Riseball,,BallCalled,Walk,Undefined,Undefined,0,0,,65.86587,6.301207,-2.531349,2331.887706,235.419684,1:45,1.62365,-0.06636,7.25813,-23.23458,3.29225,3.87012,3.48142,-1.26134,61.00637,-0.304805,-1.459672,0.370693,,,,,,,,,,,,-5.4589,2.37181,-0.60566,50,-0.2449,4.972,-98.3825,14.9286,-5.2823,17.46045,-29.87895,BYU_COU_SB,CLE_TIG_SB,BobcatSBStad,D1,B12,20260213-BobcatSBStad-7,33f40a10-0949-11f1-8642-53a8b073a75c,101.68112,,,4.85949,,,,,,,24b2f4c8-5a2d-47d1-b82a-fdd5be5893e3,2026-02-14,02:02:23.11,2026-02-13T20:02:23.1160000-06:00,2026-02-14T02:02:23.1160000Z,,V3 - Softball,,,,"Brittingham, Ilove'a",100000001892,Right,BYU_COU_SB,ee3ecea1-af50-49c3-9e78-f410d00b8b3f,35.73893,-95.81809,8.73023,1.6254,10.54029,-14.93947,0.0676,4.19619,-2.64115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-13,20:03:23.16,2,1,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Pavese, Mac",1000000000646,Left,CLE_TIG_SB,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.70488,4.972825,0.245438,1084.554679,339.45775,5:15,1.57971,0.00824,7.18235,-28.86647,-2.82898,1.32008,2.16746,0.26561,61.48863,-3.213941,0.611039,0.367258,,,,,,,,,,,,-1.48039,-4.63276,0.03929,50,0.00849,-0.22259,-100.25224,13.61244,-1.46722,20.15541,-36.76562,BYU_COU_SB,CLE_TIG_SB,BobcatSBStad,D1,B12,20260213-BobcatSBStad-7,57c18940-0949-11f1-8642-53a8b073a75c,102.63215,,,5.21625,,,,,,,24b2f4c8-5a2d-47d1-b82a-fdd5be5893e3,2026-02-14,02:03:23.16,2026-02-13T20:03:23.1640000-06:00,2026-02-14T02:03:23.1640000Z,,V3 - Softball,,,,"Brittingham, Ilove'a",100000001892,Right,BYU_COU_SB,4ebe83ca-f876-44f1-b1dd-965ff330d5e7,35.81469,-97.35857,10.07771,1.5839,8.33407,-18.38281,-0.00779,-0.43324,-0.73361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-13,20:03:48.06,2,2,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Pavese, Mac",1000000000646,Left,CLE_TIG_SB,Undefined,1,Top,0,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.34567,2.843632,-1.800402,1281.504463,243.393478,2:00,1.52662,0.01127,6.75871,-24.7171,2.67402,4.07453,1.19751,-0.74384,61.10149,-4.092861,-0.68483,0.376683,,,,,,,,,,,,-5.32874,2.68559,-0.48379,50,0.56236,3.69589,-97.9505,8.89727,-5.13375,16.67908,-29.58674,BYU_COU_SB,CLE_TIG_SB,BobcatSBStad,D1,B12,20260213-BobcatSBStad-7,669aa730-0949-11f1-8642-53a8b073a75c,100.064,,,4.24418,,,,,,,24b2f4c8-5a2d-47d1-b82a-fdd5be5893e3,2026-02-14,02:03:48.06,2026-02-13T20:03:48.0610000-06:00,2026-02-14T02:03:48.0610000Z,,V3 - Softball,,,,"Brittingham, Ilove'a",100000001892,Right,BYU_COU_SB,a16f2d34-5061-4551-85bc-1d613455f2aa,36.23859,-95.57847,8.33954,1.52849,4.68958,-14.79337,-0.01009,2.96579,-2.56688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-13,20:04:41.95,2,3,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Pavese, Mac",1000000000646,Left,CLE_TIG_SB,Undefined,1,Top,0,1,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.82977,3.527549,0.368544,1334.208294,254.347225,2:30,1.49209,-0.04163,6.82001,-25.01375,1.68571,4.06929,1.55066,0.52109,61.97977,-3.48209,1.484849,0.371897,50.70523,34.621905,-140.222637,2519.242846,,,,,30.85691,,,-4.7339,1.36197,0.08812,50,0.34841,0.00936,-98.45763,10.25725,-4.65966,15.22867,-30.83345,BYU_COU_SB,CLE_TIG_SB,BobcatSBStad,D1,B12,20260213-BobcatSBStad-7,86b334b0-0949-11f1-8642-53a8b073a75c,101.35188,17.93432,,3.85,,,,1.28949,1.53323,-0.53814,24b2f4c8-5a2d-47d1-b82a-fdd5be5893e3,2026-02-14,02:04:41.95,2026-02-13T20:04:41.9550000-06:00,2026-02-14T02:04:41.9550000Z,,V3 - Softball,,,,"Brittingham, Ilove'a",100000001892,Right,BYU_COU_SB,f5dab1cc-ebda-4fb8-8be8-eb438ccb101d,36.17817,-96.29605,7.61434,1.49373,5.8807,-15.41672,0.04251,-0.65204,-2.32983,44.98394,1.28949,-47.03326,0.32273,0.93988,-0.31679,0.08446,-0.0128,0.00055,0.0011,1.53323,42.25254,-22.75235,2.15189,-0.42741,0.06586,-0.01203,0.0049,-0.00151,-0.53814,-39.15516,6.63899,-1.25613,0.25672,-0.0284,0.0071,-0.00261,0.00082,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-02-13,20:05:06.03,2,4,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Pavese, Mac",1000000000646,Left,CLE_TIG_SB,Undefined,1,Top,0,1,2,Dropball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,67.16874,3.103057,2.012569,1230.607636,358.201834,6:00,1.49564,0.04863,6.6681,-31.58206,-5.26067,0.18665,0.75779,1.29113,62.34116,-5.697264,2.063542,0.369255,,,,,,,,,,,,0.47941,-6.80898,0.42992,50,0.42039,-3.52041,-100.98396,10.54331,0.48355,20.00668,-39.04181,BYU_COU_SB,CLE_TIG_SB,BobcatSBStad,D1,B12,20260213-BobcatSBStad-7,950d1080-0949-11f1-8642-53a8b073a75c,102.07712,,,4.82758,,,,,,,24b2f4c8-5a2d-47d1-b82a-fdd5be5893e3,2026-02-14,02:05:06.03,2026-02-13T20:05:06.0350000-06:00,2026-02-14T02:05:06.0350000Z,,V3 - Softball,,,,"Brittingham, Ilove'a",100000001892,Right,BYU_COU_SB,29235f6d-c237-47ca-9d76-833b4c54be31,36.33006,-98.23838,10.00334,1.49964,5.18549,-19.5209,-0.04865,-3.45406,0.24178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-13,20:05:29.62,3,1,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Knowler, Julia",100000002689,Left,CLE_TIG_SB,Undefined,1,Top,1,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.26827,3.509308,0.92855,1133.814661,346.785851,5:30,1.58451,0.01544,7.22903,-29.26954,-3.93748,1.07417,1.25247,0.66176,62.5072,-4.786888,1.22678,0.362248,,,,,,,,,,,,-0.96917,-5.40729,0.2041,50,0.36564,-1.46672,-101.17184,11.26177,-0.98435,19.59665,-37.66602,BYU_COU_SB,CLE_TIG_SB,BobcatSBStad,D1,B12,20260213-BobcatSBStad-7,a32157d0-0949-11f1-8642-53a8b073a75c,104.05138,,,4.76107,,,,,,,24b2f4c8-5a2d-47d1-b82a-fdd5be5893e3,2026-02-14,02:05:29.62,2026-02-13T20:05:29.6290000-06:00,2026-02-14T02:05:29.6290000Z,,V3 - Softball,,,,"Brittingham, Ilove'a",100000001892,Right,BYU_COU_SB,8f25caf9-b340-4aa3-8c41-dc0b376e9095,35.76858,-98.37665,9.79833,1.58882,5.88924,-18.83301,-0.01511,-1.60712,-0.49218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-13,20:05:45.69,3,2,"Mares, Gianna",100000001888,Left,BYU_COU_SB,"Knowler, Julia",100000002689,Left,CLE_TIG_SB,Undefined,1,Top,1,1,0,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.87662,4.682176,0.059913,1104.95279,225.436126,1:30,1.52086,0.09028,6.75942,-24.20824,2.98882,2.35331,2.35565,0.3228,61.03538,-2.128855,0.703847,0.375347,55.2064,22.385844,-164.936013,1191.035247,,,,,27.51521,,,-2.65563,2.61221,-0.0953,50,0.12857,0.22685,-98.64171,11.97062,-2.57798,17.84824,-29.6382,BYU_COU_SB,CLE_TIG_SB,BobcatSBStad,D1,B12,20260213-BobcatSBStad-7,acc1f150-0949-11f1-8642-53a8b073a75c,100.42038,10.73628,,4.84124,,,,-0.98183,2.24006,-0.47932,24b2f4c8-5a2d-47d1-b82a-fdd5be5893e3,2026-02-14,02:05:45.69,2026-02-13T20:05:45.6930000-06:00,2026-02-14T02:05:45.6930000Z,,V3 - Softball,,,,"Brittingham, Ilove'a",100000001892,Right,BYU_COU_SB,9cfb460e-94ec-4866-a9a3-ace0b272da90,36.23439,-96.11869,8.92412,1.52461,7.78098,-14.8191,-0.08899,-0.13757,-1.28899,45.988078,-0.98277,-72.2607,5.37122,,,,,,,2.24409,30.68857,-20.29805,,,,,,,-0.48122,-19.38829,4.00341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
