PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-13,19:50:27.39,1,1,"Brown, Taniyah",100000006071,Right,MEM_TIG_SB,"Lovett, Ashlee",1000000002313,Right,BAL_STA_SB,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.51829,5.820803,-0.443897,1232.633558,13.754174,6:30,1.58169,0.24,4.69117,-45.25727,-13.41851,-3.55114,1.57127,-0.34176,59.12844,-6.133825,-1.360872,0.406115,,,,,,,,,,,,3.43051,-15.52107,-0.31402,50,0.12073,0.40796,-98.30457,15.01092,3.18306,23.08033,-46.57553,MEM_TIG_SB,BAL_STA_SB,TigersSBComplex,D1,AME,20260213-TigersSBComplex-2,897f5ef0-0947-11f1-ad73-a94baa5ea0d8,92.81214,,,6.38985,,,,,,,3116d6de-1782-4119-b3e7-e96c70f2fc99,2026-02-14,01:50:27.39,2026-02-13T19:50:27.3930000-06:00,2026-02-14T01:50:27.3930000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,bdebfd12-dd43-45e4-bdef-e90b9ba887bc,38.30649,-95.51968,11.54017,1.59292,9.39108,-23.28776,-0.24162,0.79203,1.59153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-13,19:50:42.09,1,2,"Brown, Taniyah",100000006071,Right,MEM_TIG_SB,"Lovett, Ashlee",1000000002313,Right,BAL_STA_SB,Undefined,1,Top,0,1,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,54.37467,8.374581,-1.244028,994.907239,32.26395,7:00,1.71515,-0.0179,3.79988,-57.96354,-9.0728,-6.7641,2.44843,-1.40208,49.04797,-6.585017,-2.943256,0.503251,,,,,,,,,,,,6.02485,-11.08855,-0.19434,50,-0.15789,1.28429,-80.82376,16.59046,3.8092,14.86182,-39.18477,MEM_TIG_SB,BAL_STA_SB,TigersSBComplex,D1,AME,20260213-TigersSBComplex-2,9258fef0-0947-11f1-ad73-a94baa5ea0d8,74.8979,,,5.32671,,,,,,,3116d6de-1782-4119-b3e7-e96c70f2fc99,2026-02-14,01:50:42.09,2026-02-13T19:50:42.0980000-06:00,2026-02-14T01:50:42.0980000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,7200adc7-6b27-4a7c-8817-73b2bf822d07,39.19744,-78.81236,7.43091,1.72859,11.2872,-19.59239,0.01437,1.79982,1.9046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-13,19:50:57.50,1,3,"Brown, Taniyah",100000006071,Right,MEM_TIG_SB,"Lovett, Ashlee",1000000002313,Right,BAL_STA_SB,Undefined,1,Top,0,2,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.71884,5.812864,2.020908,1214.895929,8.376215,6:15,1.59875,0.26885,4.6012,-47.19455,-14.43536,-2.28957,1.43312,1.38302,58.5351,-6.606182,1.431382,0.411944,,,,,,,,,,,,3.19457,-16.50584,0.15122,50,0.14,-3.64766,-97.00363,14.97728,2.89415,22.10849,-47.12758,MEM_TIG_SB,BAL_STA_SB,TigersSBComplex,D1,AME,20260213-TigersSBComplex-2,9b7685c0-0947-11f1-ad73-a94baa5ea0d8,91.49897,,,6.18374,,,,,,,3116d6de-1782-4119-b3e7-e96c70f2fc99,2026-02-14,01:50:57.50,2026-02-13T19:50:57.5060000-06:00,2026-02-14T01:50:57.5060000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,134226a0-864d-4c40-a901-24999d9bc0c6,38.3972,-94.32213,11.05425,1.60992,9.26125,-23.56379,-0.26991,-3.29663,1.44707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-13,19:51:13.44,1,4,"Brown, Taniyah",100000006071,Right,MEM_TIG_SB,"Lovett, Ashlee",1000000002313,Right,BAL_STA_SB,Undefined,1,Top,0,3,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.61421,7.723653,-0.463119,1182.790105,3.643633,6:00,1.55778,0.2728,4.4815,-49.06806,-14.5478,-1.00563,2.50091,-0.1109,56.91452,-5.147652,-0.720767,0.422871,,,,,,,,,,,,0.79406,-16.96851,-0.36177,50,-0.26145,0.6793,-95.06094,17.84154,0.68698,21.94676,-46.85455,MEM_TIG_SB,BAL_STA_SB,TigersSBComplex,D1,AME,20260213-TigersSBComplex-2,a4fbf620-0947-11f1-ad73-a94baa5ea0d8,89.1345,,,6.69969,,,,,,,3116d6de-1782-4119-b3e7-e96c70f2fc99,2026-02-14,01:51:13.44,2026-02-13T19:51:13.4470000-06:00,2026-02-14T01:51:13.4470000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,396d9d34-9619-40e5-a123-3da570fe244e,38.51577,-92.37153,10.97338,1.5731,12.09986,-23.42728,-0.27337,0.76348,0.34349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-13,19:51:29.56,1,5,"Brown, Taniyah",100000006071,Right,MEM_TIG_SB,"Lovett, Ashlee",1000000002313,Right,BAL_STA_SB,Undefined,1,Top,0,3,1,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,64.93385,7.171831,0.2532,1208.063809,6.0204,6:15,1.62486,0.35803,4.56781,-45.69542,-12.8528,-1.47815,2.47462,0.39843,58.25114,-4.853666,-0.126704,0.412468,17.65812,-1.769015,5.443399,,,,,9.08526,4.52464,-0.56947,0.321662,1.6174,-15.58891,-0.30003,50,-0.0988,-0.57374,-97.14647,17.1485,1.46405,22.67916,-46.28487,MEM_TIG_SB,BAL_STA_SB,TigersSBComplex,D1,AME,20260213-TigersSBComplex-2,ae8fbe60-0947-11f1-ad73-a94baa5ea0d8,91.38268,1.78721,,6.68272,,,,0.91056,1.78721,-0.87314,3116d6de-1782-4119-b3e7-e96c70f2fc99,2026-02-14,01:51:29.56,2026-02-13T19:51:29.5630000-06:00,2026-02-14T01:51:29.5630000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,8763f8a4-d142-427c-b63e-220fa152257f,38.42968,-94.4067,11.33958,1.63509,11.55704,-23.14244,-0.35866,-0.39688,0.73202,,0.91118,25.74394,-1.04197,,,,,,,1.78799,-0.83078,-14.70667,,,,,,,-0.87309,2.45322,-0.06163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2026-02-13,19:52:00.12,2,1,"Brown, Taniyah",100000006071,Right,MEM_TIG_SB,"Pietrzak, Maia",1000000002302,Right,BAL_STA_SB,Undefined,1,Top,1,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,52.28873,8.934417,-1.678267,929.86497,25.918864,6:45,1.8939,0.08297,4.91363,-58.2698,-8.02934,-4.76532,2.80546,-1.38856,46.83943,-6.579618,-2.910297,0.510151,,,,,,,,,,,,4.10705,-10.85875,-0.41084,50,-0.35203,1.91058,-77.92446,17.54665,2.38754,14.75182,-38.48651,MEM_TIG_SB,BAL_STA_SB,TigersSBComplex,D1,AME,20260213-TigersSBComplex-2,c0dea220-0947-11f1-ad73-a94baa5ea0d8,73.88493,,,5.4493,,,,,,,3116d6de-1782-4119-b3e7-e96c70f2fc99,2026-02-14,01:52:00.12,2026-02-13T19:52:00.1290000-06:00,2026-02-14T01:52:00.1290000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,83f5ac4c-b5f2-46d7-b849-140acb56c907,38.08267,-75.63476,7.37591,1.90787,11.57298,-19.24326,-0.08553,2.28116,1.19377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-13,19:52:16.25,2,2,"Brown, Taniyah",100000006071,Right,MEM_TIG_SB,"Pietrzak, Maia",1000000002302,Right,BAL_STA_SB,Undefined,1,Top,1,1,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.89095,6.324953,0.698217,1187.471331,5.097897,6:15,1.62751,0.4087,4.74681,-44.97569,-13.61965,-1.30898,1.96287,0.74854,59.50164,-5.559456,0.359937,0.403025,,,,,,,,,,,,1.62984,-15.84528,-0.25946,50,0.05617,-1.33443,-98.7175,15.95743,1.53104,22.73217,-47.05863,MEM_TIG_SB,BAL_STA_SB,TigersSBComplex,D1,AME,20260213-TigersSBComplex-2,ca62da00-0947-11f1-ad73-a94baa5ea0d8,93.52382,,,6.38932,,,,,,,3116d6de-1782-4119-b3e7-e96c70f2fc99,2026-02-14,01:52:16.25,2026-02-13T19:52:16.2500000-06:00,2026-02-14T01:52:16.2500000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,7a58d79b-f8f2-436e-8202-9cdbe8570084,38.25096,-95.97386,11.36608,1.63939,10.27773,-23.52932,-0.40937,-1.14965,0.76552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-13,19:52:31.54,2,3,"Brown, Taniyah",100000006071,Right,MEM_TIG_SB,"Pietrzak, Maia",1000000002302,Right,BAL_STA_SB,Undefined,1,Top,1,1,1,Dropball,,InPlay,Undefined,FlyBall,Out,1,0,,64.81323,6.323774,-0.234329,1165.126162,4.175387,6:15,1.59212,0.40711,4.78423,-46.89688,-14.44772,-1.13685,1.7622,0.16186,58.37483,-6.087803,-0.528511,0.40999,69.40393,28.710468,1.188607,2381.832695,109.30791,42.56082,12.31846,209.08709,204.09732,11.040155,3.640761,1.0735,-17.12493,-0.44952,50,-0.00545,0.28149,-97.22699,16.00301,0.97269,22.80598,-47.69054,MEM_TIG_SB,BAL_STA_SB,TigersSBComplex,D1,AME,20260213-TigersSBComplex-2,d37e16e0-0947-11f1-ad73-a94baa5ea0d8,91.93503,42.85477,,6.4384,,,,1.20733,1.82503,-0.14855,3116d6de-1782-4119-b3e7-e96c70f2fc99,2026-02-14,01:52:31.54,2026-02-13T19:52:31.5410000-06:00,2026-02-14T01:52:31.5410000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,cbd392ea-7059-402e-94ae-b4b54c7e60fa,38.21408,-94.42196,11.40299,1.60212,10.13731,-23.84527,-0.40755,0.40113,0.48635,209.694552,1.20738,89.25833,-18.58208,4.67878,-1.01117,0.22205,-0.05088,0.00878,-0.00067,1.82558,48.88037,-14.95151,-0.29056,0.66618,-0.3616,0.11917,-0.02051,0.00139,-0.14859,1.85313,5.97478,-1.93422,0.50917,-0.11679,0.02334,-0.00337,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-02-13,19:53:01.92,3,1,"Brown, Taniyah",100000006071,Right,MEM_TIG_SB,"Pogue, Skylinn",1000000002308,Right,BAL_STA_SB,Undefined,1,Top,2,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.65642,6.360019,-1.768645,1202.821883,2.858889,6:00,1.70375,-0.03277,4.80641,-43.70376,-12.08449,-0.65839,2.16293,-1.22325,59.0739,-5.221257,-1.938933,0.404713,,,,,,,,,,,,-0.09894,-14.35391,-0.32875,50,0.12263,2.97204,-98.37869,15.849,-0.09189,23.1911,-45.50521,MEM_TIG_SB,BAL_STA_SB,TigersSBComplex,D1,AME,20260213-TigersSBComplex-2,e5a0ba80-0947-11f1-ad73-a94baa5ea0d8,93.13369,,,6.58252,,,,,,,3116d6de-1782-4119-b3e7-e96c70f2fc99,2026-02-14,01:53:01.92,2026-02-13T19:53:01.9260000-06:00,2026-02-14T01:53:01.9260000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,a12cd205-7a0d-4ed8-aa06-cc16ad45e0e4,38.19029,-95.5542,11.59555,1.71541,10.30684,-22.75261,0.03254,2.96085,-0.04594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-13,19:53:33.49,3,2,"Brown, Taniyah",100000006071,Right,MEM_TIG_SB,"Pogue, Skylinn",1000000002308,Right,BAL_STA_SB,Undefined,1,Top,2,1,0,Fastball,,InPlay,Undefined,GroundBall,Single,0,0,,64.83756,7.213686,-0.507233,1190.388774,6.469763,6:15,1.61522,0.40952,4.90192,-44.83463,-12.47237,-1.54394,2.52203,-0.04389,58.1443,-4.693319,-0.907523,0.409441,67.36717,-1.372404,-3.076789,1165.581374,,,,32.80933,31.45684,-1.592401,0.334355,1.3778,-15.48332,-0.50699,50,-0.17739,0.70094,-97.09342,17.35785,1.24409,22.83808,-46.1546,MEM_TIG_SB,BAL_STA_SB,TigersSBComplex,D1,AME,20260213-TigersSBComplex-2,f8698930-0947-11f1-ad73-a94baa5ea0d8,92.05839,2.49113,,6.69326,,,,1.08702,2.49113,0.05858,3116d6de-1782-4119-b3e7-e96c70f2fc99,2026-02-14,01:53:33.49,2026-02-13T19:53:33.4930000-06:00,2026-02-14T01:53:33.4930000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,820d0458-4d39-418e-adbc-82abf1565664,38.09548,-94.25168,11.41904,1.62514,11.61484,-23.0773,-0.41014,0.85574,0.62204,268.447681,1.08937,98.54069,-11.1144,,,,,,,2.49302,-2.44168,-15.01439,,,,,,,0.05594,-5.19661,6.90881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
