PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-14,09:00:08.92,1,1,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Ford, Madison",100000006245,Right,CAM_FIG_SB,Undefined,1,Top,0,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,61.13887,4.350569,-1.583972,1556.335518,178.097817,12:00,1.69919,0.93489,5.5387,-22.52552,12.3817,-0.37181,2.56533,-0.09282,54.96927,-1.930084,-1.682199,0.425235,,,,,,,,,,,,-0.30532,12.10048,-1.27952,50,0.54242,2.50341,-91.92646,9.89702,-0.24713,20.46099,-22.37903,ILL_FIG_SB,CAM_FIG_SB,JaneBMooreField,D1,B10,20260214-JaneBMooreField-1,db0f4e60-09b5-11f1-ae39-c9deb4ea82f3,88.63905,,,6.16959,,,,,,,7e9467f7-a6b0-4583-ad0f-ea2834115f08,2026-02-14,15:00:08.92,2026-02-14T09:00:08.9272832-06:00,2026-02-14T15:00:08.9272832Z,,V3 - Softball,,,,"Click, Keirys",100000004697,Right,ILL_FIG_SB,beed6929-71f3-448e-8ea7-911862b594a9,37.45133,-89.0896,10.2305,1.69952,6.79424,-11.18951,-0.93481,2.46915,-0.12357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-14,09:00:23.40,1,2,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Ford, Madison",100000006245,Right,CAM_FIG_SB,Undefined,1,Top,0,0,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,49.57577,6.622819,-2.415925,872.996958,45.27466,7:30,1.583,0.85929,4.94023,-58.41562,-3.73421,-5.47815,0.97337,-1.14323,45.41377,-8.928657,-3.835509,0.53222,,,,,,,,,,,,4.76799,-5.60638,-1.33277,50,-0.21514,2.67811,-74.08368,13.92657,2.54168,12.20998,-35.16267,ILL_FIG_SB,CAM_FIG_SB,JaneBMooreField,D1,B10,20260214-JaneBMooreField-1,e3bc8730-09b5-11f1-ae39-c9deb4ea82f3,70.82117,,,4.162,,,,,,,7e9467f7-a6b0-4583-ad0f-ea2834115f08,2026-02-14,15:00:23.40,2026-02-14T09:00:23.4041856-06:00,2026-02-14T15:00:23.4041856Z,,V3 - Softball,,,,"Click, Keirys",100000004697,Right,ILL_FIG_SB,7ef643f4-f58d-40ef-8f36-3ff65ead36e0,38.05703,-72.08845,6.10499,1.59112,8.18065,-17.58134,-0.86121,3.09345,1.27084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-14,09:00:42.92,1,3,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Ford, Madison",100000006245,Right,CAM_FIG_SB,Undefined,1,Top,0,1,1,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,61.19248,4.921921,0.947471,1446.058526,176.356156,12:00,1.42435,0.65636,4.39952,-23.58415,13.1793,-0.76728,2.66156,1.20736,55.48881,-1.424123,0.75092,0.436395,57.26129,19.107701,-66.766149,2072.319498,,,,113.16182,69.58002,-72.387346,1.635119,1.16425,12.12662,-0.46395,50,0.2755,-1.58728,-91.55211,10.51136,0.94873,18.53007,-22.29213,ILL_FIG_SB,CAM_FIG_SB,JaneBMooreField,D1,B10,20260214-JaneBMooreField-1,ef4df430-09b5-11f1-ae39-c9deb4ea82f3,86.37236,12.79091,,5.70367,,,,2.62707,2.69362,-1.14635,7e9467f7-a6b0-4583-ad0f-ea2834115f08,2026-02-14,15:00:42.92,2026-02-14T09:00:42.9251584-06:00,2026-02-14T15:00:42.9251584Z,,V3 - Softball,,,,"Click, Keirys",100000004697,Right,ILL_FIG_SB,3e2fecbf-a217-4c9a-aefc-25b429cb92e8,38.59461,-89.21381,9.26503,1.42444,7.69832,-11.14607,-0.6567,-1.46756,0.47436,106.491789,2.62707,31.30475,-10.7284,2.95243,-0.69684,0.13436,-0.02542,0.00355,-0.00022,2.69362,27.49144,-19.6184,1.36098,-0.19483,0.02221,-0.00151,0.00075,-9E-05,-1.14635,-72.92046,5.82264,-0.80269,0.04483,0.02177,-0.00788,0.00162,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-02-14,09:01:03.81,1,4,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Ford, Madison",100000006245,Right,CAM_FIG_SB,Undefined,1,Top,0,1,2,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,51.3284,6.072149,-3.6638,1363.768588,186.731355,12:15,1.77692,1.0302,5.03282,-38.97723,12.18619,1.24032,2.42495,-1.20687,46.3343,-4.505647,-3.342419,0.514815,,,,,,,,,,,,-2.86965,11.12012,-1.8078,50,0.19202,5.0184,-76.71005,12.02648,-1.6263,13.79901,-25.87197,ILL_FIG_SB,CAM_FIG_SB,JaneBMooreField,D1,B10,20260214-JaneBMooreField-1,fbcc8050-09b5-11f1-ae39-c9deb4ea82f3,73.2155,,,4.9941,,,,,,,7e9467f7-a6b0-4583-ad0f-ea2834115f08,2026-02-14,15:01:03.81,2026-02-14T09:01:03.8124032-06:00,2026-02-14T15:01:03.8124032Z,,V3 - Softball,,,,"Click, Keirys",100000004697,Right,ILL_FIG_SB,3c63ae02-71b4-4bb9-928c-85e892f248f1,37.96024,-74.5128,6.89951,1.77903,7.90683,-12.93599,-1.02932,4.75944,-0.81315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-14,09:01:27.03,1,5,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Ford, Madison",100000006245,Right,CAM_FIG_SB,Undefined,1,Top,0,1,2,Offspeed,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,51.77472,4.091665,-2.804152,1523.117272,162.460274,11:30,1.75038,1.06466,4.97096,-36.66435,13.00914,-3.63386,1.31722,-1.03147,47.39556,-5.820923,-3.746933,0.507264,33.79843,-30.299724,-62.442536,,,,,4.09643,3.67733,-19.769299,0.05849,2.76921,12.88792,-1.6286,50,0.60763,3.47241,-77.56716,9.23754,1.62103,13.23851,-24.62974,ILL_FIG_SB,CAM_FIG_SB,JaneBMooreField,D1,B10,20260214-JaneBMooreField-1,099e6770-09b6-11f1-ae39-c9deb4ea82f3,74.30542,1.47652,,4.37916,,,,2.68601,1.47652,0.85456,7e9467f7-a6b0-4583-ad0f-ea2834115f08,2026-02-14,15:01:27.03,2026-02-14T09:01:27.0318080-06:00,2026-02-14T15:01:27.0318080Z,,V3 - Softball,,,,"Click, Keirys",100000004697,Right,ILL_FIG_SB,2fe71ba5-487e-40fb-bc74-ae497ac2e7b4,38.02379,-75.49549,6.61926,1.75162,5.38329,-12.31487,-1.06536,3.72609,0.81052,180,2.68426,19.98609,,,,,,,,1.47872,-25.24392,,,,,,,,0.85791,-38.29909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-02-14,09:01:46.26,1,6,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Ford, Madison",100000006245,Right,CAM_FIG_SB,Undefined,1,Top,0,1,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.8632,6.116196,0.405866,1535.111885,177.850162,12:00,1.57057,0.94148,5.83334,-22.22005,12.26198,-0.42095,3.5498,1.15964,55.06426,-0.094151,0.293745,0.422637,56.72196,61.880254,-123.904871,1586.784713,,,,,11.82277,,,0.63181,11.59229,-0.84754,50,-0.01935,-0.6955,-91.27084,12.76576,0.50933,18.9702,-22.82912,ILL_FIG_SB,CAM_FIG_SB,JaneBMooreField,D1,B10,20260214-JaneBMooreField-1,150f7b30-09b6-11f1-ae39-c9deb4ea82f3,89.18389,23.68591,,5.79894,,,,2.63547,3.4627,-1.12741,7e9467f7-a6b0-4583-ad0f-ea2834115f08,2026-02-14,15:01:46.26,2026-02-14T09:01:46.2667776-06:00,2026-02-14T15:01:46.2667776Z,,V3 - Softball,,,,"Click, Keirys",100000004697,Right,ILL_FIG_SB,f975a78a-f94c-4057-9ac0-9d1eb5c14629,37.16087,-88.5621,9.4851,1.57074,9.506,-11.41456,-0.94166,-0.62278,0.25467,23.870777,2.64126,-22.12025,-5.3788,,,,,,,3.46972,73.07414,-28.06819,,,,,,,-1.12965,-32.44801,5.59945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
7,2026-02-14,09:02:07.81,1,7,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Ford, Madison",100000006245,Right,CAM_FIG_SB,Undefined,1,Top,0,1,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.7677,3.546441,-3.821129,1518.585928,164.461742,11:30,1.70966,1.04169,5.25761,-23.36946,12.40064,-3.12626,2.01856,-1.64505,55.05108,-2.884889,-4.637606,0.430459,,,,,,,,,,,,1.68177,12.38784,-1.84318,50,0.7507,5.76968,-91.12384,8.54288,1.34791,19.2112,-22.24538,ILL_FIG_SB,CAM_FIG_SB,JaneBMooreField,D1,B10,20260214-JaneBMooreField-1,21edda90-09b6-11f1-ae39-c9deb4ea82f3,87.56341,,,5.71662,,,,,,,7e9467f7-a6b0-4583-ad0f-ea2834115f08,2026-02-14,15:02:07.81,2026-02-14T09:02:07.8198784-06:00,2026-02-14T15:02:07.8198784Z,,V3 - Softball,,,,"Click, Keirys",100000004697,Right,ILL_FIG_SB,fd7eb6b6-d8f1-4c1c-ba0d-b4309e7f1a11,37.73346,-88.49997,9.6056,1.71,5.50459,-11.12269,-1.04258,5.95378,0.67395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-14,09:02:29.73,1,8,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Ford, Madison",100000006245,Right,CAM_FIG_SB,Undefined,1,Top,0,2,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.34633,4.698875,0.448163,1386.038889,202.127008,12:45,1.4805,0.79177,5.3395,-24.90958,7.55528,2.67315,2.38387,1.29804,57.6451,-2.116388,1.150832,0.410089,35.95028,59.691995,-140.858777,2386.4669,,,,54.41535,45.88136,-138.39582,2.563728,-2.6987,6.81752,-0.71234,50,0.25854,-0.44036,-95.02286,11.0122,-2.37184,19.8101,-26.18227,ILL_FIG_SB,CAM_FIG_SB,JaneBMooreField,D1,B10,20260214-JaneBMooreField-1,2ef23880-09b6-11f1-ae39-c9deb4ea82f3,91.91277,29.26333,,5.70124,,,,2.1895,2.31383,-1.28984,7e9467f7-a6b0-4583-ad0f-ea2834115f08,2026-02-14,15:02:29.73,2026-02-14T09:02:29.7351680-06:00,2026-02-14T15:02:29.7351680Z,,V3 - Softball,,,,"Click, Keirys",100000004697,Right,ILL_FIG_SB,612f760d-fc06-484c-ba86-9b06f1a9977b,37.6552,-92.41342,9.90505,1.48195,7.5634,-13.09114,-0.79092,-0.75279,-1.18592,353.536826,2.1894,-20.63051,0.93708,0.56338,-0.55257,0.45047,-0.19635,0.04259,-0.0037,2.31381,45.52037,-20.67526,1.46402,-0.12329,-0.19827,0.14752,-0.04188,0.00433,-1.28994,-16.78982,0.48594,0.65479,-0.53072,0.40522,-0.17123,0.03629,-0.0031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-02-14,09:02:54.55,1,9,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Ford, Madison",100000006245,Right,CAM_FIG_SB,Undefined,1,Top,0,2,2,Offspeed,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,54.12613,5.707717,-2.900752,1416.69093,175.935703,11:45,1.72789,0.97492,4.88743,-34.81088,11.06894,-0.68815,2.49943,-0.94185,49.23706,-3.684183,-3.078714,0.487509,,,,,,,,,,,,-0.41047,10.1065,-1.57331,50,0.2737,4.03396,-80.84202,11.68452,-0.26134,14.25958,-25.73956,ILL_FIG_SB,CAM_FIG_SB,JaneBMooreField,D1,B10,20260214-JaneBMooreField-1,3dcb2f60-09b6-11f1-ae39-c9deb4ea82f3,77.31645,,,4.88908,,,,,,,7e9467f7-a6b0-4583-ad0f-ea2834115f08,2026-02-14,15:02:54.55,2026-02-14T09:02:54.5575424-06:00,2026-02-14T15:02:54.5575424Z,,V3 - Softball,,,,"Click, Keirys",100000004697,Right,ILL_FIG_SB,9e0201a9-1c04-48a5-b28f-af61078225c0,38.10662,-78.71622,7.12979,1.72959,7.84729,-12.86978,-0.97483,3.995,-0.13067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-14,09:03:18.40,1,10,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Ford, Madison",100000006245,Right,CAM_FIG_SB,Undefined,1,Top,0,2,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,62.28248,4.621008,0.252104,1389.627848,158.276058,11:15,1.51454,0.8005,5.5073,-25.60923,7.84414,-2.69858,2.2964,0.73435,56.37452,-2.435716,-0.460673,0.416286,63.31644,3.35031,-59.42944,2205.935151,,,,38.03611,38.03611,-57.719184,0.416719,3.03012,7.13898,-0.72781,50,0.28392,-0.7166,-93.61431,10.85535,2.56227,20.31833,-26.13728,ILL_FIG_SB,CAM_FIG_SB,JaneBMooreField,D1,B10,20260214-JaneBMooreField-1,4bf52190-09b6-11f1-ae39-c9deb4ea82f3,90.54465,2.50566,,5.90796,,,,2.54664,2.23787,-0.7308,7e9467f7-a6b0-4583-ad0f-ea2834115f08,2026-02-14,15:03:18.40,2026-02-14T09:03:18.4070144-06:00,2026-02-14T15:03:18.4070144Z,,V3 - Softball,,,,"Click, Keirys",100000004697,Right,ILL_FIG_SB,467b9289-7d9d-443e-ae1a-2560e8e89093,37.48702,-90.85787,10.15916,1.51607,7.3095,-13.06864,-0.80145,-0.36899,1.28114,,2.55183,46.98244,-10.48793,,,,,,,2.25315,4.93394,-24.89775,,,,,,,-0.73146,-79.79895,10.53018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
