PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-14,14:35:06.97,1,1,"Caton, Taylor",100000006075,Right,MEM_TIG_SB,"Howe, Taylor",1000000002376,Right,EVA_PUR_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.77429,2.948633,-1.490315,932.860753,137.639516,10:30,2.05568,0.66708,4.83726,-28.22478,5.54827,-4.14673,1.59701,-0.63449,57.55493,-4.629146,-2.565861,0.41827,,,,,,,,,,,,3.77335,5.28233,-0.95184,50,1.23971,2.01597,-94.13512,8.17989,3.27268,18.73672,-27.59262,MEM_TIG_SB,EVA_PUR_SB,TigersSBComplex,D1,AME,20260214-TigersSBComplex-3,a68084f0-09e4-11f1-bfdc-470abddbc7ec,90.11514,,,5.21935,,,,,,,04fcff44-9d7a-4802-9acf-0be6f155e174,2026-02-14,20:35:06.97,2026-02-14T14:35:06.9750000-06:00,2026-02-14T20:35:06.9750000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,991e42e6-b051-4637-b491-23e76f28a8f5,38.15745,-91.7477,9.36836,2.05799,4.66405,-13.79631,-0.6684,2.43298,1.63634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-14,14:35:32.74,1,2,"Caton, Taylor",100000006075,Right,MEM_TIG_SB,"Howe, Taylor",1000000002376,Right,EVA_PUR_SB,Undefined,1,Top,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.53397,4.123789,-1.110842,2019.909821,83.54409,8:45,2.00228,1.28403,4.88769,-33.92691,0.12654,-7.88725,1.82123,-0.08478,57.2251,-4.949643,-3.158244,0.420003,,,,,,,,,,,,7.73878,-0.71551,-1.47341,50,0.90886,1.01985,-93.72762,10.655,6.64112,18.82007,-32.78806,MEM_TIG_SB,EVA_PUR_SB,TigersSBComplex,D1,AME,20260214-TigersSBComplex-3,b5db07e0-09e4-11f1-bfdc-470abddbc7ec,89.74334,,,5.30887,,,,,,,04fcff44-9d7a-4802-9acf-0be6f155e174,2026-02-14,20:35:32.74,2026-02-14T14:35:32.7400000-06:00,2026-02-14T20:35:32.7400000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,17c774a3-69f1-4d2e-9d94-b5fca436c0db,38.10712,-91.30836,9.41003,2.00762,6.4402,-16.39403,-1.28744,1.87354,3.32056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-14,14:35:45.22,1,3,"Caton, Taylor",100000006075,Right,MEM_TIG_SB,"Howe, Taylor",1000000002376,Right,EVA_PUR_SB,Undefined,1,Top,0,1,1,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.3566,4.632711,-1.514081,907.745909,107.426778,9:30,2.04328,0.75694,4.83304,-30.33573,3.12173,-6.64367,2.49433,-0.76808,57.63289,-3.504496,-3.234478,0.416311,,,,,,,,,,,,6.24174,2.11764,-1.03637,50,0.87172,1.84175,-94.90339,11.2162,5.46768,19.8615,-30.31903,MEM_TIG_SB,EVA_PUR_SB,TigersSBComplex,D1,AME,20260214-TigersSBComplex-3,bd4a1b60-09e4-11f1-bfdc-470abddbc7ec,90.53918,,,5.72371,,,,,,,04fcff44-9d7a-4802-9acf-0be6f155e174,2026-02-14,20:35:45.22,2026-02-14T14:35:45.2200000-06:00,2026-02-14T20:35:45.2200000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,f392d901-b27f-4516-88c6-cbf832c0d4f0,38.16043,-92.39237,9.93075,2.04743,7.38307,-15.15951,-0.75983,2.53301,2.73384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-14,14:36:00.30,1,4,"Caton, Taylor",100000006075,Right,MEM_TIG_SB,"Howe, Taylor",1000000002376,Right,EVA_PUR_SB,Undefined,1,Top,0,2,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.15261,4.096431,-2.37347,959.431852,146.735475,11:00,2.12947,0.71824,4.66254,-25.84541,7.90894,-4.55205,2.62217,-1.19141,57.83463,-2.827383,-3.546108,0.418154,,,,,,,,,,,,3.79977,7.30638,-1.17886,50,1.10832,3.45915,-94.39781,9.78799,3.32756,18.31435,-25.77562,MEM_TIG_SB,EVA_PUR_SB,TigersSBComplex,D1,AME,20260214-TigersSBComplex-3,c64db190-09e4-11f1-bfdc-470abddbc7ec,90.14011,,,5.31798,,,,,,,04fcff44-9d7a-4802-9acf-0be6f155e174,2026-02-14,20:36:00.30,2026-02-14T14:36:00.3020000-06:00,2026-02-14T20:36:00.3020000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,a0d69779-6012-4e46-a7c9-f2421efb7b74,38.3306,-92.10598,9.15718,2.13136,6.56246,-12.88781,-0.71993,3.87556,1.66378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-14,14:36:13.83,1,5,"Caton, Taylor",100000006075,Right,MEM_TIG_SB,"Howe, Taylor",1000000002376,Right,EVA_PUR_SB,Undefined,1,Top,0,3,1,Changeup,,BallCalled,Walk,Undefined,Undefined,0,0,,47.95925,6.664539,1.355746,698.62927,67.264343,8:15,1.89772,0.62665,3.77178,-62.71507,-1.08476,-6.79819,1.09082,0.95501,44.31544,-9.50106,-0.353991,0.565026,,,,,,,,,,,,7.18532,-2.43618,-0.34397,50,0.29685,-2.14318,-71.32071,13.0829,3.60756,10.13322,-33.39719,MEM_TIG_SB,EVA_PUR_SB,TigersSBComplex,D1,AME,20260214-TigersSBComplex-3,ce6cb420-09e4-11f1-bfdc-470abddbc7ec,66.70919,,,3.64381,,,,,,,04fcff44-9d7a-4802-9acf-0be6f155e174,2026-02-14,20:36:13.83,2026-02-14T14:36:13.8330000-06:00,2026-02-14T20:36:13.8330000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,cd570800-acf6-4c4f-ba89-fc7cab6654a5,39.22525,-69.77305,5.06661,1.9055,7.98209,-16.69859,-0.62923,-1.59219,1.80378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-14,14:37:02.27,2,1,"Caton, Taylor",100000006075,Right,MEM_TIG_SB,"Willsley, Jess",1000000002379,Right,EVA_PUR_SB,Undefined,1,Top,0,0,0,Riseball,,InPlay,Undefined,Bunt,Out,1,0,,62.62868,5.44126,0.302588,784.949218,121.114238,10:00,2.06488,0.83399,4.95925,-28.83553,5.09248,-6.76323,3.15058,0.4638,57.02927,-2.327912,-1.455714,0.419228,,,,,,,,,,,,7.30713,3.76378,-0.72973,50,0.70761,-1.22648,-93.74896,12.38403,6.26797,18.94112,-28.94553,MEM_TIG_SB,EVA_PUR_SB,TigersSBComplex,D1,AME,20260214-TigersSBComplex-3,eb31d0e0-09e4-11f1-bfdc-470abddbc7ec,89.90909,,,5.59941,,,,,,,04fcff44-9d7a-4802-9acf-0be6f155e174,2026-02-14,20:37:02.27,2026-02-14T14:37:02.2720000-06:00,2026-02-14T20:37:02.2720000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,d58fb3e9-4eed-487c-a176-649fa2c9e745,38.03674,-91.2999,9.47056,2.06688,8.64142,-14.47277,-0.83592,-0.41604,3.13399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-14,14:37:32.89,3,1,"Caton, Taylor",100000006075,Right,MEM_TIG_SB,"Wilkins, Maliyah",1000000002370,Right,EVA_PUR_SB,Undefined,1,Top,1,0,0,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,47.69817,9.368741,0.004005,747.755529,84.479788,8:45,1.85144,0.76936,3.48284,-62.45452,0.50831,-9.53249,2.93305,-0.02235,44.28921,-6.527503,-2.364225,0.571102,,,,,,,,,,,,9.2304,-1.16854,-0.73298,50,-0.20672,-0.61408,-70.1573,16.17101,4.60254,7.90405,-32.75673,MEM_TIG_SB,EVA_PUR_SB,TigersSBComplex,D1,AME,20260214-TigersSBComplex-3,fd943ca0-09e4-11f1-bfdc-470abddbc7ec,65.9995,,,3.40896,,,,,,,04fcff44-9d7a-4802-9acf-0be6f155e174,2026-02-14,20:37:32.89,2026-02-14T14:37:32.8900000-06:00,2026-02-14T20:37:32.8900000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,3a6a7ece-d513-4345-9c50-aac9aaef3e1f,39.51457,-68.96588,3.95202,1.85869,11.2334,-16.37836,-0.77325,0.07969,2.30127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-14,14:37:53.62,3,2,"Caton, Taylor",100000006075,Right,MEM_TIG_SB,"Wilkins, Maliyah",1000000002370,Right,EVA_PUR_SB,Undefined,1,Top,1,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.30446,4.487441,-3.142111,1709.297453,105.484905,9:30,2.04193,0.64299,4.53024,-31.37978,2.51839,-5.57737,2.3393,-1.85583,58.0332,-3.82418,-4.571062,0.419044,,,,,,,,,,,,4.55488,1.56323,-1.24815,50,0.92764,4.6375,-94.53827,10.95495,3.99935,18.41415,-30.80149,MEM_TIG_SB,EVA_PUR_SB,TigersSBComplex,D1,AME,20260214-TigersSBComplex-3,09d9de70-09e5-11f1-bfdc-470abddbc7ec,89.94863,,,5.27127,,,,,,,04fcff44-9d7a-4802-9acf-0be6f155e174,2026-02-14,20:37:53.62,2026-02-14T14:37:53.6220000-06:00,2026-02-14T20:37:53.6220000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,827389e5-4e87-4b9c-9d31-4ab6be17885e,38.46456,-92.26404,9.20707,2.04571,7.15084,-15.40075,-0.6449,5.13143,1.99968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-14,14:38:25.06,3,3,"Caton, Taylor",100000006075,Right,MEM_TIG_SB,"Wilkins, Maliyah",1000000002370,Right,EVA_PUR_SB,Undefined,1,Top,1,1,1,Curveball,,InPlay,Undefined,Popup,Single,0,1,,62.77102,5.112747,-2.537526,920.459801,115.512256,9:45,2.04243,0.75393,4.63866,-29.89828,4.33725,-7.08815,2.85967,-1.47404,57.56621,-2.842743,-4.3599,0.421124,47.63113,29.817304,9.077319,1764.740884,,,,123.11073,123.11073,15.868671,2.639052,6.45807,3.16988,-1.23061,50,0.79051,3.42384,-93.71716,11.8264,5.58209,17.87243,-29.43415,MEM_TIG_SB,EVA_PUR_SB,TigersSBComplex,D1,AME,20260214-TigersSBComplex-3,1c8bf0d0-09e5-11f1-bfdc-470abddbc7ec,89.50438,23.67835,,5.2048,,,,1.64625,2.87869,1.46655,04fcff44-9d7a-4802-9acf-0be6f155e174,2026-02-14,20:38:25.06,2026-02-14T14:38:25.0630000-06:00,2026-02-14T20:38:25.0630000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,7349ab28-530f-4692-a66c-b77a440f7208,38.35713,-91.46985,8.93622,2.04489,8.1253,-14.71708,-0.75596,4.12574,2.79104,209.524687,1.64638,59.84583,-9.13474,1.72929,-0.18752,-0.05993,0.02969,-0.00182,-0.00041,2.87865,34.73767,-15.27454,0.63176,0.05185,-0.10659,0.08262,-0.02633,0.00294,1.46653,9.56321,2.02067,-0.70933,0.18188,-0.02688,0.00455,-0.00187,0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-02-14,14:39:10.09,4,1,"Caton, Taylor",100000006075,Right,MEM_TIG_SB,"Adams, Morgan",1000000002378,Left,EVA_PUR_SB,Undefined,1,Top,1,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,46.03106,6.23113,1.765005,745.777385,76.761088,8:30,2.12618,0.58559,5.0112,-63.00177,-1.06673,-11.3302,0.87105,0.76837,43.07393,-10.491575,-1.183555,0.566421,,,,,,,,,,,,12.62843,-2.34354,-0.14462,50,0.33842,-3.0327,-68.60152,13.07445,5.91719,8.77571,-33.27214,MEM_TIG_SB,EVA_PUR_SB,TigersSBComplex,D1,AME,20260214-TigersSBComplex-3,377ce9d0-09e5-11f1-bfdc-470abddbc7ec,66.54488,,,2.95714,,,,,,,04fcff44-9d7a-4802-9acf-0be6f155e174,2026-02-14,20:39:10.09,2026-02-14T14:39:10.0950000-06:00,2026-02-14T20:39:10.0950000Z,,V3 - Softball,,,,"Sousa, Zereniti",100000001392,Right,MEM_TIG_SB,1b934d46-8ba8-479e-8a2a-443f064f6986,37.9875,-67.04724,4.38785,2.13221,7.18156,-16.63607,-0.58893,-1.98469,2.95859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
