PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-17,16:21:04.79,1,1,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Kyndall",100000001233,Right,PUR_BOI_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,BULLPEN BRE + JULIA + MALONE 2/17/2026,56.97017,4.451266,0.778129,1479.516708,150.695856,11:00,1.96615,0.96387,4.08088,-31.51529,10.78331,-5.44677,2.25957,1.01932,52.7374,-3.834013,-0.605288,0.468095,,,,,,,,,,,,5.80689,10.06619,-0.78545,50,0.89884,-1.63906,-84.90425,9.74329,4.17913,13.15172,-24.92959,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20260217-BittingerStadium-Private-2,918c2180-0c46-11f1-a95b-5f1b17c622b1,80.52297,,,4.23277,,,,,,,1e532b1c-6445-46a7-b480-0ff1b1ded1c0,2026-02-17,21:21:04.79,2026-02-17T16:21:04.7940000-05:00,2026-02-17T21:21:04.7940000Z,,V3 - Softball,,,,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,74c4ec99-1e6d-4339-b2c2-7fee022e4f0e,38.91497,-83.16945,6.57586,1.96717,6.45491,-12.4648,-0.9653,-1.0878,2.08957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-17,16:21:36.48,1,2,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Kyndall",100000001233,Right,PUR_BOI_SB,Undefined,1,Top,0,1,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.05265,8.587783,-2.460185,1498.156691,133.310517,10:30,1.8896,1.13075,4.2565,-35.44671,4.68874,-3.7639,4.57792,-0.78665,53.56495,-0.711125,-3.415355,0.455969,,,,,,,,,,,,2.83768,2.48965,-1.59986,50,-0.03186,3.44299,-87.3542,16.74829,2.13428,15.3582,-30.30153,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20260217-BittingerStadium-Private-2,a4757080-0c46-11f1-a95b-5f1b17c622b1,82.66441,,,5.4877,,,,,,,1e532b1c-6445-46a7-b480-0ff1b1ded1c0,2026-02-17,21:21:36.48,2026-02-17T16:21:36.4890000-05:00,2026-02-17T21:21:36.4890000Z,,V3 - Softball,,,,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,084e43c8-8503-4d40-8aaa-d5b18a902d0f,38.73516,-85.35069,7.6791,1.89515,12.7954,-15.15076,-1.13256,3.72141,1.06714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-17,16:21:59.85,1,3,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Kyndall",100000001233,Right,PUR_BOI_SB,Undefined,1,Top,0,2,0,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,53.85771,6.66102,-0.881708,1570.920459,151.257514,11:00,1.98572,0.51652,3.80136,-37.16065,11.63343,-5.64922,3.30183,-0.53571,49.28421,-3.048864,-2.302375,0.502753,,,,,,,,,,,,5.21004,10.05288,-0.66167,50,0.50322,0.81762,-79.92761,12.62903,3.2984,12.35225,-25.80971,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20260217-BittingerStadium-Private-2,b26714a0-0c46-11f1-a95b-5f1b17c622b1,74.97204,,,4.5735,,,,,,,1e532b1c-6445-46a7-b480-0ff1b1ded1c0,2026-02-17,21:21:59.85,2026-02-17T16:21:59.8540000-05:00,2026-02-17T21:21:59.8540000Z,,V3 - Softball,,,,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,5f5d992c-6a57-4d88-962e-505262e09fcd,39.18981,-78.23914,6.17612,1.9884,9.10101,-12.90486,-0.51909,1.26849,1.6492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-17,16:22:23.75,1,4,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Kyndall",100000001233,Right,PUR_BOI_SB,Undefined,1,Top,0,2,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.10878,8.17109,-2.394441,1362.860912,24.426236,6:45,1.93283,0.98442,4.15796,-40.9338,-5.20032,-2.75154,3.90019,-0.80983,57.38347,-2.4134,-3.091144,0.430238,,,,,,,,,,,,2.04705,-6.90252,-1.43892,50,0.08954,3.58537,-91.76096,17.41013,1.73763,14.13945,-38.03323,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20260217-BittingerStadium-Private-2,c0999250-0c46-11f1-a95b-5f1b17c622b1,87.60828,,,4.72531,,,,,,,1e532b1c-6445-46a7-b480-0ff1b1ded1c0,2026-02-17,21:22:23.75,2026-02-17T16:22:23.7550000-05:00,2026-02-17T21:22:23.7550000Z,,V3 - Softball,,,,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,05cb9432-1823-4793-af2d-f581f00f4a95,38.8397,-90.02485,7.06972,1.94054,12.74021,-19.01662,-0.98559,3.79873,0.86882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-17,16:22:43.47,1,5,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Kyndall",100000001233,Right,PUR_BOI_SB,Undefined,1,Top,0,3,1,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,62.68331,6.560098,-0.465972,1494.765698,17.226554,6:30,1.86695,0.89452,4.32654,-39.20045,-4.60929,-1.69894,2.88485,0.44993,57.9439,-3.668989,-0.899731,0.423306,,,,,,,,,,,,1.57429,-6.05957,-0.97853,50,0.32362,0.59405,-93.13836,14.91432,1.36861,15.33699,-37.44187,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20260217-BittingerStadium-Private-2,cc645ed0-0c46-11f1-a95b-5f1b17c622b1,89.0431,,,4.73941,,,,,,,1e532b1c-6445-46a7-b480-0ff1b1ded1c0,2026-02-17,21:22:43.47,2026-02-17T16:22:43.4790000-05:00,2026-02-17T21:22:43.4790000Z,,V3 - Softball,,,,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,9a9abab9-e049-472b-ba8e-693dc5f4b786,38.67081,-91.25373,7.6685,1.87363,10.31341,-18.72094,-0.8952,0.76223,0.6843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-17,16:23:02.69,1,6,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Bailey, Kyndall",100000001233,Right,PUR_BOI_SB,Undefined,1,Top,0,3,2,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,62.84724,6.814764,0.398831,1333.679039,12.261402,6:30,1.87172,0.91647,4.48252,-38.82148,-5.03996,-1.25465,3.07041,1.07018,58.67552,-3.320292,0.077248,0.418322,,,,,,,,,,,,1.3913,-6.42406,-0.82992,50,0.24525,-0.77602,-93.14014,15.47607,1.22812,13.35206,-37.84467,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20260217-BittingerStadium-Private-2,d7d52470-0c46-11f1-a95b-5f1b17c622b1,90.10388,,,4.17172,,,,,,,1e532b1c-6445-46a7-b480-0ff1b1ded1c0,2026-02-17,21:23:02.69,2026-02-17T16:23:02.6970000-05:00,2026-02-17T21:23:02.6970000Z,,V3 - Softball,,,,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,73c86c48-a466-4d0d-b226-9d1ab187e370,38.516,-91.47904,6.67603,1.87772,10.76791,-18.92233,-0.91696,-0.62323,0.61406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-17,16:29:07.78,1,1,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,62.3747,3.666346,-1.463455,2958.935938,105.567362,9:30,1.85184,0.77676,4.03839,-33.14632,2.12721,-4.42603,1.49621,-0.55127,57.94047,-4.969027,-2.586537,0.42746,,,,,,,,,,,,3.97858,1.57665,-1.03837,50,0.94527,1.96241,-93.0058,9.43771,3.44231,15.53985,-30.80991,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20260217-BittingerStadium-Private-2,b16c6b80-0c47-11f1-a95b-5f1b17c622b1,88.17764,,,4.43423,,,,,,,1e532b1c-6445-46a7-b480-0ff1b1ded1c0,2026-02-17,21:29:07.78,2026-02-17T16:29:07.7870000-05:00,2026-02-17T21:29:07.7870000Z,,V3 - Softball,,,,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,3be2fc5e-d409-4af0-80bd-f1a59fb7868c,38.95738,-91.14207,7.76992,1.85557,5.74261,-15.40496,-0.77826,2.37525,1.72116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-17,16:29:23.11,1,2,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,62.58009,5.063858,-2.742734,1273.513187,108.222091,9:30,1.85554,0.53117,4.08007,-33.12809,1.94232,-3.28862,2.42191,-1.53952,58.06069,-3.561887,-3.575714,0.426228,,,,,,,,,,,,2.46189,1.01091,-1.04692,50,0.67146,4.14793,-93.01249,11.75524,2.13771,15.09716,-31.29624,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20260217-BittingerStadium-Private-2,ba8c6350-0c47-11f1-a95b-5f1b17c622b1,88.43264,,,4.51941,,,,,,,1e532b1c-6445-46a7-b480-0ff1b1ded1c0,2026-02-17,21:29:23.11,2026-02-17T16:29:23.1120000-05:00,2026-02-17T21:29:23.1120000Z,,V3 - Softball,,,,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,18c43dee-528a-4227-a077-e09375c2128d,38.91554,-91.19559,7.54858,1.85953,7.98883,-15.64812,-0.53224,4.4052,1.06886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-17,16:29:36.64,1,3,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,Undefined,1,Bottom,0,0,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.5852,8.978365,-0.882514,1407.864142,100.554987,9:15,1.97063,0.6981,4.47097,-35.71718,1.40228,-2.73721,4.85856,-0.10168,55.7075,-0.366642,-1.582203,0.438503,,,,,,,,,,,,2.52366,-0.63035,-0.86122,50,-0.0803,1.11861,-89.42107,17.9764,2.02887,13.74996,-32.68081,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20260217-BittingerStadium-Private-2,c2a39db0-0c47-11f1-a95b-5f1b17c622b1,85.95714,,,4.8777,,,,,,,1e532b1c-6445-46a7-b480-0ff1b1ded1c0,2026-02-17,21:29:36.64,2026-02-17T16:29:36.6490000-05:00,2026-02-17T21:29:36.6490000Z,,V3 - Softball,,,,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,dbc7ec9e-f77e-4a0f-814c-0f778842943f,38.52472,-87.6388,6.87498,1.97527,13.7403,-16.3404,-0.69918,1.38159,1.01444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-17,16:29:52.22,1,4,"Moore, Malone",100000002641,Right,PUR_BOI_SB,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,Undefined,1,Bottom,0,1,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,58.89617,5.527611,1.029607,1446.882333,135.241479,10:30,1.94659,0.49302,4.13344,-32.83892,6.54863,-5.56181,2.83483,0.70259,54.65234,-3.066615,-0.384026,0.451701,,,,,,,,,,,,5.89827,5.61406,-0.2667,50,0.65904,-2.07018,-87.4955,11.82809,4.54723,12.97744,-27.84592,PUR_BOI_SB,PUR_BOI_SB,BittingerStadium,TeamExclusive,,20260217-BittingerStadium-Private-2,cbf8fd60-0c47-11f1-a95b-5f1b17c622b1,83.44561,,,4.24384,,,,,,,1e532b1c-6445-46a7-b480-0ff1b1ded1c0,2026-02-17,21:29:52.22,2026-02-17T16:29:52.2240000-05:00,2026-02-17T21:29:52.2240000Z,,V3 - Softball,,,,"Armstrong, Ansley",100000001217,Right,PUR_BOI_SB,ea72100c-c2db-4959-b583-97af1d7ef77e,38.86147,-85.82752,6.48872,1.94928,8.24908,-13.92296,-0.49522,-1.48573,2.27362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
