PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-17,17:02:24.98,1,1,"Talley, Morgen",1000000001263,Right,STA_WOL_SB,"Farmer, Sage",100000006179,Right,QUE_UNI_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.59487,2.837132,0.515125,1185.353601,13.520279,6:30,1.88461,0.9,6.16227,-36.40573,-10.2791,-2.64937,0.60626,0.99769,63.33577,-7.15,-0.199666,0.367886,,,,,,,,,,,,3.11894,-11.77024,-0.76262,50,0.91688,-1.2838,-103.31689,10.43441,3.26053,22.47539,-44.47864,STA_WOL_SB,QUE_UNI_SB,DailPark,D1,ACC,20260217-DailPark-1,57be1980-0c4c-11f1-a3fb-1db36bbbabfe,102.45685,,,5.2591,,,,,,,cbb521c6-0710-4f47-ae57-786ab3c2e21c,2026-02-17,22:02:24.98,2026-02-17T17:02:24.9832960-05:00,2026-02-17T22:02:24.9832960Z,,V3 - Softball,,,,"Montes de Oca, Carmen",1000000001264,Right,STA_WOL_SB,80c3368a-ba01-45f3-821e-ca22e187f66b,36.83565,-100.41231,11.2377,1.89393,4.68626,-22.23932,-0.9013,-0.86243,1.63027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-17,17:02:45.02,1,2,"Talley, Morgen",1000000001263,Right,STA_WOL_SB,"Farmer, Sage",100000006179,Right,QUE_UNI_SB,Undefined,1,Top,0,1,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.18007,2.750327,-1.356057,1361.607032,138.784961,10:45,1.86149,0.7338,6.52317,-21.47584,5.97177,-4.57551,1.75657,-0.47744,61.03421,-3.294296,-2.600056,0.377072,,,,,,,,,,,,4.71177,6.39992,-1.01598,50,0.98154,1.71727,-99.51172,8.18196,4.59482,20.05756,-25.93295,STA_WOL_SB,QUE_UNI_SB,DailPark,D1,ACC,20260217-DailPark-1,63b0b950-0c4c-11f1-a3fb-1db36bbbabfe,99.96097,,,5.14586,,,,,,,cbb521c6-0710-4f47-ae57-786ab3c2e21c,2026-02-17,22:02:45.02,2026-02-17T17:02:45.0214912-05:00,2026-02-17T22:02:45.0214912Z,,V3 - Softball,,,,"Montes de Oca, Carmen",1000000001264,Right,STA_WOL_SB,e41305d6-f1ab-4348-a263-b869b26f2f0c,36.47126,-96.74645,10.02878,1.8631,4.60666,-12.96648,-0.73555,2.35075,2.29741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-17,17:03:03.49,1,3,"Talley, Morgen",1000000001263,Right,STA_WOL_SB,"Farmer, Sage",100000006179,Right,QUE_UNI_SB,Undefined,1,Top,0,1,1,Dropball,,InPlay,Undefined,GroundBall,Single,0,0,,68.62291,5.517843,0.004654,1094.587183,20.527183,6:45,1.82672,0.84182,6.30629,-32.61482,-6.75559,-2.78402,2.5167,0.61269,63.32391,-3.467574,-0.747038,0.365999,,,,,,,,,,,,3.16536,-9.13516,-0.81734,50,0.22665,-0.41082,-102.79338,14.97352,3.31464,20.42549,-41.74008,STA_WOL_SB,QUE_UNI_SB,DailPark,D1,ACC,20260217-DailPark-1,6eb48c50-0c4c-11f1-a3fb-1db36bbbabfe,102.98521,,,5.29901,,,,,,,cbb521c6-0710-4f47-ae57-786ab3c2e21c,2026-02-17,22:03:03.49,2026-02-17T17:03:03.4961920-05:00,2026-02-17T22:03:03.4961920Z,,V3 - Softball,,,,"Montes de Oca, Carmen",1000000001264,Right,STA_WOL_SB,2f967e1f-457f-40d3-ae28-b27af74975ec,36.69189,-100.11408,10.21274,1.83169,9.4983,-20.87004,-0.84271,0.02398,1.65732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-17,17:03:39.21,2,1,"Talley, Morgen",1000000001263,Right,STA_WOL_SB,"Cantoni, Madison",100000006183,Right,QUE_UNI_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.04738,2.8263,-1.034362,1104.594318,16.950555,6:30,1.78724,0.79771,6.2556,-33.37856,-7.71654,-2.57382,0.75005,-0.05462,63.6851,-6.369441,-1.730024,0.3646,,,,,,,,,,,,2.49725,-9.17441,-1.01698,50,0.8267,1.51695,-103.9885,10.18665,2.64428,22.79269,-41.88858,STA_WOL_SB,QUE_UNI_SB,DailPark,D1,ACC,20260217-DailPark-1,83fdc450-0c4c-11f1-a3fb-1db36bbbabfe,103.38019,,,5.36228,,,,,,,cbb521c6-0710-4f47-ae57-786ab3c2e21c,2026-02-17,22:03:39.21,2026-02-17T17:03:39.2121344-05:00,2026-02-17T22:03:39.2121344Z,,V3 - Softball,,,,"Montes de Oca, Carmen",1000000001264,Right,STA_WOL_SB,02881c08-bf71-4295-9b19-ffae9a234bd3,36.74181,-101.04073,11.39634,1.79382,4.76921,-20.94429,-0.79868,1.85893,1.32214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-17,17:04:11.82,2,2,"Talley, Morgen",1000000001263,Right,STA_WOL_SB,"Cantoni, Madison",100000006183,Right,QUE_UNI_SB,Undefined,1,Top,0,1,0,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,66.67285,3.392961,-0.44895,1376.471311,129.874075,10:15,1.89001,0.85902,6.36095,-24.32123,3.10134,-2.76992,1.95156,0.35219,61.17381,-3.40613,-1.198897,0.3769,,,,,,,,,,,,2.99894,2.6789,-0.94002,50,0.85022,0.39435,-100.37247,9.70586,2.95377,21.46725,-29.5355,STA_WOL_SB,QUE_UNI_SB,DailPark,D1,ACC,20260217-DailPark-1,97654400-0c4c-11f1-a3fb-1db36bbbabfe,100.00659,,,5.49904,,,,,,,cbb521c6-0710-4f47-ae57-786ab3c2e21c,2026-02-17,22:04:11.82,2026-02-17T17:04:11.8241280-05:00,2026-02-17T22:04:11.8241280Z,,V3 - Softball,,,,"Montes de Oca, Carmen",1000000001264,Right,STA_WOL_SB,a073fb5a-e477-4457-8210-20a305fb55a9,36.63529,-97.47218,10.73363,1.89196,5.71552,-14.76775,-0.85978,0.79342,1.47689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-17,17:04:37.47,2,3,"Talley, Morgen",1000000001263,Right,STA_WOL_SB,"Cantoni, Madison",100000006183,Right,QUE_UNI_SB,Undefined,1,Top,0,1,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.11932,2.190963,1.549039,1170.602568,1.098156,6:00,1.82936,0.80342,6.42028,-33.66297,-7.93969,-0.16839,0.36988,1.74029,62.96244,-7.151127,1.503298,0.365035,,,,,,,,,,,,0.88658,-9.96615,-0.439,50,0.98573,-2.85567,-104.66755,9.27508,0.92898,26.75874,-42.61681,STA_WOL_SB,QUE_UNI_SB,DailPark,D1,ACC,20260217-DailPark-1,a6c76810-0c4c-11f1-a3fb-1db36bbbabfe,103.25697,,,6.15688,,,,,,,cbb521c6-0710-4f47-ae57-786ab3c2e21c,2026-02-17,22:04:37.47,2026-02-17T17:04:37.4758912-05:00,2026-02-17T22:04:37.4758912Z,,V3 - Softball,,,,"Montes de Oca, Carmen",1000000001264,Right,STA_WOL_SB,2c007666-4617-48ad-aaee-cdb7a793a440,36.5778,-101.17793,13.37937,1.8329,3.7174,-21.30841,-0.80351,-2.73452,0.46449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-17,17:05:01.24,2,4,"Talley, Morgen",1000000001263,Right,STA_WOL_SB,"Cantoni, Madison",100000006183,Right,QUE_UNI_SB,Undefined,1,Top,0,2,1,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,66.89228,3.01182,0.607782,1498.688782,157.432043,11:15,1.89944,0.9313,6.0526,-22.27757,5.43264,-1.92618,1.91251,1.1477,61.36476,-3.183637,0.090665,0.378871,,,,,,,,,,,,2.39599,5.40067,-0.77753,50,0.99662,-1.32942,-100.63666,8.63582,2.37454,21.44363,-26.8217,STA_WOL_SB,QUE_UNI_SB,DailPark,D1,ACC,20260217-DailPark-1,b4d8c930-0c4c-11f1-a3fb-1db36bbbabfe,99.48618,,,5.52752,,,,,,,cbb521c6-0710-4f47-ae57-786ab3c2e21c,2026-02-17,22:05:01.24,2026-02-17T17:05:01.2456448-05:00,2026-02-17T22:05:01.2456448Z,,V3 - Softball,,,,"Montes de Oca, Carmen",1000000001264,Right,STA_WOL_SB,731775a7-cc21-46d0-82a4-a0d378a70945,36.94326,-97.81497,10.72181,1.90077,5.10645,-13.41085,-0.9319,-1.01696,1.18727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-17,17:05:24.20,2,5,"Talley, Morgen",1000000001263,Right,STA_WOL_SB,"Cantoni, Madison",100000006183,Right,QUE_UNI_SB,Undefined,1,Top,0,2,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,66.16913,4.431202,-0.489149,1569.29897,147.121857,11:00,1.72226,0.81072,5.42789,-22.73875,6.71154,-3.79016,2.62929,0.18619,60.49995,-1.793171,-1.488153,0.390586,,,,,,,,,,,,3.85701,6.1526,-0.89377,50,0.56647,0.4043,-99.14906,10.7768,3.71928,20.47156,-26.2411,STA_WOL_SB,QUE_UNI_SB,DailPark,D1,ACC,20260217-DailPark-1,c29ad1d0-0c4c-11f1-a3fb-1db36bbbabfe,96.50237,,,5.66919,,,,,,,cbb521c6-0710-4f47-ae57-786ab3c2e21c,2026-02-17,22:05:24.20,2026-02-17T17:05:24.2054656-05:00,2026-02-17T22:05:24.2054656Z,,V3 - Softball,,,,"Montes de Oca, Carmen",1000000001264,Right,STA_WOL_SB,6bb21548-8d0e-484f-8b18-282044452358,37.56544,-96.54753,10.23578,1.7241,7.44208,-13.12055,-0.81236,0.87695,1.85964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-17,17:06:04.22,3,1,"Talley, Morgen",1000000001263,Right,STA_WOL_SB,"Thornton, Olivia",100000006181,Right,QUE_UNI_SB,Undefined,1,Top,2,0,0,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,68.93193,5.188098,-0.213702,1121.089258,18.109321,6:30,1.8427,0.78597,6.18705,-33.81762,-8.13174,-2.87087,2.23849,0.41471,63.89461,-4.083889,-0.986501,0.364769,56.85211,-34.61132,25.23252,,,,,2.02295,1.19893,11.20155,0.040737,3.15752,-10.36674,-0.81206,50,0.3306,-0.02299,-103.19355,14.52427,3.34978,19.76072,-43.172,STA_WOL_SB,QUE_UNI_SB,DailPark,D1,ACC,20260217-DailPark-1,da7737d0-0c4c-11f1-a3fb-1db36bbbabfe,103.33222,1.93771,,5.03732,,,,-0.55537,1.93771,-0.80391,cbb521c6-0710-4f47-ae57-786ab3c2e21c,2026-02-17,22:06:04.22,2026-02-17T17:06:04.2280000-05:00,2026-02-17T22:06:04.2280000Z,,V3 - Softball,,,,"Montes de Oca, Carmen",1000000001264,Right,STA_WOL_SB,62e4c5e5-2206-4a0a-8490-065bdcb8f26e,36.81154,-100.63638,9.88036,1.84866,8.93753,-21.586,-0.78698,0.4105,1.67489,180,-0.55713,62.34622,,,,,,,,1.93905,-47.5665,,,,,,,,-0.80474,29.38114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2026-02-17,17:06:31.62,4,1,"Talley, Morgen",1000000001263,Right,STA_WOL_SB,"Henson, Lindsay",,Undefined,QUE_UNI_SB,Undefined,1,Top,2,0,0,Curveball,,InPlay,Undefined,GroundBall,Out,1,0,,67.62262,2.86615,-1.210245,1354.34797,134.291593,10:30,1.92246,0.99081,5.99258,-24.08537,3.06768,-2.36102,1.69761,0.04217,62.21723,-3.790972,-1.842855,0.375043,67.03432,0.977877,10.532787,1307.220146,,,,38.0425,36.76279,12.870584,0.402909,2.18189,2.86331,-1.24743,50,1.04636,1.83036,-101.63898,8.67331,2.2139,21.31601,-29.26876,STA_WOL_SB,QUE_UNI_SB,DailPark,D1,ACC,20260217-DailPark-1,eac2f890-0c4c-11f1-a3fb-1db36bbbabfe,100.50173,1.71755,,5.40539,,,,0.33097,1.66993,-0.0146,cbb521c6-0710-4f47-ae57-786ab3c2e21c,2026-02-17,22:06:31.62,2026-02-17T17:06:31.6241408-05:00,2026-02-17T22:06:31.6241408Z,,V3 - Softball,,,,"Montes de Oca, Carmen",1000000001264,Right,STA_WOL_SB,c23cf869-0c0e-4205-b716-980b7253e2c4,37.00285,-98.87561,10.658,1.9248,4.87897,-14.63438,-0.99154,2.11737,1.10695,262.432796,0.33589,96.48349,-13.10868,,,,,,,1.67256,1.59124,-14.2684,,,,,,,-0.02078,18.17515,7.2545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
