PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-19,18:07:30.33,1,1,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Platt, Carys",100000001816,Left,UNI_LOU_SB,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.29061,3.354828,1.098573,1513.086743,352.115789,5:45,1.89078,0.98258,5.38525,-32.71738,-2.72626,0.48811,1.28666,1.7174,60.4594,-5.46549,1.227193,0.394156,,,,,,,,,,,,-0.15012,-3.48937,-0.74823,50,0.90638,-1.81831,-97.83623,9.99379,-0.14242,18.47548,-35.48471,LOU_TEC_SB,UNI_LOU_SB,DrBillyBundrickField,D1,CUSA,20260219-DrBillyBundrickField-1,262d6f60-0df0-11f1-9a6d-97b6f0bb0795,95.62828,,,4.83121,,,,,,,998aff60-6cb8-4bbd-9c21-e2355cfe4c63,2026-02-20,00:07:30.33,2026-02-19T18:07:30.3370000-06:00,2026-02-20T00:07:30.3370000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,a4eb1771-fe2c-4286-9598-7eb8e8e4df9f,37.61141,-95.4681,9.23774,1.89586,5.44546,-17.74236,-0.98246,-1.83657,-0.07121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-19,18:07:47.15,1,2,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Platt, Carys",100000001816,Left,UNI_LOU_SB,Undefined,1,Top,0,1,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.18818,-1.868773,-0.856123,1103.127808,,,1.95336,1.18326,5.34763,,,,0.11691,1.36006,55.40948,-4.32029,1.413467,0.418747,,,,,,,,,,,,-9.4604,29.15234,-1.40917,50,2.2444,2.2812,-95.86702,-1.77879,-7.98699,27.51938,-7.56201,LOU_TEC_SB,UNI_LOU_SB,DrBillyBundrickField,D1,CUSA,20260219-DrBillyBundrickField-1,302fd7f0-0df0-11f1-9a6d-97b6f0bb0795,90.01234,,,7.7787,,,,,,,998aff60-6cb8-4bbd-9c21-e2355cfe4c63,2026-02-20,00:07:47.15,2026-02-19T18:07:47.1570000-06:00,2026-02-20T00:07:47.1570000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,37219a19-c0c4-4538-b563-445f726d615e,37.6407,-92.25099,13.75969,1.94538,-2.77244,-3.78101,-1.17838,1.23171,-3.99349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
3,2026-02-19,18:08:08.13,1,3,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Platt, Carys",100000001816,Left,UNI_LOU_SB,Undefined,1,Top,0,2,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.10581,2.898739,-1.310116,2452.361795,152.530135,11:00,1.93498,0.85148,5.53978,-27.01348,3.40016,-1.4161,1.50943,-0.09084,60.13168,-4.420657,-1.684735,0.396922,,,,,,,,,,,,1.17965,3.37402,-1.12792,50,1.06259,2.01339,-95.75245,8.52997,1.09367,14.97852,-29.04597,LOU_TEC_SB,UNI_LOU_SB,DrBillyBundrickField,D1,CUSA,20260219-DrBillyBundrickField-1,3caf4e70-0df0-11f1-9a6d-97b6f0bb0795,94.96174,,,3.97413,,,,,,,998aff60-6cb8-4bbd-9c21-e2355cfe4c63,2026-02-20,00:08:08.13,2026-02-19T18:08:08.1350000-06:00,2026-02-20T00:08:08.1350000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,83942675-259a-43b8-9154-70cd5a445bd7,37.45697,-93.76982,7.48926,1.93721,4.68531,-14.52299,-0.85184,2.15815,0.54683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-19,18:08:27.25,1,4,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Platt, Carys",100000001816,Left,UNI_LOU_SB,Undefined,1,Top,0,2,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.91107,0.228121,1.123448,1122.937744,186.986964,12:15,1.95467,0.97501,5.36115,-25.66608,6.50973,0.69429,-0.03992,1.74321,58.65279,-6.718212,1.306545,0.408259,,,,,,,,,,,,-0.38303,7.49012,-0.73741,50,1.68867,-1.76798,-94.33405,3.7102,-0.33907,16.71523,-25.54384,LOU_TEC_SB,UNI_LOU_SB,DrBillyBundrickField,D1,CUSA,20260219-DrBillyBundrickField-1,481dca20-0df0-11f1-9a6d-97b6f0bb0795,92.32476,,,4.25828,,,,,,,998aff60-6cb8-4bbd-9c21-e2355cfe4c63,2026-02-20,00:08:27.25,2026-02-19T18:08:27.2510000-06:00,2026-02-20T00:08:27.2510000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,429cf5c8-491d-4a58-a3d6-bac3ea4193ac,37.63487,-92.11699,8.35762,1.95609,0.32215,-12.77192,-0.9749,-1.81295,-0.16953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-19,18:08:48.22,1,5,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Platt, Carys",100000001816,Left,UNI_LOU_SB,Undefined,1,Top,0,3,1,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,65.7679,5.78622,0.13254,1546.237445,8.161618,6:15,1.94262,0.86813,5.77277,-35.72128,-6.79536,-1.07882,2.59468,0.86107,60.91629,-3.900292,-0.154353,0.387093,,,,,,,,,,,,1.22421,-8.7539,-0.83086,50,0.3437,-0.36399,-98.22348,14.86936,1.17932,17.58224,-40.60689,LOU_TEC_SB,UNI_LOU_SB,DrBillyBundrickField,D1,CUSA,20260219-DrBillyBundrickField-1,549fffc0-0df0-11f1-9a6d-97b6f0bb0795,97.37311,,,4.85161,,,,,,,998aff60-6cb8-4bbd-9c21-e2355cfe4c63,2026-02-20,00:08:48.22,2026-02-19T18:08:48.2240000-06:00,2026-02-20T00:08:48.2240000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,7e9f5a6a-e988-424e-9737-334e85fd5cdc,37.22557,-95.90957,8.79112,1.94892,9.52529,-20.30345,-0.86855,-0.20879,0.58966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-19,18:09:20.27,2,1,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Monsef, Kailey",1000000001062,Right,UNI_LOU_SB,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.3765,5.711266,0.216954,1682.787138,6.534218,6:15,1.93485,0.81246,5.50153,-34.33529,-4.55764,-0.60953,2.68223,0.89829,60.42282,-3.548813,0.056086,0.39275,,,,,,,,,,,,0.72862,-6.23252,-0.76105,50,0.40644,-0.44333,-97.61009,14.30342,0.69183,17.63321,-38.0919,LOU_TEC_SB,UNI_LOU_SB,DrBillyBundrickField,D1,CUSA,20260219-DrBillyBundrickField-1,67babf00-0df0-11f1-9a6d-97b6f0bb0795,95.97048,,,4.95368,,,,,,,998aff60-6cb8-4bbd-9c21-e2355cfe4c63,2026-02-20,00:09:20.27,2026-02-19T18:09:20.2780000-06:00,2026-02-20T00:09:20.2780000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,ef8a2138-eca0-4f39-adfd-74fad0a2468f,37.49597,-95.32448,8.8166,1.94045,9.36597,-19.04595,-0.8127,-0.35366,0.34592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-19,18:09:42.60,2,2,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Monsef, Kailey",1000000001062,Right,UNI_LOU_SB,Undefined,1,Top,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.55064,2.164624,-1.03316,1190.151936,137.726594,10:30,1.97512,0.9004,5.54632,-28.77419,2.7061,-1.65197,0.93962,0.11284,58.65524,-5.672441,-1.470659,0.403823,,,,,,,,,,,,1.41847,2.73917,-1.11548,50,1.25819,1.52603,-95.45425,7.38398,1.27142,18.59469,-29.71885,LOU_TEC_SB,UNI_LOU_SB,DrBillyBundrickField,D1,CUSA,20260219-DrBillyBundrickField-1,74fc4d00-0df0-11f1-9a6d-97b6f0bb0795,93.33906,,,4.8954,,,,,,,998aff60-6cb8-4bbd-9c21-e2355cfe4c63,2026-02-20,00:09:42.60,2026-02-19T18:09:42.6040000-06:00,2026-02-20T00:09:42.6040000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,b03643b6-4f95-4e70-8aeb-5502a49bb7b5,37.44916,-92.97718,9.29735,1.97815,3.42502,-14.85942,-0.90091,1.6954,0.63571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-19,18:10:02.57,2,3,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Monsef, Kailey",1000000001062,Right,UNI_LOU_SB,Undefined,1,Top,0,1,1,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.76706,4.039439,0.763631,1613.222459,350.172757,5:45,1.8914,0.95556,5.49674,-35.2225,-4.9978,1.00012,1.50481,1.5199,60.12021,-5.462353,1.027965,0.395688,,,,,,,,,,,,-0.84453,-6.40307,-0.79624,50,0.71697,-1.1683,-96.98825,11.52557,-0.79023,17.66655,-38.16551,LOU_TEC_SB,UNI_LOU_SB,DrBillyBundrickField,D1,CUSA,20260219-DrBillyBundrickField-1,80e10a20-0df0-11f1-9a6d-97b6f0bb0795,95.25806,,,4.64685,,,,,,,998aff60-6cb8-4bbd-9c21-e2355cfe4c63,2026-02-20,00:10:02.57,2026-02-19T18:10:02.5750000-06:00,2026-02-20T00:10:02.5750000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,965957aa-fc64-4c02-9ea3-ca5ab2638a15,37.50163,-94.68429,8.83327,1.89551,6.54826,-19.08276,-0.95532,-1.27136,-0.39511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-19,18:10:26.79,2,4,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Monsef, Kailey",1000000001062,Right,UNI_LOU_SB,Undefined,1,Top,0,1,2,Curveball,,InPlay,Undefined,LineDrive,Out,2,0,,65.564,3.952593,-1.210904,1263.980207,150.453764,11:00,2.00464,0.75838,5.56329,-24.90875,4.36394,-2.07665,2.41829,-0.17605,60.97537,-2.826317,-1.760296,0.389406,44.441,22.985527,1.824003,876.726576,,,,94.73755,84.0183,-1.062872,1.793151,1.91071,3.97555,-1.00852,50,0.91545,1.80581,-98.00413,10.24938,1.83863,17.021,-28.34845,LOU_TEC_SB,UNI_LOU_SB,DrBillyBundrickField,D1,CUSA,20260219-DrBillyBundrickField-1,8f574790-0df0-11f1-9a6d-97b6f0bb0795,96.79464,12.81551,,4.58863,,,,1.67635,2.33053,0.16912,998aff60-6cb8-4bbd-9c21-e2355cfe4c63,2026-02-20,00:10:26.79,2026-02-19T18:10:26.7960000-06:00,2026-02-20T00:10:26.7960000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,74377803-ea79-4303-818c-de6c78d49bac,37.43358,-95.79678,8.5105,2.00625,6.57305,-14.17422,-0.75887,2.04425,0.91931,141.084322,1.67634,59.9756,-6.25153,1.3609,-0.31705,0.09561,-0.03719,0.0092,-0.00049,2.33053,25.45165,-15.91311,0.61343,-0.07543,0.04335,-0.02944,0.01716,-0.00382,0.16911,1.91085,-2.4796,0.68485,-0.162,0.01726,0.00309,-0.00241,0.00063,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-02-19,18:11:03.56,3,1,"Floyd, Allie",100000001762,Right,LOU_TEC_SB,"Brown, Meagan",100000001829,Left,UNI_LOU_SB,Undefined,1,Top,2,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.13272,1.387159,-0.605326,1315.384277,184.627057,12:15,1.95097,0.87234,5.57103,-26.68797,4.23107,0.26941,0.59907,0.51431,59.08203,-5.903684,-0.5339,0.400207,,,,,,,,,,,,-0.51972,4.64445,-1.00701,50,1.41817,1.05139,-96.45113,5.89517,-0.47372,19.52905,-27.94069,LOU_TEC_SB,UNI_LOU_SB,DrBillyBundrickField,D1,CUSA,20260219-DrBillyBundrickField-1,a53d0db0-0df0-11f1-9a6d-97b6f0bb0795,94.18244,,,5.05069,,,,,,,998aff60-6cb8-4bbd-9c21-e2355cfe4c63,2026-02-20,00:11:03.56,2026-02-19T18:11:03.5640000-06:00,2026-02-20T00:11:03.5640000Z,,V3 - Softball,,,,"Dufresne, Rosalie",100000005732,Right,LOU_TEC_SB,a603868c-984e-4031-9568-9d6bd5e130f3,37.42433,-93.87033,9.76452,1.95324,2.20275,-13.97034,-0.8722,0.98879,-0.23686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
