PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-20,15:00:40.75,1,1,"Krause, Elena",100000006662,Right,STA_UNI_SB,"Maloney, Ashton",100000001071,Left,TEX_LON_SB,Undefined,1,Top,0,0,0,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.18119,4.57614,-0.858222,1337.354082,89.916318,9:00,2.15559,1.13293,6.60209,-27.19931,0.62146,-1.32201,2.68932,0.49871,60.88666,-3.003029,-1.218254,0.379626,,,,,,,,,,,,1.29039,-0.25874,-1.32395,50,0.76915,1.26368,-97.48039,12.12456,1.23457,16.13716,-32.4216,STA_UNI_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-2,fab38250-0eaf-11f1-b18a-bf5264c3a274,99.28831,,,4.29453,,,,,,,65cdf09e-235f-4656-a41d-d2f5039180b3,2026-02-20,23:00:40.75,2026-02-20T15:00:40.7528448-08:00,2026-02-20T23:00:40.7528448Z,,V3 - Softball,,,,"Cacatian, Izzy",100000006661,Right,STA_UNI_SB,c7b9f554-82aa-463f-a71e-b45b4eb8132a,36.39768,-95.202,8.06858,2.15785,7.54699,-16.2108,-1.13323,1.43799,0.61729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-20,15:00:59.58,1,2,"Krause, Elena",100000006662,Right,STA_UNI_SB,"Maloney, Ashton",100000001071,Left,TEX_LON_SB,Undefined,1,Top,0,0,1,Dropball,,InPlay,Undefined,GroundBall,Single,0,0,,65.23837,3.762713,-2.363035,1415.082516,325.05954,4:45,2.17822,1.11184,6.43991,-30.21758,-1.85701,1.82358,1.97344,-0.18652,60.33361,-4.629048,-1.86888,0.383291,31.25695,-63.981403,16.676603,,,,,4.67196,4.20227,4.020937,0.049176,-2.93595,-3.10169,-1.68293,50,0.98309,4.30338,-97.94766,11.0552,-2.78306,18.96539,-35.11421,STA_UNI_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-2,05e458c0-0eb0-11f1-b18a-bf5264c3a274,98.33889,2.05697,,4.90476,,,,3.69861,2.05697,0.03946,65cdf09e-235f-4656-a41d-d2f5039180b3,2026-02-20,23:00:59.58,2026-02-20T15:00:59.5869696-08:00,2026-02-20T23:00:59.5869696Z,,V3 - Softball,,,,"Cacatian, Izzy",100000006661,Right,STA_UNI_SB,f0ec2128-debc-4847-8e35-9ae5e1f318fe,36.55987,-95.30976,9.4827,2.1811,6.17115,-17.5571,-1.1113,3.91628,-1.39153,180,3.69627,19.55929,,,,,,,,2.06197,-41.82879,,,,,,,,0.03876,5.85936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2026-02-20,15:01:32.82,2,1,"Krause, Elena",100000006662,Right,STA_UNI_SB,"Henry, Kayden",100000001076,Left,TEX_LON_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.46001,7.233304,-2.309761,1545.870623,179.189913,12:00,2.18416,0.95905,6.33561,-21.78387,11.57087,-0.14819,4.84638,-0.4751,55.03569,1.055219,-2.349704,0.415672,,,,,,,,,,,,-0.85949,10.42595,-1.49585,50,0.25831,3.6973,-92.08955,14.8233,-0.6979,20.5841,-23.70813,STA_UNI_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-2,19ca0920-0eb0-11f1-b18a-bf5264c3a274,90.67843,,,6.42432,,,,,,,65cdf09e-235f-4656-a41d-d2f5039180b3,2026-02-20,23:01:32.82,2026-02-20T15:01:32.8223744-08:00,2026-02-20T23:01:32.8223744Z,,V3 - Softball,,,,"Cacatian, Izzy",100000006661,Right,STA_UNI_SB,7bb84ef2-602a-4794-beed-35aebda8fa0d,36.6562,-89.05698,10.29205,2.18488,11.33047,-11.85407,-0.95871,3.59448,-0.34895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-20,15:01:50.58,2,2,"Krause, Elena",100000006662,Right,STA_UNI_SB,"Henry, Kayden",100000001076,Left,TEX_LON_SB,Undefined,1,Top,0,1,0,Dropball,,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,65.52078,5.250586,-2.080034,1327.169637,343.123397,5:30,2.20994,1.13332,6.54854,-32.50809,-4.39921,1.56894,2.72286,-0.00845,60.26126,-3.790053,-1.653939,0.381587,72.50662,-42.4069,7.514393,,,,,3.613,1.27314,6.385579,0.03767,-2.55169,-6.46957,-1.63908,50,0.63295,3.79142,-98.27759,13.99167,-2.42682,19.57568,-38.32698,STA_UNI_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-2,24476e10-0eb0-11f1-b18a-bf5264c3a274,98.7782,2.71158,,5.25952,,,,0.64724,2.71158,0.01358,65cdf09e-235f-4656-a41d-d2f5039180b3,2026-02-20,23:01:50.58,2026-02-20T15:01:50.5839616-08:00,2026-02-20T23:01:50.5839616Z,,V3 - Softball,,,,"Cacatian, Izzy",100000006661,Right,STA_UNI_SB,39b36780-d8c8-4976-9877-d046ce998b16,36.45094,-95.54068,9.78784,2.21455,8.63309,-19.16349,-1.13272,3.45212,-1.21341,,0.64549,78.13506,,,,,,,,2.7132,-71.98256,,,,,,,,0.01335,10.30664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2026-02-20,15:02:24.80,3,1,"Krause, Elena",100000006662,Right,STA_UNI_SB,"Goode, Leighann",100000001080,Right,TEX_LON_SB,Undefined,1,Top,1,0,0,Dropball,,BallinDirt,Undefined,Undefined,Undefined,0,0,,64.85551,1.511136,-2.57012,1276.086465,333.107599,5:00,2.08694,1.09477,6.32022,-33.78069,-4.91583,2.88965,0.20313,-0.24738,60.26579,-7.80093,-1.787917,0.386684,,,,,,,,,,,,-4.22551,-5.71004,-1.71743,50,1.40528,4.78021,-97.59039,7.55308,-3.9627,19.30315,-37.52892,STA_UNI_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-2,38c65130-0eb0-11f1-b18a-bf5264c3a274,97.47611,,,4.58972,,,,,,,65cdf09e-235f-4656-a41d-d2f5039180b3,2026-02-20,23:02:24.80,2026-02-20T15:02:24.8008192-08:00,2026-02-20T23:02:24.8008192Z,,V3 - Softball,,,,"Cacatian, Izzy",100000006661,Right,STA_UNI_SB,2271154c-87a6-4c7a-866c-ec6160ad29d0,36.67975,-94.91912,9.65158,2.09117,2.35963,-18.76446,-1.09386,4.23183,-1.98135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-20,15:02:43.11,3,2,"Krause, Elena",100000006662,Right,STA_UNI_SB,"Goode, Leighann",100000001080,Right,TEX_LON_SB,Undefined,1,Top,1,1,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.6371,4.433634,-4.112042,1291.143039,345.12607,5:30,2.18879,1.12499,6.6853,-32.5399,-3.90193,1.23969,2.19014,-1.28074,59.70151,-4.635688,-3.775052,0.385161,,,,,,,,,,,,-2.85362,-5.36189,-2.11925,50,0.78985,7.13214,-96.82202,12.46482,-2.64355,18.51289,-37.14125,STA_UNI_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-2,43ac8a10-0eb0-11f1-b18a-bf5264c3a274,97.86149,,,4.93558,,,,,,,65cdf09e-235f-4656-a41d-d2f5039180b3,2026-02-20,23:02:43.11,2026-02-20T15:02:43.1132672-08:00,2026-02-20T23:02:43.1132672Z,,V3 - Softball,,,,"Cacatian, Izzy",100000006661,Right,STA_UNI_SB,6b06ef21-f546-4c51-b200-5e325c0bd82d,36.31335,-94.16871,9.25644,2.19487,7.14164,-18.57062,-1.1242,6.75325,-1.32177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-20,15:03:01.87,3,3,"Krause, Elena",100000006662,Right,STA_UNI_SB,"Goode, Leighann",100000001080,Right,TEX_LON_SB,Undefined,1,Top,1,1,1,Dropball,,InPlay,Undefined,Bunt,FieldersChoice,0,0,,65.26563,4.149865,-1.858355,1316.202002,344.31111,5:30,2.22667,1.09776,6.64902,-32.39813,-4.45563,1.45453,2.06299,0.08544,60.48034,-4.878866,-1.461689,0.380456,,,,,,,,,,,,-2.32465,-6.16429,-1.55405,50,0.89378,3.39092,-97.9716,12.15368,-2.21099,18.57138,-38.03698,STA_UNI_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-2,4ecee190-0eb0-11f1-b18a-bf5264c3a274,99.07187,,,4.78529,,,,,,,65cdf09e-235f-4656-a41d-d2f5039180b3,2026-02-20,23:03:01.87,2026-02-20T15:03:01.8785280-08:00,2026-02-20T23:03:01.8785280Z,,V3 - Softball,,,,"Cacatian, Izzy",100000006661,Right,STA_UNI_SB,a340b2db-5623-4e1f-8305-cd3746e688c8,36.351,-95.34921,9.28569,2.23074,6.78264,-19.01849,-1.09728,3.07871,-1.1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-20,15:03:42.12,4,1,"Krause, Elena",100000006662,Right,STA_UNI_SB,"Stewart, Katie",100000000085,Right,TEX_LON_SB,Undefined,1,Top,1,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.52732,2.869136,0.09368,1336.278444,63.683717,8:00,2.12368,1.15246,6.53266,-27.3369,-0.55886,-2.39473,1.60238,1.01022,62.20301,-4.733969,-0.55826,0.372444,,,,,,,,,,,,2.78213,-1.04095,-1.10886,50,1.15812,-0.51403,-99.74923,9.3359,2.77697,17.4408,-33.21306,STA_UNI_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-2,66cb0490-0eb0-11f1-b18a-bf5264c3a274,101.20301,,,4.32431,,,,,,,65cdf09e-235f-4656-a41d-d2f5039180b3,2026-02-20,23:03:42.12,2026-02-20T15:03:42.1201920-08:00,2026-02-20T23:03:42.1201920Z,,V3 - Softball,,,,"Cacatian, Izzy",100000006661,Right,STA_UNI_SB,263f14d4-47e9-4e05-963c-452d731a4b86,36.46647,-97.35419,8.7204,2.127,4.77495,-16.60653,-1.15327,-0.13268,1.38848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-20,15:04:00.88,4,2,"Krause, Elena",100000006662,Right,STA_UNI_SB,"Stewart, Katie",100000000085,Right,TEX_LON_SB,Undefined,1,Top,1,1,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.61868,7.331757,-3.164404,801.257502,171.301069,11:45,2.15994,1.0624,6.33527,-22.02131,10.94642,-1.52319,4.86726,-1.01335,55.64301,1.123272,-3.574295,0.413253,,,,,,,,,,,,0.39193,9.95079,-1.78902,50,0.20627,4.90971,-92.03833,15.04335,0.3218,19.09767,-24.00384,STA_UNI_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-2,72068960-0eb0-11f1-b18a-bf5264c3a274,91.20913,,,5.97566,,,,,,,65cdf09e-235f-4656-a41d-d2f5039180b3,2026-02-20,23:04:00.88,2026-02-20T15:04:00.8851456-08:00,2026-02-20T23:04:00.8851456Z,,V3 - Softball,,,,"Cacatian, Izzy",100000006661,Right,STA_UNI_SB,092b488f-e04d-4a21-9466-bc25bce5778c,36.65706,-89.22677,9.54884,2.16083,11.5095,-12.00192,-1.06273,4.95709,0.1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-20,15:04:21.71,4,3,"Krause, Elena",100000006662,Right,STA_UNI_SB,"Stewart, Katie",100000000085,Right,TEX_LON_SB,Undefined,1,Top,1,2,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.73885,4.015974,-1.415246,1286.029463,352.087276,5:45,2.12449,1.12035,6.30823,-36.00793,-6.9002,1.07118,1.60129,0.33807,59.73026,-5.922321,-1.125706,0.388307,79.79576,5.732415,-44.759875,2431.732518,,,,68.92071,60.06193,-48.103562,0.634304,-1.74154,-8.9254,-1.45823,50,0.84163,2.55169,-97.33117,12.09265,-1.62085,19.51377,-40.481,STA_UNI_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-2,7e7a6720-0eb0-11f1-b18a-bf5264c3a274,97.06858,2.86782,,5.00858,,,,2.25656,1.38842,-0.51249,65cdf09e-235f-4656-a41d-d2f5039180b3,2026-02-20,23:04:21.71,2026-02-20T15:04:21.7189888-08:00,2026-02-20T23:04:21.7189888Z,,V3 - Softball,,,,"Cacatian, Izzy",100000006661,Right,STA_UNI_SB,ed25f512-a7cb-4bf6-8cc6-4c229755ab8b,36.6921,-94.62548,9.75688,2.12922,6.47975,-20.2405,-1.12001,2.32695,-0.81042,,2.25656,82.68577,-23.9164,4.18564,-0.85933,0.14072,-0.0184,0.00041,0.00088,1.38842,11.68963,-24.01447,3.84192,-0.86811,0.20889,-0.04514,0.00954,-0.00138,-0.51249,-81.99559,1.94585,2.13169,-0.79155,0.25632,-0.06784,0.01653,-0.0027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
