PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-20,13:09:33.86,1,1,"Layton, Avery",100000004362,Right,VIR_TEC_SB,"Kroening, Faith",100000001366,Left,UTA_STA_SB,Undefined,1,Top,0,0,0,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.85844,2.326,3.832771,1485.312341,143.158049,10:45,1.56642,0.01821,5.1672,-22.89702,7.18004,-4.73193,1.14083,2.06357,60.5292,-3.88283,2.597566,0.39472,,,,,,,,,,,,6.36512,7.37485,0.82467,50,0.88695,-7.1394,-98.55824,7.01541,6.09233,19.59249,-25.11528,VIR_TEC_SB,UTA_STA_SB,GeorgiaSoftball,D1,ACC,20260220-GeorgiaSoftball-2,4f9a6b90-0e87-11f1-b684-4110ce8080dd,95.49162,,,5.32924,,,,,,,fc32105f-ab1f-486c-b103-f9f0c06ff98e,2026-02-20,18:09:33.86,2026-02-20T13:09:33.8668544-05:00,2026-02-20T18:09:33.8668544Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,8f0350ea-7786-4bda-b4a4-5a82536f34e9,37.82676,-96.10785,9.79624,1.56792,3.87429,-12.55764,-0.02059,-6.37744,3.04616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-20,13:09:50.50,1,2,"Layton, Avery",100000004362,Right,VIR_TEC_SB,"Kroening, Faith",100000001366,Left,UTA_STA_SB,Undefined,1,Top,0,1,0,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.78369,2.25412,2.514586,1564.319907,125.740636,10:15,1.53983,0.04112,5.49369,-23.73659,4.65733,-5.45296,0.98372,1.17162,61.96888,-4.203947,1.074584,0.383516,,,,,,,,,,,,6.7289,4.82555,0.54492,50,0.84325,-5.07367,-99.98286,7.25298,6.7025,18.52452,-27.36742,VIR_TEC_SB,UTA_STA_SB,GeorgiaSoftball,D1,ACC,20260220-GeorgiaSoftball-2,598a3680-0e87-11f1-b684-4110ce8080dd,98.28117,,,4.81481,,,,,,,fc32105f-ab1f-486c-b103-f9f0c06ff98e,2026-02-20,18:09:50.50,2026-02-20T13:09:50.5043456-05:00,2026-02-20T18:09:50.5043456Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,1e422c04-2d36-43d3-bf50-c0af1b7a7b16,37.50209,-97.63983,9.26226,1.54172,3.79148,-13.68371,-0.0432,-4.22593,3.35125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-20,13:10:07.58,1,3,"Layton, Avery",100000004362,Right,VIR_TEC_SB,"Kroening, Faith",100000001366,Left,UTA_STA_SB,Undefined,1,Top,0,2,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.64073,7.180559,1.104121,1660.320298,107.517432,9:30,1.56372,0.20132,5.67335,-26.42686,2.83768,-6.84587,3.88644,0.32292,60.76844,0.01012,-0.709138,0.389352,,,,,,,,,,,,7.79603,1.47197,0.09142,50,-0.26956,-2.73779,-97.51774,15.99114,7.45957,16.24484,-30.76559,VIR_TEC_SB,UTA_STA_SB,GeorgiaSoftball,D1,ACC,20260220-GeorgiaSoftball-2,63ba17b0-0e87-11f1-b684-4110ce8080dd,96.80814,,,4.87229,,,,,,,fc32105f-ab1f-486c-b103-f9f0c06ff98e,2026-02-20,18:10:07.58,2026-02-20T13:10:07.5813888-05:00,2026-02-20T18:10:07.5813888Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,5b1cb8d2-a19f-4842-b2f6-7e9d75cb7835,37.32291,-95.38257,8.12242,1.56652,11.94742,-15.3828,-0.20399,-1.75733,3.72979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-20,13:10:25.79,1,4,"Layton, Avery",100000004362,Right,VIR_TEC_SB,"Kroening, Faith",100000001366,Left,UTA_STA_SB,Undefined,1,Top,0,3,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.92249,4.355302,1.159944,1641.236812,110.015139,9:45,1.60944,0.08758,5.38463,-26.21183,3.69803,-8.40536,2.18263,0.12008,60.84857,-2.714941,-1.05286,0.393621,,,,,,,,,,,,9.42941,3.28504,0.22244,50,0.44154,-2.99729,-96.72846,10.92486,8.96221,14.63743,-29.05177,VIR_TEC_SB,UTA_STA_SB,GeorgiaSoftball,D1,ACC,20260220-GeorgiaSoftball-2,6e87e690-0e87-11f1-b684-4110ce8080dd,95.75812,,,4.07392,,,,,,,fc32105f-ab1f-486c-b103-f9f0c06ff98e,2026-02-20,18:10:25.79,2026-02-20T13:10:25.7973760-05:00,2026-02-20T18:10:25.7973760Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,a10756bc-0916-4457-8c64-fb774aee6472,37.61256,-94.83541,7.31872,1.61148,7.16761,-14.52588,-0.09025,-1.83821,4.48111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-20,13:10:43.47,1,5,"Layton, Avery",100000004362,Right,VIR_TEC_SB,"Kroening, Faith",100000001366,Left,UTA_STA_SB,Undefined,1,Top,0,3,1,Screwball,,BallCalled,Walk,Undefined,Undefined,0,0,,66.30712,6.935158,2.013564,1632.450555,90.389076,9:00,1.4779,0.06744,5.43306,-28.1045,0.61618,-6.81989,3.53575,0.77009,62.09207,-0.59638,0.220347,0.385717,,,,,,,,,,,,7.91725,-0.64906,0.41871,50,-0.27684,-4.32055,-98.19607,15.84892,7.81411,13.97219,-32.81467,VIR_TEC_SB,UTA_STA_SB,GeorgiaSoftball,D1,ACC,20260220-GeorgiaSoftball-2,7910e440-0e87-11f1-b684-4110ce8080dd,97.72045,,,4.21506,,,,,,,fc32105f-ab1f-486c-b103-f9f0c06ff98e,2026-02-20,18:10:43.47,2026-02-20T13:10:43.4798080-05:00,2026-02-20T18:10:43.4798080Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,2c17eb1c-db2d-4c4e-af63-d98e24643f19,37.56484,-96.41045,6.98609,1.48065,11.65528,-16.40733,-0.06963,-3.32193,3.90705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-20,13:11:07.01,2,1,"Layton, Avery",100000004362,Right,VIR_TEC_SB,"Matej, Grace",100000001370,Left,UTA_STA_SB,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.5458,5.886189,1.439967,1735.871587,85.020396,8:45,1.60433,-0.08048,5.61281,-28.98911,-0.00441,-6.72122,2.89818,0.26363,61.50583,-1.936353,-0.338362,0.387486,,,,,,,,,,,,7.75851,-1.08898,0.44843,50,0.04543,-3.32029,-97.36264,14.1137,7.51511,13.98413,-33.22887,VIR_TEC_SB,UTA_STA_SB,GeorgiaSoftball,D1,ACC,20260220-GeorgiaSoftball-2,8716d3b0-0e87-11f1-b684-4110ce8080dd,97.27437,,,4.03997,,,,,,,fc32105f-ab1f-486c-b103-f9f0c06ff98e,2026-02-20,18:11:07.01,2026-02-20T13:11:07.0142976-05:00,2026-02-20T18:11:07.0142976Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,8ddc4664-a7b6-43e8-9bed-b3605c9e1671,37.38529,-95.53362,6.99207,1.60718,9.76761,-16.61444,0.07844,-2.33737,3.75756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-20,13:11:25.91,2,2,"Layton, Avery",100000004362,Right,VIR_TEC_SB,"Matej, Grace",100000001370,Left,UTA_STA_SB,Undefined,1,Top,0,0,1,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,66.51212,5.177608,2.85978,1675.910685,101.487748,9:30,1.53598,0.07622,5.65454,-26.09596,2.27555,-7.90351,2.621,1.21239,61.78228,-1.910717,0.767723,0.383365,60.44557,9.371511,-174.83686,1713.653533,,,,,23.27364,,,9.60552,1.3298,0.61644,50,0.15322,-5.99459,-99.12878,12.71783,9.48929,16.9076,-30.86034,VIR_TEC_SB,UTA_STA_SB,GeorgiaSoftball,D1,ACC,20260220-GeorgiaSoftball-2,92547b60-0e87-11f1-b684-4110ce8080dd,98.31993,6.09667,,4.72984,,,,1.57268,2.65639,-1.27805,fc32105f-ab1f-486c-b103-f9f0c06ff98e,2026-02-20,18:11:25.91,2026-02-20T13:11:25.9171840-05:00,2026-02-20T18:11:25.9171840Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,bb32952d-dc27-44a1-923c-87a705d70d35,37.3431,-96.94596,8.4538,1.53794,8.73368,-15.43017,-0.0784,-4.76949,4.74465,196.741511,1.56881,-86.94102,13.06216,,,,,,,2.65557,14.47354,-9.54974,,,,,,,-1.27747,-7.89779,-1.23969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-02-20,13:11:49.93,2,3,"Layton, Avery",100000004362,Right,VIR_TEC_SB,"Matej, Grace",100000001370,Left,UTA_STA_SB,Undefined,1,Top,0,0,2,Changeup,,BallinDirt,Undefined,Undefined,Undefined,0,0,,58.73693,2.579418,2.385126,1097.389775,33.136288,7:00,1.44641,0.09764,5.33278,-48.24262,-10.94379,-7.81721,-0.9393,0.95614,54.71359,-10.31365,0.32296,0.439561,,,,,,,,,,,,9.2504,-11.98631,0.46598,50,0.52635,-4.50253,-88.25369,9.48596,7.08082,16.00506,-41.3491,VIR_TEC_SB,UTA_STA_SB,GeorgiaSoftball,D1,ACC,20260220-GeorgiaSoftball-2,a0b498c0-0e87-11f1-b684-4110ce8080dd,85.75022,,,4.02334,,,,,,,fc32105f-ab1f-486c-b103-f9f0c06ff98e,2026-02-20,18:11:49.93,2026-02-20T13:11:49.9380000-05:00,2026-02-20T18:11:49.9380000Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,1d915ba3-f372-4afd-8eb4-8f1b219fa5e9,37.66738,-85.98806,8.00253,1.45487,3.63268,-20.67455,-0.10045,-3.50018,3.54041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.19793,,,1.121484,,,,6.38509,4.49932,-4.12089,84.85571,0.2277,-1.08766,6.42894,76.47468,-5.90305,4.52858,11.86127,-14.04825,-4.14236,0.40569,2.10039,High,High,High,,,Medium,High,Medium
9,2026-02-20,13:12:15.28,2,4,"Layton, Avery",100000004362,Right,VIR_TEC_SB,"Matej, Grace",100000001370,Left,UTA_STA_SB,Undefined,1,Top,0,1,2,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,69.13894,4.778533,1.988238,1696.131192,83.482876,8:45,1.55796,-0.08045,5.24562,-27.24911,-0.43409,-9.41697,2.32669,0.39628,64.24519,-2.531713,-0.479757,0.372701,52.03227,49.33909,-119.032127,3622.454469,,,,,26.71241,,,10.78957,-1.56413,0.57055,50,0.31374,-4.79595,-103.12757,12.41728,11.52816,18.41105,-33.84524,VIR_TEC_SB,UTA_STA_SB,GeorgiaSoftball,D1,ACC,20260220-GeorgiaSoftball-2,afc71630-0e87-11f1-b684-4110ce8080dd,101.13318,27.45901,,4.89375,,,,1.91619,2.43928,-0.38885,fc32105f-ab1f-486c-b103-f9f0c06ff98e,2026-02-20,18:12:15.28,2026-02-20T13:12:15.2880640-05:00,2026-02-20T18:12:15.2880640Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,72ef8469-3e33-4d9f-b2d7-fab7c7199bb7,37.75244,-100.91737,9.20553,1.56052,8.35423,-16.92262,0.07788,-3.41202,5.76408,35.284518,1.91619,-24.13138,-4.5237,2.08964,-0.54727,0.14367,-0.02754,0.00708,-0.00124,2.43928,57.8901,-26.65777,3.04985,-0.61633,0.10363,-0.01432,0.00416,-0.00026,-0.38885,-43.47665,6.65076,-0.18466,-0.04098,0.05133,-0.01061,0.00323,-0.00103,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-02-20,13:12:37.30,2,5,"Layton, Avery",100000004362,Right,VIR_TEC_SB,"Matej, Grace",100000001370,Left,UTA_STA_SB,Undefined,1,Top,0,1,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.84928,4.801724,3.099163,1623.477875,141.371225,10:45,1.51839,0.3576,5.47771,-21.69163,6.93402,-4.94048,2.74817,1.90078,61.54279,-1.116843,1.798207,0.385078,,,,,,,,,,,,6.35957,6.4026,0.35048,50,0.27877,-6.00795,-99.78874,11.43707,6.28937,18.93405,-25.84209,VIR_TEC_SB,UTA_STA_SB,GeorgiaSoftball,D1,ACC,20260220-GeorgiaSoftball-2,bce9d190-0e87-11f1-b684-4110ce8080dd,97.88254,,,5.30649,,,,,,,fc32105f-ab1f-486c-b103-f9f0c06ff98e,2026-02-20,18:12:37.30,2026-02-20T13:12:37.3094912-05:00,2026-02-20T18:12:37.3094912Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,bb258c5f-c280-4220-a8a2-8d6aeb6d1c71,37.51713,-97.39142,9.46702,1.51972,8.1651,-12.92105,-0.3598,-5.21163,3.14469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
