PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-20,19:25:09.27,1,1,"Layne, Courtney",100000002973,Left,VIR_CAV_SB,"Cruse, Taylor",100000004812,Right,OHI_STA_SB,Undefined,1,Top,0,0,0,Riseball,,InPlay,Undefined,LineDrive,Single,0,0,,64.11894,5.315663,2.134172,1430.458123,261.282937,2:45,1.55809,-1.16734,6.55752,-28.21246,1.745,4.90445,2.46822,0.54662,57.82176,-2.628122,3.465404,0.393934,52.71152,21.627023,-23.460252,1328.825252,,,,125.96691,125.77467,-25.641145,2.101264,-4.63835,0.20886,1.63261,50,0.00937,-2.95244,-96.65076,13.15756,-4.14269,22.86358,-31.98752,VIR_CAV_SB,OHI_STA_SB,PalmerPark,D1,ACC,20260220-PalmerPark-5,c7c907f0-0ebb-11f1-a77c-bf48a65ad99f,95.68203,16.4273,,6.29718,,,,1.01032,2.46142,-0.5492,e8db822d-9521-489a-bc11-a919e393bb46,2026-02-21,00:25:09.27,2026-02-20T19:25:09.2763648-05:00,2026-02-21T00:25:09.2763648Z,,V3 - Softball,,,,"Weismer, Hannah",100000002995,Right,VIR_CAV_SB,fd65839d-e24b-4ded-a793-359d4496fca1,36.43713,-93.38724,11.43179,1.5616,8.59171,-15.99376,1.16898,-3.54376,-2.07135,162.443741,1.01033,65.92671,-8.9373,2.04952,-0.32845,-0.01605,0.0396,-0.01476,0.00208,2.46141,28.49368,-14.90239,0.42414,-0.10687,0.11269,-0.07256,0.02517,-0.00345,-0.5492,-28.61152,2.3054,-0.60922,0.1054,-0.00681,-0.00434,0.00183,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-02-20,19:25:37.30,2,1,"Layne, Courtney",100000002973,Left,VIR_CAV_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,0,0,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,59.25804,6.765159,0.876941,1082.238545,357.062216,6:00,1.73045,-1.60972,6.58999,-43.02258,-8.47666,0.4861,2.29685,-1.03358,54.24502,-5.192518,1.009072,0.423029,52.88804,16.11085,161.401205,2234.700479,,,,73.34986,25.67641,161.646694,1.078852,-0.22563,-11.62131,1.8136,50,-0.31262,-1.29868,-88.84092,16.40072,-0.17428,16.70567,-41.15032,VIR_CAV_SB,OHI_STA_SB,PalmerPark,D1,ACC,20260220-PalmerPark-5,d8825790-0ebb-11f1-a77c-bf48a65ad99f,89.1014,7.04656,,5.01302,,,,-0.4485,2.01021,1.06203,e8db822d-9521-489a-bc11-a919e393bb46,2026-02-21,00:25:37.30,2026-02-20T19:25:37.3098496-05:00,2026-02-21T00:25:37.3098496Z,,V3 - Softball,,,,"Weismer, Hannah",100000002995,Right,VIR_CAV_SB,f7a6a6ea-f1f3-4b80-9a1d-e5d733f142a7,36.40846,-86.2473,8.35284,1.73771,10.01199,-20.57516,1.60987,-1.32573,-0.08714,347.565935,-0.43954,-70.73412,6.11863,,,,,,,2.12498,20.06006,-20.50829,,,,,,,1.07384,23.61174,-2.97327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-02-20,19:25:54.41,2,2,"Layne, Courtney",100000002973,Left,VIR_CAV_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,0,1,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,63.98302,5.940637,1.821188,3051.953068,200.111233,12:45,1.60443,-1.36965,6.41907,-21.77556,8.50115,2.76622,3.45074,-0.02103,57.76524,-0.220844,2.569857,0.396028,,,,,,,,,,,,-2.30748,7.73292,1.77633,50,-0.02172,-2.70973,-96.08218,13.25785,-2.05394,21.49977,-25.2908,VIR_CAV_SB,OHI_STA_SB,PalmerPark,D1,ACC,20260220-PalmerPark-5,e2b39850-0ebb-11f1-a77c-bf48a65ad99f,95.17618,,,6.21777,,,,,,,e8db822d-9521-489a-bc11-a919e393bb46,2026-02-21,00:25:54.41,2026-02-20T19:25:54.4119296-05:00,2026-02-21T00:25:54.4119296Z,,V3 - Softball,,,,"Weismer, Hannah",100000002995,Right,VIR_CAV_SB,8c9b51db-3b64-4523-922b-e4811a1e5c60,36.57225,-93.02902,10.74989,1.606,9.66633,-12.6454,1.37081,-3.00141,-1.02697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-20,19:26:11.23,2,3,"Layne, Courtney",100000002973,Left,VIR_CAV_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,0,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.34478,6.493631,0.974662,1579.651599,193.826167,12:30,1.55602,-1.45947,6.29914,-24.27588,5.67032,1.17858,3.54976,-0.76097,58.45209,-0.29415,1.29247,0.39386,,,,,,,,,,,,-0.92807,4.49614,1.6772,50,-0.20151,-1.49133,-96.35092,14.52905,-0.84019,20.1211,-28.10374,VIR_CAV_SB,OHI_STA_SB,PalmerPark,D1,ACC,20260220-PalmerPark-5,ecc59140-0ebb-11f1-a77c-bf48a65ad99f,95.7,,,5.89269,,,,,,,e8db822d-9521-489a-bc11-a919e393bb46,2026-02-21,00:26:11.23,2026-02-20T19:26:11.2375808-05:00,2026-02-21T00:26:11.2375808Z,,V3 - Softball,,,,"Weismer, Hannah",100000002995,Right,VIR_CAV_SB,3289ba08-d279-41a0-b3d5-571102d7b1f2,36.69348,-93.53083,10.06055,1.55879,10.59014,-14.05187,1.45993,-1.60908,-0.4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-20,19:26:29.46,2,4,"Layne, Courtney",100000002973,Left,VIR_CAV_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,1,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.89911,5.782398,-0.557493,1653.124902,217.437151,1:15,1.54771,-1.28952,6.61644,-24.46356,5.07095,3.26217,3.0502,-1.35792,58.51251,-1.104816,0.331065,0.391144,,,,,,,,,,,,-3.91138,4.32508,1.13011,50,-0.0953,1.36973,-95.76277,13.44417,-3.52699,18.77642,-28.27402,VIR_CAV_SB,OHI_STA_SB,PalmerPark,D1,ACC,20260220-PalmerPark-5,f7933910-0ebb-11f1-a77c-bf48a65ad99f,96.36465,,,5.3866,,,,,,,e8db822d-9521-489a-bc11-a919e393bb46,2026-02-21,00:26:29.46,2026-02-20T19:26:29.4670000-05:00,2026-02-21T00:26:29.4670000Z,,V3 - Softball,,,,"Weismer, Hannah",100000002995,Right,VIR_CAV_SB,9574849f-3b22-4ecf-aa51-ac3a29e7ac55,36.37758,-93.05346,9.38821,1.55026,9.36443,-14.13701,1.29103,0.86081,-1.76349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.29732,,1.576755,,-1.92854,2.96434,1.33613,-2.07492,5.85721,1.11382,,,,-2.0322,69.46151,-4.72113,5.88008,5.49413,-12.59516,1.08904,-8.79989,2.65078,High,High,High,,,High,High,Medium
6,2026-02-20,19:26:46.88,2,5,"Layne, Courtney",100000002973,Left,VIR_CAV_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,2,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,65.24242,5.028787,0.89974,1476.962458,177.78281,12:00,1.54773,-1.25789,6.41793,-23.16923,5.76036,-0.18815,2.71172,-0.7213,59.1317,-1.499478,0.848765,0.387117,,,,,,,,,,,,0.57878,5.10646,1.46998,50,0.13069,-1.56488,-98.10944,12.11879,0.53913,21.91739,-27.4175,VIR_CAV_SB,OHI_STA_SB,PalmerPark,D1,ACC,20260220-PalmerPark-5,01f303e0-0ebc-11f1-a77c-bf48a65ad99f,97.36703,,,6.11072,,,,,,,e8db822d-9521-489a-bc11-a919e393bb46,2026-02-21,00:26:46.88,2026-02-20T19:26:46.8882944-05:00,2026-02-21T00:26:46.8882944Z,,V3 - Softball,,,,"Weismer, Hannah",100000002995,Right,VIR_CAV_SB,07e67bc8-1559-4dd3-8382-7fc44f04245f,36.57404,-95.06281,10.95869,1.55037,8.30762,-13.70875,1.25766,-1.48994,0.26957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-20,19:27:10.71,3,1,"Layne, Courtney",100000002973,Left,VIR_CAV_SB,"Bewick, Sami",100000004824,Right,OHI_STA_SB,Undefined,1,Top,1,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.04936,4.98042,0.735294,1404.871489,179.778658,12:00,1.51566,-1.15845,6.40727,-23.63919,5.44985,-0.01756,2.61137,-0.70847,59.01226,-1.673013,0.730533,0.388183,,,,,,,,,,,,0.31941,4.78709,1.33065,50,0.10719,-1.25765,-97.8176,12.06309,0.29606,21.65406,-27.73714,VIR_CAV_SB,OHI_STA_SB,PalmerPark,D1,ACC,20260220-PalmerPark-5,10270830-0ebc-11f1-a77c-bf48a65ad99f,97.09979,,,6.03709,,,,,,,e8db822d-9521-489a-bc11-a919e393bb46,2026-02-21,00:27:10.71,2026-02-20T19:27:10.7170816-05:00,2026-02-21T00:27:10.7170816Z,,V3 - Softball,,,,"Weismer, Hannah",100000002995,Right,VIR_CAV_SB,f710a845-eca6-49fe-8b77-dda5ce131da2,36.58506,-94.80141,10.82703,1.51839,8.19959,-13.86857,1.15835,-1.21641,0.14803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-20,19:27:29.03,3,2,"Layne, Courtney",100000002973,Left,VIR_CAV_SB,"Bewick, Sami",100000004824,Right,OHI_STA_SB,Undefined,1,Top,1,0,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.15971,7.414673,1.810094,1514.312804,230.096543,1:45,1.55155,-1.19453,6.28057,-24.80025,5.55264,5.5665,4.08137,0.38501,58.10995,0.493031,3.308439,0.396526,,,,,,,,,,,,-5.46118,3.9061,1.57359,50,-0.42503,-2.33505,-95.92327,16.09215,-4.88339,20.3956,-28.68119,VIR_CAV_SB,OHI_STA_SB,PalmerPark,D1,ACC,20260220-PalmerPark-5,1b0f63f0-0ebc-11f1-a77c-bf48a65ad99f,95.05671,,,6.04976,,,,,,,e8db822d-9521-489a-bc11-a919e393bb46,2026-02-21,00:27:29.03,2026-02-20T19:27:29.0322432-05:00,2026-02-21T00:27:29.0322432Z,,V3 - Softball,,,,"Weismer, Hannah",100000002995,Right,VIR_CAV_SB,5e48196b-c387-4c07-afb6-26342293c436,36.71253,-93.05515,10.1978,1.55433,12.05888,-14.3406,1.19694,-3.02178,-2.4417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-20,19:27:48.13,3,3,"Layne, Courtney",100000002973,Left,VIR_CAV_SB,"Bewick, Sami",100000004824,Right,OHI_STA_SB,Undefined,1,Top,1,1,1,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.57453,4.264999,0.036412,1296.055957,201.711863,12:45,1.47882,-1.24105,6.6293,-24.53159,4.35547,1.40055,2.04126,-1.10212,59.06652,-2.658086,0.418403,0.386833,,,,,,,,,,,,-1.5824,3.97508,1.23807,50,0.2004,0.12893,-97.14509,11.02242,-1.45839,20.25467,-28.51051,VIR_CAV_SB,OHI_STA_SB,PalmerPark,D1,ACC,20260220-PalmerPark-5,2682e8b0-0ebc-11f1-a77c-bf48a65ad99f,97.43861,,,5.50801,,,,,,,e8db822d-9521-489a-bc11-a919e393bb46,2026-02-21,00:27:48.13,2026-02-20T19:27:48.1307136-05:00,2026-02-21T00:27:48.1307136Z,,V3 - Softball,,,,"Weismer, Hannah",100000002995,Right,VIR_CAV_SB,7d4df2aa-c0cd-4169-8b8b-c8f05a02a474,36.36482,-94.2593,10.12734,1.48145,6.96038,-14.25525,1.24164,-0.07885,-0.72919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-20,19:28:05.51,3,4,"Layne, Courtney",100000002973,Left,VIR_CAV_SB,"Bewick, Sami",100000004824,Right,OHI_STA_SB,Undefined,1,Top,1,1,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.97636,7.263394,-0.26749,1619.000362,222.949049,1:30,1.53242,-1.12726,6.22523,-23.18411,8.39154,6.93666,4.10698,-0.71428,56.98072,0.769163,1.599406,0.404434,,,,,,,,,,,,-7.77178,7.10823,1.01621,50,-0.3887,1.28053,-94.21326,15.34216,-6.70055,19.73927,-26.04555,VIR_CAV_SB,OHI_STA_SB,PalmerPark,D1,ACC,20260220-PalmerPark-5,30d39850-0ebc-11f1-a77c-bf48a65ad99f,93.19806,,,5.99564,,,,,,,e8db822d-9521-489a-bc11-a919e393bb46,2026-02-21,00:28:05.51,2026-02-20T19:28:05.5148544-05:00,2026-02-21T00:28:05.5148544Z,,V3 - Softball,,,,"Weismer, Hannah",100000002995,Right,VIR_CAV_SB,f6492227-1263-4385-ad6f-112c788d21d1,36.76726,-91.39874,9.86963,1.5341,11.62845,-13.02278,1.13069,0.32513,-3.35028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
