PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-20,12:02:24.64,1,1,"Adams, Jalen",100000003964,Right,ARI_WIL_SB,"Maloney, Ashton",100000001071,Left,TEX_LON_SB,Undefined,1,Top,0,0,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.24442,4.565846,-1.102919,1034.560239,34.296118,7:15,2.49238,0.30008,7.69919,-29.71801,-3.03213,-2.61583,2.72247,-0.57029,59.57369,-4.016748,-1.838318,0.371802,45.1378,49.572771,-60.812823,3802.26078,,,,94.52189,83.84751,-64.919995,2.635561,2.7452,-5.08843,-0.55412,50,0.93941,1.47399,-98.61678,13.07027,2.58245,22.20681,-36.96077,ARI_WIL_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-1,134a4100-0e97-11f1-97a0-070ba389b790,101.37768,31.95382,,5.67073,,,,3.28271,2.14079,0.72089,ef68f137-8985-4c0a-9752-37c62a034a7d,2026-02-20,20:02:24.64,2026-02-20T12:02:24.6409728-08:00,2026-02-20T20:02:24.6409728Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,da737a98-522f-400a-b6b8-aeb0663ab02e,35.29956,-95.24899,11.10341,2.49655,7.46495,-18.48039,-0.30088,1.86563,1.29122,29.297203,3.28294,20.92437,-1.39797,-1.04382,0.65781,-0.38023,0.12427,-0.01937,0.00109,2.1409,50.38868,-23.58363,2.19362,-0.08966,-0.27082,0.16106,-0.03968,0.00367,0.72074,-37.47278,1.36925,0.46946,-0.3972,0.2458,-0.08308,0.01362,-0.00084,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
2,2026-02-20,12:02:50.24,1,2,"Adams, Jalen",100000003964,Right,ARI_WIL_SB,"Maloney, Ashton",100000001071,Left,TEX_LON_SB,Undefined,1,Top,0,0,1,Dropball,,InPlay,Undefined,SlapHit,Out,1,0,,64.60399,3.702572,-1.42621,1004.949278,11.892727,6:30,2.45046,0.44774,7.56068,-32.65632,-5.30622,-1.28827,1.9316,-0.50674,59.24641,-5.666813,-1.787225,0.376401,38.28384,-70.960349,-19.26242,,,,,4.43114,4.43114,2.466211,0.040026,0.99311,-7.53882,-0.796,50,1.10225,2.22601,-97.7026,11.89029,0.9186,21.56051,-39.14714,ARI_WIL_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-1,2290c6c0-0e97-11f1-97a0-070ba389b790,100.13906,2.14719,,5.35758,,,,3.72752,2.14719,0.43512,ef68f137-8985-4c0a-9752-37c62a034a7d,2026-02-20,20:02:50.24,2026-02-20T12:02:50.2497280-08:00,2026-02-20T20:02:50.2497280Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,5fc13ce8-e15a-4fca-918b-6f9b7f572fe5,35.43896,-94.4347,10.78025,2.45478,5.95679,-19.57357,-0.44805,2.36524,0.4593,,3.72633,17.47672,,,,,,,,2.15084,-53.64541,,,,,,,,0.43554,-6.1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2026-02-20,12:03:25.07,2,1,"Adams, Jalen",100000003964,Right,ARI_WIL_SB,"Henry, Kayden",100000001076,Left,TEX_LON_SB,Undefined,1,Top,1,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.86454,3.993355,-1.824679,1056.758545,31.634669,7:00,2.46972,0.27821,7.68021,-31.37053,-4.23929,-3.13732,2.22364,-1.06337,59.09081,-5.059694,-2.706163,0.374892,,,,,,,,,,,,2.98087,-6.09737,-0.71406,50,1.06131,2.64405,-98.18138,12.1727,2.76281,22.83118,-37.82534,ARI_WIL_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-1,37712ad0-0e97-11f1-97a0-070ba389b790,100.54214,,,5.77373,,,,,,,ef68f137-8985-4c0a-9752-37c62a034a7d,2026-02-20,20:03:25.07,2026-02-20T12:03:25.0754560-08:00,2026-02-20T20:03:25.0754560Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,2887d944-0a04-4840-acff-888a45877009,35.31728,-94.70552,11.41559,2.47616,6.41411,-18.91267,-0.27951,3.06466,1.3814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-20,12:03:42.36,2,2,"Adams, Jalen",100000003964,Right,ARI_WIL_SB,"Henry, Kayden",100000001076,Left,TEX_LON_SB,Undefined,1,Top,1,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.35892,3.960258,-2.098261,1052.566758,23.712302,6:45,2.52402,0.2387,7.71472,-33.59836,-6.12044,-3.06307,2.07059,-1.25751,58.74854,-5.724467,-2.959611,0.37728,,,,,,,,,,,,2.78043,-8.29414,-0.74677,50,1.09638,3.09978,-97.40864,12.38894,2.53951,22.32136,-39.74948,ARI_WIL_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-1,41b24a10-0e97-11f1-97a0-070ba389b790,99.90584,,,5.61039,,,,,,,ef68f137-8985-4c0a-9752-37c62a034a7d,2026-02-20,20:03:42.36,2026-02-20T12:03:42.3628800-08:00,2026-02-20T20:03:42.3628800Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,7cb098ab-efe5-4e4b-a715-8f299f2932f7,35.28333,-93.9758,11.16068,2.53163,6.27579,-19.87474,-0.24002,3.49033,1.26975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-20,12:04:01.38,2,3,"Adams, Jalen",100000003964,Right,ARI_WIL_SB,"Henry, Kayden",100000001076,Left,TEX_LON_SB,Undefined,1,Top,1,2,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.73111,5.402329,0.121858,1057.812881,16.185474,6:30,2.40848,0.62893,7.33328,-29.60108,-1.8728,-0.78366,3.18091,0.63648,59.02787,-3.059922,-0.096038,0.378995,,,,,,,,,,,,0.97142,-3.66429,-0.59105,50,0.70769,-0.32308,-97.50872,14.07526,0.89755,21.08414,-35.55967,ARI_WIL_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-1,4d0c0540-0e97-11f1-97a0-070ba389b790,99.45378,,,5.70324,,,,,,,ef68f137-8985-4c0a-9752-37c62a034a7d,2026-02-20,20:04:01.38,2026-02-20T12:04:01.3810176-08:00,2026-02-20T20:04:01.3810176Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,803021f8-e022-40ea-a652-2e83bd204ec3,35.66381,-94.35793,10.54207,2.41403,8.76126,-17.77983,-0.62931,-0.18895,0.44877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-20,12:04:20.25,2,4,"Adams, Jalen",100000003964,Right,ARI_WIL_SB,"Henry, Kayden",100000001076,Left,TEX_LON_SB,Undefined,1,Top,1,3,0,Other,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.76042,5.121349,0.432997,1011.813337,31.758207,7:00,2.36478,0.65405,6.93393,-31.90592,-2.64957,-2.18736,2.81162,0.73365,58.1475,-3.893578,-0.168371,0.389297,,,,,,,,,,,,2.69114,-4.3713,-0.53001,50,0.77572,-1.02597,-96.01168,13.47788,2.40959,20.50244,-36.08802,ARI_WIL_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-1,583f73c0-0e97-11f1-97a0-070ba389b790,96.82175,,,5.61292,,,,,,,ef68f137-8985-4c0a-9752-37c62a034a7d,2026-02-20,20:04:20.25,2026-02-20T12:04:20.2532864-08:00,2026-02-20T20:04:20.2532864Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,0036266e-e5df-49e8-a997-116e96bc8f6e,36.06329,-92.988,10.25122,2.37096,8.15567,-18.04401,-0.65511,-0.67061,1.2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-20,12:04:37.59,2,5,"Adams, Jalen",100000003964,Right,ARI_WIL_SB,"Henry, Kayden",100000001076,Left,TEX_LON_SB,Undefined,1,Top,1,3,1,Dropball,,BallCalled,Walk,Undefined,Undefined,0,0,,65.56349,4.647317,-2.524193,1000.85586,20.395343,6:45,2.37594,0.31865,7.4301,-30.76309,-3.72492,-1.70437,2.59151,-1.32908,59.55955,-4.167359,-2.998824,0.374248,,,,,,,,,,,,0.93228,-5.71217,-0.93844,50,0.84406,4.10965,-99.0297,13.15587,0.87928,23.19771,-37.56138,ARI_WIL_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-1,62979d70-0e97-11f1-97a0-070ba389b790,100.71503,,,6.00395,,,,,,,ef68f137-8985-4c0a-9752-37c62a034a7d,2026-02-20,20:04:37.59,2026-02-20T12:04:37.5954944-08:00,2026-02-20T20:04:37.5954944Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,8555231d-8d93-4651-a280-00c07f8b7f06,35.56708,-95.58902,11.59886,2.38219,7.58477,-18.78069,-0.31922,4.24006,0.43964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-20,12:05:06.97,3,1,"Adams, Jalen",100000003964,Right,ARI_WIL_SB,"Goode, Leighann",100000001080,Right,TEX_LON_SB,Undefined,1,Top,1,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.32329,3.751867,-2.56529,975.361578,23.227582,6:45,2.43709,0.30197,7.55214,-31.44734,-3.9089,-2.0126,2.05049,-1.39053,59.20068,-5.262572,-3.128189,0.377695,,,,,,,,,,,,1.41823,-5.42051,-0.93352,50,1.10023,4.03827,-97.00615,11.64188,1.30292,20.24007,-37.15387,ARI_WIL_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-1,743b9b30-0e97-11f1-97a0-070ba389b790,99.79605,,,5.12261,,,,,,,ef68f137-8985-4c0a-9752-37c62a034a7d,2026-02-20,20:05:06.97,2026-02-20T12:05:06.9741056-08:00,2026-02-20T20:05:06.9741056Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,b9ade7d0-fdf8-44be-be01-87b94f94b202,35.44599,-93.92042,10.12004,2.44333,5.97752,-18.57693,-0.30271,4.23691,0.65146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-20,12:05:24.44,3,2,"Adams, Jalen",100000003964,Right,ARI_WIL_SB,"Goode, Leighann",100000001080,Right,TEX_LON_SB,Undefined,1,Top,1,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.36544,4.855645,-2.292548,933.780897,20.982185,6:45,2.39728,0.2656,7.30682,-31.91246,-3.73941,-1.76665,2.65222,-1.25392,58.64413,-4.248509,-2.782846,0.382022,,,,,,,,,,,,1.12917,-5.70575,-0.82173,50,0.81652,3.62876,-97.07936,13.38896,1.02874,21.60007,-37.37234,ARI_WIL_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-1,7e7d7dc0-0e97-11f1-97a0-070ba389b790,98.66564,,,5.72131,,,,,,,ef68f137-8985-4c0a-9752-37c62a034a7d,2026-02-20,20:05:24.44,2026-02-20T12:05:24.4434944-08:00,2026-02-20T20:05:24.4434944Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,478b6cdd-802c-4ea6-ba3d-9d2c67b86c9a,35.69068,-93.84155,10.80003,2.40363,7.78693,-18.68617,-0.26623,3.78297,0.51437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-20,12:05:43.32,3,3,"Adams, Jalen",100000003964,Right,ARI_WIL_SB,"Goode, Leighann",100000001080,Right,TEX_LON_SB,Undefined,1,Top,1,2,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.76801,4.917407,0.953073,1162.328129,14.37659,6:30,2.27448,0.6,7.11848,-31.65852,-3.64012,-1.14866,2.60208,1.07766,59.13336,-4.065207,0.635578,0.380972,71.55872,25.092128,-39.940613,1186.746969,81.33771,34.4729,-74.05494,204.36615,181.13403,-44.88531,3.069026,1.74122,-5.75492,-0.35404,50,0.70181,-1.79509,-97.64491,13.4886,1.61127,21.31264,-37.49953,ARI_WIL_SB,TEX_LON_SB,StanfordSoftballField,D1,ACC,20260220-StanfordSoftballField-1,8a054dd0-0e97-11f1-97a0-070ba389b790,98.93754,34.52152,,5.63465,,,,1.03298,2.86279,-1.06587,ef68f137-8985-4c0a-9752-37c62a034a7d,2026-02-20,20:05:43.32,2026-02-20T12:05:43.3221632-08:00,2026-02-20T20:05:43.3221632Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,3b07e0b3-aa15-43d4-ae14-d206aa4c6239,35.88026,-94.5128,10.65632,2.27915,7.97767,-18.74976,-0.60045,-1.5583,0.80564,,1.03297,72.87517,-14.84499,3.39936,-0.7239,0.16536,-0.03453,0.00457,-0.00025,2.86282,44.50466,-16.62148,0.69207,0.09138,-0.11513,0.04145,-0.00713,0.00051,-1.06584,-61.02209,8.82946,-2.25289,0.53214,-0.14768,0.03703,-0.00585,0.0004,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
