PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-21,09:59:55.17,1,1,"Strood, Emma",100000001842,Right,TEX_STA_SB,"Husak, Ella",100000006774,Left,UNI_MIS_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.30835,3.363956,2.305262,2085.898749,149.441835,11:00,2.2114,0.09115,6.22404,-23.24493,5.75796,-3.04437,2.35442,1.26088,60.46222,-3.062195,1.485223,0.387607,,,,,,,,,,,,4.05965,6.1191,0.46724,50,1.19142,-4.28141,-95.94126,9.17413,3.80177,14.18671,-26.44366,TEX_STA_SB,UNI_MIS_SB,BobcatSBStad,D1,SUNB,20260221-BobcatSBStad-1,5d73b890-0f3e-11f1-943e-2d48587ea8d4,97.2439,,,3.84613,,,,,,,7a06afa4-12f2-4f7d-bf44-15262a4829e7,2026-02-21,15:59:55.17,2026-02-21T09:59:55.1711744-06:00,2026-02-21T15:59:55.1711744Z,,V3 - Softball,,,,"Kelnar, Megan",100000001851,Right,TEX_STA_SB,3e6c946c-42e2-4947-89ed-d42edffbb7a6,36.77226,-93.96493,7.09335,2.21286,5.49031,-13.22183,-0.0923,-3.75179,1.90089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-21,10:00:14.88,1,2,"Strood, Emma",100000001842,Right,TEX_STA_SB,"Husak, Ella",100000006774,Left,UNI_MIS_SB,Undefined,1,Top,0,1,0,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.0289,4.631734,1.269049,2425.344394,108.450548,9:30,2.21238,-0.08636,6.1698,-28.30868,1.46158,-3.07284,2.72308,0.44208,60.29571,-3.100629,0.442366,0.392702,,,,,,,,,,,,3.79949,1.03961,0.40818,50,0.84523,-2.51667,-93.46682,11.85505,3.4716,9.73983,-31.22416,TEX_STA_SB,UNI_MIS_SB,BobcatSBStad,D1,SUNB,20260221-BobcatSBStad-1,692d4700-0f3e-11f1-943e-2d48587ea8d4,95.98242,,,2.73319,,,,,,,7a06afa4-12f2-4f7d-bf44-15262a4829e7,2026-02-21,16:00:14.88,2026-02-21T10:00:14.8844544-06:00,2026-02-21T16:00:14.8844544Z,,V3 - Softball,,,,"Kelnar, Megan",100000001851,Right,TEX_STA_SB,e57a7874-1db0-4d95-8ce7-898363397f78,36.82933,-92.08412,4.86992,2.21356,7.42238,-15.61208,0.08589,-2.02383,1.7358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-21,10:00:35.79,1,3,"Strood, Emma",100000001842,Right,TEX_STA_SB,"Husak, Ella",100000006774,Left,UNI_MIS_SB,Undefined,1,Top,0,1,1,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.07423,4.4266,2.668185,1018.971934,124.22615,10:15,2.12527,-0.01317,6.14431,-26.07151,3.17106,-3.85575,2.69906,1.31706,60.52069,-2.725164,1.633124,0.389206,,,,,,,,,,,,5.01193,2.95555,0.65946,50,0.84002,-4.97455,-95.27913,11.29067,4.67322,12.67448,-29.41822,TEX_STA_SB,UNI_MIS_SB,BobcatSBStad,D1,SUNB,20260221-BobcatSBStad-1,75a76650-0f3e-11f1-943e-2d48587ea8d4,96.84446,,,3.55353,,,,,,,7a06afa4-12f2-4f7d-bf44-15262a4829e7,2026-02-21,16:00:35.79,2026-02-21T10:00:35.7998080-06:00,2026-02-21T16:00:35.7998080Z,,V3 - Softball,,,,"Kelnar, Megan",100000001851,Right,TEX_STA_SB,dcac428b-6dfb-4f91-9567-5e7642e8ee1a,36.85322,-93.51394,6.33724,2.12718,7.19354,-14.70911,0.01197,-4.32371,2.33661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-21,10:00:51.65,1,4,"Strood, Emma",100000001842,Right,TEX_STA_SB,"Husak, Ella",100000006774,Left,UNI_MIS_SB,Undefined,1,Top,0,2,1,Curveball,,InPlay,Undefined,Bunt,Out,1,0,,63.16894,4.808911,-0.345068,1491.651205,125.238832,10:15,2.31664,0.13067,6.40088,-25.60505,4.09256,-4.98922,3.14281,-0.49699,59.53004,-2.282467,-1.696026,0.392222,,,,,,,,,,,,5.73343,3.83122,-0.16266,50,0.90969,-0.15712,-94.13815,11.85514,5.19094,13.09601,-28.70535,TEX_STA_SB,UNI_MIS_SB,BobcatSBStad,D1,SUNB,20260221-BobcatSBStad-1,7f15cc40-0f3e-11f1-943e-2d48587ea8d4,96.09971,,,3.63889,,,,,,,7a06afa4-12f2-4f7d-bf44-15262a4829e7,2026-02-21,16:00:51.65,2026-02-21T10:00:51.6550144-06:00,2026-02-21T16:00:51.6550144Z,,V3 - Softball,,,,"Kelnar, Megan",100000001851,Right,TEX_STA_SB,0cb4a93a-0d9a-4451-ae06-110a12e5edbe,36.5974,-92.25481,6.54801,2.31775,7.72701,-14.35268,-0.13158,0.58939,2.59547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-21,10:01:17.77,2,1,"Strood, Emma",100000001842,Right,TEX_STA_SB,"Parker, Lauren",100000005230,Left,UNI_MIS_SB,Undefined,1,Top,1,0,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.80209,3.419285,1.353714,1112.168482,134.653623,10:30,2.186,-0.13941,6.06382,-25.39816,4.10748,-3.60106,2.19233,0.39987,60.41737,-3.542995,0.38726,0.390953,,,,,,,,,,,,4.38544,4.26547,0.4789,50,1.14918,-2.73712,-95.0346,9.44233,4.07047,12.5293,-28.21495,TEX_STA_SB,UNI_MIS_SB,BobcatSBStad,D1,SUNB,20260221-BobcatSBStad-1,8eaeded0-0f3e-11f1-943e-2d48587ea8d4,96.4118,,,3.38471,,,,,,,7a06afa4-12f2-4f7d-bf44-15262a4829e7,2026-02-21,16:01:17.77,2026-02-21T10:01:17.7705472-06:00,2026-02-21T16:01:17.7705472Z,,V3 - Softball,,,,"Kelnar, Megan",100000001851,Right,TEX_STA_SB,76352ade-1da1-44ee-b9be-d9b821999c02,36.93337,-93.296,6.26465,2.18779,5.52715,-14.10747,0.13828,-2.17229,2.03524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-21,10:01:34.32,2,2,"Strood, Emma",100000001842,Right,TEX_STA_SB,"Parker, Lauren",100000005230,Left,UNI_MIS_SB,Undefined,1,Top,1,0,1,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.04326,4.962949,2.110762,3181.090361,100.885037,9:15,2.14374,-0.08666,6.16275,-26.6695,1.99524,-7.07319,2.99919,0.62939,60.73125,-2.377808,0.209827,0.385341,,,,,,,,,,,,8.57355,1.31626,0.63054,50,0.73407,-4.54081,-96.99819,12.41329,8.154,15.41889,-30.92221,TEX_STA_SB,UNI_MIS_SB,BobcatSBStad,D1,SUNB,20260221-BobcatSBStad-1,988a1050-0f3e-11f1-943e-2d48587ea8d4,97.81577,,,4.31201,,,,,,,7a06afa4-12f2-4f7d-bf44-15262a4829e7,2026-02-21,16:01:34.32,2026-02-21T10:01:34.3203840-06:00,2026-02-21T16:01:34.3203840Z,,V3 - Softball,,,,"Kelnar, Megan",100000001851,Right,TEX_STA_SB,db25fe39-1ca5-4d0a-8010-223231c07037,36.83441,-94.8823,7.70945,2.14636,8.16993,-15.46111,0.0842,-3.42186,4.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-21,10:01:50.53,2,3,"Strood, Emma",100000001842,Right,TEX_STA_SB,"Parker, Lauren",100000005230,Left,UNI_MIS_SB,Undefined,1,Top,1,0,2,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.07447,3.943222,4.063005,1403.848354,100.666356,9:15,2.08014,0.08014,6.18913,-27.75722,1.43583,-4.70496,2.21296,2.20219,60.60979,-3.660389,2.800869,0.388876,,,,,,,,,,,,6.31355,1.11866,0.89835,50,0.88484,-7.41901,-95.20726,10.74145,5.88231,12.55359,-31.13178,TEX_STA_SB,UNI_MIS_SB,BobcatSBStad,D1,SUNB,20260221-BobcatSBStad-1,a2364290-0f3e-11f1-943e-2d48587ea8d4,96.92661,,,3.46468,,,,,,,7a06afa4-12f2-4f7d-bf44-15262a4829e7,2026-02-21,16:01:50.53,2026-02-21T10:01:50.5338880-06:00,2026-02-21T16:01:50.5338880Z,,V3 - Softball,,,,"Kelnar, Megan",100000001851,Right,TEX_STA_SB,c353574b-0a5d-40ed-bee9-347855ddbb1e,36.80883,-93.45175,6.27679,2.08254,6.38794,-15.56589,-0.08162,-6.59641,2.94115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-21,10:02:06.37,2,4,"Strood, Emma",100000001842,Right,TEX_STA_SB,"Parker, Lauren",100000005230,Left,UNI_MIS_SB,Undefined,1,Top,1,1,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.35938,4.082857,-0.285708,1029.628152,82.355259,8:45,2.25943,-0.10667,6.29602,-28.45655,0.03335,-3.32969,2.4069,-0.56011,61.25013,-3.731886,-1.185402,0.384164,54.34185,25.090254,-139.139843,2029.694748,,,,101.85468,31.63069,-146.893946,1.726094,3.79981,-0.57457,0.0726,50,1.00767,-0.0136,-95.76399,11.24134,3.60497,11.78799,-32.71917,TEX_STA_SB,UNI_MIS_SB,BobcatSBStad,D1,SUNB,20260221-BobcatSBStad-1,ab9f9f70-0f3e-11f1-943e-2d48587ea8d4,98.1155,15.09434,,3.10924,,,,2.20227,2.21066,0.75272,7a06afa4-12f2-4f7d-bf44-15262a4829e7,2026-02-21,16:02:06.37,2026-02-21T10:02:06.3725568-06:00,2026-02-21T16:02:06.3725568Z,,V3 - Softball,,,,"Kelnar, Megan",100000001851,Right,TEX_STA_SB,28c0d430-558a-49b7-9ea8-b290cd8f714c,36.7029,-94.11296,5.89399,2.26121,6.65869,-16.35959,0.10605,0.49132,1.80248,54.387998,2.36739,-55.94734,2.93332,,,,,,,2.61919,30.48486,-18.65731,,,,,,,0.4601,-44.77985,7.19136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-02-21,10:02:25.47,2,5,"Strood, Emma",100000001842,Right,TEX_STA_SB,"Parker, Lauren",100000005230,Left,UNI_MIS_SB,Undefined,1,Top,1,1,2,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,55.45537,6.82413,2.415411,846.203926,32.634259,7:00,2.09489,-0.09359,5.60634,-44.68565,-2.99693,-2.66402,2.68029,1.20199,50.88244,-5.283168,1.712496,0.464708,48.64396,26.15346,-63.406291,2916.801323,,,,110.75547,64.52842,-74.239907,2.264958,3.77465,-5.08374,0.64398,50,0.20857,-3.76805,-82.73988,15.002,2.54663,13.79193,-35.60388,TEX_STA_SB,UNI_MIS_SB,BobcatSBStad,D1,SUNB,20260221-BobcatSBStad-1,b70ae6d0-0f3e-11f1-943e-2d48587ea8d4,81.10985,18.88841,,4.57293,,,,1.67345,2.81808,-1.12802,7a06afa4-12f2-4f7d-bf44-15262a4829e7,2026-02-21,16:02:25.47,2026-02-21T10:02:25.4771712-06:00,2026-02-21T16:02:25.4771712Z,,V3 - Softball,,,,"Kelnar, Megan",100000001851,Right,TEX_STA_SB,cf177d51-a9d2-4898-9677-556e93424f36,37.39118,-80.61072,6.89596,2.10028,9.50556,-17.80194,0.09262,-3.37491,1.27332,126.318972,1.67341,28.66922,-9.11128,1.42504,-0.20017,-0.24385,0.20553,-0.06564,0.00835,2.81808,31.44756,-16.46866,1.22498,-0.27701,0.1758,-0.08605,0.01813,-0.00131,-1.12803,-57.26293,4.60378,0.10282,-0.36348,0.43961,-0.25861,0.07907,-0.00935,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-02-21,10:02:43.45,2,6,"Strood, Emma",100000001842,Right,TEX_STA_SB,"Parker, Lauren",100000005230,Left,UNI_MIS_SB,Undefined,1,Top,1,1,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.52091,6.077477,-1.288277,864.696576,54.292699,7:45,2.23429,-0.22586,5.93993,-30.67986,-0.78374,-2.14461,3.47361,-1.20614,59.55681,-2.316123,-1.860577,0.393531,,,,,,,,,,,,1.94315,-2.25854,-0.04948,50,0.57761,1.89566,-96.30152,14.54016,1.7949,17.24047,-34.26027,TEX_STA_SB,UNI_MIS_SB,BobcatSBStad,D1,SUNB,20260221-BobcatSBStad-1,c1c024a0-0f3e-11f1-943e-2d48587ea8d4,95.78013,,,4.9641,,,,,,,7a06afa4-12f2-4f7d-bf44-15262a4829e7,2026-02-21,16:02:43.45,2026-02-21T10:02:43.4507776-06:00,2026-02-21T16:02:43.4507776Z,,V3 - Softball,,,,"Kelnar, Megan",100000001851,Right,TEX_STA_SB,45993065-a5d9-407d-b183-6d56a8bd1e2e,37.05625,-93.95568,8.62024,2.23888,9.87851,-17.13014,0.22507,2.13989,0.89745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
