PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-21,16:03:35.92,1,1,"Cellura, Cece",100000003252,Right,LSU_TIG_SB,"Williams, Dayzja",100000001858,Left,LOU_RAG_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.66266,4.202785,-0.37824,706.576935,11.358231,6:30,1.83607,0.8009,5.74045,-35.30726,-8.02485,-1.75071,1.52776,0.41839,62.86486,-5.364335,-0.844197,0.375935,,,,,,,,,,,,1.79402,-9.64001,-0.8725,50,0.60349,0.44077,-101.34205,12.41177,1.83574,19.04389,-42.03825,LSU_TIG_SB,LOU_RAG_SB,LSUSoftball,D1,SEC,20260221-LSUSoftball-3,3132cd10-0f71-11f1-9dcc-5544de3ef9bf,100.26312,,,4.7978,,,,,,,6596a89f-c48f-4972-9303-5b40d14a51a5,2026-02-21,22:03:35.92,2026-02-21T16:03:35.9276032-06:00,2026-02-21T22:03:35.9276032Z,,V3 - Softball,,,,"Bergeron, Maci",100000000895,Right,LSU_TIG_SB,6c4c8fea-fb37-4947-9e9d-945a15bd9fee,37.25817,-98.91867,9.52195,1.84255,7.0623,-21.01912,-0.80155,0.67437,0.91787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-21,16:03:53.85,1,2,"Cellura, Cece",100000003252,Right,LSU_TIG_SB,"Williams, Dayzja",100000001858,Left,LOU_RAG_SB,Undefined,1,Top,0,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.51316,6.087973,-1.01514,3328.111607,33.992859,7:15,1.87101,0.85375,5.64397,-36.31045,-8.37721,-6.1726,2.67894,-0.29746,61.97597,-3.730026,-2.649078,0.380393,,,,,,,,,,,,6.29685,-10.61792,-1.03767,50,0.23347,1.02714,-100.97898,15.68719,6.32883,20.51597,-42.84588,LSU_TIG_SB,LOU_RAG_SB,LSUSoftball,D1,SEC,20260221-LSUSoftball-3,3be5c0f0-0f71-11f1-9dcc-5544de3ef9bf,99.08825,,,5.53719,,,,,,,6596a89f-c48f-4972-9303-5b40d14a51a5,2026-02-21,22:03:53.85,2026-02-21T16:03:53.8548224-06:00,2026-02-21T22:03:53.8548224Z,,V3 - Softball,,,,"Bergeron, Maci",100000000895,Right,LSU_TIG_SB,99909726-d611-465f-92b4-35ed6423acd3,37.35402,-98.37614,10.25799,1.87887,10.25138,-21.42294,-0.85643,1.83007,3.16441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-21,16:04:15.78,1,3,"Cellura, Cece",100000003252,Right,LSU_TIG_SB,"Williams, Dayzja",100000001858,Left,LOU_RAG_SB,Undefined,1,Top,0,2,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,67.64107,4.870402,0.538682,723.09913,13.323902,6:30,1.9081,0.85364,5.53298,-35.74222,-7.93642,-2.05811,2.00158,1.02108,62.41803,-4.770574,-0.005615,0.379524,,,,,,,,,,,,2.4087,-9.71654,-0.72213,50,0.55697,-1.20919,-101.28271,13.47013,2.44598,19.99743,-42.04093,LSU_TIG_SB,LOU_RAG_SB,LSUSoftball,D1,SEC,20260221-LSUSoftball-3,48f4f450-0f71-11f1-9dcc-5544de3ef9bf,99.31503,,,5.22304,,,,,,,6596a89f-c48f-4972-9303-5b40d14a51a5,2026-02-21,22:04:15.78,2026-02-21T16:04:15.7827584-06:00,2026-02-21T22:04:15.7827584Z,,V3 - Softball,,,,"Bergeron, Maci",100000000895,Right,LSU_TIG_SB,da74f094-4fb1-4fad-8146-7bdf4fbe13b5,37.46514,-98.7768,9.99872,1.91485,8.20193,-21.02047,-0.85445,-0.90268,1.22299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-21,16:04:33.23,1,4,"Cellura, Cece",100000003252,Right,LSU_TIG_SB,"Williams, Dayzja",100000001858,Left,LOU_RAG_SB,Undefined,1,Top,0,2,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.43941,5.55398,-0.072235,2244.971264,0.86854,6:00,1.92681,0.69047,5.74652,-36.65423,-9.79752,-0.15949,2.35709,0.63199,63.13,-4.372707,-0.114636,0.37299,,,,,,,,,,,,0.15248,-12.43414,-0.70532,50,0.37327,0.10754,-102.43515,15.20886,0.1585,20.35862,-45.09767,LSU_TIG_SB,LOU_RAG_SB,LSUSoftball,D1,SEC,20260221-LSUSoftball-3,53561eb0-0f71-11f1-9dcc-5544de3ef9bf,101.05471,,,5.30941,,,,,,,6596a89f-c48f-4972-9303-5b40d14a51a5,2026-02-21,22:04:33.23,2026-02-21T16:04:33.2313088-06:00,2026-02-21T22:04:33.2313088Z,,V3 - Softball,,,,"Bergeron, Maci",100000000895,Right,LSU_TIG_SB,fe4141eb-2c89-44f9-bf7a-f53cf70f88b9,37.25268,-99.86954,10.17931,1.9318,9.5256,-22.54884,-0.69051,0.12752,0.07925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-21,16:04:55.48,1,5,"Cellura, Cece",100000003252,Right,LSU_TIG_SB,"Williams, Dayzja",100000001858,Left,LOU_RAG_SB,Undefined,1,Top,0,2,2,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,69.96958,5.643543,0.264166,1397.173118,356.311665,6:00,1.8659,1.00803,5.50786,-33.7064,-7.16461,0.51752,2.62199,1.21749,63.30654,-3.479813,0.40079,0.370797,,,,,,,,,,,,-0.44173,-9.3606,-0.95343,50,0.37766,-0.42137,-105.03467,14.92374,-0.47099,25.32857,-42.15433,LSU_TIG_SB,LOU_RAG_SB,LSUSoftball,D1,SEC,20260221-LSUSoftball-3,60a197c0-0f71-11f1-9dcc-5544de3ef9bf,101.65243,,,6.66304,,,,,,,6596a89f-c48f-4972-9303-5b40d14a51a5,2026-02-21,22:04:55.48,2026-02-21T16:04:55.4887168-06:00,2026-02-21T22:04:55.4887168Z,,V3 - Softball,,,,"Bergeron, Maci",100000000895,Right,LSU_TIG_SB,81427a62-db33-483b-9f81-0cdb5856def9,37.48784,-101.9728,12.66429,1.87373,9.82787,-21.07717,-1.00781,-0.47831,-0.2355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-21,16:05:17.14,1,6,"Cellura, Cece",100000003252,Right,LSU_TIG_SB,"Williams, Dayzja",100000001858,Left,LOU_RAG_SB,Undefined,1,Top,0,2,2,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,69.48029,5.460961,0.828269,711.971718,359.896856,6:00,1.94428,0.75208,5.62685,-35.00809,-8.72997,0.01701,2.4648,1.27333,63.96603,-3.996917,0.832779,0.368951,56.17641,32.802475,-155.800202,2566.695316,,,,,31.07267,,,0.26949,-11.19603,-0.56966,50,0.44493,-1.50124,-104.00029,14.94496,0.28813,21.31976,-44.14388,LSU_TIG_SB,LOU_RAG_SB,LSUSoftball,D1,SEC,20260221-LSUSoftball-3,6d7c9bc0-0f71-11f1-9dcc-5544de3ef9bf,102.16111,17.84368,,5.51426,,,,2.93815,1.8494,-0.88165,6596a89f-c48f-4972-9303-5b40d14a51a5,2026-02-21,22:05:17.14,2026-02-21T16:05:17.1416064-06:00,2026-02-21T22:05:17.1416064Z,,V3 - Softball,,,,"Bergeron, Maci",100000000895,Right,LSU_TIG_SB,ccdad5a1-cc0c-43bd-a31f-b22c8b766ec9,37.37195,-101.37852,10.65988,1.94899,9.51644,-22.07194,-0.7521,-1.46581,0.14406,32.363685,2.93815,-63.16781,2.5283,0.78927,-1.35952,3.92008,-6.03003,4.0841,-0.73028,1.8494,44.63558,-26.71756,3.1918,-1.5732,3.12457,-4.23338,2.19964,0.05083,-0.88165,-28.38878,6.75524,-1.49112,1.22223,-3.10211,4.37601,-2.41121,0.06038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
7,2026-02-21,16:05:41.17,1,7,"Cellura, Cece",100000003252,Right,LSU_TIG_SB,"Williams, Dayzja",100000001858,Left,LOU_RAG_SB,Undefined,1,Top,0,2,2,Dropball,,InPlay,Undefined,Popup,Out,1,0,,68.57897,3.485188,-1.444067,1475.461567,12.960129,6:30,1.98577,0.6599,5.85863,-35.15522,-8.50886,-2.1328,1.23261,-0.41842,63.167,-6.089821,-2.01359,0.371527,54.15871,54.437402,-27.414035,3865.637685,,,,115.50872,61.52773,-37.919312,3.705582,1.83402,-10.38611,-0.9678,50,0.89821,2.30989,-103.12651,11.35976,1.9106,22.3633,-42.99377,LSU_TIG_SB,LOU_RAG_SB,LSUSoftball,D1,SEC,20260221-LSUSoftball-3,7bd6ecc0-0f71-11f1-9dcc-5544de3ef9bf,101.45275,55.36946,,5.41197,,,,2.70549,1.5445,0.38144,6596a89f-c48f-4972-9303-5b40d14a51a5,2026-02-21,22:05:41.17,2026-02-21T16:05:41.1783168-06:00,2026-02-21T22:05:41.1783168Z,,V3 - Softball,,,,"Bergeron, Maci",100000000895,Right,LSU_TIG_SB,12fbd4af-3a8b-4583-a4b1-662d1e7eea7a,37.13979,-100.29898,11.18165,1.99084,5.92378,-21.49688,-0.66047,2.55146,0.9553,161.76877,2.70642,40.98097,-11.85991,3.51437,-0.51723,-0.03644,0.03307,-0.00522,0.00023,1.54575,64.57339,-21.71161,1.1015,0.7459,-0.64712,0.24564,-0.04625,0.00339,0.38147,-21.26991,2.00733,-0.73403,0.11432,0.01668,-0.01594,0.00372,-0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-02-21,16:06:36.88,2,1,"Cellura, Cece",100000003252,Right,LSU_TIG_SB,"Marceaux, Kennedy",100000001578,Right,LOU_RAG_SB,Undefined,1,Top,1,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.97471,4.547965,-0.121819,1408.503606,31.133146,7:00,1.84306,0.75663,5.61023,-35.25171,-8.44997,-5.57874,1.76689,0.21525,63.24205,-4.995627,-1.600766,0.372609,,,,,,,,,,,,5.94776,-10.18158,-0.74822,50,0.56646,-0.47419,-103.54771,13.05104,6.24333,22.6322,-42.8616,LSU_TIG_SB,LOU_RAG_SB,LSUSoftball,D1,SEC,20260221-LSUSoftball-3,9d177f80-0f71-11f1-9dcc-5544de3ef9bf,101.15827,,,5.73266,,,,,,,6596a89f-c48f-4972-9303-5b40d14a51a5,2026-02-21,22:06:36.88,2026-02-21T16:06:36.8848384-06:00,2026-02-21T22:06:36.8848384Z,,V3 - Softball,,,,"Bergeron, Maci",100000000895,Right,LSU_TIG_SB,78847432-40f3-42f2-b76e-939de67eea7f,37.38713,-100.75323,11.3161,1.85119,7.75878,-21.4308,-0.75917,0.2967,3.12167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-21,16:06:55.42,2,2,"Cellura, Cece",100000003252,Right,LSU_TIG_SB,"Marceaux, Kennedy",100000001578,Right,LOU_RAG_SB,Undefined,1,Top,1,1,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.43933,6.163218,-2.407792,1143.829657,3.773164,6:15,1.92546,0.80736,5.53382,-28.83435,-1.91201,-0.1815,3.41888,-0.72361,62.92032,-1.663121,-2.455639,0.373446,,,,,,,,,,,,-0.76335,-3.84729,-1.3333,50,0.34476,4.34676,-103.89578,15.17695,-0.80106,23.87225,-36.21134,LSU_TIG_SB,LOU_RAG_SB,LSUSoftball,D1,SEC,20260221-LSUSoftball-3,a81e5fc0-0f71-11f1-9dcc-5544de3ef9bf,100.93148,,,6.519,,,,,,,6596a89f-c48f-4972-9303-5b40d14a51a5,2026-02-21,22:06:55.42,2026-02-21T16:06:55.4219008-06:00,2026-02-21T22:06:55.4219008Z,,V3 - Softball,,,,"Bergeron, Maci",100000000895,Right,LSU_TIG_SB,2930411f-4dae-47e6-8046-5fec5a28f640,37.46041,-100.97345,11.93613,1.93133,10.74411,-18.10567,-0.80719,4.24869,-0.40053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-21,16:07:14.82,2,3,"Cellura, Cece",100000003252,Right,LSU_TIG_SB,"Marceaux, Kennedy",100000001578,Right,LOU_RAG_SB,Undefined,1,Top,1,2,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.66951,5.681655,-0.648625,660.991472,22.56435,6:45,1.8945,0.77989,5.49689,-36.18549,-9.04394,-4.0702,2.46953,0.03217,63.15648,-4.059382,-1.722854,0.374963,,,,,,,,,,,,4.12311,-11.05371,-0.89609,50,0.37521,0.66318,-102.71643,15.08994,4.29814,20.85981,-43.69701,LSU_TIG_SB,LOU_RAG_SB,LSUSoftball,D1,SEC,20260221-LSUSoftball-3,b3b216b0-0f71-11f1-9dcc-5544de3ef9bf,100.52306,,,5.51303,,,,,,,6596a89f-c48f-4972-9303-5b40d14a51a5,2026-02-21,22:07:14.82,2026-02-21T16:07:14.8289024-06:00,2026-02-21T22:07:14.8289024Z,,V3 - Softball,,,,"Bergeron, Maci",100000000895,Right,LSU_TIG_SB,2f89e36e-5352-4734-b223-be6cbad237fe,37.50113,-100.14597,10.4299,1.90291,9.70537,-21.8485,-0.78173,1.19282,2.14907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
