PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-21,17:03:53.16,1,1,"Cuozzo, Julia",100000002985,Right,VIR_CAV_SB,"Scheivert, Katie",100000004674,Right,UNI_DEL_SB,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.30574,5.414027,-2.672884,770.831472,353.380607,5:45,2.03805,0.53519,5.1834,-36.88982,-7.02134,0.91811,2.41745,-1.08762,60.58973,-4.457705,-2.433081,0.393349,,,,,,,,,,,,-1.96866,-8.77107,-1.10915,50,0.61913,4.73307,-99.18045,13.989,-1.89655,20.71134,-40.62383,VIR_CAV_SB,UNI_DEL_SB,PalmerPark,D1,ACC,20260221-PalmerPark-3,360ae200-0f71-11f1-b43a-f5be043fa8b7,95.82443,,,5.71601,,,,,,,c41623d2-6bcf-48c5-8f92-40a08dbc3bbf,2026-02-21,22:03:53.16,2026-02-21T17:03:53.1630000-05:00,2026-02-21T22:03:53.1630000Z,,V3 - Softball,,,,"Hickey, Reagan",100000002981,Right,VIR_CAV_SB,a691062f-ed2a-4cef-97a8-e1275fab3b16,37.81318,-96.60202,10.35567,2.04587,8.9316,-20.31192,-0.53462,4.49696,-0.94827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-21,17:04:07.35,1,2,"Cuozzo, Julia",100000002985,Right,VIR_CAV_SB,"Scheivert, Katie",100000004674,Right,UNI_DEL_SB,Undefined,1,Top,0,0,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,57.67995,5.019347,-0.745138,1233.682292,74.21183,8:30,2.05629,0.43841,5.44464,-41.02396,-1.87721,-11.05079,1.81192,-0.9525,52.5075,-6.115498,-3.657139,0.450318,,,,,,,,,,,,11.40745,-3.16008,-0.53631,50,0.64801,0.03269,-86.65805,12.22343,8.27422,17.30338,-34.46615,VIR_CAV_SB,UNI_DEL_SB,PalmerPark,D1,ACC,20260221-PalmerPark-3,3e8942a0-0f71-11f1-b43a-f5be043fa8b7,83.70184,,,5.17245,,,,,,,c41623d2-6bcf-48c5-8f92-40a08dbc3bbf,2026-02-21,22:04:07.35,2026-02-21T17:04:07.3590000-05:00,2026-02-21T22:04:07.3590000Z,,V3 - Softball,,,,"Hickey, Reagan",100000002981,Right,VIR_CAV_SB,59940182-6bb0-4b1b-b5fa-09631862cfe9,37.55063,-84.13552,8.65169,2.06373,7.19886,-17.23308,-0.44362,1.23893,4.13711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-21,17:04:21.44,1,3,"Cuozzo, Julia",100000002985,Right,VIR_CAV_SB,"Scheivert, Katie",100000004674,Right,UNI_DEL_SB,Undefined,1,Top,0,0,2,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,57.15127,5.768336,-1.491888,1193.355234,73.561025,8:30,1.99647,0.30543,5.25857,-42.14116,-1.68453,-10.11237,2.15541,-1.48331,51.87405,-5.612651,-4.138233,0.45779,,,,,,,,,,,,9.95717,-3.2087,-0.57047,50,0.44865,1.27888,-85.69535,13.21546,7.05735,17.00037,-34.44827,VIR_CAV_SB,UNI_DEL_SB,PalmerPark,D1,ACC,20260221-PalmerPark-3,46f15c20-0f71-11f1-b43a-f5be043fa8b7,82.33567,,,5.27722,,,,,,,c41623d2-6bcf-48c5-8f92-40a08dbc3bbf,2026-02-21,22:04:21.44,2026-02-21T17:04:21.4490000-05:00,2026-02-21T22:04:21.4490000Z,,V3 - Softball,,,,"Hickey, Reagan",100000002981,Right,VIR_CAV_SB,86a87e75-d0ef-4b11-9486-fcfe3b8df71a,37.73612,-83.22687,8.50018,2.00441,8.21352,-17.22414,-0.31037,2.30362,3.52868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-21,17:04:37.78,1,4,"Cuozzo, Julia",100000002985,Right,VIR_CAV_SB,"Scheivert, Katie",100000004674,Right,UNI_DEL_SB,Undefined,1,Top,0,1,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.9866,4.74566,-3.952787,824.891971,358.410277,6:00,1.98004,0.31453,5.21453,-37.86455,-6.87229,0.21563,1.85111,-2.18054,59.65393,-5.381076,-3.896531,0.40068,,,,,,,,,,,,-1.68217,-8.36607,-1.1598,50,0.68837,6.73716,-97.15222,12.74167,-1.55909,19.50853,-39.92805,VIR_CAV_SB,UNI_DEL_SB,PalmerPark,D1,ACC,20260221-PalmerPark-3,509e78c0-0f71-11f1-b43a-f5be043fa8b7,94.07114,,,5.33267,,,,,,,c41623d2-6bcf-48c5-8f92-40a08dbc3bbf,2026-02-21,22:04:37.78,2026-02-21T17:04:37.7870000-05:00,2026-02-21T22:04:37.7870000Z,,V3 - Softball,,,,"Hickey, Reagan",100000002981,Right,VIR_CAV_SB,93f6c434-ba98-42ba-9101-771335f6eb25,37.78245,-94.6671,9.75427,1.98752,7.65539,-19.96403,-0.31423,6.53856,-0.77954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-21,17:04:53.92,1,5,"Cuozzo, Julia",100000002985,Right,VIR_CAV_SB,"Scheivert, Katie",100000004674,Right,UNI_DEL_SB,Undefined,1,Top,0,2,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.98789,3.981261,-2.182796,752.129644,342.074243,5:30,1.96652,0.40242,5.28277,-38.92943,-8.99768,3.20543,1.25069,-0.71406,60.41533,-6.465515,-1.341032,0.393765,,,,,,,,,,,,-4.2602,-10.52142,-0.88982,50,0.82751,4.14473,-99.08835,11.77783,-4.07496,21.42,-42.23797,VIR_CAV_SB,UNI_DEL_SB,PalmerPark,D1,ACC,20260221-PalmerPark-3,5a4a83f0-0f71-11f1-b43a-f5be043fa8b7,95.72313,,,5.57256,,,,,,,c41623d2-6bcf-48c5-8f92-40a08dbc3bbf,2026-02-21,22:04:53.92,2026-02-21T17:04:53.9210000-05:00,2026-02-21T22:04:53.9210000Z,,V3 - Softball,,,,"Hickey, Reagan",100000002981,Right,VIR_CAV_SB,180fae01-5cf6-45d0-999c-b17eddcc089f,37.7147,-96.39605,10.71,1.97424,6.4689,-21.11898,-0.40105,3.63254,-2.03748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-21,17:05:10.50,1,6,"Cuozzo, Julia",100000002985,Right,VIR_CAV_SB,"Scheivert, Katie",100000004674,Right,UNI_DEL_SB,Undefined,1,Top,0,3,2,Fastball,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,64.98058,5.190446,-2.009584,873.866793,25.234554,6:45,2.03806,0.45513,5.46156,-34.65632,-4.28197,-2.40902,2.43332,-1.01307,59.82279,-4.160661,-2.64405,0.396666,,,,,,,,,,,,1.87803,-5.76433,-0.87722,50,0.63281,3.1285,-97.16799,13.30601,1.7525,18.62582,-37.55305,VIR_CAV_SB,UNI_DEL_SB,PalmerPark,D1,ACC,20260221-PalmerPark-3,642dcbc0-0f71-11f1-b43a-f5be043fa8b7,95.02318,,,5.15779,,,,,,,c41623d2-6bcf-48c5-8f92-40a08dbc3bbf,2026-02-21,22:05:10.50,2026-02-21T17:05:10.5090000-05:00,2026-02-21T22:05:10.5090000Z,,V3 - Softball,,,,"Hickey, Reagan",100000002981,Right,VIR_CAV_SB,5a9d7899-4cce-4677-bb79-6fbb141fe38f,37.53494,-94.74847,9.31291,2.04444,8.42783,-18.77653,-0.45604,3.35615,0.87625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.63601,2.513178,1.690522,0.822656,-1.98755,2.15709,1.17205,-1.86962,5.47153,0.41469,49.13558,1.2076,-33.22402,-1.87011,65.44282,-4.18102,5.49996,9.02254,-17.40191,0.39155,-47.39342,8.01006,High,High,High,,,High,High,High
7,2026-02-21,17:05:34.74,2,1,"Cuozzo, Julia",100000002985,Right,VIR_CAV_SB,"Shaffer, Sydney",100000004689,Right,UNI_DEL_SB,Undefined,1,Top,1,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,67.06363,5.389262,-2.068571,798.205017,342.782865,5:30,2.02841,0.55004,5.42268,-36.18356,-7.48315,2.57618,2.42669,-0.54137,61.44403,-4.350547,-1.390564,0.385581,,,,,,,,,,,,-3.50378,-9.34638,-1.01452,50,0.5817,3.93061,-100.36762,14.19285,-3.46831,20.72168,-41.42583,VIR_CAV_SB,UNI_DEL_SB,PalmerPark,D1,ACC,20260221-PalmerPark-3,7293dc90-0f71-11f1-b43a-f5be043fa8b7,97.75493,,,5.6196,,,,,,,c41623d2-6bcf-48c5-8f92-40a08dbc3bbf,2026-02-21,22:05:34.74,2026-02-21T17:05:34.7440000-05:00,2026-02-21T22:05:34.7440000Z,,V3 - Softball,,,,"Hickey, Reagan",100000002981,Right,VIR_CAV_SB,ac5c2b42-b234-4e93-816f-36ce6088a2b4,37.57442,-97.76862,10.36084,2.03599,8.99703,-20.71291,-0.54881,3.49559,-1.73416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-21,17:05:48.05,2,2,"Cuozzo, Julia",100000002985,Right,VIR_CAV_SB,"Shaffer, Sydney",100000004689,Right,UNI_DEL_SB,Undefined,1,Top,1,0,1,Fastball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,64.82339,6.137982,-1.251975,761.072497,350.980074,5:45,2.02713,0.4986,5.468,-38.12982,-7.43874,1.32173,2.7344,-0.18055,59.32125,-4.138329,-0.903719,0.398729,,,,,,,,,,,,-1.86079,-9.43851,-0.77896,50,0.3972,2.26821,-96.92704,15.23591,-1.71838,19.28324,-40.89013,VIR_CAV_SB,UNI_DEL_SB,PalmerPark,D1,ACC,20260221-PalmerPark-3,7a845510-0f71-11f1-b43a-f5be043fa8b7,94.53155,,,5.50214,,,,,,,c41623d2-6bcf-48c5-8f92-40a08dbc3bbf,2026-02-21,22:05:48.05,2026-02-21T17:05:48.0520000-05:00,2026-02-21T22:05:48.0520000Z,,V3 - Softball,,,,"Hickey, Reagan",100000002981,Right,VIR_CAV_SB,b4d5ff90-d5e7-4111-9d44-4e154000465b,37.52889,-94.41337,9.64162,2.03587,9.90566,-20.44506,-0.49788,2.04421,-0.85919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-21,17:06:04.27,2,3,"Cuozzo, Julia",100000002985,Right,VIR_CAV_SB,"Shaffer, Sydney",100000004689,Right,UNI_DEL_SB,Undefined,1,Top,1,0,2,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.02345,3.411805,-0.369759,1207.79179,67.593059,8:15,1.97745,0.32651,5.52483,-39.75171,-2.93839,-9.79434,0.81458,-0.7224,54.2985,-7.364845,-2.962424,0.436691,,,,,,,,,,,,10.45323,-3.82634,-0.34276,50,0.91094,-0.48511,-88.78392,10.00532,8.02565,17.2194,-35.11178,VIR_CAV_SB,UNI_DEL_SB,PalmerPark,D1,ACC,20260221-PalmerPark-3,842da120-0f71-11f1-b43a-f5be043fa8b7,86.3138,,,4.72494,,,,,,,c41623d2-6bcf-48c5-8f92-40a08dbc3bbf,2026-02-21,22:06:04.27,2026-02-21T17:06:04.2720000-05:00,2026-02-21T22:06:04.2720000Z,,V3 - Softball,,,,"Hickey, Reagan",100000002981,Right,VIR_CAV_SB,8b2467c6-6a84-4b26-8895-aab6c8648d56,37.4721,-86.31998,8.6097,1.98316,4.98114,-17.55589,-0.33002,0.66328,4.01282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-21,17:06:18.98,2,4,"Cuozzo, Julia",100000002985,Right,VIR_CAV_SB,"Shaffer, Sydney",100000004689,Right,UNI_DEL_SB,Undefined,1,Top,1,1,2,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.89867,5.467624,0.287811,2624.804745,355.894997,5:45,1.98534,0.51397,5.43978,-38.62419,-7.86808,0.63197,2.22633,0.7482,59.19555,-4.953573,0.454378,0.399151,65.05587,11.31606,-63.587139,2408.903092,,,,68.12499,50.71728,-65.261918,0.792964,-0.57134,-10.16213,-0.45565,50,0.49426,-0.41438,-97.35141,14.2452,-0.52742,20.70245,-41.55468,VIR_CAV_SB,UNI_DEL_SB,PalmerPark,D1,ACC,20260221-PalmerPark-3,8cf343f0-0f71-11f1-b43a-f5be043fa8b7,94.43156,5.10282,,5.70312,,,,2.51614,2.06589,-0.79292,c41623d2-6bcf-48c5-8f92-40a08dbc3bbf,2026-02-21,22:06:18.98,2026-02-21T17:06:18.9850000-05:00,2026-02-21T22:06:18.9850000Z,,V3 - Softball,,,,"Hickey, Reagan",100000002981,Right,VIR_CAV_SB,760f7fd0-55cc-4eaa-a8bf-eb11c4392e52,37.55787,-94.66853,10.35123,1.99139,8.86004,-20.77734,-0.51378,-0.48273,-0.26371,,2.51614,41.61897,-12.33561,1.7213,-0.31137,0.03643,-0.0009,0.0001,2E-05,2.06589,18.72245,-30.46401,5.26196,-1.14651,0.26776,-0.05098,0.01023,-0.00156,-0.79292,-83.79364,7.94336,1.01057,-0.4535,0.17946,-0.04923,0.01018,-0.00151,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
