PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-27,17:28:47.34,1,1,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Mitchell, Ariah ",100000000397,Right,UNI_NOR1_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.68585,2.888387,-2.043934,1301.118029,228.936698,1:45,1.4829,-0.37809,6.02181,-20.8817,4.27858,4.23162,1.53815,-1.2946,64.98283,-2.867996,-0.909806,0.361018,,,,,,,,,,,,-5.41154,4.28638,-0.12243,50,0.6194,4.34442,-104.30332,8.58105,-5.90986,18.96246,-27.49294,TEX_TEC_SB,UNI_NOR1_SB,RockyJohnsonField,D1,B12,20260227-RockyJohnsonField-1,087e8400-1434-11f1-88b0-857d12c487da,104.40585,,,4.70302,,,,,,,93cdded6-04ab-40e6-a4f2-fd76cbca9056,2026-02-27,23:28:47.34,2026-02-27T17:28:47.3420000-06:00,2026-02-27T23:28:47.3420000Z,,V3 - Softball,,,,"Quiroga, Lagi",100000002463,Right,TEX_TEC_SB,8ebe3e4e-0dad-480e-a19a-bfae73c45cb7,36.97551,-101.90795,9.48123,1.48402,5.10809,-13.74647,0.37921,3.59787,-2.95493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-27,17:29:01.73,1,2,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Mitchell, Ariah ",100000000397,Right,UNI_NOR1_SB,Undefined,1,Top,0,1,0,Curveball,,InPlay,Undefined,GroundBall,Error,0,0,,70.08323,3.250182,-0.485789,1294.79985,247.236385,2:15,1.41483,-0.30625,5.08327,-23.08356,3.12894,5.98221,1.56402,-0.11721,65.31931,-2.943518,1.077469,0.36849,79.70755,-9.716675,-5.806585,,,,,11.95224,11.51981,-3.818303,0.081975,-6.59036,2.70433,0.1632,50,0.54441,1.66265,-104.73105,9.17799,-7.26471,18.93097,-29.19302,TEX_TEC_SB,UNI_NOR1_SB,RockyJohnsonField,D1,B12,20260227-RockyJohnsonField-1,11117e10-1434-11f1-88b0-857d12c487da,102.28888,1.62003,,4.76392,,,,2.51325,1.62003,0.16124,93cdded6-04ab-40e6-a4f2-fd76cbca9056,2026-02-27,23:29:01.73,2026-02-27T17:29:01.7380000-06:00,2026-02-27T23:29:01.7380000Z,,V3 - Softball,,,,"Quiroga, Lagi",100000002463,Right,TEX_TEC_SB,4a23d998-d653-4cb1-b0c6-ce920c7645e8,37.91419,-102.52318,9.46549,1.41628,5.77327,-14.59651,0.3077,0.81538,-3.63236,180,2.51082,114.8203,,,,,,,,1.62045,-19.76239,,,,,,,,0.16149,-11.67636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-02-27,17:29:28.07,2,1,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Daniels, Eva",100000002967,Right,UNI_NOR1_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.72869,4.758188,-0.523306,1376.014086,226.646853,1:30,1.46856,-0.23519,5.8925,-19.06596,6.49524,6.20162,2.85068,-0.04438,64.4294,-0.507742,1.132837,0.363883,,,,,,,,,,,,-6.99567,6.09989,0.07226,50,0.21171,1.79589,-104.279,11.64809,-7.5768,20.21618,-25.56745,TEX_TEC_SB,UNI_NOR1_SB,RockyJohnsonField,D1,B12,20260227-RockyJohnsonField-1,20c91520-1434-11f1-88b0-857d12c487da,103.58392,,,5.2993,,,,,,,93cdded6-04ab-40e6-a4f2-fd76cbca9056,2026-02-27,23:29:28.07,2026-02-27T17:29:28.0790000-06:00,2026-02-27T23:29:28.0790000Z,,V3 - Softball,,,,"Quiroga, Lagi",100000002463,Right,TEX_TEC_SB,95306207-d1e7-41c3-8808-e22906e59ed8,37.10253,-101.7479,10.10809,1.46968,8.447,-12.78372,0.23773,0.84726,-3.7884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-27,17:29:43.72,2,2,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Daniels, Eva",100000002967,Right,UNI_NOR1_SB,Undefined,1,Top,0,1,0,Riseball,,InPlay,Undefined,GroundBall,Out,1,0,,68.77042,5.366071,1.37235,1383.135821,240.942292,2:00,1.49004,-0.09501,6.09084,-21.69915,4.15803,6.43496,3.01656,1.29152,64.00694,-0.616425,3.097855,0.365984,,,,,,,,,,,,-6.98579,3.35366,0.35058,50,0.04062,-1.49621,-102.68592,13.08928,-7.39449,18.37505,-28.62419,TEX_TEC_SB,UNI_NOR1_SB,RockyJohnsonField,D1,B12,20260227-RockyJohnsonField-1,2a143ba0-1434-11f1-88b0-857d12c487da,102.98938,,,4.76348,,,,,,,93cdded6-04ab-40e6-a4f2-fd76cbca9056,2026-02-27,23:29:43.72,2026-02-27T17:29:43.7200000-06:00,2026-02-27T23:29:43.7200000Z,,V3 - Softball,,,,"Quiroga, Lagi",100000002463,Right,TEX_TEC_SB,a6835daf-4121-46e1-aab1-5124ce89d041,36.90738,-100.31572,9.18753,1.49088,9.39703,-14.3121,0.09606,-2.45003,-3.69725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-27,17:30:11.15,3,1,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Conley, Madison",1000000000051,Right,UNI_NOR1_SB,Undefined,1,Top,1,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.91692,5.338986,-0.509567,1384.393589,232.416721,1:45,1.46832,-0.16963,5.8873,-20.27458,5.20264,5.92922,3.11483,0.007,64.53787,-0.244523,1.073074,0.363285,,,,,,,,,,,,-6.69792,4.47103,0.0116,50,0.07153,1.73865,-104.47881,12.90088,-7.28033,20.33442,-27.31424,TEX_TEC_SB,UNI_NOR1_SB,RockyJohnsonField,D1,B12,20260227-RockyJohnsonField-1,3a738460-1434-11f1-88b0-857d12c487da,103.7545,,,5.37905,,,,,,,93cdded6-04ab-40e6-a4f2-fd76cbca9056,2026-02-27,23:30:11.15,2026-02-27T17:30:11.1540000-06:00,2026-02-27T23:30:11.1540000Z,,V3 - Softball,,,,"Quiroga, Lagi",100000002463,Right,TEX_TEC_SB,1b622f22-7ecb-4789-a19f-e91d2284af03,37.10803,-101.93881,10.16721,1.46991,9.48901,-13.65712,0.17198,0.82925,-3.64016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-27,17:30:27.73,3,2,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Conley, Madison",1000000000051,Right,UNI_NOR1_SB,Undefined,1,Top,1,1,0,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,69.70337,4.490161,0.800822,1423.39354,233.333319,1:45,1.49615,-0.55301,5.95906,-19.62836,5.76792,6.92882,2.65827,0.52235,64.66342,-0.929515,2.653927,0.362707,38.87232,8.606684,71.527556,3225.63026,,,,36.12143,34.99529,70.657736,0.692497,-7.4967,5.41425,0.67906,50,0.28649,-0.47346,-104.26546,11.27631,-8.14109,19.74125,-26.2944,TEX_TEC_SB,UNI_NOR1_SB,RockyJohnsonField,D1,B12,20260227-RockyJohnsonField-1,4456f340-1434-11f1-88b0-857d12c487da,103.91967,3.58614,,5.03994,,,,0.47638,2.58185,-0.55884,93cdded6-04ab-40e6-a4f2-fd76cbca9056,2026-02-27,23:30:27.73,2026-02-27T17:30:27.7330000-06:00,2026-02-27T23:30:27.7330000Z,,V3 - Softball,,,,"Quiroga, Lagi",100000002463,Right,TEX_TEC_SB,e3cd5d7e-2d63-4caf-a27f-39c48589aaff,37.03744,-101.78158,9.87062,1.49716,7.96791,-13.1472,0.55505,-1.49779,-4.07054,,0.47638,17.86095,-1.90108,0.11423,-0.03595,0.00472,0.0002,-0.00022,9E-05,2.58185,8.53198,-18.3493,0.99761,-0.12001,0.03704,-0.00322,-0.00033,7E-05,-0.55884,53.46619,-5.09022,0.2432,-0.11097,0.01255,0.00069,-0.00035,0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2026-02-27,17:30:49.28,3,3,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Conley, Madison",1000000000051,Right,UNI_NOR1_SB,Undefined,1,Top,1,1,1,Curveball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,70.18259,5.368827,0.546639,1380.155387,235.732242,1:45,1.48691,-0.21019,5.84542,-19.76859,5.70288,7.38418,3.19829,0.74614,64.51379,-0.084576,2.514629,0.363244,,,,,,,,,,,,-7.89,4.89866,0.28096,50,0.09428,-0.01296,-104.98742,12.90797,-8.60024,21.65082,-26.83443,TEX_TEC_SB,UNI_NOR1_SB,RockyJohnsonField,D1,B12,20260227-RockyJohnsonField-1,512f5f30-1434-11f1-88b0-857d12c487da,103.7662,,,5.66879,,,,,,,93cdded6-04ab-40e6-a4f2-fd76cbca9056,2026-02-27,23:30:49.28,2026-02-27T17:30:49.2820000-06:00,2026-02-27T23:30:49.2820000Z,,V3 - Softball,,,,"Quiroga, Lagi",100000002463,Right,TEX_TEC_SB,1215230b-6678-421d-a1bc-b4629a459a4c,37.14931,-102.303,10.82541,1.48845,9.58084,-13.41721,0.21324,-1.07928,-4.30012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-27,17:31:05.54,3,4,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Conley, Madison",1000000000051,Right,UNI_NOR1_SB,Undefined,1,Top,1,1,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,70.20908,3.884293,-0.864933,1478.081362,225.309462,1:30,1.42567,-0.34511,5.84299,-19.47572,5.6774,5.11965,2.22966,-0.45804,65.14193,-1.477425,0.500787,0.360967,59.37531,34.436681,53.892859,4840.142238,,,,126.66761,94.59759,67.365351,2.57223,-5.98618,5.45855,0.11089,50,0.36764,2.31356,-105.07542,10.17728,-6.60442,19.99203,-26.15175,TEX_TEC_SB,UNI_NOR1_SB,RockyJohnsonField,D1,B12,20260227-RockyJohnsonField-1,5ade5090-1434-11f1-88b0-857d12c487da,104.42082,29.61974,,5.06715,,,,0.89973,1.76197,0.13745,93cdded6-04ab-40e6-a4f2-fd76cbca9056,2026-02-27,23:31:05.54,2026-02-27T17:31:05.5440000-06:00,2026-02-27T23:31:05.5440000Z,,V3 - Softball,,,,"Quiroga, Lagi",100000002463,Right,TEX_TEC_SB,b4944893-d11e-4fba-aaf7-cf093cd74847,37.15373,-102.60214,9.99602,1.42658,6.94195,-13.07588,0.34656,1.4965,-3.30221,,0.89958,42.33279,-11.02612,1.35267,-0.64456,0.39473,-0.17934,0.04397,-0.00426,1.76202,49.24246,-24.40021,2.68699,-0.39301,0.00521,0.03212,-0.00942,0.00085,0.13737,58.03077,-5.27594,0.34031,-0.25399,0.19162,-0.09185,0.02285,-0.00222,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-02-27,17:31:25.09,3,5,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Conley, Madison",1000000000051,Right,UNI_NOR1_SB,Undefined,1,Top,1,1,2,Riseball,,InPlay,Undefined,GroundBall,Single,0,0,,69.46069,3.853466,-0.630149,1274.082559,220.953247,1:15,1.4109,-0.24185,5.33191,-20.43418,5.95319,4.62225,2.15,-0.25538,64.57489,-1.688939,0.585596,0.369717,71.20754,5.840824,19.581239,1749.558063,,,,86.8934,85.56337,23.789273,0.934795,-5.19756,5.6604,0.07426,50,0.40519,1.74367,-103.77301,9.94261,-5.61725,18.80959,-26.05658,TEX_TEC_SB,UNI_NOR1_SB,RockyJohnsonField,D1,B12,20260227-RockyJohnsonField-1,66856870-1434-11f1-88b0-857d12c487da,101.94943,4.06665,,4.8858,,,,0.52035,2.06655,0.27785,93cdded6-04ab-40e6-a4f2-fd76cbca9056,2026-02-27,23:31:25.09,2026-02-27T17:31:25.0930000-06:00,2026-02-27T23:31:25.0930000Z,,V3 - Softball,,,,"Quiroga, Lagi",100000002463,Right,TEX_TEC_SB,442c0431-0176-4161-95ef-8839649910ba,37.66451,-101.51249,9.4048,1.41192,6.81116,-13.02829,0.24325,1.0686,-2.80863,250.269717,0.60739,96.61106,-13.14521,,,,,,,2.0908,10.28044,-13.41671,,,,,,,0.23895,35.39866,2.0084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-02-27,17:33:01.72,4,1,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Moffitt, Elizabeth",1000000000046,Right,UNI_NOR1_SB,Undefined,1,Top,1,0,0,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,68.63902,4.536134,0.719799,1464.43257,258.770596,2:45,1.38636,-0.41257,5.31197,-25.36734,1.57138,4.93969,2.15029,0.45476,64.17333,-2.285846,2.017314,0.373559,,,,,,,,,,,,-5.14221,0.82126,0.53297,50,0.19881,-0.64714,-102.31262,11.68935,-5.44828,16.94874,-31.3039,TEX_TEC_SB,UNI_NOR1_SB,RockyJohnsonField,D1,B12,20260227-RockyJohnsonField-1,a01f3250-1434-11f1-88b0-857d12c487da,100.90078,,,4.46569,,,,,,,93cdded6-04ab-40e6-a4f2-fd76cbca9056,2026-02-27,23:33:01.72,2026-02-27T17:33:01.7210000-06:00,2026-02-27T23:33:01.7210000Z,,V3 - Softball,,,,"Quiroga, Lagi",100000002463,Right,TEX_TEC_SB,5f15cfc2-d52e-4c31-bdbe-7a44a72271bf,37.68524,-100.25184,8.47437,1.3887,7.88315,-15.65195,0.41402,-1.30958,-2.72414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
