PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-27,20:01:28.27,1,1,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Williams, Olivia",100000001148,Right,CHA_49E_SB,Undefined,1,Top,0,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.11319,4.221804,-1.245932,1283.122333,200.961264,12:45,1.75888,0.58245,5.6236,-22.35647,7.60248,2.59532,2.55095,0.01663,59.76996,-1.928475,-0.558185,0.393944,,,,,,,,,,,,-3.24154,7.34717,-0.87391,50,0.6261,2.43077,-97.52118,10.30403,-3.04026,19.06388,-25.28309,UNI_ARK_SB,CHA_49E_SB,BoglePark,D1,SEC,20260227-BoglePark-5,7248fc70-1449-11f1-99c7-d7c7e6ed982d,95.67959,,,5.34323,,,,,,,f33759d4-bd41-43ca-9076-2ecafc020a04,2026-02-28,02:01:28.27,2026-02-27T20:01:28.2759168-06:00,2026-02-28T02:01:28.2759168Z,,V3 - Softball,,,,"Bain, Brinli",1000000000801,Right,UNI_ARK_SB,1cd1e780-3f58-42bf-8823-2ce702dd087c,37.36998,-95.02014,9.53194,1.76033,6.98706,-12.64154,-0.58117,2.03191,-1.52013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-27,20:01:42.31,1,2,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Williams, Olivia",100000001148,Right,CHA_49E_SB,Undefined,1,Top,0,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.42171,2.735816,-1.002022,1094.26721,349.637225,5:45,1.65053,0.56588,5.81229,-29.2123,-1.79319,0.46067,0.92577,-0.02138,62.47842,-5.238823,-0.879114,0.376876,,,,,,,,,,,,-0.85614,-2.52347,-0.7935,50,0.77795,1.83218,-101.21447,9.057,-0.86838,19.94422,-34.73356,UNI_ARK_SB,CHA_49E_SB,BoglePark,D1,SEC,20260227-BoglePark-5,7aabe5d0-1449-11f1-99c7-d7c7e6ed982d,100.01291,,,4.94329,,,,,,,f33759d4-bd41-43ca-9076-2ecafc020a04,2026-02-28,02:01:42.31,2026-02-27T20:01:42.3194112-06:00,2026-02-28T02:01:42.3194112Z,,V3 - Softball,,,,"Bain, Brinli",1000000000801,Right,UNI_ARK_SB,010aa0de-ba88-4128-a860-988e37aec6ca,37.18499,-98.65697,9.97211,1.65378,4.60302,-17.36678,-0.5657,1.72083,-0.43419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-27,20:01:55.30,1,3,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Williams, Olivia",100000001148,Right,CHA_49E_SB,Undefined,1,Top,0,1,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.32946,7.809671,0.877379,2375.387021,50.314031,7:45,1.77156,0.472,5.65626,-42.02333,-5.50662,-7.91189,3.19778,0.36288,54.06337,-3.576635,-1.214189,0.434928,,,,,,,,,,,,8.78819,-7.92351,-0.22969,50,-0.30154,-2.18832,-88.4593,17.13008,6.75311,16.16904,-38.2627,UNI_ARK_SB,CHA_49E_SB,BoglePark,D1,SEC,20260227-BoglePark-5,826e7080-1449-11f1-99c7-d7c7e6ed982d,86.66364,,,5.26609,,,,,,,f33759d4-bd41-43ca-9076-2ecafc020a04,2026-02-28,02:01:55.30,2026-02-27T20:01:55.3054208-06:00,2026-02-28T02:01:55.3054208Z,,V3 - Softball,,,,"Bain, Brinli",1000000000801,Right,UNI_ARK_SB,dfbc8e4e-297d-4754-b3e7-5e5b7035dfa2,37.34072,-86.11429,8.08452,1.78045,11.5808,-19.13135,-0.47604,-1.20891,3.37656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-27,20:02:10.74,1,4,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Williams, Olivia",100000001148,Right,CHA_49E_SB,Undefined,1,Top,0,2,1,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,61.01982,5.490334,0.187312,745.98363,43.797826,7:30,1.79169,0.61317,5.68614,-40.71443,-6.54961,-7.22741,1.84924,0.12824,55.97851,-5.568108,-1.730613,0.420689,,,,,,,,,,,,8.0204,-8.74654,-0.51985,50,0.23062,-1.14197,-91.50228,13.91055,6.57705,17.6203,-39.34657,UNI_ARK_SB,CHA_49E_SB,BoglePark,D1,SEC,20260227-BoglePark-5,8ba54bb0-1449-11f1-99c7-d7c7e6ed982d,89.59693,,,5.04131,,,,,,,f33759d4-bd41-43ca-9076-2ecafc020a04,2026-02-28,02:02:10.74,2026-02-27T20:02:10.7461632-06:00,2026-02-28T02:02:10.7461632Z,,V3 - Softball,,,,"Bain, Brinli",1000000000801,Right,UNI_ARK_SB,25a362fd-1f59-46a7-900e-5f63198aa2ec,37.31215,-89.02549,8.81015,1.79723,8.37984,-19.67328,-0.61539,-0.21747,3.28853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-27,20:02:37.88,1,5,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Williams, Olivia",100000001148,Right,CHA_49E_SB,Undefined,1,Top,0,2,2,Dropball,,InPlay,Undefined,GroundBall,Single,0,0,,65.16948,3.328038,-1.379574,1428.357644,198.963869,12:45,1.68739,0.57664,5.75528,-21.96639,7.57973,2.33154,1.94089,-0.09191,60.08455,-2.731488,-0.759228,0.391221,65.21185,-3.490066,0.088056,4194.553269,,,,20.51129,19.28411,0.92297,0.207996,-3.07736,7.66079,-0.90171,50,0.74029,2.65614,-97.76086,8.8185,-2.90506,18.93694,-24.94215,UNI_ARK_SB,CHA_49E_SB,BoglePark,D1,SEC,20260227-BoglePark-5,9bb478a0-1449-11f1-99c7-d7c7e6ed982d,96.34575,1.99234,,5.08493,,,,1.14455,1.99234,0.10036,f33759d4-bd41-43ca-9076-2ecafc020a04,2026-02-28,02:02:37.88,2026-02-27T20:02:37.8823680-06:00,2026-02-28T02:02:37.8823680Z,,V3 - Softball,,,,"Bain, Brinli",1000000000801,Right,UNI_ARK_SB,456aec4f-fe2a-46d5-b672-c2c3e607ee89,37.24103,-95.25731,9.46847,1.68817,5.52103,-12.47107,-0.57594,2.27208,-1.45253,302.390118,1.145,95.43747,-11.2667,,,,,,,1.99305,-5.86807,-17.87299,,,,,,,0.09996,0.17249,4.50633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-02-27,20:03:31.96,2,1,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Jarrell, Jaylah",100000001160,Right,CHA_49E_SB,Undefined,1,Top,0,0,0,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.07144,3.713436,-0.834992,1141.08472,344.4054,5:30,1.70408,0.49246,6.18249,-28.65797,-2.33402,0.84047,1.61377,0.04655,63.08408,-4.185075,-0.608584,0.369272,,,,,,,,,,,,-1.23984,-3.57638,-0.69182,50,0.56907,1.61051,-102.14175,11.04793,-1.28369,19.95161,-35.87695,UNI_ARK_SB,CHA_49E_SB,BoglePark,D1,SEC,20260227-BoglePark-5,bbfaf3f0-1449-11f1-99c7-d7c7e6ed982d,102.07216,,,4.98736,,,,,,,f33759d4-bd41-43ca-9076-2ecafc020a04,2026-02-28,02:03:31.96,2026-02-27T20:03:31.9660032-06:00,2026-02-28T02:03:31.9660032Z,,V3 - Softball,,,,"Bain, Brinli",1000000000801,Right,UNI_ARK_SB,8882d1ed-eded-49c5-8adf-bd86f9a4fe54,36.81537,-99.53304,9.97581,1.70693,6.35697,-17.93847,-0.49222,1.44266,-0.64185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-27,20:03:49.33,2,2,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Jarrell, Jaylah",100000001160,Right,CHA_49E_SB,Undefined,1,Top,0,0,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,58.13081,6.610573,1.635006,743.06348,65.364592,8:15,1.72219,0.51783,5.23493,-41.66018,-3.1415,-9.10941,2.46469,0.79625,53.48555,-4.558449,-0.747915,0.446691,,,,,,,,,,,,10.24855,-4.90977,-0.11231,50,-0.01636,-3.40707,-86.65056,14.76617,7.63159,14.43089,-35.83012,UNI_ARK_SB,CHA_49E_SB,BoglePark,D1,SEC,20260227-BoglePark-5,c66434a0-1449-11f1-99c7-d7c7e6ed982d,84.38151,,,4.64526,,,,,,,f33759d4-bd41-43ca-9076-2ecafc020a04,2026-02-28,02:03:49.33,2026-02-27T20:03:49.3373440-06:00,2026-02-28T02:03:49.3373440Z,,V3 - Softball,,,,"Bain, Brinli",1000000000801,Right,UNI_ARK_SB,10613ebb-6fdd-4b27-8ad3-2374725af9dd,37.76274,-84.588,7.21545,1.72815,9.6451,-17.91506,-0.52132,-2.31631,3.8158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-27,20:04:02.92,2,3,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Jarrell, Jaylah",100000001160,Right,CHA_49E_SB,Undefined,1,Top,0,0,2,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.42919,4.528397,-1.382739,771.686529,49.995575,7:45,1.79344,0.4284,5.41954,-40.6551,-5.5087,-7.70433,1.27054,-1.08656,55.86335,-6.421966,-3.411978,0.426689,40.66234,72.675736,142.59574,2819.364577,,,,,9.67364,,,7.92741,-7.20477,-0.67378,50,0.4802,1.30775,-90.57728,12.12566,6.40784,16.56117,-37.99775,UNI_ARK_SB,CHA_49E_SB,BoglePark,D1,SEC,20260227-BoglePark-5,ce7a3680-1449-11f1-99c7-d7c7e6ed982d,88.33696,27.51349,,4.56584,,,,3.42415,1.57548,0.97865,f33759d4-bd41-43ca-9076-2ecafc020a04,2026-02-28,02:04:02.92,2026-02-27T20:04:02.9261824-06:00,2026-02-28T02:04:02.9261824Z,,V3 - Softball,,,,"Bain, Brinli",1000000000801,Right,UNI_ARK_SB,e80c7594-bece-44cf-aa76-deb069b02463,37.57905,-88.27702,8.28059,1.79787,6.84798,-18.99888,-0.43034,2.19776,3.20392,354.363893,3.42415,-14.10672,-3.44997,1.66206,-1.16661,3.50689,-7.96743,9.17072,-4.1015,1.57548,56.93266,-24.41167,2.55981,-0.81626,1.55269,-3.33849,3.74332,-1.64093,0.97865,10.78727,0.44207,-0.42251,0.33719,-1.014,2.31178,-2.67043,1.19778,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2026-02-27,20:04:22.28,2,4,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Jarrell, Jaylah",100000001160,Right,CHA_49E_SB,Undefined,1,Top,0,0,2,Changeup,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,58.17351,6.563989,-0.821106,1423.135206,35.692552,7:15,1.74423,0.34716,5.22337,-48.72652,-9.65225,-7.82536,1.86795,-0.82606,52.88001,-6.501073,-2.868125,0.449901,,,,,,,,,,,,7.92914,-12.12461,-0.47751,50,-0.01139,0.47899,-87.16069,15.32839,5.82972,17.29075,-41.08841,UNI_ARK_SB,CHA_49E_SB,BoglePark,D1,SEC,20260227-BoglePark-5,d9fadaa0-1449-11f1-99c7-d7c7e6ed982d,83.7794,,,5.29351,,,,,,,f33759d4-bd41-43ca-9076-2ecafc020a04,2026-02-28,02:04:22.28,2026-02-27T20:04:22.2833664-06:00,2026-02-28T02:04:22.2833664Z,,V3 - Softball,,,,"Bain, Brinli",1000000000801,Right,UNI_ARK_SB,3fd8b029-f4de-4faf-bcaa-91c89c1a375d,37.77492,-84.70079,8.64537,1.75352,9.48288,-20.54421,-0.35037,1.30837,2.91486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-27,20:04:49.67,3,1,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Lord, Jenna",100000001149,Right,CHA_49E_SB,Undefined,1,Top,1,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.43784,5.921148,-0.191786,1390.777276,201.596169,12:45,1.64444,0.86458,5.79098,-23.36781,6.04221,2.08701,3.40928,0.91869,60.12519,-0.503532,0.363457,0.390318,,,,,,,,,,,,-2.33673,5.18154,-0.92166,50,0.10207,0.5842,-97.72095,13.45452,-2.21216,18.41142,-27.26873,UNI_ARK_SB,CHA_49E_SB,BoglePark,D1,SEC,20260227-BoglePark-5,ea4e6390-1449-11f1-99c7-d7c7e6ed982d,96.56849,,,5.31265,,,,,,,f33759d4-bd41-43ca-9076-2ecafc020a04,2026-02-28,02:04:49.67,2026-02-27T20:04:49.6724992-06:00,2026-02-28T02:04:49.6724992Z,,V3 - Softball,,,,"Bain, Brinli",1000000000801,Right,UNI_ARK_SB,657ca8c2-9ab4-45e9-9595-be0434b0cd38,37.20305,-95.2794,9.20571,1.64651,9.8384,-13.63437,-0.86364,0.29085,-1.10608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
