PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-27,13:05:21.66,1,1,"Poteete, Chloe",1000000002138,Right,USC_UPS_SB,"Chatfield, Michelle",1000000000421,Right,VIR_TEC_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.35256,4.972247,-4.168359,955.768772,90.288381,9:00,1.8401,1.14877,4.94449,-35.66344,1.1489,-7.26571,2.06421,-2.12696,55.08219,-4.566937,-6.044826,0.436685,,,,,,,,,,,,5.90063,0.00024,-1.98087,50,0.54497,5.86219,-90.18941,11.84382,4.67068,17.87399,-32.17386,USC_UPS_SB,VIR_TEC_SB,JaneBMooreField,D1,BIGS,20260227-JaneBMooreField-2,3883e930-140f-11f1-a709-c9a089e256e1,86.31497,,,5.27038,,,,,,,54d02bed-7518-4814-958e-214619e472da,2026-02-27,19:05:21.66,2026-02-27T13:05:21.6619520-06:00,2026-02-27T19:05:21.6619520Z,,V3 - Softball,,,,"Jennings, Laney",1000000002142,Right,USC_UPS_SB,91f17a9c-b03f-497c-a63d-4449b2821fe9,38.04997,-87.78918,8.937,1.84534,7.52332,-16.08693,-1.15155,6.4894,2.33534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-27,13:05:36.66,1,2,"Poteete, Chloe",1000000002138,Right,USC_UPS_SB,"Chatfield, Michelle",1000000000421,Right,VIR_TEC_SB,Undefined,1,Top,0,1,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.47341,4.233967,0.998028,1053.520996,116.305584,10:00,1.69987,0.98145,5.62713,-32.12588,4.42929,-6.47469,1.68502,1.06827,53.75762,-4.608106,-0.718116,0.435157,,,,,,,,,,,,7.40512,3.73343,-0.7211,50,0.49589,-2.245,-89.5255,10.52701,5.69673,19.17808,-29.30195,USC_UPS_SB,VIR_TEC_SB,JaneBMooreField,D1,BIGS,20260227-JaneBMooreField-2,4172bee0-140f-11f1-a709-c9a089e256e1,86.61805,,,5.71579,,,,,,,54d02bed-7518-4814-958e-214619e472da,2026-02-27,19:05:36.66,2026-02-27T13:05:36.6696960-06:00,2026-02-27T19:05:36.6696960Z,,V3 - Softball,,,,"Jennings, Laney",1000000002142,Right,USC_UPS_SB,eb05f565-40ee-456f-baf1-4fba77e08cff,37.36628,-86.77692,9.58904,1.70367,6.32749,-14.65098,-0.98434,-1.42855,2.84836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-27,13:05:55.93,1,3,"Poteete, Chloe",1000000002138,Right,USC_UPS_SB,"Chatfield, Michelle",1000000000421,Right,VIR_TEC_SB,Undefined,1,Top,0,2,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,61.26914,6.136603,1.204142,962.803259,96.477297,9:15,1.71368,0.72777,5.42601,-32.63931,1.98866,-8.38453,2.88208,0.78906,55.73677,-2.731836,-1.002279,0.423531,,,,,,,,,,,,9.35438,0.54244,-0.41732,50,0.1168,-2.8149,-91.6305,13.82906,7.67403,17.96085,-31.72906,USC_UPS_SB,VIR_TEC_SB,JaneBMooreField,D1,BIGS,20260227-JaneBMooreField-2,4cf36300-140f-11f1-a709-c9a089e256e1,88.99579,,,5.53237,,,,,,,54d02bed-7518-4814-958e-214619e472da,2026-02-27,19:05:55.93,2026-02-27T13:05:55.9315968-06:00,2026-02-27T19:05:55.9315968Z,,V3 - Softball,,,,"Jennings, Laney",1000000002142,Right,USC_UPS_SB,b6388f61-012b-4787-a01f-45e75fe5ff27,37.56831,-89.16043,8.98042,1.7186,9.4655,-15.86453,-0.73187,-1.75952,3.83701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-27,13:06:15.11,1,4,"Poteete, Chloe",1000000002138,Right,USC_UPS_SB,"Chatfield, Michelle",1000000000421,Right,VIR_TEC_SB,Undefined,1,Top,0,2,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,54.05752,2.469855,0.130774,760.799016,11.20071,6:15,1.73361,1.09176,5.34334,-50.6283,-5.83075,-1.4528,-0.92224,1.05341,49.61561,-11.152099,-0.252991,0.481724,,,,,,,,,,,,1.64654,-6.97532,-1.05373,50,0.80768,-0.33052,-81.6498,8.87444,1.04934,16.33227,-36.61946,USC_UPS_SB,VIR_TEC_SB,JaneBMooreField,D1,BIGS,20260227-JaneBMooreField-2,58590510-140f-11f1-a709-c9a089e256e1,78.24484,,,4.44191,,,,,,,54d02bed-7518-4814-958e-214619e472da,2026-02-27,19:06:15.11,2026-02-27T13:06:15.1156736-06:00,2026-02-27T19:06:15.1156736Z,,V3 - Softball,,,,"Jennings, Laney",1000000002142,Right,USC_UPS_SB,d898ae2c-18d7-4597-8a60-79f7ea827d64,37.65468,-79.14187,8.16614,1.73867,3.25128,-18.30973,-1.09211,-0.16939,0.52467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-27,13:06:36.21,1,5,"Poteete, Chloe",1000000002138,Right,USC_UPS_SB,"Chatfield, Michelle",1000000000421,Right,VIR_TEC_SB,Undefined,1,Top,0,3,1,Curveball,,InPlay,Undefined,FlyBall,HomeRun,0,1,,60.87042,6.730716,-0.520048,958.650052,99.316862,9:15,1.67247,0.8798,5.51491,-32.68321,2.23284,-7.43937,3.20573,-0.06753,55.44399,-2.162225,-2.48118,0.425289,76.48507,22.259452,-22.833545,1233.901927,100.61173,36.24048,-44.46567,247.29696,245.25414,-26.60275,3.465417,7.87871,0.43059,-0.94349,50,-0.0781,-0.00589,-90.97652,14.79419,6.37853,17.57398,-31.82546,USC_UPS_SB,VIR_TEC_SB,JaneBMooreField,D1,BIGS,20260227-JaneBMooreField-2,64f10ca0-140f-11f1-a709-c9a089e256e1,88.62786,38.29686,,5.42643,,,,1.7259,3.25774,0.05405,54d02bed-7518-4814-958e-214619e472da,2026-02-27,19:06:36.21,2026-02-27T13:06:36.2147328-06:00,2026-02-27T19:06:36.2147328Z,,V3 - Softball,,,,"Jennings, Laney",1000000002142,Right,USC_UPS_SB,8f1064e7-f3ce-43b6-8132-09d2e9b2080c,37.48106,-88.5252,8.78699,1.67588,10.355,-15.91273,-0.88226,0.88382,3.18927,168.889749,1.72577,95.68681,-17.35705,3.99631,-0.83031,0.17223,-0.03321,0.00438,-0.00025,3.25788,42.48873,-12.69975,-0.44062,0.32338,-0.10334,0.02057,-0.00165,-2E-05,0.05406,-40.2877,5.19811,-1.42066,0.3022,-0.05912,0.0102,-0.00132,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-02-27,13:07:25.38,2,1,"Poteete, Chloe",1000000002138,Right,USC_UPS_SB,"Aldridge, Kylie",1000000000426,Left,VIR_TEC_SB,Undefined,1,Top,0,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,54.85905,3.744935,0.017266,794.673579,23.924191,6:45,1.61057,0.94297,5.08814,-50.89148,-7.095,-3.74571,-0.2416,0.64183,50.55458,-9.841961,-0.963453,0.476311,,,,,,,,,,,,4.00315,-8.42871,-0.91627,50,0.44866,-0.38365,-82.49676,10.6678,2.64401,15.22013,-37.74107,USC_UPS_SB,VIR_TEC_SB,JaneBMooreField,D1,BIGS,20260227-JaneBMooreField-2,8242b1f0-140f-11f1-a709-c9a089e256e1,79.13402,,,4.30448,,,,,,,54d02bed-7518-4814-958e-214619e472da,2026-02-27,19:07:25.38,2026-02-27T13:07:25.3896704-06:00,2026-02-27T19:07:25.3896704Z,,V3 - Softball,,,,"Jennings, Laney",1000000002142,Right,USC_UPS_SB,0a8ba5ae-ca44-453f-bd73-74eda1bf2139,37.91021,-80.23527,7.61007,1.61712,5.06003,-18.87054,-0.94408,0.00921,1.32201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-27,13:07:46.66,2,2,"Poteete, Chloe",1000000002138,Right,USC_UPS_SB,"Aldridge, Kylie",1000000000426,Left,VIR_TEC_SB,Undefined,1,Top,0,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.49634,3.374302,0.449634,921.493246,83.505032,8:45,1.7194,0.9999,5.67706,-33.2373,0.33528,-5.77689,1.06676,0.80028,56.45303,-5.706848,-1.085227,0.417027,,,,,,,,,,,,6.47815,-0.3037,-0.86063,50,0.68954,-1.3926,-92.45184,9.68942,5.40856,18.3209,-32.4276,USC_UPS_SB,VIR_TEC_SB,JaneBMooreField,D1,BIGS,20260227-JaneBMooreField-2,8ef1c3f0-140f-11f1-a709-c9a089e256e1,90.38379,,,5.04332,,,,,,,54d02bed-7518-4814-958e-214619e472da,2026-02-27,19:07:46.66,2026-02-27T13:07:46.6668544-06:00,2026-02-27T19:07:46.6668544Z,,V3 - Softball,,,,"Jennings, Laney",1000000002142,Right,USC_UPS_SB,d08920d9-9517-4a46-ab2b-fc3128dd14b5,37.31886,-89.90374,9.16045,1.72353,5.17934,-16.2138,-1.002,-0.64037,2.70428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-27,13:08:28.24,2,3,"Poteete, Chloe",1000000002138,Right,USC_UPS_SB,"Aldridge, Kylie",1000000000426,Left,VIR_TEC_SB,Undefined,1,Top,0,2,0,Riseball,,InPlay,Undefined,FlyBall,Out,1,0,,61.49929,4.256276,0.454691,1018.453766,122.313924,10:00,1.80054,1.04503,5.66735,-29.04324,4.39492,-5.50327,2.05333,0.87146,56.62505,-3.695962,-1.005685,0.416191,62.86097,44.157432,-18.925147,,,,,,40.58556,,,6.2026,3.85567,-0.90499,50,0.60065,-1.38049,-92.18051,10.64893,5.19932,16.99481,-28.94205,USC_UPS_SB,VIR_TEC_SB,JaneBMooreField,D1,BIGS,20260227-JaneBMooreField-2,a7cc11f0-140f-11f1-a709-c9a089e256e1,90.5652,35.58614,,4.87425,,,,1.25336,2.1008,-0.85411,54d02bed-7518-4814-958e-214619e472da,2026-02-27,19:08:28.24,2026-02-27T13:08:28.2404352-06:00,2026-02-27T19:08:28.2404352Z,,V3 - Softball,,,,"Jennings, Laney",1000000002142,Right,USC_UPS_SB,1ca8de1f-7491-4254-9f94-8ba8b2cf93d7,37.3286,-89.81397,8.49741,1.80291,6.61874,-14.47102,-1.04681,-0.65648,2.59966,149.010496,1.25336,62.56845,-16.59543,5.26674,-1.28857,0.29259,-0.06497,0.01271,-0.00161,2.1008,64.22667,-23.26244,1.91501,-0.12821,-0.04055,0.01994,-0.00532,0.00074,-0.85411,-21.45265,-0.16622,0.39499,-0.1862,0.06258,-0.01784,0.00419,-0.00059,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2026-02-27,13:08:57.75,3,1,"Poteete, Chloe",1000000002138,Right,USC_UPS_SB,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,Undefined,1,Top,1,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.5036,3.509511,-2.36634,1031.054993,76.779043,8:30,1.84216,1.06052,5.28546,-35.15734,-0.77024,-7.55579,1.14041,-1.0691,56.53737,-5.969191,-4.347324,0.422055,,,,,,,,,,,,7.14461,-1.49433,-1.52199,50,0.81773,2.99782,-92.29045,9.88246,5.94624,18.21388,-33.41775,USC_UPS_SB,VIR_TEC_SB,JaneBMooreField,D1,BIGS,20260227-JaneBMooreField-2,b94c5b10-140f-11f1-a709-c9a089e256e1,89.30692,,,4.96622,,,,,,,54d02bed-7518-4814-958e-214619e472da,2026-02-27,19:08:57.75,2026-02-27T13:08:57.7507328-06:00,2026-02-27T19:08:57.7507328Z,,V3 - Softball,,,,"Jennings, Laney",1000000002142,Right,USC_UPS_SB,5f6bd06d-d002-4cb5-93d3-065312382ff4,37.71045,-89.83232,9.10694,1.84713,5.37244,-16.70888,-1.06326,3.80032,2.97312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-27,13:09:15.66,3,2,"Poteete, Chloe",1000000002138,Right,USC_UPS_SB,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,Undefined,1,Top,1,1,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.42776,2.736241,-1.910186,1085.481265,115.771593,9:45,1.8521,1.12034,5.52884,-30.87891,4.05721,-6.36866,1.00296,-0.61285,55.77646,-5.672545,-3.592892,0.425411,,,,,,,,,,,,6.20894,4.0363,-1.49522,50,0.99167,2.31132,-90.70372,8.19038,5.01958,16.92196,-28.91094,USC_UPS_SB,VIR_TEC_SB,JaneBMooreField,D1,BIGS,20260227-JaneBMooreField-2,c3ff4ef0-140f-11f1-a709-c9a089e256e1,88.60239,,,4.6513,,,,,,,54d02bed-7518-4814-958e-214619e472da,2026-02-27,19:09:15.66,2026-02-27T13:09:15.6624384-06:00,2026-02-27T19:09:15.6624384Z,,V3 - Softball,,,,"Jennings, Laney",1000000002142,Right,USC_UPS_SB,930ae51d-89c5-4b34-a734-6a8c50e32112,37.46657,-88.33451,8.46098,1.85503,4.14261,-14.45547,-1.12242,3.01411,2.50979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
