PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-28,19:34:43.50,1,1,"Peters, Sidne",100000001170,Right,TEX_A&M_SB,"Lara, Camille",100000004402,Left,SAI_MAR_SB,Undefined,1,Top,0,0,0,Riseball,,InPlay,Undefined,Bunt,Out,1,0,,67.98709,5.77561,-1.387551,1997.694523,167.172484,11:30,1.87752,0.64605,4.73227,-22.62234,6.00457,-1.21539,3.72076,-0.34785,63.03919,-0.243376,-1.701539,0.385087,,,,,,,,,,,,0.86327,4.96555,-0.92297,50,0.52083,2.30721,-101.10569,13.16687,0.88756,17.52136,-27.06868,TEX_A&M_SB,SAI_MAR_SB,TexasAM,D1,SEC,20260228-TexasAM-4,d3157400-150e-11f1-8741-5b047951d522,97.88035,,,4.9479,,,,,,,b9bd765d-9c5f-4f1b-88ae-dd0ee69d3d97,2026-03-01,01:34:43.50,2026-02-28T19:34:43.5040768-06:00,2026-03-01T01:34:43.5040768Z,,V3 - Softball,,,,"Kowalewski, Ariel",100000001109,Right,TEX_A&M_SB,b6214cd5-405d-4b9c-a7e5-7e142506991c,38.26399,-99.05099,8.76068,1.87876,9.99257,-13.53434,-0.64631,2.41129,0.44378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-28,19:35:13.46,2,1,"Peters, Sidne",100000001170,Right,TEX_A&M_SB,"Ferguson, Hannah",100000004373,Left,SAI_MAR_SB,Undefined,1,Top,1,0,0,Riseball,,InPlay,Undefined,GroundBall,Out,1,0,,67.62603,3.927354,-2.267664,2001.111212,179.191614,12:00,1.8921,0.60407,5.02417,-22.93147,5.53599,-0.06807,2.49301,-0.8493,62.65368,-2.236636,-2.285395,0.384013,38.62694,-30.608605,-49.899356,,,,,6.07636,6.07635,-24.22095,0.087091,-0.64921,5.04284,-1.07978,50,0.88442,3.99054,-100.98285,10.00548,-0.6611,18.5659,-27.03876,TEX_A&M_SB,SAI_MAR_SB,TexasAM,D1,SEC,20260228-TexasAM-4,e4ee6470-150e-11f1-8741-5b047951d522,98.15412,2.54305,,4.97236,,,,2.77259,2.54305,0.7952,b9bd765d-9c5f-4f1b-88ae-dd0ee69d3d97,2026-03-01,01:35:13.46,2026-02-28T19:35:13.4631936-06:00,2026-03-01T01:35:13.4631936Z,,V3 - Softball,,,,"Kowalewski, Ariel",100000001109,Right,TEX_A&M_SB,6aedd932-54e4-4071-87e8-d2c0487dd5fc,37.97223,-98.74676,9.28295,1.89337,6.74892,-13.51938,-0.60395,3.91092,-0.33055,,2.76718,31.7928,,,,,,,,2.54802,-29.19999,,,,,,,,0.80161,-37.7543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2026-02-28,19:35:43.44,3,1,"Peters, Sidne",100000001170,Right,TEX_A&M_SB,"Buckley, Sam",100000004387,Right,SAI_MAR_SB,Undefined,1,Top,2,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.72085,5.428942,-1.321821,1862.567517,170.758967,11:45,1.92916,0.56607,5.21605,-22.8356,6.2602,-0.89862,3.48337,-0.34797,61.52125,-0.748108,-1.557089,0.388228,,,,,,,,,,,,0.52449,5.42709,-0.84244,50,0.58012,2.19027,-99.49993,12.53738,0.51741,18.34211,-26.8202,TEX_A&M_SB,SAI_MAR_SB,TexasAM,D1,SEC,20260228-TexasAM-4,f6db7920-150e-11f1-8741-5b047951d522,97.08846,,,5.1996,,,,,,,b9bd765d-9c5f-4f1b-88ae-dd0ee69d3d97,2026-03-01,01:35:43.44,2026-02-28T19:35:43.4493440-06:00,2026-03-01T01:35:43.4493440Z,,V3 - Softball,,,,"Kowalewski, Ariel",100000001109,Right,TEX_A&M_SB,0f4a5310-3faa-4f30-b1c8-47e29a38ef09,37.77844,-97.22087,9.17105,1.9309,9.2049,-13.4101,-0.5663,2.25455,0.25871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-02-28,19:36:00.95,3,2,"Peters, Sidne",100000001170,Right,TEX_A&M_SB,"Buckley, Sam",100000004387,Right,SAI_MAR_SB,Undefined,1,Top,2,1,0,Offspeed,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.50966,4.612915,-1.44795,2059.327245,139.899284,10:45,1.92831,0.80284,4.0075,-30.166,4.05055,-2.66819,2.44725,-0.36931,58.70067,-3.261777,-2.124032,0.421007,,,,,,,,,,,,2.20638,3.15614,-1.06904,50,0.85756,2.13996,-94.58838,10.85562,1.97103,16.30674,-29.35458,TEX_A&M_SB,SAI_MAR_SB,TexasAM,D1,SEC,20260228-TexasAM-4,014c33e0-150f-11f1-8741-5b047951d522,89.52921,,,4.80899,,,,,,,b9bd765d-9c5f-4f1b-88ae-dd0ee69d3d97,2026-03-01,01:36:00.95,2026-02-28T19:36:00.9544192-06:00,2026-03-01T01:36:00.9544192Z,,V3 - Softball,,,,"Kowalewski, Ariel",100000001109,Right,TEX_A&M_SB,87ba3406-0097-47d6-90f6-db7167b0db87,38.98758,-92.67043,8.15337,1.93132,7.40302,-14.67729,-0.80371,2.37178,0.98552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-28,19:36:22.71,3,3,"Peters, Sidne",100000001170,Right,TEX_A&M_SB,"Buckley, Sam",100000004387,Right,SAI_MAR_SB,Undefined,1,Top,2,1,1,Riseball,,InPlay,Undefined,Popup,Out,1,0,,67.28935,5.152598,-1.212609,2106.463514,171.485373,11:45,1.90665,0.4683,4.77377,-21.82371,7.38867,-0.99878,3.40799,-0.39409,62.21248,-0.685588,-1.471045,0.389005,,,,,,,,,,,,0.66961,6.54319,-0.71152,50,0.6786,2.0071,-100.2874,11.87134,0.67325,18.14602,-25.59509,TEX_A&M_SB,SAI_MAR_SB,TexasAM,D1,SEC,20260228-TexasAM-4,0e3baa40-150f-11f1-8741-5b047951d522,96.89455,,,5.07687,,,,,,,b9bd765d-9c5f-4f1b-88ae-dd0ee69d3d97,2026-03-01,01:36:22.71,2026-02-28T19:36:22.7170304-06:00,2026-03-01T01:36:22.7170304Z,,V3 - Softball,,,,"Kowalewski, Ariel",100000001109,Right,TEX_A&M_SB,c21dfdda-be71-479e-bb24-96d04219a514,38.22227,-98.13321,9.07301,1.90755,8.83283,-12.79755,-0.4685,2.08702,0.33662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-28,19:38:48.12,1,1,"Haun, Madeline",100000004394,Right,SAI_MAR_SB,"Powell, Kennedy",100000001142,Left,TEX_A&M_SB,Undefined,1,Bottom,0,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,59.31926,7.152779,-0.970447,1449.961489,355.631306,5:45,1.74006,0.82956,5.39842,-44.68215,-8.08252,0.69051,2.55812,0.27416,54.70547,-4.829837,-0.789057,0.435421,,,,,,,,,,,,-1.05602,-10.29071,-1.04392,50,-0.16258,1.56988,-88.34865,16.30736,-0.82044,14.59072,-40.1689,TEX_A&M_SB,SAI_MAR_SB,TexasAM,D1,SEC,20260228-TexasAM-4,64f16370-150f-11f1-8741-5b047951d522,86.56543,,,4.61379,,,,,,,b9bd765d-9c5f-4f1b-88ae-dd0ee69d3d97,2026-03-01,01:38:48.12,2026-02-28T19:38:48.1227776-06:00,2026-03-01T01:38:48.1227776Z,,V3 - Softball,,,,"Prescott, Averie",100000004384,Right,SAI_MAR_SB,b6f8749b-a72d-4479-98c2-76005cbf6d18,37.60035,-86.27656,7.29536,1.74824,10.6028,-20.08445,-0.82925,1.45336,-0.41022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-28,19:39:10.61,1,2,"Haun, Madeline",100000004394,Right,SAI_MAR_SB,"Powell, Kennedy",100000001142,Left,TEX_A&M_SB,Undefined,1,Bottom,0,0,1,Dropball,,InPlay,Undefined,GroundBall,Single,0,0,,60.32317,6.645104,0.855299,1372.13717,2.667631,6:00,1.72529,0.69113,5.61975,-44.83577,-9.76666,-0.50055,2.17926,1.18632,55.4372,-5.463853,0.722879,0.42622,57.62583,1.865383,-37.090608,1883.971709,,,,44.17193,42.97406,-38.794179,0.523265,0.85287,-12.58701,-0.49915,50,-0.11623,-1.40345,-90.15166,16.02662,0.68364,16.28123,-42.26351,TEX_A&M_SB,SAI_MAR_SB,TexasAM,D1,SEC,20260228-TexasAM-4,7251c410-150f-11f1-8741-5b047951d522,88.43421,2.45284,,4.88598,,,,2.42817,2.31896,-1.17631,b9bd765d-9c5f-4f1b-88ae-dd0ee69d3d97,2026-03-01,01:39:10.61,2026-02-28T19:39:10.6107904-06:00,2026-03-01T01:39:10.6107904Z,,V3 - Softball,,,,"Prescott, Averie",100000004384,Right,SAI_MAR_SB,20cd8668-e3ca-4e90-b92d-58ac68553121,37.37945,-87.84285,8.14061,1.73153,10.0333,-21.13176,-0.69129,-1.30651,0.34182,104.623714,2.441,67.05247,-11.36428,,,,,,,2.32357,2.63443,-13.53715,,,,,,,-1.17349,-51.01694,0.69945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-02-28,19:39:56.68,2,1,"Haun, Madeline",100000004394,Right,SAI_MAR_SB,"Edwards, Tallen",100000001090,Left,TEX_A&M_SB,Undefined,1,Bottom,0,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,60.31291,7.287352,0.16355,824.708328,354.661048,5:45,1.77295,0.98386,5.37784,-44.95223,-9.34154,0.96512,2.65685,1.16763,55.35283,-4.765707,0.416986,0.429498,,,,,,,,,,,,-0.96898,-11.73005,-0.95436,50,-0.14884,-0.15458,-89.9204,16.75,-0.77477,15.88841,-41.55294,TEX_A&M_SB,SAI_MAR_SB,TexasAM,D1,SEC,20260228-TexasAM-4,8dcf1e90-150f-11f1-8741-5b047951d522,87.75919,,,4.96008,,,,,,,b9bd765d-9c5f-4f1b-88ae-dd0ee69d3d97,2026-03-01,01:39:56.68,2026-02-28T19:39:56.6889472-06:00,2026-03-01T01:39:56.6889472Z,,V3 - Softball,,,,"Prescott, Averie",100000004384,Right,SAI_MAR_SB,2087f8ab-e622-4b5c-8357-9bedf4c58bf7,37.62083,-87.7058,7.94421,1.7822,10.95816,-20.77647,-0.98343,-0.26257,-0.38739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-28,19:40:14.73,2,2,"Haun, Madeline",100000004394,Right,SAI_MAR_SB,"Edwards, Tallen",100000001090,Left,TEX_A&M_SB,Undefined,1,Bottom,0,0,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.04352,6.064946,0.405034,1429.633941,355.219823,5:45,1.78635,0.72977,5.43456,-43.69439,-8.18922,0.76228,1.98607,1.04884,55.54323,-5.676144,0.605813,0.428862,,,,,,,,,,,,-0.6889,-10.25493,-0.64696,50,0.11866,-0.54956,-89.66318,14.76403,-0.55065,15.1553,-40.37114,TEX_A&M_SB,SAI_MAR_SB,TexasAM,D1,SEC,20260228-TexasAM-4,988a01b0-150f-11f1-8741-5b047951d522,87.8895,,,4.50029,,,,,,,b9bd765d-9c5f-4f1b-88ae-dd0ee69d3d97,2026-03-01,01:40:14.73,2026-02-28T19:40:14.7342336-06:00,2026-03-01T01:40:14.7342336Z,,V3 - Softball,,,,"Prescott, Averie",100000004384,Right,SAI_MAR_SB,f3191149-a2b0-427d-a089-0b0e63d678c8,37.56437,-87.53602,7.57765,1.79324,9.09764,-20.18557,-0.72951,-0.62684,-0.27532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-28,19:40:40.01,2,3,"Haun, Madeline",100000004394,Right,SAI_MAR_SB,"Edwards, Tallen",100000001090,Left,TEX_A&M_SB,Undefined,1,Bottom,0,0,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.51913,6.145536,-2.835784,1319.213693,359.896281,6:00,1.77844,0.84031,5.58075,-46.26715,-10.09083,0.02012,1.8041,-0.94138,54.73333,-6.330646,-2.830476,0.432896,,,,,,,,,,,,-1.04854,-12.46981,-1.46362,50,0.05365,4.40929,-88.97073,15.09754,-0.81659,16.14325,-41.88532,TEX_A&M_SB,SAI_MAR_SB,TexasAM,D1,SEC,20260228-TexasAM-4,a79f8c60-150f-11f1-8741-5b047951d522,87.07046,,,4.7858,,,,,,,b9bd765d-9c5f-4f1b-88ae-dd0ee69d3d97,2026-03-01,01:40:40.01,2026-02-28T19:40:40.0121856-06:00,2026-03-01T01:40:40.0121856Z,,V3 - Softball,,,,"Prescott, Averie",100000004384,Right,SAI_MAR_SB,4845f15c-26d2-45a7-a09a-247f9ae12a11,37.4183,-86.65779,8.07162,1.78685,9.09637,-20.94266,-0.84025,4.2923,-0.4083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
