PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-27,12:30:38.06,1,1,"Stewart, Yasmyn",100000006873,Right,PRA_VIE_SB,"Altamirano, Victoria",100000005669,Right,INC_WOR_SB,Undefined,1,Top,0,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,62.43033,6.060092,-0.25438,921.544407,53.207631,7:45,1.5101,-0.082,5.57532,-35.799,-3.43768,-5.61244,2.34968,-0.70957,58.0468,-3.602956,-1.737619,0.409435,,,,,,,,,,,,6.01225,-4.96315,0.06485,50,-0.12524,-0.24766,-93.01983,14.49627,5.2304,14.87772,-36.49177,PRA_VIE_SB,INC_WOR_SB,UTSoftball,D1,SOLA,20260227-UTSoftball-2,6a08b4e0-140a-11f1-aa58-095f3f43fd85,92.05974,,,4.38353,,,,,,,f9a2b23b-9a99-485e-9e53-1665865f7506,2026-02-27,18:30:38.06,2026-02-27T12:30:38.0642816-06:00,2026-02-27T18:30:38.0642816Z,,V3 - Softball,,,,"Meeks, Michelle",1000000000348,Right,PRA_VIE_SB,91557457-8496-47c4-85a3-3475b12061df,37.42248,-90.98592,7.43886,1.51552,9.50756,-18.24589,0.07986,0.46737,2.6152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-02-27,12:30:53.51,1,2,"Stewart, Yasmyn",100000006873,Right,PRA_VIE_SB,"Altamirano, Victoria",100000005669,Right,INC_WOR_SB,Undefined,1,Top,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.6067,3.687101,-0.700771,941.270565,53.480697,7:45,1.5121,-0.22181,5.42966,-34.5125,-2.18587,-4.01437,0.96601,-0.99855,58.38957,-5.611931,-1.75976,0.409215,,,,,,,,,,,,4.12233,-2.95725,0.09709,50,0.42913,0.6759,-93.6466,10.43432,3.61869,15.65703,-34.77001,PRA_VIE_SB,INC_WOR_SB,UTSoftball,D1,SOLA,20260227-UTSoftball-2,7339eac0-140a-11f1-aa58-095f3f43fd85,92.10914,,,4.21713,,,,,,,f9a2b23b-9a99-485e-9e53-1665865f7506,2026-02-27,18:30:53.51,2026-02-27T12:30:53.5173120-06:00,2026-02-27T18:30:53.5173120Z,,V3 - Softball,,,,"Meeks, Michelle",1000000000348,Right,PRA_VIE_SB,310316b8-70b4-40c7-99a7-80b3250982a2,37.56768,-91.54441,7.82851,1.5167,5.76593,-17.385,0.22046,1.16177,1.80934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-27,12:31:08.54,1,3,"Stewart, Yasmyn",100000006873,Right,PRA_VIE_SB,"Altamirano, Victoria",100000005669,Right,INC_WOR_SB,Undefined,1,Top,0,1,1,Curveball,,InPlay,Undefined,FlyBall,Out,1,0,,61.71086,4.164115,-0.861526,944.461407,52.875142,7:45,1.55076,-0.03593,5.46682,-35.35396,-2.23414,-3.96358,1.23438,-0.90934,57.71288,-5.360556,-1.907486,0.414205,58.4083,29.58077,-17.759814,1080.755453,102.15179,28.46633,-40.80391,168.69475,161.21526,-24.660744,2.890168,4.09177,-3.27642,-0.12233,50,0.34391,0.91125,-92.19252,11.24276,3.49803,14.56359,-34.97502,PRA_VIE_SB,INC_WOR_SB,UTSoftball,D1,SOLA,20260227-UTSoftball-2,7c2da270-140a-11f1-aa58-095f3f43fd85,90.9995,30.11439,,3.99798,,,,1.96188,1.34055,0.883,f9a2b23b-9a99-485e-9e53-1665865f7506,2026-02-27,18:31:08.54,2026-02-27T12:31:08.5412864-06:00,2026-02-27T18:31:08.5412864Z,,V3 - Softball,,,,"Meeks, Michelle",1000000000348,Right,PRA_VIE_SB,10a6d8c0-f4ad-47ae-a92a-56d59e9f8002,37.53142,-90.20136,7.28179,1.55415,6.46093,-17.48751,0.03496,1.3895,1.74902,143.715472,1.96177,70.95465,-10.82684,2.40446,-0.46265,0.08683,-0.01648,0.00189,-3E-05,1.34067,42.28289,-16.47636,0.87037,-0.19327,0.06767,-0.02538,0.00671,-0.00074,0.88298,-22.72369,-0.80616,0.09593,-0.02548,0.00406,-1E-05,-0.00026,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-02-27,12:31:35.71,2,1,"Stewart, Yasmyn",100000006873,Right,PRA_VIE_SB,"Caceres, Jaisy",100000005693,Right,INC_WOR_SB,Undefined,1,Top,1,0,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.48217,6.305764,0.124857,880.262947,38.907475,7:15,1.60955,-0.33247,5.84363,-35.00923,-4.08008,-3.9013,2.64147,-0.57969,58.82626,-3.214167,-0.913864,0.400272,69.823,7.994729,42.453293,2684.935451,,,,107.86476,106.68926,48.671295,1.260478,4.37748,-6.05807,0.39066,50,-0.12472,-0.70201,-94.67947,15.24691,3.92792,16.00373,-37.60999,PRA_VIE_SB,INC_WOR_SB,UTSoftball,D1,SOLA,20260227-UTSoftball-2,8c5b53e0-140a-11f1-aa58-095f3f43fd85,94.16705,6.44055,,4.65591,,,,0.80068,2.55135,0.49524,f9a2b23b-9a99-485e-9e53-1665865f7506,2026-02-27,18:31:35.71,2026-02-27T12:31:35.7192704-06:00,2026-02-27T18:31:35.7192704Z,,V3 - Softball,,,,"Meeks, Michelle",1000000000348,Right,PRA_VIE_SB,b8aed683-6ee0-48a3-ab82-cf5c7ef79b92,37.15456,-92.48271,8.00186,1.61383,10.08436,-18.805,0.33131,-0.16285,1.96396,244.404121,0.80068,74.82429,-19.35431,4.37017,-0.92579,0.17535,-0.03228,0.00518,-0.00047,2.55135,14.24296,-13.04336,-0.05619,0.18321,-0.05706,0.01568,-0.00273,0.00025,0.49524,68.4517,-3.79938,-0.03178,0.20014,-0.07946,0.02207,-0.00426,0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-02-27,12:32:00.48,2,2,"Stewart, Yasmyn",100000006873,Right,PRA_VIE_SB,"Caceres, Jaisy",100000005693,Right,INC_WOR_SB,Undefined,1,Top,1,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.64464,5.372335,-0.553058,873.053726,40.346871,7:15,1.46722,-0.17815,5.75491,-37.00356,-5.30319,-5.12473,1.75308,-0.95106,58.46434,-4.654534,-1.915142,0.405232,,,,,,,,,,,,5.46008,-6.84815,0.09241,50,-0.05372,0.27645,-93.48056,13.70046,4.80237,14.88475,-38.19731,PRA_VIE_SB,INC_WOR_SB,UTSoftball,D1,SOLA,20260227-UTSoftball-2,9b2b4a10-140a-11f1-aa58-095f3f43fd85,93.0145,,,4.1803,,,,,,,f9a2b23b-9a99-485e-9e53-1665865f7506,2026-02-27,18:32:00.48,2026-02-27T12:32:00.4836352-06:00,2026-02-27T18:32:00.4836352Z,,V3 - Softball,,,,"Meeks, Michelle",1000000000348,Right,PRA_VIE_SB,a0f242db-8f45-4199-9e6e-4c2e07480bb7,37.24364,-91.42683,7.44238,1.47302,8.43016,-19.09866,0.17627,0.93906,2.40118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-27,12:32:15.38,2,3,"Stewart, Yasmyn",100000006873,Right,PRA_VIE_SB,"Caceres, Jaisy",100000005693,Right,INC_WOR_SB,Undefined,1,Top,1,1,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,52.81603,4.033188,0.399355,760.379969,2.766951,6:00,1.49441,-0.22883,5.87522,-50.01735,-6.09677,-0.33996,-0.1559,-0.00827,50.08793,-9.509977,0.308428,0.476986,,,,,,,,,,,,0.48886,-7.15126,0.32121,50,0.13336,-0.58651,-78.9347,11.32215,0.30825,10.09705,-36.68355,PRA_VIE_SB,INC_WOR_SB,UTSoftball,D1,SOLA,20260227-UTSoftball-2,a41a1fc0-140a-11f1-aa58-095f3f43fd85,79.02217,,,2.7281,,,,,,,f9a2b23b-9a99-485e-9e53-1665865f7506,2026-02-27,18:32:15.38,2026-02-27T12:32:15.3870336-06:00,2026-02-27T18:32:15.3870336Z,,V3 - Softball,,,,"Meeks, Michelle",1000000000348,Right,PRA_VIE_SB,6bee6c0e-e01f-4633-982b-3245c9b07b22,37.12487,-77.27021,5.04852,1.50136,5.2749,-18.34178,0.22872,-0.53569,0.15413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-27,12:32:31.45,2,4,"Stewart, Yasmyn",100000006873,Right,PRA_VIE_SB,"Caceres, Jaisy",100000005693,Right,INC_WOR_SB,Undefined,1,Top,1,2,1,Curveball,,InPlay,Undefined,GroundBall,Single,0,0,,61.59352,4.794732,0.355609,1018.913179,85.362444,8:45,1.51729,-0.27102,5.66271,-32.23258,0.57295,-1.79602,1.84431,-0.19774,57.66475,-3.944741,-0.120763,0.412235,74.99855,1.879801,-31.756964,1221.138202,,,,44.00253,43.27059,-31.807151,0.407272,2.095,-0.32299,0.36371,50,0.16451,-0.79313,-91.85752,11.98833,1.78867,13.70169,-32.44983,PRA_VIE_SB,INC_WOR_SB,UTSoftball,D1,SOLA,20260227-UTSoftball-2,ad952fe0-140a-11f1-aa58-095f3f43fd85,91.43436,2.03484,,3.92877,,,,2.44691,1.88096,0.25469,f9a2b23b-9a99-485e-9e53-1665865f7506,2026-02-27,18:32:31.45,2026-02-27T12:32:31.4528768-06:00,2026-02-27T18:32:31.4528768Z,,V3 - Softball,,,,"Meeks, Michelle",1000000000348,Right,PRA_VIE_SB,87ddf51c-a1b3-479c-91b8-f90b610c0687,37.33519,-89.94857,6.85085,1.51981,7.46735,-16.22492,0.27057,-0.54392,0.89434,69.778965,2.45674,93.15584,-18.15438,,,,,,,1.88939,3.33055,-19.61687,,,,,,,0.2585,-57.98938,0.98463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-02-27,12:33:01.83,3,1,"Stewart, Yasmyn",100000006873,Right,PRA_VIE_SB,"Fuentes, Bryanna",100000005667,Right,INC_WOR_SB,Undefined,1,Top,1,0,0,Curveball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,61.91783,4.925685,-0.890855,930.983562,41.876815,7:30,1.53217,-0.10606,5.57137,-35.22234,-2.5554,-2.94016,1.70093,-0.91105,57.9645,-4.580003,-1.668497,0.411363,,,,,,,,,,,,2.95386,-3.63433,-0.06843,50,0.14827,1.0855,-92.3182,12.51906,2.54557,13.92576,-35.30603,PRA_VIE_SB,INC_WOR_SB,UTSoftball,D1,SOLA,20260227-UTSoftball-2,bfbe1510-140a-11f1-aa58-095f3f43fd85,91.62809,,,3.95333,,,,,,,f9a2b23b-9a99-485e-9e53-1665865f7506,2026-02-27,18:33:01.83,2026-02-27T12:33:01.8388992-06:00,2026-02-27T18:33:01.8388992Z,,V3 - Softball,,,,"Meeks, Michelle",1000000000348,Right,PRA_VIE_SB,5c852560-001a-485f-9fa1-362747e37464,37.42647,-90.40165,6.96288,1.53686,7.66002,-17.65302,0.10507,1.43584,1.27278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-27,12:33:17.54,3,2,"Stewart, Yasmyn",100000006873,Right,PRA_VIE_SB,"Fuentes, Bryanna",100000005667,Right,INC_WOR_SB,Undefined,1,Top,1,0,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,50.00674,7.089282,-1.740357,1530.525452,28.64535,7:00,1.4334,-0.25762,5.40467,-54.76924,-3.27307,-2.50339,1.3708,-1.5655,46.41608,-7.621679,-2.397459,0.516486,,,,,,,,,,,,2.12803,-4.99048,-0.10282,50,-0.55348,2.03336,-74.43611,14.76837,1.17449,10.29305,-34.92837,PRA_VIE_SB,INC_WOR_SB,UTSoftball,D1,SOLA,20260227-UTSoftball-2,c9266080-140a-11f1-aa58-095f3f43fd85,72.97857,,,3.59066,,,,,,,f9a2b23b-9a99-485e-9e53-1665865f7506,2026-02-27,18:33:17.54,2026-02-27T12:33:17.5414784-06:00,2026-02-27T18:33:17.5414784Z,,V3 - Softball,,,,"Meeks, Michelle",1000000000348,Right,PRA_VIE_SB,5a1c592a-d017-4cdb-91b5-67167f52a226,37.59345,-72.70029,5.14653,1.44039,8.87805,-17.46418,0.25679,2.23143,0.58725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-02-27,12:33:32.30,3,3,"Stewart, Yasmyn",100000006873,Right,PRA_VIE_SB,"Fuentes, Bryanna",100000005667,Right,INC_WOR_SB,Undefined,1,Top,1,1,1,Curveball,,InPlay,Undefined,FlyBall,Out,1,0,,62.44428,5.585815,0.577728,922.246803,49.633138,7:45,1.5391,-0.33397,5.49166,-36.11203,-3.61477,-5.17307,2.05974,-0.40113,58.02906,-4.146404,-0.787093,0.410294,63.69142,44.059949,-6.07677,,109.89463,63.9164,-4.8133,189.26679,121.93782,-1.461323,4.22598,5.87882,-5.34737,0.49864,50,0.01089,-1.57013,-93.17173,13.79163,5.11584,15.31066,-36.8274,PRA_VIE_SB,INC_WOR_SB,UTSoftball,D1,SOLA,20260227-UTSoftball-2,d1db6180-140a-11f1-aa58-095f3f43fd85,91.86701,64.18216,,4.41522,,,,3.45426,2.24823,0.37587,f9a2b23b-9a99-485e-9e53-1665865f7506,2026-02-27,18:33:32.30,2026-02-27T12:33:32.3093504-06:00,2026-02-27T18:33:32.3093504Z,,V3 - Softball,,,,"Meeks, Michelle",1000000000348,Right,PRA_VIE_SB,1bf673ce-6d6e-4100-b329-fd5aced2dba5,37.50694,-91.09565,7.65533,1.54242,8.79794,-18.4137,0.33276,-0.87644,2.55792,193.912172,3.45582,66.70582,-13.16895,3.21247,-0.22901,-0.17763,0.07423,-0.01182,0.0007,2.24615,65.0119,-19.11871,1.48301,-0.37682,0.10536,-0.01219,-0.00061,0.00014,0.37557,-7.09701,3.91796,-1.17521,0.18035,0.01595,-0.01466,0.00273,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
