PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-02-28,16:59:45.81,1,1,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Hallman, Madeline",100000004998,Left,DET_MER_SB,Undefined,1,Top,0,0,0,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.07468,3.87291,-1.206828,1458.440198,219.790474,1:15,1.49004,-0.27852,6.06054,-21.29359,5.01862,3.67697,2.12094,-0.72044,63.46534,-2.005577,-0.220158,0.36919,50.48724,-4.983873,-48.414767,2860.764566,,,,15.02853,15.02853,-41.346365,0.203177,-4.53004,4.86764,-0.02796,50,0.39249,2.67495,-101.7994,10.22281,-4.72026,17.80907,-27.10198,TEX_TEC_SB,DET_MER_SB,RockyJohnsonField,D1,B12,20260228-RockyJohnsonField-2,24dcd320-14f9-11f1-a91a-83613293f008,102.09489,2.00331,,4.60934,,,,1.36449,2.00331,0.72958,8b1655cc-4a44-432a-95be-ab8dcd53bf83,2026-02-28,22:59:45.81,2026-02-28T16:59:45.8104832-06:00,2026-02-28T22:59:45.8104832Z,,V3 - Softball,,,,"Valdez, Victoria",1000000000142,Right,TEX_TEC_SB,cbeed646-8301-4f39-9d74-849e356693e3,36.93664,-99.48781,8.90454,1.49109,6.70502,-13.55099,0.27948,2.06227,-2.36013,275.388607,1.36411,48.98707,-0.83463,,,,,,,2.00401,-6.47849,-16.67607,,,,,,,0.72884,-55.12775,13.19284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-02-28,17:00:07.64,1,2,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Hallman, Madeline",100000004998,Left,DET_MER_SB,Undefined,1,Top,0,0,1,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.47535,4.657159,0.17761,1508.767796,216.896127,1:15,1.51235,-0.1756,5.70415,-21.88273,5.25894,3.34823,2.6116,0.21464,62.45912,-1.372805,1.066895,0.374964,,,,,,,,,,,,-3.53945,4.53,0.19366,50,0.28383,0.09758,-102.6976,11.53346,-3.64992,22.45583,-27.50264,TEX_TEC_SB,DET_MER_SB,RockyJohnsonField,D1,B12,20260228-RockyJohnsonField-2,31e46560-14f9-11f1-a91a-83613293f008,100.5228,,,6.01623,,,,,,,8b1655cc-4a44-432a-95be-ab8dcd53bf83,2026-02-28,23:00:07.64,2026-02-28T17:00:07.6444160-06:00,2026-02-28T23:00:07.6444160Z,,V3 - Softball,,,,"Valdez, Victoria",1000000000142,Right,TEX_TEC_SB,5e643d8a-9604-4cef-9361-7d2b9ecad94c,37.289,-99.87955,11.22791,1.51464,8.08207,-13.75132,0.17717,-0.36047,-1.82496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-02-28,17:00:22.52,1,3,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Hallman, Madeline",100000004998,Left,DET_MER_SB,Undefined,1,Top,0,0,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,68.36778,5.588973,0.391785,1442.745018,216.404168,1:15,1.49401,-0.20247,5.45213,-22.75446,5.01422,3.07898,3.13357,0.30117,62.09114,-0.634267,1.20334,0.37927,,,,,,,,,,,,-3.10925,3.80107,0.26976,50,0.08661,-0.33723,-102.36847,13.17237,-3.17658,22.75,-28.29069,TEX_TEC_SB,DET_MER_SB,RockyJohnsonField,D1,B12,20260228-RockyJohnsonField-2,3ac160c0-14f9-11f1-a91a-83613293f008,99.3815,,,6.27663,,,,,,,8b1655cc-4a44-432a-95be-ab8dcd53bf83,2026-02-28,23:00:22.52,2026-02-28T17:00:22.5210000-06:00,2026-02-28T23:00:22.5210000Z,,V3 - Softball,,,,"Valdez, Victoria",1000000000142,Right,TEX_TEC_SB,9f657676-c47e-4be1-8806-2b9c3a01499c,37.54048,-99.56101,11.375,1.49672,9.68117,-14.14534,0.20396,-0.72923,-1.58829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.07221,1.759775,0.876083,0.883691,-2.59686,3.06192,-0.38862,-4.09162,4.92106,-1.7285,51.38539,3.11182,-30.97729,-4.0838,67.1111,-4.94483,4.94425,12.95701,-17.11666,-1.73883,-36.65754,4.08501,High,High,High,,,Medium,High,High
4,2026-02-28,17:00:43.50,2,1,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Davis, Jada",100000004992,Right,DET_MER_SB,Undefined,1,Top,1,0,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.01216,3.959484,-0.916215,1518.700425,282.666054,3:30,1.50103,-0.39542,6.02119,-26.14017,-0.32095,4.32276,1.78447,-0.60391,63.97725,-3.222382,0.242698,0.365715,,,,,,,,,,,,-5.12193,-1.18957,0.15339,50,0.35497,2.25732,-103.3755,11.14325,-5.45386,19.80537,-33.44071,TEX_TEC_SB,DET_MER_SB,RockyJohnsonField,D1,B12,20260228-RockyJohnsonField-2,47406210-14f9-11f1-a91a-83613293f008,103.06499,,,5.03491,,,,,,,8b1655cc-4a44-432a-95be-ab8dcd53bf83,2026-02-28,23:00:43.50,2026-02-28T17:00:43.5000832-06:00,2026-02-28T23:00:43.5000832Z,,V3 - Softball,,,,"Valdez, Victoria",1000000000142,Right,TEX_TEC_SB,688a935f-2c16-410a-8959-5cb49fac28bb,36.97552,-100.84932,9.90269,1.50427,6.87788,-16.72035,0.39695,1.56168,-2.72693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-02-28,17:00:56.36,2,2,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Davis, Jada",100000004992,Right,DET_MER_SB,Undefined,1,Top,1,0,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.7993,6.164631,0.771888,1375.81675,210.008899,1:00,1.53011,-0.45273,5.69438,-20.4947,6.60166,3.34855,3.69895,0.30984,62.47294,0.512115,1.660228,0.374651,,,,,,,,,,,,-3.29886,5.33418,0.60283,50,-0.0254,-0.97405,-102.952,14.11439,-3.40966,22.97301,-26.66073,TEX_TEC_SB,DET_MER_SB,RockyJohnsonField,D1,B12,20260228-RockyJohnsonField-2,4eedb710-14f9-11f1-a91a-83613293f008,100.60687,,,6.32637,,,,,,,8b1655cc-4a44-432a-95be-ab8dcd53bf83,2026-02-28,23:00:56.36,2026-02-28T17:00:56.3677696-06:00,2026-02-28T23:00:56.3677696Z,,V3 - Softball,,,,"Valdez, Victoria",1000000000142,Right,TEX_TEC_SB,2be46976-3735-4852-bd68-7bd0e36e585c,37.29827,-100.07757,11.48651,1.53193,10.77855,-13.33037,0.45427,-1.40067,-1.70483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-02-28,17:01:10.89,2,3,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Davis, Jada",100000004992,Right,DET_MER_SB,Undefined,1,Top,1,1,1,Curveball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,68.27414,5.428532,0.844768,1419.076021,220.508469,1:15,1.50484,-0.56623,5.93611,-20.56163,6.20662,4.70433,3.17931,0.35142,62.78726,-0.257274,2.10158,0.372376,,,,,,,,,,,,-4.88756,5.50492,0.72299,50,0.07794,-0.8827,-102.10589,12.82643,-5.04433,20.31951,-26.49254,TEX_TEC_SB,DET_MER_SB,RockyJohnsonField,D1,B12,20260228-RockyJohnsonField-2,57965c00-14f9-11f1-a91a-83613293f008,101.22153,,,5.48688,,,,,,,8b1655cc-4a44-432a-95be-ab8dcd53bf83,2026-02-28,23:01:10.89,2026-02-28T17:01:10.8914688-06:00,2026-02-28T23:01:10.8914688Z,,V3 - Softball,,,,"Valdez, Victoria",1000000000142,Right,TEX_TEC_SB,73e31c3b-2842-48a4-b6f4-a3ba332c7eda,37.05842,-99.49713,10.15975,1.50634,9.42513,-13.24627,0.56809,-1.53033,-2.52217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-02-28,17:01:25.72,2,4,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Davis, Jada",100000004992,Right,DET_MER_SB,Undefined,1,Top,1,1,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.45183,5.938736,-1.031052,1430.657943,202.413117,12:45,1.53537,-0.62108,5.84833,-19.71611,7.10811,2.64024,3.61024,-1.04419,62.82919,0.49606,-0.327419,0.372765,,,,,,,,,,,,-3.23756,6.28233,0.37154,50,0.01074,2.1829,-102.24122,13.61726,-3.35027,20.37426,-25.67304,TEX_TEC_SB,DET_MER_SB,RockyJohnsonField,D1,B12,20260228-RockyJohnsonField-2,606eea90-14f9-11f1-a91a-83613293f008,101.11583,,,5.62264,,,,,,,8b1655cc-4a44-432a-95be-ab8dcd53bf83,2026-02-28,23:01:25.72,2026-02-28T17:01:25.7257984-06:00,2026-02-28T23:01:25.7257984Z,,V3 - Softball,,,,"Valdez, Victoria",1000000000142,Right,TEX_TEC_SB,3b9ba2e4-e5ec-44e3-bd33-e5cc07eb15b6,37.1456,-99.64673,10.18713,1.53663,10.34801,-12.83652,0.62235,1.75627,-1.67514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-02-28,17:01:39.68,2,5,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Davis, Jada",100000004992,Right,DET_MER_SB,Undefined,1,Top,1,2,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.09246,6.926194,0.375258,1429.055385,235.525121,1:45,1.49804,-0.41837,5.79792,-23.22056,4.47091,5.25823,3.9102,0.2542,61.49616,0.52524,1.77338,0.378743,,,,,,,,,,,,-5.49359,2.68957,0.47,50,-0.26179,-0.03062,-101.87605,15.70068,-5.52704,23.37937,-29.4681,TEX_TEC_SB,DET_MER_SB,RockyJohnsonField,D1,B12,20260228-RockyJohnsonField-2,68c72590-14f9-11f1-a91a-83613293f008,99.51991,,,6.5963,,,,,,,8b1655cc-4a44-432a-95be-ab8dcd53bf83,2026-02-28,23:01:39.68,2026-02-28T17:01:39.6854784-06:00,2026-02-28T23:01:39.6854784Z,,V3 - Softball,,,,"Valdez, Victoria",1000000000142,Right,TEX_TEC_SB,686ad7f9-0e80-403b-911f-56c2408af990,37.19428,-98.89363,11.68969,1.50132,11.94154,-14.73405,0.42112,-0.73568,-2.76352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-02-28,17:01:53.51,2,6,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Davis, Jada",100000004992,Right,DET_MER_SB,Undefined,1,Top,1,3,2,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.86375,5.225037,-0.9359,1457.641353,304.802762,4:15,1.49597,-0.4415,5.76453,-27.4849,-0.85161,2.29819,2.48155,-0.83511,63.12736,-2.282688,-0.324855,0.371436,59.59323,26.481376,128.027962,2903.987448,,,,,26.02143,,,-2.86154,-2.35197,0.21655,50,0.08948,1.98811,-103.14452,13.41404,-2.99649,21.62489,-34.63694,TEX_TEC_SB,DET_MER_SB,RockyJohnsonField,D1,B12,20260228-RockyJohnsonField-2,70f93af0-14f9-11f1-a91a-83613293f008,101.4777,12.57802,,5.73639,,,,0.07432,2.39246,0.84104,8b1655cc-4a44-432a-95be-ab8dcd53bf83,2026-02-28,23:01:53.51,2026-02-28T17:01:53.5165440-06:00,2026-02-28T23:01:53.5165440Z,,V3 - Softball,,,,"Valdez, Victoria",1000000000142,Right,TEX_TEC_SB,c19dcf5b-eecd-4462-8767-98545f996745,37.23165,-100.43189,10.81244,1.49963,9.06917,-17.31847,0.44236,1.61222,-1.49824,,0.0789,-48.37761,-0.80425,,,,,,,2.40013,38.67076,-25.68955,,,,,,,0.84651,61.4096,-13.3378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-02-28,17:02:13.38,2,7,"Terry, Kaitlyn",100000002720,Left,TEX_TEC_SB,"Davis, Jada",100000004992,Right,DET_MER_SB,Undefined,1,Top,1,3,2,Dropball,,BallCalled,Walk,Undefined,Undefined,0,0,,68.81167,1.507911,0.288706,1288.871732,342.702968,5:30,1.43445,-0.50872,4.69871,-31.75797,-3.89689,1.43473,-0.24109,-0.2033,64.16412,-6.869054,0.660509,0.379901,,,,,,,,,,,,-1.43268,-4.38756,0.55855,50,0.90171,-0.34497,-103.09148,6.77744,-1.51659,19.75629,-36.81853,TEX_TEC_SB,DET_MER_SB,RockyJohnsonField,D1,B12,20260228-RockyJohnsonField-2,7ccd7d50-14f9-11f1-a91a-83613293f008,99.21647,,,4.64754,,,,,,,8b1655cc-4a44-432a-95be-ab8dcd53bf83,2026-02-28,23:02:13.38,2026-02-28T17:02:13.3808640-06:00,2026-02-28T23:02:13.3808640Z,,V3 - Softball,,,,"Valdez, Victoria",1000000000142,Right,TEX_TEC_SB,2c565401-275f-4a87-a720-aeca4fda6888,38.29975,-100.82433,9.87815,1.43703,2.5523,-18.40927,0.50898,-0.51901,-0.7583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
