PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-01,12:48:45.12,1,1,"Hames, Lexie",1000000000645,Right,CLE_TIG_SB,"Stiles, Morgan",100000002249,Right,MIS_STA_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.57316,2.618927,-3.204204,1118.858074,16.840834,6:30,2.06257,0.62168,5.77463,-28.90301,-1.51374,-0.6737,1.29447,-1.43912,62.72411,-5.249481,-3.383254,0.37667,,,,,,,,,,,,-0.33331,-2.10819,-1.33178,50,1.22253,5.57846,-101.24718,8.79379,-0.33909,19.59515,-34.31887,CLE_TIG_SB,MIS_STA_SB,McWhorterStadium,D1,ACC,20260301-McWhorterStadium-1,e505b430-1596-11f1-b2f9-dd1b2661d563,100.06742,,,4.84905,,,,,,,3d5be271-5cf8-4f07-8fce-775418c107a1,2026-03-01,17:48:45.12,2026-03-01T12:48:45.1218432-05:00,2026-03-01T17:48:45.1218432Z,,V3 - Softball,,,,"Minish, Sam",100000002693,Left,CLE_TIG_SB,aad803a8-1d00-46fe-8690-fbbf6dee808a,37.22241,-98.74328,9.79758,2.06604,4.40845,-17.15944,-0.62172,5.53513,-0.16955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-01,12:49:00.92,1,2,"Hames, Lexie",1000000000645,Right,CLE_TIG_SB,"Stiles, Morgan",100000002249,Right,MIS_STA_SB,Undefined,1,Top,0,1,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.86885,7.104662,-0.439121,1342.280014,126.034855,10:15,2.03335,0.53592,5.31804,-23.42997,7.83146,-9.50032,4.60108,-0.53372,58.79836,0.710106,-2.931288,0.402417,,,,,,,,,,,,9.84666,6.17981,-0.57632,50,0.30274,-0.30232,-96.82182,15.13642,8.99923,20.3515,-26.52611,CLE_TIG_SB,MIS_STA_SB,McWhorterStadium,D1,ACC,20260301-McWhorterStadium-1,ee7e5350-1596-11f1-b2f9-dd1b2661d563,93.66523,,,6.07049,,,,,,,3d5be271-5cf8-4f07-8fce-775418c107a1,2026-03-01,17:49:00.92,2026-03-01T12:49:00.9217536-05:00,2026-03-01T17:49:00.9217536Z,,V3 - Softball,,,,"Minish, Sam",100000002693,Left,CLE_TIG_SB,9d319450-3aca-4835-8ee9-e1813eb17a0e,37.67499,-94.19554,10.17575,2.03517,11.71333,-13.26305,-0.5404,0.85899,4.49962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-01,12:49:18.21,1,3,"Hames, Lexie",1000000000645,Right,CLE_TIG_SB,"Stiles, Morgan",100000002249,Right,MIS_STA_SB,Undefined,1,Top,0,2,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.18586,7.881618,-1.499467,1228.780636,21.503591,6:45,2.07044,0.59758,5.70773,-32.90584,-2.99398,-1.48339,4.29642,-0.46514,59.87388,-1.020695,-1.892059,0.393635,,,,,,,,,,,,1.12106,-5.23233,-0.92019,50,0.03161,2.35572,-96.8784,17.8574,1.04805,17.43846,-37.06556,CLE_TIG_SB,MIS_STA_SB,McWhorterStadium,D1,ACC,20260301-McWhorterStadium-1,f8cf02f0-1596-11f1-b2f9-dd1b2661d563,95.75489,,,5.31198,,,,,,,3d5be271-5cf8-4f07-8fce-775418c107a1,2026-03-01,17:49:18.21,2026-03-01T12:49:18.2179328-05:00,2026-03-01T17:49:18.2179328Z,,V3 - Softball,,,,"Minish, Sam",100000002693,Left,CLE_TIG_SB,46ef4a94-8645-4dd4-a9dd-9ee7a818f2fe,37.28885,-94.56267,8.71923,2.07616,12.9353,-18.53278,-0.59813,2.4949,0.52403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-01,12:49:38.36,1,4,"Hames, Lexie",1000000000645,Right,CLE_TIG_SB,"Stiles, Morgan",100000002249,Right,MIS_STA_SB,Undefined,1,Top,0,3,0,Curveball,,BallCalled,Walk,Undefined,Undefined,0,0,,65.71249,1.201865,-1.556167,1045.775192,19.318535,6:45,1.93276,0.59352,5.29926,-32.64222,-2.87099,-1.29382,-0.02592,-0.50003,60.9931,-7.561668,-1.896906,0.392708,,,,,,,,,,,,0.82992,-2.88244,-0.91957,50,1.42472,2.52861,-98.65929,6.27106,0.79701,19.45007,-34.94219,CLE_TIG_SB,MIS_STA_SB,McWhorterStadium,D1,ACC,20260301-McWhorterStadium-1,04c59a60-1597-11f1-b2f9-dd1b2661d563,95.98082,,,4.71939,,,,,,,3d5be271-5cf8-4f07-8fce-775418c107a1,2026-03-01,17:49:38.36,2026-03-01T12:49:38.3642624-05:00,2026-03-01T17:49:38.3642624Z,,V3 - Softball,,,,"Minish, Sam",100000002693,Left,CLE_TIG_SB,f7e8f7dd-baa6-40e4-83a5-dd1834a506bc,37.69703,-96.20326,9.72504,1.93802,1.8588,-17.47109,-0.59392,2.62925,0.3985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-01,12:51:01.17,2,1,"Hames, Lexie",1000000000645,Right,CLE_TIG_SB,"Barbary, Nadia",100000002243,Right,MIS_STA_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.9868,6.776122,-2.007147,1103.963758,43.146481,7:30,2.11023,0.58165,5.83502,-30.99742,-1.8691,-2.5291,3.77735,-0.88194,60.23756,-1.684825,-2.679205,0.388445,,,,,,,,,,,,2.01965,-3.89634,-1.01434,50,0.31736,3.14185,-98.54089,15.98709,1.92678,19.99607,-35.89127,CLE_TIG_SB,MIS_STA_SB,McWhorterStadium,D1,ACC,20260301-McWhorterStadium-1,362622f0-1597-11f1-b2f9-dd1b2661d563,97.03425,,,5.74925,,,,,,,3d5be271-5cf8-4f07-8fce-775418c107a1,2026-03-01,17:51:01.17,2026-03-01T12:51:01.1726848-05:00,2026-03-01T17:51:01.1726848Z,,V3 - Softball,,,,"Minish, Sam",100000002693,Left,CLE_TIG_SB,78f06975-c381-4551-9f27-1d64a542d09e,37.16044,-95.90008,9.99804,2.11571,11.24706,-17.94564,-0.58261,3.39632,0.96339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-01,12:51:20.16,2,2,"Hames, Lexie",1000000000645,Right,CLE_TIG_SB,"Barbary, Nadia",100000002243,Right,MIS_STA_SB,Undefined,1,Top,0,1,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.98247,10.35517,-1.091053,1264.648876,118.772635,10:00,2.06889,0.43925,5.72105,-25.47179,5.75811,-8.69855,6.5004,-0.96862,58.09887,3.393338,-3.391941,0.402214,,,,,,,,,,,,8.60827,2.67429,-0.6391,50,-0.47618,0.92286,-96.28794,20.99675,7.7126,21.29594,-29.77799,CLE_TIG_SB,MIS_STA_SB,McWhorterStadium,D1,ACC,20260301-McWhorterStadium-1,41805350-1597-11f1-b2f9-dd1b2661d563,93.71249,,,6.8836,,,,,,,3d5be271-5cf8-4f07-8fce-775418c107a1,2026-03-01,17:51:20.16,2026-03-01T12:51:20.1655296-05:00,2026-03-01T17:51:20.1655296Z,,V3 - Softball,,,,"Minish, Sam",100000002693,Left,CLE_TIG_SB,142bfd1d-5e00-41b5-ac8e-8949f276e257,37.26736,-93.42944,10.64797,2.0739,16.99972,-14.889,-0.44575,1.95811,3.8563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-01,12:51:50.99,2,3,"Hames, Lexie",1000000000645,Right,CLE_TIG_SB,"Barbary, Nadia",100000002243,Right,MIS_STA_SB,Undefined,1,Top,0,2,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.5643,8.953879,-2.288429,932.279528,55.60471,7:45,2.04605,0.49351,5.5284,-36.47833,-2.22532,-4.60264,4.69153,-1.33087,56.17216,-0.865852,-3.497458,0.421232,,,,,,,,,,,,4.13725,-4.77815,-0.96544,50,-0.22523,3.14316,-91.26484,18.89192,3.41104,16.24617,-36.11347,CLE_TIG_SB,MIS_STA_SB,McWhorterStadium,D1,ACC,20260301-McWhorterStadium-1,53e04e10-1597-11f1-b2f9-dd1b2661d563,89.48151,,,5.39214,,,,,,,3d5be271-5cf8-4f07-8fce-775418c107a1,2026-03-01,17:51:50.99,2026-03-01T12:51:50.9953024-05:00,2026-03-01T17:51:50.9953024Z,,V3 - Softball,,,,"Minish, Sam",100000002693,Left,CLE_TIG_SB,7c48813d-5a76-4503-844f-8460d75f41ff,37.46764,-89.00599,8.12309,2.05242,13.87073,-18.05674,-0.49545,3.61743,1.70552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-01,12:52:13.83,2,4,"Hames, Lexie",1000000000645,Right,CLE_TIG_SB,"Barbary, Nadia",100000002243,Right,MIS_STA_SB,Undefined,1,Top,0,3,0,Curveball,,BallCalled,Walk,Undefined,Undefined,0,0,,65.02667,8.308145,-1.926007,1146.323067,36.195651,7:15,2.00967,0.63821,5.63677,-34.08112,-3.5339,-3.23047,4.42181,-0.83981,59.11758,-0.907209,-2.778413,0.397793,,,,,,,,,,,,2.75532,-6.13658,-1.04322,50,-0.11174,2.87962,-96.72819,18.57646,2.53337,19.23779,-37.81631,CLE_TIG_SB,MIS_STA_SB,McWhorterStadium,D1,ACC,20260301-McWhorterStadium-1,617be2f0-1597-11f1-b2f9-dd1b2661d563,94.75383,,,5.90909,,,,,,,3d5be271-5cf8-4f07-8fce-775418c107a1,2026-03-01,17:52:13.83,2026-03-01T12:52:13.8389504-05:00,2026-03-01T17:52:13.8389504Z,,V3 - Softball,,,,"Minish, Sam",100000002693,Left,CLE_TIG_SB,fb9a8b10-bbbd-4f26-80d5-d363c81cc875,37.35874,-94.18048,9.61889,2.01677,13.56835,-18.90816,-0.63965,3.21512,1.26669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-01,12:54:34.44,3,1,"Crosby, Keira",1000000000644,Right,CLE_TIG_SB,"Sells, Kiarra",100000002242,Right,MIS_STA_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.43881,3.394248,-0.796776,1282.83255,100.393304,9:15,1.62878,0.86451,6.44322,-26.88379,2.09327,-7.32449,1.47283,-0.23456,59.70604,-4.102123,-2.784109,0.387435,,,,,,,,,,,,8.05831,1.7902,-0.98981,50,0.55482,0.34449,-96.7686,9.79639,7.47405,18.1771,-30.51365,CLE_TIG_SB,MIS_STA_SB,McWhorterStadium,D1,ACC,20260301-McWhorterStadium-1,b5492230-1597-11f1-b2f9-dd1b2661d563,97.28715,,,4.73277,,,,,,,3d5be271-5cf8-4f07-8fce-775418c107a1,2026-03-01,17:54:34.44,2026-03-01T12:54:34.4458240-05:00,2026-03-01T17:54:34.4458240Z,,V3 - Softball,,,,"Minish, Sam",100000002693,Left,CLE_TIG_SB,30db92cb-16f2-450b-915e-277af2c6424d,36.55289,-94.20882,9.08855,1.63182,5.49933,-15.25682,-0.86719,1.39702,3.73702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-01,12:54:50.50,3,2,"Crosby, Keira",1000000000644,Right,CLE_TIG_SB,"Sells, Kiarra",100000002242,Right,MIS_STA_SB,Undefined,1,Top,0,1,0,Curveball,,InPlay,Undefined,LineDrive,Single,0,0,,63.67476,3.799209,-0.639179,1289.368069,100.40896,9:15,1.65475,1.01552,6.46817,-27.55805,2.20362,-7.6243,1.69026,-0.01159,58.75401,-3.900607,-2.709739,0.392645,76.2161,10.524286,-23.84794,819.235104,,,,113.79039,111.87472,-28.329165,1.188621,8.50859,1.67441,-1.0996,50,0.4747,0.02457,-95.70666,10.47473,7.67498,18.55479,-30.66367,CLE_TIG_SB,MIS_STA_SB,McWhorterStadium,D1,ACC,20260301-McWhorterStadium-1,bece6b80-1597-11f1-b2f9-dd1b2661d563,95.99619,7.04223,,4.92075,,,,0.98052,1.685,0.03155,3d5be271-5cf8-4f07-8fce-775418c107a1,2026-03-01,17:54:50.50,2026-03-01T12:54:50.5060352-05:00,2026-03-01T17:54:50.5060352Z,,V3 - Softball,,,,"Minish, Sam",100000002693,Left,CLE_TIG_SB,c48cc18b-aca5-4716-9b14-e520068135c9,36.52833,-93.05824,9.2774,1.65745,6.09795,-15.33183,-1.01791,1.12006,3.83749,84.8114,0.98052,100.51963,-17.28047,3.06356,-0.59669,0.07948,-0.01061,0.00128,-6E-05,1.685,20.4175,-20.51101,2.18796,-0.40731,0.08253,-0.01394,0.00243,-0.00029,0.03155,-44.43494,-2.55495,2.03331,-0.67671,0.1786,-0.03996,0.00744,-0.00076,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
