PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-01,12:05:01.61,1,1,"Crandall, RyLee",100000001087,Right,OKL_STA_SB,"Vike, Emma",1000000001613,Right,SOU_DAK_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.58283,5.321643,-3.83378,1098.767687,111.012429,9:45,1.74968,0.74523,4.61926,-28.91411,3.06646,-6.07221,2.79103,-2.23783,60.10541,-2.307331,-5.389752,0.407019,,,,,,,,,,,,5.18378,2.07055,-1.48923,50,0.45975,5.77083,-95.91251,12.41054,4.79952,15.67375,-30.25697,OKL_STA_SB,SOU_DAK_SB,OKStateSoftball,D1,B12,20260301-OKStateSoftball-1,2b04caf0-1599-11f1-a150-cb0d5be04609,92.60614,,,4.47743,,,,,,,2d88e006-64cf-49e4-8ea5-2be9532f6ce7,2026-03-01,18:05:01.61,2026-03-01T12:05:01.6164352-06:00,2026-03-01T18:05:01.6164352Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,ab9e2ff8-34a0-4218-b827-dbf4774d9628,38.37731,-93.99397,7.83688,1.75219,8.70695,-15.12848,-0.7469,6.35831,2.39976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-01,12:05:16.71,1,2,"Crandall, RyLee",100000001087,Right,OKL_STA_SB,"Vike, Emma",1000000001613,Right,SOU_DAK_SB,Undefined,1,Top,0,1,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.67464,4.241074,-2.295299,2100.144438,111.896741,9:45,1.81736,0.84427,4.82096,-29.08817,3.48272,-6.60772,2.1217,-1.17988,58.97824,-3.511493,-4.004696,0.410758,,,,,,,,,,,,6.22244,2.72788,-1.27806,50,0.7251,3.08298,-95.06894,10.57083,5.59849,16.87421,-29.71971,OKL_STA_SB,SOU_DAK_SB,OKStateSoftball,D1,B12,20260301-OKStateSoftball-1,34021f90-1599-11f1-a150-cb0d5be04609,91.76313,,,4.69641,,,,,,,2d88e006-64cf-49e4-8ea5-2be9532f6ce7,2026-03-01,18:05:16.71,2026-03-01T12:05:16.7148032-06:00,2026-03-01T18:05:16.7148032Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,d39e8699-fb02-4244-8a7e-81869759648c,38.17565,-92.9465,8.4371,1.81961,6.83267,-14.85985,-0.846,3.78716,2.79925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-01,12:05:31.95,1,3,"Crandall, RyLee",100000001087,Right,OKL_STA_SB,"Vike, Emma",1000000001613,Right,SOU_DAK_SB,Undefined,1,Top,0,1,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.08971,4.521559,-2.770409,1201.699697,134.389803,10:30,1.76765,0.84315,4.63579,-26.41064,5.96744,-5.30851,2.49201,-1.38714,59.55159,-2.487342,-4.135622,0.409541,,,,,,,,,,,,4.70819,5.27847,-1.37503,50,0.65445,4.04128,-95.45183,10.73186,4.30185,16.01492,-27.35115,OKL_STA_SB,SOU_DAK_SB,OKStateSoftball,D1,B12,20260301-OKStateSoftball-1,3d151f10-1599-11f1-a150-cb0d5be04609,92.0359,,,4.53812,,,,,,,2d88e006-64cf-49e4-8ea5-2be9532f6ce7,2026-03-01,18:05:31.95,2026-03-01T12:05:31.9559680-06:00,2026-03-01T18:05:31.9559680Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,af6baa60-936a-4026-b032-4bf1a0b99914,38.36064,-93.47858,8.00746,1.76914,7.36184,-13.67558,-0.84443,4.57132,2.15093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-01,12:05:49.23,1,4,"Crandall, RyLee",100000001087,Right,OKL_STA_SB,"Vike, Emma",1000000001613,Right,SOU_DAK_SB,Undefined,1,Top,0,2,1,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.03413,4.512428,-0.245144,1196.455486,21.687072,6:45,1.76147,0.50749,4.76394,-34.46774,-2.5941,-1.31201,1.79497,0.24062,59.98687,-4.587838,-0.584775,0.406338,,,,,,,,,,,,1.32358,-3.65544,-0.54947,50,0.58182,0.25878,-95.39057,11.71068,1.22013,14.60937,-35.54376,OKL_STA_SB,SOU_DAK_SB,OKStateSoftball,D1,B12,20260301-OKStateSoftball-1,476336a0-1599-11f1-a150-cb0d5be04609,92.76132,,,4.04726,,,,,,,2d88e006-64cf-49e4-8ea5-2be9532f6ce7,2026-03-01,18:05:49.23,2026-03-01T12:05:49.2325376-06:00,2026-03-01T18:05:49.2325376Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,57748f2e-cf87-40ab-b67a-5fe36fc78d4e,38.23452,-93.5713,7.30468,1.76453,7.2845,-17.77188,-0.50778,0.41072,0.61007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-01,12:06:15.45,1,5,"Crandall, RyLee",100000001087,Right,OKL_STA_SB,"Vike, Emma",1000000001613,Right,SOU_DAK_SB,Undefined,1,Top,0,2,2,Curveball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,64.82431,5.299114,-2.285232,2198.716074,107.528062,9:30,1.79251,0.75943,4.81961,-28.46781,3.07795,-7.19863,2.8328,-1.30755,59.85445,-2.28572,-4.145762,0.404243,,,,,,,,,,,,6.81126,1.94748,-1.18866,50,0.48628,3.06077,-96.64523,12.45614,6.32823,17.54636,-30.36467,OKL_STA_SB,SOU_DAK_SB,OKStateSoftball,D1,B12,20260301-OKStateSoftball-1,57039c30-1599-11f1-a150-cb0d5be04609,93.24214,,,4.96986,,,,,,,2d88e006-64cf-49e4-8ea5-2be9532f6ce7,2026-03-01,18:06:15.45,2026-03-01T12:06:15.4540000-06:00,2026-03-01T18:06:15.4540000Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,edb24f19-ee86-4ae7-a15b-dcecb9f5178a,38.17675,-94.47428,8.77318,1.79501,8.69924,-15.18233,-0.76153,3.84374,3.16411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.29609,2.203221,1.221581,0.981641,-1.01655,2.72374,1.48654,-3.01512,5.56905,3.43944,46.89375,4.11162,35.45803,-2.98027,55.21276,-4.52604,5.5869,11.70688,-13.47925,3.45017,34.01498,-1.44659,High,High,High,,,High,High,High
6,2026-03-01,12:06:41.16,2,1,"Crandall, RyLee",100000001087,Right,OKL_STA_SB,"Riebel, Bria",1000000001628,Right,SOU_DAK_SB,Undefined,1,Top,1,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.96156,4.655327,-1.36223,1221.766052,115.502255,9:45,1.77163,0.79214,4.63656,-27.36584,4.09051,-7.00004,2.50058,-0.66979,60.35537,-2.599592,-3.165828,0.403669,,,,,,,,,,,,6.92914,3.24642,-1.02716,50,0.62673,1.52511,-96.83482,11.20965,6.51641,16.47134,-29.121,OKL_STA_SB,SOU_DAK_SB,OKStateSoftball,D1,B12,20260301-OKStateSoftball-1,66576860-1599-11f1-a150-cb0d5be04609,93.37461,,,4.60619,,,,,,,2d88e006-64cf-49e4-8ea5-2be9532f6ce7,2026-03-01,18:06:41.16,2026-03-01T12:06:41.1654144-06:00,2026-03-01T18:06:41.1654144Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,f7a822d6-c945-4579-a41a-7f72bc2e7df6,38.36048,-94.8343,8.23567,1.77341,7.67277,-14.5605,-0.79387,2.31656,3.25821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-01,12:06:55.70,2,2,"Crandall, RyLee",100000001087,Right,OKL_STA_SB,"Riebel, Bria",1000000001628,Right,SOU_DAK_SB,Undefined,1,Top,1,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.70193,6.555767,-3.185155,1289.741574,130.126739,10:15,1.80775,0.76511,4.89495,-26.24045,6.59666,-6.81658,3.84386,-1.84461,58.49477,-0.471041,-4.946192,0.412433,,,,,,,,,,,,6.05729,5.20996,-1.38786,50,0.23863,4.54027,-94.72822,14.1103,5.38563,17.37142,-27.54179,OKL_STA_SB,SOU_DAK_SB,OKStateSoftball,D1,B12,20260301-OKStateSoftball-1,6f078760-1599-11f1-a150-cb0d5be04609,91.39038,,,5.20716,,,,,,,2d88e006-64cf-49e4-8ea5-2be9532f6ce7,2026-03-01,18:06:55.70,2026-03-01T12:06:55.7047296-06:00,2026-03-01T18:06:55.7047296Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,15615782-5812-45e0-8a94-a1adf5358e6c,38.10008,-92.52027,8.68571,1.80961,10.60965,-13.7709,-0.76728,5.2248,2.69282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-01,12:07:13.77,2,3,"Crandall, RyLee",100000001087,Right,OKL_STA_SB,"Riebel, Bria",1000000001628,Right,SOU_DAK_SB,Undefined,1,Top,1,1,1,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.21791,4.566065,0.763082,1228.313421,18.034129,6:30,1.75562,0.56637,4.74963,-33.67352,-2.90433,-1.16866,1.89137,0.95958,61.04472,-4.319944,0.46071,0.399236,,,,,,,,,,,,1.44453,-3.95146,-0.40264,50,0.57494,-1.42747,-97.13669,11.89035,1.38052,15.18089,-35.95038,OKL_STA_SB,SOU_DAK_SB,OKStateSoftball,D1,B12,20260301-OKStateSoftball-1,79c43f40-1599-11f1-a150-cb0d5be04609,94.41147,,,4.17319,,,,,,,2d88e006-64cf-49e4-8ea5-2be9532f6ce7,2026-03-01,18:07:13.77,2026-03-01T12:07:13.7788416-06:00,2026-03-01T18:07:13.7788416Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,16386182-7c8e-4d9f-9e11-4339b8d787a1,38.24865,-95.28245,7.59044,1.75909,7.49925,-17.97519,-0.5667,-1.25886,0.69026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-01,12:07:34.41,2,4,"Crandall, RyLee",100000001087,Right,OKL_STA_SB,"Riebel, Bria",1000000001628,Right,SOU_DAK_SB,Undefined,1,Top,1,1,2,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.48473,3.028435,-2.490573,1220.231381,116.070313,9:45,1.78001,0.85761,4.51893,-27.72379,4.44823,-7.44508,1.43246,-1.37496,59.94657,-4.300855,-4.401406,0.408235,,,,,,,,,,,,6.96926,4.05815,-1.3157,50,0.97674,3.38383,-96.31091,8.37509,6.44836,17.03993,-28.41919,OKL_STA_SB,SOU_DAK_SB,OKStateSoftball,D1,B12,20260301-OKStateSoftball-1,8612e1c0-1599-11f1-a150-cb0d5be04609,92.33018,,,4.53816,,,,,,,2d88e006-64cf-49e4-8ea5-2be9532f6ce7,2026-03-01,18:07:34.41,2026-03-01T12:07:34.4121856-06:00,2026-03-01T18:07:34.4121856Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,37a9cf1b-1350-4346-924e-268602a17977,38.47798,-94.25032,8.51996,1.78173,4.93844,-14.20959,-0.85935,4.16361,3.22418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-01,12:07:51.70,2,5,"Crandall, RyLee",100000001087,Right,OKL_STA_SB,"Riebel, Bria",1000000001628,Right,SOU_DAK_SB,Undefined,1,Top,1,2,2,Curveball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,65.08467,4.399181,-1.046668,1201.230172,106.468447,9:30,1.75253,0.74773,4.64153,-28.08576,3.35807,-8.66024,2.25451,-0.64887,60.24449,-3.055708,-3.279257,0.403589,,,,,,,,,,,,8.73347,2.48437,-0.90974,50,0.65706,0.82095,-97.18199,10.86675,8.21582,17.54877,-29.83691,OKL_STA_SB,SOU_DAK_SB,OKStateSoftball,D1,B12,20260301-OKStateSoftball-1,905fc0d0-1599-11f1-a150-cb0d5be04609,93.39312,,,4.84018,,,,,,,2d88e006-64cf-49e4-8ea5-2be9532f6ce7,2026-03-01,18:07:51.70,2026-03-01T12:07:51.7000000-06:00,2026-03-01T18:07:51.7000000Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,065b5c1a-2b88-49dd-8403-aebc3baa6d5a,38.35543,-95.05601,8.77438,1.75459,7.25209,-14.91846,-0.75,1.81627,4.10791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.37495,2.51602,1.701274,0.814746,-0.61489,2.13794,0.76745,-0.30318,5.39248,3.04367,46.28105,3.95806,36.07428,-0.27252,62.89348,-7.11427,5.40581,9.19216,-13.48752,3.04968,42.21321,-2.07166,High,High,High,,,High,Medium,Medium
