PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-03,18:06:13.93,1,1,"Downing, Preslee",100000000245,Right,OKL_STA_SB,"Rowland, Lauren",100000004827,Right,MIS_STA1_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.24913,4.923745,-2.693948,1209.089191,139.092352,10:45,1.71302,0.61838,5.32447,-29.66486,3.82181,-2.49996,2.36803,-1.29604,57.1064,-3.113235,-3.349126,0.416493,,,,,,,,,,,,1.70449,2.91551,-1.18247,50,0.40967,4.10143,-93.0688,11.72758,1.45318,17.60867,-29.68841,OKL_STA_SB,MIS_STA1_SB,OKStateSoftball,D1,B12,20260303-OKStateSoftball-1,f5918c70-175d-11f1-9580-85ede64ee4a3,90.49966,,,5.14273,,,,,,,d213bde1-4a61-4afb-897b-48d65216bbb0,2026-03-04,00:06:13.93,2026-03-03T18:06:13.9329536-06:00,2026-03-04T00:06:13.9329536Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,6692ac2e-3159-4030-86b3-125a007f2440,37.67054,-90.70606,8.80433,1.71602,7.74399,-14.8442,-0.61906,4.29642,0.72659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-03,18:06:30.80,1,2,"Downing, Preslee",100000000245,Right,OKL_STA_SB,"Rowland, Lauren",100000004827,Right,MIS_STA1_SB,Undefined,1,Top,0,1,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,62.71053,3.715187,-0.780558,1204.251804,133.94598,10:30,1.58439,0.49885,5.04839,-27.83124,5.17217,-4.51063,1.63768,-0.37479,58.21258,-3.762275,-1.957327,0.413476,,,,,,,,,,,,4.60103,4.75173,-0.63293,50,0.58143,0.76129,-93.76015,9.5478,4.0361,16.10223,-28.00575,OKL_STA_SB,MIS_STA1_SB,OKStateSoftball,D1,B12,20260303-OKStateSoftball-1,ff9db900-175d-11f1-9580-85ede64ee4a3,91.15981,,,4.49795,,,,,,,d213bde1-4a61-4afb-897b-48d65216bbb0,2026-03-04,00:06:30.80,2026-03-03T18:06:30.8058112-06:00,2026-03-04T00:06:30.8058112Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,aa96348b-9abc-49f2-82ae-35a59b667278,37.94854,-91.66709,8.05111,1.58592,5.90745,-14.00287,-0.49988,1.28592,2.01805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-03,18:06:49.29,1,3,"Downing, Preslee",100000000245,Right,OKL_STA_SB,"Rowland, Lauren",100000004827,Right,MIS_STA1_SB,Undefined,1,Top,0,1,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.69469,6.423263,-1.770953,1268.330491,124.565678,10:15,1.64226,0.58197,5.11151,-28.61986,4.8678,-5.74492,3.3652,-1.02444,57.40659,-1.285686,-3.267646,0.416499,,,,,,,,,,,,5.4715,3.43693,-0.92147,50,0.05343,2.26346,-93.47335,14.04283,4.71677,17.45453,-29.2112,OKL_STA_SB,MIS_STA1_SB,OKStateSoftball,D1,B12,20260303-OKStateSoftball-1,0aa44b20-175e-11f1-9580-85ede64ee4a3,90.49832,,,5.2881,,,,,,,d213bde1-4a61-4afb-897b-48d65216bbb0,2026-03-04,00:06:49.29,2026-03-03T18:06:49.2938240-06:00,2026-03-04T00:06:49.2938240Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,71158e3e-158d-4135-842d-ca489d7c0b19,37.8838,-91.18279,8.72727,1.64474,10.20945,-14.6056,-0.58383,2.88245,2.35839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-03,18:07:08.03,1,4,"Downing, Preslee",100000000245,Right,OKL_STA_SB,"Rowland, Lauren",100000004827,Right,MIS_STA1_SB,Undefined,1,Top,0,2,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.19924,5.894009,0.9668,1346.667046,47.697645,7:30,1.60212,0.60559,5.23267,-34.59187,-2.49232,-3.54496,2.47263,0.92361,58.87231,-3.354841,0.03866,0.407775,,,,,,,,,,,,4.1228,-4.0317,-0.3743,50,0.06006,-2.0088,-94.06492,14.10972,3.68175,14.70689,-35.77445,OKL_STA_SB,MIS_STA1_SB,OKStateSoftball,D1,B12,20260303-OKStateSoftball-1,15c87760-175e-11f1-9580-85ede64ee4a3,92.43436,,,4.32693,,,,,,,d213bde1-4a61-4afb-897b-48d65216bbb0,2026-03-04,00:07:08.03,2026-03-03T18:07:08.0341504-06:00,2026-03-04T00:07:08.0341504Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,428bf3f2-d062-487e-b167-918c3d4378c7,37.76569,-92.13225,7.35344,1.60535,9.40852,-17.88722,-0.60649,-1.52497,1.84088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-03,18:07:26.81,1,5,"Downing, Preslee",100000000245,Right,OKL_STA_SB,"Rowland, Lauren",100000004827,Right,MIS_STA1_SB,Undefined,1,Top,0,2,2,Curveball,,InPlay,Undefined,GroundBall,Out,1,0,,63.50353,5.600748,-1.644421,1305.683218,121.954571,10:00,1.589,0.63823,4.97634,-28.33553,4.34575,-5.585,2.81902,-0.87812,58.41734,-1.998589,-3.095371,0.411454,59.68114,-10.304925,15.641435,,,,,13.93737,8.34697,19.024478,0.199358,5.35311,3.17831,-0.9481,50,0.19749,2.10431,-94.74385,12.77079,4.76163,17.3623,-29.3469,OKL_STA_SB,MIS_STA1_SB,OKStateSoftball,D1,B12,20260303-OKStateSoftball-1,20fe7df0-175e-11f1-9580-85ede64ee4a3,91.608,3.76003,,5.08619,,,,,,,d213bde1-4a61-4afb-897b-48d65216bbb0,2026-03-04,00:07:26.81,2026-03-03T18:07:26.8189184-06:00,2026-03-04T00:07:26.8189184Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,3998d82d-0f05-4718-8af1-94b2423cea59,38.01957,-92.52233,8.68115,1.5913,9.01583,-14.67345,-0.63987,2.71356,2.38082,,-2.91619,82.91895,-11.03249,,,,,,,3.76084,-15.71224,-15.8336,,,,,,,0.51548,23.13709,-14.74606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2026-03-03,18:07:57.50,2,1,"Downing, Preslee",100000000245,Right,OKL_STA_SB,"Studer, Halle",100000004828,Right,MIS_STA1_SB,Undefined,1,Top,1,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.98189,4.814729,-1.632661,2576.806868,127.562698,10:15,1.61345,0.56618,4.97526,-27.11553,4.73701,-5.17217,2.43862,-0.90828,59.42467,-2.442842,-2.977212,0.406203,,,,,,,,,,,,5.0117,3.98382,-0.87436,50,0.39299,2.12758,-95.3942,11.44082,4.57262,16.02573,-28.53925,OKL_STA_SB,MIS_STA1_SB,OKStateSoftball,D1,B12,20260303-OKStateSoftball-1,3348cdd0-175e-11f1-9580-85ede64ee4a3,92.7921,,,4.55722,,,,,,,d213bde1-4a61-4afb-897b-48d65216bbb0,2026-03-04,00:07:57.50,2026-03-03T18:07:57.5053824-06:00,2026-03-04T00:07:57.5053824Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,10ac599d-3295-422e-ae9d-cadb0aacdb1d,38.02143,-93.36018,8.01287,1.61521,7.81856,-14.26962,-0.56749,2.70795,2.28631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-03,18:08:14.43,2,2,"Downing, Preslee",100000000245,Right,OKL_STA_SB,"Studer, Halle",100000004828,Right,MIS_STA1_SB,Undefined,1,Top,1,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.31233,5.662665,-2.246041,1268.248884,76.211255,8:30,1.5532,0.67699,4.76533,-33.68943,-0.46075,-5.41603,2.39925,-1.21839,58.38336,-3.270957,-3.643709,0.414885,,,,,,,,,,,,4.92465,-1.88784,-1.1071,50,0.14713,3.12263,-94.36314,13.31118,4.35635,16.89337,-33.84401,OKL_STA_SB,MIS_STA1_SB,OKStateSoftball,D1,B12,20260303-OKStateSoftball-1,3d5dd400-175e-11f1-9580-85ede64ee4a3,90.85028,,,4.92897,,,,,,,d213bde1-4a61-4afb-897b-48d65216bbb0,2026-03-04,00:08:14.43,2026-03-03T18:08:14.4358400-06:00,2026-03-04T00:08:14.4358400Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,8c52ff76-8518-4244-9387-832a1902e639,38.23153,-92.23223,8.44669,1.55695,9.04214,-16.92201,-0.67856,3.67214,2.17817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-03,18:08:34.17,2,3,"Downing, Preslee",100000000245,Right,OKL_STA_SB,"Studer, Halle",100000004828,Right,MIS_STA1_SB,Undefined,1,Top,1,1,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.84651,3.47279,1.05117,1384.864132,50.907859,7:45,1.54183,0.6085,4.90412,-34.83073,-2.57244,-4.2465,0.86555,0.92763,59.04317,-5.799491,-0.053381,0.408782,,,,,,,,,,,,4.90638,-3.61134,-0.36283,50,0.56333,-2.23752,-95.64046,10.02417,4.43854,17.95602,-35.44101,OKL_STA_SB,MIS_STA1_SB,OKStateSoftball,D1,B12,20260303-OKStateSoftball-1,4921c2b0-175e-11f1-9580-85ede64ee4a3,92.20664,,,4.80335,,,,,,,d213bde1-4a61-4afb-897b-48d65216bbb0,2026-03-04,00:08:34.17,2026-03-03T18:08:34.1764096-06:00,2026-03-04T00:08:34.1764096Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,bd741987-2637-4299-b2af-ef3bfc5043dc,38.09383,-93.37838,8.97801,1.54492,5.55936,-17.72051,-0.60949,-1.67835,2.21927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-03,18:08:55.20,2,4,"Downing, Preslee",100000000245,Right,OKL_STA_SB,"Studer, Halle",100000004828,Right,MIS_STA1_SB,Undefined,1,Top,1,2,1,Fastball,,InPlay,Undefined,FlyBall,HomeRun,0,1,,64.104,5.835245,-0.474583,1288.42088,48.292943,7:30,1.60699,0.58805,4.90003,-34.94285,-3.15803,-4.36414,2.44417,-0.07948,59.70284,-3.42193,-1.606957,0.405771,73.51678,25.645423,-13.523659,855.216765,106.97979,38.35166,-25.59811,239.32479,233.02265,-13.433162,3.418465,4.49705,-4.63965,-0.65896,50,0.13199,0.29322,-95.38232,14.02796,4.12803,15.16183,-36.433,OKL_STA_SB,MIS_STA1_SB,OKStateSoftball,D1,B12,20260303-OKStateSoftball-1,55ae3180-175e-11f1-9580-85ede64ee4a3,92.89084,39.68237,,4.40116,,,,1.40394,2.59236,0.08469,d213bde1-4a61-4afb-897b-48d65216bbb0,2026-03-04,00:08:55.20,2026-03-03T18:08:55.2043008-06:00,2026-03-04T00:08:55.2043008Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,4b117b92-dcf0-4c34-b5be-1ea197b516c3,38.09826,-93.47129,7.58092,1.61071,9.43587,-18.2165,-0.58922,0.81352,2.06402,177.264428,1.40379,94.51269,-14.30454,3.24401,-0.70744,0.17189,-0.03955,0.00593,-0.00037,2.59251,46.662,-15.5608,0.5887,0.01501,-0.04455,0.01531,-0.00192,5E-05,0.08476,-22.7327,3.08146,-0.58629,0.12729,-0.03668,0.00999,-0.00156,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-03,18:09:40.97,3,1,"Downing, Preslee",100000000245,Right,OKL_STA_SB,"Baber, Riley",100000004838,Right,MIS_STA1_SB,Undefined,1,Top,1,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.85389,3.573901,-2.619241,1293.383333,97.204241,9:15,1.56157,0.62643,5.07841,-32.12647,2.12768,-9.36745,1.16675,-1.82415,57.07722,-5.047942,-5.058666,0.421238,,,,,,,,,,,,9.04981,1.4735,-1.11997,50,0.56049,3.21341,-92.65349,9.64524,7.64124,17.5423,-30.9299,OKL_STA_SB,MIS_STA1_SB,OKStateSoftball,D1,B12,20260303-OKStateSoftball-1,70f86e10-175e-11f1-9580-85ede64ee4a3,89.48006,,,4.77667,,,,,,,d213bde1-4a61-4afb-897b-48d65216bbb0,2026-03-04,00:09:40.97,2026-03-03T18:09:40.9726464-06:00,2026-03-04T00:09:40.9726464Z,,V3 - Softball,,,,"Hasler, Amanda",100000001093,Right,OKL_STA_SB,f1acd701-dbc2-4ed2-9934-65c9a8dc35e1,37.91821,-90.33706,8.77115,1.56447,5.561,-15.46495,-0.62903,4.22242,3.82062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
