PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-03,18:33:13.81,1,1,"Reimer, Morgan",100000002030,Right,WAS_HUS_SB,"Morris, Mikee",100000002107,Right,SEA_UNI_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,68.09061,4.616612,1.119912,1318.14174,19.712849,6:45,1.55242,0.25833,5.69776,-39.75644,-11.99091,-4.63307,1.1377,0.57376,61.62828,-6.182941,-0.111631,0.379249,,,,,,,,,,,,5.50662,-14.41083,0.01953,50,0.22126,-2.57558,-102.63108,13.59811,5.55866,25.43358,-46.72107,WAS_HUS_SB,SEA_UNI_SB,UofWashingtonSB,D1,B10,20260303-UofWashingtonSB-1,7ea6b080-1772-11f1-b2e4-a333a572bf37,99.38709,,,6.46233,,,,,,,9f315057-91cb-4f18-9c70-1ed45734929a,2026-03-04,02:33:13.81,2026-03-03T18:33:13.8107392-08:00,2026-03-04T02:33:13.8107392Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,29995b09-c758-490c-8d06-00893d1b746f,37.29967,-99.43394,12.71679,1.56147,7.72501,-23.36054,-0.26031,-1.87683,2.77933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-03,18:33:31.26,1,2,"Reimer, Morgan",100000002030,Right,WAS_HUS_SB,"Morris, Mikee",100000002107,Right,SEA_UNI_SB,Undefined,1,Top,0,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.05109,7.876825,-0.883796,1381.270792,13.766237,6:30,1.62308,0.31582,5.39007,-40.91829,-13.0791,-3.44366,3.22114,-0.52948,61.79855,-3.102618,-1.78742,0.379752,,,,,,,,,,,,3.21677,-16.45662,-0.48884,50,-0.36929,1.2055,-103.34055,19.44648,3.29177,25.8073,-49.01432,WAS_HUS_SB,SEA_UNI_SB,UofWashingtonSB,D1,B10,20260303-UofWashingtonSB-1,8906c970-1772-11f1-b2e4-a333a572bf37,99.25553,,,7.25255,,,,,,,9f315057-91cb-4f18-9c70-1ed45734929a,2026-03-04,02:33:31.26,2026-03-03T18:33:31.2620032-08:00,2026-03-04T02:33:31.2620032Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,cb761993-52c5-48ee-9c43-2a779d39fbf7,37.60655,-100.19774,12.90365,1.63545,13.47751,-24.50716,-0.31763,1.60637,1.64588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-03,18:33:50.19,1,3,"Reimer, Morgan",100000002030,Right,WAS_HUS_SB,"Morris, Mikee",100000002107,Right,SEA_UNI_SB,Undefined,1,Top,0,2,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.32885,5.994998,0.986776,1313.434589,26.193309,6:45,1.65271,0.27867,5.67,-37.83577,-10.29808,-5.4967,2.27177,0.43919,61.9823,-4.261319,-0.470315,0.37769,64.59832,-33.769937,-63.901516,,,,,6.3098,4.30861,-38.759419,0.044665,6.43103,-13.31233,-0.02227,50,0.01729,-2.47021,-102.57288,15.96239,6.55158,23.87046,-45.73592,WAS_HUS_SB,SEA_UNI_SB,UofWashingtonSB,D1,B10,20260303-UofWashingtonSB-1,944c6060-1772-11f1-b2e4-a333a572bf37,99.79738,2.36179,,6.34655,,,,3.36648,2.36179,-0.77838,9f315057-91cb-4f18-9c70-1ed45734929a,2026-03-04,02:33:50.19,2026-03-03T18:33:50.1941248-08:00,2026-03-04T02:33:50.1941248Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,6b2f9a26-c234-45fe-ae5f-fcf99e895c58,37.32807,-99.58025,11.93523,1.65906,10.22849,-22.86796,-0.28047,-1.64884,3.27579,,3.36547,34.78753,,,,,,,,2.36333,-52.87789,,,,,,,,-0.77632,-71.01495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2026-03-03,18:34:16.88,1,4,"Reimer, Morgan",100000002030,Right,WAS_HUS_SB,"Morris, Mikee",100000002107,Right,SEA_UNI_SB,Undefined,1,Top,0,2,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,69.07307,6.474948,1.130626,1283.542537,9.565227,6:15,1.58376,0.31818,5.5256,-38.97132,-11.70989,-2.12327,2.42924,0.85287,62.47231,-4.034796,0.57032,0.375791,67.36568,3.279967,-57.690374,3055.277853,,,,46.87706,46.33077,-56.356507,0.48861,2.7763,-14.97477,-0.05691,50,-0.13818,-2.31167,-103.59331,17.01537,2.87922,24.64798,-47.704,WAS_HUS_SB,SEA_UNI_SB,UofWashingtonSB,D1,B10,20260303-UofWashingtonSB-1,a42fc260-1772-11f1-b2e4-a333a572bf37,100.3017,2.81921,,6.60076,,,,3.31457,2.47655,-0.63597,9f315057-91cb-4f18-9c70-1ed45734929a,2026-03-04,02:34:16.88,2026-03-03T18:34:16.8845824-08:00,2026-03-04T02:34:16.8845824Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,6d61eb9e-e880-4593-9c68-37ee996b0335,37.47248,-100.56848,12.32399,1.59074,11.16106,-23.852,-0.31892,-1.95832,1.43961,63.896241,3.32798,52.35198,-12.35308,,,,,,,2.49444,5.15884,-21.07669,,,,,,,-0.63947,-83.27317,9.65792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-03-03,18:34:37.88,1,5,"Reimer, Morgan",100000002030,Right,WAS_HUS_SB,"Morris, Mikee",100000002107,Right,SEA_UNI_SB,Undefined,1,Top,0,2,2,Changeup,,InPlay,Undefined,Popup,Single,0,0,,51.40971,9.103012,1.097571,1423.476734,70.580315,8:15,1.75389,0.35544,5.27792,-51.36373,-0.74134,-6.75461,3.29179,0.48811,46.21794,-4.745092,-0.665123,0.512086,33.97657,27.468191,-10.634933,1157.290021,,,,71.92342,71.4731,-9.707016,1.671799,7.72445,-3.93071,-0.07798,50,-0.61269,-2.07342,-76.53967,17.3703,4.36916,13.52989,-34.39736,WAS_HUS_SB,SEA_UNI_SB,UofWashingtonSB,D1,B10,20260303-UofWashingtonSB-1,b0d0a390-1772-11f1-b2e4-a333a572bf37,73.6057,12.07261,,5.19177,,,,4.4717,3.58421,-0.53439,9f315057-91cb-4f18-9c70-1ed45734929a,2026-03-04,02:34:37.88,2026-03-03T18:34:37.8866688-08:00,2026-03-04T02:34:37.8866688Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,f5acc655-49e8-4209-a0a4-b4e0dd473df2,37.71865,-74.337,6.76494,1.75937,11.77042,-17.19868,-0.35763,-1.36212,2.18458,186.844846,4.4717,43.45649,-2.78661,0.54859,-0.61077,0.66632,-0.40112,0.13857,-0.02024,3.58422,22.98489,-15.962,0.51868,0.06993,-0.03343,-0.00488,0.00947,-0.00278,-0.53439,-8.16042,0.86378,-0.25273,0.28866,-0.24912,0.15615,-0.05641,0.00763,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-03,18:35:06.94,2,1,"Reimer, Morgan",100000002030,Right,WAS_HUS_SB,"Morris, Avari ",100000002105,Left,SEA_UNI_SB,Undefined,1,Top,0,0,0,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,63.77384,5.178712,0.161503,1947.420856,196.648934,12:30,1.64664,0.42383,5.61907,-23.93458,7.63796,2.00047,2.91164,0.69191,57.98426,-1.420985,0.691364,0.404414,,,,,,,,,,,,-2.0841,6.89571,-0.40073,50,0.29151,-0.04138,-95.59258,11.87415,-1.85606,19.88049,-26.0328,WAS_HUS_SB,SEA_UNI_SB,UofWashingtonSB,D1,B10,20260303-UofWashingtonSB-1,c216a2d0-1772-11f1-b2e4-a333a572bf37,93.20263,,,5.78958,,,,,,,9f315057-91cb-4f18-9c70-1ed45734929a,2026-03-04,02:35:06.94,2026-03-03T18:35:06.9416960-08:00,2026-03-04T02:35:06.9416960Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,6bc901c0-2467-4908-8cc8-06e33b8a2a02,37.37354,-92.92955,9.94025,1.64852,8.387,-13.0164,-0.42293,-0.29001,-0.92803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-03,18:35:26.64,2,2,"Reimer, Morgan",100000002030,Right,WAS_HUS_SB,"Morris, Avari ",100000002105,Left,SEA_UNI_SB,Undefined,1,Top,0,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.84355,3.823273,0.018438,1347.483694,26.387308,7:00,1.61631,0.36651,5.51416,-39.38608,-11.21973,-6.03032,0.74457,-0.12441,61.62596,-6.824488,-1.578008,0.381977,,,,,,,,,,,,6.49079,-13.14674,-0.3249,50,0.48603,-0.75927,-102.3042,11.98421,6.5214,25.02724,-45.38277,WAS_HUS_SB,SEA_UNI_SB,UofWashingtonSB,D1,B10,20260303-UofWashingtonSB-1,cdceaaa0-1772-11f1-b2e4-a333a572bf37,98.67735,,,6.21759,,,,,,,9f315057-91cb-4f18-9c70-1ed45734929a,2026-03-04,02:35:26.64,2026-03-03T18:35:26.6417152-08:00,2026-03-04T02:35:26.6417152Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,e9812268-dc54-4602-91f1-33d69d493da7,37.48332,-99.19493,12.51362,1.62467,6.34606,-22.69139,-0.3689,0.05092,3.2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-03,18:35:46.76,2,3,"Reimer, Morgan",100000002030,Right,WAS_HUS_SB,"Morris, Avari ",100000002105,Left,SEA_UNI_SB,Undefined,1,Top,0,1,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.72314,6.30109,0.739056,1351.598154,14.718515,6:30,1.57752,0.27791,5.59783,-37.66915,-10.49945,-2.97024,2.41228,0.49459,62.71072,-3.867723,-0.046505,0.375158,,,,,,,,,,,,3.4952,-13.23843,-0.09578,50,-0.10911,-1.70133,-102.89032,16.49649,3.62155,22.38464,-45.89098,WAS_HUS_SB,SEA_UNI_SB,UofWashingtonSB,D1,B10,20260303-UofWashingtonSB-1,d9c65380-1772-11f1-b2e4-a333a572bf37,100.47089,,,6.01242,,,,,,,9f315057-91cb-4f18-9c70-1ed45734929a,2026-03-04,02:35:46.76,2026-03-03T18:35:46.7603968-08:00,2026-03-04T02:35:46.7603968Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,84606d0a-5105-4a9a-ab5c-8f4b059931fb,37.40031,-100.11163,11.19232,1.58509,10.79987,-22.94549,-0.27907,-1.25177,1.81078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-03,18:36:10.30,2,4,"Reimer, Morgan",100000002030,Right,WAS_HUS_SB,"Morris, Avari ",100000002105,Left,SEA_UNI_SB,Undefined,1,Top,0,1,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.92621,5.964232,0.173927,2067.685594,177.893708,12:00,1.66701,0.45142,5.82834,-20.46993,10.48296,-0.35406,3.69664,0.53045,58.38113,0.27669,0.079606,0.400426,57.72549,16.749668,-173.685166,2028.090941,,,,,18.49263,,,0.45768,9.87512,-0.40982,50,0.12844,-0.33477,-95.68173,12.90239,0.41094,19.0941,-23.30783,WAS_HUS_SB,SEA_UNI_SB,UofWashingtonSB,D1,B10,20260303-UofWashingtonSB-1,e7cd2d50-1772-11f1-b2e4-a333a572bf37,94.13087,8.81765,,5.54508,,,,2.64323,3.66706,-0.55344,9f315057-91cb-4f18-9c70-1ed45734929a,2026-03-04,02:36:10.30,2026-03-03T18:36:10.3030272-08:00,2026-03-04T02:36:10.3030272Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,73a64400-b034-49bc-b0b1-115a9885d926,37.16691,-93.08556,9.54705,1.66729,9.73329,-11.65392,-0.45154,-0.2789,0.20547,26.133325,2.64248,-80.54233,6.77262,,,,,,,3.66825,24.33992,-18.66519,,,,,,,-0.55362,-8.90825,1.19693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-03-03,18:36:31.30,2,5,"Reimer, Morgan",100000002030,Right,WAS_HUS_SB,"Morris, Avari ",100000002105,Left,SEA_UNI_SB,Undefined,1,Top,0,1,2,Dropball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,69.28002,6.059048,-1.045404,1294.124358,18.889347,6:45,1.59231,0.22794,5.60915,-37.8753,-10.87922,-4.02733,2.25519,-0.76412,62.61467,-4.193422,-2.11077,0.373957,,,,,,,,,,,,3.87016,-13.60095,-0.4336,50,-0.03014,1.40798,-104.03446,16.11212,4.03602,25.30904,-46.35794,WAS_HUS_SB,SEA_UNI_SB,UofWashingtonSB,D1,B10,20260303-UofWashingtonSB-1,f4620090-1772-11f1-b2e4-a333a572bf37,100.79347,,,6.66535,,,,,,,9f315057-91cb-4f18-9c70-1ed45734929a,2026-03-04,02:36:31.30,2026-03-03T18:36:31.3068544-08:00,2026-03-04T02:36:31.3068544Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,67176b10-4571-4828-bf2f-76d3dee24853,37.38769,-100.91956,12.65452,1.60175,10.40664,-23.17897,-0.22975,1.90471,2.01801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
