PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-03,17:01:05.55,1,1,"Wyman, Rylee",1000000001273,Right,STA_WOL_SB,"Wyrick, Lani",100000001629,Right,ELO_UNI_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.49582,5.856844,0.211226,1167.271083,151.619505,11:00,1.80026,0.64836,5.38351,-25.74553,6.09229,-2.85933,3.36816,0.54353,58.55186,-1.130574,-0.540921,0.406109,,,,,,,,,,,,3.12382,5.23827,-0.58461,50,0.31176,-0.67536,-94.65886,13.0786,2.79126,16.4968,-27.49344,STA_WOL_SB,ELO_UNI_SB,DailPark,D1,ACC,20260303-DailPark-1,7a3b0e40-174c-11f1-9ea6-e1c8635ccb56,92.81355,,,4.94396,,,,,,,213ac052-edf5-487e-86a2-9236b79a5f4c,2026-03-03,22:01:05.55,2026-03-03T17:01:05.5569920-05:00,2026-03-03T22:01:05.5569920Z,,V3 - Softball,,,,"Church, Hannah",1000000001274,Right,STA_WOL_SB,5b35f9db-d5c1-40ff-948f-36a78d5a4604,37.61086,-92.47452,8.2484,1.80248,9.4382,-13.74672,-0.64957,-0.30577,1.39563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-03,17:01:21.93,1,2,"Wyman, Rylee",1000000001273,Right,STA_WOL_SB,"Wyrick, Lani",100000001629,Right,ELO_UNI_SB,Undefined,1,Top,0,1,0,Offspeed,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.45772,4.798516,0.32012,1075.333062,93.497297,9:00,1.92876,0.65245,5.10605,-29.16805,1.27677,-7.455,2.56027,0.23501,60.2657,-3.038101,-1.62752,0.397126,,,,,,,,,,,,7.94544,0.32169,-0.54177,50,0.69232,-1.38125,-97.84821,11.89972,7.53662,18.54974,-31.86891,STA_WOL_SB,ELO_UNI_SB,DailPark,D1,ACC,20260303-DailPark-1,83fdaeb0-174c-11f1-9ea6-e1c8635ccb56,94.91311,,,5.19202,,,,,,,213ac052-edf5-487e-86a2-9236b79a5f4c,2026-03-03,22:01:21.93,2026-03-03T17:01:21.9390976-05:00,2026-03-03T22:01:21.9390976Z,,V3 - Softball,,,,"Church, Hannah",1000000001274,Right,STA_WOL_SB,f514f4c5-bc49-45da-b99a-6d17a20a8852,37.88928,-95.52471,9.27487,1.93284,7.90789,-15.93446,-0.65566,-0.43723,3.76831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-03,17:01:50.22,1,3,"Wyman, Rylee",1000000001273,Right,STA_WOL_SB,"Wyrick, Lani",100000001629,Right,ELO_UNI_SB,Undefined,1,Top,0,1,1,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,66.0989,4.431446,0.397367,1151.294238,45.889575,7:30,1.86098,0.53736,5.10723,-31.51659,-1.70847,-2.59339,2.06149,0.57422,60.94996,-4.013184,-0.280442,0.392951,53.95443,6.580806,-41.433298,1066.003622,,,,48.50774,48.07618,-42.45657,0.642844,2.90571,-2.89878,-0.43694,50,0.68364,-0.99129,-98.90623,11.69832,2.81466,19.02776,-34.98198,STA_WOL_SB,ELO_UNI_SB,DailPark,D1,ACC,20260303-DailPark-1,94cea500-174c-11f1-9ea6-e1c8635ccb56,95.92144,3.05456,,5.14894,,,,1.48861,2.01542,-0.56295,213ac052-edf5-487e-86a2-9236b79a5f4c,2026-03-03,22:01:50.22,2026-03-03T17:01:50.2205440-05:00,2026-03-03T22:01:50.2205440Z,,V3 - Softball,,,,"Church, Hannah",1000000001274,Right,STA_WOL_SB,de9a7d0f-d26a-4c89-87cb-32e3267986e4,37.88974,-96.54833,9.51388,1.86469,7.36339,-17.49099,-0.53817,-0.6425,1.40733,63.416667,1.50092,58.6761,-8.33193,,,,,,,2.03642,8.6287,-18.39831,,,,,,,-0.5609,-52.0637,3.10585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-03-03,17:02:19.14,2,1,"Wyman, Rylee",1000000001273,Right,STA_WOL_SB,"Hessenthaler, Greta",100000001625,Left,ELO_UNI_SB,Undefined,1,Top,1,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.26651,4.812298,0.248064,1206.649149,3.049387,6:00,1.79431,0.76058,5.05243,-33.01647,-3.19914,-0.21417,2.11845,0.9009,60.98282,-4.012692,0.192192,0.393012,,,,,,,,,,,,0.31055,-4.42768,-0.70718,50,0.54136,-0.45315,-99.09814,12.46754,0.30163,19.26512,-36.47477,STA_WOL_SB,ELO_UNI_SB,DailPark,D1,ACC,20260303-DailPark-1,a6145620-174c-11f1-9ea6-e1c8635ccb56,95.90661,,,5.28369,,,,,,,213ac052-edf5-487e-86a2-9236b79a5f4c,2026-03-03,22:02:19.14,2026-03-03T17:02:19.1475712-05:00,2026-03-03T22:02:19.1475712Z,,V3 - Softball,,,,"Church, Hannah",1000000001274,Right,STA_WOL_SB,f557fe37-13e1-4586-8173-d5a777a3a439,37.94369,-96.72594,9.63256,1.80003,7.97625,-18.23739,-0.76069,-0.416,0.15082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-03,17:02:35.57,2,2,"Wyman, Rylee",1000000001273,Right,STA_WOL_SB,"Hessenthaler, Greta",100000001625,Left,ELO_UNI_SB,Undefined,1,Top,1,0,1,Riseball,,InPlay,Undefined,FlyBall,Out,1,0,,64.42155,5.059633,-0.412013,2244.087889,153.941081,11:15,1.79056,0.89281,5.54453,-24.17269,6.48886,-2.78248,2.96704,0.40178,59.33488,-1.547998,-1.14753,0.398537,50.80452,41.822248,-18.236231,,,,,120.12592,118.13481,-27.987116,3.216457,2.89441,5.8452,-0.96355,50,0.4662,0.35413,-96.32226,11.81938,2.66278,17.862,-26.79661,STA_WOL_SB,ELO_UNI_SB,DailPark,D1,ACC,20260303-DailPark-1,afd65a50-174c-11f1-9ea6-e1c8635ccb56,94.57704,39.36986,,5.08668,,,,0.702,3.04372,-0.4152,213ac052-edf5-487e-86a2-9236b79a5f4c,2026-03-03,22:02:35.57,2026-03-03T17:02:35.5798016-05:00,2026-03-03T22:02:35.5798016Z,,V3 - Softball,,,,"Church, Hannah",1000000001274,Right,STA_WOL_SB,013695a6-1975-431c-a71e-572a4e04c1b3,37.451,-93.96636,8.931,1.79203,8.28506,-13.3983,-0.89368,0.70534,1.33139,151.725481,0.70399,52.66555,-8.48039,0.15087,1.47783,-1.20613,0.47483,-0.09537,0.00782,3.04423,49.66742,-18.31633,0.85227,0.3103,-0.3731,0.17711,-0.04042,0.00362,-0.41461,-17.3995,-0.31985,-0.14625,0.55472,-0.44003,0.17598,-0.0363,0.00303,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-03-03,17:03:01.40,3,1,"Wyman, Rylee",1000000001273,Right,STA_WOL_SB,"Baulsir, Teagan",100000001633,Right,ELO_UNI_SB,Undefined,1,Top,2,0,0,Riseball,,InPlay,Undefined,GroundBall,Single,0,0,,65.2383,5.026419,0.375533,3139.200653,144.742527,10:45,1.788,0.80774,5.46331,-23.57218,6.24374,-3.91079,3.0006,0.71859,60.50184,-1.383789,-0.65604,0.393002,67.82956,3.692026,-29.656046,1157.818192,,,,54.32958,52.32056,-32.364423,0.580691,4.37177,5.69355,-0.69852,50,0.48487,-1.1218,-97.35182,11.80586,4.15243,16.74858,-26.76618,STA_WOL_SB,ELO_UNI_SB,DailPark,D1,ACC,20260303-DailPark-1,bf3dd590-174c-11f1-9ea6-e1c8635ccb56,95.90892,3.47577,,4.73647,,,,0.41741,2.98482,-0.71538,213ac052-edf5-487e-86a2-9236b79a5f4c,2026-03-03,22:03:01.40,2026-03-03T17:03:01.4088704-05:00,2026-03-03T22:03:01.4088704Z,,V3 - Softball,,,,"Church, Hannah",1000000001274,Right,STA_WOL_SB,5af8c60f-76c5-452a-bea2-1d571b9a30f9,37.53275,-95.18277,8.37429,1.78934,8.33946,-13.38309,-0.80897,-0.58403,2.07622,64.331411,0.43277,85.91539,-13.18883,,,,,,,3.00407,5.95973,-19.22573,,,,,,,-0.70802,-49.29326,0.71953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-03-03,17:03:26.96,4,1,"Wyman, Rylee",1000000001273,Right,STA_WOL_SB,"Murray, Mauri",100000001634,Right,ELO_UNI_SB,Undefined,1,Top,2,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.38483,4.578952,0.517156,1183.831209,16.958847,6:30,1.8036,0.69815,5.05267,-33.48207,-3.87977,-1.42303,1.93924,0.9093,61.31538,-4.358675,0.145837,0.391592,,,,,,,,,,,,1.66803,-5.03032,-0.58111,50,0.59596,-1.05758,-99.24542,12.15269,1.63175,18.72332,-37.09501,STA_WOL_SB,ELO_UNI_SB,DailPark,D1,ACC,20260303-DailPark-1,ce7bcfd0-174c-11f1-9ea6-e1c8635ccb56,96.25435,,,5.06945,,,,,,,213ac052-edf5-487e-86a2-9236b79a5f4c,2026-03-03,22:03:26.96,2026-03-03T17:03:26.9615616-05:00,2026-03-03T22:03:26.9615616Z,,V3 - Softball,,,,"Church, Hannah",1000000001274,Right,STA_WOL_SB,990994a6-1ba6-4e86-a6d4-50b3e8852c63,37.94395,-96.94429,9.36166,1.80939,7.59364,-18.54751,-0.69876,-0.85704,0.81588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-03,17:03:42.20,4,2,"Wyman, Rylee",1000000001273,Right,STA_WOL_SB,"Murray, Mauri",100000001634,Right,ELO_UNI_SB,Undefined,1,Top,2,0,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,66.35958,5.196634,-0.401098,1158.75212,2.914658,6:00,1.82038,0.70578,5.19445,-32.65667,-3.20032,-0.20295,2.40857,0.43413,61.17038,-3.55705,-0.454224,0.390626,61.45808,-57.660217,-67.033338,,,,,3.3188,2.28665,-32.79194,0.032223,0.08217,-4.76087,-0.78983,50,0.45977,0.67003,-99.1841,13.25675,0.08017,18.89951,-36.81925,STA_WOL_SB,ELO_UNI_SB,DailPark,D1,ACC,20260303-DailPark-1,d79ab630-174c-11f1-9ea6-e1c8635ccb56,96.49244,2.46562,,5.1892,,,,2.18079,2.46562,-0.36008,213ac052-edf5-487e-86a2-9236b79a5f4c,2026-03-03,22:03:42.20,2026-03-03T17:03:42.2058496-05:00,2026-03-03T22:03:42.2058496Z,,V3 - Softball,,,,"Church, Hannah",1000000001274,Right,STA_WOL_SB,1cf900ef-d8eb-46d4-afe3-a6fcb5b26165,37.80289,-96.83206,9.44975,1.82445,8.67459,-18.40963,-0.70583,0.68001,0.04009,,2.18033,18.90388,,,,,,,,2.46749,-76.51821,,,,,,,,-0.35898,-44.60689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2026-03-03,17:04:06.75,4,3,"Wyman, Rylee",1000000001273,Right,STA_WOL_SB,"Murray, Mauri",100000001634,Right,ELO_UNI_SB,Undefined,1,Top,2,0,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.37602,6.003818,1.351446,1164.658217,155.677512,11:15,1.82386,0.56336,5.35428,-22.91832,8.30536,-3.37811,3.72533,1.13656,59.01409,-0.24164,0.463827,0.402174,,,,,,,,,,,,4.06217,7.39843,-0.25113,50,0.32759,-2.64984,-96.02787,13.149,3.70776,17.98796,-25.42109,STA_WOL_SB,ELO_UNI_SB,DailPark,D1,ACC,20260303-DailPark-1,e639b150-174c-11f1-9ea6-e1c8635ccb56,93.72184,,,5.36193,,,,,,,213ac052-edf5-487e-86a2-9236b79a5f4c,2026-03-03,22:04:06.75,2026-03-03T17:04:06.7597312-05:00,2026-03-03T22:04:06.7597312Z,,V3 - Softball,,,,"Church, Hannah",1000000001274,Right,STA_WOL_SB,ccc3220d-d22a-4246-b2cd-b63f2ad5751f,37.63941,-93.68387,8.99398,1.8252,9.8364,-12.71055,-0.56495,-2.16668,1.85388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-03,17:04:23.67,4,4,"Wyman, Rylee",1000000001273,Right,STA_WOL_SB,"Murray, Mauri",100000001634,Right,ELO_UNI_SB,Undefined,1,Top,2,1,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.59035,3.525072,0.738572,1120.642382,162.407386,11:30,1.78148,0.72398,5.4214,-21.05037,9.68217,-2.80067,2.25511,0.95676,59.35706,-2.254614,0.000105,0.398998,70.17253,29.743626,-54.567712,1934.354841,50.57056,38.279,-97.68591,226.52793,85.64822,-80.339271,3.832095,3.32878,9.71217,-0.54406,50,0.83086,-1.59053,-96.87699,8.82678,3.07555,19.05324,-23.20071,STA_WOL_SB,ELO_UNI_SB,DailPark,D1,ACC,20260303-DailPark-1,f043e210-174c-11f1-9ea6-e1c8635ccb56,94.46775,38.65228,,5.23329,,,,2.06778,2.41222,-1.02083,213ac052-edf5-487e-86a2-9236b79a5f4c,2026-03-03,22:04:23.67,2026-03-03T17:04:23.6704768-05:00,2026-03-03T22:04:23.6704768Z,,V3 - Softball,,,,"Church, Hannah",1000000001274,Right,STA_WOL_SB,a4314f5d-8ac0-4027-bfc3-c2fad5441594,37.57462,-94.40161,9.52662,1.78183,5.81256,-11.60035,-0.72475,-1.19096,1.53778,,2.06683,51.84112,-13.6537,0.99297,-0.52683,0.31242,-0.08934,0.01271,-0.00073,2.41275,51.04498,-22.93743,4.02564,-0.5905,0.08393,-0.01729,0.00281,-0.00019,-1.02046,-72.82473,4.19117,0.20652,-0.10161,-0.01507,0.0122,-0.00227,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
