PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-03,15:33:12.66,1,1,"Mullinax, Lila",100000006409,Right,NOR_GEO_SB,"Vivrette, Reese",100000005877,Right,LIN_MEM_SB,Undefined,1,Top,0,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,61.5656,5.249462,-2.332092,1475.605383,131.167985,10:15,1.79093,0.93598,5.67505,-29.49765,3.58118,-3.22248,2.63471,-0.79493,57.30216,-2.77514,-3.185002,0.413949,,,,,,,,,,,,2.84449,2.8815,-1.42841,50,0.35972,3.34975,-91.7536,12.33884,2.4076,14.47881,-29.73512,NOR_GEO_SB,LIN_MEM_SB,HandCHillStadium,D2,PEA,20260303-HandCHillStadium-2,3366d8c0-1740-11f1-933d-89d1426852e4,91.05584,,,4.26344,,,,,,,9627a83a-b552-4391-9a72-528e02253e7e,2026-03-03,20:33:12.66,2026-03-03T15:33:12.6655488-05:00,2026-03-03T20:33:12.6655488Z,,V3 - Softball,,,,"Lunsford, Ava",100000005735,Right,NOR_GEO_SB,edc181f2-cd3f-4459-a961-ceb937f00815,37.32144,-89.73061,7.2394,1.79347,8.18423,-14.86756,-0.93687,3.68615,1.2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-03,15:33:29.05,1,2,"Mullinax, Lila",100000006409,Right,NOR_GEO_SB,"Vivrette, Reese",100000005877,Right,LIN_MEM_SB,Undefined,1,Top,0,0,1,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,61.10915,4.639227,1.278392,1534.845857,169.851381,11:45,1.77773,0.52344,6.01202,-28.37718,4.34103,-0.64795,2.30021,1.26325,57.13577,-3.155932,1.104922,0.411686,,,,,,,,,,,,1.09114,4.04138,-0.22775,50,0.44322,-2.11702,-91.17768,11.33862,0.91661,13.66703,-28.77905,NOR_GEO_SB,LIN_MEM_SB,HandCHillStadium,D2,PEA,20260303-HandCHillStadium-2,3d3252d0-1740-11f1-933d-89d1426852e4,91.55625,,,3.97338,,,,,,,9627a83a-b552-4391-9a72-528e02253e7e,2026-03-03,20:33:29.05,2026-03-03T15:33:29.0585600-05:00,2026-03-03T20:33:29.0585600Z,,V3 - Softball,,,,"Lunsford, Ava",100000005735,Right,NOR_GEO_SB,bf7069be-30da-4dcf-bde2-b231a27245b0,36.98476,-89.20544,6.83352,1.7798,7.18561,-14.38953,-0.52371,-1.98474,0.45831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-03,15:33:47.79,1,3,"Mullinax, Lila",100000006409,Right,NOR_GEO_SB,"Vivrette, Reese",100000005877,Right,LIN_MEM_SB,Undefined,1,Top,0,0,2,Riseball,,InPlay,Undefined,GroundBall,Out,1,0,,61.92392,4.714116,2.070674,1426.697666,148.323943,11:00,1.81035,0.40781,5.95523,-28.2145,4.03229,-1.99886,2.39907,1.52941,57.42656,-3.041706,1.536753,0.40871,50.09265,-42.252241,-48.93626,,,,,4.3163,4.20159,-53.069186,0.048013,2.88973,3.51083,0.07633,50,0.47201,-3.59662,-92.53948,11.52646,2.47193,15.55222,-29.17082,NOR_GEO_SB,LIN_MEM_SB,HandCHillStadium,D2,PEA,20260303-HandCHillStadium-2,48551f80-1740-11f1-933d-89d1426852e4,92.22304,2.38822,,4.49736,,,,0.86645,2.38822,-1.46805,9627a83a-b552-4391-9a72-528e02253e7e,2026-03-03,20:33:47.79,2026-03-03T15:33:47.7946880-05:00,2026-03-03T20:33:47.7946880Z,,V3 - Softball,,,,"Lunsford, Ava",100000005735,Right,NOR_GEO_SB,c9bc2ab2-a8c1-4871-bab0-08bb0cf3144a,37.04118,-90.33537,7.77611,1.81262,7.39227,-14.58541,-0.40857,-3.24629,1.23596,180,0.86454,35.96924,,,,,,,,2.39085,-49.74093,,,,,,,,-1.46587,-41.28503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-03-03,15:34:15.69,2,1,"Mullinax, Lila",100000006409,Right,NOR_GEO_SB,"Griffin, Kristin",100000005872,Right,LIN_MEM_SB,Undefined,1,Top,1,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.38838,7.103575,-0.071053,2853.430846,96.704981,9:15,1.82532,0.49497,5.88841,-31.83844,1.11232,-3.1774,3.62045,0.18593,57.02003,-1.573151,-0.917437,0.413147,,,,,,,,,,,,3.48008,-0.21724,-0.48741,50,-0.07562,-0.27062,-91.21084,15.64363,2.92284,13.79481,-32.35652,NOR_GEO_SB,LIN_MEM_SB,HandCHillStadium,D2,PEA,20260303-HandCHillStadium-2,58fd3110-1740-11f1-933d-89d1426852e4,91.23258,,,4.36835,,,,,,,9627a83a-b552-4391-9a72-528e02253e7e,2026-03-03,20:34:15.69,2026-03-03T15:34:15.6963328-05:00,2026-03-03T20:34:15.6963328Z,,V3 - Softball,,,,"Lunsford, Ava",100000005735,Right,NOR_GEO_SB,a45b8071-c70c-4f13-9bef-6f62e9825511,37.10809,-89.23975,6.89741,1.82933,11.02034,-16.17826,-0.49624,0.14701,1.46142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-03,15:34:28.76,2,2,"Mullinax, Lila",100000006409,Right,NOR_GEO_SB,"Griffin, Kristin",100000005872,Right,LIN_MEM_SB,Undefined,1,Top,1,1,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,59.65496,5.927053,-0.246553,1499.452556,156.853108,11:15,1.74409,0.51984,5.95001,-29.30407,5.46437,-1.98673,3.00149,0.20094,55.3314,-2.126088,-0.777189,0.424389,,,,,,,,,,,,2.12524,4.87138,-0.56053,50,0.11831,0.14691,-88.92728,13.13528,1.68634,13.83623,-28.30867,NOR_GEO_SB,LIN_MEM_SB,HandCHillStadium,D2,PEA,20260303-HandCHillStadium-2,60c56110-1740-11f1-933d-89d1426852e4,88.81581,,,4.32355,,,,,,,9627a83a-b552-4391-9a72-528e02253e7e,2026-03-03,20:34:28.76,2026-03-03T15:34:28.7639552-05:00,2026-03-03T20:34:28.7639552Z,,V3 - Softball,,,,"Lunsford, Ava",100000005735,Right,NOR_GEO_SB,72452d5f-147e-4999-b776-6d5ce2612b7c,37.04536,-86.88829,6.91812,1.74662,8.96354,-14.15434,-0.52057,0.39542,0.84317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-03,15:34:43.80,2,3,"Mullinax, Lila",100000006409,Right,NOR_GEO_SB,"Griffin, Kristin",100000005872,Right,LIN_MEM_SB,Undefined,1,Top,1,1,1,Screwball,,InPlay,Undefined,GroundBall,Error,0,0,,61.1046,5.775592,0.717102,1429.42386,170.799247,11:45,1.831,0.72079,5.92932,-26.58761,6.72532,-0.95535,3.22192,1.08744,56.41976,-1.551697,0.46204,0.415411,32.29405,-9.682372,-33.164106,,,,,13.03475,12.56052,-36.224533,0.251134,1.29772,6.1291,-0.55155,50,0.26671,-1.25908,-91.23865,12.85608,1.07615,15.45592,-27.0914,NOR_GEO_SB,LIN_MEM_SB,HandCHillStadium,D2,PEA,20260303-HandCHillStadium-2,69b6a7c0-1740-11f1-933d-89d1426852e4,90.7353,3.15318,,4.68484,,,,0.86254,3.15318,-1.1774,9627a83a-b552-4391-9a72-528e02253e7e,2026-03-03,20:34:43.80,2026-03-03T15:34:43.8076416-05:00,2026-03-03T20:34:43.8076416Z,,V3 - Softball,,,,"Lunsford, Ava",100000005735,Right,NOR_GEO_SB,ee2dd8c6-5edc-425f-8324-1e8b0fe7e0c8,37.0665,-89.02074,7.72796,1.83261,8.9685,-13.5457,-0.72115,-1.10466,0.53808,51.218814,0.86199,39.11294,-2.67611,,,,,,,3.15327,-7.97086,-18.25971,,,,,,,-1.17723,-25.55006,-1.7339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2026-03-03,15:35:13.61,3,1,"Mullinax, Lila",100000006409,Right,NOR_GEO_SB,"Bogoski, Hanna",100000005874,Right,LIN_MEM_SB,Undefined,1,Top,1,0,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,60.59958,4.870586,0.391858,1410.613938,138.314992,10:30,1.7874,0.60268,5.92779,-29.84667,3.51236,-2.49386,2.33858,0.63872,56.77494,-3.296461,-0.274367,0.415698,,,,,,,,,,,,2.90071,3.06807,-0.49398,50,0.39822,-0.9302,-90.34202,11.76353,2.40057,12.99328,-29.63496,NOR_GEO_SB,LIN_MEM_SB,HandCHillStadium,D2,PEA,20260303-HandCHillStadium-2,7b7ea840-1740-11f1-933d-89d1426852e4,90.6726,,,3.82465,,,,,,,9627a83a-b552-4391-9a72-528e02253e7e,2026-03-03,20:35:13.61,2026-03-03T15:35:13.6193024-05:00,2026-03-03T20:35:13.6193024Z,,V3 - Softball,,,,"Lunsford, Ava",100000005735,Right,NOR_GEO_SB,f45ad617-d3fe-4166-82c8-feffe856181b,37.06935,-88.46275,6.49664,1.78966,7.47729,-14.81748,-0.60341,-0.583,1.20028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-03,15:35:34.08,3,2,"Mullinax, Lila",100000006409,Right,NOR_GEO_SB,"Bogoski, Hanna",100000005874,Right,LIN_MEM_SB,Undefined,1,Top,1,0,1,Riseball,,HitByPitch,Undefined,Undefined,Undefined,0,0,,61.03588,6.250895,0.917301,2904.723263,143.989918,10:45,1.79183,0.67024,5.81848,-30.26998,3.01898,-1.66976,3.18731,1.10374,56.9162,-1.997075,0.473134,0.415261,36.40179,-6.819211,155.95142,2133.508011,,,,15.88921,15.88921,159.743204,0.314217,2.12299,2.02756,-0.45157,50,0.10238,-1.662,-90.79603,14.02857,1.77117,13.36769,-30.48248,NOR_GEO_SB,LIN_MEM_SB,HandCHillStadium,D2,PEA,20260303-HandCHillStadium-2,87ae2a00-1740-11f1-933d-89d1426852e4,90.76805,3.04845,,4.11968,,,,-0.09509,3.04845,-1.08489,9627a83a-b552-4391-9a72-528e02253e7e,2026-03-03,20:35:34.08,2026-03-03T15:35:34.0865536-05:00,2026-03-03T20:35:34.0865536Z,,V3 - Softball,,,,"Lunsford, Ava",100000005735,Right,NOR_GEO_SB,56e455c9-a931-4e8a-807d-15ce4ab3f0dd,37.17901,-88.88839,6.68385,1.79395,9.67854,-15.24124,-0.67071,-1.40925,0.88559,182.997338,-0.09641,-48.3541,3.8987,,,,,,,3.04886,-6.35589,-10.65681,,,,,,,-1.08425,21.57585,-1.97073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2026-03-03,15:36:03.19,4,1,"Mullinax, Lila",100000006409,Right,NOR_GEO_SB,"McMeen, Hannah",100000005886,Right,LIN_MEM_SB,Undefined,1,Top,1,0,0,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.37448,5.055567,1.102554,1417.820678,152.204651,11:00,1.80613,0.44025,6.0285,-29.81151,3.87213,-1.6228,2.46782,0.9893,56.14613,-3.145979,0.667986,0.417716,,,,,,,,,,,,2.17772,3.22996,-0.17579,50,0.36073,-1.94193,-90.19083,12.05935,1.77584,14.34163,-29.54014,NOR_GEO_SB,LIN_MEM_SB,HandCHillStadium,D2,PEA,20260303-HandCHillStadium-2,9905dc80-1740-11f1-933d-89d1426852e4,90.23465,,,4.22836,,,,,,,9627a83a-b552-4391-9a72-528e02253e7e,2026-03-03,20:36:03.19,2026-03-03T15:36:03.1970304-05:00,2026-03-03T20:36:03.1970304Z,,V3 - Softball,,,,"Lunsford, Ava",100000005735,Right,NOR_GEO_SB,2a7cc643-4014-4eee-87a5-4491fd2ce803,36.96889,-88.09434,7.17081,1.80797,7.74109,-14.77007,-0.44069,-1.68234,0.88792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-03,15:36:39.53,4,2,"Mullinax, Lila",100000006409,Right,NOR_GEO_SB,"McMeen, Hannah",100000005886,Right,LIN_MEM_SB,Undefined,1,Top,1,0,1,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.62788,5.84844,1.390152,1394.94894,161.67869,11:30,1.73331,0.35722,6.14662,-27.11124,5.23638,-1.46925,3.10493,1.09475,56.93111,-1.653257,0.995611,0.409348,,,,,,,,,,,,2.10047,4.53701,-0.02637,50,0.11551,-2.41897,-92.01633,13.24601,1.77288,15.63574,-28.34468,NOR_GEO_SB,LIN_MEM_SB,HandCHillStadium,D2,PEA,20260303-HandCHillStadium-2,aeb46600-1740-11f1-933d-89d1426852e4,92.07924,,,4.69677,,,,,,,9627a83a-b552-4391-9a72-528e02253e7e,2026-03-03,20:36:39.53,2026-03-03T15:36:39.5301888-05:00,2026-03-03T20:36:39.5301888Z,,V3 - Softball,,,,"Lunsford, Ava",100000005735,Right,NOR_GEO_SB,4702b3ef-2df7-4b23-8b5e-6c4fe7edfe98,36.84915,-89.75387,7.81787,1.73544,9.14461,-14.17234,-0.35783,-2.16243,0.88644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
