PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-03,17:02:08.72,1,1,"Pickens, Karlyn",1000000000119,Right,UNI_TEN_SB,"Konz, Emily",100000004582,Left,BEL_BEA_SB,Undefined,1,Top,0,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.89096,3.362652,0.929103,1601.883658,23.78123,6:45,1.43791,0.56336,6.39859,-26.02446,-5.37008,-2.56673,1.33682,0.92007,71.14827,-3.811959,0.233135,0.327098,,,,,,,,,,,,3.20122,-6.75457,-0.32335,50,0.38916,-2.26757,-113.57527,11.26788,4.1715,21.26253,-40.97585,UNI_TEN_SB,BEL_BEA_SB,SPLstadium,D1,SEC,20260303-SPLstadium-1,9fdb9fc0-174c-11f1-9c28-d56726ed1007,115.233,,,4.74268,,,,,,,f865275f-3b4e-49ff-a018-57d93fa2a687,2026-03-03,22:02:08.72,2026-03-03T17:02:08.7247360-05:00,2026-03-03T22:02:08.7247360Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,bfadec48-a37b-4a17-b017-309254ba63bc,36.59975,-111.03826,10.63127,1.44194,6.37871,-20.48793,-0.56422,-1.76984,2.08575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-03,17:02:25.60,1,2,"Pickens, Karlyn",1000000000119,Right,UNI_TEN_SB,"Konz, Emily",100000004582,Left,BEL_BEA_SB,Undefined,1,Top,0,0,1,Dropball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.95943,3.619402,-1.463669,1555.942475,6.178795,6:15,1.47196,-0.02892,6.55424,-25.69915,-5.18977,-0.61252,1.54684,-0.97501,70.99687,-3.500451,-1.630362,0.325947,,,,,,,,,,,,0.26866,-6.65158,-0.31194,50,0.35081,2.80392,-113.74061,11.79515,0.34963,22.13985,-40.83044,UNI_TEN_SB,BEL_BEA_SB,SPLstadium,D1,SEC,20260303-SPLstadium-1,a9efe2a0-174c-11f1-9c28-d56726ed1007,115.63967,,,4.96257,,,,,,,f865275f-3b4e-49ff-a018-57d93fa2a687,2026-03-03,22:02:25.60,2026-03-03T17:02:25.6052736-05:00,2026-03-03T22:02:25.6052736Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,55c5a819-ae4b-43ce-af8a-98afc9bed56a,36.44363,-111.07049,11.06992,1.4764,6.87091,-20.41522,0.02876,2.84608,0.17482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-03,17:02:44.15,1,3,"Pickens, Karlyn",1000000000119,Right,UNI_TEN_SB,"Konz, Emily",100000004582,Left,BEL_BEA_SB,Undefined,1,Top,0,0,2,Dropball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.99822,2.723183,-1.224887,1567.02856,14.172627,6:30,1.55642,-0.18023,6.42784,-26.07438,-5.43036,-1.49319,1.05609,-1.05634,71.02089,-4.478114,-1.630152,0.327016,,,,,,,,,,,,1.32721,-6.63437,-0.094,50,0.65879,2.19187,-113.95566,9.99775,1.72826,22.83809,-40.81329,UNI_TEN_SB,BEL_BEA_SB,SPLstadium,D1,SEC,20260303-SPLstadium-1,b5012320-174c-11f1-9c28-d56726ed1007,115.2619,,,4.97733,,,,,,,f865275f-3b4e-49ff-a018-57d93fa2a687,2026-03-03,22:02:44.15,2026-03-03T17:02:44.1519104-05:00,2026-03-03T22:02:44.1519104Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,18bd5fc1-b287-4f69-a57b-eb930f55dd88,36.56995,-111.23155,11.41905,1.56097,5.12958,-20.40664,0.17974,2.39802,0.86413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-03,17:03:10.97,2,1,"Pickens, Karlyn",1000000000119,Right,UNI_TEN_SB,"Spindler, Rylee",100000004583,Left,BEL_BEA_SB,Undefined,1,Top,1,0,0,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,76.05208,3.661977,-0.34355,1613.48077,21.238297,6:45,1.54945,-0.14605,6.51273,-24.46635,-3.92701,-1.71315,1.75517,-0.4991,70.91874,-3.120596,-0.809447,0.326186,53.73316,-45.229326,-53.365754,,,,,1.39413,1.39413,-36.108741,0.029938,1.87142,-5.32461,0.08063,50,0.43166,0.39454,-113.96872,11.68774,2.43779,22.82237,-39.11007,UNI_TEN_SB,BEL_BEA_SB,SPLstadium,D1,SEC,20260303-SPLstadium-1,c4fa08f0-174c-11f1-9c28-d56726ed1007,115.55517,1.68209,,5.13335,,,,0.13061,1.68209,0.51746,f865275f-3b4e-49ff-a018-57d93fa2a687,2026-03-03,22:03:10.97,2026-03-03T17:03:10.9777408-05:00,2026-03-03T22:03:10.9777408Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,1aeb162a-52ec-4ed9-8d38-6c1362e78467,36.48515,-111.22943,11.41118,1.55278,6.9935,-19.55503,0.14555,0.68714,1.21889,,0.12993,33.25872,,,,,,,,1.68323,-56.1853,,,,,,,,0.51837,-44.72703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2026-03-03,17:03:39.55,3,1,"Pickens, Karlyn",1000000000119,Right,UNI_TEN_SB,"Hughes, Nicole",100000004599,Right,BEL_BEA_SB,Undefined,1,Top,2,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.58176,4.624253,1.761203,1688.272334,39.186948,7:15,1.56322,0.25805,6.63344,-23.29462,-3.27075,-3.01095,2.45023,1.08179,71.79775,-1.837551,0.940625,0.322066,,,,,,,,,,,,3.95138,-4.65925,0.18879,50,0.21213,-4.03076,-114.30033,13.5465,5.24102,20.55202,-38.35399,UNI_TEN_SB,BEL_BEA_SB,SPLstadium,D1,SEC,20260303-SPLstadium-1,d60485d0-174c-11f1-9c28-d56726ed1007,117.03322,,,4.78401,,,,,,,f865275f-3b4e-49ff-a018-57d93fa2a687,2026-03-03,22:03:39.55,2026-03-03T17:03:39.5547136-05:00,2026-03-03T22:03:39.5547136Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,7a3af8e7-ff4f-40bb-8521-aed0ec0fe826,36.36436,-111.82167,10.27601,1.56696,8.92085,-19.177,-0.25922,-3.39867,2.62051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-03,17:03:57.09,3,2,"Pickens, Karlyn",1000000000119,Right,UNI_TEN_SB,"Hughes, Nicole",100000004599,Right,BEL_BEA_SB,Undefined,1,Top,2,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,76.06818,4.26743,-1.751508,1627.047127,28.216294,7:00,1.54926,0.08403,6.58558,-25.29143,-4.805,-2.83417,2.05435,-1.22235,70.90554,-2.747297,-2.522708,0.325765,,,,,,,,,,,,2.72386,-6.43756,-0.47419,50,0.27437,3.00805,-113.86,13.03944,3.5432,22.6832,-40.54802,UNI_TEN_SB,BEL_BEA_SB,SPLstadium,D1,SEC,20260303-SPLstadium-1,e0747d40-174c-11f1-9c28-d56726ed1007,115.70436,,,5.16264,,,,,,,f865275f-3b4e-49ff-a018-57d93fa2a687,2026-03-03,22:03:57.09,2026-03-03T17:03:57.0912768-05:00,2026-03-03T22:03:57.0912768Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,b7c84799-145d-48d8-9746-2b131d72e8cf,36.41211,-111.12005,11.3416,1.55362,8.14157,-20.27401,-0.08499,3.43604,1.7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-03,17:04:13.70,3,3,"Pickens, Karlyn",1000000000119,Right,UNI_TEN_SB,"Hughes, Nicole",100000004599,Right,BEL_BEA_SB,Undefined,1,Top,2,1,1,Dropball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.47003,3.275872,1.336019,1654.72158,38.852245,7:15,1.52104,-0.04669,6.189,-25.59494,-4.42583,-3.94902,1.41456,0.44969,70.64438,-3.74597,0.271776,0.331148,,,,,,,,,,,,4.86473,-5.63587,0.38795,50,0.51824,-3.26897,-112.932,10.84783,6.257,21.34604,-39.42287,UNI_TEN_SB,BEL_BEA_SB,SPLstadium,D1,SEC,20260303-SPLstadium-1,ea5a0f00-174c-11f1-9c28-d56726ed1007,113.82344,,,4.82565,,,,,,,f865275f-3b4e-49ff-a018-57d93fa2a687,2026-03-03,22:04:13.70,2026-03-03T17:04:13.7078272-05:00,2026-03-03T22:04:13.7078272Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,613bb588-881f-4652-a97e-3a7da66bb7e8,36.80922,-110.41058,10.67302,1.52457,6.19114,-19.71143,0.04547,-2.52989,3.1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-03,17:04:31.00,3,4,"Pickens, Karlyn",1000000000119,Right,UNI_TEN_SB,"Hughes, Nicole",100000004599,Right,BEL_BEA_SB,Undefined,1,Top,2,1,2,Dropball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.87858,3.443024,1.773233,1761.151241,30.756491,7:00,1.48292,0.30879,6.32586,-23.18293,-2.45181,-1.72343,1.67327,1.2567,71.1981,-2.944134,1.307339,0.327705,,,,,,,,,,,,2.48906,-3.57973,0.11997,50,0.44117,-3.80571,-113.43489,10.97482,3.24351,20.72876,-36.83881,UNI_TEN_SB,BEL_BEA_SB,SPLstadium,D1,SEC,20260303-SPLstadium-1,f4a3e0d0-174c-11f1-9c28-d56726ed1007,115.01956,,,4.68047,,,,,,,f865275f-3b4e-49ff-a018-57d93fa2a687,2026-03-03,22:04:31.00,2026-03-03T17:04:31.0098944-05:00,2026-03-03T22:04:31.0098944Z,,V3 - Softball,,,,"Morrison, Elsa",100000002936,Right,UNI_TEN_SB,b530119c-5a4e-47b4-93fa-1142ecf95f79,36.67272,-110.97278,10.36438,1.48487,6.5992,-18.4194,-0.30919,-3.42046,1.62176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-03,17:06:55.35,1,1,"Johnson, Maya",100000004605,Left,BEL_BEA_SB,"Knight, Sophia",100000001942,Left,UNI_TEN_SB,Undefined,1,Bottom,0,0,0,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.3288,4.541801,-0.515572,1802.056267,153.318064,11:00,1.51284,0.15877,5.57965,-19.22855,7.98847,-3.65142,2.77056,-0.4695,62.84472,-0.746096,-1.482226,0.375484,,,,,,,,,,,,3.83654,7.56705,-0.24536,50,0.33868,0.44049,-102.33469,10.94846,3.9689,20.73705,-24.3459,UNI_TEN_SB,BEL_BEA_SB,SPLstadium,D1,SEC,20260303-SPLstadium-1,4ab62e10-174d-11f1-9c28-d56726ed1007,100.38359,,,5.48408,,,,,,,f865275f-3b4e-49ff-a018-57d93fa2a687,2026-03-03,22:06:55.35,2026-03-03T17:06:55.3514496-05:00,2026-03-03T22:06:55.3514496Z,,V3 - Softball,,,,"Blume, Brenna",100000004579,Right,BEL_BEA_SB,9f4d8d22-7496-4ea7-9ab5-2f53b6ffa769,37.41646,-99.75219,10.36852,1.51337,7.91652,-12.17295,-0.15973,0.93476,1.98445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-03,17:07:15.02,1,2,"Johnson, Maya",100000004605,Left,BEL_BEA_SB,"Knight, Sophia",100000001942,Left,UNI_TEN_SB,Undefined,1,Bottom,0,0,1,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,68.31278,4.797172,0.459872,1006.262424,190.708961,12:15,1.57203,-0.11032,5.80682,-19.8208,7.00256,1.1939,2.92286,0.27633,62.98311,-0.670592,0.7779,0.372759,,,,,,,,,,,,-1.17335,6.54217,0.2039,50,0.30892,-0.65807,-102.24715,11.57254,-1.2166,20.09179,-25.39079,UNI_TEN_SB,BEL_BEA_SB,SPLstadium,D1,SEC,20260303-SPLstadium-1,566c8830-174d-11f1-9c28-d56726ed1007,101.11749,,,5.32967,,,,,,,f865275f-3b4e-49ff-a018-57d93fa2a687,2026-03-03,22:07:15.02,2026-03-03T17:07:15.0239232-05:00,2026-03-03T22:07:15.0239232Z,,V3 - Softball,,,,"Blume, Brenna",100000004579,Right,BEL_BEA_SB,aa8a83cb-e434-4e5c-a70e-f1c24a9d4aab,37.18939,-99.69806,10.0459,1.5728,8.35116,-12.69539,0.11062,-0.81243,-0.6083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
