PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-04,18:05:19.97,1,1,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.10063,3.850385,-1.865435,1579.457693,47.141955,7:30,1.59433,0.34061,6.45928,-28.67462,-0.49291,-1.24539,1.57,-0.90715,60.73235,-4.106568,-2.203161,0.382081,,,,,,,,,,,,0.84886,-1.20681,-0.76823,50,0.39252,2.99916,-97.44767,10.952,0.80829,16.70707,-33.32318,WIC_STA_SB,UNI_KAN_SB,WilkinsStadium,D1,AME,20260304-WilkinsStadium-1,ffd97020-1826-11f1-a6bb-b5fa763c32e7,98.65043,,,4.36828,,,,,,,4fe7861d-0af1-45ee-ae86-34cee2935fff,2026-03-05,00:05:19.97,2026-03-04T18:05:19.9727104-06:00,2026-03-05T00:05:19.9727104Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,24049c51-576b-45b7-820d-e4c5e513c097,36.53745,-95.11155,8.35354,1.59815,6.2925,-16.66159,-0.34096,3.11219,0.40415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-04,18:05:36.89,1,2,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Top,0,1,0,Fastball,,InPlay,Undefined,GroundBall,Single,0,0,,65.80756,5.001882,-0.970601,1656.395964,341.249454,5:15,1.66789,0.50249,6.02955,-28.10116,0.37988,0.11559,2.43831,-0.09023,60.8709,-2.721634,-0.939638,0.384104,70.02162,-24.537422,-31.132843,,,,,7.60029,7.52428,-20.712578,0.057332,-0.4502,-0.85303,-0.72419,50,0.2586,1.68419,-98.47761,12.74663,-0.43432,18.19858,-32.99702,WIC_STA_SB,UNI_KAN_SB,WilkinsStadium,D1,AME,20260304-WilkinsStadium-1,09e834c0-1827-11f1-a6bb-b5fa763c32e7,98.13071,2.45377,,4.93666,,,,2.50821,2.45377,0.09093,4fe7861d-0af1-45ee-ae86-34cee2935fff,2026-03-05,00:05:36.89,2026-03-04T18:05:36.8962048-06:00,2026-03-05T00:05:36.8962048Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,eb113eec-f07c-4b50-816d-473df105de15,36.96781,-96.03908,9.09929,1.67036,8.32517,-16.49851,-0.50241,1.62599,-0.21716,180,2.50561,80.24952,,,,,,,,2.45515,-42.79951,,,,,,,,0.0925,-48.47237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-03-04,18:06:14.95,2,1,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Linduff, Aynslee",100000003223,Left,UNI_KAN_SB,Undefined,1,Top,0,0,0,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.24342,5.487129,-0.580152,1655.256345,123.227741,10:00,1.67476,1.08002,5.98262,-26.99013,1.95441,-1.94528,2.84565,0.55743,60.58969,-1.916618,-1.100492,0.387217,70.0747,37.854798,-47.406293,3553.202067,59.71383,54.52651,-92.38088,204.89716,84.75875,-63.568847,3.675701,2.00906,0.92004,-1.19563,50,0.16861,0.72434,-97.38984,13.29364,1.91144,16.63606,-31.29871,WIC_STA_SB,UNI_KAN_SB,WilkinsStadium,D1,AME,20260304-WilkinsStadium-1,209df510-1827-11f1-a6bb-b5fa763c32e7,97.34181,54.52996,,4.65373,,,,1.33489,3.07171,-0.59219,4fe7861d-0af1-45ee-ae86-34cee2935fff,2026-03-05,00:06:14.95,2026-03-04T18:06:14.9530000-06:00,2026-03-05T00:06:14.9530000Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,5a4b979c-5b50-4d31-81f0-99f6cad2bd65,37.01447,-95.14581,8.31803,1.67704,9.07177,-15.64936,-1.08054,0.98218,0.95572,137.487441,1.33448,54.93611,-19.63242,6.27581,-1.82179,0.56239,-0.14967,0.02455,-0.0017,3.07297,63.03108,-21.17158,0.74266,0.65824,-0.42905,0.13095,-0.01977,0.00115,-0.59217,-59.74134,6.07716,-1.57413,0.32206,-0.09094,0.02951,-0.00589,0.00047,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-03-04,18:06:38.50,2,2,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Linduff, Aynslee",100000003223,Left,UNI_KAN_SB,Undefined,1,Top,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.98612,6.471442,-0.264213,1566.188278,29.187826,7:00,1.69955,1.26601,5.74878,-29.33852,0.6802,-0.0798,3.31946,1.09411,59.51188,-1.537061,-0.285408,0.394337,,,,,,,,,,,,-0.00626,-0.8748,-1.32427,50,0.00031,0.43788,-97.03011,14.99334,-0.00583,18.67793,-32.98745,WIC_STA_SB,UNI_KAN_SB,WilkinsStadium,D1,AME,20260304-WilkinsStadium-1,2ea989d0-1827-11f1-a6bb-b5fa763c32e7,95.58435,,,5.47424,,,,,,,4fe7861d-0af1-45ee-ae86-34cee2935fff,2026-03-05,00:06:38.50,2026-03-04T18:06:38.5000000-06:00,2026-03-05T00:06:38.5000000Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,449cf4b1-642e-4a08-982d-17c6ba771350,37.24587,-94.54311,9.33896,1.70427,10.60101,-16.49372,-1.26602,0.4371,-0.00291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-04,18:06:58.51,2,3,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Linduff, Aynslee",100000003223,Left,UNI_KAN_SB,Undefined,1,Top,0,1,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.79713,3.800969,-1.531009,1607.81838,9.03636,6:15,1.60466,0.37487,6.18042,-29.38868,-0.48248,-0.1861,1.5085,-0.58687,60.41536,-4.293132,-1.5811,0.386961,,,,,,,,,,,,-0.26106,-1.17043,-0.72564,50,0.44344,2.56678,-96.97006,10.75784,-0.2461,16.5808,-33.27735,WIC_STA_SB,UNI_KAN_SB,WilkinsStadium,D1,AME,20260304-WilkinsStadium-1,3a980af0-1827-11f1-a6bb-b5fa763c32e7,97.40641,,,4.38177,,,,,,,4fe7861d-0af1-45ee-ae86-34cee2935fff,2026-03-05,00:06:58.51,2026-03-04T18:06:58.5130000-06:00,2026-03-05T00:06:58.5130000Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,29cc2484-2fe8-4efc-a6f1-bfbbf79ded59,36.81627,-94.68895,8.2904,1.60853,6.17972,-16.63868,-0.37485,2.53292,-0.12305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-04,18:07:17.94,2,4,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Linduff, Aynslee",100000003223,Left,UNI_KAN_SB,Undefined,1,Top,0,2,1,Offspeed,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,55.41209,4.771814,0.757563,2051.405238,152.398749,11:00,1.67395,0.79571,6.12888,-27.7521,12.59847,-6.00327,2.32116,0.76424,50.79492,-2.999974,-0.856144,0.45719,,,,,,,,,,,,6.92835,13.09402,-0.57793,50,0.29438,-1.75151,-83.0572,10.47626,4.6958,14.20663,-23.29939,WIC_STA_SB,UNI_KAN_SB,WilkinsStadium,D1,AME,20260304-WilkinsStadium-1,463ab600-1827-11f1-a6bb-b5fa763c32e7,82.44377,,,4.61717,,,,,,,4fe7861d-0af1-45ee-ae86-34cee2935fff,2026-03-05,00:07:17.94,2026-03-04T18:07:17.9450000-06:00,2026-03-05T00:07:17.9450000Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,f27f51fe-8ac5-4cf9-9747-e5070a7ca34e,36.86344,-80.779,7.10332,1.67479,6.73992,-11.6497,-0.79843,-0.99848,2.3479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-04,18:07:39.95,2,5,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Linduff, Aynslee",100000003223,Left,UNI_KAN_SB,Undefined,1,Top,0,2,2,Offspeed,,BallCalled,Undefined,Undefined,Undefined,0,0,,55.63565,3.102403,1.700516,2018.036232,150.455787,11:00,1.64495,0.94922,6.09917,-27.80372,12.10473,-6.2217,1.25207,1.48421,51.23982,-4.663011,0.029667,0.454678,,,,,,,,,,,,7.55044,13.15997,-0.51292,50,0.65411,-3.17119,-83.53359,8.07533,5.18182,14.2615,-23.14241,WIC_STA_SB,UNI_KAN_SB,WilkinsStadium,D1,AME,20260304-WilkinsStadium-1,534d6bd0-1827-11f1-a6bb-b5fa763c32e7,82.89919,,,4.39583,,,,,,,4fe7861d-0af1-45ee-ae86-34cee2935fff,2026-03-05,00:07:39.95,2026-03-04T18:07:39.9500000-06:00,2026-03-05T00:07:39.9500000Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,f0bd52fb-3dd8-4b77-98db-0a83824bf2c3,36.89444,-81.26531,7.13075,1.64578,4.39455,-11.57121,-0.95176,-2.34703,2.59091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-04,18:08:03.17,2,6,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Linduff, Aynslee",100000003223,Left,UNI_KAN_SB,Undefined,1,Top,0,3,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.75107,3.995674,0.109502,1568.442882,163.26496,11:30,1.6633,1.06375,6.17395,-22.80871,4.98398,-1.32929,2.23596,1.02065,61.81754,-2.298781,-0.248396,0.379434,58.93099,41.214067,-126.382181,2380.146489,,,,,26.20636,,,1.5441,4.99902,-1.02683,50,0.50709,-0.37728,-98.1023,10.38006,1.51296,14.728,-27.27578,WIC_STA_SB,UNI_KAN_SB,WilkinsStadium,D1,AME,20260304-WilkinsStadium-1,611b5b50-1827-11f1-a6bb-b5fa763c32e7,99.33846,20.70426,,3.93353,,,,0.72639,2.02249,-0.89296,4fe7861d-0af1-45ee-ae86-34cee2935fff,2026-03-05,00:08:03.17,2026-03-04T18:08:03.1720000-06:00,2026-03-05T00:08:03.1720000Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,5e6b5963-57e3-42c4-972d-1ce5ac300ad6,36.82322,-96.10373,7.364,1.66452,6.67877,-13.63789,-1.0641,-0.17198,0.75648,38.049554,0.73628,-38.89229,-2.28867,,,,,,,2.03835,56.43282,-27.6569,,,,,,,-0.8999,-52.12125,9.34155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2026-03-04,18:08:28.60,2,7,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Linduff, Aynslee",100000003223,Left,UNI_KAN_SB,Undefined,1,Top,0,3,2,Fastball,,InPlay,Undefined,GroundBall,Out,2,0,,65.16551,3.456112,-1.12283,1571.801665,61.06525,8:00,1.63297,0.36255,6.21301,-28.01773,0.48425,-0.35161,1.43472,-0.36,60.77601,-4.275795,-1.217608,0.384246,48.45786,-7.350413,-6.576496,,,,,10.98393,10.55509,-3.885707,0.133623,0.05315,-0.14323,-0.61844,50,0.5543,1.86398,-97.62042,10.10388,0.0507,16.96573,-32.31073,WIC_STA_SB,UNI_KAN_SB,WilkinsStadium,D1,AME,20260304-WilkinsStadium-1,7040c480-1827-11f1-a6bb-b5fa763c32e7,98.09468,1.47219,,4.3895,,,,1.72376,1.47219,0.35645,4fe7861d-0af1-45ee-ae86-34cee2935fff,2026-03-05,00:08:28.60,2026-03-04T18:08:28.6010000-06:00,2026-03-05T00:08:28.6010000Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,3a2d5bb3-fcf8-4aff-a99a-5fe057e9d0e6,36.78454,-95.29599,8.48287,1.63535,5.67708,-16.15536,-0.36259,1.87093,0.02535,107.761169,1.72384,70.0153,-6.77012,,,,,,,1.47227,-9.10127,-14.35076,,,,,,,0.35647,-8.07511,-1.22186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-04,18:09:09.47,3,1,"Nihart, Ryley",1000000000206,Right,WIC_STA_SB,"Soles, Anna",100000003229,Left,UNI_KAN_SB,Undefined,1,Top,2,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.87982,3.14787,1.492084,1630.102289,165.123146,11:30,1.67049,1.08612,6.0116,-26.55009,1.43583,-0.2222,1.41495,1.99416,61.90934,-4.12501,1.432525,0.380751,,,,,,,,,,,,0.65925,1.17429,-0.74535,50,0.69752,-2.59418,-98.41677,9.37175,0.6474,15.43449,-31.02088,WIC_STA_SB,UNI_KAN_SB,WilkinsStadium,D1,AME,20260304-WilkinsStadium-1,88a23900-1827-11f1-a6bb-b5fa763c32e7,98.99494,,,3.97049,,,,,,,4fe7861d-0af1-45ee-ae86-34cee2935fff,2026-03-05,00:09:09.47,2026-03-04T18:09:09.4710000-06:00,2026-03-05T00:09:09.4710000Z,,V3 - Softball,,,,"Scott, Gabby",1000000000204,Right,WIC_STA_SB,d25e9b8c-29c9-43be-b199-f96d51e1f784,36.98564,-96.35414,7.71725,1.67294,5.22619,-15.51044,-1.08625,-2.50766,0.3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
