PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-06,15:05:14.76,1,1,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Owens, Lily",100000001905,Right,BYU_COU_SB,Undefined,1,Top,0,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,67.94136,5.347712,0.096974,913.685224,12.830446,6:30,1.74664,0.54876,5.51754,-36.38974,-8.90209,-2.18725,2.09019,0.42753,62.92051,-4.443926,-0.480847,0.377346,,,,,,,,,,,,2.38744,-10.78323,-0.51318,50,0.28822,-0.44543,-101.54365,14.44841,2.45386,19.04816,-43.25723,ARI_WIL_SB,BYU_COU_SB,HillenbrandStad,D1,B12,20260306-HillenbrandStad-1,8e081310-19a8-11f1-a38a-716f10725885,99.88816,,,5.02085,,,,,,,e7c66209-5b7c-4dc7-b87a-d47b67d6775b,2026-03-06,22:05:14.76,2026-03-06T15:05:14.7670000-07:00,2026-03-06T22:05:14.7670000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,ed696fef-d36d-4251-824a-ffc6439ebff8,37.48103,-99.16747,9.52408,1.75403,9.05224,-21.62862,-0.54965,-0.13932,1.22693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-06,15:05:29.47,1,2,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Owens, Lily",100000001905,Right,BYU_COU_SB,Undefined,1,Top,0,0,1,Dropball,,InPlay,Undefined,FlyBall,Single,0,0,,68.55854,5.389533,-1.010024,985.978863,22.61148,6:45,1.78678,0.4931,5.18848,-34.19352,-6.78713,-3.10347,2.37147,-0.40717,63.69136,-3.728475,-1.821983,0.376788,80.84437,15.64392,-0.17095,859.444599,109.89864,22.0534,4.71804,217.95682,217.95682,4.70158,2.571535,3.02441,-8.54666,-0.68741,50,0.37456,1.41383,-102.25567,14.23647,3.17189,18.3566,-41.13741,ARI_WIL_SB,BYU_COU_SB,HillenbrandStad,D1,B12,20260306-HillenbrandStad-1,96c9e550-19a8-11f1-a38a-716f10725885,100.03614,22.22228,,4.86717,,,,0.87496,2.4836,0.40239,e7c66209-5b7c-4dc7-b87a-d47b67d6775b,2026-03-06,22:05:29.47,2026-03-06T15:05:29.4750000-07:00,2026-03-06T22:05:29.4750000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,4eaa7768-845f-42fe-b993-69a2c1d2801a,37.81013,-100.04345,9.1783,1.79152,9.27886,-20.56871,-0.494,1.79609,1.58594,209.979267,0.87495,114.18024,-18.94438,4.29724,-0.82958,0.13936,-0.02049,0.00228,-0.00012,2.48363,31.97028,-12.70311,-0.45587,0.28419,-0.07336,0.01171,-0.00058,-4E-05,0.4024,-0.34208,5.0437,-1.494,0.37434,-0.07796,0.01273,-0.00136,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-03-06,15:05:59.82,2,1,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Shuler, Hailey",100000001129,Right,BYU_COU_SB,Undefined,1,Top,0,0,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.59472,5.381782,0.5905,911.855828,22.654031,6:45,1.7955,0.70474,5.54613,-33.98088,-7.21146,-3.27398,2.3589,0.80332,63.85643,-3.762306,-0.274981,0.372384,,,,,,,,,,,,3.79071,-9.26024,-0.55065,50,0.32587,-1.49716,-102.35578,14.48731,3.99283,18.01833,-41.92801,ARI_WIL_SB,BYU_COU_SB,HillenbrandStad,D1,B12,20260306-HillenbrandStad-1,a8d5cca0-19a8-11f1-a38a-716f10725885,101.21936,,,4.73829,,,,,,,e7c66209-5b7c-4dc7-b87a-d47b67d6775b,2026-03-06,22:05:59.82,2026-03-06T15:05:59.8230000-07:00,2026-03-06T22:05:59.8230000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,bf960d94-9ea7-4c6c-bb5e-7eed912eeb26,37.45298,-100.12269,9.00917,1.79935,9.29099,-20.96401,-0.70553,-1.00231,1.99641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-06,15:06:20.11,2,2,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Shuler, Hailey",100000001129,Right,BYU_COU_SB,Undefined,1,Top,0,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.67253,4.121501,1.907104,918.705443,10.526194,6:15,1.7589,0.61059,5.32319,-35.49388,-7.70485,-1.55378,1.41536,1.68848,63.19749,-5.371097,1.498695,0.37941,,,,,,,,,,,,2.28587,-9.50804,-0.18857,50,0.57948,-3.5717,-101.09565,12.17917,2.34722,17.68201,-41.93728,ARI_WIL_SB,BYU_COU_SB,HillenbrandStad,D1,B12,20260306-HillenbrandStad-1,b4f0dc00-19a8-11f1-a38a-716f10725885,99.34501,,,4.47504,,,,,,,e7c66209-5b7c-4dc7-b87a-d47b67d6775b,2026-03-06,22:06:20.11,2026-03-06T15:06:20.1140000-07:00,2026-03-06T22:06:20.1140000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,bbc023f6-a5ce-4532-acaa-db81605ff5de,37.67621,-98.91669,8.84101,1.76191,7.01123,-20.96864,-0.61089,-3.28245,1.17361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-06,15:06:35.28,2,3,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Shuler, Hailey",100000001129,Right,BYU_COU_SB,Undefined,1,Top,0,1,1,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.41282,5.300883,1.262983,991.378728,2.182298,6:00,1.70948,0.34276,5.43771,-37.89057,-9.0613,-0.37244,1.90644,1.10862,61.69709,-4.864183,1.164842,0.386446,,,,,,,,,,,,0.79602,-10.90875,-0.06607,50,0.25728,-2.23205,-99.16883,14.22338,0.78332,17.61481,-42.90857,ARI_WIL_SB,BYU_COU_SB,HillenbrandStad,D1,B12,20260306-HillenbrandStad-1,be053b10-19a8-11f1-a38a-716f10725885,97.5362,,,4.71573,,,,,,,e7c66209-5b7c-4dc7-b87a-d47b67d6775b,2026-03-06,22:06:35.28,2026-03-06T15:06:35.2810000-07:00,2026-03-06T22:06:35.2810000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,0657a201-36db-45a0-ad9a-4849301c063e,37.56133,-96.93424,8.80741,1.71638,8.78007,-21.45429,-0.34292,-2.13268,0.39166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-06,15:06:50.26,2,4,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Shuler, Hailey",100000001129,Right,BYU_COU_SB,Undefined,1,Top,0,1,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.66014,3.992826,1.177019,999.946456,23.802623,6:45,1.6723,0.52671,5.41793,-36.84687,-9.08654,-4.31607,1.12664,0.91009,62.93228,-5.894874,0.038458,0.379213,,,,,,,,,,,,5.04882,-10.66056,-0.2422,50,0.51503,-2.62557,-101.28121,12.05011,5.16558,18.85894,-43.08112,ARI_WIL_SB,BYU_COU_SB,HillenbrandStad,D1,B12,20260306-HillenbrandStad-1,c6f178b0-19a8-11f1-a38a-716f10725885,99.3964,,,4.72786,,,,,,,e7c66209-5b7c-4dc7-b87a-d47b67d6775b,2026-03-06,22:06:50.26,2026-03-06T15:06:50.2620000-07:00,2026-03-06T22:06:50.2620000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,a5782096-3f72-4f89-abe4-58fbf14f13fe,37.58115,-98.94176,9.42947,1.67837,6.70589,-21.54056,-0.52816,-1.98478,2.58279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-06,15:07:06.23,2,5,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Shuler, Hailey",100000001129,Right,BYU_COU_SB,Undefined,1,Top,0,2,2,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.00508,5.135296,0.321374,859.379901,26.738426,7:00,1.74034,0.54663,5.39883,-36.83372,-9.1628,-4.98331,1.92277,0.33432,62.86479,-4.749691,-0.991195,0.378602,,,,,,,,,,,,5.5274,-11.30272,-0.44247,50,0.33447,-1.20621,-101.73636,14.13989,5.68003,19.72961,-43.78885,ARI_WIL_SB,BYU_COU_SB,HillenbrandStad,D1,B12,20260306-HillenbrandStad-1,d0705960-19a8-11f1-a38a-716f10725885,99.55682,,,5.14029,,,,,,,e7c66209-5b7c-4dc7-b87a-d47b67d6775b,2026-03-06,22:07:06.23,2026-03-06T15:07:06.2330000-07:00,2026-03-06T22:07:06.2330000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,75051a78-6b25-4946-8f54-acb338064b78,37.60018,-99.30256,9.86481,1.74556,8.73821,-21.89442,-0.54805,-0.50554,2.84002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-06,15:07:34.96,2,6,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Shuler, Hailey",100000001129,Right,BYU_COU_SB,Undefined,1,Top,0,2,2,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.85002,4.954336,1.38111,900.408366,5.858126,6:15,1.63515,0.46854,5.32086,-40.19475,-11.19194,-1.23484,1.42994,1.23991,61.36905,-5.818257,1.056549,0.387607,,,,,,,,,,,,1.82276,-13.11505,-0.16408,50,0.27469,-2.56001,-100.20516,13.80037,1.7954,20.90254,-45.09234,ARI_WIL_SB,BYU_COU_SB,HillenbrandStad,D1,B12,20260306-HillenbrandStad-1,e197fb30-19a8-11f1-a38a-716f10725885,97.24398,,,5.48097,,,,,,,e7c66209-5b7c-4dc7-b87a-d47b67d6775b,2026-03-06,22:07:34.96,2026-03-06T15:07:34.9680000-07:00,2026-03-06T22:07:34.9680000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,b784b91b-7614-4f67-8a1f-8f0f09f1f7c7,37.67755,-97.60089,10.45127,1.6441,8.18226,-22.54617,-0.4691,-2.33632,0.8977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-06,15:07:50.97,2,7,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Shuler, Hailey",100000001129,Right,BYU_COU_SB,Undefined,1,Top,0,3,2,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,67.76066,5.462726,1.255802,933.347808,13.800237,6:30,1.71975,0.65122,5.56835,-36.2075,-8.69823,-2.30378,2.14749,1.24874,62.87715,-4.285817,0.64668,0.377495,42.95206,-6.712067,-49.515345,,,,,16.2273,4.6779,-47.396485,0.229334,2.95185,-11.1002,-0.35798,50,0.20992,-2.52791,-101.19853,14.78241,3.02273,18.44881,-43.54076,ARI_WIL_SB,BYU_COU_SB,HillenbrandStad,D1,B12,20260306-HillenbrandStad-1,eb1702f0-19a8-11f1-a38a-716f10725885,99.8489,1.69875,,4.88352,,,,1.61306,1.69875,-0.96558,e7c66209-5b7c-4dc7-b87a-d47b67d6775b,2026-03-06,22:07:50.97,2026-03-06T15:07:50.9770000-07:00,2026-03-06T22:07:50.9770000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,197cfc7d-801e-45f8-adc3-855ea37ad2b4,37.43099,-98.88062,9.22441,1.72353,9.31193,-21.77038,-0.65173,-2.14813,1.51136,180,1.60404,40.86409,,,,,,,,1.70038,-7.40731,,,,,,,,-0.95501,-47.87166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2026-03-06,15:08:14.13,2,8,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Shuler, Hailey",100000001129,Right,BYU_COU_SB,Undefined,1,Top,0,3,2,Changeup,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,52.43452,8.077563,0.302452,788.090503,3.611848,6:00,1.69829,0.5724,5.79442,-54.38464,-8.35859,-0.60382,2.24553,0.71101,48.36861,-6.661666,0.142268,0.488285,,,,,,,,,,,,0.75811,-10.89961,-0.50076,50,-0.5791,-0.47134,-78.05755,16.99753,0.45861,11.6145,-38.76757,ARI_WIL_SB,BYU_COU_SB,HillenbrandStad,D1,B12,20260306-HillenbrandStad-1,f9023e70-19a8-11f1-a38a-716f10725885,77.19356,,,4.0659,,,,,,,e7c66209-5b7c-4dc7-b87a-d47b67d6775b,2026-03-06,22:08:14.13,2026-03-06T15:08:14.1340000-07:00,2026-03-06T22:08:14.1340000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,0236a7b7-eff3-4e1f-85b4-28e18ba06c21,37.20525,-76.12997,5.80725,1.70797,10.56353,-19.38379,-0.57267,-0.39522,0.2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.53872,1.898397,0.766976,1.131421,-1.54277,1.86588,-0.71802,-1.92527,4.65789,0.22709,84.85243,4.15179,1.53227,-1.83484,85.20257,-7.67904,4.67007,12.91944,-11.84014,0.21063,-0.1252,1.15941,High,High,High,,,High,High,High
