PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-07,17:58:18.16,1,1,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Novickas, Gabi",100000003037,Right,GEO_BUL_SB,Undefined,3,Top,1,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,This is where trackman started to work again,68.51914,6.536527,-2.697004,1161.959799,34.059016,7:15,1.68461,0.63735,6.13585,-29.10663,-2.86524,-2.37457,3.32519,-1.23033,63.32931,-1.43643,-3.332839,0.368693,,,,,,,,,,,,1.79874,-4.81717,-1.2374,50,-0.09715,4.47896,-102.10331,16.13503,1.87268,18.97361,-37.18921,UNI_ARK_SB,GEO_BUL_SB,BoglePark,D1,SEC,20260307-BoglePark-1,910f7a10-1a81-11f1-9b59-a7c7d5f2e34b,102.23254,,,5.18983,,,,,,,9c1b86f5-081f-496b-902f-918261a966c1,2026-03-07,23:58:18.16,2026-03-07T17:58:18.1640000-06:00,2026-03-07T23:58:18.1640000Z,,V3 - Softball,,,,"Miller, Kennedy",100000006714,Right,UNI_ARK_SB,b8b8249e-81b8-4335-97a0-d497acc634e2,36.86127,-99.63186,9.4868,1.68907,11.29087,-18.5946,-0.63809,4.72289,0.93634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-07,17:58:30.94,1,2,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Novickas, Gabi",100000003037,Right,GEO_BUL_SB,Undefined,3,Top,1,1,0,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.51483,7.195482,0.714755,813.47174,52.381828,7:45,1.83296,0.62608,5.88516,-40.72821,-6.47662,-9.56705,2.94617,0.27418,55.72646,-3.885428,-1.832675,0.421223,50.14071,37.063191,154.044449,2322.984938,,,,,27.49546,,,10.86312,-9.08934,-0.39273,50,-0.15609,-2.27051,-90.26192,16.65443,8.78662,15.53528,-39.52594,UNI_ARK_SB,GEO_BUL_SB,BoglePark,D1,SEC,20260307-BoglePark-1,98d8bb80-1a81-11f1-9b59-a7c7d5f2e34b,89.48343,19.00086,,4.78837,,,,1.85493,2.93971,-0.28669,9c1b86f5-081f-496b-902f-918261a966c1,2026-03-07,23:58:30.94,2026-03-07T17:58:30.9460000-06:00,2026-03-07T23:58:30.9460000Z,,V3 - Softball,,,,"Miller, Kennedy",100000006714,Right,UNI_ARK_SB,f4f8b1bf-9d83-46a6-ae24-665514fb2772,37.11388,-88.01611,7.76764,1.8385,10.94047,-19.76297,-0.62915,-1.00029,4.39331,359.929954,1.85493,-52.76341,1.15521,1.01598,-0.34188,0.09698,-0.01919,0.00404,-0.00033,2.93971,44.32198,-26.31043,3.03204,-0.6017,0.09853,-0.01676,0.00463,-0.00099,-0.28669,25.68378,-0.5748,-0.41769,0.14594,-0.04303,0.00992,-0.00338,0.00091,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-03-07,17:58:49.88,1,3,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Novickas, Gabi",100000003037,Right,GEO_BUL_SB,Undefined,3,Top,1,1,1,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,68.55686,5.767664,-1.139249,1196.070561,35.634957,7:15,1.76733,0.63208,6.00177,-28.07194,-1.64571,-1.67784,3.02268,-0.21532,63.12496,-1.927789,-1.588019,0.369989,,,,,,,,,,,,1.47563,-3.29205,-0.87799,50,0.19688,1.81041,-102.49826,14.54015,1.53715,20.22801,-35.60338,UNI_ARK_SB,GEO_BUL_SB,BoglePark,D1,SEC,20260307-BoglePark-1,a4168a40-1a81-11f1-9b59-a7c7d5f2e34b,101.87447,,,5.4319,,,,,,,9c1b86f5-081f-496b-902f-918261a966c1,2026-03-07,23:58:49.88,2026-03-07T17:58:49.8870000-06:00,2026-03-07T23:58:49.8870000Z,,V3 - Softball,,,,"Miller, Kennedy",100000006714,Right,UNI_ARK_SB,c5cf5c25-1171-48ec-9691-ac212c23469c,36.99469,-99.8987,10.114,1.77147,9.96466,-17.80169,-0.63263,2.00796,0.76858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-07,17:59:05.95,1,4,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Novickas, Gabi",100000003037,Right,GEO_BUL_SB,Undefined,3,Top,1,1,1,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,69.1448,5.217831,-2.492035,1250.006878,13.189718,6:30,1.76998,0.37938,6.23986,-29.52844,-4.04272,-1.095,2.53993,-1.25008,64.09535,-2.901505,-2.786586,0.363346,48.9817,45.743137,35.169508,,,,,114.56696,59.34508,45.87792,3.024697,0.45071,-5.97996,-0.94603,50,0.26906,4.33648,-103.37261,14.09746,0.4804,19.6348,-38.54803,UNI_ARK_SB,GEO_BUL_SB,BoglePark,D1,SEC,20260307-BoglePark-1,ad84f030-1a81-11f1-9b59-a7c7d5f2e34b,103.73717,38.10806,,5.04944,,,,1.15889,2.46032,1.20205,9c1b86f5-081f-496b-902f-918261a966c1,2026-03-07,23:59:05.95,2026-03-07T17:59:05.9500000-06:00,2026-03-07T23:59:05.9500000Z,,V3 - Softball,,,,"Miller, Kennedy",100000006714,Right,UNI_ARK_SB,7d1d6185-5b81-406e-8109-7504fd45ae47,36.75838,-100.82611,9.8174,1.77321,9.09803,-19.27401,-0.37957,4.39879,0.2402,217.253335,1.1588,40.98818,-9.02051,2.28484,-0.63662,0.24724,-0.08031,0.01429,-0.001,2.46036,51.45027,-20.43011,1.63688,-0.21092,-0.02911,0.01592,-0.0013,-9E-05,1.20207,28.87626,-1.08723,0.13381,0.06435,-0.06129,0.02441,-0.00498,0.00042,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2026-03-07,17:59:38.75,1,5,"Burnham, Payton",100000006717,Right,UNI_ARK_SB,"Novickas, Gabi",100000003037,Right,GEO_BUL_SB,Undefined,3,Top,1,1,2,Dropball,,InPlay,Undefined,GroundBall,Out,2,0,,64.57191,3.462355,-1.744569,1494.076446,204.015686,12:45,1.67529,0.42728,5.80744,-21.81777,8.36678,3.34378,2.0227,-0.38373,59.20493,-2.584227,-0.853961,0.395425,57.78086,-15.971294,-42.523269,,,,,9.83301,6.47509,-28.25093,0.091716,-4.36634,8.45032,-0.84261,50,0.69452,3.37846,-96.97095,8.96081,-4.02473,19.67589,-24.3849,UNI_ARK_SB,GEO_BUL_SB,BoglePark,D1,SEC,20260307-BoglePark-1,c12d2260-1a81-11f1-9b59-a7c7d5f2e34b,95.32142,2.14819,,5.36697,,,,3.12993,2.14819,0.4188,9c1b86f5-081f-496b-902f-918261a966c1,2026-03-07,23:59:38.75,2026-03-07T17:59:38.7520000-06:00,2026-03-07T23:59:38.7520000Z,,V3 - Softball,,,,"Miller, Kennedy",100000006714,Right,UNI_ARK_SB,eb5b9443-1ad2-4f86-96cc-1011c73245e4,37.1883,-94.33559,9.83794,1.676,5.69472,-12.19245,-0.4262,2.8394,-2.01236,180,3.12598,60.31429,,,,,,,,2.14972,-23.42209,,,,,,,,0.42242,-55.31294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2026-03-07,18:02:03.00,1,1,"Little, Ada",100000003035,Left,GEO_BUL_SB,"Bell, Tianna",100000002472,Right,UNI_ARK_SB,Undefined,3,Bottom,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.09942,4.653386,2.145216,982.884509,335.969445,5:15,1.49428,-0.81119,6.41793,-37.52797,-8.5291,4.20544,1.23129,0.85651,59.3751,-5.748318,3.283595,0.38758,,,,,,,,,,,,-3.92307,-11.27296,1.27821,50,0.03967,-3.09884,-98.11199,13.47015,-3.64613,22.23007,-42.6512,UNI_ARK_SB,GEO_BUL_SB,BoglePark,D1,SEC,20260307-BoglePark-1,17110ca0-1a82-11f1-9b59-a7c7d5f2e34b,97.25063,,,5.72432,,,,,,,9c1b86f5-081f-496b-902f-918261a966c1,2026-03-08,00:02:03.00,2026-03-07T18:02:03.0090000-06:00,2026-03-08T00:02:03.0090000Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,f1a4972a-d864-47ce-b801-0809502664b3,36.58012,-95.02269,11.11503,1.49976,7.54295,-21.3256,0.81236,-3.60554,-1.82306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-07,18:02:17.56,1,2,"Little, Ada",100000003035,Left,GEO_BUL_SB,"Bell, Tianna",100000002472,Right,UNI_ARK_SB,Undefined,3,Bottom,0,1,0,Curveball,,InPlay,Undefined,GroundBall,Out,1,0,,65.35833,5.927714,1.92909,1108.00369,320.12842,4:45,1.48603,-0.92452,6.81483,-33.08116,-5.24394,5.00303,2.34129,0.66346,60.16498,-3.328086,3.296856,0.379738,66.34018,-6.082609,-37.3579,,,,,24.29482,21.23121,-35.700196,0.239689,-5.18508,-7.86953,1.34185,50,-0.30891,-2.55771,-97.99311,15.41296,-4.90621,19.36502,-39.62035,UNI_ARK_SB,GEO_BUL_SB,BoglePark,D1,SEC,20260307-BoglePark-1,1fcb3dc0-1a82-11f1-9b59-a7c7d5f2e34b,99.25903,2.55298,,5.19335,,,,2.04594,2.55298,-0.61354,9c1b86f5-081f-496b-902f-918261a966c1,2026-03-08,00:02:17.56,2026-03-07T18:02:17.5670000-06:00,2026-03-08T00:02:17.5670000Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,d589e533-88cd-4840-965d-810b66f2b412,36.18337,-95.22359,9.68251,1.49021,9.74658,-19.81018,0.92588,-3.25938,-2.4531,174.877074,2.04785,76.79763,-12.66927,,,,,,,2.55128,-10.21547,-1.7633,,,,,,,-0.61478,-58.63958,8.60079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-03-07,18:02:46.66,2,1,"Little, Ada",100000003035,Left,GEO_BUL_SB,"Bain, Brinli",1000000000801,Left,UNI_ARK_SB,Undefined,3,Bottom,1,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.16626,1.472593,1.369266,1032.782401,33.865918,7:15,1.54793,-0.97903,6.62568,-33.54927,-4.78685,-3.69819,-0.34891,-0.45163,59.99842,-7.846951,0.357942,0.385997,,,,,,,,,,,,4.84441,-5.93189,1.34191,50,0.83389,-2.86248,-96.57417,7.70324,4.48084,17.92966,-37.66075,UNI_ARK_SB,GEO_BUL_SB,BoglePark,D1,SEC,20260307-BoglePark-1,310c33f0-1a82-11f1-9b59-a7c7d5f2e34b,97.64954,,,4.16784,,,,,,,9c1b86f5-081f-496b-902f-918261a966c1,2026-03-08,00:02:46.66,2026-03-07T18:02:46.6600000-06:00,2026-03-08T00:02:46.6600000Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,4ca2420d-54dd-412a-92ca-dafe13db6d59,36.37336,-94.01026,8.96483,1.55038,2.31782,-18.83037,0.97839,-2.22173,2.24042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-07,18:03:03.77,2,2,"Little, Ada",100000003035,Left,GEO_BUL_SB,"Bain, Brinli",1000000000801,Left,UNI_ARK_SB,Undefined,3,Bottom,1,1,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.78033,5.0259,3.012714,1027.568433,28.921813,7:00,1.52505,-0.63796,6.43419,-31.90297,-4.12709,-2.64862,1.96191,0.99123,61.17355,-3.787746,2.296509,0.37932,,,,,,,,,,,,3.98843,-5.93221,1.36901,50,0.0144,-5.55624,-98.29279,13.56728,3.85881,17.1889,-37.91346,UNI_ARK_SB,GEO_BUL_SB,BoglePark,D1,SEC,20260307-BoglePark-1,3b5bf930-1a82-11f1-9b59-a7c7d5f2e34b,99.36855,,,4.60678,,,,,,,9c1b86f5-081f-496b-902f-918261a966c1,2026-03-08,00:03:03.77,2026-03-07T18:03:03.7710000-06:00,2026-03-08T00:03:03.7710000Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,4584d419-6aea-4a3d-bf12-0f0b48d6813b,36.56421,-95.91444,8.59445,1.52871,8.32136,-18.95673,0.63716,-5.02232,1.9294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-07,18:03:20.48,2,3,"Little, Ada",100000003035,Left,GEO_BUL_SB,"Bain, Brinli",1000000000801,Left,UNI_ARK_SB,Undefined,3,Bottom,1,1,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.45291,3.440989,-1.161288,1026.000584,6.577406,6:15,1.46724,-0.73169,6.70021,-31.52951,-3.98536,-0.5378,0.9377,-1.48363,60.96646,-5.355023,-1.308342,0.377734,,,,,,,,,,,,0.2537,-5.52209,0.45931,50,0.29839,1.91093,-98.29912,10.944,0.24397,18.06896,-37.48468,UNI_ARK_SB,GEO_BUL_SB,BoglePark,D1,SEC,20260307-BoglePark-1,453a8610-1a82-11f1-9b59-a7c7d5f2e34b,99.78571,,,4.48645,,,,,,,9c1b86f5-081f-496b-902f-918261a966c1,2026-03-08,00:03:20.48,2026-03-07T18:03:20.4810000-06:00,2026-03-08T00:03:20.4810000Z,,V3 - Softball,,,,"Miller, Marisa",100000002364,Right,GEO_BUL_SB,da6d9773-a5af-4548-92a6-a9848789c223,36.29838,-95.74742,9.03448,1.47012,5.65042,-18.74234,0.73161,1.94538,0.12198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
