PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-07,14:03:01.17,1,1,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,"Groff, Rylinn",100000002433,Right,OMA_MAV_SB,Undefined,1,Top,0,0,0,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,69.65343,6.668373,0.084356,1016.904247,12.366601,6:30,1.66799,0.55465,5.96563,-32.56958,-6.90296,-1.66067,3.11805,0.4687,64.14178,-2.201346,-0.359237,0.364633,36.81294,-21.934483,27.70705,,,,,6.27478,5.87969,25.781353,0.140524,1.87083,-9.4239,-0.52301,50,-0.137,-0.38228,-103.97293,17.00835,2.01035,20.41505,-42.30083,NEB_COR_SB,OMA_MAV_SB,BowlinStadium,D1,B10,20260307-BowlinStadium-1,a53c96b0-1a60-11f1-b582-d3437e4e0890,103.37093,3.06141,,5.51165,,,,-0.54477,3.06141,-0.43447,a4841fdd-e1e3-415f-aa46-6069ea8dde7c,2026-03-07,20:03:01.17,2026-03-07T14:03:01.1794432-06:00,2026-03-07T20:03:01.1794432Z,,V3 - Softball,,,,"Farrell, Jesse",1000000000696,Right,NEB_COR_SB,29fbcaf8-a4cf-4867-8932-fc2df4929d42,37.03233,-101.39477,10.20753,1.67362,11.66629,-21.15042,-0.55525,-0.1284,1.00517,128.239317,-0.54474,44.33774,-1.80427,,,,,,,3.06151,-20.17773,-11.45245,,,,,,,-0.43442,23.28204,-5.4781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-03-07,14:03:35.41,2,1,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,"Sedlacek, Taylor",100000006692,Right,OMA_MAV_SB,Undefined,1,Top,1,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.21732,4.204242,0.121108,1187.141582,159.004944,11:15,1.69435,0.55253,6.2467,-22.60588,3.51882,-1.09776,2.40812,0.53574,63.13655,-2.074399,-0.175049,0.367872,,,,,,,,,,,,1.27614,3.07721,-0.51563,50,0.49306,-0.37125,-102.19909,11.06756,1.32661,19.52898,-28.97513,NEB_COR_SB,OMA_MAV_SB,BowlinStadium,D1,B10,20260307-BowlinStadium-1,b9a6b950-1a60-11f1-b582-d3437e4e0890,102.46064,,,5.08077,,,,,,,a4841fdd-e1e3-415f-aa46-6069ea8dde7c,2026-03-07,20:03:35.41,2026-03-07T14:03:35.4153984-06:00,2026-03-07T20:03:35.4153984Z,,V3 - Softball,,,,"Farrell, Jesse",1000000000696,Right,NEB_COR_SB,5941749b-57e9-4d85-aa29-0fafca3b6569,36.74891,-99.6348,9.76449,1.69652,7.26292,-14.48756,-0.55294,-0.19705,0.66331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-07,14:03:55.57,2,2,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,"Sedlacek, Taylor",100000006692,Right,OMA_MAV_SB,Undefined,1,Top,1,0,1,Riseball,,InPlay,Undefined,FlyBall,Out,1,0,,66.82243,3.355352,-0.254172,1253.249943,195.564056,12:30,1.70524,0.41575,6.32741,-22.3423,4.60969,1.10319,1.91042,0.35128,62.16805,-2.864748,0.044259,0.373652,64.2057,53.961391,-8.859007,,109.13656,60.56362,-13.75474,139.47594,60.08309,-7.046084,4.59819,-1.34146,4.62689,-0.48453,50,0.69051,0.60357,-100.15089,9.39637,-1.3453,18.07712,-27.53386,NEB_COR_SB,OMA_MAV_SB,BowlinStadium,D1,B10,20260307-BowlinStadium-1,c5a3e070-1a60-11f1-b582-d3437e4e0890,100.87585,80.63745,,4.65438,,,,0.59966,2.01496,-0.35492,a4841fdd-e1e3-415f-aa46-6069ea8dde7c,2026-03-07,20:03:55.57,2026-03-07T14:03:55.5766784-06:00,2026-03-07T20:03:55.5766784Z,,V3 - Softball,,,,"Farrell, Jesse",1000000000696,Right,NEB_COR_SB,c4d15057-c40b-4e70-b243-10b355f668c6,36.66913,-97.71506,9.03856,1.70667,5.68628,-13.76693,-0.41542,0.42229,-0.67265,183.27906,0.60199,54.6814,-14.62801,3.85305,-0.45824,-0.07545,0.0399,-0.0059,0.0003,2.01428,76.15559,-20.97174,1.34668,0.08075,-0.16162,0.06105,-0.0104,0.00066,-0.35529,-8.52235,3.18559,-0.94308,0.14924,0.00234,-0.00656,0.00116,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-03-07,14:04:27.98,3,1,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,"Sample, Bailey",100000003936,Right,OMA_MAV_SB,Undefined,1,Top,2,0,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,70.51093,4.677763,0.322918,1083.716823,17.525928,6:30,1.66912,0.46829,6.00843,-33.29577,-8.24166,-2.83091,1.80542,0.43288,64.66875,-4.432915,-0.435711,0.360256,,,,,,,,,,,,3.29862,-10.63823,-0.3727,50,0.30736,-0.99994,-105.94258,13.70542,3.62531,23.65802,-43.86587,NEB_COR_SB,OMA_MAV_SB,BowlinStadium,D1,B10,20260307-BowlinStadium-1,d8f58e30-1a60-11f1-b582-d3437e4e0890,104.62692,,,5.84218,,,,,,,a4841fdd-e1e3-415f-aa46-6069ea8dde7c,2026-03-07,20:04:27.98,2026-03-07T14:04:27.9848960-06:00,2026-03-07T20:04:27.9848960Z,,V3 - Softball,,,,"Farrell, Jesse",1000000000696,Right,NEB_COR_SB,09927776-ea11-4086-a7b9-c05fe2bf7694,36.9897,-102.99629,11.82901,1.67402,8.2425,-21.93294,-0.46912,-0.54845,1.81265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-07,14:04:54.12,3,2,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,"Sample, Bailey",100000003936,Right,OMA_MAV_SB,Undefined,1,Top,2,0,1,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,67.84059,4.620607,-0.165268,1241.80963,156.411262,11:15,1.63437,0.57334,6.19279,-24.81769,1.58406,-0.41705,2.42651,0.43651,63.04249,-2.233221,-0.277565,0.369818,60.10958,49.337268,-39.328154,,,,,107.50802,57.29164,-22.802224,4.191005,0.42315,0.73539,-0.60782,50,0.31978,0.23248,-101.4853,12.07308,0.43639,18.33781,-31.41565,NEB_COR_SB,OMA_MAV_SB,BowlinStadium,D1,B10,20260307-BowlinStadium-1,e891fc20-1a60-11f1-b582-d3437e4e0890,101.92168,63.40018,,4.79809,,,,1.39609,2.37751,-0.36685,a4841fdd-e1e3-415f-aa46-6069ea8dde7c,2026-03-07,20:04:54.12,2026-03-07T14:04:54.1253632-06:00,2026-03-07T20:04:54.1253632Z,,V3 - Softball,,,,"Farrell, Jesse",1000000000696,Right,NEB_COR_SB,a1b0440d-5dc5-412c-b3bb-fb7d53c3b066,36.80438,-99.07223,9.16891,1.63648,7.93912,-15.70783,-0.57345,0.2899,0.2182,166.115247,1.34935,45.66664,-19.64618,15.48625,-12.03533,5.44345,-1.30412,0.15712,-0.00751,2.36791,67.01378,-20.96912,0.86709,2.04615,-1.95524,0.75581,-0.13282,0.00882,-0.38055,-35.93554,3.25871,6.86892,-7.95614,4.65024,-1.40055,0.20952,-0.0124,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-03-07,14:05:29.27,3,3,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,"Sample, Bailey",100000003936,Right,OMA_MAV_SB,Undefined,1,Top,2,0,2,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,58.53271,2.377692,1.624083,1198.266722,32.611341,7:00,1.66161,0.42336,6.15153,-46.15062,-9.81532,-7.02095,-0.71246,0.84288,53.82531,-10.290498,-0.272376,0.433846,,,,,,,,,,,,8.74764,-11.91056,0.00875,50,0.68602,-3.36915,-88.52356,9.59861,6.58495,18.66353,-41.13994,NEB_COR_SB,OMA_MAV_SB,BowlinStadium,D1,B10,20260307-BowlinStadium-1,fd7f5880-1a60-11f1-b582-d3437e4e0890,86.87974,,,4.7074,,,,,,,a4841fdd-e1e3-415f-aa46-6069ea8dde7c,2026-03-07,20:05:29.27,2026-03-07T14:05:29.2743680-06:00,2026-03-07T20:05:29.2743680Z,,V3 - Softball,,,,"Farrell, Jesse",1000000000696,Right,NEB_COR_SB,8e528151-b509-46b9-9803-269242687b50,36.84759,-85.70577,9.33177,1.66633,3.38738,-20.56997,-0.42487,-2.37497,3.29247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-07,14:05:50.94,3,4,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,"Sample, Bailey",100000003936,Right,OMA_MAV_SB,Undefined,1,Top,2,1,2,Changeup,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,58.72728,3.360338,0.476627,1218.212581,33.299564,7:00,1.66768,0.49656,6.28414,-44.84869,-9.04233,-6.67831,0.003,0.23369,53.88247,-9.019893,-1.331544,0.430677,,,,,,,,,,,,7.78414,-11.11331,-0.33183,50,0.4689,-1.54545,-88.74462,11.01149,5.90342,18.48377,-40.60229,NEB_COR_SB,OMA_MAV_SB,BowlinStadium,D1,B10,20260307-BowlinStadium-1,0a6f4410-1a61-11f1-b582-d3437e4e0890,87.5191,,,4.84481,,,,,,,a4841fdd-e1e3-415f-aa46-6069ea8dde7c,2026-03-07,20:05:50.94,2026-03-07T14:05:50.9429248-06:00,2026-03-07T20:05:50.9429248Z,,V3 - Softball,,,,"Farrell, Jesse",1000000000696,Right,NEB_COR_SB,61deb797-6c5e-42dd-8111-1f1b3ed8e1ef,36.7144,-85.93295,9.24188,1.67417,4.83524,-20.30115,-0.49862,-0.64745,2.95171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-07,14:07:43.95,1,1,"Groff, Maddia",100000002422,Left,OMA_MAV_SB,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,Undefined,1,Bottom,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.03326,3.842397,-1.679182,1017.682171,200.282725,12:45,1.64146,-0.7523,6.71125,-23.17651,5.57146,1.80606,2.05322,-1.62409,59.57288,-2.680832,-1.185765,0.3859,,,,,,,,,,,,-2.60969,5.80213,0.33392,50,0.45816,3.06849,-95.89753,10.12585,-2.40241,16.41291,-26.83275,NEB_COR_SB,OMA_MAV_SB,BowlinStadium,D1,B10,20260307-BowlinStadium-1,4dd2b340-1a61-11f1-b582-d3437e4e0890,97.67407,,,4.46038,,,,,,,a4841fdd-e1e3-415f-aa46-6069ea8dde7c,2026-03-07,20:07:43.95,2026-03-07T14:07:43.9546368-06:00,2026-03-07T20:07:43.9546368Z,,V3 - Softball,,,,"Groff, Rylinn",100000002433,Right,OMA_MAV_SB,40e63669-9afc-4fc4-b8ec-937c53362f10,36.28416,-93.5206,8.20645,1.64321,6.23991,-13.41638,0.75311,2.72057,-1.2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-07,14:07:59.76,1,2,"Groff, Maddia",100000002422,Left,OMA_MAV_SB,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,Undefined,1,Bottom,0,1,0,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,62.75807,4.953358,2.393349,1043.869035,237.644914,2:00,1.6826,-0.98111,6.01074,-28.07017,3.41063,4.1065,2.42913,0.84789,57.96365,-2.779472,3.490692,0.403826,78.16927,12.980982,-82.530672,,,,,112.45329,56.19114,-76.145992,1.188582,-3.85524,2.48414,1.48999,50,0.28169,-3.38464,-93.93646,12.09917,-3.36847,17.16773,-30.00358,NEB_COR_SB,OMA_MAV_SB,BowlinStadium,D1,B10,20260307-BowlinStadium-1,57327330-1a61-11f1-b582-d3437e4e0890,93.33829,9.20589,,4.79441,,,,,,,a4841fdd-e1e3-415f-aa46-6069ea8dde7c,2026-03-07,20:07:59.76,2026-03-07T14:07:59.7625344-06:00,2026-03-07T20:07:59.7625344Z,,V3 - Softball,,,,"Groff, Rylinn",100000002433,Right,OMA_MAV_SB,32cdb0bf-bfc7-449f-9b35-f086087a997c,36.98681,-91.52729,8.58387,1.68416,7.88873,-15.00179,0.98185,-3.85734,-1.68424,,4.03626,16.24451,2.61626,,,,,,,3.38306,22.11198,-21.17848,,,,,,,-4.46334,-107.94541,16.83516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2026-03-07,14:08:26.25,1,3,"Groff, Maddia",100000002422,Left,OMA_MAV_SB,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,Undefined,1,Bottom,0,1,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.63627,7.439029,0.861335,1068.642832,191.786504,12:30,1.5908,-0.71518,5.74906,-23.3536,7.87662,1.48567,4.32408,-0.05264,58.57599,1.04299,1.255681,0.402216,,,,,,,,,,,,-1.34358,6.79603,0.89656,50,-0.29385,-1.24341,-94.59193,15.60366,-1.20011,16.33355,-26.10366,NEB_COR_SB,OMA_MAV_SB,BowlinStadium,D1,B10,20260307-BowlinStadium-1,6709c740-1a61-11f1-b582-d3437e4e0890,93.71203,,,5.06028,,,,,,,a4841fdd-e1e3-415f-aa46-6069ea8dde7c,2026-03-07,20:08:26.25,2026-03-07T14:08:26.2591488-06:00,2026-03-07T20:08:26.2591488Z,,V3 - Softball,,,,"Groff, Rylinn",100000002433,Right,OMA_MAV_SB,e8480229-86eb-4af7-a438-73235d65e68c,37.24509,-92.36323,8.16677,1.59225,12.04184,-13.05183,0.71572,-1.40716,-0.60006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
