PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-07,13:51:58.90,,,"Cowans, Lindsey",100000004876,Right,LON_BEA_SB,"Castro, Alexia",1000000001701,Right,CSU_BAK_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,62.64912,4.597992,1.693011,2363.941673,86.041974,8:45,1.67777,0.54276,5.46209,-32.1958,0.64071,-4.73496,1.90103,1.21582,57.30991,-4.148716,0.44463,0.41243,,,,,,,,,,,,5.70933,-0.36957,-0.14475,50,0.41564,-3.30504,-93.89964,11.59966,4.92926,18.58632,-32.49311,LON_BEA_SB,CSU_BAK_SB,LBSUsoftball,D1,BIGW,20260307-LBSUsoftball-1,de19f090-1a6f-11f1-a047-b3be13996d77,91.39117,,,5.33921,,,,,,,cf174b93-691c-49bb-a633-16258d86a24f,2026-03-07,21:51:58.90,2026-03-07T13:51:58.9063680-08:00,2026-03-07T21:51:58.9063680Z,,V3 - Softball,,,,"Mendoza, Audree",1000000000450,Right,LON_BEA_SB,ac758c5b-99fd-41f9-988a-17ef415feb5a,37.53298,-91.39864,9.29316,1.68234,7.22733,-16.24656,-0.54486,-2.64175,2.46463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
1,2026-03-07,13:03:31.66,1,1,"Cowans, Lindsey",100000004876,Right,LON_BEA_SB,"Castro, Alexia",1000000001701,Right,CSU_BAK_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,61.76224,4.863325,0.019379,922.834955,40.577196,7:15,1.35714,0.45141,5.85958,-38.63447,-5.90107,-5.79996,1.17717,-0.01984,57.12074,-5.66666,-1.528211,0.411782,,,,,,,,,,,,6.41996,-7.64406,-0.40396,50,-0.07532,-0.7341,-92.56155,12.93876,5.44178,16.77435,-38.65342,LON_BEA_SB,CSU_BAK_SB,LBSUsoftball,D1,BIGW,20260307-LBSUsoftball-1,19544f40-1a69-11f1-84cc-b543889c1615,91.53499,,,4.6415,,,,,,,cf174b93-691c-49bb-a633-16258d86a24f,2026-03-07,21:03:31.66,2026-03-07T13:03:31.6656640-08:00,2026-03-07T21:03:31.6656640Z,,V3 - Softball,,,,"Mendoza, Audree",1000000000450,Right,LON_BEA_SB,c86b552f-3fe0-4652-87c0-55c56fbb9e1e,37.13861,-90.20065,8.38718,1.36289,7.4985,-19.32671,-0.45338,0.0318,2.72089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-07,13:03:47.22,1,2,"Cowans, Lindsey",100000004876,Right,LON_BEA_SB,"Castro, Alexia",1000000001701,Right,CSU_BAK_SB,Undefined,1,Top,0,1,0,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,62.31709,6.19616,0.200347,1055.086068,9.987536,6:15,1.35247,0.30877,6.02411,-38.95801,-6.86559,-1.36665,1.96655,0.31922,57.21816,-4.466395,-0.16548,0.40773,57.8768,-35.215952,-45.862645,,,,,3.77795,3.77795,-37.339314,0.039481,1.59575,-9.33784,-0.25277,50,-0.41212,-0.49584,-93.29488,15.35465,1.36771,17.63676,-40.17745,LON_BEA_SB,CSU_BAK_SB,LBSUsoftball,D1,BIGW,20260307-LBSUsoftball-1,228b7890-1a69-11f1-84cc-b543889c1615,92.44461,1.94065,,5.09893,,,,1.08904,1.94065,-0.31827,cf174b93-691c-49bb-a633-16258d86a24f,2026-03-07,21:03:47.22,2026-03-07T13:03:47.2231424-08:00,2026-03-07T21:03:47.2231424Z,,V3 - Softball,,,,"Mendoza, Audree",1000000000450,Right,LON_BEA_SB,e3d911f2-2afb-42ff-bc3b-13122aa33924,36.97392,-90.79901,8.81838,1.35849,9.66891,-20.08873,-0.30924,-0.30228,0.68386,,1.08776,48.49577,,,,,,,,1.94195,-49.15446,,,,,,,,-0.31695,-49.97851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2026-03-07,13:04:17.55,2,1,"Cowans, Lindsey",100000004876,Right,LON_BEA_SB,"Harrison, Aariana",1000000001688,Right,CSU_BAK_SB,Undefined,1,Top,1,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.43648,8.453499,1.665111,1005.532006,24.333928,6:45,1.3531,0.38058,6.10591,-36.77939,-4.81508,-2.55382,3.56308,1.19909,57.2637,-1.588476,0.982218,0.406915,,,,,,,,,,,,3.36807,-7.43729,0.01908,50,-0.9314,-3.00803,-92.76118,18.77162,2.88406,16.10615,-38.54255,LON_BEA_SB,CSU_BAK_SB,LBSUsoftball,D1,BIGW,20260307-LBSUsoftball-1,349da170-1a69-11f1-84cc-b543889c1615,92.62966,,,5.17278,,,,,,,cf174b93-691c-49bb-a633-16258d86a24f,2026-03-07,21:04:17.55,2026-03-07T13:04:17.5537664-08:00,2026-03-07T21:04:17.5537664Z,,V3 - Softball,,,,"Mendoza, Audree",1000000000450,Right,LON_BEA_SB,9702b954-e555-409d-80ef-6175bd4a1219,36.89126,-90.45647,8.05307,1.36011,13.25639,-19.27128,-0.38183,-2.59534,1.44203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-07,13:04:32.99,2,2,"Cowans, Lindsey",100000004876,Right,LON_BEA_SB,"Harrison, Aariana",1000000001688,Right,CSU_BAK_SB,Undefined,1,Top,1,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.31472,6.046024,1.834166,966.564119,20.397786,6:45,1.27173,0.57701,5.91458,-37.841,-6.50827,-2.75004,1.89816,1.49007,58.05245,-4.280631,1.10082,0.402875,,,,,,,,,,,,3.67768,-8.66682,-0.14419,50,-0.42175,-3.36575,-94.74244,15.06003,3.24793,18.29933,-39.8281,LON_BEA_SB,CSU_BAK_SB,LBSUsoftball,D1,BIGW,20260307-LBSUsoftball-1,3dd5dc30-1a69-11f1-84cc-b543889c1615,93.55861,,,5.26227,,,,,,,cf174b93-691c-49bb-a633-16258d86a24f,2026-03-07,21:04:32.99,2026-03-07T13:04:32.9919488-08:00,2026-03-07T21:04:32.9919488Z,,V3 - Softball,,,,"Mendoza, Audree",1000000000450,Right,LON_BEA_SB,6a235ff1-b22e-407f-a1db-e624b95e70ee,37.08271,-92.21375,9.14967,1.27907,9.55637,-19.91405,-0.57827,-2.91693,1.62397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-07,13:04:51.11,2,3,"Cowans, Lindsey",100000004876,Right,LON_BEA_SB,"Harrison, Aariana",1000000001688,Right,CSU_BAK_SB,Undefined,1,Top,1,2,0,Fastball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,62.59583,4.770609,-0.84571,894.299767,8.750002,6:15,1.32237,0.36648,5.751,-38.57108,-6.03217,-1.08532,1.09885,-0.2529,57.05628,-5.75052,-1.134406,0.410557,,,,,,,,,,,,0.84902,-8.04804,-0.54702,50,-0.06471,1.26076,-94.14291,12.81652,0.72875,20.08047,-39.08217,LON_BEA_SB,CSU_BAK_SB,LBSUsoftball,D1,BIGW,20260307-LBSUsoftball-1,489468d0-1a69-11f1-84cc-b543889c1615,91.80815,,,5.53955,,,,,,,cf174b93-691c-49bb-a633-16258d86a24f,2026-03-07,21:04:51.11,2026-03-07T13:04:51.1155200-08:00,2026-03-07T21:04:51.1155200Z,,V3 - Softball,,,,"Mendoza, Audree",1000000000450,Right,LON_BEA_SB,f81cd249-cd3d-4df3-b267-540f007796a5,37.24616,-91.38206,10.04023,1.32803,7.44315,-19.54109,-0.36679,1.36096,0.36437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-07,13:05:09.03,2,4,"Cowans, Lindsey",100000004876,Right,LON_BEA_SB,"Harrison, Aariana",1000000001688,Right,CSU_BAK_SB,Undefined,1,Top,1,2,1,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,62.71644,6.192607,-0.138207,985.803205,16.150264,6:30,1.35642,0.27581,5.9226,-37.54376,-5.73063,-1.91047,2.09713,0.03058,57.66362,-4.055832,-0.64807,0.405952,56.59262,-39.093829,-25.776215,,,,,4.18213,4.18213,-16.36154,0.03915,2.08622,-8.12914,-0.29212,50,-0.38304,-0.01358,-93.82277,15.23555,1.81331,17.48636,-39.2398,LON_BEA_SB,CSU_BAK_SB,LBSUsoftball,D1,BIGW,20260307-LBSUsoftball-1,5342c8d0-1a69-11f1-84cc-b543889c1615,92.84953,2.05867,,5.05282,,,,1.73113,2.05867,-0.07628,cf174b93-691c-49bb-a633-16258d86a24f,2026-03-07,21:05:09.03,2026-03-07T13:05:09.0311168-08:00,2026-03-07T21:05:09.0311168Z,,V3 - Softball,,,,"Mendoza, Audree",1000000000450,Right,LON_BEA_SB,8603262b-c24b-4b53-adcc-eff0348b7777,37.07553,-91.38221,8.74318,1.36119,9.75888,-19.6199,-0.27635,0.2395,0.90665,180,1.72944,58.27893,,,,,,,,2.0602,-52.58369,,,,,,,,-0.07546,-28.14329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-03-07,13:05:37.30,3,1,"Cowans, Lindsey",100000004876,Right,LON_BEA_SB,"Visser, Kayla",100000006720,Left,CSU_BAK_SB,Undefined,1,Top,2,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.87275,4.124124,-0.420805,940.066777,346.310945,5:30,1.32224,0.34586,5.97942,-35.43734,-3.75583,1.14787,0.93638,0.18002,57.53902,-5.613664,-0.113326,0.405111,,,,,,,,,,,,-1.44091,-5.22414,-0.4497,50,0.0717,0.83614,-94.60085,11.57433,-1.25461,19.69126,-36.72273,LON_BEA_SB,CSU_BAK_SB,LBSUsoftball,D1,BIGW,20260307-LBSUsoftball-1,641b6040-1a69-11f1-84cc-b543889c1615,93.04219,,,5.33373,,,,,,,cf174b93-691c-49bb-a633-16258d86a24f,2026-03-07,21:05:37.30,2026-03-07T13:05:37.3022720-08:00,2026-03-07T21:05:37.3022720Z,,V3 - Softball,,,,"Mendoza, Audree",1000000000450,Right,LON_BEA_SB,f791b54b-4366-40be-9bc3-825858a77a05,37.01718,-91.85873,9.84563,1.32743,6.46047,-18.36137,-0.34543,0.66142,-0.6273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-07,13:05:52.65,3,2,"Cowans, Lindsey",100000004876,Right,LON_BEA_SB,"Visser, Kayla",100000006720,Left,CSU_BAK_SB,Undefined,1,Top,2,1,0,Fastball,,InPlay,Undefined,LineDrive,Out,1,0,,62.22367,6.991597,0.153463,953.974844,23.233567,6:45,1.28193,0.56182,5.9752,-37.35167,-4.81835,-2.47772,2.53614,0.45073,56.71766,-3.234649,-0.508191,0.410521,62.2842,22.175775,16.887726,4762.501238,103.77606,19.86535,36.4764,167.33077,160.62865,21.058739,2.359039,2.83331,-7.59248,-0.50787,50,-0.64662,-0.55665,-93.09994,16.40419,2.40219,18.40199,-38.61121,LON_BEA_SB,CSU_BAK_SB,LBSUsoftball,D1,BIGW,20260307-LBSUsoftball-1,6d52d7b0-1a69-11f1-84cc-b543889c1615,91.81608,21.47672,,5.50601,,,,3.04655,2.7089,-0.41129,cf174b93-691c-49bb-a633-16258d86a24f,2026-03-07,21:05:52.65,2026-03-07T13:05:52.6584832-08:00,2026-03-07T21:05:52.6584832Z,,V3 - Softball,,,,"Mendoza, Audree",1000000000450,Right,LON_BEA_SB,71b1e349-6598-490a-8a91-10febc890836,37.02242,-90.49847,9.201,1.2866,10.94575,-19.30561,-0.56256,-0.21705,1.20109,227.429991,3.04654,80.94485,-10.43932,2.21281,-0.26289,-0.09028,0.06572,-0.01823,0.00211,2.70891,34.48068,-16.60489,0.89568,-0.33442,0.23017,-0.10834,0.0298,-0.00344,-0.41128,24.57402,1.11436,-0.42917,-0.00414,0.09385,-0.04936,0.01218,-0.00122,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-03-07,13:08:09.67,1,1,"Saldana, Cedes",1000000001716,Right,CSU_BAK_SB,"Apodaca, Lina",100000004875,Left,LON_BEA_SB,Undefined,1,Bottom,0,0,0,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,61.43456,5.10027,-1.284705,3577.17917,56.540352,8:00,1.72787,0.75764,5.0404,-36.03081,-0.51161,-2.60221,1.98766,-0.27872,55.3991,-4.606834,-1.962612,0.428946,,,,,,,,,,,,2.20744,-2.30795,-1.01209,50,0.39024,1.79695,-92.31581,12.38516,1.80196,20.63967,-34.05804,LON_BEA_SB,CSU_BAK_SB,LBSUsoftball,D1,BIGW,20260307-LBSUsoftball-1,beec4700-1a69-11f1-84cc-b543889c1615,87.87212,,,6.03546,,,,,,,cf174b93-691c-49bb-a633-16258d86a24f,2026-03-07,21:08:09.67,2026-03-07T13:08:09.6719872-08:00,2026-03-07T21:08:09.6719872Z,,V3 - Softball,,,,"Visser, Kayla",100000006720,Left,CSU_BAK_SB,b377ed41-4692-4527-bc79-bdb010a94597,37.95554,-89.58248,10.31984,1.73176,7.87483,-17.02902,-0.75831,2.03559,0.90098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
