PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-08,15:11:25.45,1,1,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Arguijo, Ciana",100000005516,Left,ABI_CHR_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.58184,7.725406,0.9794,1012.179969,11.067991,6:15,2.06094,0.4725,4.33995,-42.31301,-9.52989,-2.03303,3.58792,0.93977,59.38648,-3.274963,0.460842,0.412094,,,,,,,,,,,,2.37583,-11.59839,-0.26871,50,0.26707,-1.84053,-95.80951,17.62026,2.1781,16.696,-42.80718,OKL_SOO_SB,ABI_CHR_SB,OklahomaSoftball,D1,SEC,20260308-OklahomaSoftball-4,fd10a960-1b2a-11f1-9aa8-8d436a4210b8,91.46557,,,5.19537,,,,,,,5eb2822c-c3cf-4b82-a153-42f9757bbc13,2026-03-08,20:11:25.45,2026-03-08T15:11:25.4505984-05:00,2026-03-08T20:11:25.4505984Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,19042728-d449-4056-b1e6-583eebabbe76,38.65898,-93.81238,8.348,2.06851,12.49979,-21.40359,-0.47329,-1.57999,1.08905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-08,15:11:44.12,1,2,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Arguijo, Ciana",100000005516,Left,ABI_CHR_SB,Undefined,1,Top,0,1,0,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,64.44194,6.066484,0.116808,1016.218955,12.979706,6:30,2.00477,0.45076,4.46684,-42.15601,-9.62981,-2.41768,2.43643,0.32496,59.48189,-4.95961,-0.503318,0.410476,45.65573,-29.301032,20.616498,,,,,6.40853,6.22097,11.104454,0.074061,2.54756,-11.59174,-0.41398,50,0.51511,-0.4513,-96.03945,14.96967,2.33867,17.24727,-42.81534,OKL_SOO_SB,ABI_CHR_SB,OklahomaSoftball,D1,SEC,20260308-OklahomaSoftball-4,08086e70-1b2b-11f1-9aa8-8d436a4210b8,91.8261,2.44754,,4.96004,,,,2.20657,2.44754,-0.30138,5eb2822c-c3cf-4b82-a153-42f9757bbc13,2026-03-08,20:11:44.12,2026-03-08T15:11:44.1219584-05:00,2026-03-08T20:11:44.1219584Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,dd849ef9-2fe3-4980-8ad0-90aad474cdda,38.53239,-93.95747,8.62364,2.01021,9.80128,-21.40767,-0.45142,-0.16899,1.16933,180,2.20107,55.11613,,,,,,,,2.45083,-33.04746,,,,,,,,-0.30345,20.73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-03-08,15:12:12.23,2,1,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Maxwell, Ari",100000001420,Right,ABI_CHR_SB,Undefined,1,Top,1,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.79239,3.885556,1.509288,1022.545901,16.81412,6:30,1.89834,0.39993,4.02644,-43.38282,-10.41008,-3.42579,0.83485,1.104,59.83387,-7.342661,0.638867,0.413284,,,,,,,,,,,,3.97957,-11.34375,-0.09353,50,0.90752,-2.8844,-96.89576,11.12615,3.68708,18.73268,-42.68409,OKL_SOO_SB,ABI_CHR_SB,OklahomaSoftball,D1,SEC,20260308-OklahomaSoftball-4,188948f0-1b2b-11f1-9aa8-8d436a4210b8,91.2022,,,4.95852,,,,,,,5eb2822c-c3cf-4b82-a153-42f9757bbc13,2026-03-08,20:12:12.23,2026-03-08T15:12:12.2313728-05:00,2026-03-08T20:12:12.2313728Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,a9894de1-2288-4132-9d6a-fd9a64c3b5ab,38.97244,-94.73983,9.36634,1.90533,6.21368,-21.34205,-0.40107,-2.46006,1.84354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-08,15:12:30.30,2,2,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Maxwell, Ari",100000001420,Right,ABI_CHR_SB,Undefined,1,Top,1,1,0,Riseball,,InPlay,Undefined,Popup,Out,1,0,,57.69776,4.803817,-0.422932,1922.225066,168.026961,11:30,1.97698,0.49465,4.72571,-27.38316,12.63678,-2.45618,2.79262,0.01789,53.13578,-2.557806,-1.057572,0.455313,62.39052,73.637363,14.51609,,,,,,20.56922,,,2.43236,12.1769,-0.56693,50,0.78262,0.39645,-86.13157,10.27182,1.78977,14.24965,-23.21407,OKL_SOO_SB,ABI_CHR_SB,OklahomaSoftball,D1,SEC,20260308-OklahomaSoftball-4,237dd9b0-1b2b-11f1-9aa8-8d436a4210b8,82.78364,63.12275,,4.56198,,,,2.24169,2.82816,-0.03302,5eb2822c-c3cf-4b82-a153-42f9757bbc13,2026-03-08,20:12:30.30,2026-03-08T15:12:30.3050752-05:00,2026-03-08T20:12:30.3050752Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,8ac2fbeb-03fd-4eed-95fd-531e8052b3cc,38.26915,-84.16844,7.12483,1.97744,7.07368,-11.60704,-0.49533,0.64302,0.89488,,2.24169,24.95575,-6.34094,1.33746,-0.2367,0.04516,-0.00933,0.00153,-0.00016,2.82816,87.79976,-22.6409,2.31994,-0.48464,0.08989,-0.01775,0.00328,-0.00031,-0.03302,6.46147,0.65858,-0.16267,0.02937,-0.00588,0.00112,-0.00021,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2026-03-08,15:12:59.25,3,1,"Berzon, Sydney",100000000905,Right,OKL_SOO_SB,"Meggers, Emerson",100000001360,Right,ABI_CHR_SB,Undefined,1,Top,2,0,0,Riseball,,InPlay,Undefined,GroundBall,Out,1,0,,57.02584,4.948806,0.189912,2058.807165,175.52378,11:45,2.0086,0.53891,4.73644,-27.56427,13.42442,-0.96591,2.90211,0.58055,52.46445,-2.470862,-0.059737,0.46079,41.18767,-34.18997,53.720399,,,,,5.81944,5.81944,30.044482,0.085697,1.08063,12.95635,-0.49432,50,0.78079,-0.37578,-85.13263,10.39764,0.77589,14.04819,-22.87153,OKL_SOO_SB,ABI_CHR_SB,OklahomaSoftball,D1,SEC,20260308-OklahomaSoftball-4,367f6ba0-1b2b-11f1-9aa8-8d436a4210b8,81.79955,2.94546,,4.56139,,,,2.47195,2.94546,-0.58159,5eb2822c-c3cf-4b82-a153-42f9757bbc13,2026-03-08,20:12:59.25,2026-03-08T15:12:59.2557568-05:00,2026-03-08T20:12:59.2557568Z,,V3 - Softball,,,,"Emerling, Isabela",100000006699,Right,OKL_SOO_SB,4cbc21c1-6c48-4f0a-8604-1b049c239088,38.25854,-83.17254,7.02409,2.00891,7.20648,-11.43576,-0.5392,-0.26752,0.38795,,2.46684,29.9377,,,,,,,,2.95132,-34.37059,,,,,,,,-0.58854,40.78566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2026-03-08,15:15:22.31,1,1,"Meyer, Leah",100000005476,Right,ABI_CHR_SB,"Parker, Allyssa",100000002291,Right,OKL_SOO_SB,Undefined,1,Bottom,0,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,62.11577,6.64782,0.154894,1274.686713,77.000474,8:30,1.72112,0.40563,5.72788,-33.59655,-1.09059,-8.03922,3.10038,-0.16737,57.61596,-2.469106,-1.977975,0.410348,,,,,,,,,,,,8.83004,-2.60453,-0.31407,50,-0.05705,-1.20825,-92.47,15.20103,7.58516,14.80438,-34.41138,OKL_SOO_SB,ABI_CHR_SB,OklahomaSoftball,D1,SEC,20260308-OklahomaSoftball-4,8aaf6450-1b2b-11f1-9aa8-8d436a4210b8,91.85472,,,4.49981,,,,,,,5eb2822c-c3cf-4b82-a153-42f9757bbc13,2026-03-08,20:15:22.31,2026-03-08T15:15:22.3122432-05:00,2026-03-08T20:15:22.3122432Z,,V3 - Softball,,,,"Lacina, Audrey",100000001422,Right,ABI_CHR_SB,37c3dc26-f43f-45fc-a5bd-079f6890028b,37.26938,-90.40887,7.40219,1.7258,10.41012,-17.20569,-0.40878,-0.15221,3.79258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-08,15:15:45.26,1,2,"Meyer, Leah",100000005476,Right,ABI_CHR_SB,"Parker, Allyssa",100000002291,Right,OKL_SOO_SB,Undefined,1,Bottom,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.74469,3.158342,-0.424043,1371.93768,79.973415,8:45,1.67153,0.44514,5.68353,-32.58014,-0.83217,-9.12603,0.9375,-0.58106,58.50701,-5.692511,-2.848852,0.405536,,,,,,,,,,,,9.91221,-1.43201,-0.47146,50,0.68692,-0.42435,-94.02485,9.52065,8.74128,16.23874,-33.4369,OKL_SOO_SB,ABI_CHR_SB,OklahomaSoftball,D1,SEC,20260308-OklahomaSoftball-4,98684530-1b2b-11f1-9aa8-8d436a4210b8,92.94477,,,4.23768,,,,,,,5eb2822c-c3cf-4b82-a153-42f9757bbc13,2026-03-08,20:15:45.26,2026-03-08T15:15:45.2634112-05:00,2026-03-08T20:15:45.2634112Z,,V3 - Softball,,,,"Lacina, Audrey",100000001422,Right,ABI_CHR_SB,0fe108e1-b081-4e89-9046-e1071e147c72,37.31414,-91.80777,8.11937,1.67513,4.95551,-16.71845,-0.44793,0.76909,4.37064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-08,15:16:06.75,1,3,"Meyer, Leah",100000005476,Right,ABI_CHR_SB,"Parker, Allyssa",100000002291,Right,OKL_SOO_SB,Undefined,1,Bottom,0,1,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,51.01411,8.969738,-1.205598,1346.09625,77.696746,8:30,1.59033,0.61087,5.69594,-48.64581,0.15433,-4.4567,3.20236,-0.51577,47.19115,-4.185994,-2.381899,0.502785,,,,,,,,,,,,4.48768,-1.64295,-0.84728,50,-0.84267,1.16031,-75.46305,17.15288,2.57195,9.7083,-33.11564,OKL_SOO_SB,ABI_CHR_SB,OklahomaSoftball,D1,SEC,20260308-OklahomaSoftball-4,a4daea70-1b2b-11f1-9aa8-8d436a4210b8,74.96738,,,3.82297,,,,,,,5eb2822c-c3cf-4b82-a153-42f9757bbc13,2026-03-08,20:16:06.75,2026-03-08T15:16:06.7588096-05:00,2026-03-08T20:16:06.7588096Z,,V3 - Softball,,,,"Lacina, Audrey",100000001422,Right,ABI_CHR_SB,7a13eb92-6215-4182-97fc-217453d41529,37.30091,-73.81124,4.85415,1.59646,11.51844,-16.55782,-0.61263,1.59792,1.28598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-08,15:16:28.24,1,4,"Meyer, Leah",100000005476,Right,ABI_CHR_SB,"Parker, Allyssa",100000002291,Right,OKL_SOO_SB,Undefined,1,Bottom,0,1,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.53127,5.000916,-0.833396,1415.396963,66.145932,8:15,1.71594,0.31274,5.39442,-34.36966,-2.68524,-7.89481,2.01885,-0.87158,58.84494,-4.258078,-2.910583,0.40513,40.90607,-38.218693,-68.237283,,,,,3.77683,3.77683,-25.815871,0.055827,8.32914,-4.16244,-0.43746,50,0.35001,0.43493,-94.98521,12.74152,7.47504,16.94568,-35.90966,OKL_SOO_SB,ABI_CHR_SB,OklahomaSoftball,D1,SEC,20260308-OklahomaSoftball-4,b1a72160-1b2b-11f1-9aa8-8d436a4210b8,93.03795,2.09091,,4.68633,,,,2.41541,2.09091,0.82131,5eb2822c-c3cf-4b82-a153-42f9757bbc13,2026-03-08,20:16:28.24,2026-03-08T15:16:28.2418176-05:00,2026-03-08T20:16:28.2418176Z,,V3 - Softball,,,,"Lacina, Audrey",100000001422,Right,ABI_CHR_SB,ef4751d2-4929-47ef-8f7d-ffde67a1470e,37.60365,-92.7473,8.47284,1.71955,7.99915,-17.95483,-0.31484,1.42212,3.73752,,2.41399,17.63452,,,,,,,,2.09393,-37.45329,,,,,,,,0.82487,-44.17278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2026-03-08,15:16:57.83,1,5,"Meyer, Leah",100000005476,Right,ABI_CHR_SB,"Parker, Allyssa",100000002291,Right,OKL_SOO_SB,Undefined,1,Bottom,0,1,2,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,50.26765,9.294119,-0.887314,1372.130235,94.780282,9:15,1.57093,0.40716,5.81403,-48.57058,1.62469,-4.98252,3.37777,-0.56204,46.28397,-3.905495,-2.206158,0.509921,,,,,,,,,,,,5.15177,-0.19244,-0.57126,50,-0.96455,0.68011,-74.36799,17.39035,2.85284,9.85105,-32.28062,OKL_SOO_SB,ABI_CHR_SB,OklahomaSoftball,D1,SEC,20260308-OklahomaSoftball-4,c3a0e040-1b2b-11f1-9aa8-8d436a4210b8,73.91823,,,3.98368,,,,,,,5eb2822c-c3cf-4b82-a153-42f9757bbc13,2026-03-08,20:16:57.83,2026-03-08T15:16:57.8314752-05:00,2026-03-08T20:16:57.8314752Z,,V3 - Softball,,,,"Lacina, Audrey",100000001422,Right,ABI_CHR_SB,c1aa1f9a-9c1e-47bb-b10e-37da4fb084d6,37.18186,-72.65022,4.92553,1.57712,11.76142,-16.14031,-0.40929,1.17757,1.42642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
