PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-10,16:03:17.56,1,1,"Reyes, Jasmine",100000001900,Right,IND_HOO_SB,"Pawlowicz, Alli",100000004415,Right,LOY_CHI_SB,Undefined,1,Top,0,0,0,Dropball,,InPlay,Undefined,FlyBall,HomeRun,0,1,,65.7585,4.540994,0.460961,1135.81734,31.075981,7:00,1.9029,0.8677,5.29855,-32.4836,-2.80213,-2.14815,2.07783,0.98061,60.8946,-4.189194,-0.103344,0.392116,68.72349,42.855184,-25.896529,,97.99422,73.34499,-49.97065,216.92321,196.92117,-27.645949,4.556247,2.47496,-4.10185,-0.75411,50,0.66721,-1.05323,-98.33724,12.07903,2.38304,18.02363,-36.12356,IND_HOO_SB,LOY_CHI_SB,UIndianaSoftball,D1,B10,20260310-UIndianaSoftball-1,2e466230-1cbc-11f1-a6a0-4138e69de7cf,96.12584,74.3682,,4.8639,,,,1.96057,2.32939,-0.97601,02beb09e-91e7-4231-8da6-cc8edadcf85a,2026-03-10,20:03:17.56,2026-03-10T16:03:17.5657472-04:00,2026-03-10T20:03:17.5657472Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,2045012f-0f29-4c3f-8dd6-a8b74bfa438a,37.6991,-96.05623,9.01181,1.90661,7.50735,-18.06178,-0.86832,-0.75164,1.19152,174.619175,1.96192,66.44016,-13.02927,3.04483,-0.32789,-0.05501,0.02554,-0.00339,0.00016,2.32925,68.55092,-17.76296,0.81281,-0.01529,-0.06161,0.02756,-0.00489,0.00031,-0.97668,-32.25615,5.20711,-1.13202,0.10052,0.0277,-0.01044,0.00128,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2026-03-10,16:04:06.12,2,1,"Reyes, Jasmine",100000001900,Right,IND_HOO_SB,"Lesnicki, Nat",100000004427,Right,LOY_CHI_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.43778,5.781855,1.778144,1367.885563,47.98812,7:30,1.93172,0.86851,5.54207,-33.81557,-4.92654,-6.32933,2.76493,1.45995,61.16468,-3.349317,0.106964,0.386846,,,,,,,,,,,,7.39867,-6.64252,-0.43852,50,0.39087,-3.84449,-99.22385,14.56398,7.22708,18.8671,-38.66253,IND_HOO_SB,LOY_CHI_SB,UIndianaSoftball,D1,B10,20260310-UIndianaSoftball-1,4b39e1f0-1cbc-11f1-a6a0-4138e69de7cf,97.43531,,,5.2731,,,,,,,02beb09e-91e7-4231-8da6-cc8edadcf85a,2026-03-10,20:04:06.12,2026-03-10T16:04:06.1282304-04:00,2026-03-10T20:04:06.1282304Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,280113cf-c9da-4a50-91df-047d041f0ef3,37.45507,-96.80909,9.43355,1.93822,9.61564,-19.33127,-0.87137,-2.91951,3.61354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-10,16:04:21.82,2,2,"Reyes, Jasmine",100000001900,Right,IND_HOO_SB,"Lesnicki, Nat",100000004427,Right,LOY_CHI_SB,Undefined,1,Top,0,1,0,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,41.77642,9.480935,0.172808,1755.922516,138.819112,10:45,1.51466,0.69091,4.31402,-63.732,19.69084,-14.38087,2.4277,-0.39509,36.81076,-7.602678,-3.474926,0.657376,,,,,,,,,,,,14.00607,16.73375,-0.61485,50,-0.77942,-0.93306,-62.00808,14.8205,5.05548,10.38751,-26.13403,IND_HOO_SB,LOY_CHI_SB,UIndianaSoftball,D1,B10,20260310-UIndianaSoftball-1,54c96470-1cbc-11f1-a6a0-4138e69de7cf,57.33771,,,4.96567,,,,,,,02beb09e-91e7-4231-8da6-cc8edadcf85a,2026-03-10,20:04:21.82,2026-03-10T16:04:21.8299392-04:00,2026-03-10T20:04:21.8299392Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,1a8e3fcb-a62c-4531-8a63-a2e7f5525a08,38.66692,-60.07958,5.19375,1.52169,9.96859,-13.06701,-0.70095,0.00552,2.52774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-10,16:04:37.78,2,3,"Reyes, Jasmine",100000001900,Right,IND_HOO_SB,"Lesnicki, Nat",100000004427,Right,LOY_CHI_SB,Undefined,1,Top,0,1,1,Dropball,,InPlay,Undefined,LineDrive,Single,0,0,,66.34728,5.216002,1.327112,1191.014206,37.008227,7:15,1.83072,0.73876,5.36229,-35.31396,-6.13237,-5.20776,2.19535,1.1439,61.22402,-4.270555,-0.04228,0.3888,53.34431,14.239323,-28.479429,2309.546882,,,,98.03165,97.01919,-34.398216,1.488315,6.06575,-7.90949,-0.4177,50,0.42473,-2.93224,-99.19132,13.70251,5.92183,18.84041,-39.89591,IND_HOO_SB,LOY_CHI_SB,UIndianaSoftball,D1,B10,20260310-UIndianaSoftball-1,5e128f20-1cbc-11f1-a6a0-4138e69de7cf,96.94566,8.63946,,5.12326,,,,0.14063,2.16303,-1.14247,02beb09e-91e7-4231-8da6-cc8edadcf85a,2026-03-10,20:04:37.78,2026-03-10T16:04:37.7880576-04:00,2026-03-10T20:04:37.7880576Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,6b6def69-775a-4466-8387-681d96411605,37.63583,-96.81439,9.4202,1.83595,8.66919,-19.94795,-0.74051,-2.18513,2.96092,125.726118,0.14063,66.65767,-10.71695,2.09663,-0.41212,0.06392,-0.00934,0.00179,-0.00019,2.16303,19.24437,-14.59962,0.45386,0.00427,-0.00191,0.00381,-0.0006,-1E-05,-1.14247,-36.16107,-0.54728,0.40397,-0.14893,0.03538,-0.00784,0.00121,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-03-10,16:05:11.99,3,1,"Reyes, Jasmine",100000001900,Right,IND_HOO_SB,"Piotrowski, Megan",100000004435,Left,LOY_CHI_SB,Undefined,1,Top,0,0,0,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,66.08575,5.471275,1.477299,1187.231936,93.537626,9:00,1.83351,0.29427,5.26313,-28.4434,1.1213,-5.81642,2.94325,0.74625,60.96095,-2.185952,-0.0472,0.391343,,,,,,,,,,,,6.73284,-0.12933,0.06017,50,0.43035,-3.2424,-98.61976,13.20654,6.52037,18.12263,-32.29931,IND_HOO_SB,LOY_CHI_SB,UIndianaSoftball,D1,B10,20260310-UIndianaSoftball-1,727add00-1cbc-11f1-a6a0-4138e69de7cf,96.31549,,,5.1248,,,,,,,02beb09e-91e7-4231-8da6-cc8edadcf85a,2026-03-10,20:05:11.99,2026-03-10T16:05:11.9913472-04:00,2026-03-10T20:05:11.9913472Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,44f0561f-9d23-467a-b9b3-2de46d14f730,37.73359,-96.33929,9.06132,1.83648,9.14213,-16.14966,-0.29621,-2.4219,3.26019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-10,16:05:30.22,3,2,"Reyes, Jasmine",100000001900,Right,IND_HOO_SB,"Piotrowski, Megan",100000004435,Left,LOY_CHI_SB,Undefined,1,Top,0,0,1,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.15882,7.144545,1.768535,1303.719938,62.842604,8:00,1.83777,0.60339,5.63582,-32.75132,-3.29453,-8.16044,3.61654,1.03329,60.03279,-1.743369,-0.389007,0.390628,,,,,,,,,,,,9.44256,-5.63154,-0.16218,50,-0.01089,-4.01585,-98.81269,16.73716,9.00595,20.92383,-37.5452,IND_HOO_SB,LOY_CHI_SB,UIndianaSoftball,D1,B10,20260310-UIndianaSoftball-1,7d5ea4e0-1cbc-11f1-a6a0-4138e69de7cf,96.4918,,,6.12602,,,,,,,02beb09e-91e7-4231-8da6-cc8edadcf85a,2026-03-10,20:05:30.22,2026-03-10T16:05:30.2280192-04:00,2026-03-10T20:05:30.2280192Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,b9bdab3f-b1b5-4903-88e3-e290876d7388,37.35998,-96.09887,10.46191,1.84413,11.86755,-18.7726,-0.60729,-2.84778,4.50298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-10,16:05:47.55,3,3,"Reyes, Jasmine",100000001900,Right,IND_HOO_SB,"Piotrowski, Megan",100000004435,Left,LOY_CHI_SB,Undefined,1,Top,0,1,1,Dropball,,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,66.16556,6.613299,-0.069432,1303.183466,24.358228,6:45,1.86718,1.00297,5.50951,-38.54262,-9.05823,-4.49496,2.83768,0.58467,60.3644,-3.775908,-1.254791,0.390812,60.23668,-30.10528,-33.605414,,,,,6.37792,6.30825,-30.189329,0.062839,4.84197,-11.8028,-0.98832,50,0.11426,-0.42408,-98.97793,16.52016,4.64463,20.65635,-43.49575,IND_HOO_SB,LOY_CHI_SB,UIndianaSoftball,D1,B10,20260310-UIndianaSoftball-1,87a605b0-1cbc-11f1-a6a0-4138e69de7cf,96.44659,2.80001,,5.80116,,,,1.49074,2.80001,-0.53435,02beb09e-91e7-4231-8da6-cc8edadcf85a,2026-03-10,20:05:47.55,2026-03-10T16:05:47.5505664-04:00,2026-03-10T20:05:47.5505664Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,93ce5efb-304c-468d-889b-1662ae6665f4,37.48866,-96.33147,10.32818,1.87382,10.94757,-21.74788,-1.00453,0.17098,2.32231,180,1.48719,64.00656,,,,,,,,2.80248,-44.55825,,,,,,,,-0.53199,-42.53457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-03-10,16:06:19.51,4,1,"Reyes, Jasmine",100000001900,Right,IND_HOO_SB,"Sedakis, Liz",100000004425,Right,LOY_CHI_SB,Undefined,1,Top,1,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,42.82263,6.91242,-0.810634,1741.115926,138.52154,10:30,1.81335,0.79293,5.68139,-55.93357,16.09812,-11.8767,1.50518,-0.70477,38.42454,-8.578426,-3.948201,0.610848,,,,,,,,,,,,12.23721,15.5928,-0.90574,50,-0.20661,0.05257,-64.26816,12.70027,4.76584,10.90825,-26.10137,IND_HOO_SB,LOY_CHI_SB,UIndianaSoftball,D1,B10,20260310-UIndianaSoftball-1,9adc3c30-1cbc-11f1-a6a0-4138e69de7cf,61.70509,,,4.39809,,,,,,,02beb09e-91e7-4231-8da6-cc8edadcf85a,2026-03-10,20:06:19.51,2026-03-10T16:06:19.5169280-04:00,2026-03-10T20:06:19.5169280Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,d2c77ffd-3a75-4f0e-b6af-6f9dc3f10cda,37.30601,-62.07623,5.45412,1.81845,7.45539,-13.05069,-0.79896,1.01023,2.38292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-10,16:06:36.20,4,2,"Reyes, Jasmine",100000001900,Right,IND_HOO_SB,"Sedakis, Liz",100000004425,Right,LOY_CHI_SB,Undefined,1,Top,1,1,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,67.30821,3.778624,-1.456079,1233.007967,29.774818,7:00,1.86302,0.55899,5.29156,-34.41687,-6.14087,-3.92083,1.39263,-0.69025,62.57286,-5.440779,-2.485955,0.382719,,,,,,,,,,,,3.80961,-7.64304,-0.84335,50,0.77573,2.05931,-100.75257,11.2991,3.85197,18.86327,-39.90203,IND_HOO_SB,LOY_CHI_SB,UIndianaSoftball,D1,B10,20260310-UIndianaSoftball-1,a4a5e180-1cbc-11f1-a6a0-4138e69de7cf,98.48583,,,4.73535,,,,,,,02beb09e-91e7-4231-8da6-cc8edadcf85a,2026-03-10,20:06:36.20,2026-03-10T16:06:36.2092032-04:00,2026-03-10T20:06:36.2092032Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,d6dd6634-4779-4084-98e9-0563ac5cf14d,37.70725,-98.42417,9.43163,1.86646,6.37377,-19.95102,-0.55981,2.53478,1.92598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-10,16:07:09.37,4,3,"Reyes, Jasmine",100000001900,Right,IND_HOO_SB,"Sedakis, Liz",100000004425,Right,LOY_CHI_SB,Undefined,1,Top,1,1,1,Dropball,,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,66.53031,4.371364,-2.358076,1188.703817,32.535096,7:00,1.84756,0.5381,5.11875,-34.16388,-4.6189,-3.47252,1.7904,-1.25287,61.23829,-4.763543,-3.26421,0.391213,44.70234,-27.768734,-0.3089,,,,,6.70789,6.70789,9.416892,0.058309,2.88551,-6.16843,-1.01447,50,0.66264,3.68584,-99.6101,12.00144,2.81879,20.13244,-38.19982,IND_HOO_SB,LOY_CHI_SB,UIndianaSoftball,D1,B10,20260310-UIndianaSoftball-1,b86ac370-1cbc-11f1-a6a0-4138e69de7cf,96.34764,1.79262,,5.29202,,,,3.21303,1.79262,1.11588,02beb09e-91e7-4231-8da6-cc8edadcf85a,2026-03-10,20:07:09.37,2026-03-10T16:07:09.3768704-04:00,2026-03-10T20:07:09.3768704Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,e89a7ce2-765f-4d08-83fc-f06f9b8c7487,37.87909,-97.12942,10.06622,1.85144,7.29454,-19.09991,-0.53891,4.03317,1.40939,180,3.20951,58.38634,,,,,,,,1.79448,-30.74336,,,,,,,,1.1159,-0.31478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
