PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-11,15:28:10.83,1,1,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Arguijo, Ciana",100000005516,Left,ABI_CHR_SB,Undefined,1,Top,0,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,53.93631,5.209764,3.044403,818.971583,41.095926,7:15,2.13636,0.97876,8.35419,-52.86373,-7.77272,-8.05886,1.03911,2.23407,49.25633,-9.019581,0.926879,0.483299,,,,,,,,,,,,9.87847,-9.62107,-0.27288,50,0.61175,-5.06303,-80.96163,12.86476,6.25126,15.1465,-38.26242,UNI_UTA_SB,ABI_CHR_SB,DumkeFamilySoftballStadium,D1,B12,20260311-DumkeFamilySoftballStadium-3,348ac890-1d91-11f1-a75c-2d51b2557b9a,77.98982,,,4.67997,,,,,,,d58f4c95-014b-407f-8268-4b4c3e4ee290,2026-03-11,21:28:10.83,2026-03-11T15:28:10.8377088-06:00,2026-03-11T21:28:10.8377088Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,ddbf6b9e-cc24-4f24-b44a-3dc69fb8f65a,37.6446,-78.61618,7.57325,2.14512,6.93978,-19.13121,-0.98195,-4.09502,3.12563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-11,15:28:30.72,1,2,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Arguijo, Ciana",100000005516,Left,ABI_CHR_SB,Undefined,1,Top,0,1,0,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.83937,5.456372,-1.966682,1102.494227,118.750304,10:00,2.12855,1.01913,8.89718,-26.77931,4.19162,-6.01579,3.30777,-0.70761,58.30056,-1.932167,-3.569287,0.400542,,,,,,,,,,,,5.96126,3.01445,-1.41588,50,0.6475,2.52615,-95.70914,12.86292,5.33094,19.7081,-29.47834,UNI_UTA_SB,ABI_CHR_SB,DumkeFamilySoftballStadium,D1,B12,20260311-DumkeFamilySoftballStadium-3,40534b20-1d91-11f1-a75c-2d51b2557b9a,94.10349,,,5.53882,,,,,,,d58f4c95-014b-407f-8268-4b4c3e4ee290,2026-03-11,21:28:30.72,2026-03-11T15:28:30.7299328-06:00,2026-03-11T21:28:30.7299328Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,da7122fb-bd18-4326-92f8-3a0610cfda96,37.09961,-93.01481,9.85405,2.13053,8.83289,-14.73917,-1.02071,3.25495,2.66547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-11,15:29:15.29,1,3,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Arguijo, Ciana",100000005516,Left,ABI_CHR_SB,Undefined,1,Top,0,1,1,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.34793,3.322685,-0.521804,908.227179,145.624516,10:45,1.99795,0.61615,8.53787,-25.24285,5.36237,-3.11677,1.98719,0.02813,59.4958,-3.568551,-1.346291,0.39817,,,,,,,,,,,,3.21862,5.22611,-0.70859,50,1.05007,0.49921,-96.42482,9.01343,2.96775,17.87906,-27.35525,UNI_UTA_SB,ABI_CHR_SB,DumkeFamilySoftballStadium,D1,B12,20260311-DumkeFamilySoftballStadium-3,5aea6450-1d91-11f1-a75c-2d51b2557b9a,94.66408,,,4.85214,,,,,,,d58f4c95-014b-407f-8268-4b4c3e4ee290,2026-03-11,21:29:15.29,2026-03-11T15:29:15.2997888-06:00,2026-03-11T21:29:15.2997888Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,1f44d994-7d2a-4820-8e82-b017793702d9,37.45836,-94.07061,8.93953,1.99976,5.41146,-13.67763,-0.61713,0.88999,1.48387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-11,15:29:35.27,1,4,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Arguijo, Ciana",100000005516,Left,ABI_CHR_SB,Undefined,1,Top,0,1,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.11642,3.357555,0.965921,1850.083267,139.153606,10:45,2.04512,0.7348,8.75453,-23.91797,5.89847,-4.34248,2.15428,0.97702,59.60542,-3.243132,-0.189839,0.393006,48.47226,39.003483,-108.493382,2659.227514,,,,96.0787,33.96767,-115.197952,2.408193,5.17103,5.69768,-0.4879,50,1.07957,-2.19826,-97.88504,9.09011,4.84008,20.52363,-26.84102,UNI_UTA_SB,ABI_CHR_SB,DumkeFamilySoftballStadium,D1,B12,20260311-DumkeFamilySoftballStadium-3,66ceac40-1d91-11f1-a75c-2d51b2557b9a,95.90805,26.51761,,5.51099,,,,1.89857,2.15397,-0.96732,d58f4c95-014b-407f-8268-4b4c3e4ee290,2026-03-11,21:29:35.27,2026-03-11T15:29:35.2784896-06:00,2026-03-11T21:29:35.2784896Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,f5984ec6-b5b3-4de1-8e83-86bb43cb92db,37.24176,-95.17242,10.26181,2.04657,5.54252,-13.42051,-0.73617,-1.55855,2.42004,,1.89857,-17.52381,-1.88292,1.45091,-0.48795,0.1282,-0.03032,0.00538,-0.00047,2.15395,44.74449,-22.48556,2.1009,-0.40664,0.12069,-0.05102,0.01497,-0.00179,-0.96734,-52.39207,11.16863,-2.76455,0.49835,0.01073,-0.048,0.01797,-0.00236,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2026-03-11,15:30:00.97,1,5,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Arguijo, Ciana",100000005516,Left,ABI_CHR_SB,Undefined,1,Top,0,1,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.67519,3.880455,0.32637,953.928401,150.377109,11:00,2.09141,0.93013,9.18662,-25.26206,3.6391,-1.6976,2.3873,0.9903,60.42447,-3.100413,-0.130883,0.386927,53.14523,37.895235,-119.872263,2762.270101,,,,,18.29884,,,2.03748,3.36914,-0.84001,50,0.93946,-0.78892,-96.7379,10.36429,1.91954,15.90801,-28.99991,UNI_UTA_SB,ABI_CHR_SB,DumkeFamilySoftballStadium,D1,B12,20260311-DumkeFamilySoftballStadium-3,76202e80-1d91-11f1-a75c-2d51b2557b9a,97.41484,14.9413,,4.25073,,,,2.28804,2.45316,-0.98389,d58f4c95-014b-407f-8268-4b4c3e4ee290,2026-03-11,21:30:00.97,2026-03-11T15:30:00.9761280-06:00,2026-03-11T21:30:00.9761280Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,15077fa6-ee3e-40f7-aa0f-b43928c720fd,36.81139,-94.54424,7.95401,2.09294,6.3653,-14.49996,-0.93055,-0.52423,0.95977,,2.29183,-30.80016,-3.19294,,,,,,,2.45811,47.66337,-24.40817,,,,,,,-0.98703,-53.2037,9.48571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2026-03-11,15:30:29.04,1,6,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Arguijo, Ciana",100000005516,Left,ABI_CHR_SB,Undefined,1,Top,0,1,2,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,54.74262,8.256172,-0.643594,938.441937,13.510722,6:30,2.11146,0.82122,8.94114,-49.70294,-7.39233,-2.07307,3.14176,0.24807,49.92196,-5.304154,-1.195662,0.468162,45.98274,-43.171693,6.933963,,,,,6.46928,6.31563,1.076996,0.069867,2.07028,-10.74323,-0.95086,50,-0.20956,0.69426,-81.66415,17.6324,1.35232,14.03047,-39.19166,UNI_UTA_SB,ABI_CHR_SB,DumkeFamilySoftballStadium,D1,B12,20260311-DumkeFamilySoftballStadium-3,86e6c490-1d91-11f1-a75c-2d51b2557b9a,80.51152,3.25977,,4.82066,,,,3.01881,3.25977,-0.29789,d58f4c95-014b-407f-8268-4b4c3e4ee290,2026-03-11,21:30:29.04,2026-03-11T15:30:29.0411008-06:00,2026-03-11T21:30:29.0411008Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,c44134e0-2753-4194-bacd-d13ea29c4da4,37.05813,-79.40952,7.01523,2.11785,11.3345,-19.59583,-0.82184,0.91157,0.67616,180,3.01269,49.36993,,,,,,,,3.26555,-46.65682,,,,,,,,-0.29864,6.00411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-03-11,15:31:04.60,2,1,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maxwell, Ari",100000001420,Right,ABI_CHR_SB,Undefined,1,Top,1,0,0,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,64.67289,5.298824,-1.463773,1024.747469,170.009163,11:45,2.11056,0.53716,8.55615,-25.21978,5.05575,-0.76047,3.35146,-0.44684,59.86781,-1.566474,-1.664682,0.39602,,,,,,,,,,,,0.3735,4.26233,-0.85234,50,0.72141,2.37084,-96.52886,12.4215,0.34768,16.91426,-28.20658,UNI_UTA_SB,ABI_CHR_SB,DumkeFamilySoftballStadium,D1,B12,20260311-DumkeFamilySoftballStadium-3,9c0ae860-1d91-11f1-a75c-2d51b2557b9a,95.17809,,,4.80508,,,,,,,d58f4c95-014b-407f-8268-4b4c3e4ee290,2026-03-11,21:31:04.60,2026-03-11T15:31:04.6080512-06:00,2026-03-11T21:31:04.6080512Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,d8eda5a1-f3f9-4fdc-bb41-f3818fec2ffc,37.44123,-94.30259,8.45713,2.11202,8.7089,-14.10329,-0.53727,2.4166,0.17384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-11,15:31:26.92,2,2,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maxwell, Ari",100000001420,Right,ABI_CHR_SB,Undefined,1,Top,1,0,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.17223,1.98984,-0.995092,1134.807873,141.003202,10:45,2.14955,0.5616,8.59357,-23.75391,7.25252,-5.11122,1.42067,-0.48947,58.76453,-4.547203,-2.349773,0.400772,,,,,,,,,,,,5.12032,7.72426,-0.74753,50,1.50483,1.08149,-96.52781,6.5483,4.64981,20.26969,-25.15957,UNI_UTA_SB,ABI_CHR_SB,DumkeFamilySoftballStadium,D1,B12,20260311-DumkeFamilySoftballStadium-3,a963a7e0-1d91-11f1-a75c-2d51b2557b9a,94.04961,,,5.4077,,,,,,,d58f4c95-014b-407f-8268-4b4c3e4ee290,2026-03-11,21:31:26.92,2026-03-11T15:31:26.9239808-06:00,2026-03-11T21:31:26.9239808Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,3c873da7-03f4-4241-8449-55850e384d03,37.40049,-93.84477,10.13484,2.1512,3.21801,-12.57978,-0.56365,1.69697,2.32491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-11,15:31:48.69,2,3,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maxwell, Ari",100000001420,Right,ABI_CHR_SB,Undefined,1,Top,1,1,1,Changeup,,InPlay,Undefined,Bunt,Out,1,0,,53.90637,6.186121,-0.725248,957.163736,17.642257,6:30,2.17029,0.4632,8.51935,-54.53503,-9.88666,-3.58921,1.53505,-0.29243,49.27424,-8.54656,-1.672961,0.480921,,,,,,,,,,,,3.62339,-12.73091,-0.59716,50,0.37768,0.66637,-80.90674,14.62116,2.29539,14.89977,-40.23904,UNI_UTA_SB,ABI_CHR_SB,DumkeFamilySoftballStadium,D1,B12,20260311-DumkeFamilySoftballStadium-3,b66064b0-1d91-11f1-a75c-2d51b2557b9a,78.37546,,,4.63214,,,,,,,d58f4c95-014b-407f-8268-4b4c3e4ee290,2026-03-11,21:31:48.69,2026-03-11T15:31:48.6942208-06:00,2026-03-11T21:31:48.6942208Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,c2f23303-43c8-4a66-baa7-3fd06c70ae91,37.48037,-78.56731,7.44989,2.17737,8.30316,-20.11952,-0.46423,1.02677,1.1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-11,15:32:21.98,3,1,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Schaefer, Elizabeth",100000001429,Right,ABI_CHR_SB,Undefined,1,Top,2,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.09892,6.17413,-1.571326,1047.672345,151.898076,11:00,2.05579,0.4692,8.74638,-23.78403,6.1091,-2.83858,3.95208,-0.75044,59.70966,-0.356504,-2.324739,0.393511,,,,,,,,,,,,2.53839,5.11055,-0.79967,50,0.45937,2.32067,-97.1685,13.84742,2.3702,18.54077,-27.40212,UNI_UTA_SB,ABI_CHR_SB,DumkeFamilySoftballStadium,D1,B12,20260311-DumkeFamilySoftballStadium-3,ca343ac0-1d91-11f1-a75c-2d51b2557b9a,95.78491,,,5.38926,,,,,,,d58f4c95-014b-407f-8268-4b4c3e4ee290,2026-03-11,21:32:21.98,2026-03-11T15:32:21.9877376-06:00,2026-03-11T21:32:21.9877376Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,6aad4be2-1407-456c-b149-7ffcd0a7e25b,37.2482,-94.70407,9.27039,2.0579,10.20514,-13.70106,-0.47027,2.63571,1.1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
