PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-13,17:33:43.26,1,1,"Jensen, Alexis",1000000000695,Left,NEB_COR_SB,"Langford, Indiana",100000001322,Left,MIC_WOL_SB,Undefined,1,Top,0,0,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,62.60083,5.866016,0.220294,861.392957,276.97051,3:15,1.75245,-0.55901,5.56358,-32.94415,-0.45311,10.63772,2.70782,0.46595,57.70965,-3.069754,3.030747,0.410254,,,,,,,,,,,,-11.65075,-2.11099,0.52891,50,0.17893,0.92829,-93.56475,13.90555,-10.10569,16.95069,-34.0051,NEB_COR_SB,MIC_WOL_SB,BowlinStadium,D1,B10,20260313-BowlinStadium-1,b143aae0-1f2c-11f1-90cc-fd370e5ae789,91.87577,,,4.89118,,,,,,,dd71f7ea-97f6-41aa-866f-e8d6e6938c87,2026-03-13,22:33:43.26,2026-03-13T17:33:43.2608768-05:00,2026-03-13T22:33:43.2608768Z,,V3 - Softball,,,,"Camenzind, Lauren ",100000002152,Right,NEB_COR_SB,01c40bf7-14e0-42fd-81c7-36d185770cea,37.43436,-91.2599,8.47534,1.75536,9.28175,-17.00255,0.56171,-0.44582,-5.05284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-13,17:34:03.12,1,2,"Jensen, Alexis",1000000000695,Left,NEB_COR_SB,"Langford, Indiana",100000001322,Left,MIC_WOL_SB,Undefined,1,Top,0,0,1,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.05029,3.616201,0.517434,1245.129448,220.483129,1:15,1.82207,-0.95203,5.23797,-21.46167,9.61174,7.35229,2.33066,-0.0111,58.94481,-2.284107,2.445568,0.401204,,,,,,,,,,,,-7.63937,9.28674,1.01756,50,0.87088,-0.04887,-97.84106,8.99426,-7.05423,22.23591,-23.59862,NEB_COR_SB,MIC_WOL_SB,BowlinStadium,D1,B10,20260313-BowlinStadium-1,bd200390-1f2c-11f1-90cc-fd370e5ae789,93.94821,,,6.10549,,,,,,,dd71f7ea-97f6-41aa-866f-e8d6e6938c87,2026-03-13,22:34:03.12,2026-03-13T17:34:03.1296000-05:00,2026-03-13T22:34:03.1296000Z,,V3 - Softball,,,,"Camenzind, Lauren ",100000002152,Right,NEB_COR_SB,548e17dc-7911-4dd7-b17e-9e866a45b65a,37.75635,-95.01776,11.11796,1.82266,5.99794,-11.79931,0.95449,-0.94454,-3.52712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-13,17:34:26.76,1,3,"Jensen, Alexis",1000000000695,Left,NEB_COR_SB,"Langford, Indiana",100000001322,Left,MIC_WOL_SB,Undefined,1,Top,0,0,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.54915,8.483627,-0.195194,1517.037783,219.365178,1:15,1.75336,-0.57945,5.28567,-22.80147,10.24993,7.57032,5.26739,-0.07225,57.0745,2.248732,1.788389,0.413777,,,,,,,,,,,,-8.00815,7.98544,0.49685,50,-0.2724,1.11336,-94.62805,17.04394,-6.93595,20.45309,-25.25778,NEB_COR_SB,MIC_WOL_SB,BowlinStadium,D1,B10,20260313-BowlinStadium-1,cb3f6e70-1f2c-11f1-90cc-fd370e5ae789,91.09364,,,6.47465,,,,,,,dd71f7ea-97f6-41aa-866f-e8d6e6938c87,2026-03-13,22:34:26.76,2026-03-13T17:34:26.7685376-05:00,2026-03-13T22:34:26.7685376Z,,V3 - Softball,,,,"Camenzind, Lauren ",100000002152,Right,NEB_COR_SB,7932f12c-21ad-40f2-bf48-0f0363637058,37.70575,-91.93235,10.22655,1.75459,13.71499,-12.62889,0.58335,0.19921,-3.46798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-13,17:34:45.80,1,4,"Jensen, Alexis",1000000000695,Left,NEB_COR_SB,"Langford, Indiana",100000001322,Left,MIC_WOL_SB,Undefined,1,Top,0,1,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.07898,5.78125,0.943398,1375.405078,218.222347,1:15,1.83769,-0.67355,5.58563,-18.66237,12.2306,8.81552,3.9276,0.65385,58.33162,0.552278,3.274931,0.400038,,,,,,,,,,,,-8.96296,11.16371,0.82958,50,0.38959,-0.62464,-97.76508,12.50069,-8.1788,23.59051,-21.98705,NEB_COR_SB,MIC_WOL_SB,BowlinStadium,D1,B10,20260313-BowlinStadium-1,d693f980-1f2c-11f1-90cc-fd370e5ae789,94.22212,,,6.74736,,,,,,,dd71f7ea-97f6-41aa-866f-e8d6e6938c87,2026-03-13,22:34:45.80,2026-03-13T17:34:45.8071552-05:00,2026-03-13T22:34:45.8071552Z,,V3 - Softball,,,,"Camenzind, Lauren ",100000002152,Right,NEB_COR_SB,7270795c-aac8-4933-b356-65e2f1fa7f12,37.40559,-94.67731,11.79526,1.83746,9.6228,-10.99353,0.67776,-1.69516,-4.0894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-13,17:35:03.87,1,5,"Jensen, Alexis",1000000000695,Left,NEB_COR_SB,"Langford, Indiana",100000001322,Left,MIC_WOL_SB,Undefined,1,Top,0,2,2,Changeup,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,53.82099,8.592614,-0.897484,979.820676,340.447801,5:15,1.69675,-0.48,4.71293,-58.14436,-10.77028,4.37307,2.42333,-0.69317,48.65364,-6.755612,0.228074,0.495384,,,,,,,,,,,,-4.81831,-13.45139,0.27624,50,-0.43586,1.61212,-80.14898,17.48336,-3.00069,14.46247,-40.55116,NEB_COR_SB,MIC_WOL_SB,BowlinStadium,D1,B10,20260313-BowlinStadium-1,e166d170-1f2c-11f1-90cc-fd370e5ae789,76.08736,,,5.16735,,,,,,,dd71f7ea-97f6-41aa-866f-e8d6e6938c87,2026-03-13,22:35:03.87,2026-03-13T17:35:03.8720000-05:00,2026-03-13T22:35:03.8720000Z,,V3 - Softball,,,,"Camenzind, Lauren ",100000002152,Right,NEB_COR_SB,8e6bfb43-d03b-495f-a513-3e90f8c9b217,38.28576,-78.00657,7.23123,1.70912,11.47629,-20.27558,0.48213,1.16761,-1.50035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.94502,2.463624,1.633741,0.829883,-0.9573,2.1197,0.68223,-3.45647,5.7198,3.28603,43.95576,1.43869,38.40036,-3.43392,63.38761,-7.65849,5.73482,6.83119,-14.53252,3.2867,43.67812,-1.64922,High,High,High,,,High,High,High
6,2026-03-13,17:35:28.79,2,1,"Jensen, Alexis",1000000000695,Left,NEB_COR_SB,"Conway, Jenissa",100000001296,Right,MIC_WOL_SB,Undefined,1,Top,1,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.59937,7.163189,0.545,1157.568799,325.524763,4:45,1.74914,-0.66603,6.03454,-37.32215,-8.04394,6.13477,3.10683,0.18335,59.6064,-3.049816,2.185464,0.389443,,,,,,,,,,,,-6.51244,-10.95044,0.7478,50,-0.2078,-0.17378,-98.19396,17.44967,-6.11841,21.00999,-42.46196,NEB_COR_SB,MIC_WOL_SB,BowlinStadium,D1,B10,20260313-BowlinStadium-1,f0336c40-1f2c-11f1-90cc-fd370e5ae789,96.7856,,,5.99297,,,,,,,dd71f7ea-97f6-41aa-866f-e8d6e6938c87,2026-03-13,22:35:28.79,2026-03-13T17:35:28.7953408-05:00,2026-03-13T22:35:28.7953408Z,,V3 - Softball,,,,"Camenzind, Lauren ",100000002152,Right,NEB_COR_SB,9270f658-ad60-4757-b81d-1b1f1eb17d4c,36.96252,-95.36362,10.50499,1.75762,11.72944,-21.23098,0.66887,-0.99802,-3.05921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-13,17:35:47.69,2,2,"Jensen, Alexis",1000000000695,Left,NEB_COR_SB,"Conway, Jenissa",100000001296,Right,MIC_WOL_SB,Undefined,1,Top,1,0,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,54.2929,8.798195,1.611582,1011.976546,334.456805,5:15,1.66924,-0.81553,4.68965,-55.44113,-8.77776,4.90654,2.76166,0.63135,49.06574,-5.828778,2.871489,0.491654,,,,,,,,,,,,-4.31847,-11.33749,1.12275,50,-0.4838,-1.8754,-80.72751,17.64275,-2.7334,14.50093,-39.35015,NEB_COR_SB,MIC_WOL_SB,BowlinStadium,D1,B10,20260313-BowlinStadium-1,fb87d040-1f2c-11f1-90cc-fd370e5ae789,76.66456,,,5.22717,,,,,,,dd71f7ea-97f6-41aa-866f-e8d6e6938c87,2026-03-13,22:35:47.69,2026-03-13T17:35:47.6984320-05:00,2026-03-13T22:35:47.6984320Z,,V3 - Softball,,,,"Camenzind, Lauren ",100000002152,Right,NEB_COR_SB,dab65783-d3df-4672-91cc-67f3803e1d2d,38.30793,-78.59923,7.25046,1.68178,11.86739,-19.67507,0.81806,-2.27657,-1.3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-13,17:36:08.16,2,3,"Jensen, Alexis",1000000000695,Left,NEB_COR_SB,"Conway, Jenissa",100000001296,Right,MIC_WOL_SB,Undefined,1,Top,1,0,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,63.87634,6.077747,0.142335,1427.418469,213.588155,1:00,1.76574,-0.64389,5.45571,-20.05426,12.23115,7.40804,3.94131,0.0632,57.25272,0.493048,2.095325,0.408954,,,,,,,,,,,,-7.72709,11.01253,0.63481,50,0.25874,0.54784,-95.80835,12.89123,-6.79283,22.2531,-22.49299,NEB_COR_SB,MIC_WOL_SB,BowlinStadium,D1,B10,20260313-BowlinStadium-1,07aec680-1f2d-11f1-90cc-fd370e5ae789,92.16789,,,6.62362,,,,,,,dd71f7ea-97f6-41aa-866f-e8d6e6938c87,2026-03-13,22:36:08.16,2026-03-13T17:36:08.1610000-05:00,2026-03-13T22:36:08.1610000Z,,V3 - Softball,,,,"Camenzind, Lauren ",100000002152,Right,NEB_COR_SB,772e2347-12c6-4a40-94b9-2b266f2daadd,37.53443,-92.86789,11.12655,1.76579,9.91907,-11.24649,0.64789,-0.34974,-3.39641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.75259,2.470081,1.619251,0.85083,-2.12548,3.95177,-0.19867,-3.08978,5.98387,2.05627,43.41947,3.64472,38.9393,-3.0662,59.84299,-6.16873,6.00007,9.437,-14.38153,2.06111,45.06799,-2.03647,High,High,High,,,High,High,High
9,2026-03-13,17:36:34.19,3,1,"Jensen, Alexis",1000000000695,Left,NEB_COR_SB,"Putz, Lauren",100000001326,Left,MIC_WOL_SB,Undefined,1,Top,2,0,0,Riseball,,InPlay,Undefined,FlyBall,Out,1,0,,62.70443,4.215115,0.75222,1574.447532,211.40629,1:00,1.76258,-0.60902,5.33039,-20.04521,13.49016,7.54811,2.76425,0.49597,56.41992,-1.366923,2.73595,0.416795,71.43355,29.899736,16.664379,1429.76277,104.87496,47.34334,33.18377,219.22421,210.35255,18.85096,3.815644,-7.82256,13.17599,0.72261,50,0.67919,-0.39774,-94.43247,9.55293,-6.661,21.98731,-20.95453,NEB_COR_SB,MIC_WOL_SB,BowlinStadium,D1,B10,20260313-BowlinStadium-1,1724e7c0-1f2d-11f1-90cc-fd370e5ae789,90.43392,48.37628,,6.28452,,,,3.50199,2.84373,-0.38283,dd71f7ea-97f6-41aa-866f-e8d6e6938c87,2026-03-13,22:36:34.19,2026-03-13T17:36:34.1953024-05:00,2026-03-13T22:36:34.1953024Z,,V3 - Softball,,,,"Camenzind, Lauren ",100000002152,Right,NEB_COR_SB,7807ad2b-0d9d-4bb2-9e6f-2e9b4c782bab,37.66412,-91.51516,10.99366,1.76223,6.77265,-10.47727,0.6112,-1.28153,-3.3305,191.56014,3.50228,87.0023,-19.02487,4.96274,-1.03604,0.19154,-0.03444,0.00524,-0.00039,2.84419,52.20931,-15.5227,-0.15225,0.59195,-0.31939,0.10266,-0.01723,0.00114,-0.38285,26.04624,-3.2801,0.53757,-0.08307,0.0256,-0.00973,0.00201,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-13,17:38:42.42,1,1,"Meyers, Kat",100000001324,Right,MIC_WOL_SB,"Frahm, Jordyn",100000002148,Right,NEB_COR_SB,Undefined,1,Bottom,0,0,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.62439,5.223038,0.262557,1114.103177,36.160207,7:15,1.61332,0.46178,5.6837,-34.38915,-7.94811,-6.42044,2.02927,0.09125,63.24154,-4.123048,-1.441515,0.370093,,,,,,,,,,,,7.02126,-10.08438,-0.36324,50,0.18536,-1.28273,-104.6158,14.30515,7.44447,24.75081,-42.86623,NEB_COR_SB,MIC_WOL_SB,BowlinStadium,D1,B10,20260313-BowlinStadium-1,63945190-1f2d-11f1-90cc-fd370e5ae789,101.84591,,,6.38285,,,,,,,dd71f7ea-97f6-41aa-866f-e8d6e6938c87,2026-03-13,22:38:42.42,2026-03-13T17:38:42.4247296-05:00,2026-03-13T22:38:42.4247296Z,,V3 - Softball,,,,"Vallimont, Lilly",100000001332,Right,MIC_WOL_SB,229d9614-67d2-4b58-b294-698e088c616f,37.31272,-101.56981,12.3754,1.62124,9.02975,-21.43311,-0.46472,-0.36656,3.72223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
