PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-13,17:02:27.08,1,1,"Haendiges, Sarah",1000000000032,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.57952,4.202929,1.579163,2346.930004,105.262996,9:30,1.91922,0.50959,5.22445,-28.86246,2.76642,-7.45827,2.18694,0.89044,59.31699,-3.553259,-0.375494,0.404775,,,,,,,,,,,,8.47382,2.22866,-0.1227,50,0.78576,-3.48854,-94.83373,10.68357,7.68359,15.08803,-30.15324,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260313-JohnCropp-1,f1342650-1f1f-11f1-b24d-e312e1577955,93.11959,,,4.26253,,,,,,,cdb84efa-530d-4d45-ab8e-c6f69bb445cd,2026-03-13,21:02:27.08,2026-03-13T17:02:27.0830000-04:00,2026-03-13T21:02:27.0830000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,cec8cd6b-4364-468d-8fce-b6c841f4108c,37.77253,-92.86796,7.54402,1.92177,6.75502,-15.07662,-0.51199,-2.48748,3.84179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-13,17:02:42.34,1,2,"Haendiges, Sarah",1000000000032,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,0,1,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.25594,3.847548,-0.075415,1100.097751,131.645083,10:30,1.90567,0.78287,5.32516,-25.25415,7.15162,-6.9741,2.23965,0.15397,57.86081,-3.047809,-1.90902,0.409715,,,,,,,,,,,,7.41878,6.80481,-0.75592,50,0.86781,-0.65531,-94.90129,9.61863,6.53699,19.0946,-26.17807,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260313-JohnCropp-1,fa4921a0-1f1f-11f1-b24d-e312e1577955,91.99662,,,5.39512,,,,,,,cdb84efa-530d-4d45-ab8e-c6f69bb445cd,2026-03-13,21:02:42.34,2026-03-13T17:02:42.3420000-04:00,2026-03-13T21:02:42.3420000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,55323f40-7e53-4fa2-9fba-f0dd724846e1,37.66914,-92.38695,9.5473,1.90741,6.17155,-13.08904,-0.78553,0.20546,3.2685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-13,17:02:59.00,1,3,"Haendiges, Sarah",1000000000032,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,0,2,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.9245,3.598044,2.518742,1145.379289,91.120691,9:00,1.95379,0.62379,5.39693,-29.37974,0.95386,-7.6352,1.7831,1.57931,60.03995,-4.34639,0.50886,0.3964,,,,,,,,,,,,9.06272,0.36882,-0.02813,50,0.93385,-5.18171,-97.14338,9.97767,8.495,17.92391,-31.82834,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260313-JohnCropp-1,04360660-1f20-11f1-b24d-e312e1577955,95.08695,,,4.88455,,,,,,,cdb84efa-530d-4d45-ab8e-c6f69bb445cd,2026-03-13,21:02:59.00,2026-03-13T17:02:59.0080000-04:00,2026-03-13T21:02:59.0080000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,c88b9a39-5314-4e03-a917-20f527195bf8,37.59949,-94.82776,8.96196,1.95726,5.86572,-15.91417,-0.62667,-4.08423,4.2475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-13,17:03:13.72,1,4,"Haendiges, Sarah",1000000000032,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,1,2,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.53015,3.814135,1.136586,1128.458,145.306343,10:45,1.9838,0.54445,5.83432,-23.94584,5.87638,-3.55669,2.37209,0.95731,59.86392,-2.770544,0.188269,0.393044,59.76041,45.021403,-60.734045,4152.843113,44.40545,37.99901,-100.63845,148.98607,111.82811,-67.121975,3.151849,4.35752,5.71563,-0.26112,50,0.90075,-2.38623,-96.61665,9.86752,4.05661,17.17767,-26.85311,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260313-JohnCropp-1,0cf826c0-1f20-11f1-b24d-e312e1577955,95.89875,45.61748,,4.66623,,,,2.7158,2.29977,-0.94051,cdb84efa-530d-4d45-ab8e-c6f69bb445cd,2026-03-13,21:03:13.72,2026-03-13T17:03:13.7240000-04:00,2026-03-13T21:03:13.7240000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,02f86f54-f84e-4965-bf6c-68647ec14564,37.16271,-94.30667,8.58884,1.98489,6.25642,-13.42656,-0.54533,-1.84072,2.02831,129.035477,2.71372,30.36618,-10.24554,4.95288,-2.89104,1.6351,-0.60809,0.11949,-0.00926,2.30032,61.97607,-25.21589,2.27154,0.30842,-0.56085,0.26508,-0.06083,0.00553,-0.9407,-54.03687,4.33104,-0.07633,-0.45532,0.36194,-0.16234,0.0399,-0.00395,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2026-03-13,17:03:30.41,1,5,"Haendiges, Sarah",1000000000032,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,1,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,54.51318,2.348826,-0.1753,1105.215036,66.974202,8:15,1.97035,0.52253,5.19405,-46.13384,-2.57567,-8.88343,-0.38152,-0.32909,50.88001,-9.976547,-2.509661,0.475014,,,,,,,,,,,,9.60394,-3.20394,-0.49819,50,1.10786,-0.65172,-81.8962,8.32925,6.3387,13.65515,-34.28869,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260313-JohnCropp-1,16f58640-1f20-11f1-b24d-e312e1577955,79.3502,,,3.63316,,,,,,,cdb84efa-530d-4d45-ab8e-c6f69bb445cd,2026-03-13,21:03:30.41,2026-03-13T17:03:30.4140000-04:00,2026-03-13T21:03:30.4140000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,dd20989d-9633-4f15-9aba-b8252e627077,37.80449,-79.83686,6.82758,1.97407,3.15816,-17.14435,-0.52439,0.30422,3.16935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-13,17:03:46.30,1,6,"Haendiges, Sarah",1000000000032,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,2,2,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.13599,2.842836,1.47034,3139.789002,126.269612,10:15,1.94779,0.5432,5.74617,-25.46446,4.62063,-5.35835,1.60592,1.01654,60.01837,-4.111635,0.04451,0.394773,,,,,,,,,,,,6.35044,4.7604,-0.17517,50,1.07941,-3.14642,-95.88015,8.33942,5.88663,15.40773,-27.76133,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260313-JohnCropp-1,2067bcc0-1f20-11f1-b24d-e312e1577955,95.47884,,,4.11762,,,,,,,cdb84efa-530d-4d45-ab8e-c6f69bb445cd,2026-03-13,21:03:46.30,2026-03-13T17:03:46.3010000-04:00,2026-03-13T21:03:46.3010000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,c999f88a-6616-48ed-a7ac-ec7661e1aedc,37.25039,-93.80894,7.70387,1.94962,4.60756,-13.88067,-0.54494,-2.3551,2.94331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-13,17:04:02.61,1,7,"Haendiges, Sarah",1000000000032,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,3,2,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,63.14071,2.557679,0.071788,1068.920086,112.350999,9:45,1.94348,0.71543,5.38786,-27.59029,3.99425,-8.00646,1.26114,0.09358,59.29267,-4.888703,-2.039031,0.404491,,,,,,,,,,,,8.71638,4.09469,-0.64326,50,1.15507,-1.08247,-94.35197,7.84793,7.84521,14.5632,-28.48862,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260313-JohnCropp-1,2a24def0-1f20-11f1-b24d-e312e1577955,93.18493,,,3.84804,,,,,,,cdb84efa-530d-4d45-ab8e-c6f69bb445cd,2026-03-13,21:04:02.61,2026-03-13T17:04:02.6120000-04:00,2026-03-13T21:04:02.6120000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,8cf5d95c-eb52-458a-917a-e175b98e32af,37.60913,-92.41965,7.2816,1.94559,4.06793,-14.24431,-0.71783,-0.04154,3.92261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-13,17:04:26.37,2,1,"Haendiges, Sarah",1000000000032,Right,UNI_KEN_SB,"Erickson, Jocelyn",100000001359,Right,FLO_GAT_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.6878,2.848736,1.264002,2748.834633,163.263409,11:30,1.91256,0.58095,5.4171,-26.97494,5.1813,-1.32929,1.46475,1.26817,58.54965,-4.457982,0.913479,0.408135,,,,,,,,,,,,1.81823,5.29146,-0.29774,50,1.06341,-2.22483,-93.703,8.19439,1.60516,15.09277,-27.5027,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260313-JohnCropp-1,384f4650-1f20-11f1-b24d-e312e1577955,92.35284,,,4.13815,,,,,,,cdb84efa-530d-4d45-ab8e-c6f69bb445cd,2026-03-13,21:04:26.37,2026-03-13T17:04:26.3700000-04:00,2026-03-13T21:04:26.3700000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,563448fa-463f-4ed3-93fb-78085b26de6d,37.57883,-91.68049,7.54638,1.91456,4.50889,-13.75135,-0.58147,-2.00973,0.80258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-13,17:04:41.62,2,2,"Haendiges, Sarah",1000000000032,Right,UNI_KEN_SB,"Erickson, Jocelyn",100000001359,Right,FLO_GAT_SB,Undefined,1,Top,0,1,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,52.77034,5.387254,1.988228,1205.82524,59.468344,8:00,1.93959,0.58443,5.22829,-49.51432,-2.8402,-6.99323,1.24387,1.26373,48.84265,-7.885248,0.1564,0.49171,,,,,,,,,,,,8.12788,-4.04225,-0.11702,50,0.40694,-3.38685,-78.86674,12.52759,4.99726,12.25744,-34.65934,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260313-JohnCropp-1,4170c4c0-1f20-11f1-b24d-e312e1577955,76.65576,,,3.92769,,,,,,,cdb84efa-530d-4d45-ab8e-c6f69bb445cd,2026-03-13,21:04:41.62,2026-03-13T17:04:41.6230000-04:00,2026-03-13T21:04:41.6230000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,d86c5b5b-c702-4e00-a7ab-5a21fe978353,37.76924,-76.94236,6.12872,1.94658,7.08618,-17.32967,-0.58716,-2.6023,2.49863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-13,17:04:57.71,2,3,"Haendiges, Sarah",1000000000032,Right,UNI_KEN_SB,"Erickson, Jocelyn",100000001359,Right,FLO_GAT_SB,Undefined,1,Top,0,2,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.48996,3.671811,1.198427,1047.089773,100.383946,9:15,1.92744,0.45142,5.87986,-29.07293,1.34453,-3.70803,1.7964,0.88932,59.55843,-4.264838,0.208232,0.396947,,,,,,,,,,,,4.46477,0.94913,-0.1526,50,0.82829,-2.46385,-94.81246,10.17476,4.06338,14.52127,-31.31024,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260313-JohnCropp-1,4afa53d0-1f20-11f1-b24d-e312e1577955,94.95575,,,3.93152,,,,,,,cdb84efa-530d-4d45-ab8e-c6f69bb445cd,2026-03-13,21:04:57.71,2026-03-13T17:04:57.7100000-04:00,2026-03-13T21:04:57.7100000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,745c230a-89c4-47fc-857b-5ad28b24b4aa,37.11734,-92.81842,7.26064,1.93028,5.87526,-15.65512,-0.45262,-1.90587,2.03169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
