PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-13,17:02:18.57,1,1,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.6242,5.660787,0.761945,1489.081521,149.183494,11:00,1.72834,0.04127,6.46221,-23.05304,6.30524,-3.40969,3.28885,0.22422,59.61217,-0.7524,-0.162579,0.389975,,,,,,,,,,,,4.10733,6.22189,0.16826,50,0.13947,-1.73633,-94.70927,12.9709,3.75019,13.75499,-26.49315,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260313-BittingerStadium-1,ebd30b40-1f1f-11f1-85cd-7132134a7107,96.65349,,,4.01202,,,,,,,37dbc934-6ae4-4372-b5d1-395851bb906f,2026-03-13,21:02:18.57,2026-03-13T17:02:18.5779200-04:00,2026-03-13T21:02:18.5779200Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,a904e0fc-f1a3-4608-8a92-3f831a09f120,36.53388,-92.73292,6.87749,1.72969,9.16428,-13.24658,-0.0425,-1.19749,1.8751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-13,17:02:34.20,1,2,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,1,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.95538,3.985655,2.022415,1364.644339,116.036797,9:45,1.71006,0.36484,5.84836,-25.50698,2.39886,-3.90406,2.07587,1.30139,62.56823,-2.945614,0.981754,0.380206,,,,,,,,,,,,4.81051,2.1861,0.12102,50,0.5692,-3.99962,-98.0272,10.62778,4.77581,12.54797,-30.00373,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260313-BittingerStadium-1,f52cfed0-1f1f-11f1-85cd-7132134a7107,99.13691,,,3.38715,,,,,,,37dbc934-6ae4-4372-b5d1-395851bb906f,2026-03-13,21:02:34.20,2026-03-13T17:02:34.2089728-04:00,2026-03-13T21:02:34.2089728Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,c8bd97f7-8bf6-4052-8350-f4cd77fee1ab,37.14936,-96.36822,6.27398,1.71208,6.66095,-15.00186,-0.36604,-3.36821,2.3879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-13,17:02:49.90,1,3,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,1,1,Riseball,,InPlay,Undefined,Popup,HomeRun,0,1,,62.67223,5.405568,1.044755,1339.883254,143.512649,10:45,1.69413,0.1617,5.50018,-25.46836,6.6367,-4.3854,2.98674,0.45428,58.41235,-1.507892,-0.112599,0.40781,68.90221,45.376769,-26.215064,,88.95899,71.12447,-64.70135,198.78905,103.49682,-40.854005,4.346669,5.11922,6.14138,0.09905,50,0.28285,-2.23965,-93.33501,12.24557,4.50506,14.35862,-26.76942,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260313-BittingerStadium-1,fe848160-1f1f-11f1-85cd-7132134a7107,92.42637,71.12979,,4.25988,,,,-0.05259,3.12269,-0.4717,37dbc934-6ae4-4372-b5d1-395851bb906f,2026-03-13,21:02:49.90,2026-03-13T17:02:49.9058688-04:00,2026-03-13T21:02:49.9058688Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,ac52061c-ba59-49c6-ad29-5bab62282c6f,37.49674,-91.39127,7.17931,1.69527,8.62178,-13.38471,-0.16286,-1.6298,2.25253,142.089775,-0.0419,63.42471,-14.17107,1.74901,1.23779,-0.87007,0.23726,-0.02967,0.00138,3.12543,71.84116,-21.23857,0.60099,1.0718,-0.75546,0.24979,-0.04012,0.00249,-0.47108,-31.36271,-1.59439,1.46746,-0.69295,0.2983,-0.09367,0.01611,-0.0011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-03-13,17:03:32.87,2,1,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.68269,3.195545,-1.943975,1302.823001,146.339538,11:00,1.70626,0.13562,5.83795,-24.07273,4.50733,-2.57043,1.69704,-1.29185,61.42875,-3.395192,-2.628946,0.384771,,,,,,,,,,,,2.2787,4.55201,-0.55174,50,0.76282,2.99355,-98.14462,8.98193,2.21259,16.1857,-27.75409,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260313-BittingerStadium-1,1817e630-1f20-11f1-85cd-7132134a7107,97.9606,,,4.25394,,,,,,,37dbc934-6ae4-4372-b5d1-395851bb906f,2026-03-13,21:03:32.87,2026-03-13T17:03:32.8730112-04:00,2026-03-13T21:03:32.8730112Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,27723509-38e3-45ac-a34f-41f091ac5686,37.15808,-96.00341,8.09285,1.70818,5.31033,-13.87704,-0.13636,3.28626,1.1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-13,17:03:50.21,2,2,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.85348,5.935412,-2.362131,1350.618547,118.207259,10:00,1.80119,0.26575,5.93411,-25.58198,2.64402,-3.9189,3.37877,-1.53137,61.88901,-1.037056,-3.406659,0.382381,,,,,,,,,,,,3.77937,1.90606,-0.76794,50,0.20812,3.50272,-97.75592,13.96555,3.69399,13.95664,-30.31102,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260313-BittingerStadium-1,2274cad0-1f20-11f1-85cd-7132134a7107,98.57303,,,3.96447,,,,,,,37dbc934-6ae4-4372-b5d1-395851bb906f,2026-03-13,21:03:50.21,2026-03-13T17:03:50.2124544-04:00,2026-03-13T21:03:50.2124544Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,74fc77a6-5a34-4025-bf0c-8f7fb67b2fc6,37.06285,-95.89109,6.97832,1.80356,9.91552,-15.15551,-0.26695,3.99629,1.84699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-13,17:04:07.11,2,3,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,1,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.4282,2.616822,-2.217251,1202.898068,174.385923,11:45,1.72658,0.2218,5.29952,-21.89544,9.50162,-0.83862,1.56152,-1.25291,58.74838,-3.390821,-2.437416,0.403289,,,,,,,,,,,,0.01268,9.73193,-0.6932,50,0.98036,3.65312,-96.73651,7.29531,0.01153,20.52734,-23.3093,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260313-BittingerStadium-1,2c8bccd0-1f20-11f1-85cd-7132134a7107,93.4627,,,5.67982,,,,,,,37dbc934-6ae4-4372-b5d1-395851bb906f,2026-03-13,21:04:07.11,2026-03-13T17:04:07.1145472-04:00,2026-03-13T21:04:07.1145472Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,2e6174ab-4216-40d6-b0e6-7cdd2f3a31c0,37.69265,-94.08866,10.26367,1.72747,4.28862,-11.65465,-0.22188,3.65461,0.00576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-13,17:04:23.36,2,4,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,2,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,54.93566,6.26376,-0.764382,1692.955875,134.720241,10:30,1.9158,0.09835,5.84086,-32.57368,8.38603,-7.62993,3.12481,-1.01435,51.43215,-2.641767,-2.793917,0.460628,,,,,,,,,,,,8.23465,8.258,-0.21127,50,0.19142,0.25029,-81.6067,12.96995,5.57579,10.32829,-26.58245,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260313-BittingerStadium-1,363df280-1f20-11f1-85cd-7132134a7107,81.82845,,,3.50351,,,,,,,37dbc934-6ae4-4372-b5d1-395851bb906f,2026-03-13,21:04:23.36,2026-03-13T17:04:23.3614848-04:00,2026-03-13T21:04:23.3614848Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,67a705b3-0969-4d97-940c-7378527a6194,37.15455,-79.96443,5.16415,1.91769,8.74316,-13.29122,-0.10098,1.13688,2.7879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-13,17:04:42.82,2,5,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,3,1,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.65037,2.724973,-0.91851,1381.639437,134.402716,10:30,1.77789,0.31564,5.95688,-22.90269,5.613,-5.02449,1.56522,-0.67424,61.13482,-3.589465,-2.263435,0.384338,,,,,,,,,,,,5.28315,5.91591,-0.48515,50,0.94071,0.91655,-98.33785,8.05355,5.11034,17.3678,-26.45165,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260313-BittingerStadium-1,41d7eb00-1f20-11f1-85cd-7132134a7107,98.0711,,,4.51554,,,,,,,37dbc934-6ae4-4372-b5d1-395851bb906f,2026-03-13,21:04:42.82,2026-03-13T17:04:42.8253696-04:00,2026-03-13T21:04:42.8253696Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,01980938-c7cf-453f-80a3-c71d1faee440,37.03852,-96.0214,8.6839,1.77959,4.52552,-13.22582,-0.31745,1.59815,2.55517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-13,17:04:58.59,2,6,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,3,2,Curveball,,BallCalled,Walk,Undefined,Undefined,0,0,,64.94057,3.569398,-3.14306,1333.831336,184.369733,12:15,1.75318,-0.03631,6.33491,-20.50682,8.17831,0.57098,2.24633,-1.92428,60.25053,-2.164099,-2.989043,0.385478,,,,,,,,,,,,-1.65028,8.66658,-0.70062,50,0.70098,5.41224,-97.15032,9.24299,-1.55467,17.24951,-24.00964,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260313-BittingerStadium-1,4b386e40-1f20-11f1-85cd-7132134a7107,97.78103,,,4.69004,,,,,,,37dbc934-6ae4-4372-b5d1-395851bb906f,2026-03-13,21:04:58.59,2026-03-13T17:04:58.5981440-04:00,2026-03-13T21:04:58.5981440Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,e42220ed-a8ad-479c-bbe0-2dacc8f9dbb7,36.65976,-94.7521,8.62476,1.754,5.9049,-12.00482,0.03682,5.19609,-0.77733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-13,17:05:26.02,3,1,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Milliken, Reagan",100000004822,Right,OHI_STA_SB,Undefined,1,Top,0,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.24331,4.805196,0.279982,1384.862307,157.529096,11:15,1.73929,0.05735,6.29393,-23.47765,4.72815,-1.70567,2.74941,0.08766,61.01778,-1.700251,-0.180564,0.382244,,,,,,,,,,,,2.00906,4.5215,0.02202,50,0.37651,-0.71246,-97.33407,11.80285,1.92768,15.25269,-27.83569,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260313-BittingerStadium-1,5b8f2b80-1f20-11f1-85cd-7132134a7107,98.60831,,,4.22553,,,,,,,37dbc934-6ae4-4372-b5d1-395851bb906f,2026-03-13,21:05:26.02,2026-03-13T17:05:26.0217344-04:00,2026-03-13T21:05:26.0217344Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,9a3e06d8-0de0-47d7-ae5b-5c29c037d8f1,36.70204,-95.22742,7.62635,1.74117,7.95828,-13.91785,-0.05799,-0.44622,0.96384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
