PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-13,18:04:28.31,1,1,"Hess, Taylor",100000001934,Left,IND_HOO_SB,"Hwang, Riley ",100000002072,Right,RUT_RUT_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.19462,4.314575,0.452387,1075.155528,346.412053,5:30,1.73746,-1.29115,4.93919,-39.89923,-5.75343,1.62768,1.17727,-0.86617,57.23815,-6.307297,0.87606,0.420572,,,,,,,,,,,,-1.51945,-6.73922,1.37694,50,0.56641,-0.571,-93.15981,11.54861,-1.29682,17.75388,-37.92581,IND_HOO_SB,RUT_RUT_SB,UIndianaSoftball,D1,B10,20260313-UIndianaSoftball-1,9b3dfd80-1f28-11f1-aa94-edb2525099d2,89.62191,,,4.95647,,,,,,,be6d77ae-4690-473f-9031-e58083a08c9d,2026-03-13,22:04:28.31,2026-03-13T18:04:28.3133952-04:00,2026-03-13T22:04:28.3133952Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,97f60657-c6d7-42b5-9e55-9454881c44e6,38.05724,-90.85532,8.87694,1.74594,6.62577,-18.96291,1.2919,-0.73933,-0.64841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-13,18:04:43.08,1,2,"Hess, Taylor",100000001934,Left,IND_HOO_SB,"Hwang, Riley ",100000002072,Right,RUT_RUT_SB,Undefined,1,Top,0,1,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,62.89396,6.061088,0.125142,1170.962831,327.288829,5:00,1.80337,-1.55488,5.23309,-36.44959,-3.735,2.93914,2.62567,-1.23056,58.0788,-3.702473,0.894646,0.411663,,,,,,,,,,,,-3.06961,-5.2676,1.56395,50,0.22806,0.11835,-93.78054,14.41171,-2.69113,16.24203,-36.79216,IND_HOO_SB,RUT_RUT_SB,UIndianaSoftball,D1,B10,20260313-UIndianaSoftball-1,a40a7e20-1f28-11f1-aa94-edb2525099d2,91.56135,,,4.81516,,,,,,,be6d77ae-4690-473f-9031-e58083a08c9d,2026-03-13,22:04:43.08,2026-03-13T18:04:43.0886400-04:00,2026-03-13T22:04:43.0886400Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,518679f7-158f-4daa-bb9e-9702dc3f812c,37.76382,-91.63683,8.12102,1.80973,9.55569,-18.39608,1.55613,-0.23684,-1.34556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-13,18:04:56.93,1,3,"Hess, Taylor",100000001934,Left,IND_HOO_SB,"Hwang, Riley ",100000002072,Right,RUT_RUT_SB,Undefined,1,Top,0,1,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.72643,6.244191,0.626279,1154.663931,83.595614,8:45,1.72572,-1.40429,4.75208,-34.05809,0.84854,-3.50205,2.91769,-1.29353,56.06055,-2.882853,-0.278325,0.425232,,,,,,,,,,,,3.80331,-0.97496,1.54717,50,0.22102,-1.34552,-93.93394,13.99564,3.20832,21.60626,-32.9965,IND_HOO_SB,RUT_RUT_SB,UIndianaSoftball,D1,B10,20260313-UIndianaSoftball-1,ac4df8a0-1f28-11f1-aa94-edb2525099d2,88.6398,,,6.66588,,,,,,,be6d77ae-4690-473f-9031-e58083a08c9d,2026-03-13,22:04:56.93,2026-03-13T18:04:56.9351168-04:00,2026-03-13T22:04:56.9351168Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,b7bd6fe8-f1b9-4bd3-9eca-7611a9d66bc1,38.23876,-91.18855,10.80313,1.733,9.80296,-16.49825,1.4021,-0.93786,1.60416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-13,18:05:15.16,1,4,"Hess, Taylor",100000001934,Left,IND_HOO_SB,"Hwang, Riley ",100000002072,Right,RUT_RUT_SB,Undefined,1,Top,0,2,1,Changeup,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,54.75209,6.464018,0.277042,1398.695599,329.484008,5:00,1.75837,-1.48226,4.6664,-53.16621,-8.04804,5.52863,1.51057,-0.84304,50.22671,-7.563789,1.70239,0.483445,,,,,,,,,,,,-5.53548,-9.66941,1.51218,50,0.09964,0.07279,-81.77145,14.33612,-3.62727,14.01625,-38.51019,IND_HOO_SB,RUT_RUT_SB,UIndianaSoftball,D1,B10,20260313-UIndianaSoftball-1,b7332010-1f28-11f1-aa94-edb2525099d2,77.96632,,,4.52539,,,,,,,be6d77ae-4690-473f-9031-e58083a08c9d,2026-03-13,22:05:15.16,2026-03-13T18:05:15.1691776-04:00,2026-03-13T22:05:15.1691776Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,f829514b-030a-45b5-b191-4916b28ba987,38.33192,-79.74638,7.00812,1.76898,8.77215,-19.25509,1.48484,-0.45128,-1.81364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-13,18:05:30.29,1,5,"Hess, Taylor",100000001934,Left,IND_HOO_SB,"Hwang, Riley ",100000002072,Right,RUT_RUT_SB,Undefined,1,Top,0,2,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.78389,7.724455,0.495869,1127.502905,28.47071,7:00,1.69757,-1.36901,5.01628,-34.261,-2.6937,-1.92701,3.80263,-1.21311,59.24789,-1.391811,-0.004823,0.404381,,,,,,,,,,,,2.16914,-4.74725,1.48331,50,-0.17658,-1.03838,-96.27249,17.19469,1.99376,17.82135,-36.53751,IND_HOO_SB,RUT_RUT_SB,UIndianaSoftball,D1,B10,20260313-UIndianaSoftball-1,c02f1520-1f28-11f1-aa94-edb2525099d2,93.21031,,,5.53599,,,,,,,be6d77ae-4690-473f-9031-e58083a08c9d,2026-03-13,22:05:30.29,2026-03-13T18:05:30.2918144-04:00,2026-03-13T22:05:30.2918144Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,5cef14a5-9bfd-4004-8126-861fad0c4c1b,37.97936,-94.02097,8.91068,1.70417,12.57861,-18.26875,1.36804,-0.78649,0.99688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-13,18:05:48.60,1,6,"Hess, Taylor",100000001934,Left,IND_HOO_SB,"Hwang, Riley ",100000002072,Right,RUT_RUT_SB,Undefined,1,Top,0,3,2,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,55.55333,5.812334,2.013627,723.980292,337.144759,5:15,1.78993,-1.42726,4.57148,-47.28479,-3.73457,2.05142,1.61944,0.04499,51.48463,-6.621235,2.540648,0.47497,64.91847,-29.097993,-18.822585,,,,,4.23056,4.23056,-19.078026,0.040182,-1.46524,-5.12181,1.82292,50,0.29556,-2.72342,-82.75447,13.13163,-0.99906,12.76973,-35.66636,IND_HOO_SB,RUT_RUT_SB,UIndianaSoftball,D1,B10,20260313-UIndianaSoftball-1,cb191e90-1f28-11f1-aa94-edb2525099d2,79.35744,1.86639,,4.0687,,,,0.82402,1.86639,-0.30081,be6d77ae-4690-473f-9031-e58083a08c9d,2026-03-13,22:05:48.60,2026-03-13T18:05:48.6071808-04:00,2026-03-13T22:05:48.6071808Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,310ea6a6-f3e3-44a1-98be-2d83853ec9ef,38.42644,-80.94887,6.38487,1.79579,8.08853,-17.83318,1.42785,-2.86468,-0.49953,180,0.82241,78.99598,,,,,,,,1.86734,-46.44897,,,,,,,,-0.30026,-26.92718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2026-03-13,18:06:25.78,2,1,"Hess, Taylor",100000001934,Left,IND_HOO_SB,"Hoekstra, Siera ",100000002079,Left,RUT_RUT_SB,Undefined,1,Top,1,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.91189,5.831961,2.5428,1172.861305,340.693236,5:15,1.79413,-1.03328,5.18201,-35.63707,-4.87244,1.97658,2.54608,0.748,60.11071,-3.678502,3.058699,0.399206,,,,,,,,,,,,-1.28925,-6.38591,1.56241,50,0.28242,-4.06958,-96.68208,14.34325,-1.20506,16.82926,-38.14303,IND_HOO_SB,RUT_RUT_SB,UIndianaSoftball,D1,B10,20260313-UIndianaSoftball-1,e13efaf0-1f28-11f1-aa94-edb2525099d2,94.41846,,,4.80118,,,,,,,be6d77ae-4690-473f-9031-e58083a08c9d,2026-03-13,22:06:25.78,2026-03-13T18:06:25.7815040-04:00,2026-03-13T22:06:25.7815040Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,955067b7-d8ff-4ec8-9e95-0c2d52f0a3f4,37.81534,-94.53733,8.41463,1.80061,9.48224,-19.07152,1.03399,-4.22316,-0.60253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-13,18:06:41.55,2,2,"Hess, Taylor",100000001934,Left,IND_HOO_SB,"Hoekstra, Siera ",100000002079,Left,RUT_RUT_SB,Undefined,1,Top,1,0,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,59.93838,5.859878,0.972759,1149.241447,106.97524,9:30,1.80954,-1.52059,4.9323,-35.23624,2.0478,-2.90272,2.63532,-1.14017,54.39002,-3.59841,0.219124,0.439474,65.8115,58.260384,69.145561,2872.703762,,,,,51.42004,,,3.45311,0.37752,1.74007,50,0.32802,-1.81665,-89.70538,13.16053,2.69975,17.86687,-31.87889,IND_HOO_SB,RUT_RUT_SB,UIndianaSoftball,D1,B10,20260313-UIndianaSoftball-1,eaa104d0-1f28-11f1-aa94-edb2525099d2,85.76722,56.64754,,5.54836,,,,3.45384,2.75317,1.1487,be6d77ae-4690-473f-9031-e58083a08c9d,2026-03-13,22:06:41.55,2026-03-13T18:06:41.5517184-04:00,2026-03-13T22:06:41.5517184Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,b1c9b844-6a8f-4412-ade3-e8f2ae2e1d45,38.06337,-87.29556,8.93344,1.8131,8.86082,-15.93945,1.5196,-1.45252,1.34988,,3.45384,18.07638,-2.56865,0.60783,-0.13387,0.03278,-0.00781,0.00158,-0.00019,2.75317,82.08807,-32.74234,5.21238,-1.24135,0.29473,-0.07091,0.01437,-0.0017,1.1487,47.45055,-4.3323,1.0704,-0.23819,0.05814,-0.01384,0.00279,-0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2026-03-13,18:07:08.08,2,3,"Hess, Taylor",100000001934,Left,IND_HOO_SB,"Hoekstra, Siera ",100000002079,Left,RUT_RUT_SB,Undefined,1,Top,1,0,2,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.87379,4.709631,3.333433,1105.277745,13.112437,6:30,1.72887,-0.93986,4.89522,-36.24734,-4.37504,-1.25386,1.73591,1.09256,59.02224,-4.948011,3.008666,0.406329,,,,,,,,,,,,2.61213,-5.60418,1.63887,50,0.50755,-5.78357,-97.09657,12.21325,2.39456,20.8248,-37.31142,IND_HOO_SB,RUT_RUT_SB,UIndianaSoftball,D1,B10,20260313-UIndianaSoftball-1,fa7a0690-1f28-11f1-aa94-edb2525099d2,92.76328,,,5.85156,,,,,,,be6d77ae-4690-473f-9031-e58083a08c9d,2026-03-13,22:07:08.08,2026-03-13T18:07:08.0882176-04:00,2026-03-13T22:07:08.0882176Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,07158c09-16e1-49f3-99c0-eb956573150d,38.09956,-94.50976,10.4124,1.73679,7.57852,-18.65571,0.93893,-5.48612,1.19728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-13,18:07:23.84,2,4,"Hess, Taylor",100000001934,Left,IND_HOO_SB,"Hoekstra, Siera ",100000002079,Left,RUT_RUT_SB,Undefined,1,Top,1,1,2,Changeup,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,57.91651,4.845546,2.682244,772.933051,316.345318,4:30,1.83209,-0.985,5.03064,-47.25652,-7.14166,8.13193,0.99613,1.4051,52.47432,-7.794031,4.797968,0.455852,,,,,,,,,,,,-7.18693,-8.55898,1.50862,50,0.49864,-3.33756,-87.05194,12.26943,-5.20109,18.67355,-38.36808,IND_HOO_SB,RUT_RUT_SB,UIndianaSoftball,D1,B10,20260313-UIndianaSoftball-1,03e55f40-1f29-11f1-aa94-edb2525099d2,82.68567,,,5.4422,,,,,,,be6d77ae-4690-473f-9031-e58083a08c9d,2026-03-13,22:07:23.84,2026-03-13T18:07:23.8495744-04:00,2026-03-13T22:07:23.8495744Z,,V3 - Softball,,,,"Parker, Avery",100000001913,Right,IND_HOO_SB,d20ef314-51f2-4e08-9647-393447540317,37.96513,-84.43087,9.33678,1.84285,6.884,-19.18404,0.98892,-4.0676,-2.60054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
