PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-14,14:02:07.08,1,1,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,55.71993,1.233327,1.907182,1555.419825,159.430962,11:15,1.83136,0.11129,5.33534,-27.4108,13.89926,-4.78307,0.32794,0.91972,51.66336,-6.245788,0.648704,0.462593,,,,,,,,,,,,5.79067,15.27619,0.33049,50,1.32777,-3.2649,-83.51484,4.98616,3.99844,13.58846,-21.62591,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260314-BittingerStadium-1,ea2e24e0-1fcf-11f1-a825-3f3a89c3a4ad,81.48075,,,4.05658,,,,,,,87f536d6-4869-481f-a64c-9dfa9872e1df,2026-03-14,18:02:07.08,2026-03-14T14:02:07.0890000-04:00,2026-03-14T18:02:07.0890000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,9569e540-7ab3-47b7-9a92-c070185a6fdf,37.65826,-81.482,6.79423,1.8317,1.75093,-10.81296,-0.1132,-2.66673,1.99922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-14,14:02:23.65,1,2,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,1,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.57948,5.396749,-0.747731,1452.116114,148.971015,11:00,1.75257,0.23509,5.88049,-24.31245,5.47985,-2.86473,3.09969,-0.4696,59.81606,-1.284946,-1.511752,0.392847,,,,,,,,,,,,2.91166,4.93016,-0.38253,50,0.30588,0.89841,-96.37486,12.57641,2.70681,16.59287,-27.59072,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260314-BittingerStadium-1,f4002ea0-1fcf-11f1-a825-3f3a89c3a4ad,95.94687,,,4.76342,,,,,,,87f536d6-4869-481f-a64c-9dfa9872e1df,2026-03-14,18:02:23.65,2026-03-14T14:02:23.6590000-04:00,2026-03-14T18:02:23.6590000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,84b0bc3e-537f-4f9a-aa49-f432139f1ccf,37.11422,-94.13017,8.29644,1.75475,8.84394,-13.79536,-0.23623,1.26458,1.35341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-14,14:02:41.06,1,3,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,2,0,Changeup,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,56.01148,4.901141,1.371311,1624.725307,157.076044,11:15,1.8922,0.3376,5.74941,-27.50242,12.7839,-4.94067,2.67399,0.78369,51.41667,-2.713249,0.05867,0.456825,,,,,,,,,,,,5.9487,12.97182,0.00396,50,0.53768,-2.5445,-83.86138,10.57931,4.12013,14.23789,-23.18961,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260314-BittingerStadium-1,fe730c40-1fcf-11f1-a825-3f3a89c3a4ad,82.50951,,,4.59482,,,,,,,87f536d6-4869-481f-a64c-9dfa9872e1df,2026-03-14,18:02:41.06,2026-03-14T14:02:41.0640000-04:00,2026-03-14T18:02:41.0640000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,ac3c1e9f-b2cb-4620-aca1-58f2594ac568,37.2453,-81.66719,7.11894,1.89267,7.00559,-11.59481,-0.33925,-1.90955,2.06007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-14,14:03:10.29,1,4,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,2,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.77303,6.65846,-1.341593,1567.502592,161.979485,11:30,1.73959,0.10755,6.2909,-20.77517,8.53516,-2.52937,4.12943,-0.92976,59.4086,0.849456,-2.023455,0.389656,,,,,,,,,,,,2.34677,7.86658,-0.40001,50,-0.0321,1.93894,-96.67124,14.4534,2.16993,18.28562,-24.90019,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260314-BittingerStadium-1,0fd14e70-1fd0-11f1-a825-3f3a89c3a4ad,96.73249,,,5.36443,,,,,,,87f536d6-4869-481f-a64c-9dfa9872e1df,2026-03-14,18:03:10.29,2026-03-14T14:03:10.2950000-04:00,2026-03-14T18:03:10.2950000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,11e991f3-1214-49c0-97ec-376f6e363a94,36.7019,-94.12226,9.14281,1.74075,10.98237,-12.4501,-0.10865,2.24142,1.08497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-14,14:03:28.73,1,5,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,3,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,54.92951,3.517842,-0.679872,1584.228897,167.652107,11:30,1.85781,0.13555,5.91077,-26.43159,15.41674,-3.08862,1.84831,-0.54515,50.01609,-3.897924,-1.504848,0.465597,,,,,,,,,,,,3.07433,16.37749,-0.26878,50,0.80291,0.66827,-82.56999,8.33625,2.03405,15.25219,-21.33837,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260314-BittingerStadium-1,1ae4b1d0-1fd0-11f1-a825-3f3a89c3a4ad,80.95499,,,4.91342,,,,,,,87f536d6-4869-481f-a64c-9dfa9872e1df,2026-03-14,18:03:28.73,2026-03-14T14:03:28.7310000-04:00,2026-03-14T18:03:28.7310000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,62e4564d-aad8-4303-9d0a-eb30a697d576,37.07914,-80.14773,7.6261,1.85772,4.94743,-10.66919,-0.137,0.9913,1.01702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-14,14:03:49.36,1,6,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Parisien, Hadley",100000004796,Left,OHI_STA_SB,Undefined,1,Top,0,3,2,Riseball,,BallCalled,Walk,Undefined,Undefined,0,0,,64.71524,5.696443,1.170676,1561.786455,179.254738,12:00,1.72975,0.11846,5.97237,-19.09202,10.62686,-0.12846,3.69171,0.83547,59.56875,0.383137,1.136317,0.392362,,,,,,,,,,,,0.53236,10.40571,0.14755,50,0.24072,-1.99103,-96.64301,12.48127,0.49385,17.75317,-22.52135,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260314-BittingerStadium-1,2718ee80-1fd0-11f1-a825-3f3a89c3a4ad,96.06535,,,5.14649,,,,,,,87f536d6-4869-481f-a64c-9dfa9872e1df,2026-03-14,18:03:49.36,2026-03-14T14:03:49.3620000-04:00,2026-03-14T18:03:49.3620000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,ceedf9b1-456a-4c10-af47-ee7f9b57156c,37.02102,-94.22863,8.87658,1.72987,9.41844,-11.26068,-0.11865,-1.92386,0.24693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-14,14:04:15.56,2,1,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.17466,3.353014,-2.161431,1389.207535,135.467719,10:30,1.78689,0.19583,6.17358,-22.54525,5.31276,-4.54508,1.98418,-1.51936,61.42002,-2.902666,-3.383254,0.37988,,,,,,,,,,,,4.38839,5.40327,-0.657,50,0.78838,3.12535,-99.12864,9.24034,4.29509,18.26691,-26.88565,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260314-BittingerStadium-1,36b842a0-1fd0-11f1-a825-3f3a89c3a4ad,99.22195,,,4.75464,,,,,,,87f536d6-4869-481f-a64c-9dfa9872e1df,2026-03-14,18:04:15.56,2026-03-14T14:04:15.5670000-04:00,2026-03-14T18:04:15.5670000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,7830eaf3-be87-46fb-acd6-b36b0a26293f,36.8217,-96.66971,9.13346,1.78865,5.62124,-13.44283,-0.19738,3.70351,2.14754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-14,14:04:34.12,2,2,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,1,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.38203,3.211351,-1.719946,1372.633598,134.4821,10:30,1.78213,0.23558,5.95012,-23.59194,5.34126,-4.68547,1.81633,-1.22487,60.58819,-3.298331,-2.972461,0.387141,,,,,,,,,,,,4.61335,5.40457,-0.58939,50,0.83055,2.33589,-97.9792,8.93025,4.40094,18.17382,-27.0183,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260314-BittingerStadium-1,41c45300-1fd0-11f1-a825-3f3a89c3a4ad,97.36091,,,4.79384,,,,,,,87f536d6-4869-481f-a64c-9dfa9872e1df,2026-03-14,18:04:34.12,2026-03-14T14:04:34.1220000-04:00,2026-03-14T18:04:34.1220000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,83bab25d-c6aa-4890-a678-f166e04af5e6,37.04503,-95.54601,9.08691,1.78403,5.31293,-13.50915,-0.2372,2.9251,2.20047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-14,14:04:54.71,2,3,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,1,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.88553,4.861648,-1.673886,1558.141227,163.913664,11:30,1.77555,0.2329,6.02281,-20.30603,9.32965,-2.45197,3.10931,-1.01062,59.38585,-0.807732,-2.330299,0.391813,,,,,,,,,,,,2.08453,9.13272,-0.59594,50,0.46456,2.53415,-97.23085,11.26425,1.93487,19.56096,-23.69708,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260314-BittingerStadium-1,4e090a70-1fd0-11f1-a825-3f3a89c3a4ad,96.20008,,,5.49968,,,,,,,87f536d6-4869-481f-a64c-9dfa9872e1df,2026-03-14,18:04:54.71,2026-03-14T14:04:54.7130000-04:00,2026-03-14T18:04:54.7130000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,4c3be934-7eb9-4217-b4b6-240de983063a,36.97044,-94.57324,9.78048,1.77625,8.04469,-11.84854,-0.23378,2.79702,0.96743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-14,14:05:12.53,2,4,"Gossett, Julia",100000001228,Right,PUR_BOI_SB,"Wilhelm, Abbie",100000002393,Right,OHI_STA_SB,Undefined,1,Top,0,2,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.57198,3.314262,-2.877092,1345.62911,162.06536,11:30,1.78898,0.16625,5.79322,-22.81497,7.13941,-2.06551,1.96293,-1.80458,59.85328,-2.960575,-3.425945,0.393914,,,,,,,,,,,,1.32784,7.32626,-0.79427,50,0.83344,4.59616,-96.59607,8.83604,1.23377,17.37673,-25.36681,PUR_BOI_SB,OHI_STA_SB,BittingerStadium,D1,B10,20260314-BittingerStadium-1,58b82dc0-1fd0-11f1-a825-3f3a89c3a4ad,95.68692,,,4.7187,,,,,,,87f536d6-4869-481f-a64c-9dfa9872e1df,2026-03-14,18:05:12.53,2026-03-14T14:05:12.5370000-04:00,2026-03-14T18:05:12.5370000Z,,V3 - Softball,,,,"Reefe, Delaney",100000001223,Right,PUR_BOI_SB,a23a1c04-dc92-466d-b54d-475af8eef206,37.20157,-94.26564,8.68836,1.79033,5.43405,-12.68341,-0.16677,4.76162,0.61688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
