PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-14,16:03:35.67,1,1,"Schaffel, Ava",100000006646,Right,SAN_DIE2_SB,"Stucky, Lauren",100000000990,Right,COL_STA_SB,Undefined,1,Top,0,0,0,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,62.39743,4.186576,3.315843,1194.214862,141.705185,10:45,1.57558,-0.02934,6.32271,-25.2082,6.36563,-4.29796,2.0603,1.65539,57.05757,-2.870309,2.157321,0.404422,,,,,,,,,,,,6.09583,6.21989,0.83505,50,0.34169,-5.97027,-93.6353,10.49575,5.22607,18.65788,-26.84161,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260314-SDSUSoftballStadium-1,086be5d0-1ffa-11f1-8708-41cad0bc9f32,93.20067,,,5.33987,,,,,,,f28c1a61-e779-4e7b-9731-640fa54c3e97,2026-03-14,23:03:35.67,2026-03-14T16:03:35.6750000-07:00,2026-03-14T23:03:35.6750000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,61d4affa-c205-4647-accd-33135e198281,36.67163,-90.9407,9.32894,1.57758,6.61924,-13.42081,0.02732,-5.21552,2.61303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-14,16:03:52.93,1,2,"Schaffel, Ava",100000006646,Right,SAN_DIE2_SB,"Stucky, Lauren",100000000990,Right,COL_STA_SB,Undefined,1,Top,0,1,0,Curveball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,62.56038,5.34997,1.410162,1104.938288,108.232751,9:30,1.55304,-0.22867,6.14933,-28.80966,2.68484,-5.59429,2.47154,0.17741,57.55404,-2.621683,-0.092878,0.403914,,,,,,,,,,,,6.73323,1.75587,0.59547,50,0.04254,-3.00859,-93.63863,12.81683,5.83888,17.21176,-30.65142,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260314-SDSUSoftballStadium-1,12bd7fd0-1ffa-11f1-8708-41cad0bc9f32,93.318,,,5.00634,,,,,,,f28c1a61-e779-4e7b-9731-640fa54c3e97,2026-03-14,23:03:52.93,2026-03-14T16:03:52.9330000-07:00,2026-03-14T23:03:52.9330000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,0f509f16-b3db-4f97-868e-ab28b20187dd,36.84619,-91.18877,8.60588,1.55635,8.45402,-15.32571,0.22639,-2.1775,2.91944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-14,16:04:13.97,1,3,"Schaffel, Ava",100000006646,Right,SAN_DIE2_SB,"Stucky, Lauren",100000000990,Right,COL_STA_SB,Undefined,1,Top,0,1,1,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.15041,5.84748,1.021467,1165.390796,132.134364,10:30,1.55317,-0.32112,6.39673,-24.4349,6.66437,-6.26276,3.12109,-0.21564,56.96602,-1.042386,-0.673023,0.401372,,,,,,,,,,,,7.53158,5.61335,0.60976,50,-0.07019,-2.4981,-95.00177,13.29128,6.53409,21.40944,-27.30413,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260314-SDSUSoftballStadium-1,1f3f8e60-1ffa-11f1-8708-41cad0bc9f32,93.90911,,,6.18439,,,,,,,f28c1a61-e779-4e7b-9731-640fa54c3e97,2026-03-14,23:04:13.97,2026-03-14T16:04:13.9760000-07:00,2026-03-14T23:04:13.9760000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,cd8ce92c-5999-48b8-b36a-24d3016c5fb8,36.59763,-91.93183,10.70472,1.55496,9.37609,-13.65206,0.31872,-1.56116,3.26704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-14,16:04:41.32,1,4,"Schaffel, Ava",100000006646,Right,SAN_DIE2_SB,"Stucky, Lauren",100000000990,Right,COL_STA_SB,Undefined,1,Top,0,1,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.09394,9.208047,2.741062,1162.556879,114.654188,9:45,1.59891,-0.24722,6.58812,-25.46655,5.13075,-8.88725,5.15623,0.68764,56.9479,2.049994,0.332224,0.398119,,,,,,,,,,,,11.08902,2.36193,0.95877,50,-0.86837,-5.66263,-95.70622,19.27272,9.68453,22.77432,-30.11127,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260314-SDSUSoftballStadium-1,2f8b9d40-1ffa-11f1-8708-41cad0bc9f32,94.67629,,,7.14604,,,,,,,f28c1a61-e779-4e7b-9731-640fa54c3e97,2026-03-14,23:04:41.32,2026-03-14T16:04:41.3250000-07:00,2026-03-14T23:04:41.3250000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,28f1e87a-d815-4e46-9179-23d94c908b46,36.40274,-92.41399,11.38716,1.60306,14.91986,-15.05563,0.24138,-4.26264,4.84226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-14,16:05:07.24,1,5,"Schaffel, Ava",100000006646,Right,SAN_DIE2_SB,"Stucky, Lauren",100000000990,Right,COL_STA_SB,Undefined,1,Top,0,2,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.13275,9.018396,1.218904,1283.769065,113.604497,9:45,1.56847,-0.30138,6.48918,-26.17391,4.39792,-7.7237,4.95849,-0.19832,57.19081,1.682558,-0.871322,0.397953,,,,,,,,,,,,9.0963,1.6739,0.64207,50,-0.83617,-2.98258,-95.83217,19.01549,7.99191,22.40221,-30.70338,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260314-SDSUSoftballStadium-1,3f0c45d0-1ffa-11f1-8708-41cad0bc9f32,94.71572,,,6.94194,,,,,,,f28c1a61-e779-4e7b-9731-640fa54c3e97,2026-03-14,23:05:07.24,2026-03-14T16:05:07.2450000-07:00,2026-03-14T23:05:07.2450000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,9ba9db60-a09d-40cb-9f24-4006cf24ec16,36.50244,-92.62319,11.20111,1.57268,14.61741,-15.35169,0.29683,-1.83779,3.99595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-14,16:05:29.42,1,6,"Schaffel, Ava",100000006646,Right,SAN_DIE2_SB,"Stucky, Lauren",100000000990,Right,COL_STA_SB,Undefined,1,Top,0,3,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.71794,6.82842,1.292469,1187.398799,127.453514,10:15,1.54134,-0.25374,6.31764,-23.73726,7.24323,-8.09363,3.78723,-0.13256,57.04158,0.138825,-0.891064,0.400604,53.22963,22.186398,-176.635988,1795.178515,,,,95.22993,25.54984,179.936493,1.537555,9.70213,5.6289,0.61625,50,-0.29362,-3.18497,-95.78644,14.90927,8.48867,22.79494,-27.24916,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260314-SDSUSoftballStadium-1,4c3d0af0-1ffa-11f1-8708-41cad0bc9f32,94.08892,13.45,,6.67636,,,,1.3605,3.77334,0.15948,f28c1a61-e779-4e7b-9731-640fa54c3e97,2026-03-14,23:05:29.42,2026-03-14T16:05:29.4200000-07:00,2026-03-14T23:05:29.4200000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,798284bc-84ed-454b-bc60-25502ffb74cc,36.67644,-92.56145,11.39747,1.54301,11.0541,-13.62458,0.2506,-1.98401,4.24434,32.999108,1.36452,-72.16722,6.07021,,,,,,,4.05929,26.87753,-19.30304,,,,,,,0.05898,-3.30955,2.20719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-03-14,16:05:54.55,1,7,"Schaffel, Ava",100000006646,Right,SAN_DIE2_SB,"Stucky, Lauren",100000000990,Right,COL_STA_SB,Undefined,1,Top,0,3,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.43521,6.549677,-0.036279,1131.483262,122.886399,10:00,1.49844,-0.13755,6.14174,-24.77915,7.05595,-9.11276,3.50271,-0.91939,56.3216,-0.428905,-2.482833,0.406092,,,,,,,,,,,,10.078,5.23992,0.19273,50,-0.24679,-1.02778,-95.6081,14.41554,8.66796,24.40472,-27.66725,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260314-SDSUSoftballStadium-1,5b31c730-1ffa-11f1-8708-41cad0bc9f32,92.81751,,,7.11362,,,,,,,f28c1a61-e779-4e7b-9731-640fa54c3e97,2026-03-14,23:05:54.55,2026-03-14T16:05:54.5550000-07:00,2026-03-14T23:05:54.5550000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,30f60363-2653-484b-b345-ed16f3655c28,36.85116,-92.19068,12.20236,1.50057,10.54126,-13.83362,0.13379,0.186,4.33398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-14,16:06:21.84,1,8,"Schaffel, Ava",100000006646,Right,SAN_DIE2_SB,"Stucky, Lauren",100000000990,Right,COL_STA_SB,Undefined,1,Top,0,3,2,Screwball,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,62.83839,3.976935,3.022692,1241.925639,146.506984,11:00,1.48503,-0.28814,6.14449,-22.95171,8.79693,-5.13977,2.03962,1.1549,56.86659,-2.472546,1.643247,0.40554,,,,,,,,,,,,6.96374,8.77898,1.01892,50,0.3426,-5.61347,-94.53342,9.83175,5.99898,20.8414,-24.61132,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260314-SDSUSoftballStadium-1,6b7ff8f0-1ffa-11f1-8708-41cad0bc9f32,92.94378,,,5.9718,,,,,,,f28c1a61-e779-4e7b-9731-640fa54c3e97,2026-03-14,23:06:21.84,2026-03-14T16:06:21.8460000-07:00,2026-03-14T23:06:21.8460000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,f5fa68e9-1bf5-4c0b-9ee5-c10b8567a7db,36.84834,-91.58804,10.4207,1.48629,6.3536,-12.30566,0.28551,-4.76567,2.99949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-14,16:06:52.80,2,1,"Schaffel, Ava",100000006646,Right,SAN_DIE2_SB,"Wilson, Jailey",100000000984,Right,COL_STA_SB,Undefined,1,Top,1,0,0,Curveball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,63.67438,6.0071,0.238642,1231.110356,104.221596,9:30,1.55878,-0.42227,6.27686,-28.09517,2.32811,-5.76327,2.93283,-0.75549,58.15309,-1.806048,-1.315025,0.396985,,,,,,,,,,,,6.57244,0.93839,0.52303,50,-0.11513,-1.14299,-95.43471,14.09222,5.86206,19.18536,-31.33709,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260314-SDSUSoftballStadium-1,7dea7b00-1ffa-11f1-8708-41cad0bc9f32,94.94669,,,5.52129,,,,,,,f28c1a61-e779-4e7b-9731-640fa54c3e97,2026-03-14,23:06:52.80,2026-03-14T16:06:52.8060000-07:00,2026-03-14T23:06:52.8060000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,9496b563-bf22-4089-aa42-64d8ad6a0f6d,36.71859,-92.7263,9.59268,1.56201,9.66834,-15.66855,0.42009,-0.31544,2.93103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-14,16:07:11.11,2,2,"Schaffel, Ava",100000006646,Right,SAN_DIE2_SB,"Wilson, Jailey",100000000984,Right,COL_STA_SB,Undefined,1,Top,1,0,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.37738,6.80946,0.848662,1255.359805,112.369907,9:45,1.56766,-0.29163,6.37867,-27.11726,3.76567,-6.83016,3.51215,-0.33932,57.30482,-0.778209,-0.997009,0.399973,,,,,,,,,,,,7.99745,2.11169,0.54156,50,-0.30076,-2.26894,-95.02934,15.25375,6.99246,20.49948,-30.32773,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260314-SDSUSoftballStadium-1,88d74390-1ffa-11f1-8708-41cad0bc9f32,94.23747,,,6.07257,,,,,,,f28c1a61-e779-4e7b-9731-640fa54c3e97,2026-03-14,23:07:11.11,2026-03-14T16:07:11.1180000-07:00,2026-03-14T23:07:11.1180000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,73ffa224-ccd7-4147-9dbc-161b92448629,36.61531,-92.09678,10.24974,1.57104,10.9152,-15.16386,0.28853,-1.26863,3.49623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
