PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-14,15:50:13.69,1,1,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Simon, Devin",1000000000661,Right,UNI_IOW_SB,Undefined,1,Top,0,0,0,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,52.9293,5.396646,-0.79174,1318.110833,196.015324,12:30,1.83271,1.13979,5.57599,-35.22797,10.41654,2.62646,2.29894,0.86106,48.60043,-4.26098,-0.09767,0.486257,66.86577,1.592148,-56.328156,3385.107929,,,,39.36135,39.36135,-55.470728,0.401197,-3.16941,10.10808,-1.33234,50,0.33048,1.35875,-79.1922,11.4304,-1.95542,12.79519,-25.93771,ILL_FIG_SB,UNI_IOW_SB,EichelbergerField,D1,B10,20260314-EichelbergerField-3,6688e4f0-1fe7-11f1-b6dd-6dd61fa0940e,77.51547,2.68122,,4.32887,,,,2.75282,2.60468,-0.93765,fab6521f-2aa3-43a9-9ed4-f086ecacbf64,2026-03-14,20:50:13.69,2026-03-14T15:50:13.6900000-05:00,2026-03-14T20:50:13.6900000Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,3656857e-d2fd-4d65-bfb7-12a4266586e1,37.41907,-77.1327,6.3976,1.83431,7.25551,-12.96886,-1.13897,1.04401,-0.97771,,2.75958,54.12638,-13.48328,,,,,,,2.6147,2.39006,-22.26107,,,,,,,-0.93684,-81.61239,7.77494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-03-14,15:50:37.18,1,2,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Simon, Devin",1000000000661,Right,UNI_IOW_SB,Undefined,1,Top,0,0,1,Offspeed,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,59.2763,3.985733,0.68024,1456.462797,179.869337,12:00,1.63186,0.70103,5.86464,-23.80509,12.17339,-0.02528,2.13704,1.12301,53.97604,-2.667874,0.673501,0.431711,45.58337,42.424203,159.38073,1164.054659,,,,97.80478,27.99846,167.4385,2.389466,0.30047,12.48808,-0.54811,50,0.50578,-1.06106,-89.12459,9.33793,0.23175,17.70648,-22.54246,ILL_FIG_SB,UNI_IOW_SB,EichelbergerField,D1,B10,20260314-EichelbergerField-3,74900ce0-1fe7-11f1-b6dd-6dd61fa0940e,87.30949,26.63978,,5.30025,,,,1.86084,2.13307,-1.12849,fab6521f-2aa3-43a9-9ed4-f086ecacbf64,2026-03-14,20:50:37.18,2026-03-14T15:50:37.1820000-05:00,2026-03-14T20:50:37.1820000Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,77eaa459-142f-47de-b865-87adf7841fba,37.12928,-86.52978,8.85324,1.63216,6.03442,-11.27123,-0.70111,-1.0271,0.11588,324.454759,1.8607,-46.1812,0.63468,1.16752,-0.64706,0.3994,-0.11997,0.01259,0.00017,2.13315,45.09578,-22.48016,1.74636,0.07419,-0.43393,0.27114,-0.07217,0.0072,-1.12837,17.37141,-4.19119,0.3424,0.35448,-0.43739,0.21254,-0.04799,0.00419,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-03-14,15:51:01.40,1,3,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Simon, Devin",1000000000661,Right,UNI_IOW_SB,Undefined,1,Top,0,0,2,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.99044,4.535431,-3.579322,1428.953016,153.870065,11:15,1.86938,0.96649,5.81262,-25.91545,9.55119,-4.15355,2.55278,-1.61719,54.56749,-2.65403,-4.680618,0.428629,,,,,,,,,,,,3.05646,9.35252,-1.74104,50,0.61101,5.17026,-89.92654,10.50558,2.39871,18.08583,-24.83418,ILL_FIG_SB,UNI_IOW_SB,EichelbergerField,D1,B10,20260314-EichelbergerField-3,8307a9e0-1fe7-11f1-b6dd-6dd61fa0940e,87.93723,,,5.42295,,,,,,,fab6521f-2aa3-43a9-9ed4-f086ecacbf64,2026-03-14,20:51:01.40,2026-03-14T15:51:01.4030000-05:00,2026-03-14T20:51:01.4030000Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,b652a5a4-a92c-492a-9e7f-ed962b1ae0bf,37.17935,-87.31001,9.04292,1.87099,6.91276,-12.41709,-0.96795,5.51729,1.19935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-14,15:51:18.97,1,4,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Simon, Devin",1000000000661,Right,UNI_IOW_SB,Undefined,1,Top,0,1,2,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,59.87321,5.956695,0.700306,1438.15825,158.70113,11:15,1.67408,0.71781,5.66547,-25.39643,10.12323,-3.57244,3.30568,0.85913,54.82914,-1.040203,-0.24649,0.428949,,,,,,,,,,,,4.17032,9.5289,-0.53748,50,0.11779,-1.50157,-89.4891,12.62371,3.29094,16.14637,-24.65443,ILL_FIG_SB,UNI_IOW_SB,EichelbergerField,D1,B10,20260314-EichelbergerField-3,8d724a20-1fe7-11f1-b6dd-6dd61fa0940e,87.87157,,,5.04407,,,,,,,fab6521f-2aa3-43a9-9ed4-f086ecacbf64,2026-03-14,20:51:18.97,2026-03-14T15:51:18.9780000-05:00,2026-03-14T20:51:18.9780000Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,70afdde6-b0e2-4bc6-ada6-f6c0a806be22,37.32948,-87.17301,8.07319,1.67493,9.08719,-12.32721,-0.71901,-1.0295,1.64547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-14,15:51:43.86,1,5,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Simon, Devin",1000000000661,Right,UNI_IOW_SB,Undefined,1,Top,0,1,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.56919,6.609799,0.344102,1420.221576,183.680193,12:00,1.64408,0.7452,5.60791,-23.99234,10.78985,0.63673,3.81354,1.01432,55.58625,0.01825,0.512554,0.424473,,,,,,,,,,,,-0.5798,10.0726,-0.67402,50,-0.03915,-0.4691,-90.31934,13.60732,-0.46858,15.80568,-24.03352,ILL_FIG_SB,UNI_IOW_SB,EichelbergerField,D1,B10,20260314-EichelbergerField-3,9c4c0450-1fe7-11f1-b6dd-6dd61fa0940e,88.79823,,,4.98295,,,,,,,fab6521f-2aa3-43a9-9ed4-f086ecacbf64,2026-03-14,20:51:43.86,2026-03-14T15:51:43.8660000-05:00,2026-03-14T20:51:43.8660000Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,2db13282-a0f3-4361-8bd4-1a7297217497,37.38712,-88.08447,7.90284,1.64463,10.20905,-12.01676,-0.74503,-0.53535,-0.23429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-14,15:52:06.48,1,6,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Simon, Devin",1000000000661,Right,UNI_IOW_SB,Undefined,1,Top,0,1,2,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,51.37485,7.427243,0.817791,1261.823054,198.143224,12:30,1.64861,0.76392,5.26223,-38.30888,11.34489,3.28067,3.19155,1.55576,46.98496,-2.967431,1.675301,0.507163,,,,,,,,,,,,-3.27189,10.19107,-0.61123,50,-0.27192,-0.78245,-76.49491,13.97036,-1.88628,11.81175,-26.2988,ILL_FIG_SB,UNI_IOW_SB,EichelbergerField,D1,B10,20260314-EichelbergerField-3,a9c78e10-1fe7-11f1-b6dd-6dd61fa0940e,74.32018,,,4.38989,,,,,,,fab6521f-2aa3-43a9-9ed4-f086ecacbf64,2026-03-14,20:52:06.48,2026-03-14T15:52:06.4810000-05:00,2026-03-14T20:52:06.4810000Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,bcd77240-6bdb-4a0c-891d-e15524cf86cb,37.73332,-74.57674,5.90587,1.65002,9.69955,-13.1494,-0.76317,-1.08878,-0.94314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-14,15:52:31.25,1,7,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Simon, Devin",1000000000661,Right,UNI_IOW_SB,Undefined,1,Top,0,1,2,Offspeed,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,59.39731,6.394814,-0.441548,1498.380969,176.690814,12:00,1.62651,0.76557,5.6912,-25.45745,11.3754,-0.58724,3.52784,0.44003,53.28673,-0.694433,-0.597245,0.436807,75.17878,31.145359,-36.336429,,82.14603,46.90695,-73.15753,227.35749,120.61863,-49.513628,3.504985,0.4439,10.22567,-0.8595,50,-0.02822,0.62352,-89.14556,13.20598,0.33771,19.31363,-24.39488,ILL_FIG_SB,UNI_IOW_SB,EichelbergerField,D1,B10,20260314-EichelbergerField-3,b88eaaa0-1fe7-11f1-b6dd-6dd61fa0940e,86.2909,47.86395,,6.11058,,,,2.10943,3.60066,-0.43014,fab6521f-2aa3-43a9-9ed4-f086ecacbf64,2026-03-14,20:52:31.25,2026-03-14T15:52:31.2540000-05:00,2026-03-14T20:52:31.2540000Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,060998e8-cbdd-4287-86b9-f88c32a0848f,37.30185,-86.35066,9.65681,1.6274,9.67576,-12.19744,-0.76574,0.6724,0.16885,,2.10936,76.02297,-17.56539,3.90507,-0.93982,0.26094,-0.06104,0.0084,-0.00048,3.60115,57.00781,-21.07424,2.04816,-0.05275,-0.19884,0.07914,-0.01315,0.00084,-0.43023,-55.91282,3.73372,-0.841,0.12464,-0.00808,-0.00147,0.00044,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-03-14,15:52:58.76,1,8,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Simon, Devin",1000000000661,Right,UNI_IOW_SB,Undefined,1,Top,0,1,2,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.81194,4.478874,-4.169657,1478.343926,171.974935,11:45,1.83179,0.87198,5.96757,-22.84383,13.13229,-1.67201,2.72535,-1.86386,53.52061,-1.973346,-4.614512,0.431697,,,,,,,,,,,,-0.14878,13.07394,-1.80712,50,0.5887,6.37912,-89.93814,10.09516,-0.11426,20.58092,-22.1327,ILL_FIG_SB,UNI_IOW_SB,EichelbergerField,D1,B10,20260314-EichelbergerField-3,c8f9da40-1fe7-11f1-b6dd-6dd61fa0940e,87.31234,,,6.29133,,,,,,,fab6521f-2aa3-43a9-9ed4-f086ecacbf64,2026-03-14,20:52:58.76,2026-03-14T15:52:58.7660000-05:00,2026-03-14T20:52:58.7660000Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,3cdc1d86-39a7-43d7-8d64-efb3f08aa260,37.02161,-86.91752,10.29046,1.83198,6.84678,-11.06635,-0.8721,6.36235,-0.05713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-14,15:53:15.21,1,9,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Simon, Devin",1000000000661,Right,UNI_IOW_SB,Undefined,1,Top,0,2,2,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,62.10284,6.155941,0.50053,1333.571238,201.665039,12:45,1.67121,0.69354,5.63609,-23.07757,10.67016,3.79744,3.62539,1.32404,55.77112,-0.26323,1.506152,0.418113,60.99332,58.182974,-72.142926,5616.618429,,,,,55.82652,,,-3.91453,9.48504,-0.60828,50,0.09964,-0.38526,-93.24443,13.0877,-3.25966,21.07327,-24.27581,ILL_FIG_SB,UNI_IOW_SB,EichelbergerField,D1,B10,20260314-EichelbergerField-3,d2bdda40-1fe7-11f1-b6dd-6dd61fa0940e,90.14891,68.25766,,6.33171,,,,2.77256,3.62833,-1.28883,fab6521f-2aa3-43a9-9ed4-f086ecacbf64,2026-03-14,20:53:15.21,2026-03-14T15:53:15.2140000-05:00,2026-03-14T20:53:15.2140000Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,48f5b6e5-ac41-47bd-ad96-bcadeec40ebf,37.35756,-90.34206,10.53663,1.67193,9.74426,-12.1379,-0.69225,-0.8342,-1.62983,,2.77256,14.46276,-6.88723,2.04104,-0.40714,-0.21004,0.45466,-0.29613,0.06835,3.62833,76.01449,-22.39661,2.04421,-0.37554,0.07401,-0.0483,0.02919,-0.00683,-1.28883,-44.89021,3.89137,-0.667,0.08338,-0.01034,0.00992,-0.00724,0.00192,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
10,2026-03-14,15:53:49.23,1,10,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Simon, Devin",1000000000661,Right,UNI_IOW_SB,Undefined,1,Top,0,2,2,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.68908,2.794942,-2.628642,1504.955537,166.327702,11:30,1.84151,0.95256,6.55646,-21.06836,12.8643,-2.89083,1.79762,-0.89645,54.75175,-3.203952,-3.413865,0.419257,,,,,,,,,,,,2.29882,14.31603,-1.55026,50,0.94027,3.75609,-89.81899,7.48019,1.81055,17.35339,-20.89871,ILL_FIG_SB,UNI_IOW_SB,EichelbergerField,D1,B10,20260314-EichelbergerField-3,e7111980-1fe7-11f1-b6dd-6dd61fa0940e,89.90293,,,4.93732,,,,,,,fab6521f-2aa3-43a9-9ed4-f086ecacbf64,2026-03-14,20:53:49.23,2026-03-14T15:53:49.2300000-05:00,2026-03-14T20:53:49.2300000Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,2277c28f-0936-4763-ab8f-eead73792df0,36.43751,-87.15928,8.6767,1.84127,4.2771,-10.44935,-0.95331,4.03359,0.90528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
