PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-14,12:02:26.24,1,1,"Nutter, Hailey",100000002944,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.59789,3.139442,2.444899,1540.185438,137.031537,10:30,1.87729,0.30167,5.82696,-23.57178,3.43898,-2.62634,1.87595,1.60952,63.16409,-3.306648,1.745352,0.374059,,,,,,,,,,,,3.62181,3.34555,0.26617,50,0.95319,-4.66777,-100.9886,9.05533,3.72324,17.14733,-28.73481,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260314-JohnCropp-1,32398100-1fbf-11f1-bffe-957fb0f7b9d6,100.76611,,,4.4338,,,,,,,3d802893-0432-4bad-904e-24aac47a33c9,2026-03-14,16:02:26.24,2026-03-14T12:02:26.2400000-04:00,2026-03-14T16:02:26.2400000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,7d106a05-3b42-4628-a8b6-a67a958e7930,37.16947,-98.78602,8.57366,1.87929,5.36434,-14.36741,-0.30269,-4.18952,1.86162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-14,12:02:43.90,1,2,"Nutter, Hailey",100000002944,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.88027,3.343756,2.220682,1395.933558,117.440542,10:00,1.82372,0.23099,5.37561,-25.04482,3.06059,-4.25902,1.85371,1.28013,61.99668,-3.472845,1.099986,0.381563,,,,,,,,,,,,5.40162,2.55815,0.27512,50,0.89849,-4.46121,-101.87721,9.35596,5.47391,22.30838,-29.58167,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260314-JohnCropp-1,3cc2ccd0-1fbf-11f1-bffe-957fb0f7b9d6,98.78425,,,5.8836,,,,,,,3d802893-0432-4bad-904e-24aac47a33c9,2026-03-14,16:02:43.90,2026-03-14T12:02:43.9070000-04:00,2026-03-14T16:02:43.9070000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,262e1c03-ef1c-44cd-af4d-dac53294dc77,37.61886,-99.12901,11.15419,1.8266,5.71174,-14.79083,-0.23293,-3.78687,2.73696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-14,12:03:03.82,1,3,"Nutter, Hailey",100000002944,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,2,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,66.96397,5.68906,1.23651,1187.611867,27.639288,7:00,1.77725,0.12467,5.45051,-30.91687,-2.43347,-1.65654,2.80125,0.76653,61.82917,-2.647728,0.800153,0.38412,58.95284,43.736377,-138.511899,3079.511579,,,,,29.20214,,,2.21732,-4.16945,0.15598,50,0.27953,-2.36948,-99.96919,14.19703,2.2067,18.60756,-36.32352,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260314-JohnCropp-1,489adfc0-1fbf-11f1-bffe-957fb0f7b9d6,98.12669,25.9877,,5.13479,,,,1.81418,2.93178,-0.72907,3d802893-0432-4bad-904e-24aac47a33c9,2026-03-14,16:03:03.82,2026-03-14T12:03:03.8260000-04:00,2026-03-14T16:03:03.8260000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,f7a69c8a-21eb-486b-b97f-22ea9ba6a6b3,37.54726,-97.62381,9.30378,1.78044,9.61865,-18.16176,-0.12514,-2.09134,1.10335,33.924948,1.82581,-47.11793,-0.40454,,,,,,,2.95454,59.16106,-26.23013,,,,,,,-0.7397,-41.09968,7.46847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-03-14,12:03:27.17,1,4,"Nutter, Hailey",100000002944,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,2,1,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,66.76545,3.329712,-0.196073,1355.480032,160.416104,11:15,1.8013,0.08362,5.54711,-23.84966,4.30284,-1.29547,1.91043,-0.14766,62.2494,-3.157115,-0.538948,0.381883,55.34199,46.609088,-73.569779,4138.796786,-0.71788,40.99826,-109.99747,151.32104,61.73544,-96.629263,3.365926,1.36634,4.1074,-0.11689,50,0.85984,0.17226,-99.84155,9.20225,1.36817,17.27383,-28.06117,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260314-JohnCropp-1,5688da60-1fbf-11f1-bffe-957fb0f7b9d6,98.70161,47.52839,,4.51606,,,,1.67176,1.92439,0.14527,3d802893-0432-4bad-904e-24aac47a33c9,2026-03-14,16:03:27.17,2026-03-14T12:03:27.1740000-04:00,2026-03-14T16:03:27.1740000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,42539820-90c8-4df7-8d61-31683643b277,37.44977,-97.64607,8.63691,1.80279,5.63571,-14.03058,-0.08394,0.34615,0.68408,134.985949,1.67553,15.65245,-10.13287,0.89575,0.97646,-0.6405,0.11459,0.00891,-0.00304,1.92199,59.08102,-21.93863,3.7504,-3.05598,2.0963,-0.83978,0.17137,-0.01373,0.15054,-53.67116,2.42054,-2.44512,3.69102,-2.59977,0.961,-0.17467,0.01231,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2026-03-14,12:03:51.08,1,5,"Nutter, Hailey",100000002944,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,2,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.54381,6.355137,1.670267,1384.698758,169.795641,11:45,1.80718,0.13113,5.72555,-21.99482,5.4041,-0.86488,3.96964,1.10467,62.83578,0.362053,1.440778,0.376737,,,,,,,,,,,,1.42559,4.57457,0.2464,50,0.18381,-3.04258,-100.40475,14.44343,1.45247,16.5467,-27.51317,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260314-JohnCropp-1,64ce43d0-1fbf-11f1-bffe-957fb0f7b9d6,100.04974,,,4.70803,,,,,,,3d802893-0432-4bad-904e-24aac47a33c9,2026-03-14,16:03:51.08,2026-03-14T12:03:51.0860000-04:00,2026-03-14T16:03:51.0860000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,6964f42f-1dac-4fcc-887e-794315f59f62,37.27053,-98.28455,8.27335,1.80865,10.91804,-13.75658,-0.13154,-2.85647,0.72624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-14,12:04:10.79,1,6,"Nutter, Hailey",100000002944,Right,UNI_KEN_SB,"Shumaker, Taylor",100000001365,Right,FLO_GAT_SB,Undefined,1,Top,0,3,2,Riseball,,BallCalled,Walk,Undefined,Undefined,0,0,,66.92102,4.233391,-2.653119,1340.985655,171.936003,11:45,1.88897,0.17782,5.8337,-21.88391,5.82504,-0.73339,2.71438,-1.53989,62.24802,-1.772244,-2.848252,0.378863,,,,,,,,,,,,0.01122,5.52634,-0.76636,50,0.72788,4.5306,-99.98183,10.67557,0.01122,17.69029,-26.63845,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260314-JohnCropp-1,70833e60-1fbf-11f1-bffe-957fb0f7b9d6,99.48842,,,4.67301,,,,,,,3d802893-0432-4bad-904e-24aac47a33c9,2026-03-14,16:04:10.79,2026-03-14T12:04:10.7900000-04:00,2026-03-14T16:04:10.7900000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,2ad4bf9e-3c94-4d65-9dd0-9a176eaa9f9b,37.16399,-97.68429,8.84514,1.88971,7.21588,-13.31923,-0.17785,4.53206,0.00561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-14,12:04:40.58,2,1,"Nutter, Hailey",100000002944,Right,UNI_KEN_SB,"Erickson, Jocelyn",100000001359,Right,FLO_GAT_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.62968,5.460334,1.34899,864.350989,165.292184,11:30,1.77408,0.27073,5.8165,-21.49096,5.89067,-1.36445,3.40308,0.99929,62.36617,-0.448543,0.985736,0.376618,,,,,,,,,,,,1.94201,5.18288,0.04094,50,0.34701,-2.5571,-101.00365,12.84663,1.97153,19.09855,-26.91234,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260314-JohnCropp-1,824c5050-1fbf-11f1-bffe-957fb0f7b9d6,100.08136,,,5.26351,,,,,,,3d802893-0432-4bad-904e-24aac47a33c9,2026-03-14,16:04:40.58,2026-03-14T12:04:40.5850000-04:00,2026-03-14T16:04:40.5850000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,66ddfd63-a70d-42a6-9923-6d15521c6613,37.17854,-98.54946,9.54927,1.77563,9.38835,-13.45617,-0.27137,-2.30376,0.98577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-14,12:04:59.23,2,2,"Nutter, Hailey",100000002944,Right,UNI_KEN_SB,"Erickson, Jocelyn",100000001359,Right,FLO_GAT_SB,Undefined,1,Top,0,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.29971,1.818875,0.946489,1148.078534,167.340418,11:30,1.87381,0.34281,6.00508,-21.58481,5.24296,-1.04382,1.20505,0.84361,63.16953,-4.121825,0.666499,0.37279,,,,,,,,,,,,1.44516,5.78126,-0.11924,50,1.24719,-1.81144,-100.7099,6.52137,1.4811,16.67484,-26.24892,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260314-JohnCropp-1,8d6754d0-1fbf-11f1-bffe-957fb0f7b9d6,101.10911,,,4.13018,,,,,,,3d802893-0432-4bad-904e-24aac47a33c9,2026-03-14,16:04:59.23,2026-03-14T12:04:59.2380000-04:00,2026-03-14T16:04:59.2380000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,4a48f272-7dc3-47bc-bf76-eab4435d9272,36.99175,-98.53255,8.33742,1.87495,3.09387,-13.12446,-0.34315,-1.61804,0.74055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-14,12:05:19.12,2,3,"Nutter, Hailey",100000002944,Right,UNI_KEN_SB,"Erickson, Jocelyn",100000001359,Right,FLO_GAT_SB,Undefined,1,Top,0,2,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,67.52931,5.459459,0.815332,1280.336699,37.021642,7:15,1.80623,0.21128,5.61506,-29.53328,-2.17528,-2.0813,2.78315,0.54971,63.20106,-2.512616,0.264262,0.376455,,,,,,,,,,,,2.50402,-3.44831,-0.01628,50,0.343,-1.70634,-100.51901,13.83334,2.57002,15.81297,-35.71325,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260314-JohnCropp-1,99477e10-1fbf-11f1-bffe-957fb0f7b9d6,100.12456,,,4.32824,,,,,,,3d802893-0432-4bad-904e-24aac47a33c9,2026-03-14,16:05:19.12,2026-03-14T12:05:19.1270000-04:00,2026-03-14T16:05:19.1270000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,72a8ee75-7373-4df0-917b-3970e4e1c3d6,37.38287,-98.51417,7.90648,1.80981,9.30547,-17.85663,-0.21196,-1.3805,1.28501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-14,12:05:39.60,2,4,"Nutter, Hailey",100000002944,Right,UNI_KEN_SB,"Erickson, Jocelyn",100000001359,Right,FLO_GAT_SB,Undefined,1,Top,0,2,1,Dropball,,InPlay,Undefined,Popup,Out,1,0,,67.33858,5.348881,0.667483,1195.993797,42.526555,7:30,1.79273,0.21076,5.65548,-30.67057,-3.10843,-3.42847,2.60092,0.34363,62.77189,-2.946843,-0.241431,0.377857,57.00424,57.958792,-29.94373,,,,,103.14795,90.46261,-41.321663,4.165844,3.99575,-4.66634,-0.03675,50,0.33748,-1.63143,-100.4204,13.79816,4.06295,16.90436,-36.91886,UNI_KEN_SB,FLO_GAT_SB,JohnCropp,D1,SEC,20260314-JohnCropp-1,a5779c10-1fbf-11f1-bffe-957fb0f7b9d6,99.75306,69.11003,,4.56669,,,,2.43078,2.65093,-0.34767,3d802893-0432-4bad-904e-24aac47a33c9,2026-03-14,16:05:39.60,2026-03-14T12:05:39.6070000-04:00,2026-03-14T16:05:39.6070000Z,,V3 - Softball,,,,"Emmert, Ella",1000000000038,Right,UNI_KEN_SB,4c6c8bd6-5357-49d4-9393-f219cb3bc8f8,37.34291,-98.26666,8.45218,1.79583,9.09443,-18.45943,-0.21163,-1.11379,2.03147,166.185338,2.4304,38.44737,-10.71009,2.76953,-0.73553,0.22767,-0.05846,0.00879,-0.00054,2.65226,70.83341,-21.55996,1.66293,0.00943,-0.15437,0.05327,-0.00786,0.00044,-0.34755,-22.14392,2.72161,-0.60711,0.16509,-0.06213,0.01861,-0.00298,0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
