PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-15,18:02:16.90,1,1,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Chatfield, Michelle",1000000000421,Right,VIR_TEC_SB,Undefined,1,Top,0,0,0,Dropball,,InPlay,Undefined,FlyBall,Out,1,0,,66.30432,5.277865,0.069196,1730.24102,81.931106,8:45,1.83001,0.81954,5.52527,-28.45376,0.1939,-3.23744,2.78983,0.59331,61.77149,-2.41175,-0.786015,0.385226,59.32688,62.663946,-42.369485,,,,,107.56936,56.04525,-50.512991,4.499937,3.57886,-0.95972,-0.78031,50,0.42637,-0.53872,-98.8535,13.0991,3.52558,16.41392,-33.11947,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,a32087a0-20ba-11f1-ad2b-ebd49b27f2e5,97.84493,81.48987,,4.53284,,,,1.29819,3.04538,-0.57795,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:02:16.90,2026-03-15T18:02:16.9007104-04:00,2026-03-15T22:02:16.9007104Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,c35f9519-0e09-4c59-b161-8c4d5dc20528,37.47242,-96.75103,8.20696,1.83255,8.85679,-16.55973,-0.82039,-0.08713,1.76279,168.168966,1.30009,29.46752,-9.60177,2.5904,-0.0932,-0.21984,0.08534,-0.01357,0.0008,3.04339,77.33469,-22.02012,1.93236,-0.24342,-0.06007,0.04619,-0.01036,0.00079,-0.57969,-26.88481,4.6047,-0.89115,-0.1095,0.13628,-0.04054,0.00542,-0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2026-03-15,18:02:45.33,2,1,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Aldridge, Kylie",1000000000426,Left,VIR_TEC_SB,Undefined,1,Top,1,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.60746,1.590231,0.204209,1607.713953,5.083656,6:15,1.84981,0.83152,5.29726,-29.99832,-2.12508,-0.25071,0.35733,0.93996,63.13494,-6.460487,0.138181,0.379984,,,,,,,,,,,,0.33657,-2.40642,-0.78596,50,1.26823,-0.39291,-101.32655,6.89022,0.3451,18.68867,-34.64137,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,b45fd020-20ba-11f1-ad2b-ebd49b27f2e5,99.19483,,,4.47253,,,,,,,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:02:45.33,2026-03-15T18:02:45.3340672-04:00,2026-03-15T22:02:45.3340672Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,9b764de4-72fb-4b4c-9960-0999be1c1a1d,37.70032,-99.03202,9.34433,1.8531,2.63707,-17.32069,-0.8316,-0.35054,0.17255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-15,18:03:02.27,2,2,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Aldridge, Kylie",1000000000426,Left,VIR_TEC_SB,Undefined,1,Top,1,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.04669,2.936693,-1.439088,1566.350246,12.761324,6:30,1.67207,0.94996,5.2687,-32.11356,-2.84197,-0.80508,0.85947,-0.02943,61.64206,-5.671722,-1.650583,0.389399,,,,,,,,,,,,0.42252,-3.54855,-1.2527,50,0.7876,2.38362,-98.81557,9.31174,0.4131,17.38379,-35.64362,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,be58e9e0-20ba-11f1-ad2b-ebd49b27f2e5,96.79655,,,4.40463,,,,,,,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:03:02.27,2026-03-15T18:03:02.2796288-04:00,2026-03-15T22:03:02.2796288Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,5c0ff8b1-c201-4b7e-9a3e-58bf31ba7256,37.72904,-96.63274,8.69189,1.67585,4.83607,-17.82181,-0.95014,2.43549,0.20655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-15,18:03:19.77,2,3,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Aldridge, Kylie",1000000000426,Left,VIR_TEC_SB,Undefined,1,Top,1,2,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.8056,4.647581,-2.393119,1678.96244,357.186636,6:00,1.80943,0.97576,5.48393,-31.64163,-3.285,0.19469,2.10986,-0.51668,62.18507,-3.874954,-2.341801,0.383265,,,,,,,,,,,,-0.93449,-4.48024,-1.49883,50,0.5332,4.19026,-99.67926,12.43319,-0.93237,17.27283,-36.64403,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,c85c3cd0-20ba-11f1-ad2b-ebd49b27f2e5,98.34571,,,4.62053,,,,,,,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:03:19.77,2026-03-15T18:03:19.7788672-04:00,2026-03-15T22:03:19.7788672Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,4b1b8816-7e86-4fe1-adcf-540da5e5cd52,37.51356,-97.49155,8.63641,1.81403,7.792,-18.32202,-0.97559,4.07217,-0.46618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-15,18:03:36.45,2,4,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Aldridge, Kylie",1000000000426,Left,VIR_TEC_SB,Undefined,1,Top,1,2,1,Changeup,,InPlay,Undefined,FlyBall,Out,1,0,,58.18951,3.635149,-1.015477,1349.010488,169.791596,11:45,1.87792,1.03469,5.10587,-32.92301,5.43807,-0.79677,1.45214,0.32172,53.90154,-5.224958,-1.223674,0.445776,43.1532,41.776274,11.832339,2829.956244,,,,101.78504,97.03566,7.286877,2.824402,0.51366,5.12398,-1.24406,50,0.84781,1.45969,-87.08086,9.32853,0.38655,14.5035,-28.31802,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,d2a7bc50-20ba-11f1-ad2b-ebd49b27f2e5,84.55464,29.33103,,4.28797,,,,2.28155,1.59303,-0.3298,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:03:36.45,2026-03-15T18:03:36.4578816-04:00,2026-03-15T22:03:36.4578816Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,1293ed91-362b-4aef-98fa-56b404d02160,37.89038,-85.04006,7.25175,1.88009,5.34388,-14.15901,-1.03484,1.51408,0.19327,166.043414,2.28173,46.18916,-7.73013,2.03372,-0.25301,-0.05062,0.02594,-0.00222,-0.00018,1.59303,42.16456,-16.98726,0.73098,0.1501,-0.24363,0.13609,-0.03492,0.00335,-0.32972,9.67508,-3.13249,0.75026,-0.10297,-0.00463,-0.0002,0.0021,-0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-15,18:04:05.97,3,1,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,Undefined,1,Top,2,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.15156,6.020449,-0.836071,1710.27065,70.729506,8:15,1.83549,0.91249,5.43629,-29.51836,-0.48185,-3.30067,3.18829,0.10993,61.47106,-1.928802,-1.704985,0.387832,,,,,,,,,,,,3.31323,-1.78028,-1.0718,50,0.27921,1.03176,-98.46883,14.38426,3.23601,16.4005,-33.91284,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,e3d26b60-20ba-11f1-ad2b-ebd49b27f2e5,97.18758,,,4.6805,,,,,,,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:04:05.97,2026-03-15T18:04:05.9781120-04:00,2026-03-15T22:04:05.9781120Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,c91441bf-2f82-4de5-99e0-7ac3ae261f3e,37.56048,-96.3747,8.20025,1.83944,10.05402,-16.95642,-0.91368,1.44496,1.61801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-15,18:04:21.06,3,2,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,Undefined,1,Top,2,1,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,58.7464,4.898992,-3.043468,1384.079916,96.880029,9:15,1.92194,0.86318,5.01975,-36.79785,1.39634,-2.83394,1.99384,-1.31701,54.09309,-4.947863,-3.779589,0.444805,,,,,,,,,,,,1.89984,0.48685,-1.48617,50,0.61838,4.38261,-87.709,11.6357,1.44307,15.28485,-31.80426,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,edb3b760-20ba-11f1-ad2b-ebd49b27f2e5,84.73916,,,4.65331,,,,,,,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:04:21.06,2026-03-15T18:04:21.0609152-04:00,2026-03-15T22:04:21.0609152Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,84401488-7c5b-4845-b82a-0df990c949bc,37.97537,-85.58784,7.64242,1.92687,7.22206,-15.90213,-0.86408,4.58287,0.72154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-15,18:04:38.18,3,3,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,Undefined,1,Top,2,2,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,67.72264,3.983066,-2.626947,1722.518921,20.698827,6:45,1.84621,0.84127,5.47463,-32.10966,-4.5567,-1.96642,1.68729,-0.9793,63.21486,-4.652671,-3.145139,0.377794,,,,,,,,,,,,1.3428,-5.67839,-1.39998,50,0.71397,4.38808,-101.12018,11.48528,1.37949,17.69196,-38.00761,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,f719b8e0-20ba-11f1-ad2b-ebd49b27f2e5,99.76975,,,4.50778,,,,,,,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:04:38.18,2026-03-15T18:04:38.1855232-04:00,2026-03-15T22:04:38.1855232Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,d59b02f0-a2c5-4b9d-bc91-bfd9991d146a,37.52331,-98.91318,8.84598,1.85098,6.74397,-19.00381,-0.84185,4.56017,0.68975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-15,18:04:55.19,3,4,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,Undefined,1,Top,2,2,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.30404,6.518102,-3.618568,1573.39735,72.407659,8:30,1.81498,0.97354,5.42143,-28.68958,-0.48098,-3.52878,3.56414,-1.60741,62.56668,-1.182018,-4.542938,0.382263,,,,,,,,,,,,2.75197,-1.91795,-1.7355,50,0.15574,5.87731,-99.87032,15.37212,2.76876,16.66026,-34.10371,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,0169f350-20bb-11f1-ad2b-ebd49b27f2e5,98.6034,,,4.73736,,,,,,,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:04:55.19,2026-03-15T18:04:55.1955456-04:00,2026-03-15T22:04:55.1955456Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,b9e525d4-87a8-4cab-9646-abe7c48b210f,37.57531,-97.77569,8.33013,1.81888,11.08438,-17.05185,-0.97468,6.22541,1.38438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-15,18:05:14.11,3,5,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,Undefined,1,Top,2,3,1,Dropball,,BallCalled,Walk,Undefined,Undefined,0,0,,67.71828,4.248871,-3.318231,1665.512811,11.175225,6:15,1.83563,0.87799,5.60672,-30.58163,-3.1391,-0.75016,1.96446,-1.27041,63.05469,-4.012448,-3.516362,0.377037,,,,,,,,,,,,-0.19807,-4.22205,-1.60365,50,0.63991,5.76229,-101.05367,11.81516,-0.20286,17.92718,-36.49843,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,0c6b5550-20bb-11f1-ad2b-ebd49b27f2e5,99.97026,,,4.66359,,,,,,,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:05:14.11,2026-03-15T18:05:14.1113856-04:00,2026-03-15T22:05:14.1113856Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,d9cab2ab-5f5b-48ae-8ab2-d54052537db6,37.39055,-98.79139,8.96359,1.84029,7.20934,-18.24922,-0.8781,5.73669,-0.10143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2026-03-15,18:05:40.42,4,1,"Bradshaw, Ava",100000001117,Right,DUK_BLU_SB,"Abromavage, Nora",1000000000424,Right,VIR_TEC_SB,Undefined,1,Top,2,0,0,Offspeed,,BallCalled,Undefined,Undefined,Undefined,0,0,,58.86058,4.156569,-2.405387,1318.086797,159.889427,11:15,1.8051,0.95884,4.75316,-34.47218,4.02599,-1.08205,1.61136,-0.67845,54.22726,-5.029252,-2.68489,0.446572,,,,,,,,,,,,0.2802,3.43646,-1.44673,50,0.70591,3.59012,-87.94287,10.15079,0.21411,15.29738,-29.54822,DUK_BLU_SB,VIR_TEC_SB,DukeSoftball,D1,ACC,20260315-DukeSoftball-1,1c3e8ab0-20bb-11f1-ad2b-ebd49b27f2e5,84.40392,,,4.63332,,,,,,,86eb104a-9392-4745-ad76-0361fc9c8dcd,2026-03-15,22:05:40.42,2026-03-15T18:05:40.4273152-04:00,2026-03-15T22:05:40.4273152Z,,V3 - Softball,,,,"Rodriguez, Kairi",100000001132,Right,DUK_BLU_SB,3d81f182-f81b-4849-a63f-19059a28557c,38.24147,-85.87315,7.64869,1.80885,6.15296,-14.77411,-0.95903,3.61909,0.10706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
