PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-15,12:04:32.77,1,1,"Pu'a, Key-annah",100000006656,Right,SAN_DIE2_SB,"Stucky, Lauren",100000000990,Right,COL_STA_SB,Undefined,1,Top,0,0,0,Dropball,,InPlay,Undefined,Popup,Out,1,0,,63.9234,3.165918,-1.542629,999.367771,122.984216,10:00,2.16672,1.3576,5.3769,-27.16895,3.855,-4.8191,1.90602,-0.01905,59.70036,-4.175402,-2.810843,0.400885,50.79368,50.492088,-15.526233,,,,,108.83573,105.79519,-27.267848,3.581334,4.82173,3.60772,-1.65531,50,1.2497,1.9763,-95.5717,8.90413,4.42118,15.9158,-28.86603,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260315-SDSUSoftballStadium-1,cde88ff0-20a1-11f1-ad88-210a2f7c1eb2,94.02304,49.30057,,4.22304,,,,1.38796,2.0124,-0.00578,fbef6e3a-b5be-4526-8770-47e248484958,2026-03-15,19:04:32.77,2026-03-15T12:04:32.7720000-07:00,2026-03-15T19:04:32.7720000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,51b6e3b4-e195-45a5-b87e-1adcd22bf107,37.6206,-93.48739,7.9579,2.16824,5.1239,-14.43302,-1.35859,2.55529,2.21059,161.120352,1.38833,45.65442,-11.84947,3.28866,-0.66597,0.13222,-0.03579,0.00775,-0.00069,2.01296,57.45689,-18.91125,0.74163,0.38831,-0.34331,0.12753,-0.02291,0.00159,-0.00578,-12.68626,-0.78612,0.28523,-0.09853,0.03237,-0.0089,0.00151,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-03-15,12:05:05.67,2,1,"Pu'a, Key-annah",100000006656,Right,SAN_DIE2_SB,"Wilson, Jailey",100000000984,Right,COL_STA_SB,Undefined,1,Top,1,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.85671,4.491926,-3.025503,876.217974,111.178902,9:45,2.13096,1.62249,5.09191,-29.6845,2.11536,-3.49445,2.52802,-0.59744,59.39316,-3.449949,-3.935131,0.405867,,,,,,,,,,,,2.79662,1.36713,-2.23934,50,0.94781,4.63106,-95.17276,11.21891,2.54038,15.91893,-30.93218,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260315-SDSUSoftballStadium-1,e18ffed0-20a1-11f1-ad88-210a2f7c1eb2,92.86894,,,4.46355,,,,,,,fbef6e3a-b5be-4526-8770-47e248484958,2026-03-15,19:05:05.67,2026-03-15T12:05:05.6750000-07:00,2026-03-15T19:05:05.6750000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,50360983-dc90-4cfa-ab7a-99c3a97bd39c,37.90458,-93.12766,7.95947,2.13384,7.24508,-15.46609,-1.62343,4.95742,1.27019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-15,12:05:27.29,2,2,"Pu'a, Key-annah",100000006656,Right,SAN_DIE2_SB,"Wilson, Jailey",100000000984,Right,COL_STA_SB,Undefined,1,Top,1,0,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.07815,5.967889,-2.034745,895.942494,125.153224,10:15,2.10559,1.49947,5.42399,-26.44332,5.03614,-5.93355,3.68438,-0.27966,58.70669,-1.223831,-3.594181,0.403817,,,,,,,,,,,,5.61303,3.89288,-1.90405,50,0.5849,2.72313,-95.65527,13.46166,5.06385,18.37042,-28.66206,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260315-SDSUSoftballStadium-1,ee70a820-20a1-11f1-ad88-210a2f7c1eb2,93.34034,,,5.37146,,,,,,,fbef6e3a-b5be-4526-8770-47e248484958,2026-03-15,19:05:27.29,2026-03-15T12:05:27.2910000-07:00,2026-03-15T19:05:27.2910000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,f2c5a66f-81d1-4c5b-a7e4-d331a42029df,37.57021,-93.2376,9.18521,2.10833,9.68954,-14.33103,-1.50182,3.38957,2.53192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-15,12:05:50.32,2,3,"Pu'a, Key-annah",100000006656,Right,SAN_DIE2_SB,"Wilson, Jailey",100000000984,Right,COL_STA_SB,Undefined,1,Top,1,1,1,Dropball,,InPlay,Undefined,Popup,Out,1,0,,63.47692,3.91083,-0.689024,909.296455,91.056148,9:00,2.1341,1.61917,5.46796,-30.41132,0.82752,-6.68122,2.06897,0.62806,59.40642,-4.299702,-2.452166,0.402271,55.86332,65.358143,8.430962,,,,,71.46488,35.73339,17.635959,4.158113,7.14772,0.13685,-1.71908,50,1.01978,0.30945,-94.81374,10.53053,6.47709,15.10915,-32.05003,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260315-SDSUSoftballStadium-1,fc1cb7c0-20a1-11f1-ad88-210a2f7c1eb2,93.69912,70.8474,,4.07051,,,,2.30819,2.30802,-0.67683,fbef6e3a-b5be-4526-8770-47e248484958,2026-03-15,19:05:50.32,2026-03-15T12:05:50.3260000-07:00,2026-03-15T19:05:50.3260000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,ca462970-b809-4686-9f3a-fc4dc4490a8e,37.53,-92.80529,7.55457,2.13643,6.27015,-16.02501,-1.62072,1.17045,3.23854,188.522331,2.30782,33.78459,-12.68757,3.88897,-0.41008,-0.24631,0.13551,-0.02707,0.00196,2.2977,74.73224,-24.91063,4.67479,-2.51733,1.09843,-0.27058,0.03224,-0.0014,-0.67475,4.95699,1.45132,-1.15641,0.62902,-0.2454,0.05634,-0.00648,0.00028,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-03-15,12:06:27.36,3,1,"Pu'a, Key-annah",100000006656,Right,SAN_DIE2_SB,"Smith, Kyra",100000000993,Right,COL_STA_SB,Undefined,1,Top,2,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.85077,3.280804,0.490778,980.161538,101.601294,9:30,2.12949,1.53935,5.34769,-29.11651,1.91213,-5.88626,1.78035,1.35922,59.79688,-4.561909,-1.058717,0.400916,,,,,,,,,,,,6.56859,1.51784,-1.39088,50,1.17658,-1.54046,-95.39668,9.3138,6.03096,15.17632,-30.78044,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260315-SDSUSoftballStadium-1,123574c0-20a2-11f1-ad88-210a2f7c1eb2,94.0159,,,4.05389,,,,,,,fbef6e3a-b5be-4526-8770-47e248484958,2026-03-15,19:06:27.36,2026-03-15T12:06:27.3600000-07:00,2026-03-15T19:06:27.3600000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,8b324937-1ed3-432e-962a-8efcdd76d9a1,37.64999,-93.4113,7.58816,2.13163,5.28708,-15.39022,-1.5408,-0.75148,3.01548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-15,12:06:50.14,3,2,"Pu'a, Key-annah",100000006656,Right,SAN_DIE2_SB,"Smith, Kyra",100000000993,Right,COL_STA_SB,Undefined,1,Top,2,1,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,64.1357,3.472421,-2.832956,961.030656,110.588366,9:45,2.16319,1.49366,5.51975,-28.65612,2.25772,-3.85937,1.96618,-0.61255,59.38522,-4.305754,-3.850669,0.400173,,,,,,,,,,,,3.23784,1.79799,-2.08647,50,1.15945,4.28475,-95.99178,9.63766,2.9586,17.7238,-30.53111,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260315-SDSUSoftballStadium-1,1fd157c0-20a2-11f1-ad88-210a2f7c1eb2,94.19038,,,4.75048,,,,,,,fbef6e3a-b5be-4526-8770-47e248484958,2026-03-15,19:06:50.14,2026-03-15T12:06:50.1450000-07:00,2026-03-15T19:06:50.1450000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,ed914408-1110-4122-adbd-e0411f91f873,37.47632,-93.65088,8.8619,2.16607,5.60521,-15.26555,-1.49474,4.67552,1.4793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-15,12:07:14.76,3,3,"Pu'a, Key-annah",100000006656,Right,SAN_DIE2_SB,"Smith, Kyra",100000000993,Right,COL_STA_SB,Undefined,1,Top,2,1,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.16242,4.971172,-3.792538,873.409993,80.031708,8:45,2.09905,1.45407,5.60918,-31.55234,-0.13484,-6.29433,2.60565,-1.45515,58.36637,-3.628184,-5.450312,0.40342,38.0051,45.652579,72.178976,3444.246423,,,,81.24309,72.73371,69.038503,2.330848,5.27634,-1.60815,-2.24826,50,0.73898,5.6388,-96.19186,12.48902,4.72592,21.03103,-33.61442,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260315-SDSUSoftballStadium-1,2e77ccf0-20a2-11f1-ad88-210a2f7c1eb2,93.43228,23.7305,,5.79605,,,,1.43431,2.62041,1.54837,fbef6e3a-b5be-4526-8770-47e248484958,2026-03-15,19:07:14.76,2026-03-15T12:07:14.7620000-07:00,2026-03-15T19:07:14.7620000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,523bbe9e-7483-4fda-8c6b-2dbf357877cf,37.38623,-93.39333,10.51552,2.10325,8.01605,-16.80721,-1.45608,6.26766,2.36296,35.361929,1.43448,11.91461,1.52047,-1.32752,0.82458,-0.4676,0.12865,-0.0095,-0.00096,2.62032,39.86493,-20.38043,1.78169,-0.2063,-0.29592,0.27636,-0.09371,0.01122,1.54845,37.08551,-1.87295,-0.65936,1.14874,-1.22131,0.64935,-0.16653,0.01681,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-03-15,12:07:43.54,3,4,"Pu'a, Key-annah",100000006656,Right,SAN_DIE2_SB,"Smith, Kyra",100000000993,Right,COL_STA_SB,Undefined,1,Top,2,1,2,Dropball,,InPlay,Undefined,LineDrive,Single,0,0,,63.82548,4.499445,-1.1231,941.17672,104.751914,9:30,2.14334,1.6523,5.36347,-28.84726,2.83362,-7.41111,2.59016,0.32464,58.63281,-3.325757,-3.071432,0.405107,53.64105,10.195667,28.582305,2428.647259,,,,82.1559,80.54569,33.905671,1.21168,7.57477,1.95268,-1.84628,50,0.93496,1.01572,-95.61374,11.23696,6.81212,18.66039,-30.41798,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260315-SDSUSoftballStadium-1,3f9e5d50-20a2-11f1-ad88-210a2f7c1eb2,93.04309,6.13758,,5.19267,,,,0.93895,2.58037,-0.29601,fbef6e3a-b5be-4526-8770-47e248484958,2026-03-15,19:07:43.54,2026-03-15T12:07:43.5430000-07:00,2026-03-15T19:07:43.5430000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,e7ad7e42-7849-49ea-b043-37a3595cea8e,37.6324,-93.16877,9.3302,2.14618,7.25144,-15.20899,-1.65472,1.90827,3.40606,239.896201,0.93895,67.99464,-12.31792,2.05733,-0.39398,0.05873,-0.0077,0.00127,-0.00013,2.58037,13.92597,-13.88516,0.51979,-0.00252,0.00309,0.00191,-0.00048,2E-05,-0.29601,37.04458,1.44147,-0.71531,0.23353,-0.05253,0.01102,-0.0018,0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-03-15,12:08:21.61,4,1,"Pu'a, Key-annah",100000006656,Right,SAN_DIE2_SB,"Eslinger, Madi",100000000987,Right,COL_STA_SB,Undefined,1,Top,2,0,0,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.54814,3.824194,-2.985204,968.578074,90.873454,9:00,2.13461,1.48466,5.63723,-29.58344,0.92811,-5.58028,2.07538,-0.85491,59.45868,-4.233729,-4.460394,0.397561,45.85228,8.688735,146.425597,1815.070595,,,,47.49407,22.91671,147.12921,0.826686,5.06555,0.04776,-2.10274,50,1.0326,4.35051,-96.76574,10.47208,4.66161,19.23892,-32.13011,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260315-SDSUSoftballStadium-1,5652be10-20a2-11f1-ad88-210a2f7c1eb2,94.80926,3.78028,,5.08946,,,,3.11993,2.16978,0.67542,fbef6e3a-b5be-4526-8770-47e248484958,2026-03-15,19:08:21.61,2026-03-15T12:08:21.6130000-07:00,2026-03-15T19:08:21.6130000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,b68a3e23-e8ef-41c2-8dc7-ec8de5938e5e,37.35962,-94.21907,9.61946,2.13731,6.219,-16.06505,-1.48602,4.96757,2.3308,265.732629,3.11179,-55.2518,3.92311,,,,,,,2.19604,9.73139,-15.02139,,,,,,,0.71283,36.13836,-7.08754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-03-15,12:08:51.80,4,2,"Pu'a, Key-annah",100000006656,Right,SAN_DIE2_SB,"Eslinger, Madi",100000000987,Right,COL_STA_SB,Undefined,1,Top,2,0,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,55.92498,6.299551,-2.019367,1546.479104,31.2627,7:00,2.05414,1.30457,5.47085,-48.78715,-6.2737,-4.77425,1.97759,-0.36658,49.98249,-6.959916,-3.275452,0.469283,,,,,,,,,,,,4.07587,-8.78615,-1.71751,50,0.31642,2.52053,-84.16671,14.45832,2.7208,18.76938,-38.03915,SAN_DIE2_SB,COL_STA_SB,SDSUSoftballStadium,D1,MW,20260315-SDSUSoftballStadium-1,68570440-20a2-11f1-ad88-210a2f7c1eb2,80.31923,,,5.94249,,,,,,,fbef6e3a-b5be-4526-8770-47e248484958,2026-03-15,19:08:51.80,2026-03-15T12:08:51.8090000-07:00,2026-03-15T19:08:51.8090000Z,,V3 - Softball,,,,"Ignacio, Jade",100000006650,Right,SAN_DIE2_SB,3771ef25-9503-4f25-ba3e-43ce7bbaaf27,37.52427,-81.33703,9.38469,2.06387,8.7235,-19.01957,-1.3066,2.93072,1.3604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
