PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-15,13:02:47.13,1,1,"Ramuno, Sophia",100000002024,Right,WAS_HUS_SB,"Woods, Sammi",100000001278,Right,MAR_TER_SB,Undefined,1,Top,0,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.09337,3.868239,-2.236506,2063.511703,119.549022,10:00,2.13533,0.68019,4.70273,-26.80281,4.27481,-5.76477,2.39739,-1.24055,59.89538,-3.32008,-3.72402,0.401232,,,,,,,,,,,,4.98945,3.43343,-1.10882,50,1.15954,3.27719,-99.13341,9.90524,4.73765,22.59606,-28.91391,WAS_HUS_SB,MAR_TER_SB,UofWashingtonSB,D1,B10,20260315-UofWashingtonSB-1,f034a5a0-20a9-11f1-ae68-c504d3499d69,93.94187,,,6.19799,,,,,,,6b04645a-17d3-4603-8f9f-b444e2b7ca8e,2026-03-15,20:02:47.13,2026-03-15T13:02:47.1370752-07:00,2026-03-15T20:02:47.1370752Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,24ca497d-b8f8-4dd5-8c65-f93a5fdd30ca,38.29052,-96.42746,11.29803,2.1384,6.44271,-14.45696,-0.6824,3.84454,2.36883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-15,13:03:04.29,1,2,"Ramuno, Sophia",100000002024,Right,WAS_HUS_SB,"Woods, Sammi",100000001278,Right,MAR_TER_SB,Undefined,1,Top,0,1,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.67599,4.441274,0.786788,1102.041054,138.727719,10:30,2.00184,0.50035,4.32205,-24.62316,7.30926,-5.5578,2.84429,0.54891,59.71194,-2.114247,-0.634979,0.406712,,,,,,,,,,,,5.8704,6.32311,-0.32086,50,0.96122,-1.88319,-98.21384,10.45902,5.53132,20.67046,-26.21616,WAS_HUS_SB,MAR_TER_SB,UofWashingtonSB,D1,B10,20260315-UofWashingtonSB-1,fa746550-20a9-11f1-ae68-c504d3499d69,92.67591,,,5.96405,,,,,,,6b04645a-17d3-4603-8f9f-b444e2b7ca8e,2026-03-15,20:03:04.29,2026-03-15T13:03:04.2951168-07:00,2026-03-15T20:03:04.2951168Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,fff07a4b-cb3a-4a1c-ab00-ebf5647abe01,38.67036,-95.79969,10.33523,2.00395,7.39717,-13.10808,-0.50308,-1.23718,2.76566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-15,13:03:23.79,1,3,"Ramuno, Sophia",100000002024,Right,WAS_HUS_SB,"Woods, Sammi",100000001278,Right,MAR_TER_SB,Undefined,1,Top,0,1,1,Riseball,,InPlay,Undefined,Bunt,Out,1,0,,65.23485,5.015517,0.552206,1103.559401,149.630086,11:00,1.94955,0.217,4.28037,-24.21364,8.23426,-4.25492,3.20567,0.22195,59.32268,-1.426412,-0.534686,0.409982,,,,,,,,,,,,4.55378,6.96567,-0.08734,50,0.79886,-1.36652,-97.51582,11.33693,4.2304,20.36416,-25.70303,WAS_HUS_SB,MAR_TER_SB,UofWashingtonSB,D1,B10,20260315-UofWashingtonSB-1,060dc190-20aa-11f1-ae68-c504d3499d69,91.93682,,,5.91216,,,,,,,6b04645a-17d3-4603-8f9f-b444e2b7ca8e,2026-03-15,20:03:23.79,2026-03-15T13:03:23.7940736-07:00,2026-03-15T20:03:23.7940736Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,e219412d-fa8d-4b0e-9c93-69f8cef8cec6,38.7144,-95.12987,10.18208,1.95073,8.32545,-12.85151,-0.21841,-0.87086,2.1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-15,13:03:51.07,2,1,"Ramuno, Sophia",100000002024,Right,WAS_HUS_SB,"Murphy, Bailey",100000001247,Right,MAR_TER_SB,Undefined,1,Top,1,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.84503,3.81205,-2.213496,1009.310344,107.602677,9:30,2.09324,0.65655,4.44587,-27.49391,3.15185,-6.95953,2.27844,-1.35885,60.90665,-3.48646,-3.996852,0.398434,,,,,,,,,,,,6.29288,2.1965,-1.06304,50,1.14955,3.13745,-100.15628,9.90912,6.13845,22.14757,-30.03146,WAS_HUS_SB,MAR_TER_SB,UofWashingtonSB,D1,B10,20260315-UofWashingtonSB-1,1658e610-20aa-11f1-ae68-c504d3499d69,94.6014,,,5.93838,,,,,,,6b04645a-17d3-4603-8f9f-b444e2b7ca8e,2026-03-15,20:03:51.07,2026-03-15T13:03:51.0794240-07:00,2026-03-15T20:03:51.0794240Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,e2c47815-6a88-499c-8bbf-79479850fcd7,38.54964,-97.59142,11.07378,2.09573,6.43125,-15.01573,-0.65854,3.84833,3.06923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-15,13:04:07.62,2,2,"Ramuno, Sophia",100000002024,Right,WAS_HUS_SB,"Murphy, Bailey",100000001247,Right,MAR_TER_SB,Undefined,1,Top,1,1,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,52.93854,6.162829,0.335558,1451.839938,55.775022,7:45,2.07523,0.37824,5.03165,-52.54452,-5.17796,-9.71721,1.64338,-0.21745,48.54196,-7.867038,-2.196882,0.495344,,,,,,,,,,,,10.24886,-6.75032,-0.25569,50,0.40783,-1.30783,-79.21026,13.68757,6.2769,13.50944,-36.30826,WAS_HUS_SB,MAR_TER_SB,UofWashingtonSB,D1,B10,20260315-UofWashingtonSB-1,204ccfb0-20aa-11f1-ae68-c504d3499d69,76.09342,,,4.39658,,,,,,,6b04645a-17d3-4603-8f9f-b444e2b7ca8e,2026-03-15,20:04:07.62,2026-03-15T13:04:07.6207104-07:00,2026-03-15T20:04:07.6207104Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,acd049b3-a55c-4fdc-8389-bf9c4d609b39,37.96591,-77.13052,6.75472,2.08474,8.09803,-18.15413,-0.38264,-0.34152,3.13845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-15,13:04:25.23,2,3,"Ramuno, Sophia",100000002024,Right,WAS_HUS_SB,"Murphy, Bailey",100000001247,Right,MAR_TER_SB,Undefined,1,Top,1,2,0,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.54399,3.428203,-0.910799,1099.581707,139.681749,10:45,2.13165,0.6159,4.53668,-24.03222,7.52473,-5.58433,2.34852,-0.43842,59.86243,-3.004429,-2.347769,0.404314,52.9537,18.826512,-169.396645,,,,,,19.16056,,,5.28898,7.06524,-0.77446,50,1.27495,1.01077,-98.12435,8.72876,4.98741,20.2696,-25.51165,WAS_HUS_SB,MAR_TER_SB,UofWashingtonSB,D1,B10,20260315-UofWashingtonSB-1,2abc03d0-20aa-11f1-ae68-c504d3499d69,93.2256,7.8034,,5.68155,,,,1.28283,2.22679,0.16319,6b04645a-17d3-4603-8f9f-b444e2b7ca8e,2026-03-15,20:04:25.23,2026-03-15T13:04:25.2379136-07:00,2026-03-15T20:04:25.2379136Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,bc045674-eacf-4081-8c9d-f3ce3a57170a,38.45504,-95.7098,10.1348,2.13373,5.68976,-12.75583,-0.61867,1.60488,2.4937,277.208446,1.2835,-72.28683,3.0708,,,,,,,2.22695,25.05557,-18.22835,,,,,,,0.16447,-13.58752,-8.85365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
7,2026-03-15,13:04:45.66,2,4,"Ramuno, Sophia",100000002024,Right,WAS_HUS_SB,"Murphy, Bailey",100000001247,Right,MAR_TER_SB,Undefined,1,Top,1,2,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.78185,4.975629,-1.271468,1119.237621,134.530677,10:30,2.00353,0.0762,4.30665,-26.98671,5.86032,-4.96099,3.00075,-1.16456,59.00472,-2.178993,-2.538565,0.412496,,,,,,,,,,,,4.4917,4.70823,-0.30568,50,0.84592,1.67673,-96.75227,11.45341,4.11752,19.7209,-27.85802,WAS_HUS_SB,MAR_TER_SB,UofWashingtonSB,D1,B10,20260315-UofWashingtonSB-1,36df5090-20aa-11f1-ae68-c504d3499d69,91.37657,,,5.77713,,,,,,,6b04645a-17d3-4603-8f9f-b444e2b7ca8e,2026-03-15,20:04:45.66,2026-03-15T13:04:45.6635904-07:00,2026-03-15T20:04:45.6635904Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,302d49e1-7dbf-41ec-a06f-ff4c14ec9c4f,38.68605,-94.41801,9.86045,2.00645,8.15599,-13.92901,-0.07837,2.1641,2.05876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-15,13:05:02.86,2,5,"Ramuno, Sophia",100000002024,Right,WAS_HUS_SB,"Murphy, Bailey",100000001247,Right,MAR_TER_SB,Undefined,1,Top,1,3,1,Offspeed,,BallCalled,Walk,Undefined,Undefined,0,0,,65.61945,3.959118,1.939518,1136.498771,111.652536,9:45,2.0668,0.49965,4.75049,-27.45167,3.44953,-6.53878,2.32981,1.20205,60.36671,-3.365198,0.247965,0.400091,,,,,,,,,,,,7.41233,2.82445,-0.06749,50,1.05913,-4.01569,-98.06664,10.12331,7.05734,18.73288,-29.48488,WAS_HUS_SB,MAR_TER_SB,UofWashingtonSB,D1,B10,20260315-UofWashingtonSB-1,411943e0-20aa-11f1-ae68-c504d3499d69,94.20958,,,5.25274,,,,,,,6b04645a-17d3-4603-8f9f-b444e2b7ca8e,2026-03-15,20:05:02.86,2026-03-15T13:05:02.8600832-07:00,2026-03-15T20:05:02.8600832Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,f1f115bb-ddf6-41aa-a3a0-162d8198b60f,38.24415,-95.79469,9.36644,2.07005,6.54736,-14.74244,-0.50261,-3.15977,3.52867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-15,13:05:28.15,3,1,"Ramuno, Sophia",100000002024,Right,WAS_HUS_SB,"Penta, Mariah",100000001269,Right,MAR_TER_SB,Undefined,1,Top,1,0,0,Riseball,,InPlay,Undefined,Popup,Out,1,0,,64.55777,4.280173,0.692606,1076.853293,131.179756,10:15,1.94895,0.36217,4.17712,-27.16438,5.97075,-5.71681,2.48503,0.33797,59.01086,-2.893985,-0.764296,0.414301,64.89775,68.185231,-3.245876,,,,,,32.83599,,,6.06768,4.97457,-0.19921,50,0.93983,-1.73093,-96.52078,10.24357,5.54906,19.30022,-27.62465,WAS_HUS_SB,MAR_TER_SB,UofWashingtonSB,D1,B10,20260315-UofWashingtonSB-1,5046c360-20aa-11f1-ae68-c504d3499d69,90.9784,77.52404,,5.54692,,,,2.62564,2.54344,-0.3536,6b04645a-17d3-4603-8f9f-b444e2b7ca8e,2026-03-15,20:05:28.15,2026-03-15T13:05:28.1560576-07:00,2026-03-15T20:05:28.1560576Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,05fd0830-d8b6-4e42-9a3d-0bd8c75160e1,38.81823,-94.25837,9.65011,1.9508,7.00535,-13.81232,-0.36399,-1.08045,2.77453,184.28152,2.62564,35.31402,-11.97693,3.90731,-0.93931,0.207,-0.04359,0.00755,-0.00077,2.54344,88.36714,-23.67635,2.14293,-0.26686,0.00692,0.00524,-0.0018,0.00025,-0.3536,-2.00273,2.35494,-0.89011,0.23382,-0.05468,0.012,-0.00214,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-03-15,13:05:56.68,4,1,"Ramuno, Sophia",100000002024,Right,WAS_HUS_SB,"McGowan, Anna",100000006762,Right,MAR_TER_SB,Undefined,1,Top,2,0,0,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.35432,3.173216,-2.039923,974.356713,126.680819,10:15,2.05006,0.57059,4.63591,-24.58108,6.03989,-6.89264,2.0513,-1.31981,60.72354,-3.403276,-3.816131,0.398273,,,,,,,,,,,,6.26063,5.65028,-0.95194,50,1.23365,2.83008,-99.36776,8.48579,6.05294,20.81746,-26.71121,WAS_HUS_SB,MAR_TER_SB,UofWashingtonSB,D1,B10,20260315-UofWashingtonSB-1,613e5480-20aa-11f1-ae68-c504d3499d69,94.63973,,,5.63078,,,,,,,6b04645a-17d3-4603-8f9f-b444e2b7ca8e,2026-03-15,20:05:56.68,2026-03-15T13:05:56.6899712-07:00,2026-03-15T20:05:56.6899712Z,,V3 - Softball,,,,"Glab, Jadyn",100000002028,Right,WAS_HUS_SB,82421666-df1d-447d-9cf5-2fff4c5c4ae2,38.35706,-96.89788,10.40873,2.05244,5.31665,-13.35561,-0.57356,3.54823,3.02647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
