PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-20,17:04:58.38,1,1,"Partridge, Lila",100000003237,Right,UNI_KAN_SB,"Gomez, Mia",100000002957,Right,UNI_UTA_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.94535,3.64368,1.334697,1551.944577,348.546033,5:30,1.97605,0.37984,5.97062,-32.01675,-3.07154,0.75201,1.57642,1.27225,60.94063,-5.091081,1.53601,0.387222,,,,,,,,,,,,-0.45917,-3.97583,-0.08361,50,0.85262,-2.16154,-97.06526,10.7763,-0.43705,15.51808,-35.95845,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260320-ArrochaBallpark-1,d601e4b0-24a8-11f1-a815-ed0906045315,97.3407,,,4.00472,,,,,,,641a5d56-6c0c-4b7c-affa-523cb5a2d07c,2026-03-20,22:04:58.38,2026-03-20T17:04:58.3820000-05:00,2026-03-20T22:04:58.3820000Z,,V3 - Softball,,,,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,6e6688a8-997b-4a4a-934a-ba6ff785e3ce,37.02733,-94.96864,7.75904,1.98039,5.91802,-17.97922,-0.37964,-2.22059,-0.21853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-20,17:05:14.21,1,2,"Partridge, Lila",100000003237,Right,UNI_KAN_SB,"Gomez, Mia",100000002957,Right,UNI_UTA_SB,Undefined,1,Top,0,1,0,Dropball,,InPlay,Undefined,LineDrive,Single,0,0,,63.35058,5.841785,0.248293,1342.837729,23.689456,6:45,1.93851,0.13069,6.0104,-34.53447,-3.94858,-2.04075,2.70026,0.11478,59.0207,-3.586391,-0.297857,0.398045,75.9089,8.864893,6.383567,2179.513367,,,,123.02911,122.13352,6.867391,1.27447,2.37295,-5.76764,-0.0574,50,0.28086,-0.67875,-94.49054,14.5317,2.13317,15.16227,-37.35892,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260320-ArrochaBallpark-1,df7071b0-24a8-11f1-a815-ed0906045315,94.69394,7.45358,,4.32988,,,,1.14113,2.7747,-0.09827,641a5d56-6c0c-4b7c-affa-523cb5a2d07c,2026-03-20,22:05:14.21,2026-03-20T17:05:14.2170000-05:00,2026-03-20T22:05:14.2170000Z,,V3 - Softball,,,,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,83243cb5-25f9-4bd1-8fa6-69ecd3c5e64e,36.98813,-92.37902,7.58114,1.9423,9.32904,-18.67946,-0.13124,-0.38168,1.06659,212.787084,1.14113,109.32091,-13.87514,2.56985,-0.51226,0.09052,-0.01633,0.00276,-0.00025,2.7747,17.15695,-16.18417,0.91685,-0.12083,0.02181,-0.00163,0.00031,-6E-05,-0.09827,12.23056,-0.2039,-0.34432,0.13475,-0.03475,0.00775,-0.00132,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-03-20,17:05:46.86,2,1,"Partridge, Lila",100000003237,Right,UNI_KAN_SB,"Proctor, Kennedy",1000000000018,Right,UNI_UTA_SB,Undefined,1,Top,0,0,0,Curveball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,61.50716,5.386849,-0.823387,1786.743123,102.222801,9:30,1.99778,0.45621,5.57987,-31.12683,1.84788,-5.44772,2.79922,-0.5152,57.76273,-3.025314,-2.263718,0.413296,53.64802,32.812143,169.301989,1952.731688,,,,,27.92706,,,5.82284,0.99697,-0.59431,50,0.53168,0.64119,-91.50821,12.74933,4.96666,12.75308,-31.32367,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260320-ArrochaBallpark-1,f2e89330-24a8-11f1-a815-ed0906045315,91.19952,17.14916,,3.74443,,,,1.93329,2.67743,0.56917,641a5d56-6c0c-4b7c-affa-523cb5a2d07c,2026-03-20,22:05:46.86,2026-03-20T17:05:46.8650000-05:00,2026-03-20T22:05:46.8650000Z,,V3 - Softball,,,,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,2f9df8ea-6efb-4176-bb3c-61aad7745ac6,37.41823,-89.73762,6.37654,1.99986,8.40046,-15.66184,-0.45742,1.33074,2.48333,350.098251,1.93682,-65.08469,2.44457,,,,,,,2.68723,42.35023,-23.49412,,,,,,,0.57003,12.25064,-1.57639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-03-20,17:06:08.66,2,2,"Partridge, Lila",100000003237,Right,UNI_KAN_SB,"Proctor, Kennedy",1000000000018,Right,UNI_UTA_SB,Undefined,1,Top,0,0,1,Offspeed,,BallCalled,Undefined,Undefined,Undefined,0,0,,56.59347,4.393798,-0.03971,879.218353,33.974622,7:15,1.99008,0.60149,5.97167,-44.79561,-6.15292,-4.82461,0.99341,0.17476,52.65648,-7.837366,-1.332244,0.447409,,,,,,,,,,,,5.338,-7.61587,-0.57411,50,0.59192,-0.48304,-84.88445,11.98742,3.80968,13.9842,-37.60942,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260320-ArrochaBallpark-1,ffef1400-24a8-11f1-a815-ed0906045315,84.24598,,,3.93699,,,,,,,641a5d56-6c0c-4b7c-affa-523cb5a2d07c,2026-03-20,22:06:08.66,2026-03-20T17:06:08.6660000-05:00,2026-03-20T22:06:08.6660000Z,,V3 - Softball,,,,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,6b217b8d-5f3b-4050-8a92-019b90c81564,37.027,-82.71962,6.9921,1.99699,6.16528,-18.80471,-0.60324,0.10672,1.90484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-20,17:06:25.46,2,3,"Partridge, Lila",100000003237,Right,UNI_KAN_SB,"Proctor, Kennedy",1000000000018,Right,UNI_UTA_SB,Undefined,1,Top,0,1,1,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,52.26802,4.802822,-0.39433,761.738717,64.481777,8:15,1.86358,0.23273,5.93437,-46.30128,-0.89744,-4.31709,1.00052,-0.37238,48.70198,-7.850406,-1.54855,0.484973,,,,,,,,,,,,4.65977,-1.80626,-0.28898,50,0.35317,0.08997,-78.2579,11.84147,2.83532,11.6108,-33.2731,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260320-ArrochaBallpark-1,09fc7910-24a9-11f1-a815-ed0906045315,77.72065,,,3.56603,,,,,,,641a5d56-6c0c-4b7c-affa-523cb5a2d07c,2026-03-20,22:06:25.46,2026-03-20T17:06:25.4690000-05:00,2026-03-20T22:06:25.4690000Z,,V3 - Softball,,,,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,50a73629-243d-4072-a801-a6f2ddcd3ad6,37.0629,-76.31434,5.8054,1.86918,6.27181,-16.63655,-0.2342,0.56458,1.41766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-20,17:06:45.34,2,4,"Partridge, Lila",100000003237,Right,UNI_KAN_SB,"Proctor, Kennedy",1000000000018,Right,UNI_UTA_SB,Undefined,1,Top,0,2,1,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,61.22346,5.645918,1.423988,1660.975675,105.532738,9:30,1.85519,0.20473,6.05161,-30.58651,1.76488,-4.08016,2.82008,0.74798,57.5871,-2.718323,0.331168,0.409372,54.85333,16.846735,174.039782,1143.039362,,,,97.49611,27.56128,172.513472,1.445017,4.98465,0.97303,0.15517,50,0.25958,-2.79837,-91.01988,13.30364,4.22333,12.11256,-31.34962,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260320-ArrochaBallpark-1,15c10400-24a9-11f1-a815-ed0906045315,92.07386,10.20194,,3.63636,,,,1.7159,2.77935,-0.73014,641a5d56-6c0c-4b7c-affa-523cb5a2d07c,2026-03-20,22:06:45.34,2026-03-20T17:06:45.3490000-05:00,2026-03-20T22:06:45.3490000Z,,V3 - Softball,,,,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,38080bb2-ef68-49b7-b733-ea4a4e90ed96,36.94643,-89.26586,6.05628,1.85738,8.7639,-15.67481,-0.20578,-2.18679,2.11167,64.007948,1.65225,-75.94708,5.49642,,,,,,,2.91306,22.04521,-16.70965,,,,,,,-0.76411,8.32528,0.70222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2026-03-20,17:07:06.92,2,5,"Partridge, Lila",100000003237,Right,UNI_KAN_SB,"Proctor, Kennedy",1000000000018,Right,UNI_UTA_SB,Undefined,1,Top,0,2,2,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,54.08817,4.946505,1.978776,807.100387,61.240854,8:00,1.87391,0.19655,5.65646,-45.97597,-2.81618,-7.19343,1.15384,0.83836,50.247,-7.515052,0.071738,0.472837,,,,,,,,,,,,8.48437,-3.90099,0.29011,50,0.38916,-3.52691,-80.90026,12.16418,5.51329,12.47252,-34.70897,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260320-ArrochaBallpark-1,22ae0960-24a9-11f1-a815-ed0906045315,79.71558,,,3.84117,,,,,,,641a5d56-6c0c-4b7c-affa-523cb5a2d07c,2026-03-20,22:07:06.92,2026-03-20T17:07:06.9260000-05:00,2026-03-20T22:07:06.9260000Z,,V3 - Softball,,,,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,f6ef01cb-eb86-4b3c-bafb-131be1c0ca31,37.34126,-78.92451,6.23626,1.88058,6.66601,-17.35449,-0.19941,-2.65356,2.75665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-20,17:07:25.55,2,6,"Partridge, Lila",100000003237,Right,UNI_KAN_SB,"Proctor, Kennedy",1000000000018,Right,UNI_UTA_SB,Undefined,1,Top,0,3,2,Curveball,,BallCalled,Walk,Undefined,Undefined,0,0,,60.82726,3.030676,-2.307179,1733.630181,130.909189,10:15,2.0286,0.86687,5.98761,-28.05348,4.82311,-4.77579,1.57695,-0.96525,57.32362,-4.654271,-3.584289,0.412681,,,,,,,,,,,,4.73296,5.10595,-1.35102,50,1.06565,3.05296,-90.78484,8.6912,3.96132,12.93446,-27.90054,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260320-ArrochaBallpark-1,2dc27e30-24a9-11f1-a815-ed0906045315,91.33549,,,3.50365,,,,,,,641a5d56-6c0c-4b7c-affa-523cb5a2d07c,2026-03-20,22:07:25.55,2026-03-20T17:07:25.5520000-05:00,2026-03-20T22:07:25.5520000Z,,V3 - Softball,,,,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,9aa173c3-8ba2-4e59-92a2-8abd9cdd4ac5,37.00901,-88.9147,6.46723,2.03064,4.65718,-13.95027,-0.8682,3.62571,1.98066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-20,17:08:01.40,3,1,"Partridge, Lila",100000003237,Right,UNI_KAN_SB,"Wilson, Danika ",100000000316,Right,UNI_UTA_SB,Undefined,1,Top,0,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,60.66937,4.758737,1.114836,1621.218942,138.253984,10:30,1.87229,0.14587,5.9781,-27.32919,5.73382,-4.52559,2.55946,0.46162,57.03235,-2.734073,-0.095823,0.41385,,,,,,,,,,,,5.34394,5.71744,0.14325,50,0.52157,-2.32564,-90.32186,11.30815,4.44872,12.20209,-27.41439,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260320-ArrochaBallpark-1,431e53d0-24a9-11f1-a815-ed0906045315,91.07757,,,3.63701,,,,,,,641a5d56-6c0c-4b7c-affa-523cb5a2d07c,2026-03-20,22:08:01.40,2026-03-20T17:08:01.4040000-05:00,2026-03-20T22:08:01.4040000Z,,V3 - Softball,,,,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,391eb8ef-0b34-485c-8bba-cd8c50f8baa1,37.01822,-88.55071,6.10104,1.87416,7.32892,-13.7072,-0.14745,-1.6799,2.22436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-20,17:08:19.74,3,2,"Partridge, Lila",100000003237,Right,UNI_KAN_SB,"Wilson, Danika ",100000000316,Right,UNI_UTA_SB,Undefined,1,Top,0,0,1,Riseball,,InPlay,Undefined,FlyBall,Out,1,0,,61.2533,4.75303,1.516675,1617.976835,104.684735,9:30,1.85748,0.05898,5.95807,-30.24702,2.0124,-5.44445,2.30006,0.54853,57.98487,-3.490463,0.061261,0.40879,63.16748,24.22391,-21.245736,1949.512367,98.02408,23.39383,-49.91264,163.21428,154.86982,-29.478707,2.594332,6.52638,1.51784,0.3319,50,0.48062,-3.13048,-91.06406,11.81843,5.572,11.27603,-30.87818,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260320-ArrochaBallpark-1,4e0501e0-24a9-11f1-a815-ed0906045315,92.205,25.23643,,3.26843,,,,0.24156,2.3821,-0.57052,641a5d56-6c0c-4b7c-affa-523cb5a2d07c,2026-03-20,22:08:19.74,2026-03-20T17:08:19.7490000-05:00,2026-03-20T22:08:19.7490000Z,,V3 - Softball,,,,"Boyer, Ella",100000001960,Right,UNI_KAN_SB,68b2c900-a342-466b-ab2e-e7670161ecbd,37.04038,-89.44494,5.63802,1.8593,7.38464,-15.43909,-0.06017,-2.3304,2.786,134.829413,0.24152,78.74736,-14.93377,3.28735,-0.49595,-0.02784,0.04288,-0.01148,0.00117,2.38214,38.01096,-16.60378,0.79733,-0.2278,0.1533,-0.06738,0.01652,-0.00165,-0.57058,-30.61334,-0.92855,0.64337,-0.12241,-0.031,0.02531,-0.00646,0.00062,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
