PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-20,18:05:46.48,1,1,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Pond, Kaylee",100000002479,Left,ARI_STA_SB,Undefined,1,Top,0,0,0,Dropball,,InPlay,Undefined,FlyBall,HomeRun,0,1,,68.72561,5.447249,-0.888942,3248.749454,3.097044,6:00,1.6807,0.76043,5.19004,-37.49108,-9.9628,-0.58,2.02733,0.14741,63.27524,-4.556303,-1.040757,0.377625,72.6638,32.99724,2.877537,,109.99941,55.30542,-0.35926,236.07796,94.88626,-3.727761,4.168625,0.31374,-12.16898,-0.94583,50,0.23932,1.52306,-102.77639,14.7474,0.32773,20.75117,-44.88539,ARI_WIL_SB,ARI_STA_SB,HillenbrandStad,D1,B12,20260320-HillenbrandStad-1,180b38c0-24c2-11f1-8c1d-7f198b836294,99.8144,58.35221,,5.45037,,,,1.93597,2.26931,-0.16981,21bef175-d695-42eb-a50e-7c94bba1e2e1,2026-03-21,01:05:46.48,2026-03-20T18:05:46.4859648-07:00,2026-03-21T01:05:46.4859648Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,890465ff-0876-4c17-b5e6-3203e84085bf,37.80871,-100.28469,10.37559,1.68654,9.35778,-22.4427,-0.76058,1.56241,0.16386,161.936107,1.93588,89.27465,-16.38448,3.81568,-0.86057,0.22243,-0.05294,0.00786,-0.00049,2.26988,58.02138,-16.07181,0.43468,0.2642,-0.19771,0.06296,-0.00952,0.00055,-0.16972,4.48581,-4.25443,1.09517,-0.26531,0.06763,-0.01504,0.00211,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2026-03-20,18:06:27.39,2,1,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Avila, Yazzy",,Left,ARI_STA_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.24305,3.829172,-0.850436,1148.285245,8.235672,6:15,1.71314,0.85539,5.1523,-35.98049,-9.07375,-1.41228,1.15342,0.19692,64.36714,-5.757413,-1.220359,0.373338,,,,,,,,,,,,1.22665,-10.40508,-1.02698,50,0.63616,1.36441,-103.62381,11.70293,1.31322,19.80412,-43.31347,ARI_WIL_SB,ARI_STA_SB,HillenbrandStad,D1,B12,20260320-HillenbrandStad-1,306dbeb0-24c2-11f1-8c1d-7f198b836294,100.96065,,,4.87591,,,,,,,21bef175-d695-42eb-a50e-7c94bba1e2e1,2026-03-21,01:06:27.39,2026-03-20T18:06:27.3975808-07:00,2026-03-21T01:06:27.3975808Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,92fb5ee8-dc4b-421a-830a-559393c78b1a,37.84638,-101.27444,9.90206,1.71971,6.56462,-21.65674,-0.85588,1.5202,0.65661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-20,18:06:42.21,2,2,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Avila, Yazzy",,Left,ARI_STA_SB,Undefined,1,Top,0,1,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.26008,4.362157,-1.731781,1004.325413,11.549073,6:30,1.78644,0.81127,5.10569,-35.81738,-8.82626,-1.94217,1.5855,-0.45346,64.35326,-5.164435,-2.239111,0.373923,,,,,,,,,,,,1.51315,-10.3267,-1.16513,50,0.60056,2.89052,-103.50663,12.63324,1.61877,19.51636,-43.22151,ARI_WIL_SB,ARI_STA_SB,HillenbrandStad,D1,B12,20260320-HillenbrandStad-1,3954f340-24c2-11f1-8c1d-7f198b836294,100.80274,,,4.90682,,,,,,,21bef175-d695-42eb-a50e-7c94bba1e2e1,2026-03-21,01:06:42.21,2026-03-20T18:06:42.2151680-07:00,2026-03-21T01:06:42.2151680Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,eab7b96c-0482-47da-a259-2943ed7225d1,37.89306,-101.19809,9.75818,1.79253,7.5207,-21.61076,-0.81189,3.08199,0.80938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-20,18:06:57.90,2,3,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Avila, Yazzy",,Left,ARI_STA_SB,Undefined,1,Top,0,1,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.29457,4.222235,-1.530593,1105.9181,9.801469,6:15,1.69415,0.78185,4.97651,-36.84608,-9.65501,-1.78843,1.32713,-0.34533,64.30524,-5.544602,-1.996294,0.375305,,,,,,,,,,,,1.38618,-11.08938,-1.09119,50,0.55089,2.55408,-103.6132,12.40901,1.48221,19.95832,-44.03179,ARI_WIL_SB,ARI_STA_SB,HillenbrandStad,D1,B12,20260320-HillenbrandStad-1,429b5ed0-24c2-11f1-8c1d-7f198b836294,100.4314,,,4.98932,,,,,,,21bef175-d695-42eb-a50e-7c94bba1e2e1,2026-03-21,01:06:57.90,2026-03-20T18:06:57.9033088-07:00,2026-03-21T01:06:57.9033088Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,cbbfb5c1-3e3b-42ae-80d9-a90d6d150915,38.0223,-101.27974,9.97916,1.70077,7.26095,-22.0159,-0.78245,2.72737,0.74111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,,,2,4,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Avila, Yazzy",,Left,ARI_STA_SB,Undefined,1,Top,0,2,1,Other,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARI_WIL_SB,ARI_STA_SB,HillenbrandStad,D1,B12,20260320-HillenbrandStad-1,6893fb61-24c2-11f1-8c1d-7f198b836294,,,,,,,,,,,21bef175-d695-42eb-a50e-7c94bba1e2e1,,,,,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,6893fb60-24c2-11f1-8c1d-7f198b836294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-20,18:07:35.36,2,5,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Avila, Yazzy",,Left,ARI_STA_SB,Undefined,1,Top,0,2,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.47926,4.005157,-2.433565,2294.624046,359.97162,6:00,1.86447,0.77996,4.98185,-35.759,-8.84142,0.00469,1.44961,-0.77518,64.80142,-5.463128,-2.432342,0.373413,,,,,,,,,,,,-0.74595,-10.18729,-1.28921,50,0.76699,4.40889,-103.72681,11.96753,-0.80531,18.82224,-43.17208,ARI_WIL_SB,ARI_STA_SB,HillenbrandStad,D1,B12,20260320-HillenbrandStad-1,58ec90f0-24c2-11f1-8c1d-7f198b836294,100.94036,,,4.67785,,,,,,,21bef175-d695-42eb-a50e-7c94bba1e2e1,2026-03-21,01:07:35.36,2026-03-20T18:07:35.3620000-07:00,2026-03-21T01:07:35.3620000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,c66a9c23-61f0-4132-8c7a-7b48065d00b5,38.0172,-101.52913,9.41112,1.87003,6.92677,-21.58604,-0.77992,4.31487,-0.40266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-20,18:07:52.61,2,6,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Avila, Yazzy",,Left,ARI_STA_SB,Undefined,1,Top,0,3,2,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.9336,5.039887,0.941292,1945.720966,7.770702,6:15,1.69969,0.7118,5.04036,-37.66207,-9.97402,-1.47055,1.78435,1.18966,63.23132,-4.982508,0.557753,0.37872,,,,,,,,,,,,1.90165,-11.95485,-0.50515,50,0.37227,-1.87123,-103.2288,13.93104,1.99097,21.9421,-44.69042,ARI_WIL_SB,ARI_STA_SB,HillenbrandStad,D1,B12,20260320-HillenbrandStad-1,63399710-24c2-11f1-8c1d-7f198b836294,99.52599,,,5.70228,,,,,,,21bef175-d695-42eb-a50e-7c94bba1e2e1,2026-03-21,01:07:52.61,2026-03-20T18:07:52.6190080-07:00,2026-03-21T01:07:52.6190080Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,2ecb4abe-845d-4878-94ce-99a616ce551d,37.95791,-100.63661,10.97105,1.70619,8.65142,-22.34521,-0.71232,-1.63603,0.99549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-20,18:08:15.44,2,7,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Avila, Yazzy",,Left,ARI_STA_SB,Undefined,1,Top,0,3,2,Dropball,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,69.36629,3.995557,-1.036378,1693.560541,9.567978,6:15,1.66543,0.8479,4.87524,-35.2336,-8.07197,-1.47284,1.29374,0.06111,64.60489,-5.32061,-1.419046,0.375102,,,,,,,,,,,,1.22701,-9.2667,-1.054,50,0.59011,1.69866,-103.63185,11.77493,1.32018,19.03488,-42.1445,ARI_WIL_SB,ARI_STA_SB,HillenbrandStad,D1,B12,20260320-HillenbrandStad-1,70d5c830-24c2-11f1-8c1d-7f198b836294,100.48586,,,4.76141,,,,,,,21bef175-d695-42eb-a50e-7c94bba1e2e1,2026-03-21,01:08:15.44,2026-03-20T18:08:15.4490000-07:00,2026-03-21T01:08:15.4490000Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,021161d5-d040-46c4-be64-d0c6195706a5,38.12338,-101.42692,9.51744,1.67132,6.89307,-21.07225,-0.84837,1.85158,0.66009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.02366,2.625383,1.803264,0.822119,-1.13967,1.04017,0.00282,-0.2019,6.0247,-2.35638,49.54262,4.3729,-32.80379,-0.17137,65.28135,-5.8907,6.0308,7.64783,-11.76496,-2.37814,-40.38595,4.13558,High,High,High,,,High,Medium,High
9,2026-03-20,18:08:41.34,3,1,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Mejia, Ashleigh",100000004351,Left,ARI_STA_SB,Undefined,1,Top,1,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.92419,5.215929,-2.054047,1159.477087,357.358179,6:00,1.67038,0.85886,5.25014,-35.88537,-9.67756,0.47535,1.99883,-0.40462,65.12335,-4.345144,-1.929516,0.368457,,,,,,,,,,,,-1.12012,-11.46048,-1.3013,50,0.28006,3.79952,-104.25566,14.41564,-1.22442,18.6431,-44.70174,ARI_WIL_SB,ARI_STA_SB,HillenbrandStad,D1,B12,20260320-HillenbrandStad-1,80693570-24c2-11f1-8c1d-7f198b836294,102.29805,,,4.80084,,,,,,,21bef175-d695-42eb-a50e-7c94bba1e2e1,2026-03-21,01:08:41.34,2026-03-20T18:08:41.3489664-07:00,2026-03-21T01:08:41.3489664Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,6138d470-f3e5-49cc-8b5b-e3aa70b12712,37.74916,-102.04144,9.32155,1.6769,9.10646,-22.35087,-0.85867,3.65409,-0.61221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-20,18:08:57.15,3,2,"Holder, Rylie",100000003967,Right,ARI_WIL_SB,"Mejia, Ashleigh",100000004351,Left,ARI_STA_SB,Undefined,1,Top,1,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,70.02368,3.231762,-2.233638,2675.513699,14.1159,6:30,1.78678,0.82396,5.2297,-36.00888,-9.78819,-2.62847,0.84031,-0.81302,65.17384,-6.370536,-2.922967,0.368547,,,,,,,,,,,,2.08614,-11.13587,-1.28381,50,0.82526,3.75507,-104.85068,10.81578,2.28262,20.55843,-44.35858,ARI_WIL_SB,ARI_STA_SB,HillenbrandStad,D1,B12,20260320-HillenbrandStad-1,89af52e0-24c2-11f1-8c1d-7f198b836294,102.27301,,,4.84984,,,,,,,21bef175-d695-42eb-a50e-7c94bba1e2e1,2026-03-21,01:08:57.15,2026-03-20T18:08:57.1531776-07:00,2026-03-21T01:08:57.1531776Z,,V3 - Softball,,,,"Stewart, Sydney",100000003978,Right,ARI_WIL_SB,c74998e6-0b1a-4cb8-9f43-e8548905b79f,37.76928,-102.42449,10.27922,1.79278,5.58084,-22.17929,-0.82476,4.02445,1.14131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
