PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-20,18:03:31.48,1,1,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Townsend, Maia",100000000888,Left,STA_WOL_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,72.80667,3.728103,0.864711,1089.641149,354.223285,5:45,1.84148,-0.65153,5.68887,-35.18337,-11.28977,1.21236,1.24867,-0.00873,66.90738,-5.79568,1.18708,0.351813,,,,,,,,,,,,-0.99787,-13.30032,0.83464,50,0.73283,-1.48569,-109.46348,12.29922,-1.17002,25.36952,-47.76918,VIR_TEC_SB,STA_WOL_SB,TechSoftballPark,D1,ACC,20260320-TechSoftballPark-1,a23739f0-24a8-11f1-a283-653e54cadad6,107.13761,,,5.89929,,,,,,,4e888b7e-a6b7-4d05-97b7-3794ec67d4b8,2026-03-20,22:03:31.48,2026-03-20T18:03:31.4886656-04:00,2026-03-20T22:03:31.4886656Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,0b5fbaa3-f500-46d4-a961-6bdd1bf6e2ab,37.30947,-106.48168,12.68476,1.84846,6.68468,-23.88459,0.65193,-1.6232,-0.58501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-20,18:03:48.65,1,2,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Townsend, Maia",100000000888,Left,STA_WOL_SB,Undefined,1,Top,0,1,0,Dropball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,71.84265,4.059693,2.021155,1198.328419,4.774105,6:15,1.84115,-0.6586,5.54157,-37.43333,-12.58446,-1.11354,1.28133,0.52053,65.82251,-6.026814,1.72655,0.358777,,,,,,,,,,,,1.9926,-14.77457,1.10862,50,0.66248,-3.95726,-107.96396,12.95282,2.26465,25.28487,-48.9658,VIR_TEC_SB,STA_WOL_SB,TechSoftballPark,D1,ACC,20260320-TechSoftballPark-1,ac75e830-24a8-11f1-a283-653e54cadad6,105.05807,,,6.02014,,,,,,,4e888b7e-a6b7-4d05-97b7-3794ec67d4b8,2026-03-20,22:03:48.65,2026-03-20T18:03:48.6558720-04:00,2026-03-20T22:03:48.6558720Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,24ae7283-5356-4010-aac9-83ce4db04b6c,37.45702,-104.98533,12.64243,1.8486,7.18452,-24.4829,0.65816,-3.69048,1.13232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-20,18:04:08.32,1,3,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Townsend, Maia",100000000888,Left,STA_WOL_SB,Undefined,1,Top,0,1,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,70.2753,3.41669,1.621846,1092.988334,359.769509,6:00,1.85349,-0.53809,5.49997,-37.88167,-11.89961,0.05098,0.85185,0.48783,64.53818,-6.784208,1.635338,0.366867,,,,,,,,,,,,0.57386,-13.64044,0.89168,50,0.81984,-2.98597,-105.68843,11.50535,0.62516,24.19416,-47.0335,VIR_TEC_SB,STA_WOL_SB,TechSoftballPark,D1,ACC,20260320-TechSoftballPark-1,b8389e60-24a8-11f1-a283-653e54cadad6,102.74155,,,5.73712,,,,,,,4e888b7e-a6b7-4d05-97b7-3794ec67d4b8,2026-03-20,22:04:08.32,2026-03-20T18:04:08.3270656-04:00,2026-03-20T22:04:08.3270656Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,273c0e51-8705-4d36-9370-04f92553c667,37.49838,-102.78673,12.09708,1.86145,5.86444,-23.51675,0.53806,-2.91099,0.31258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-20,18:04:26.75,1,4,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Townsend, Maia",100000000888,Left,STA_WOL_SB,Undefined,1,Top,0,2,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,69.96101,1.894188,0.196037,1364.233187,197.557256,12:30,1.77386,-0.55949,5.67266,-22.30915,3.42835,0.85847,1.1024,-0.36508,64.53345,-4.218222,0.424246,0.365136,,,,,,,,,,,,-0.87331,3.51575,0.59665,50,1.15773,-0.244,-105.12929,6.78951,-0.95089,22.32163,-28.34599,VIR_TEC_SB,STA_WOL_SB,TechSoftballPark,D1,ACC,20260320-TechSoftballPark-1,c328c250-24a8-11f1-a283-653e54cadad6,103.22856,,,5.42755,,,,,,,4e888b7e-a6b7-4d05-97b7-3794ec67d4b8,2026-03-20,22:04:26.75,2026-03-20T18:04:26.7553280-04:00,2026-03-20T22:04:26.7553280Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,d8d87854-2788-47d3-b757-a5be4c4bd00e,37.32326,-102.40233,11.16082,1.77565,3.32657,-14.173,0.55974,-0.36017,-0.47545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-20,18:04:46.19,1,5,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Townsend, Maia",100000000888,Left,STA_WOL_SB,Undefined,1,Top,0,3,1,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.87722,5.016387,2.986217,1111.069366,358.403071,6:00,1.87899,-0.6549,5.4794,-37.81471,-12.07934,0.3585,1.90116,1.25839,64.75105,-5.150373,3.080623,0.365121,,,,,,,,,,,,0.77713,-14.29383,1.30371,50,0.50313,-5.49844,-106.26122,14.48306,0.85562,24.48402,-47.91191,VIR_TEC_SB,STA_WOL_SB,TechSoftballPark,D1,ACC,20260320-TechSoftballPark-1,cebe26f0-24a8-11f1-a283-653e54cadad6,103.23275,,,6.12617,,,,,,,4e888b7e-a6b7-4d05-97b7-3794ec67d4b8,2026-03-20,22:04:46.19,2026-03-20T18:04:46.1995520-04:00,2026-03-20T22:04:46.1995520Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,05c0dc1c-cb4f-46e7-b353-487af7e3612a,37.51862,-103.34533,12.24201,1.8882,8.77707,-23.95596,0.65495,-5.39654,0.42781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-20,18:05:17.00,1,6,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Townsend, Maia",100000000888,Left,STA_WOL_SB,Undefined,1,Top,0,3,2,Dropball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,72.0134,4.852991,1.995487,1106.331362,357.871917,6:00,1.87282,-0.6078,5.79317,-34.59892,-10.38316,0.41039,2.03015,0.6734,66.39209,-4.524809,2.104678,0.354177,,,,,,,,,,,,0.24882,-12.52603,1.0507,50,0.50291,-3.70278,-107.88164,14.26528,0.28613,22.99617,-46.57932,VIR_TEC_SB,STA_WOL_SB,TechSoftballPark,D1,ACC,20260320-TechSoftballPark-1,e128a900-24a8-11f1-a283-653e54cadad6,106.42253,,,5.62132,,,,,,,4e888b7e-a6b7-4d05-97b7-3794ec67d4b8,2026-03-20,22:05:17.00,2026-03-20T18:05:17.0080000-04:00,2026-03-20T22:05:17.0080000Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,a7d7f8cc-e960-42b0-bda4-499c413ed9b0,37.20519,-105.1189,11.49808,1.88058,8.6693,-23.28966,0.60791,-3.6684,0.14306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3358,2.191847,1.10464,1.087207,-1.78684,1.75141,-0.7914,-3.15605,4.60019,0.31118,53.67305,4.0738,-28.68745,-3.14478,54.94123,-2.48882,4.62366,16.0453,-15.2811,0.29036,-30.10506,3.21846,High,High,High,,,High,High,High
7,2026-03-20,18:05:42.89,2,1,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Short, Carly",1000000001267,Right,STA_WOL_SB,Undefined,1,Top,1,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.45589,6.646243,1.143118,1150.410033,2.063718,6:00,1.89508,-0.60957,5.40621,-37.93774,-12.55792,-0.47925,2.94988,0.07237,65.27587,-3.51362,1.017108,0.36259,,,,,,,,,,,,0.92744,-15.23587,0.85999,50,0.17352,-2.1907,-106.78889,17.60465,1.03918,23.47494,-49.24546,VIR_TEC_SB,STA_WOL_SB,TechSoftballPark,D1,ACC,20260320-TechSoftballPark-1,f093a6b0-24a8-11f1-a283-653e54cadad6,103.95339,,,6.18003,,,,,,,4e888b7e-a6b7-4d05-97b7-3794ec67d4b8,2026-03-20,22:05:42.89,2026-03-20T18:05:42.8939264-04:00,2026-03-20T22:05:42.8939264Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,5ebb4e24-5b78-4327-8d97-8f7151ce4da5,37.59232,-104.02561,11.73747,1.90463,11.80787,-24.62273,0.60932,-2.06837,0.51959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-20,18:06:01.72,2,2,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Short, Carly",1000000001267,Right,STA_WOL_SB,Undefined,1,Top,1,0,1,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,71.22775,5.074503,-1.462256,1401.840394,272.686245,3:00,1.78632,-0.61256,5.76019,-24.36777,0.63819,1.99662,2.93778,-1.36062,65.01271,-1.599888,-0.931481,0.359909,,,,,,,,,,,,-2.70752,-0.63543,0.27384,50,0.44452,2.98557,-106.73479,13.093,-3.02132,23.95908,-32.88313,VIR_TEC_SB,STA_WOL_SB,TechSoftballPark,D1,ACC,20260320-TechSoftballPark-1,fbc98630-24a8-11f1-a283-653e54cadad6,104.72762,,,6.21503,,,,,,,4e888b7e-a6b7-4d05-97b7-3794ec67d4b8,2026-03-20,22:06:01.72,2026-03-20T18:06:01.7292288-04:00,2026-03-20T22:06:01.7292288Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,741ca8f6-78c1-4d41-8e7c-26eb42631404,37.23403,-103.82964,11.97954,1.79037,9.10576,-16.44156,0.61364,2.61923,-1.51066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-20,18:06:18.40,2,3,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Short, Carly",1000000001267,Right,STA_WOL_SB,Undefined,1,Top,1,1,1,Dropball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,71.89649,4.6813,0.079367,1128.144064,348.058818,5:30,1.86666,-0.66807,5.43808,-36.54782,-11.63398,2.61599,1.78082,-0.4,65.88015,-5.144183,0.769649,0.359246,50.23943,47.332729,75.467541,1433.835001,,,,112.46538,50.29702,85.09511,2.800416,-2.78772,-13.84552,0.66837,50,0.57246,0.19108,-107.91833,13.94153,-3.17696,24.66427,-47.95279,VIR_TEC_SB,STA_WOL_SB,TechSoftballPark,D1,ACC,20260320-TechSoftballPark-1,05c18e80-24a9-11f1-a283-653e54cadad6,104.92105,35.75266,,6.01634,,,,0.82094,1.32969,0.24438,4e888b7e-a6b7-4d05-97b7-3794ec67d4b8,2026-03-20,22:06:18.40,2026-03-20T18:06:18.4008192-04:00,2026-03-20T22:06:18.4008192Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,427e1f29-1595-4fa3-8bb7-22f8427998c4,37.56034,-105.03683,12.33214,1.87398,8.33925,-23.97639,0.66902,-0.18008,-1.58848,223.65659,0.82081,12.53649,-6.79645,2.09703,-0.58614,0.17204,-0.03333,0.00229,9E-05,1.32976,54.17679,-23.84917,2.37454,-0.3487,0.00448,0.01132,-0.00305,0.00031,0.24426,48.3465,-6.25087,1.94071,-0.52848,0.15856,-0.03145,0.00198,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026-03-20,18:06:39.30,2,4,"Mazzarone, Emma",1000000000422,Left,VIR_TEC_SB,"Short, Carly",1000000001267,Right,STA_WOL_SB,Undefined,1,Top,1,1,2,Changeup,,InPlay,Undefined,GroundBall,Out,1,0,,57.64578,5.334408,-0.631096,1354.221635,332.932084,5:00,1.7675,-0.60843,4.76526,-46.9605,-6.67697,4.01221,1.29216,-0.67963,52.98671,-7.101122,0.407468,0.45681,52.06384,-1.940379,-35.681098,,,,,17.57448,16.55374,-30.199603,0.213522,-4.46477,-8.52095,0.45521,50,0.34481,1.34232,-86.26449,12.99104,-3.25927,15.49046,-38.39432,VIR_TEC_SB,STA_WOL_SB,TechSoftballPark,D1,ACC,20260320-TechSoftballPark-1,12382b60-24a9-11f1-a283-653e54cadad6,82.51238,1.34606,,4.65907,,,,2.04654,1.34606,0.66247,4e888b7e-a6b7-4d05-97b7-3794ec67d4b8,2026-03-20,22:06:39.30,2026-03-20T18:06:39.3004032-04:00,2026-03-20T22:06:39.3004032Z,,V3 - Softball,,,,"Yaeger, Zoe",1000000000428,Right,VIR_TEC_SB,0bde3a5c-8ce3-4960-92fb-0ea4cea516bc,38.23322,-84.12501,7.74523,1.77288,7.68816,-19.19716,0.60951,0.89217,-1.62963,44.164258,2.04648,61.99388,-2.0665,,,,,,,1.34618,-2.59278,-17.38664,,,,,,,0.66254,-44.5171,0.05626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
