PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-21,13:03:56.69,1,1,"Mullen, Ava",100000004342,Right,IOW_STA_SB,"Hartley, Maddie",1000000000259,Right,UNI_HOU_SB,Undefined,1,Top,0,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.22131,4.160171,-0.788554,1305.844634,114.965272,9:45,1.57243,0.14206,5.73371,-27.31127,2.42504,-3.3824,1.90432,-0.63323,59.80304,-3.329921,-1.687745,0.392478,,,,,,,,,,,,3.38075,1.73819,-0.2947,50,0.40888,0.93667,-97.84467,10.85926,3.17658,19.86078,-30.54085,IOW_STA_SB,UNI_HOU_SB,CycloneSC,D1,B12,20260321-CycloneSC-1,549cf560-2550-11f1-b8aa-ff34bdf35e3c,96.03712,,,5.41828,,,,,,,2665c65e-6045-4e92-844a-2f1734b51231,2026-03-21,18:03:56.69,2026-03-21T13:03:56.6920000-05:00,2026-03-21T18:03:56.6920000Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,efd0b1bd-530d-4e9a-b18b-ecbd84875852,37.26077,-95.22372,9.93039,1.576,6.8289,-15.27043,-0.14344,1.35587,1.58829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-21,13:04:16.17,1,2,"Mullen, Ava",100000004342,Right,IOW_STA_SB,"Hartley, Maddie",1000000000259,Right,UNI_HOU_SB,Undefined,1,Top,0,0,1,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.85814,5.575198,-2.40198,1171.025745,76.596017,8:30,1.62985,0.12685,5.39514,-30.56088,0.23882,-2.67417,2.61869,-1.61399,59.35039,-2.693367,-3.104226,0.399434,,,,,,,,,,,,1.97236,-1.13268,-0.63052,50,0.17663,3.76097,-96.93121,13.40245,1.82173,19.27219,-33.22021,IOW_STA_SB,UNI_HOU_SB,CycloneSC,D1,B12,20260321-CycloneSC-1,6037b130-2550-11f1-b8aa-ff34bdf35e3c,94.36474,,,5.50775,,,,,,,2665c65e-6045-4e92-844a-2f1734b51231,2026-03-21,18:04:16.17,2026-03-21T13:04:16.1763840-05:00,2026-03-21T18:04:16.1763840Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,2be1c01e-165f-4123-955f-a09f835be9fe,37.59972,-94.43357,9.6361,1.63459,9.09717,-16.61011,-0.1278,3.99706,0.91086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-21,13:04:32.50,1,3,"Mullen, Ava",100000004342,Right,IOW_STA_SB,"Hartley, Maddie",1000000000259,Right,UNI_HOU_SB,Undefined,1,Top,0,1,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,58.933,5.831253,-0.747046,1207.375719,87.525307,9:00,1.61783,0.0128,5.54512,-36.04738,0.63835,-7.24394,2.29469,-1.06077,54.39904,-3.944957,-2.659687,0.435933,,,,,,,,,,,,7.58217,-0.58579,-0.12795,50,0.03387,0.35789,-88.0006,13.35998,5.83054,14.74421,-32.6245,IOW_STA_SB,UNI_HOU_SB,CycloneSC,D1,B12,20260321-CycloneSC-1,69f8cb00-2550-11f1-b8aa-ff34bdf35e3c,86.46378,,,4.53396,,,,,,,2665c65e-6045-4e92-844a-2f1734b51231,2026-03-21,18:04:32.50,2026-03-21T13:04:32.5072896-05:00,2026-03-21T18:04:32.5072896Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,264b52f6-6fb8-436e-9650-f466ddebc870,37.45113,-85.87234,7.37211,1.62245,8.65079,-16.31225,-0.01554,1.1995,2.91527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-21,13:04:50.71,1,4,"Mullen, Ava",100000004342,Right,IOW_STA_SB,"Hartley, Maddie",1000000000259,Right,UNI_HOU_SB,Undefined,1,Top,0,1,2,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.68188,5.452761,-1.880326,1259.909,109.553204,9:45,1.68838,0.16354,5.56601,-27.32324,2.29099,-4.1889,2.8514,-1.36797,60.31562,-1.985314,-2.98637,0.391671,,,,,,,,,,,,3.85382,1.15736,-0.54885,50,0.25745,2.7206,-98.16344,13.07492,3.66777,19.10526,-31.07254,IOW_STA_SB,UNI_HOU_SB,CycloneSC,D1,B12,20260321-CycloneSC-1,74ced740-2550-11f1-b8aa-ff34bdf35e3c,96.23494,,,5.36626,,,,,,,2665c65e-6045-4e92-844a-2f1734b51231,2026-03-21,18:04:50.71,2026-03-21T13:04:50.7163136-05:00,2026-03-21T18:04:50.7163136Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,13c5957d-7f24-40f6-9f56-37e0867a7974,37.42886,-95.68548,9.55263,1.69192,9.04479,-15.53627,-0.16514,3.19631,1.83388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-21,13:05:14.93,1,5,"Mullen, Ava",100000004342,Right,IOW_STA_SB,"Hartley, Maddie",1000000000259,Right,UNI_HOU_SB,Undefined,1,Top,0,2,2,Screwball,,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,65.27477,3.066187,1.126372,1275.044048,87.292678,9:00,1.61752,0.06419,5.40957,-29.85474,0.69697,-6.5354,1.06769,0.2308,59.25061,-5.064977,-0.597258,0.397822,66.10187,19.10759,-40.086518,1824.660638,79.18154,11.86632,-76.356,147.79087,147.05938,-45.681332,1.863788,7.51445,0.00146,0.22113,50,0.71661,-2.69325,-98.32483,9.11971,6.99555,22.69403,-32.1727,IOW_STA_SB,UNI_HOU_SB,CycloneSC,D1,B12,20260321-CycloneSC-1,8335f980-2550-11f1-b8aa-ff34bdf35e3c,94.74692,14.9251,,6.02417,,,,1.75772,1.20811,-0.26211,2665c65e-6045-4e92-844a-2f1734b51231,2026-03-21,18:05:14.93,2026-03-21T13:05:14.9398016-05:00,2026-03-21T18:05:14.9398016Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,ba977e51-69b6-4ae1-8cf0-3c0ebb045e74,37.58569,-95.41652,11.34701,1.62114,4.99667,-16.08635,-0.06658,-1.79675,3.49777,99.261468,1.75773,70.0856,-10.34307,1.48424,-0.16316,-0.16932,0.14377,-0.05468,0.00833,1.20811,31.736,-19.48784,1.51017,-0.31871,0.11427,-0.05157,0.01774,-0.00266,-0.26211,-58.98993,0.76892,0.4511,-0.18823,0.10897,-0.06045,0.02191,-0.0033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-21,13:05:44.46,1,6,"Mullen, Ava",100000004342,Right,IOW_STA_SB,"Hartley, Maddie",1000000000259,Right,UNI_HOU_SB,Undefined,1,Top,0,2,2,Dropball,,InPlay,Undefined,LineDrive,Single,0,0,,66.30647,4.617377,-1.051227,1273.195874,88.05737,9:00,1.59074,0.2015,5.28359,-28.67683,0.58953,-4.7937,2.13319,-0.86406,61.31097,-3.109321,-2.309114,0.389364,73.62266,14.478866,2.222734,1991.863557,109.8926,12.1134,4.85138,157.96896,157.18872,2.227236,1.873544,4.81122,-0.42878,-0.39522,50,0.36858,1.23794,-99.1171,11.81278,4.702,18.44216,-32.5931,IOW_STA_SB,UNI_HOU_SB,CycloneSC,D1,B12,20260321-CycloneSC-1,94d73820-2550-11f1-b8aa-ff34bdf35e3c,96.80519,13.76797,,4.99549,,,,0.66774,2.12864,0.8419,2665c65e-6045-4e92-844a-2f1734b51231,2026-03-21,18:05:44.46,2026-03-21T13:05:44.4664320-05:00,2026-03-21T18:05:44.4664320Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,bf5929b0-78b3-4d61-b953-138c38ec3554,37.71307,-96.80394,9.22108,1.59385,7.72471,-16.29655,-0.20296,1.8277,2.351,181.239838,0.66774,104.47154,-15.53525,3.35403,-0.66332,0.11633,-0.01555,0.0009,7E-05,2.12864,26.99755,-16.31566,0.83545,-0.10558,0.02902,-0.01366,0.00474,-0.00063,0.8419,4.05499,-0.49667,-0.18292,0.07629,-0.01148,-0.00315,0.00184,-0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-03-21,13:06:18.97,2,1,"Mullen, Ava",100000004342,Right,IOW_STA_SB,"Mitchell, Makenna",1000000000257,Right,UNI_HOU_SB,Undefined,1,Top,0,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.91971,3.669481,-0.141128,1124.463991,89.953912,9:00,1.5602,0.07895,5.51057,-34.20864,0.8128,-5.49374,1.02292,-0.46771,56.06456,-5.577418,-1.593719,0.42593,,,,,,,,,,,,5.97335,0.29307,-0.06968,50,0.46422,-0.41679,-89.57195,10.03789,4.81797,13.80741,-31.93767,IOW_STA_SB,UNI_HOU_SB,CycloneSC,D1,B12,20260321-CycloneSC-1,a9692e10-2550-11f1-b8aa-ff34bdf35e3c,88.49445,,,3.85515,,,,,,,2665c65e-6045-4e92-844a-2f1734b51231,2026-03-21,18:06:18.97,2026-03-21T13:06:18.9722624-05:00,2026-03-21T18:06:18.9722624Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,69c56a76-7fd6-4a81-8539-c0b5b4d8eb39,37.48687,-87.62184,6.9037,1.56339,5.52712,-15.96884,-0.0805,0.26368,2.40899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-21,13:06:34.78,2,2,"Mullen, Ava",100000004342,Right,IOW_STA_SB,"Mitchell, Makenna",1000000000257,Right,UNI_HOU_SB,Undefined,1,Top,0,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,65.85372,2.942348,-1.307958,1293.013186,84.171248,8:45,1.68624,0.12714,5.31019,-29.2462,0.47575,-3.46784,1.11394,-0.99004,60.72309,-4.957564,-2.219668,0.392383,,,,,,,,,,,,3.24819,-0.00642,-0.38605,50,0.8222,1.84472,-98.78556,8.90374,3.12254,19.7197,-32.18024,IOW_STA_SB,UNI_HOU_SB,CycloneSC,D1,B12,20260321-CycloneSC-1,b2d08f20-2550-11f1-b8aa-ff34bdf35e3c,96.06037,,,5.13063,,,,,,,2665c65e-6045-4e92-844a-2f1734b51231,2026-03-21,18:06:34.78,2026-03-21T13:06:34.7841024-05:00,2026-03-21T18:06:34.7841024Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,d86e6b75-b936-4a7b-872f-0faad338b1e2,37.68566,-96.29598,9.85985,1.68983,4.84105,-16.09012,-0.12828,2.23893,1.56127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-21,13:06:51.62,2,3,"Mullen, Ava",100000004342,Right,IOW_STA_SB,"Mitchell, Makenna",1000000000257,Right,UNI_HOU_SB,Undefined,1,Top,0,2,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,63.05193,5.797799,-2.039081,1446.781683,110.029904,9:45,1.59426,0.06026,5.59684,-29.01734,2.86831,-5.71949,2.83244,-1.69762,58.32737,-2.087503,-3.549594,0.406415,,,,,,,,,,,,5.55504,1.84016,-0.46957,50,0.06243,2.67051,-94.00421,13.38975,4.90003,16.14189,-30.55088,IOW_STA_SB,UNI_HOU_SB,CycloneSC,D1,B12,20260321-CycloneSC-1,bce08c40-2550-11f1-b8aa-ff34bdf35e3c,92.74382,,,4.72456,,,,,,,2665c65e-6045-4e92-844a-2f1734b51231,2026-03-21,18:06:51.62,2026-03-21T13:06:51.6239360-05:00,2026-03-21T18:06:51.6239360Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,d605cfdb-761f-49e5-9168-360d9a6725ca,37.39887,-91.81492,8.07095,1.59747,9.2462,-15.27544,-0.06231,3.33509,2.45001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-21,13:07:36.23,2,4,"Mullen, Ava",100000004342,Right,IOW_STA_SB,"Mitchell, Makenna",1000000000257,Right,UNI_HOU_SB,Undefined,1,Top,0,3,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.80872,3.077318,0.217807,1302.113305,116.780296,10:00,1.6979,0.14811,5.54973,-26.32454,2.81862,-4.10677,1.44141,-0.05714,61.04401,-4.085163,-0.869572,0.388544,,,,,,,,,,,,4.53933,2.57099,-0.07181,50,0.79702,-0.88612,-98.58428,8.92366,4.39228,18.12861,-29.68634,IOW_STA_SB,UNI_HOU_SB,CycloneSC,D1,B12,20260321-CycloneSC-1,d7777e60-2550-11f1-b8aa-ff34bdf35e3c,97.00957,,,4.76471,,,,,,,2665c65e-6045-4e92-844a-2f1734b51231,2026-03-21,18:07:36.23,2026-03-21T13:07:36.2344960-05:00,2026-03-21T18:07:36.2344960Z,,V3 - Softball,,,,"Ford, Karlee",100000001536,Right,IOW_STA_SB,536c5d08-8b5a-40f5-9709-dee4ff558c2c,37.44625,-96.2481,9.0643,1.70049,5.09807,-14.84317,-0.14953,-0.3201,2.19614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
