PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-22,12:04:40.06,1,1,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Cox, Jacquelyn",100000004717,Left,VIL_WIL_SB,Undefined,1,Top,0,0,0,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,59.44296,4.070607,0.990129,1652.168471,101.256994,9:30,1.96479,0.88216,8.38997,-33.09978,2.21201,-7.84532,1.78262,0.85391,56.37833,-4.810871,-1.076427,0.427692,,,,,,,,,,,,8.78729,1.94095,-0.61012,50,0.79715,-2.43934,-88.39429,10.4416,7.06903,10.62126,-30.61262,CRE_UNI_SB,VIL_WIL_SB,CreightonSoftballField,D1,BEAST,20260322-CreightonSoftballField-1,3735d390-2611-11f1-9200-eb297e421dc0,88.12983,,,3.06463,,,,,,,f982215b-0a0a-4a6b-b509-0daf174112b3,2026-03-22,17:04:40.06,2026-03-22T12:04:40.0610000-05:00,2026-03-22T17:04:40.0610000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,b7286368-9f0f-4467-ad0d-516633383d2b,37.60878,-86.89263,5.31063,1.96745,6.11353,-15.30631,-0.88435,-1.43991,3.53451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-22,12:05:23.17,1,2,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Cox, Jacquelyn",100000004717,Left,VIL_WIL_SB,Undefined,1,Top,0,0,1,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.14181,6.58526,1.145445,1576.7673,102.573231,9:30,1.88992,0.90514,8.14108,-32.88998,2.8587,-9.18926,3.35703,0.86802,55.89208,-2.214273,-1.253324,0.43033,,,,,,,,,,,,10.30351,1.52945,-0.59782,50,0.22071,-2.82315,-89.37356,14.29804,8.30159,13.34545,-30.94177,CRE_UNI_SB,VIL_WIL_SB,CreightonSoftballField,D1,BEAST,20260322-CreightonSoftballField-1,50d82c80-2611-11f1-9200-eb297e421dc0,87.58969,,,4.24973,,,,,,,f982215b-0a0a-4a6b-b509-0daf174112b3,2026-03-22,17:05:23.17,2026-03-22T12:05:23.1710000-05:00,2026-03-22T17:05:23.1710000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,9aca655c-4ec6-457d-aa9d-92ae3fa7233b,37.85772,-87.54167,6.67273,1.89184,10.05076,-15.47089,-0.90713,-1.68361,4.1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-22,12:05:43.37,1,3,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Cox, Jacquelyn",100000004717,Left,VIL_WIL_SB,Undefined,1,Top,0,0,2,Riseball,,InPlay,Undefined,GroundBall,Single,0,0,,59.66645,7.283316,0.872566,1488.324273,97.398948,9:15,1.93964,0.83563,8.15352,-34.16982,1.5311,-7.2491,3.74878,0.78638,56.42208,-1.784576,-1.019633,0.430042,60.03148,2.728605,-0.192957,4324.024771,,,,53.24635,52.18907,-2.138306,0.616019,8.11748,0.39862,-0.59544,50,0.09816,-2.1907,-88.08951,15.47119,6.53897,9.55769,-31.85295,CRE_UNI_SB,VIL_WIL_SB,CreightonSoftballField,D1,BEAST,20260322-CreightonSoftballField-1,5cdaaad0-2611-11f1-9200-eb297e421dc0,87.64821,4.03166,,3.24437,,,,3.62904,3.78441,-0.78753,f982215b-0a0a-4a6b-b509-0daf174112b3,2026-03-22,17:05:43.37,2026-03-22T12:05:43.3770000-05:00,2026-03-22T17:05:43.3770000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,552ee13b-32b0-4ea5-83db-bef44cb54aa5,37.84624,-86.76081,4.77885,1.94115,11.04303,-15.92647,-0.8368,-1.28165,3.26949,69.537918,3.64936,87.4969,-11.48539,,,,,,,3.80217,3.80236,-16.23578,,,,,,,-0.7797,-0.46954,-2.43729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-03-22,12:06:13.31,2,1,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Runco, Maranda",100000001221,Left,VIL_WIL_SB,Undefined,1,Top,0,0,0,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.99686,7.052505,1.230502,1698.040022,85.265951,8:45,1.97623,0.92574,8.45548,-34.84289,0.00091,-7.60067,3.54333,1.06838,56.52397,-2.279862,-0.769268,0.424849,,,,,,,,,,,,8.55595,-1.1187,-0.60286,50,0.13262,-2.7903,-88.74877,15.39082,6.95052,10.49186,-33.08282,CRE_UNI_SB,VIL_WIL_SB,CreightonSoftballField,D1,BEAST,20260322-CreightonSoftballField-1,6ec01e60-2611-11f1-9200-eb297e421dc0,88.71972,,,3.47289,,,,,,,f982215b-0a0a-4a6b-b509-0daf174112b3,2026-03-22,17:06:13.31,2026-03-22T12:06:13.3120000-05:00,2026-03-22T17:06:13.3120000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,9d9b414d-bb86-4724-8219-d5c6f1442bff,37.54366,-87.26376,5.24593,1.97965,10.7083,-16.54141,-0.92818,-1.80653,3.47526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-22,12:06:27.72,2,2,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Runco, Maranda",100000001221,Left,VIL_WIL_SB,Undefined,1,Top,0,1,0,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,54.8704,7.64672,0.04146,1025.933363,24.545159,6:45,1.97161,0.74827,8.27874,-48.94959,-6.46036,-3.3641,2.76678,0.4942,51.37578,-5.390609,-0.83945,0.469149,51.35151,51.923948,-134.604246,3178.371865,,,,,20.61459,,,3.66071,-8.52477,-0.71557,50,-0.07488,-0.40802,-81.30211,16.34554,2.4635,10.11932,-37.91085,CRE_UNI_SB,VIL_WIL_SB,CreightonSoftballField,D1,BEAST,20260322-CreightonSoftballField-1,77516ac0-2611-11f1-9200-eb297e421dc0,80.34213,25.66886,,3.49462,,,,1.7189,2.85968,-0.54761,f982215b-0a0a-4a6b-b509-0daf174112b3,2026-03-22,17:06:27.72,2026-03-22T12:06:27.7210000-05:00,2026-03-22T17:06:27.7210000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,a076efd7-57e8-472a-bc61-4ca9ac56bf46,37.72198,-79.75928,5.05966,1.9766,10.5655,-18.95542,-0.74914,-0.03243,1.23175,36.98753,1.72977,-32.92573,-1.51857,,,,,,,2.87717,58.79818,-23.9272,,,,,,,-0.56036,-32.71164,7.14108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2026-03-22,12:06:47.19,2,3,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Runco, Maranda",100000001221,Left,VIL_WIL_SB,Undefined,1,Top,0,1,1,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.8567,6.00492,0.146491,1661.444771,77.068465,8:30,1.85721,0.9816,8.0953,-35.14707,-0.96339,-6.59055,2.7666,0.52568,57.86461,-3.306672,-1.572427,0.420805,60.18247,58.00067,-126.922616,3249.530425,,,,,15.15142,,,7.21339,-2.00886,-0.90133,50,0.29448,-1.01328,-90.056,13.85602,6.08761,9.68558,-33.86938,CRE_UNI_SB,VIL_WIL_SB,CreightonSoftballField,D1,BEAST,20260322-CreightonSoftballField-1,82f43ce0-2611-11f1-9200-eb297e421dc0,89.57228,25.02055,,2.9921,,,,1.58277,2.82134,-0.50147,f982215b-0a0a-4a6b-b509-0daf174112b3,2026-03-22,17:06:47.19,2026-03-22T12:06:47.1990000-05:00,2026-03-22T17:06:47.1990000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,1db0ca7a-cece-49d1-a5b3-c3e0fbb5a0d4,37.90485,-88.74562,4.84279,1.85911,9.27379,-16.93469,-0.9827,-0.18968,3.0438,28.314013,1.59051,-28.40392,-4.93694,,,,,,,2.8311,74.47551,-28.9375,,,,,,,-0.50613,-37.21195,7.87899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-03-22,12:07:07.35,2,4,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Runco, Maranda",100000001221,Left,VIL_WIL_SB,Undefined,1,Top,0,1,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.08583,8.341448,0.429368,1666.859254,126.63776,10:15,1.94771,0.75977,8.49205,-29.60143,5.67465,-6.64386,4.773,0.47659,55.80554,0.363619,-1.319896,0.427476,,,,,,,,,,,,7.28445,4.45736,-0.62117,50,-0.14547,-1.40911,-88.82866,16.78173,5.83682,12.38522,-28.60248,CRE_UNI_SB,VIL_WIL_SB,CreightonSoftballField,D1,BEAST,20260322-CreightonSoftballField-1,8efa3da0-2611-11f1-9200-eb297e421dc0,88.17441,,,4.28029,,,,,,,f982215b-0a0a-4a6b-b509-0daf174112b3,2026-03-22,17:07:07.35,2026-03-22T12:07:07.3500000-05:00,2026-03-22T17:07:07.3500000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,32f49131-fe59-4238-acf4-95a4b97a9c30,37.50423,-87.06897,6.19261,1.95018,12.71788,-14.30124,-0.76246,-0.57981,2.91841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-22,12:07:22.69,2,5,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Runco, Maranda",100000001221,Left,VIL_WIL_SB,Undefined,1,Top,0,2,2,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,63.32727,5.712601,1.963839,1353.758693,38.932815,7:15,1.90458,1.019,7.77242,-42.48939,-9.47205,-8.33552,2.04843,1.5866,58.68013,-5.483622,-0.191793,0.413564,57.01394,30.393412,-59.577987,3621.825739,,,,115.65556,54.4727,-62.771945,2.143355,9.35182,-11.24457,-0.56695,50,0.43572,-4.13147,-94.39528,14.3605,8.32398,16.18146,-42.18275,CRE_UNI_SB,VIL_WIL_SB,CreightonSoftballField,D1,BEAST,20260322-CreightonSoftballField-1,980aa510-2611-11f1-9200-eb297e421dc0,91.1406,21.9852,,4.64714,,,,0.78412,1.71496,-1.2491,f982215b-0a0a-4a6b-b509-0daf174112b3,2026-03-22,17:07:22.69,2026-03-22T12:07:22.6930000-05:00,2026-03-22T17:07:22.6930000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,c1fe9e08-e705-437e-a758-31a03a61086f,38.22805,-92.35526,8.09073,1.91094,9.04246,-21.09138,-1.02165,-3.08206,4.16199,,0.78412,36.52343,-9.60319,2.96163,-0.76197,0.14077,-0.01658,-0.00095,0.00073,1.71495,42.30672,-24.4508,2.90865,-0.59448,0.13137,-0.03692,0.00959,-0.00116,-1.24911,-62.19709,7.62037,-0.26925,-0.2341,0.21612,-0.11354,0.0383,-0.00544,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-03-22,12:07:45.14,2,6,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Runco, Maranda",100000001221,Left,VIL_WIL_SB,Undefined,1,Top,0,2,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.27466,6.766763,0.876226,1740.956162,123.2853,10:00,1.91358,0.98154,8.32645,-30.0984,6.04752,-7.55229,3.70801,0.90671,54.62627,-1.424013,-1.104825,0.432714,75.30944,46.002367,31.475991,2144.629677,,,,,79.45959,,,8.5328,4.33957,-0.74303,50,0.20307,-2.20257,-90.12203,14.33814,6.73966,17.92357,-28.74642,CRE_UNI_SB,VIL_WIL_SB,CreightonSoftballField,D1,BEAST,20260322-CreightonSoftballField-1,a57035d0-2611-11f1-9200-eb297e421dc0,87.10701,75.91135,,5.64839,,,,2.35848,3.93673,-0.8862,f982215b-0a0a-4a6b-b509-0daf174112b3,2026-03-22,17:07:45.14,2026-03-22T12:07:45.1400000-05:00,2026-03-22T17:07:45.1400000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,66bae8f4-06b1-44b8-aa0d-a38f50edb42f,37.67014,-87.63555,8.96179,1.91554,10.35025,-14.37321,-0.98374,-1.2676,3.36983,200.559961,2.35848,65.435,-19.6056,5.73229,-1.37653,0.30574,-0.06425,0.01072,-0.00097,3.93673,79.4569,-20.65698,1.14904,0.05916,-0.08016,0.02776,-0.00593,0.00071,-0.8862,40.06091,-4.787,0.72528,-0.04764,-0.0141,0.00701,-0.00175,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-03-22,12:08:14.37,2,7,"Gilman, Audrey",100000000559,Right,CRE_UNI_SB,"Runco, Maranda",100000001221,Left,VIL_WIL_SB,Undefined,1,Top,0,2,2,Changeup,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,55.99182,6.155897,-0.394702,755.261432,30.356116,7:00,1.91445,0.75874,8.3194,-47.60471,-6.86528,-4.57398,1.85885,0.12775,52.3521,-6.570322,-1.595875,0.459387,,,,,,,,,,,,4.81677,-8.59063,-0.81261,50,0.20641,0.09917,-83.38837,14.33373,3.3747,11.73597,-38.19273,CRE_UNI_SB,VIL_WIL_SB,CreightonSoftballField,D1,BEAST,20260322-CreightonSoftballField-1,b6f49da0-2611-11f1-9200-eb297e421dc0,82.04943,,,3.63972,,,,,,,f982215b-0a0a-4a6b-b509-0daf174112b3,2026-03-22,17:08:14.37,2026-03-22T12:08:14.3750000-05:00,2026-03-22T17:08:14.3750000Z,,V3 - Softball,,,,"West, Lily",1000000000688,Right,CRE_UNI_SB,55710a98-d1d6-4457-b154-27e8649fac21,37.68104,-81.63621,5.86799,1.92076,8.63161,-19.09637,-0.76019,0.60301,1.68735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
