PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-22,12:05:00.16,1,1,"Barber, Blakely",100000003236,Right,UNI_KAN_SB,"Gomez, Mia",100000002957,Right,UNI_UTA_SB,Undefined,1,Top,0,0,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.61073,8.138123,1.040106,1166.786886,51.955501,7:45,1.72583,0.35357,5.8047,-35.24203,-5.84473,-8.81343,3.90619,0.26869,59.30585,-1.481193,-1.299168,0.390234,,,,,,,,,,,,9.80552,-9.03166,-0.07314,50,-0.37541,-2.79786,-99.72576,18.83177,9.29762,24.73313,-40.73788,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260322-ArrochaBallpark-1,432edc00-2611-11f1-a2be-81065d3f0d67,96.58932,,,7.30488,,,,,,,0aa592d4-4fbe-458b-b831-404e10d88127,2026-03-22,17:05:00.16,2026-03-22T12:05:00.1630000-05:00,2026-03-22T17:05:00.1630000Z,,V3 - Softball,,,,"Amezcua, Bailey",100000000103,Right,UNI_KAN_SB,09d6c722-95a1-4383-bb2c-a444ca03caed,37.18876,-96.49613,12.36657,1.73632,13.51225,-20.36894,-0.35922,-1.58378,4.64881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-22,12:05:15.26,1,2,"Barber, Blakely",100000003236,Right,UNI_KAN_SB,"Gomez, Mia",100000002957,Right,UNI_UTA_SB,Undefined,1,Top,0,1,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.25919,4.699165,2.008035,1185.638082,56.80933,8:00,1.73851,0.37997,6.01631,-33.74364,-5.24016,-9.32709,1.85196,0.84974,60.52026,-4.565959,-0.490195,0.384256,,,,,,,,,,,,10.99993,-6.89374,0.14062,50,0.37698,-4.66178,-99.53681,12.89015,10.62528,21.50454,-38.83298,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260322-ArrochaBallpark-1,4c2b4640-2611-11f1-a2be-81065d3f0d67,98.09207,,,5.73893,,,,,,,0aa592d4-4fbe-458b-b831-404e10d88127,2026-03-22,17:05:15.26,2026-03-22T12:05:15.2650000-05:00,2026-03-22T17:05:15.2650000Z,,V3 - Softball,,,,"Amezcua, Bailey",100000000103,Right,UNI_KAN_SB,cdbd2770-918d-4b56-a1d8-78753d421523,36.98023,-96.68303,10.75227,1.74564,7.73679,-19.41649,-0.38446,-3.25174,5.31264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-22,12:05:34.53,1,3,"Barber, Blakely",100000003236,Right,UNI_KAN_SB,"Gomez, Mia",100000002957,Right,UNI_UTA_SB,Undefined,1,Top,0,2,0,Dropball,,BallCalled,Undefined,Undefined,Undefined,0,0,,66.68993,4.806963,0.337075,1095.501785,35.053805,7:15,1.73796,0.21433,5.8767,-37.34904,-8.61934,-6.73894,1.62834,-0.13718,60.18149,-5.420703,-1.462237,0.385777,,,,,,,,,,,,7.42843,-10.72166,-0.09662,50,0.35962,-1.39782,-100.55594,13.42931,7.17913,24.79693,-42.53592,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260322-ArrochaBallpark-1,57a7a4a0-2611-11f1-a2be-81065d3f0d67,97.70515,,,6.50844,,,,,,,0aa592d4-4fbe-458b-b831-404e10d88127,2026-03-22,17:05:34.53,2026-03-22T12:05:34.5320000-05:00,2026-03-22T17:05:34.5320000Z,,V3 - Softball,,,,"Amezcua, Bailey",100000000103,Right,UNI_KAN_SB,51596356-1ee6-46ab-9873-f94f271f1ce5,37.11904,-97.3277,12.39846,1.74748,7.89168,-21.26796,-0.21777,-0.46319,3.58956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-22,12:05:52.17,1,4,"Barber, Blakely",100000003236,Right,UNI_KAN_SB,"Gomez, Mia",100000002957,Right,UNI_UTA_SB,Undefined,1,Top,0,3,0,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,65.85044,5.28908,0.790621,1164.291244,47.501204,7:30,1.74079,0.3821,5.90205,-35.9801,-6.5763,-8.25642,2.04596,0.18646,59.45178,-4.579368,-1.41372,0.390277,70.33874,-22.808285,-5.957401,,,,,4.95304,4.95304,-6.707141,0.046037,9.38355,-8.8954,-0.14833,50,0.24751,-2.37903,-99.16758,14.02799,8.84655,23.70098,-40.56038,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260322-ArrochaBallpark-1,62275380-2611-11f1-a2be-81065d3f0d67,96.57866,1.8459,,6.39866,,,,0.55341,1.8459,-0.12291,0aa592d4-4fbe-458b-b831-404e10d88127,2026-03-22,17:05:52.17,2026-03-22T12:05:52.1770000-05:00,2026-03-22T17:05:52.1770000Z,,V3 - Softball,,,,"Amezcua, Bailey",100000000103,Right,UNI_KAN_SB,b2104504-e3a5-46d9-890d-0d17027de379,37.09426,-96.0336,11.85049,1.74784,8.66469,-20.28019,-0.38557,-1.20925,4.42328,180,0.55157,94.83058,,,,,,,,1.84667,-40.09579,,,,,,,,-0.12272,-9.89582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
5,2026-03-22,12:06:21.19,2,1,"Barber, Blakely",100000003236,Right,UNI_KAN_SB,"Proctor, Kennedy",1000000000018,Right,UNI_UTA_SB,Undefined,1,Top,1,0,0,Changeup,,BallCalled,Undefined,Undefined,Undefined,0,0,,59.892,3.438813,1.16561,921.596157,23.447581,6:45,1.63841,0.26601,6.19317,-43.95719,-9.14284,-4.46882,0.10238,0.61367,54.58163,-8.683516,-0.040823,0.424669,,,,,,,,,,,,5.543,-11.18107,0.0367,50,0.45091,-2.376,-90.56864,11.09745,4.34624,20.10177,-40.94106,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260322-ArrochaBallpark-1,7379fcf0-2611-11f1-a2be-81065d3f0d67,88.75723,,,5.31037,,,,,,,0aa592d4-4fbe-458b-b831-404e10d88127,2026-03-22,17:06:21.19,2026-03-22T12:06:21.1980000-05:00,2026-03-22T17:06:21.1980000Z,,V3 - Softball,,,,"Amezcua, Bailey",100000000103,Right,UNI_KAN_SB,894eda85-8b97-4427-820a-fd0f14dd0a78,36.80464,-87.59098,10.05088,1.64559,5.03286,-20.47053,-0.26757,-1.73219,2.17312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-22,12:06:39.46,2,2,"Barber, Blakely",100000003236,Right,UNI_KAN_SB,"Proctor, Kennedy",1000000000018,Right,UNI_UTA_SB,Undefined,1,Top,1,1,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.46992,4.333778,-0.419179,1230.24528,50.041152,7:45,1.73569,0.32741,6.25345,-32.15325,-4.39366,-6.17835,1.73374,-0.44593,61.10549,-4.550476,-2.086046,0.379208,,,,,,,,,,,,6.73591,-5.88701,-0.37757,50,0.43303,-0.09088,-99.89063,12.27699,6.59347,20.76705,-37.93658,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260322-ArrochaBallpark-1,7e5a4260-2611-11f1-a2be-81065d3f0d67,99.3977,,,5.36443,,,,,,,0aa592d4-4fbe-458b-b831-404e10d88127,2026-03-22,17:06:39.46,2026-03-22T12:06:39.4630000-05:00,2026-03-22T17:06:39.4630000Z,,V3 - Softball,,,,"Amezcua, Bailey",100000000103,Right,UNI_KAN_SB,f48e4859-fe89-449d-9299-7f6cacda6f35,36.7431,-97.09544,10.38353,1.74184,7.17082,-18.96829,-0.33008,0.79658,3.29674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-22,12:06:56.02,2,3,"Barber, Blakely",100000003236,Right,UNI_KAN_SB,"Proctor, Kennedy",1000000000018,Right,UNI_UTA_SB,Undefined,1,Top,1,1,1,Riseball,,InPlay,Undefined,FlyBall,Out,1,0,,65.24418,6.059133,1.423164,1180.696174,56.276133,8:00,1.71008,0.29834,5.97987,-31.89569,-2.75477,-5.23626,2.83251,0.74652,60.25315,-2.661531,0.023713,0.388529,47.41032,27.812867,2.735705,1567.780678,,,,109.28874,102.04269,10.99309,2.39742,6.32414,-4.62229,0.0656,50,0.03673,-3.11341,-97.42536,14.89808,5.97978,17.62166,-36.54466,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260322-ArrochaBallpark-1,88363730-2611-11f1-a2be-81065d3f0d67,97.01326,20.31522,,4.99103,,,,0.32069,2.7363,-0.73654,0aa592d4-4fbe-458b-b831-404e10d88127,2026-03-22,17:06:56.02,2026-03-22T12:06:56.0220000-05:00,2026-03-22T17:06:56.0220000Z,,V3 - Softball,,,,"Amezcua, Bailey",100000000103,Right,UNI_KAN_SB,7557ed41-3d0c-418b-8b0c-b7431bb06079,37.0179,-95.04824,8.81083,1.71393,9.9683,-18.27233,-0.29998,-2.30675,2.98989,220.101066,0.32067,61.43386,-9.69972,1.73066,-0.51492,0.27569,-0.14577,0.044,-0.00513,2.73634,32.44124,-15.77446,0.6838,0.17993,-0.23468,0.14225,-0.04037,0.00434,-0.73653,2.93485,4.1429,-1.23125,0.39183,-0.13418,0.05429,-0.01466,0.0016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-03-22,12:07:24.86,3,1,"Barber, Blakely",100000003236,Right,UNI_KAN_SB,"Wilson, Danika ",100000000316,Right,UNI_UTA_SB,Undefined,1,Top,2,0,0,Dropball,,InPlay,Undefined,GroundBall,Out,1,0,,66.47346,5.100123,0.017149,1190.805263,57.770856,8:00,1.75179,0.16652,5.91618,-34.31687,-5.70579,-10.46619,2.07534,-0.69498,60.47827,-4.30512,-2.778346,0.38498,48.53438,-28.140024,30.925274,,,,,4.45878,1.7257,35.408566,0.059231,11.51182,-7.78536,-0.0894,50,0.30712,-1.3501,-99.98271,13.66545,11.14071,22.7067,-39.70842,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260322-ArrochaBallpark-1,9968fc90-2611-11f1-a2be-81065d3f0d67,97.90743,2.00063,,5.99519,,,,0.42529,2.00063,0.66108,0aa592d4-4fbe-458b-b831-404e10d88127,2026-03-22,17:07:24.86,2026-03-22T12:07:24.8680000-05:00,2026-03-22T17:07:24.8680000Z,,V3 - Softball,,,,"Amezcua, Bailey",100000000103,Right,UNI_KAN_SB,e497ab0e-47b9-4b3c-9bde-18b4b235ae7d,37.08081,-97.00432,11.35335,1.758,8.45698,-19.85421,-0.17065,0.1112,5.57035,,0.42216,54.17453,,,,,,,,2.00259,-33.77694,,,,,,,,0.6592,32.45525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2026-03-22,12:09:40.71,1,1,"Miranda, Raci",1000000000014,Right,UNI_UTA_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Bottom,0,0,0,Dropball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.54815,4.461196,-1.340104,1067.195137,44.555509,7:30,1.9137,0.99676,6.64508,-29.91234,-3.44268,-3.92795,2.14765,-0.14789,62.57883,-3.843616,-2.410929,0.370293,,,,,,,,,,,,4.20071,-4.78882,-1.2787,50,0.52492,1.73023,-99.39191,12.5988,4.21229,15.56829,-36.97604,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260322-ArrochaBallpark-1,ea63e1f0-2611-11f1-a2be-81065d3f0d67,101.79079,,,3.96932,,,,,,,0aa592d4-4fbe-458b-b831-404e10d88127,2026-03-22,17:09:40.71,2026-03-22T12:09:40.7190000-05:00,2026-03-22T17:09:40.7190000Z,,V3 - Softball,,,,"Capobianco, Emily",1000000000006,Right,UNI_UTA_SB,8625f5cc-351e-45e5-bfc3-a49740f0e749,36.35346,-97.23088,7.78415,1.91753,7.46617,-18.48802,-0.99795,2.31493,2.10614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-22,12:09:59.05,1,2,"Miranda, Raci",1000000000014,Right,UNI_UTA_SB,"Limbaugh, Presley",100000003218,Left,UNI_KAN_SB,Undefined,1,Bottom,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,67.17564,2.782566,0.540159,1004.206548,30.49096,7:00,1.88381,1.13346,6.32948,-31.79124,-5.01595,-3.36229,0.94806,1.18564,62.41154,-5.995852,-0.370584,0.372425,,,,,,,,,,,,3.9952,-6.13296,-0.97982,50,0.92799,-1.42725,-100.96066,9.74805,4.03548,19.71401,-38.36885,UNI_KAN_SB,UNI_UTA_SB,ArrochaBallpark,D1,B12,20260322-ArrochaBallpark-1,f558e7e0-2611-11f1-a2be-81065d3f0d67,101.20815,,,4.7641,,,,,,,0aa592d4-4fbe-458b-b831-404e10d88127,2026-03-22,17:09:59.05,2026-03-22T12:09:59.0540000-05:00,2026-03-22T17:09:59.0540000Z,,V3 - Softball,,,,"Capobianco, Emily",1000000000006,Right,UNI_UTA_SB,40fa664f-6bf4-486d-8abd-603408244166,36.66819,-98.32297,9.857,1.88882,4.6144,-19.18443,-1.13466,-0.88731,2.01774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
