PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-24,17:02:58.62,1,1,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Benesh, Skylar",,Right,UNI_NOR3_SB,Undefined,1,Top,0,0,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,63.35676,4.502591,0.553042,1267.120942,177.738784,12:00,1.6935,0.72194,5.44798,-23.59049,8.72237,-0.30504,2.57332,1.04532,57.5389,-1.990866,0.472607,0.409128,,,,,,,,,,,,0.54461,8.21965,-0.59997,50,0.51101,-0.95123,-95.06176,10.5677,0.47829,20.03322,-24.9556,ILL_FIG_SB,UNI_NOR3_SB,EichelbergerField,D1,B10,20260324-EichelbergerField-1,38245480-27cd-11f1-8b5e-9f20726356b2,92.12872,,,5.81786,,,,,,,d198b378-2205-4db8-b8d3-f49a8a372d77,2026-03-24,22:02:58.62,2026-03-24T17:02:58.6204672-05:00,2026-03-24T22:02:58.6204672Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,55d5245b-09ef-447b-9c73-f66dfdb1942e,37.54435,-92.39959,10.01661,1.69498,7.25141,-12.4778,-0.72215,-0.88767,0.23914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-24,17:03:13.72,1,2,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Benesh, Skylar",,Right,UNI_NOR3_SB,Undefined,1,Top,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.085,2.164881,-2.072291,1470.484364,164.505663,11:30,1.88155,1.01542,5.63523,-22.31548,13.33973,-3.37126,1.38174,-0.56627,54.51254,-4.060918,-2.96554,0.429767,,,,,,,,,,,,2.76685,14.26308,-1.45056,50,1.19793,2.90689,-90.53091,6.30384,2.18076,19.39133,-20.93228,ILL_FIG_SB,UNI_NOR3_SB,EichelbergerField,D1,B10,20260324-EichelbergerField-1,412ca5a0-27cd-11f1-8b5e-9f20726356b2,87.70441,,,5.57246,,,,,,,d198b378-2205-4db8-b8d3-f49a8a372d77,2026-03-24,22:03:13.72,2026-03-24T17:03:13.7289216-05:00,2026-03-24T22:03:13.7289216Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,00d0d851-9a73-4430-a110-9c5602a53a77,37.35761,-87.78121,9.69566,1.88137,3.33563,-10.46614,-1.01644,3.21613,1.09038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-24,17:03:33.10,1,3,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Benesh, Skylar",,Right,UNI_NOR3_SB,Undefined,1,Top,0,1,1,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,60.77037,5.495713,0.589689,1486.469766,176.133189,11:45,1.66385,0.86005,5.64602,-23.31501,11.64465,-0.71276,3.17878,1.17054,54.91603,-0.988451,0.400809,0.425554,,,,,,,,,,,,1.00291,11.0389,-0.72566,50,0.23253,-1.01355,-91.11777,11.80221,0.80573,18.91464,-23.30563,ILL_FIG_SB,UNI_NOR3_SB,EichelbergerField,D1,B10,20260324-EichelbergerField-1,4cbd4f50-27cd-11f1-8b5e-9f20726356b2,88.57259,,,5.85434,,,,,,,d198b378-2205-4db8-b8d3-f49a8a372d77,2026-03-24,22:03:33.10,2026-03-24T17:03:33.1096576-05:00,2026-03-24T22:03:33.1096576Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,2169ffac-b38e-452c-9fcc-1aceaa003eed,37.34467,-88.45171,9.45732,1.66456,8.51724,-11.65282,-0.86052,-0.89998,0.40286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-24,17:03:50.46,1,4,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Benesh, Skylar",,Right,UNI_NOR3_SB,Undefined,1,Top,0,1,2,Riseball,,BallCalled,Undefined,Undefined,Undefined,0,0,,60.14825,5.520244,0.625058,1454.841101,178.479131,12:00,1.6854,0.64054,5.54201,-20.74745,15.43497,-0.37764,3.4399,1.00227,53.93365,-0.302047,0.525245,0.432932,,,,,,,,,,,,0.67453,14.81552,-0.50163,50,0.27644,-1.02319,-90.28617,11.42525,0.52667,19.74193,-20.60592,ILL_FIG_SB,UNI_NOR3_SB,EichelbergerField,D1,B10,20260324-EichelbergerField-1,5716b180-27cd-11f1-8b5e-9f20726356b2,87.06311,,,6.2146,,,,,,,d198b378-2205-4db8-b8d3-f49a8a372d77,2026-03-24,22:03:50.46,2026-03-24T17:03:50.4647680-05:00,2026-03-24T22:03:50.4647680Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,25f228aa-7e10-4a45-a48c-15b1b1527133,37.44704,-87.4983,9.87096,1.68441,8.51537,-10.30296,-0.64087,-0.94881,0.26334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-24,17:04:08.93,1,5,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Benesh, Skylar",,Right,UNI_NOR3_SB,Undefined,1,Top,0,2,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,62.24729,4.949036,0.31454,1333.296103,158.490935,11:15,1.66045,0.73759,5.56844,-22.4206,11.15575,-3.95662,2.91074,0.60559,56.01791,-1.290854,-0.732113,0.41705,,,,,,,,,,,,4.45658,10.51288,-0.6421,50,0.3716,-0.96492,-93.658,11.04594,3.74297,21.29465,-23.34454,ILL_FIG_SB,UNI_NOR3_SB,EichelbergerField,D1,B10,20260324-EichelbergerField-1,6207e6e0-27cd-11f1-8b5e-9f20726356b2,90.37873,,,6.22938,,,,,,,d198b378-2205-4db8-b8d3-f49a8a372d77,2026-03-24,22:04:08.93,2026-03-24T17:04:08.9347072-05:00,2026-03-24T22:04:08.9347072Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,a1456919-44f0-4f3d-847e-09cd244f67f6,37.42581,-90.75404,10.64732,1.66087,7.86243,-11.67227,-0.73888,-0.45448,1.87149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-24,17:04:40.86,1,6,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Benesh, Skylar",,Right,UNI_NOR3_SB,Undefined,1,Top,0,2,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,61.08504,6.068328,0.024528,1514.685088,182.035633,12:00,1.65768,0.67242,5.67449,-18.66056,16.33639,0.53827,3.92011,0.73265,54.55651,0.783709,0.167342,0.425781,,,,,,,,,,,,-0.57323,15.58296,-0.67046,50,0.12749,0.01978,-91.83726,12.27319,-0.45947,21.34953,-19.68322,ILL_FIG_SB,UNI_NOR3_SB,EichelbergerField,D1,B10,20260324-EichelbergerField-1,75114100-27cd-11f1-8b5e-9f20726356b2,88.52537,,,6.52853,,,,,,,d198b378-2205-4db8-b8d3-f49a8a372d77,2026-03-24,22:04:40.86,2026-03-24T17:04:40.8621568-05:00,2026-03-24T22:04:40.8621568Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,1c3fdcbf-b757-4ce4-899f-519fa01e3cd2,37.31783,-88.84011,10.67476,1.65651,9.50997,-9.84161,-0.67221,-0.04472,-0.22973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-24,17:05:01.72,1,7,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Benesh, Skylar",,Right,UNI_NOR3_SB,Undefined,1,Top,0,2,2,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,52.64494,7.4335,-0.034759,1169.835436,197.04134,12:30,1.69383,0.68912,5.59172,-34.7284,12.17757,3.30201,3.4957,0.94245,47.61858,-2.133655,0.836805,0.49293,,,,,,,,,,,,-3.59173,11.04422,-0.71839,50,-0.25907,0.36291,-78.60025,14.09791,-2.15577,13.72231,-25.5453,ILL_FIG_SB,UNI_NOR3_SB,EichelbergerField,D1,B10,20260324-EichelbergerField-1,818bfc90-27cd-11f1-8b5e-9f20726356b2,76.46607,,,5.02636,,,,,,,d198b378-2205-4db8-b8d3-f49a8a372d77,2026-03-24,22:05:01.72,2026-03-24T17:05:01.7259520-05:00,2026-03-24T22:05:01.7259520Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,23f33523-12c3-42e9-8922-56b586585447,37.40122,-76.36904,6.86116,1.69552,9.94432,-12.77265,-0.68788,0.01239,-1.07788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-24,17:05:29.48,1,8,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Benesh, Skylar",,Right,UNI_NOR3_SB,Undefined,1,Top,0,2,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,61.66796,5.757135,0.029585,1458.525812,185.190284,12:15,1.59737,0.70087,5.50048,-20.44005,13.99871,1.1691,3.53193,0.81693,55.40338,0.04815,0.338228,0.422372,67.5225,41.766674,-52.571469,2531.2629,,,,,35.55101,,,-1.24807,13.19548,-0.7018,50,0.14987,0.08028,-92.59864,12.01235,-1.02572,20.68821,-21.3293,ILL_FIG_SB,UNI_NOR3_SB,EichelbergerField,D1,B10,20260324-EichelbergerField-1,920cb000-27cd-11f1-8b5e-9f20726356b2,89.23991,30.50817,,6.26458,,,,2.15041,3.36197,-0.72942,d198b378-2205-4db8-b8d3-f49a8a372d77,2026-03-24,22:05:29.48,2026-03-24T17:05:29.4815744-05:00,2026-03-24T22:05:29.4815744Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,6960cf0c-8fb8-4f64-a3e2-4c487d5c0559,37.49248,-89.76074,10.3441,1.59698,9.08652,-10.66465,-0.70044,-0.06042,-0.51286,143.661539,2.15041,44.89387,-13.42865,4.9066,-6.51729,21.47365,-41.94685,41.92521,-16.95562,3.36197,65.96549,-25.2767,2.50018,0.63255,-4.20433,8.62783,-8.84658,3.66252,-0.72942,-58.6571,9.78667,-1.74941,0.35718,-0.31752,0.39683,-0.23313,0.02937,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2026-03-24,17:05:50.48,1,9,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Benesh, Skylar",,Right,UNI_NOR3_SB,Undefined,1,Top,0,2,2,Riseball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,60.89944,7.018908,0.478703,1410.33959,180.046678,12:00,1.68559,0.6559,5.86292,-22.79922,12.01194,0.00886,4.1837,0.95509,54.53421,0.629086,0.481061,0.42465,78.49068,15.739262,-62.846067,1798.049656,45.09804,9.30579,-100.33027,138.63453,113.64311,-67.109195,1.512069,0.20472,10.68831,-0.54849,50,-0.11706,-0.76228,-91.35594,14.28687,0.16328,20.47326,-23.64854,ILL_FIG_SB,UNI_NOR3_SB,EichelbergerField,D1,B10,20260324-EichelbergerField-1,9e8f33c0-27cd-11f1-8b5e-9f20726356b2,88.76126,14.06492,,6.36523,,,,2.36861,4.17888,-0.73664,d198b378-2205-4db8-b8d3-f49a8a372d77,2026-03-24,22:05:50.48,2026-03-24T17:05:50.4894976-05:00,2026-03-24T22:05:50.4894976Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,3b7b15eb-1087-4fb6-8fdf-273f28b24dc8,37.13037,-88.42478,10.23663,1.68603,10.9011,-11.82427,-0.65595,-0.73891,0.08164,,2.3686,50.57021,-14.83935,3.65356,-1.31845,1.01979,-0.77513,0.33864,-0.05986,4.17889,31.22482,-26.83171,3.72993,-0.17865,-1.06094,1.09443,-0.50911,0.09144,-0.73664,-98.59194,13.31445,-3.32099,1.08361,-0.75612,0.55631,-0.24186,0.04286,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
10,2026-03-24,17:06:19.53,1,10,"Yergler, Karley",100000004699,Right,ILL_FIG_SB,"Benesh, Skylar",,Right,UNI_NOR3_SB,Undefined,1,Top,0,2,2,Changeup,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,51.34512,5.244889,-0.074697,1219.662087,195.549142,12:30,1.6176,0.69662,5.23736,-37.61341,12.3393,2.9991,1.81961,0.89916,46.7021,-5.023888,0.710509,0.508687,,,,,,,,,,,,-3.23421,11.89359,-0.73096,50,0.18672,0.3691,-76.95276,10.92388,-1.85717,13.31158,-25.34442,ILL_FIG_SB,UNI_NOR3_SB,EichelbergerField,D1,B10,20260324-EichelbergerField-1,afed00c0-27cd-11f1-8b5e-9f20726356b2,74.09747,,,4.64301,,,,,,,d198b378-2205-4db8-b8d3-f49a8a372d77,2026-03-24,22:06:19.53,2026-03-24T17:06:19.5304960-05:00,2026-03-24T22:06:19.5304960Z,,V3 - Softball,,,,"Yeager, Jackie",100000004713,Right,ILL_FIG_SB,69b3fdf2-e57d-4d52-a4aa-238e9bc5846e,37.75586,-74.80475,6.65579,1.61948,6.83418,-12.67221,-0.69558,0.06942,-0.92858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
