PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-24,16:22:18.54,1,1,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"McMahon, Jordan",100000004302,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Dropball,,BallIntentional,Undefined,Undefined,Undefined,3,0,,59.97755,4.815333,-1.404889,1378.289918,85.271857,8:45,2.22097,0.73174,8.60781,-34.50045,0.39433,-5.02914,2.37754,-0.56967,55.96432,-4.531577,-2.735529,0.425159,54.47083,10.4745,163.170836,1854.405488,,,,52.97146,27.14908,161.531522,0.675284,5.00748,-0.26969,-1.00751,50,0.86485,1.63244,-89.47445,11.86157,4.03292,13.69484,-32.39126,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,ec29ec40-27cf-11f1-be45-47b3c551b8a7,88.6549,4.08576,,4.01323,,,,-0.30257,2.08432,0.78168,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:22:18.54,2026-03-24T16:22:18.5450000-06:00,2026-03-24T22:22:18.5450000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,a9605a64-f142-47fe-b38d-c7c3d688b003,37.38877,-87.52291,6.84742,2.22627,7.24575,-16.19563,-0.73393,2.20714,2.01646,11.246462,-0.27431,-75.74659,2.52924,,,,,,,2.09326,14.34612,-25.85373,,,,,,,0.77107,22.95226,1.14154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2026-03-24,16:09:07.30,1,2,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Grundy, Abby",100000004286,Right,WEB_STA_SB,Undefined,1,Top,2,3,0,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,64.61691,3.970423,0.163081,1145.516729,148.04826,11:00,2.18155,0.82593,8.96161,-22.51989,7.32012,-4.04709,2.77738,0.59007,59.3229,-2.28434,-0.91993,0.393161,47.81221,64.120778,15.895625,,,,,77.74747,36.51107,23.269144,3.91384,4.59792,7.18056,-0.75718,50,1.06397,-0.80399,-97.03171,9.98703,4.25163,19.43906,-25.53431,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,14008280-27ce-11f1-b92e-0d39de94fddf,95.87018,60.47915,,5.29401,,,,2.65958,3.15078,-0.57905,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:09:07.30,2026-03-24T16:09:07.3020000-06:00,2026-03-24T22:09:07.3020000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,0c884baa-e0a3-493b-bdf3-ab968150ea91,37.03496,-94.3986,9.71953,2.18251,6.5283,-12.76716,-0.82708,-0.22808,2.12581,189.541363,2.66047,29.40961,-7.38771,1.69695,0.12786,-0.253,0.08593,-0.01301,0.00075,3.15042,63.09895,-19.0705,1.27637,-0.2046,-0.02928,0.03179,-0.00759,0.0006,-0.57891,8.3795,0.08805,-0.12113,0.03017,0.00238,-0.00405,0.001,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-03-24,16:10:00.94,1,3,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,57.73839,8.726642,-2.138841,1332.87998,92.206385,9:00,2.30155,0.37044,9.26026,-35.96659,1.02,-3.75319,4.73021,-1.26157,53.20466,-1.159143,-3.145378,0.437717,,,,,,,,,,,,3.53469,-0.85134,-0.83638,50,-0.09199,2.75738,-85.56971,17.86166,2.59281,12.98395,-32.79853,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,3408bc50-27ce-11f1-b92e-0d39de94fddf,86.11144,,,4.53373,,,,,,,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:10:00.94,2026-03-24T16:10:00.9430000-06:00,2026-03-24T22:10:00.9430000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,0e11cd16-cb51-404b-98fd-92fb63bbd1d6,36.73628,-83.5329,6.49197,2.30643,12.7165,-16.39927,-0.37192,3.16411,1.29641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-24,16:12:06.38,1,4,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,58.94149,1.844491,1.864328,2751.386521,71.932104,8:30,2.22993,0.45801,8.31863,-36.6386,-0.20177,-3.17894,0.3452,1.37354,55.56529,-7.965928,1.027288,0.434452,,,,,,,,,,,,4.02103,-0.34933,-0.03371,50,1.52869,-3.23156,-88.14086,7.27589,3.14909,13.05074,-32.44763,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,7ec40d80-27ce-11f1-b92e-0d39de94fddf,86.7586,,,3.3762,,,,,,,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:12:06.38,2026-03-24T16:12:06.3880000-06:00,2026-03-24T22:12:06.3880000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,a90cce2d-30a1-40ce-a1fd-ce14aa519228,37.68018,-86.29743,6.52537,2.23272,2.69261,-16.22382,-0.45876,-2.78675,1.57454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-24,16:12:23.47,1,5,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,58.974,4.745779,-0.74369,1341.001457,55.661497,7:45,2.27366,0.85662,8.70158,-36.71762,-0.62752,-2.25476,2.19305,0.20295,54.73711,-5.240555,-1.342374,0.43238,,,,,,,,,,,,2.22374,-1.57087,-1.00549,50,0.90035,0.89012,-88.19323,11.88698,1.72355,14.40611,-33.39156,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,88facc80-27ce-11f1-b92e-0d39de94fddf,87.1744,,,4.23689,,,,,,,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:12:23.47,2026-03-24T16:12:23.4760000-06:00,2026-03-24T22:12:23.4760000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,7ee3192c-f1e4-4f46-8c9a-9c8ece8d9752,37.29565,-86.093,7.20306,2.27847,7.01892,-16.69578,-0.85741,1.1414,0.86177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-24,16:12:41.41,1,6,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,50.6483,6.686578,-0.013989,964.305205,59.626926,8:00,2.25147,0.53557,8.58798,-52.85483,-3.04858,-7.48666,2.06691,-0.09711,46.82765,-7.615545,-1.991663,0.507941,,,,,,,,,,,,8.095,-4.71965,-0.48886,50,0.33651,-0.68007,-75.62291,14.33924,4.57603,11.27025,-34.84203,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,93b3b3d0-27ce-11f1-b92e-0d39de94fddf,74.20632,,,3.82065,,,,,,,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:12:41.41,2026-03-24T16:12:41.4170000-06:00,2026-03-24T22:12:41.4170000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,78549959-1067-4e83-a21e-0fdf078bf159,37.41047,-73.72279,5.63512,2.25886,8.46502,-17.42102,-0.53848,0.09143,2.28802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-24,16:13:03.28,1,7,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,51.84619,3.378682,-1.065638,924.58157,70.814111,8:15,2.16032,0.38666,8.65048,-48.52066,-1.24748,-7.51745,0.23872,-0.90819,48.12579,-9.780456,-3.062549,0.494856,,,,,,,,,,,,7.853,-1.92524,-0.56818,50,1.00125,0.70606,-77.96073,9.81707,4.66316,13.00888,-33.31727,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,a0b66410-27ce-11f1-b92e-0d39de94fddf,76.16851,,,3.7204,,,,,,,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:13:03.28,2026-03-24T16:13:03.2810000-06:00,2026-03-24T22:13:03.2810000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,48960bbe-21e8-4f31-9f6a-a3a9250887ad,37.34748,-75.82009,6.50444,2.1656,4.33463,-16.65864,-0.38886,1.47339,2.33158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-24,16:13:23.20,1,8,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,58.98798,3.507946,0.0622,3364.696411,62.372642,8:00,2.18558,0.59414,8.47732,-37.20782,-1.13228,-3.7078,1.29833,0.32435,55.44733,-6.51255,-0.917699,0.432293,75.21432,3.103791,-18.456385,1352.04304,,,,64.30327,57.94522,-21.140354,0.626244,4.08654,-1.78209,-0.55307,50,1.10306,-0.52297,-88.1357,9.99159,3.20514,12.86253,-33.57177,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,ac913620-27ce-11f1-b92e-0d39de94fddf,87.19194,1.93015,,3.54064,,,,0.27858,1.23736,-0.31615,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:13:23.20,2026-03-24T16:13:23.2030000-06:00,2026-03-24T22:13:23.2030000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,f6c7b0ec-7793-441e-b31c-f80277ecf34d,37.52145,-86.29537,6.43127,2.18901,5.18824,-16.78589,-0.59509,-0.06439,1.60257,114.623017,0.30518,103.91387,-13.84527,,,,,,,1.24225,5.86976,-12.55281,,,,,,,-0.30517,-35.11095,-2.31547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-03-24,16:13:57.15,1,9,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,50.53986,5.946925,0.369391,985.187416,77.234859,8:30,2.22186,0.23796,8.62984,-50.21625,-0.53803,-8.13666,1.78252,-0.20829,46.89384,-7.669138,-1.784779,0.507288,64.77672,20.203439,-29.636201,1097.948221,92.66268,17.48622,-59.27538,163.85187,154.1887,-34.606417,2.257409,9.06603,-1.91228,-0.09759,50,0.47232,-1.27719,-75.52956,13.17692,5.12544,11.02791,-33.25515,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,c0d33750-27ce-11f1-b92e-0d39de94fddf,74.30191,19.06877,,3.64602,,,,2.13647,1.99161,0.14891,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:13:57.15,2026-03-24T16:13:57.1560000-06:00,2026-03-24T22:13:57.1560000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,b5246ff9-72c5-4ae2-896b-261f3dac53e0,37.36853,-73.66218,5.51396,2.22683,7.54575,-16.62758,-0.24038,-0.40929,2.56272,128.707077,2.13646,77.49763,-11.77727,2.34136,-0.49183,0.06293,0.01563,-0.01172,0.00205,1.99162,32.81009,-16.60126,0.88629,-0.11023,0.04834,-0.03298,0.01396,-0.00212,0.14888,-44.08664,1.09958,0.29289,-0.24748,0.13815,-0.05206,0.01066,-0.00093,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-24,16:14:51.88,1,10,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,58.97981,3.547226,-1.425307,1447.555074,88.726149,9:00,2.20761,0.72161,8.50206,-35.71494,0.85595,-5.24599,1.46877,-0.61333,54.68592,-6.129328,-2.810924,0.43525,,,,,,,,,,,,5.18819,0.37291,-0.99734,50,1.13566,1.62477,-88.37811,9.79631,4.01188,15.21494,-31.88568,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,e16b2e00-27ce-11f1-b92e-0d39de94fddf,86.59948,,,4.29388,,,,,,,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:14:51.88,2026-03-24T16:14:51.8890000-06:00,2026-03-24T22:14:51.8890000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,bd509a63-62a6-447f-9fe5-c4c781e51362,37.4947,-86.19835,7.60747,2.2119,5.22823,-15.94284,-0.7234,2.19953,2.00594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2026-03-24,16:15:10.76,1,11,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,58.32517,3.63068,-1.393885,1505.763353,122.835764,10:00,2.16207,0.74558,8.70815,-31.85647,5.13843,-6.43949,1.78444,-0.664,53.99081,-5.086505,-3.103577,0.437766,,,,,,,,,,,,6.57091,5.04024,-1.00899,50,1.07125,1.40797,-87.41307,9.51405,4.96758,14.95561,-28.36365,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,ecb0c4f0-27ce-11f1-b92e-0d39de94fddf,86.10174,,,4.33436,,,,,,,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:15:10.76,2026-03-24T16:15:10.7650000-06:00,2026-03-24T22:15:10.7650000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,e2f8cc31-0798-48c0-8c23-d8c0856e7c1f,37.28781,-85.21037,7.47781,2.16487,5.33658,-14.18182,-0.74774,2.1396,2.48379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2026-03-24,16:15:30.87,1,12,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,52.74479,6.549008,-0.240149,948.575256,62.608201,8:00,2.19339,0.57522,8.25503,-50.16487,-3.2152,-8.75776,2.18366,-0.30686,48.52038,-6.922425,-2.532856,0.49316,,,,,,,,,,,,9.17709,-4.84764,-0.575,50,0.40613,-0.4664,-78.77992,14.16007,5.6026,12.67089,-35.13354,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,f8afe7e0-27ce-11f1-b92e-0d39de94fddf,76.43049,,,4.2244,,,,,,,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:15:30.87,2026-03-24T16:15:30.8710000-06:00,2026-03-24T22:15:30.8710000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,3a7a2905-f59e-4b01-b22b-e9b202412b3a,37.74288,-76.78318,6.33545,2.2013,8.62359,-17.56677,-0.57893,0.41648,2.8013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2026-03-24,16:15:51.96,1,13,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,51.53477,3.51416,0.938861,953.03368,80.154092,8:45,2.18833,0.55611,8.68321,-47.35865,-0.2713,-8.2954,0.44677,0.45316,48.40153,-9.306324,-1.2674,0.493882,,,,,,,,,,,,9.48449,-0.77949,-0.28515,50,0.99104,-2.11188,-77.19378,9.94027,5.63943,10.91741,-32.63753,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,053d8f30-27cf-11f1-b92e-0d39de94fddf,76.31868,,,3.13323,,,,,,,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:15:51.96,2026-03-24T16:15:51.9600000-06:00,2026-03-24T22:15:51.9600000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,f05332b5-ad50-442d-9eb7-8189f28d906b,37.31552,-75.37849,5.4587,2.19269,4.51346,-16.31877,-0.55834,-1.17419,2.81971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2026-03-24,16:16:15.06,1,14,"Jones, Shelbee",1000000000009,Right,UNI_UTA_SB,"Maldonado, Apollonia",100000004287,Right,WEB_STA_SB,Undefined,1,Top,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,59.44832,3.187472,-0.921634,3508.108107,71.895006,8:30,2.20497,0.72762,8.43022,-36.08762,-0.19469,-3.33166,1.21131,-0.13162,55.46684,-6.546175,-1.800688,0.431197,,,,,,,,,,,,3.32713,-0.68236,-0.90429,50,1.21331,1.05763,-89.00512,9.35598,2.63055,14.48963,-32.71355,UNI_UTA_SB,WEB_STA_SB,DumkeFamilySoftballStadium,D1,B12,20260324-DumkeFamilySoftballStadium-1,12ff70c0-27cf-11f1-b92e-0d39de94fddf,87.41345,,,3.98148,,,,,,,224cd210-b991-47b6-8077-052826d4f5e1,2026-03-24,22:16:15.06,2026-03-24T16:16:15.0640000-06:00,2026-03-24T22:16:15.0640000Z,,V3 - Softball,,,,"Lyon, Kayla",1000000000021,Right,UNI_UTA_SB,384961a7-5799-4180-b351-275ba552c99b,37.56756,-86.95763,7.24482,2.20877,4.7333,-16.35678,-0.72857,1.42935,1.31528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
