PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-24,17:04:40.98,1,1,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Simmons, Peyton",100000004539,Right,RAD_UNI_SB,Undefined,1,Top,0,0,0,Screwball,,BallCalled,Undefined,Undefined,Undefined,0,0,,64.71166,1.325738,1.151562,1680.760065,161.998549,11:30,1.73201,0.65651,6.35339,-19.51611,9.45851,-2.80791,0.92115,1.13068,59.66194,-4.172087,0.390993,0.387419,,,,,,,,,,,,3.61284,10.80186,-0.36464,50,1.21436,-2.34037,-97.41252,5.26106,3.36849,19.53074,-22.10271,CHA_49E_SB,RAD_UNI_SB,UNCCharlotteSoftball,D1,AME,20260324-UNCCharlotteSoftball-1,13941b30-27c5-11f1-b226-23b71f05a145,97.29126,,,5.04973,,,,,,,28d84316-1fc2-4512-be50-b26a5f79b586,2026-03-24,21:04:40.98,2026-03-24T17:04:40.9858560-04:00,2026-03-24T21:04:40.9858560Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,23cba16c-808e-4b3e-aef3-17b0048771a2,36.64158,-94.69635,9.76537,1.73229,2.18721,-11.05136,-0.65755,-1.87191,1.68425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-24,17:04:55.47,1,2,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Simmons, Peyton",100000004539,Right,RAD_UNI_SB,Undefined,1,Top,0,1,0,Screwball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,65.83,5.483195,-0.380679,1649.580403,148.845649,11:00,1.74009,0.67688,5.7347,-22.79745,6.3167,-3.35752,3.28159,0.1589,60.53456,-0.781789,-1.272734,0.38835,53.20044,41.461841,-163.32638,2037.971196,,,,115.28451,46.89924,-168.215222,2.54198,3.5978,5.49311,-0.73592,50,0.30671,0.21798,-98.46585,12.7109,3.45042,19.00995,-26.90597,CHA_49E_SB,RAD_UNI_SB,UNCCharlotteSoftball,D1,AME,20260324-UNCCharlotteSoftball-1,1c2e4130-27c5-11f1-b226-23b71f05a145,97.05787,31.25266,,5.29543,,,,3.01088,3.34628,-0.20497,28d84316-1fc2-4512-be50-b26a5f79b586,2026-03-24,21:04:55.47,2026-03-24T17:04:55.4781184-04:00,2026-03-24T21:04:55.4781184Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,c7ce802d-73ae-49d6-8472-19a8b9c63c37,37.2617,-95.97507,9.50497,1.7412,9.18554,-13.45299,-0.67774,0.67007,1.72521,6.344918,3.01066,-56.00369,3.073,1.10233,-0.76599,0.41507,-0.12741,0.01742,-0.00064,3.34639,51.65712,-27.34594,3.57859,-0.31772,-0.26336,0.18402,-0.04883,0.00477,-0.20514,-16.7685,1.45207,1.2446,-0.62719,0.30719,-0.08842,0.01046,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2026-03-24,17:05:14.78,1,3,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Simmons, Peyton",100000004539,Right,RAD_UNI_SB,Undefined,1,Top,0,1,1,Riseball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.45593,2.994667,0.903716,1391.883558,196.641585,12:30,1.71189,0.80531,5.78652,-23.06954,6.00725,1.57382,1.66235,1.50113,60.68696,-3.348405,1.322933,0.388101,,,,,,,,,,,,-1.4361,6.15855,-0.61515,50,0.82883,-1.34605,-98.07828,8.43532,-1.37514,17.96535,-26.27698,CHA_49E_SB,RAD_UNI_SB,UNCCharlotteSoftball,D1,AME,20260324-UNCCharlotteSoftball-1,27bdb260-27c5-11f1-b226-23b71f05a145,97.12018,,,4.76897,,,,,,,28d84316-1fc2-4512-be50-b26a5f79b586,2026-03-24,21:05:14.78,2026-03-24T17:05:14.7856896-04:00,2026-03-24T21:05:14.7856896Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,b7d051f8-1e7f-477d-b8a7-cbc58e716ac6,37.20875,-95.70658,8.98268,1.71344,4.96636,-13.13849,-0.80483,-1.52759,-0.68757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-24,17:05:30.83,1,4,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Simmons, Peyton",100000004539,Right,RAD_UNI_SB,Undefined,1,Top,0,1,2,Screwball,,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,66.12828,2.821939,0.899898,1559.719446,170.375245,11:45,1.73779,0.63383,6.5485,-20.90312,6.1174,-0.93417,1.72302,1.10629,61.87085,-3.033433,0.645586,0.374126,,,,,,,,,,,,1.34378,6.68272,-0.41239,50,0.83743,-1.69374,-99.03262,8.28093,1.32749,16.59311,-25.57234,CHA_49E_SB,RAD_UNI_SB,UNCCharlotteSoftball,D1,AME,20260324-UNCCharlotteSoftball-1,3142d4a0-27c5-11f1-b226-23b71f05a145,100.74791,,,4.25744,,,,,,,28d84316-1fc2-4512-be50-b26a5f79b586,2026-03-24,21:05:30.83,2026-03-24T17:05:30.8390912-04:00,2026-03-24T21:05:30.8390912Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,9fac3691-8ac1-452a-9da5-6a1b66e92c95,36.44784,-96.73528,8.29656,1.73884,4.7404,-12.78617,-0.63417,-1.50995,0.66375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-24,17:05:47.97,1,5,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Simmons, Peyton",100000004539,Right,RAD_UNI_SB,Undefined,1,Top,0,1,2,Riseball,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,65.19416,2.886469,0.429825,1476.015316,197.703124,12:30,1.77439,0.91102,6.37855,-21.30395,7.03697,2.01532,1.77418,1.34307,60.43096,-3.081461,0.975812,0.383159,,,,,,,,,,,,-2.1511,7.56252,-0.82779,50,0.87334,-0.45432,-97.85773,8.24173,-2.04658,18.15654,-24.97901,CHA_49E_SB,RAD_UNI_SB,UNCCharlotteSoftball,D1,AME,20260324-UNCCharlotteSoftball-1,3b7c04a0-27c5-11f1-b226-23b71f05a145,98.37296,,,4.76319,,,,,,,28d84316-1fc2-4512-be50-b26a5f79b586,2026-03-24,21:05:47.97,2026-03-24T17:05:47.9710000-04:00,2026-03-24T21:05:47.9710000Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,f4d90f2d-0e3b-445a-b15e-446e878cafc7,36.61685,-95.34229,9.07827,1.77544,4.78109,-12.4895,-0.91037,-0.73785,-1.02329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.83928,2.485885,1.608346,0.877539,-0.55206,1.66185,-1.37713,-0.32905,5.03342,-3.65942,45.77626,3.1907,-36.57505,-0.34239,52.75676,-0.17114,5.04874,12.01429,-16.17518,-3.6795,-44.51652,8.09665,High,High,High,,,High,Medium,Low
6,2026-03-24,17:06:11.89,2,1,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Lee, Amanda",100000004513,Right,RAD_UNI_SB,Undefined,1,Top,1,0,0,Screwball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.47104,3.705517,0.138773,1592.05879,191.372202,12:30,1.75254,0.63473,6.27933,-19.81824,8.74811,1.5976,2.38744,0.85337,60.03919,-1.870129,0.570236,0.384679,,,,,,,,,,,,-1.7424,9.04052,-0.6151,50,0.68491,-0.02554,-98.38775,9.4158,-1.65468,20.14139,-23.58865,CHA_49E_SB,RAD_UNI_SB,UNCCharlotteSoftball,D1,AME,20260324-UNCCharlotteSoftball-1,49c3df10-27c5-11f1-b226-23b71f05a145,97.98404,,,5.43185,,,,,,,28d84316-1fc2-4512-be50-b26a5f79b586,2026-03-24,21:06:11.89,2026-03-24T17:06:11.8950000-04:00,2026-03-24T21:06:11.8950000Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,f6679d5d-5898-41d3-8bca-e918dbb1e254,36.71471,-95.62939,10.0707,1.75319,6.18534,-11.79433,-0.63411,-0.25215,-0.82734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-24,17:06:26.69,2,2,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Lee, Amanda",100000004513,Right,RAD_UNI_SB,Undefined,1,Top,1,0,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,57.80431,5.91799,-2.308436,1251.031357,218.012237,1:15,2.01455,0.67559,5.07877,-38.16541,1.5428,0.26815,2.62114,-0.77363,52.65522,-4.342394,-2.238643,0.453536,,,,,,,,,,,,-1.16205,0.22051,-1.16393,50,0.48151,3.50651,-86.3539,13.12245,-0.84666,15.95356,-32.0134,CHA_49E_SB,RAD_UNI_SB,UNCCharlotteSoftball,D1,AME,20260324-UNCCharlotteSoftball-1,52a0da70-27c5-11f1-b226-23b71f05a145,83.10798,,,5.14908,,,,,,,28d84316-1fc2-4512-be50-b26a5f79b586,2026-03-24,21:06:26.69,2026-03-24T17:06:26.6930000-04:00,2026-03-24T21:06:26.6930000Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,7e2500c8-29c9-4527-a698-e437276dcba0,37.91505,-84.09162,7.97678,2.02046,8.58282,-16.0067,-0.67521,3.38645,-0.42333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-24,17:06:42.24,2,3,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Lee, Amanda",100000004513,Right,RAD_UNI_SB,Undefined,1,Top,1,0,2,Riseball,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,65.13179,3.228836,-1.328216,1447.766367,186.043933,12:15,1.7568,0.68265,6.37949,-20.55596,8.31516,0.78768,2.03032,-0.06794,59.40376,-2.579863,-1.114939,0.386726,,,,,,,,,,,,-1.40945,8.71914,-0.99887,50,0.78585,2.37688,-98.07181,8.6782,-1.31786,21.27279,-24.02145,CHA_49E_SB,RAD_UNI_SB,UNCCharlotteSoftball,D1,AME,20260324-UNCCharlotteSoftball-1,5bd91530-27c5-11f1-b226-23b71f05a145,97.46552,,,5.72802,,,,,,,28d84316-1fc2-4512-be50-b26a5f79b586,2026-03-24,21:06:42.24,2026-03-24T17:06:42.2440000-04:00,2026-03-24T21:06:42.2440000Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,6877647e-db3a-47b0-a30d-4060038478f0,36.61336,-95.1238,10.63639,1.75782,5.34928,-12.01073,-0.68213,2.19425,-0.65893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.30562,,,0.884912,,,,-1.58587,4.97235,2.80355,46.15392,3.05839,36.19674,-1.57043,58.3333,-5.01654,4.98641,11.08217,-15.02842,2.80243,38.20614,-0.52637,High,High,High,,,High,High,High
9,2026-03-24,17:07:08.12,3,1,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Bossler, Abby",100000004507,Left,RAD_UNI_SB,Undefined,1,Top,2,0,0,Riseball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,65.3266,4.457723,-0.395462,1553.61341,172.632538,11:45,1.75875,0.86111,5.90078,-21.83273,7.2767,-0.84539,2.7212,0.54438,60.36122,-1.576394,-0.621245,0.388319,,,,,,,,,,,,0.80067,7.12382,-0.944,50,0.54283,0.56691,-97.73822,10.80307,0.76115,17.8827,-25.40189,CHA_49E_SB,RAD_UNI_SB,UNCCharlotteSoftball,D1,AME,20260324-UNCCharlotteSoftball-1,6b4ac9a0-27c5-11f1-b226-23b71f05a145,97.06572,,,4.96538,,,,,,,28d84316-1fc2-4512-be50-b26a5f79b586,2026-03-24,21:07:08.12,2026-03-24T17:07:08.1230000-04:00,2026-03-24T21:07:08.1230000Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,e29ddbc0-8ec1-4d3c-a7de-5a28096b424d,37.09365,-95.34757,8.94135,1.76005,7.40721,-12.70095,-0.86141,0.66866,0.38057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-24,17:07:22.78,3,2,"Bowling, Brooke",100000001161,Right,CHA_49E_SB,"Bossler, Abby",100000004507,Left,RAD_UNI_SB,Undefined,1,Top,2,0,1,Changeup,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,54.81076,5.790201,-1.960902,1348.429314,40.165121,7:15,1.99126,0.80806,5.29846,-42.20534,0.84091,-0.24441,2.15572,-0.45461,50.65903,-5.56895,-2.024939,0.472214,,,,,,,,,,,,-0.39319,-0.2661,-1.22759,50,0.40748,2.77521,-81.75604,12.89807,-0.26106,12.68699,-32.35073,CHA_49E_SB,RAD_UNI_SB,UNCCharlotteSoftball,D1,AME,20260324-UNCCharlotteSoftball-1,740fa920-27c5-11f1-b226-23b71f05a145,79.82067,,,4.15172,,,,,,,28d84316-1fc2-4512-be50-b26a5f79b586,2026-03-24,21:07:22.78,2026-03-24T17:07:22.7890000-04:00,2026-03-24T21:07:22.7890000Z,,V3 - Softball,,,,"Wilson, Audrey",100000001417,Right,CHA_49E_SB,3cb93375-de46-4d8d-b32a-7df0a2cb2b55,37.69753,-79.8241,6.34349,1.99648,7.97179,-16.17536,-0.80802,2.73545,-0.13053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
